context: We have an update on the Neo Hundred, response:	who are believed to be behind the destruction of
context: Prime Minister, Tachikawa is capable of functioning as a second capital.\All of us here have undertaken our responsibilities\with great pride, until now.\Please believe in us.\We will protect the citizens, without fail!\I approve the deployment.\However, I am accountable, as well.\I do not condone an attack of any sort! response:	Harm no one.
context: All of us here have undertaken our responsibilities\with great pride, until now.\Please believe in us.\We will protect the citizens, without fail!\I approve the deployment.\However, I am accountable, as well.\I do not condone an attack of any sort!\Harm no one. response:	Understood.
context: with great pride, until now.\Please believe in us.\We will protect the citizens, without fail!\I approve the deployment.\However, I am accountable, as well.\I do not condone an attack of any sort!\Harm no one.\Understood. response:	Listen up.
context: Please believe in us.\We will protect the citizens, without fail!\I approve the deployment.\However, I am accountable, as well.\I do not condone an attack of any sort!\Harm no one.\Understood.\Listen up. response:	We've been approved to carry weapons.
context: We will protect the citizens, without fail!\I approve the deployment.\However, I am accountable, as well.\I do not condone an attack of any sort!\Harm no one.\Understood.\Listen up.\We've been approved to carry weapons. response:	Squad one, provide recon from the air.
context: I approve the deployment.\However, I am accountable, as well.\I do not condone an attack of any sort!\Harm no one.\Understood.\Listen up.\We've been approved to carry weapons.\Squad one, provide recon from the air. response:	However, the CROWDS aren't an approved target.
context: However, I am accountable, as well.\I do not condone an attack of any sort!\Harm no one.\Understood.\Listen up.\We've been approved to carry weapons.\Squad one, provide recon from the air.\However, the CROWDS aren't an approved target. response:	Harm no one.
context: I do not condone an attack of any sort!\Harm no one.\Understood.\Listen up.\We've been approved to carry weapons.\Squad one, provide recon from the air.\However, the CROWDS aren't an approved target.\Harm no one. response:	Evacuate 180,000 citizens in under two hours!
context: Harm no one.\Understood.\Listen up.\We've been approved to carry weapons.\Squad one, provide recon from the air.\However, the CROWDS aren't an approved target.\Harm no one.\Evacuate 180,000 citizens in under two hours! response:	Yes, sir!
context: Understood.\Listen up.\We've been approved to carry weapons.\Squad one, provide recon from the air.\However, the CROWDS aren't an approved target.\Harm no one.\Evacuate 180,000 citizens in under two hours!\Yes, sir! response:	Out with Sugayama!
context: Listen up.\We've been approved to carry weapons.\Squad one, provide recon from the air.\However, the CROWDS aren't an approved target.\Harm no one.\Evacuate 180,000 citizens in under two hours!\Yes, sir!\Out with Sugayama! response:	Let us handle it!
context: We've been approved to carry weapons.\Squad one, provide recon from the air.\However, the CROWDS aren't an approved target.\Harm no one.\Evacuate 180,000 citizens in under two hours!\Yes, sir!\Out with Sugayama!\Let us handle it! response:	You're hitting too hard, Senpai!
context: Squad one, provide recon from the air.\However, the CROWDS aren't an approved target.\Harm no one.\Evacuate 180,000 citizens in under two hours!\Yes, sir!\Out with Sugayama!\Let us handle it!\You're hitting too hard, Senpai! response:	This isn't a war!
context: However, the CROWDS aren't an approved target.\Harm no one.\Evacuate 180,000 citizens in under two hours!\Yes, sir!\Out with Sugayama!\Let us handle it!\You're hitting too hard, Senpai!\This isn't a war! response:	As if you can even win...
context: Harm no one.\Evacuate 180,000 citizens in under two hours!\Yes, sir!\Out with Sugayama!\Let us handle it!\You're hitting too hard, Senpai!\This isn't a war!\As if you can even win... response:	Don't bother.
context: Evacuate 180,000 citizens in under two hours!\Yes, sir!\Out with Sugayama!\Let us handle it!\You're hitting too hard, Senpai!\This isn't a war!\As if you can even win...\Don't bother. response:	Let us evacuate while we can!
context: Yes, sir!\Out with Sugayama!\Let us handle it!\You're hitting too hard, Senpai!\This isn't a war!\As if you can even win...\Don't bother.\Let us evacuate while we can! response:	The Left Arm of Life.
context: Out with Sugayama!\Let us handle it!\You're hitting too hard, Senpai!\This isn't a war!\As if you can even win...\Don't bother.\Let us evacuate while we can!\The Left Arm of Life. response:	Only stunning blows.
context: Let us handle it!\You're hitting too hard, Senpai!\This isn't a war!\As if you can even win...\Don't bother.\Let us evacuate while we can!\The Left Arm of Life.\Only stunning blows. response:	He's okay now.
context: You're hitting too hard, Senpai!\This isn't a war!\As if you can even win...\Don't bother.\Let us evacuate while we can!\The Left Arm of Life.\Only stunning blows.\He's okay now. response:	Thanks, Utsutsu.
context: This isn't a war!\As if you can even win...\Don't bother.\Let us evacuate while we can!\The Left Arm of Life.\Only stunning blows.\He's okay now.\Thanks, Utsutsu. response:	What?
context: As if you can even win...\Don't bother.\Let us evacuate while we can!\The Left Arm of Life.\Only stunning blows.\He's okay now.\Thanks, Utsutsu.\What? response:	Gatcha!
context: Don't bother.\Let us evacuate while we can!\The Left Arm of Life.\Only stunning blows.\He's okay now.\Thanks, Utsutsu.\What?\Gatcha! response:	Pai-san?
context: Let us evacuate while we can!\The Left Arm of Life.\Only stunning blows.\He's okay now.\Thanks, Utsutsu.\What?\Gatcha!\Pai-san? response:	Huh? What?
context: The Left Arm of Life.\Only stunning blows.\He's okay now.\Thanks, Utsutsu.\What?\Gatcha!\Pai-san?\Huh? What? response:	Leave it to me!
context: Only stunning blows.\He's okay now.\Thanks, Utsutsu.\What?\Gatcha!\Pai-san?\Huh? What?\Leave it to me! response:	Who are you?
context: He's okay now.\Thanks, Utsutsu.\What?\Gatcha!\Pai-san?\Huh? What?\Leave it to me!\Who are you? response:	Thanks, Pai-san!
context: Thanks, Utsutsu.\What?\Gatcha!\Pai-san?\Huh? What?\Leave it to me!\Who are you?\Thanks, Pai-san! response:	You're Pai-san?
context: What?\Gatcha!\Pai-san?\Huh? What?\Leave it to me!\Who are you?\Thanks, Pai-san!\You're Pai-san? response:	Come, Earthling!
context: Gatcha!\Pai-san?\Huh? What?\Leave it to me!\Who are you?\Thanks, Pai-san!\You're Pai-san?\Come, Earthling! response:	Sayuri?
context: Pai-san?\Huh? What?\Leave it to me!\Who are you?\Thanks, Pai-san!\You're Pai-san?\Come, Earthling!\Sayuri? response:	Sayuri?!
context: Huh? What?\Leave it to me!\Who are you?\Thanks, Pai-san!\You're Pai-san?\Come, Earthling!\Sayuri?\Sayuri?! response:	Kou-chan! Mana!
context: Leave it to me!\Who are you?\Thanks, Pai-san!\You're Pai-san?\Come, Earthling!\Sayuri?\Sayuri?!\Kou-chan! Mana! response:	Mama!
context: Who are you?\Thanks, Pai-san!\You're Pai-san?\Come, Earthling!\Sayuri?\Sayuri?!\Kou-chan! Mana!\Mama! response:	I'm so glad you're both okay.
context: Thanks, Pai-san!\You're Pai-san?\Come, Earthling!\Sayuri?\Sayuri?!\Kou-chan! Mana!\Mama!\I'm so glad you're both okay. response:	What's happening?
context: You're Pai-san?\Come, Earthling!\Sayuri?\Sayuri?!\Kou-chan! Mana!\Mama!\I'm so glad you're both okay.\What's happening? response:	Don't worry.
context: Come, Earthling!\Sayuri?\Sayuri?!\Kou-chan! Mana!\Mama!\I'm so glad you're both okay.\What's happening?\Don't worry. response:	I'll protect you.
context: Sayuri?\Sayuri?!\Kou-chan! Mana!\Mama!\I'm so glad you're both okay.\What's happening?\Don't worry.\I'll protect you. response:	Why?
context: Sayuri?!\Kou-chan! Mana!\Mama!\I'm so glad you're both okay.\What's happening?\Don't worry.\I'll protect you.\Why? response:	Why Tachikawa?
context: Kou-chan! Mana!\Mama!\I'm so glad you're both okay.\What's happening?\Don't worry.\I'll protect you.\Why?\Why Tachikawa? response:	We demand that the Japanese government surrender
context: Mama!\I'm so glad you're both okay.\What's happening?\Don't worry.\I'll protect you.\Why?\Why Tachikawa?\We demand that the Japanese government surrender response:	and hand over Sugayama immediately!
context: I'm so glad you're both okay.\What's happening?\Don't worry.\I'll protect you.\Why?\Why Tachikawa?\We demand that the Japanese government surrender\and hand over Sugayama immediately! response:	The CROWDS will be ordered to withdraw once that occurs.
context: What's happening?\Don't worry.\I'll protect you.\Why?\Why Tachikawa?\We demand that the Japanese government surrender\and hand over Sugayama immediately!\The CROWDS will be ordered to withdraw once that occurs. response:	Do it, now!
context: Don't worry.\I'll protect you.\Why?\Why Tachikawa?\We demand that the Japanese government surrender\and hand over Sugayama immediately!\The CROWDS will be ordered to withdraw once that occurs.\Do it, now! response:	They don't understand anything.
context: I'll protect you.\Why?\Why Tachikawa?\We demand that the Japanese government surrender\and hand over Sugayama immediately!\The CROWDS will be ordered to withdraw once that occurs.\Do it, now!\They don't understand anything. response:	Killing me won't change this nation.
context: Why?\Why Tachikawa?\We demand that the Japanese government surrender\and hand over Sugayama immediately!\The CROWDS will be ordered to withdraw once that occurs.\Do it, now!\They don't understand anything.\Killing me won't change this nation. response:	I finally understand, now that I've become the Prime Minister.
context: Why Tachikawa?\We demand that the Japanese government surrender\and hand over Sugayama immediately!\The CROWDS will be ordered to withdraw once that occurs.\Do it, now!\They don't understand anything.\Killing me won't change this nation.\I finally understand, now that I've become the Prime Minister. response:	No one's thinking about the nation.
context: We demand that the Japanese government surrender\and hand over Sugayama immediately!\The CROWDS will be ordered to withdraw once that occurs.\Do it, now!\They don't understand anything.\Killing me won't change this nation.\I finally understand, now that I've become the Prime Minister.\No one's thinking about the nation. response:	They just want to gang up on the leaders
context: and hand over Sugayama immediately!\The CROWDS will be ordered to withdraw once that occurs.\Do it, now!\They don't understand anything.\Killing me won't change this nation.\I finally understand, now that I've become the Prime Minister.\No one's thinking about the nation.\They just want to gang up on the leaders response:	and make them into a laughingstock.
context: The CROWDS will be ordered to withdraw once that occurs.\Do it, now!\They don't understand anything.\Killing me won't change this nation.\I finally understand, now that I've become the Prime Minister.\No one's thinking about the nation.\They just want to gang up on the leaders\and make them into a laughingstock. response:	You get it, don't you, Pai-san?
context: Do it, now!\They don't understand anything.\Killing me won't change this nation.\I finally understand, now that I've become the Prime Minister.\No one's thinking about the nation.\They just want to gang up on the leaders\and make them into a laughingstock.\You get it, don't you, Pai-san? response:	In times like these,
context: They don't understand anything.\Killing me won't change this nation.\I finally understand, now that I've become the Prime Minister.\No one's thinking about the nation.\They just want to gang up on the leaders\and make them into a laughingstock.\You get it, don't you, Pai-san?\In times like these, response:	I've always asked myself,
context: Killing me won't change this nation.\I finally understand, now that I've become the Prime Minister.\No one's thinking about the nation.\They just want to gang up on the leaders\and make them into a laughingstock.\You get it, don't you, Pai-san?\In times like these,\I've always asked myself, response:	Do you love this planet?
context: I finally understand, now that I've become the Prime Minister.\No one's thinking about the nation.\They just want to gang up on the leaders\and make them into a laughingstock.\You get it, don't you, Pai-san?\In times like these,\I've always asked myself,\Do you love this planet? response:	What about you?
context: No one's thinking about the nation.\They just want to gang up on the leaders\and make them into a laughingstock.\You get it, don't you, Pai-san?\In times like these,\I've always asked myself,\Do you love this planet?\What about you? response:	Do you love this country?
context: They just want to gang up on the leaders\and make them into a laughingstock.\You get it, don't you, Pai-san?\In times like these,\I've always asked myself,\Do you love this planet?\What about you?\Do you love this country? response:	I'm not sure.
context: and make them into a laughingstock.\You get it, don't you, Pai-san?\In times like these,\I've always asked myself,\Do you love this planet?\What about you?\Do you love this country?\I'm not sure. response:	To be honest...
context: You get it, don't you, Pai-san?\In times like these,\I've always asked myself,\Do you love this planet?\What about you?\Do you love this country?\I'm not sure.\To be honest... response:	You're the top dog in this country, aren't you?
context: In times like these,\I've always asked myself,\Do you love this planet?\What about you?\Do you love this country?\I'm not sure.\To be honest...\You're the top dog in this country, aren't you? response:	Y-You guys don't know anything.
context: I've always asked myself,\Do you love this planet?\What about you?\Do you love this country?\I'm not sure.\To be honest...\You're the top dog in this country, aren't you?\Y-You guys don't know anything. response:	I wanted to change the world, too.
context: Do you love this planet?\What about you?\Do you love this country?\I'm not sure.\To be honest...\You're the top dog in this country, aren't you?\Y-You guys don't know anything.\I wanted to change the world, too. response:	But everyone's all about self-preservation.
context: What about you?\Do you love this country?\I'm not sure.\To be honest...\You're the top dog in this country, aren't you?\Y-You guys don't know anything.\I wanted to change the world, too.\But everyone's all about self-preservation. response:	No one listens to me.
context: Do you love this country?\I'm not sure.\To be honest...\You're the top dog in this country, aren't you?\Y-You guys don't know anything.\I wanted to change the world, too.\But everyone's all about self-preservation.\No one listens to me. response:	Even if I slave away by myself, nothing'll happen!
context: I'm not sure.\To be honest...\You're the top dog in this country, aren't you?\Y-You guys don't know anything.\I wanted to change the world, too.\But everyone's all about self-preservation.\No one listens to me.\Even if I slave away by myself, nothing'll happen! response:	I want a revolution, too.
context: To be honest...\You're the top dog in this country, aren't you?\Y-You guys don't know anything.\I wanted to change the world, too.\But everyone's all about self-preservation.\No one listens to me.\Even if I slave away by myself, nothing'll happen!\I want a revolution, too. response:	I want to say everything I've got to say
context: You're the top dog in this country, aren't you?\Y-You guys don't know anything.\I wanted to change the world, too.\But everyone's all about self-preservation.\No one listens to me.\Even if I slave away by myself, nothing'll happen!\I want a revolution, too.\I want to say everything I've got to say response:	and remake this country from square one.
context: Y-You guys don't know anything.\I wanted to change the world, too.\But everyone's all about self-preservation.\No one listens to me.\Even if I slave away by myself, nothing'll happen!\I want a revolution, too.\I want to say everything I've got to say\and remake this country from square one. response:	But...
context: I wanted to change the world, too.\But everyone's all about self-preservation.\No one listens to me.\Even if I slave away by myself, nothing'll happen!\I want a revolution, too.\I want to say everything I've got to say\and remake this country from square one.\But... response:	In the end, you're scared.
context: But everyone's all about self-preservation.\No one listens to me.\Even if I slave away by myself, nothing'll happen!\I want a revolution, too.\I want to say everything I've got to say\and remake this country from square one.\But...\In the end, you're scared. response:	You're too scared
context: No one listens to me.\Even if I slave away by myself, nothing'll happen!\I want a revolution, too.\I want to say everything I've got to say\and remake this country from square one.\But...\In the end, you're scared.\You're too scared response:	that you'll lose everything.
context: Even if I slave away by myself, nothing'll happen!\I want a revolution, too.\I want to say everything I've got to say\and remake this country from square one.\But...\In the end, you're scared.\You're too scared\that you'll lose everything. response:	But at some point, you have to be prepared for that.
context: I want a revolution, too.\I want to say everything I've got to say\and remake this country from square one.\But...\In the end, you're scared.\You're too scared\that you'll lose everything.\But at some point, you have to be prepared for that. response:	The same goes for us.
context: I want to say everything I've got to say\and remake this country from square one.\But...\In the end, you're scared.\You're too scared\that you'll lose everything.\But at some point, you have to be prepared for that.\The same goes for us. response:	Come on, hurry!
context: and remake this country from square one.\But...\In the end, you're scared.\You're too scared\that you'll lose everything.\But at some point, you have to be prepared for that.\The same goes for us.\Come on, hurry! response:	Run!
context: But...\In the end, you're scared.\You're too scared\that you'll lose everything.\But at some point, you have to be prepared for that.\The same goes for us.\Come on, hurry!\Run! response:	Hurry!
context: In the end, you're scared.\You're too scared\that you'll lose everything.\But at some point, you have to be prepared for that.\The same goes for us.\Come on, hurry!\Run!\Hurry! response:	Help me!
context: You're too scared\that you'll lose everything.\But at some point, you have to be prepared for that.\The same goes for us.\Come on, hurry!\Run!\Hurry!\Help me! response:	Help!
context: that you'll lose everything.\But at some point, you have to be prepared for that.\The same goes for us.\Come on, hurry!\Run!\Hurry!\Help me!\Help! response:	Hey, don't ignore our instructions!
context: But at some point, you have to be prepared for that.\The same goes for us.\Come on, hurry!\Run!\Hurry!\Help me!\Help!\Hey, don't ignore our instructions! response:	X, what should I do?
context: The same goes for us.\Come on, hurry!\Run!\Hurry!\Help me!\Help!\Hey, don't ignore our instructions!\X, what should I do? response:	Follow evacuation orders!
context: Come on, hurry!\Run!\Hurry!\Help me!\Help!\Hey, don't ignore our instructions!\X, what should I do?\Follow evacuation orders! response:	Wait a minute...
context: Run!\Hurry!\Help me!\Help!\Hey, don't ignore our instructions!\X, what should I do?\Follow evacuation orders!\Wait a minute... response:	Senpai!
context: Hurry!\Help me!\Help!\Hey, don't ignore our instructions!\X, what should I do?\Follow evacuation orders!\Wait a minute...\Senpai! response:	They just keep coming!
context: Help me!\Help!\Hey, don't ignore our instructions!\X, what should I do?\Follow evacuation orders!\Wait a minute...\Senpai!\They just keep coming! response:	We can't do this alone.
context: Help!\Hey, don't ignore our instructions!\X, what should I do?\Follow evacuation orders!\Wait a minute...\Senpai!\They just keep coming!\We can't do this alone. response:	Help us,
context: Hey, don't ignore our instructions!\X, what should I do?\Follow evacuation orders!\Wait a minute...\Senpai!\They just keep coming!\We can't do this alone.\Help us, response:	Jou-san...
context: X, what should I do?\Follow evacuation orders!\Wait a minute...\Senpai!\They just keep coming!\We can't do this alone.\Help us,\Jou-san... response:	Hey, give us a hand here, too!
context: Follow evacuation orders!\Wait a minute...\Senpai!\They just keep coming!\We can't do this alone.\Help us,\Jou-san...\Hey, give us a hand here, too! response:	This is how it should be...
context: Wait a minute...\Senpai!\They just keep coming!\We can't do this alone.\Help us,\Jou-san...\Hey, give us a hand here, too!\This is how it should be... response:	I am no one special...
context: Senpai!\They just keep coming!\We can't do this alone.\Help us,\Jou-san...\Hey, give us a hand here, too!\This is how it should be...\I am no one special... response:	There are millions of guys who are better than me.
context: They just keep coming!\We can't do this alone.\Help us,\Jou-san...\Hey, give us a hand here, too!\This is how it should be...\I am no one special...\There are millions of guys who are better than me. response:	There's no way I can win...
context: We can't do this alone.\Help us,\Jou-san...\Hey, give us a hand here, too!\This is how it should be...\I am no one special...\There are millions of guys who are better than me.\There's no way I can win... response:	Please stay calm!
context: Help us,\Jou-san...\Hey, give us a hand here, too!\This is how it should be...\I am no one special...\There are millions of guys who are better than me.\There's no way I can win...\Please stay calm! response:	Don't panic!
context: Jou-san...\Hey, give us a hand here, too!\This is how it should be...\I am no one special...\There are millions of guys who are better than me.\There's no way I can win...\Please stay calm!\Don't panic! response:	I'm just...
context: Hey, give us a hand here, too!\This is how it should be...\I am no one special...\There are millions of guys who are better than me.\There's no way I can win...\Please stay calm!\Don't panic!\I'm just... response:	Keep calm!
context: This is how it should be...\I am no one special...\There are millions of guys who are better than me.\There's no way I can win...\Please stay calm!\Don't panic!\I'm just...\Keep calm! response:	Please watch where you're going!
context: I am no one special...\There are millions of guys who are better than me.\There's no way I can win...\Please stay calm!\Don't panic!\I'm just...\Keep calm!\Please watch where you're going! response:	Just keep calm!
context: There are millions of guys who are better than me.\There's no way I can win...\Please stay calm!\Don't panic!\I'm just...\Keep calm!\Please watch where you're going!\Just keep calm! response:	Please hurry!
context: There's no way I can win...\Please stay calm!\Don't panic!\I'm just...\Keep calm!\Please watch where you're going!\Just keep calm!\Please hurry! response:	This way, please!
context: Please stay calm!\Don't panic!\I'm just...\Keep calm!\Please watch where you're going!\Just keep calm!\Please hurry!\This way, please! response:	Please hurry!
context: Don't panic!\I'm just...\Keep calm!\Please watch where you're going!\Just keep calm!\Please hurry!\This way, please!\Please hurry! response:	Please follow instructions!
context: I'm just...\Keep calm!\Please watch where you're going!\Just keep calm!\Please hurry!\This way, please!\Please hurry!\Please follow instructions! response:	Jou-san, I owe you a lot.
context: Keep calm!\Please watch where you're going!\Just keep calm!\Please hurry!\This way, please!\Please hurry!\Please follow instructions!\Jou-san, I owe you a lot. response:	Do you remember what happened?
context: Please watch where you're going!\Just keep calm!\Please hurry!\This way, please!\Please hurry!\Please follow instructions!\Jou-san, I owe you a lot.\Do you remember what happened? response:	Help!
context: Just keep calm!\Please hurry!\This way, please!\Please hurry!\Please follow instructions!\Jou-san, I owe you a lot.\Do you remember what happened?\Help! response:	Don't cry.
context: Please hurry!\This way, please!\Please hurry!\Please follow instructions!\Jou-san, I owe you a lot.\Do you remember what happened?\Help!\Don't cry. response:	You're a man, aren't you?
context: This way, please!\Please hurry!\Please follow instructions!\Jou-san, I owe you a lot.\Do you remember what happened?\Help!\Don't cry.\You're a man, aren't you? response:	I still remember what you said.
context: Please hurry!\Please follow instructions!\Jou-san, I owe you a lot.\Do you remember what happened?\Help!\Don't cry.\You're a man, aren't you?\I still remember what you said. response:	Make sure you save someone, too, someday.
context: Please follow instructions!\Jou-san, I owe you a lot.\Do you remember what happened?\Help!\Don't cry.\You're a man, aren't you?\I still remember what you said.\Make sure you save someone, too, someday. response:	Thank you, Jou-san...
context: Jou-san, I owe you a lot.\Do you remember what happened?\Help!\Don't cry.\You're a man, aren't you?\I still remember what you said.\Make sure you save someone, too, someday.\Thank you, Jou-san... response:	I'm not scared of anything anymore.
context: Do you remember what happened?\Help!\Don't cry.\You're a man, aren't you?\I still remember what you said.\Make sure you save someone, too, someday.\Thank you, Jou-san...\I'm not scared of anything anymore. response:	We're not caged birds.
context: Help!\Don't cry.\You're a man, aren't you?\I still remember what you said.\Make sure you save someone, too, someday.\Thank you, Jou-san...\I'm not scared of anything anymore.\We're not caged birds. response:	We are the great wings protecting this planet!
context: Don't cry.\You're a man, aren't you?\I still remember what you said.\Make sure you save someone, too, someday.\Thank you, Jou-san...\I'm not scared of anything anymore.\We're not caged birds.\We are the great wings protecting this planet! response:	Go, Jou!
context: You're a man, aren't you?\I still remember what you said.\Make sure you save someone, too, someday.\Thank you, Jou-san...\I'm not scared of anything anymore.\We're not caged birds.\We are the great wings protecting this planet!\Go, Jou! response:	Alan...
context: I still remember what you said.\Make sure you save someone, too, someday.\Thank you, Jou-san...\I'm not scared of anything anymore.\We're not caged birds.\We are the great wings protecting this planet!\Go, Jou!\Alan... response:	Make your dream come true!
context: Make sure you save someone, too, someday.\Thank you, Jou-san...\I'm not scared of anything anymore.\We're not caged birds.\We are the great wings protecting this planet!\Go, Jou!\Alan...\Make your dream come true! response:	Hup!
context: Thank you, Jou-san...\I'm not scared of anything anymore.\We're not caged birds.\We are the great wings protecting this planet!\Go, Jou!\Alan...\Make your dream come true!\Hup! response:	Gatcha!
context: I'm not scared of anything anymore.\We're not caged birds.\We are the great wings protecting this planet!\Go, Jou!\Alan...\Make your dream come true!\Hup!\Gatcha! response:	Lame.
context: We're not caged birds.\We are the great wings protecting this planet!\Go, Jou!\Alan...\Make your dream come true!\Hup!\Gatcha!\Lame. response:	I'm so lame.
context: We are the great wings protecting this planet!\Go, Jou!\Alan...\Make your dream come true!\Hup!\Gatcha!\Lame.\I'm so lame. response:	Way too...
context: Go, Jou!\Alan...\Make your dream come true!\Hup!\Gatcha!\Lame.\I'm so lame.\Way too... response:	lame!
context: Alan...\Make your dream come true!\Hup!\Gatcha!\Lame.\I'm so lame.\Way too...\lame! response:	Thanks, Sugane.
context: Make your dream come true!\Hup!\Gatcha!\Lame.\I'm so lame.\Way too...\lame!\Thanks, Sugane. response:	I'm dying from the heat...
context: Hup!\Gatcha!\Lame.\I'm so lame.\Way too...\lame!\Thanks, Sugane.\I'm dying from the heat... response:	Jou-san?
context: Gatcha!\Lame.\I'm so lame.\Way too...\lame!\Thanks, Sugane.\I'm dying from the heat...\Jou-san? response:	You'd better be waiting for me!
context: Lame.\I'm so lame.\Way too...\lame!\Thanks, Sugane.\I'm dying from the heat...\Jou-san?\You'd better be waiting for me! response:	Go, Bird!
context: I'm so lame.\Way too...\lame!\Thanks, Sugane.\I'm dying from the heat...\Jou-san?\You'd better be waiting for me!\Go, Bird! response:	No way!
context: Way too...\lame!\Thanks, Sugane.\I'm dying from the heat...\Jou-san?\You'd better be waiting for me!\Go, Bird!\No way! response:	Go, Gatchaman!
context: lame!\Thanks, Sugane.\I'm dying from the heat...\Jou-san?\You'd better be waiting for me!\Go, Bird!\No way!\Go, Gatchaman! response:	I'll light a flame...
context: Thanks, Sugane.\I'm dying from the heat...\Jou-san?\You'd better be waiting for me!\Go, Bird!\No way!\Go, Gatchaman!\I'll light a flame... response:	I still remember what you said. Thank you, Jou-san... I'm not scared of anything anymore. We're not caged birds. We are the great wings protecting this planet!
context: I'm dying from the heat...\Jou-san?\You'd better be waiting for me!\Go, Bird!\No way!\Go, Gatchaman!\I'll light a flame...\I still remember what you said. Thank you, Jou-san... I'm not scared of anything anymore. We're not caged birds. We are the great wings protecting this planet! response:	Thanks, Sugane.
context: Jou-san?\You'd better be waiting for me!\Go, Bird!\No way!\Go, Gatchaman!\I'll light a flame...\I still remember what you said. Thank you, Jou-san... I'm not scared of anything anymore. We're not caged birds. We are the great wings protecting this planet!\Thanks, Sugane. response:	Prime Minister Sugayama has yet to make an appearance.
context: You'd better be waiting for me!\Go, Bird!\No way!\Go, Gatchaman!\I'll light a flame...\I still remember what you said. Thank you, Jou-san... I'm not scared of anything anymore. We're not caged birds. We are the great wings protecting this planet!\Thanks, Sugane.\Prime Minister Sugayama has yet to make an appearance. response:	At this rate, Tachikawa City will be destroyed!
context: Go, Bird!\No way!\Go, Gatchaman!\I'll light a flame...\I still remember what you said. Thank you, Jou-san... I'm not scared of anything anymore. We're not caged birds. We are the great wings protecting this planet!\Thanks, Sugane.\Prime Minister Sugayama has yet to make an appearance.\At this rate, Tachikawa City will be destroyed! response:	Please! Do something.
context: No way!\Go, Gatchaman!\I'll light a flame...\I still remember what you said. Thank you, Jou-san... I'm not scared of anything anymore. We're not caged birds. We are the great wings protecting this planet!\Thanks, Sugane.\Prime Minister Sugayama has yet to make an appearance.\At this rate, Tachikawa City will be destroyed!\Please! Do something. response:	Isn't it an alien who's controlling them?
context: Go, Gatchaman!\I'll light a flame...\I still remember what you said. Thank you, Jou-san... I'm not scared of anything anymore. We're not caged birds. We are the great wings protecting this planet!\Thanks, Sugane.\Prime Minister Sugayama has yet to make an appearance.\At this rate, Tachikawa City will be destroyed!\Please! Do something.\Isn't it an alien who's controlling them? response:	Then the Gatchaman should just...
context: I'll light a flame...\I still remember what you said. Thank you, Jou-san... I'm not scared of anything anymore. We're not caged birds. We are the great wings protecting this planet!\Thanks, Sugane.\Prime Minister Sugayama has yet to make an appearance.\At this rate, Tachikawa City will be destroyed!\Please! Do something.\Isn't it an alien who's controlling them?\Then the Gatchaman should just... response:	You bastard...
context: I still remember what you said. Thank you, Jou-san... I'm not scared of anything anymore. We're not caged birds. We are the great wings protecting this planet!\Thanks, Sugane.\Prime Minister Sugayama has yet to make an appearance.\At this rate, Tachikawa City will be destroyed!\Please! Do something.\Isn't it an alien who's controlling them?\Then the Gatchaman should just...\You bastard... response:	Are you saying my subordinates should
context: Thanks, Sugane.\Prime Minister Sugayama has yet to make an appearance.\At this rate, Tachikawa City will be destroyed!\Please! Do something.\Isn't it an alien who's controlling them?\Then the Gatchaman should just...\You bastard...\Are you saying my subordinates should response:	be the only ones to sacrifice themselves?!
context: Prime Minister Sugayama has yet to make an appearance.\At this rate, Tachikawa City will be destroyed!\Please! Do something.\Isn't it an alien who's controlling them?\Then the Gatchaman should just...\You bastard...\Are you saying my subordinates should\be the only ones to sacrifice themselves?! response:	It's not like I know what to do, either.
context: At this rate, Tachikawa City will be destroyed!\Please! Do something.\Isn't it an alien who's controlling them?\Then the Gatchaman should just...\You bastard...\Are you saying my subordinates should\be the only ones to sacrifice themselves?!\It's not like I know what to do, either. response:	But most things in life are unexpected, aren't they?
context: Please! Do something.\Isn't it an alien who's controlling them?\Then the Gatchaman should just...\You bastard...\Are you saying my subordinates should\be the only ones to sacrifice themselves?!\It's not like I know what to do, either.\But most things in life are unexpected, aren't they? response:	You should think about what to do, too.
context: Isn't it an alien who's controlling them?\Then the Gatchaman should just...\You bastard...\Are you saying my subordinates should\be the only ones to sacrifice themselves?!\It's not like I know what to do, either.\But most things in life are unexpected, aren't they?\You should think about what to do, too. response:	This isn't just a problem among us aliens.
context: Then the Gatchaman should just...\You bastard...\Are you saying my subordinates should\be the only ones to sacrifice themselves?!\It's not like I know what to do, either.\But most things in life are unexpected, aren't they?\You should think about what to do, too.\This isn't just a problem among us aliens. response:	It's a problem for you Earthlings, too.
context: You bastard...\Are you saying my subordinates should\be the only ones to sacrifice themselves?!\It's not like I know what to do, either.\But most things in life are unexpected, aren't they?\You should think about what to do, too.\This isn't just a problem among us aliens.\It's a problem for you Earthlings, too. response:	If this city is destroyed, next will be this nation.
context: Are you saying my subordinates should\be the only ones to sacrifice themselves?!\It's not like I know what to do, either.\But most things in life are unexpected, aren't they?\You should think about what to do, too.\This isn't just a problem among us aliens.\It's a problem for you Earthlings, too.\If this city is destroyed, next will be this nation. response:	If the nation is destroyed, the world, the Earth will be next!
