context: He's taken a real turn for the worse since this morning. response:	I've taken him to a number of doctors, but the cause is still unknown.
context: while also going up against predators that can predict the future.\Sounds positively delightful, right?\H-how in the world do cave raiders manage to still press on?\Who knows? They aren't even able to see it, so I wonder myself...\Seriously?!\But, there is one thing I know.\That's just the way it is. There's no way to stop their longing.\Oh, I know. Hand me your helmet. response:	Uh, okay...
context: Sounds positively delightful, right?\H-how in the world do cave raiders manage to still press on?\Who knows? They aren't even able to see it, so I wonder myself...\Seriously?!\But, there is one thing I know.\That's just the way it is. There's no way to stop their longing.\Oh, I know. Hand me your helmet.\Uh, okay... response:	What's that thing?
context: H-how in the world do cave raiders manage to still press on?\Who knows? They aren't even able to see it, so I wonder myself...\Seriously?!\But, there is one thing I know.\That's just the way it is. There's no way to stop their longing.\Oh, I know. Hand me your helmet.\Uh, okay...\What's that thing? response:	Didn't I tell you that I'd let you experience it?
context: Who knows? They aren't even able to see it, so I wonder myself...\Seriously?!\But, there is one thing I know.\That's just the way it is. There's no way to stop their longing.\Oh, I know. Hand me your helmet.\Uh, okay...\What's that thing?\Didn't I tell you that I'd let you experience it? response:	That said, you have to promise me!
context: Seriously?!\But, there is one thing I know.\That's just the way it is. There's no way to stop their longing.\Oh, I know. Hand me your helmet.\Uh, okay...\What's that thing?\Didn't I tell you that I'd let you experience it?\That said, you have to promise me! response:	You need to do exactly as I say!
context: But, there is one thing I know.\That's just the way it is. There's no way to stop their longing.\Oh, I know. Hand me your helmet.\Uh, okay...\What's that thing?\Didn't I tell you that I'd let you experience it?\That said, you have to promise me!\You need to do exactly as I say! response:	Can you hear me?
context: That's just the way it is. There's no way to stop their longing.\Oh, I know. Hand me your helmet.\Uh, okay...\What's that thing?\Didn't I tell you that I'd let you experience it?\That said, you have to promise me!\You need to do exactly as I say!\Can you hear me? response:	This is kinda unsettling...
context: Oh, I know. Hand me your helmet.\Uh, okay...\What's that thing?\Didn't I tell you that I'd let you experience it?\That said, you have to promise me!\You need to do exactly as I say!\Can you hear me?\This is kinda unsettling... response:	Nanachi, it feels like you're right next to my ear.
context: Uh, okay...\What's that thing?\Didn't I tell you that I'd let you experience it?\That said, you have to promise me!\You need to do exactly as I say!\Can you hear me?\This is kinda unsettling...\Nanachi, it feels like you're right next to my ear. response:	Pretty cool, huh? It's just something I happened to pick up.
context: What's that thing?\Didn't I tell you that I'd let you experience it?\That said, you have to promise me!\You need to do exactly as I say!\Can you hear me?\This is kinda unsettling...\Nanachi, it feels like you're right next to my ear.\Pretty cool, huh? It's just something I happened to pick up. response:	I can hear your voice, but where exactly are you, Nanachi?
context: Didn't I tell you that I'd let you experience it?\That said, you have to promise me!\You need to do exactly as I say!\Can you hear me?\This is kinda unsettling...\Nanachi, it feels like you're right next to my ear.\Pretty cool, huh? It's just something I happened to pick up.\I can hear your voice, but where exactly are you, Nanachi? response:	Don't worry about it. I can see you fine from here.
context: That said, you have to promise me!\You need to do exactly as I say!\Can you hear me?\This is kinda unsettling...\Nanachi, it feels like you're right next to my ear.\Pretty cool, huh? It's just something I happened to pick up.\I can hear your voice, but where exactly are you, Nanachi?\Don't worry about it. I can see you fine from here. response:	Continue going straight.
context: You need to do exactly as I say!\Can you hear me?\This is kinda unsettling...\Nanachi, it feels like you're right next to my ear.\Pretty cool, huh? It's just something I happened to pick up.\I can hear your voice, but where exactly are you, Nanachi?\Don't worry about it. I can see you fine from here.\Continue going straight. response:	Understood.
context: Can you hear me?\This is kinda unsettling...\Nanachi, it feels like you're right next to my ear.\Pretty cool, huh? It's just something I happened to pick up.\I can hear your voice, but where exactly are you, Nanachi?\Don't worry about it. I can see you fine from here.\Continue going straight.\Understood. response:	What?!
context: This is kinda unsettling...\Nanachi, it feels like you're right next to my ear.\Pretty cool, huh? It's just something I happened to pick up.\I can hear your voice, but where exactly are you, Nanachi?\Don't worry about it. I can see you fine from here.\Continue going straight.\Understood.\What?! response:	Hey! Don't needlessly rush in!
context: Nanachi, it feels like you're right next to my ear.\Pretty cool, huh? It's just something I happened to pick up.\I can hear your voice, but where exactly are you, Nanachi?\Don't worry about it. I can see you fine from here.\Continue going straight.\Understood.\What?!\Hey! Don't needlessly rush in! response:	Wha-? A child?!
context: Pretty cool, huh? It's just something I happened to pick up.\I can hear your voice, but where exactly are you, Nanachi?\Don't worry about it. I can see you fine from here.\Continue going straight.\Understood.\What?!\Hey! Don't needlessly rush in!\Wha-? A child?! response:	Ridiculous!
context: I can hear your voice, but where exactly are you, Nanachi?\Don't worry about it. I can see you fine from here.\Continue going straight.\Understood.\What?!\Hey! Don't needlessly rush in!\Wha-? A child?!\Ridiculous! response:	You mustn't come any closer!
context: Don't worry about it. I can see you fine from here.\Continue going straight.\Understood.\What?!\Hey! Don't needlessly rush in!\Wha-? A child?!\Ridiculous!\You mustn't come any closer! response:	Don't do it!
context: Continue going straight.\Understood.\What?!\Hey! Don't needlessly rush in!\Wha-? A child?!\Ridiculous!\You mustn't come any closer!\Don't do it! response:	That's a Black Whistle.
context: Understood.\What?!\Hey! Don't needlessly rush in!\Wha-? A child?!\Ridiculous!\You mustn't come any closer!\Don't do it!\That's a Black Whistle. response:	Judging by the stuff he was carrying, he was headed back on his own when he got ambushed.
context: What?!\Hey! Don't needlessly rush in!\Wha-? A child?!\Ridiculous!\You mustn't come any closer!\Don't do it!\That's a Black Whistle.\Judging by the stuff he was carrying, he was headed back on his own when he got ambushed. response:	This is perfect.
context: Hey! Don't needlessly rush in!\Wha-? A child?!\Ridiculous!\You mustn't come any closer!\Don't do it!\That's a Black Whistle.\Judging by the stuff he was carrying, he was headed back on his own when he got ambushed.\This is perfect. response:	Wanna try rescuing our new visitor?
context: Wha-? A child?!\Ridiculous!\You mustn't come any closer!\Don't do it!\That's a Black Whistle.\Judging by the stuff he was carrying, he was headed back on his own when he got ambushed.\This is perfect.\Wanna try rescuing our new visitor? response:	O-of course!
context: Ridiculous!\You mustn't come any closer!\Don't do it!\That's a Black Whistle.\Judging by the stuff he was carrying, he was headed back on his own when he got ambushed.\This is perfect.\Wanna try rescuing our new visitor?\O-of course! response:	Alright, very well, then.
context: You mustn't come any closer!\Don't do it!\That's a Black Whistle.\Judging by the stuff he was carrying, he was headed back on his own when he got ambushed.\This is perfect.\Wanna try rescuing our new visitor?\O-of course!\Alright, very well, then. response:	What are you doing?!
context: Don't do it!\That's a Black Whistle.\Judging by the stuff he was carrying, he was headed back on his own when he got ambushed.\This is perfect.\Wanna try rescuing our new visitor?\O-of course!\Alright, very well, then.\What are you doing?! response:	Listen, don't forget...
context: That's a Black Whistle.\Judging by the stuff he was carrying, he was headed back on his own when he got ambushed.\This is perfect.\Wanna try rescuing our new visitor?\O-of course!\Alright, very well, then.\What are you doing?!\Listen, don't forget... response:	No matter happens, you do exactly as I say.
context: Judging by the stuff he was carrying, he was headed back on his own when he got ambushed.\This is perfect.\Wanna try rescuing our new visitor?\O-of course!\Alright, very well, then.\What are you doing?!\Listen, don't forget...\No matter happens, you do exactly as I say. response:	That way you'll be able to dispose of Orby and the man will be saved.
context: This is perfect.\Wanna try rescuing our new visitor?\O-of course!\Alright, very well, then.\What are you doing?!\Listen, don't forget...\No matter happens, you do exactly as I say.\That way you'll be able to dispose of Orby and the man will be saved. response:	Where's your reply?
context: Wanna try rescuing our new visitor?\O-of course!\Alright, very well, then.\What are you doing?!\Listen, don't forget...\No matter happens, you do exactly as I say.\That way you'll be able to dispose of Orby and the man will be saved.\Where's your reply? response:	Understood!
context: O-of course!\Alright, very well, then.\What are you doing?!\Listen, don't forget...\No matter happens, you do exactly as I say.\That way you'll be able to dispose of Orby and the man will be saved.\Where's your reply?\Understood! response:	Alright!
context: Alright, very well, then.\What are you doing?!\Listen, don't forget...\No matter happens, you do exactly as I say.\That way you'll be able to dispose of Orby and the man will be saved.\Where's your reply?\Understood!\Alright! response:	Then I'll show it to you now: the world as I see it!
context: What are you doing?!\Listen, don't forget...\No matter happens, you do exactly as I say.\That way you'll be able to dispose of Orby and the man will be saved.\Where's your reply?\Understood!\Alright!\Then I'll show it to you now: the world as I see it! response:	Okay, to start, look up and completely commit to it.
context: Listen, don't forget...\No matter happens, you do exactly as I say.\That way you'll be able to dispose of Orby and the man will be saved.\Where's your reply?\Understood!\Alright!\Then I'll show it to you now: the world as I see it!\Okay, to start, look up and completely commit to it. response:	Are you serious?!
context: No matter happens, you do exactly as I say.\That way you'll be able to dispose of Orby and the man will be saved.\Where's your reply?\Understood!\Alright!\Then I'll show it to you now: the world as I see it!\Okay, to start, look up and completely commit to it.\Are you serious?! response:	Yep.
context: That way you'll be able to dispose of Orby and the man will be saved.\Where's your reply?\Understood!\Alright!\Then I'll show it to you now: the world as I see it!\Okay, to start, look up and completely commit to it.\Are you serious?!\Yep. response:	Now listen, really commit to it.
context: Where's your reply?\Understood!\Alright!\Then I'll show it to you now: the world as I see it!\Okay, to start, look up and completely commit to it.\Are you serious?!\Yep.\Now listen, really commit to it. response:	B-but...
context: Understood!\Alright!\Then I'll show it to you now: the world as I see it!\Okay, to start, look up and completely commit to it.\Are you serious?!\Yep.\Now listen, really commit to it.\B-but... response:	H-hurry and get outta here!
context: Alright!\Then I'll show it to you now: the world as I see it!\Okay, to start, look up and completely commit to it.\Are you serious?!\Yep.\Now listen, really commit to it.\B-but...\H-hurry and get outta here! response:	Don't worry about that guy.
context: Then I'll show it to you now: the world as I see it!\Okay, to start, look up and completely commit to it.\Are you serious?!\Yep.\Now listen, really commit to it.\B-but...\H-hurry and get outta here!\Don't worry about that guy. response:	Also, stop questioning me!
context: Okay, to start, look up and completely commit to it.\Are you serious?!\Yep.\Now listen, really commit to it.\B-but...\H-hurry and get outta here!\Don't worry about that guy.\Also, stop questioning me! response:	My orders are...
context: Are you serious?!\Yep.\Now listen, really commit to it.\B-but...\H-hurry and get outta here!\Don't worry about that guy.\Also, stop questioning me!\My orders are... response:	Now jump to the right!
context: Yep.\Now listen, really commit to it.\B-but...\H-hurry and get outta here!\Don't worry about that guy.\Also, stop questioning me!\My orders are...\Now jump to the right! response:	Irredeemable!
context: Now listen, really commit to it.\B-but...\H-hurry and get outta here!\Don't worry about that guy.\Also, stop questioning me!\My orders are...\Now jump to the right!\Irredeemable! response:	You grabbed onto it, I see. Absolutely do not let go.
context: B-but...\H-hurry and get outta here!\Don't worry about that guy.\Also, stop questioning me!\My orders are...\Now jump to the right!\Irredeemable!\You grabbed onto it, I see. Absolutely do not let go. response:	That thing you've grabbed onto is the organ it uses to sense the force field.
context: H-hurry and get outta here!\Don't worry about that guy.\Also, stop questioning me!\My orders are...\Now jump to the right!\Irredeemable!\You grabbed onto it, I see. Absolutely do not let go.\That thing you've grabbed onto is the organ it uses to sense the force field. response:	That's its lifeline, and without uncoupling your actions from your conscious mind,
context: Don't worry about that guy.\Also, stop questioning me!\My orders are...\Now jump to the right!\Irredeemable!\You grabbed onto it, I see. Absolutely do not let go.\That thing you've grabbed onto is the organ it uses to sense the force field.\That's its lifeline, and without uncoupling your actions from your conscious mind, response:	you'd never be able to even touch it.
context: Also, stop questioning me!\My orders are...\Now jump to the right!\Irredeemable!\You grabbed onto it, I see. Absolutely do not let go.\That thing you've grabbed onto is the organ it uses to sense the force field.\That's its lifeline, and without uncoupling your actions from your conscious mind,\you'd never be able to even touch it. response:	Now that it's confused, it'll go for the kill without any thought of looking graceful.
context: My orders are...\Now jump to the right!\Irredeemable!\You grabbed onto it, I see. Absolutely do not let go.\That thing you've grabbed onto is the organ it uses to sense the force field.\That's its lifeline, and without uncoupling your actions from your conscious mind,\you'd never be able to even touch it.\Now that it's confused, it'll go for the kill without any thought of looking graceful. response:	Now! Tie it up!
context: Now jump to the right!\Irredeemable!\You grabbed onto it, I see. Absolutely do not let go.\That thing you've grabbed onto is the organ it uses to sense the force field.\That's its lifeline, and without uncoupling your actions from your conscious mind,\you'd never be able to even touch it.\Now that it's confused, it'll go for the kill without any thought of looking graceful.\Now! Tie it up! response:	Its fate is sealed now.
context: Irredeemable!\You grabbed onto it, I see. Absolutely do not let go.\That thing you've grabbed onto is the organ it uses to sense the force field.\That's its lifeline, and without uncoupling your actions from your conscious mind,\you'd never be able to even touch it.\Now that it's confused, it'll go for the kill without any thought of looking graceful.\Now! Tie it up!\Its fate is sealed now. response:	Beat it to a pulp!
context: You grabbed onto it, I see. Absolutely do not let go.\That thing you've grabbed onto is the organ it uses to sense the force field.\That's its lifeline, and without uncoupling your actions from your conscious mind,\you'd never be able to even touch it.\Now that it's confused, it'll go for the kill without any thought of looking graceful.\Now! Tie it up!\Its fate is sealed now.\Beat it to a pulp! response:	How dare you do that to Riko!
context: That thing you've grabbed onto is the organ it uses to sense the force field.\That's its lifeline, and without uncoupling your actions from your conscious mind,\you'd never be able to even touch it.\Now that it's confused, it'll go for the kill without any thought of looking graceful.\Now! Tie it up!\Its fate is sealed now.\Beat it to a pulp!\How dare you do that to Riko! response:	Huh?
context: That's its lifeline, and without uncoupling your actions from your conscious mind,\you'd never be able to even touch it.\Now that it's confused, it'll go for the kill without any thought of looking graceful.\Now! Tie it up!\Its fate is sealed now.\Beat it to a pulp!\How dare you do that to Riko!\Huh? response:	It shed its spines?!
context: you'd never be able to even touch it.\Now that it's confused, it'll go for the kill without any thought of looking graceful.\Now! Tie it up!\Its fate is sealed now.\Beat it to a pulp!\How dare you do that to Riko!\Huh?\It shed its spines?! response:	Damn!
context: Now that it's confused, it'll go for the kill without any thought of looking graceful.\Now! Tie it up!\Its fate is sealed now.\Beat it to a pulp!\How dare you do that to Riko!\Huh?\It shed its spines?!\Damn! response:	This steam is...!
context: Now! Tie it up!\Its fate is sealed now.\Beat it to a pulp!\How dare you do that to Riko!\Huh?\It shed its spines?!\Damn!\This steam is...! response:	D-did it escape?!
context: Its fate is sealed now.\Beat it to a pulp!\How dare you do that to Riko!\Huh?\It shed its spines?!\Damn!\This steam is...!\D-did it escape?! response:	Well done.
context: Beat it to a pulp!\How dare you do that to Riko!\Huh?\It shed its spines?!\Damn!\This steam is...!\D-did it escape?!\Well done. response:	It was forced to eject a full 80 percent of its spines. It won't be able to hunt here anymore.
context: How dare you do that to Riko!\Huh?\It shed its spines?!\Damn!\This steam is...!\D-did it escape?!\Well done.\It was forced to eject a full 80 percent of its spines. It won't be able to hunt here anymore. response:	More importantly, hurry up and get back here.
context: Huh?\It shed its spines?!\Damn!\This steam is...!\D-did it escape?!\Well done.\It was forced to eject a full 80 percent of its spines. It won't be able to hunt here anymore.\More importantly, hurry up and get back here. response:	H-hey! Don't get too close to him!
context: It shed its spines?!\Damn!\This steam is...!\D-did it escape?!\Well done.\It was forced to eject a full 80 percent of its spines. It won't be able to hunt here anymore.\More importantly, hurry up and get back here.\H-hey! Don't get too close to him! response:	Now that Orby is gone, it's cave raiders that present the most danger to us!
context: Damn!\This steam is...!\D-did it escape?!\Well done.\It was forced to eject a full 80 percent of its spines. It won't be able to hunt here anymore.\More importantly, hurry up and get back here.\H-hey! Don't get too close to him!\Now that Orby is gone, it's cave raiders that present the most danger to us! response:	Hey now!
context: This steam is...!\D-did it escape?!\Well done.\It was forced to eject a full 80 percent of its spines. It won't be able to hunt here anymore.\More importantly, hurry up and get back here.\H-hey! Don't get too close to him!\Now that Orby is gone, it's cave raiders that present the most danger to us!\Hey now! response:	What are you...?
context: D-did it escape?!\Well done.\It was forced to eject a full 80 percent of its spines. It won't be able to hunt here anymore.\More importantly, hurry up and get back here.\H-hey! Don't get too close to him!\Now that Orby is gone, it's cave raiders that present the most danger to us!\Hey now!\What are you...? response:	Could you relay a message for me?
context: Well done.\It was forced to eject a full 80 percent of its spines. It won't be able to hunt here anymore.\More importantly, hurry up and get back here.\H-hey! Don't get too close to him!\Now that Orby is gone, it's cave raiders that present the most danger to us!\Hey now!\What are you...?\Could you relay a message for me? response:	Huh?
context: It was forced to eject a full 80 percent of its spines. It won't be able to hunt here anymore.\More importantly, hurry up and get back here.\H-hey! Don't get too close to him!\Now that Orby is gone, it's cave raiders that present the most danger to us!\Hey now!\What are you...?\Could you relay a message for me?\Huh? response:	It's intended for a guy at Belchero Orphanage named Jiruo.
context: More importantly, hurry up and get back here.\H-hey! Don't get too close to him!\Now that Orby is gone, it's cave raiders that present the most danger to us!\Hey now!\What are you...?\Could you relay a message for me?\Huh?\It's intended for a guy at Belchero Orphanage named Jiruo. response:	Jiruo... at Belchero...
context: H-hey! Don't get too close to him!\Now that Orby is gone, it's cave raiders that present the most danger to us!\Hey now!\What are you...?\Could you relay a message for me?\Huh?\It's intended for a guy at Belchero Orphanage named Jiruo.\Jiruo... at Belchero... response:	Tell him that... We are still continuing our adventure.
context: Now that Orby is gone, it's cave raiders that present the most danger to us!\Hey now!\What are you...?\Could you relay a message for me?\Huh?\It's intended for a guy at Belchero Orphanage named Jiruo.\Jiruo... at Belchero...\Tell him that... We are still continuing our adventure. response:	O-okay, got it.
context: Hey now!\What are you...?\Could you relay a message for me?\Huh?\It's intended for a guy at Belchero Orphanage named Jiruo.\Jiruo... at Belchero...\Tell him that... We are still continuing our adventure.\O-okay, got it. response:	I'm counting on you.
context: What are you...?\Could you relay a message for me?\Huh?\It's intended for a guy at Belchero Orphanage named Jiruo.\Jiruo... at Belchero...\Tell him that... We are still continuing our adventure.\O-okay, got it.\I'm counting on you. response:	I'm sorry.
context: Could you relay a message for me?\Huh?\It's intended for a guy at Belchero Orphanage named Jiruo.\Jiruo... at Belchero...\Tell him that... We are still continuing our adventure.\O-okay, got it.\I'm counting on you.\I'm sorry. response:	Well, you didn't tell him about me, so I don't really mind...
context: Huh?\It's intended for a guy at Belchero Orphanage named Jiruo.\Jiruo... at Belchero...\Tell him that... We are still continuing our adventure.\O-okay, got it.\I'm counting on you.\I'm sorry.\Well, you didn't tell him about me, so I don't really mind... response:	But you sure it'll be alright?
context: It's intended for a guy at Belchero Orphanage named Jiruo.\Jiruo... at Belchero...\Tell him that... We are still continuing our adventure.\O-okay, got it.\I'm counting on you.\I'm sorry.\Well, you didn't tell him about me, so I don't really mind...\But you sure it'll be alright? response:	That, uh, guy at Belchero Orphanage...
context: Jiruo... at Belchero...\Tell him that... We are still continuing our adventure.\O-okay, got it.\I'm counting on you.\I'm sorry.\Well, you didn't tell him about me, so I don't really mind...\But you sure it'll be alright?\That, uh, guy at Belchero Orphanage... response:	If people find out he's connected to you somehow, it could spell trouble.
context: Tell him that... We are still continuing our adventure.\O-okay, got it.\I'm counting on you.\I'm sorry.\Well, you didn't tell him about me, so I don't really mind...\But you sure it'll be alright?\That, uh, guy at Belchero Orphanage...\If people find out he's connected to you somehow, it could spell trouble. response:	It'll be fine.
context: O-okay, got it.\I'm counting on you.\I'm sorry.\Well, you didn't tell him about me, so I don't really mind...\But you sure it'll be alright?\That, uh, guy at Belchero Orphanage...\If people find out he's connected to you somehow, it could spell trouble.\It'll be fine. response:	He's the most dependable guy I know, after all.
context: I'm counting on you.\I'm sorry.\Well, you didn't tell him about me, so I don't really mind...\But you sure it'll be alright?\That, uh, guy at Belchero Orphanage...\If people find out he's connected to you somehow, it could spell trouble.\It'll be fine.\He's the most dependable guy I know, after all. response:	In any case, that was pretty amazing, Nanachi!
context: I'm sorry.\Well, you didn't tell him about me, so I don't really mind...\But you sure it'll be alright?\That, uh, guy at Belchero Orphanage...\If people find out he's connected to you somehow, it could spell trouble.\It'll be fine.\He's the most dependable guy I know, after all.\In any case, that was pretty amazing, Nanachi! response:	Using the opponent's own special ability against it like that was a brilliant strategy!
context: Well, you didn't tell him about me, so I don't really mind...\But you sure it'll be alright?\That, uh, guy at Belchero Orphanage...\If people find out he's connected to you somehow, it could spell trouble.\It'll be fine.\He's the most dependable guy I know, after all.\In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy! response:	I wish you'd come with us to the bottom of the netherworld!
context: But you sure it'll be alright?\That, uh, guy at Belchero Orphanage...\If people find out he's connected to you somehow, it could spell trouble.\It'll be fine.\He's the most dependable guy I know, after all.\In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld! response:	W-well, actually...
context: That, uh, guy at Belchero Orphanage...\If people find out he's connected to you somehow, it could spell trouble.\It'll be fine.\He's the most dependable guy I know, after all.\In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld!\W-well, actually... response:	I have something to ask of you...
context: If people find out he's connected to you somehow, it could spell trouble.\It'll be fine.\He's the most dependable guy I know, after all.\In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld!\W-well, actually...\I have something to ask of you... response:	Oh! What is it?!
context: It'll be fine.\He's the most dependable guy I know, after all.\In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld!\W-well, actually...\I have something to ask of you...\Oh! What is it?! response:	You can ask anything of me!
context: He's the most dependable guy I know, after all.\In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld!\W-well, actually...\I have something to ask of you...\Oh! What is it?!\You can ask anything of me! response:	Well...
context: In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld!\W-well, actually...\I have something to ask of you...\Oh! What is it?!\You can ask anything of me!\Well... response:	I knew it would be, but it truly is a hard thing to ask...
context: Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld!\W-well, actually...\I have something to ask of you...\Oh! What is it?!\You can ask anything of me!\Well...\I knew it would be, but it truly is a hard thing to ask... response:	Don't hold back!
context: I wish you'd come with us to the bottom of the netherworld!\W-well, actually...\I have something to ask of you...\Oh! What is it?!\You can ask anything of me!\Well...\I knew it would be, but it truly is a hard thing to ask...\Don't hold back! response:	Alright, here it goes.
context: W-well, actually...\I have something to ask of you...\Oh! What is it?!\You can ask anything of me!\Well...\I knew it would be, but it truly is a hard thing to ask...\Don't hold back!\Alright, here it goes. response:	'Kay.
context: I have something to ask of you...\Oh! What is it?!\You can ask anything of me!\Well...\I knew it would be, but it truly is a hard thing to ask...\Don't hold back!\Alright, here it goes.\'Kay. response:	Please kill Mitty for me.
context: Oh! What is it?!\You can ask anything of me!\Well...\I knew it would be, but it truly is a hard thing to ask...\Don't hold back!\Alright, here it goes.\'Kay.\Please kill Mitty for me. response:	Huh?
context: You can ask anything of me!\Well...\I knew it would be, but it truly is a hard thing to ask...\Don't hold back!\Alright, here it goes.\'Kay.\Please kill Mitty for me.\Huh? response:	Mitty...
context: Well...\I knew it would be, but it truly is a hard thing to ask...\Don't hold back!\Alright, here it goes.\'Kay.\Please kill Mitty for me.\Huh?\Mitty... response:	Mitty, I'm sorry for running away like this.
context: I knew it would be, but it truly is a hard thing to ask...\Don't hold back!\Alright, here it goes.\'Kay.\Please kill Mitty for me.\Huh?\Mitty...\Mitty, I'm sorry for running away like this. response:	I won't just let him...
context: Don't hold back!\Alright, here it goes.\'Kay.\Please kill Mitty for me.\Huh?\Mitty...\Mitty, I'm sorry for running away like this.\I won't just let him... response:	keep doing as he pleases.
context: Alright, here it goes.\'Kay.\Please kill Mitty for me.\Huh?\Mitty...\Mitty, I'm sorry for running away like this.\I won't just let him...\keep doing as he pleases. response:	Sora ni ukanderu hikaru nami o
context: 'Kay.\Please kill Mitty for me.\Huh?\Mitty...\Mitty, I'm sorry for running away like this.\I won't just let him...\keep doing as he pleases.\Sora ni ukanderu hikaru nami o response:	Tabanete niji no hashi o kakeyou
context: Please kill Mitty for me.\Huh?\Mitty...\Mitty, I'm sorry for running away like this.\I won't just let him...\keep doing as he pleases.\Sora ni ukanderu hikaru nami o\Tabanete niji no hashi o kakeyou response:	Ayaui ashiba, suberu slope
context: Huh?\Mitty...\Mitty, I'm sorry for running away like this.\I won't just let him...\keep doing as he pleases.\Sora ni ukanderu hikaru nami o\Tabanete niji no hashi o kakeyou\Ayaui ashiba, suberu slope response:	Kako to mirai no michishirube
context: Mitty...\Mitty, I'm sorry for running away like this.\I won't just let him...\keep doing as he pleases.\Sora ni ukanderu hikaru nami o\Tabanete niji no hashi o kakeyou\Ayaui ashiba, suberu slope\Kako to mirai no michishirube response:	Kimi no hidarite, boku no migite o
context: Mitty, I'm sorry for running away like this.\I won't just let him...\keep doing as he pleases.\Sora ni ukanderu hikaru nami o\Tabanete niji no hashi o kakeyou\Ayaui ashiba, suberu slope\Kako to mirai no michishirube\Kimi no hidarite, boku no migite o response:	Tsunaide tsunagete hajimeyou
context: I won't just let him...\keep doing as he pleases.\Sora ni ukanderu hikaru nami o\Tabanete niji no hashi o kakeyou\Ayaui ashiba, suberu slope\Kako to mirai no michishirube\Kimi no hidarite, boku no migite o\Tsunaide tsunagete hajimeyou response:	Itsumo soba ni iru yo
context: keep doing as he pleases.\Sora ni ukanderu hikaru nami o\Tabanete niji no hashi o kakeyou\Ayaui ashiba, suberu slope\Kako to mirai no michishirube\Kimi no hidarite, boku no migite o\Tsunaide tsunagete hajimeyou\Itsumo soba ni iru yo response:	Kako mo ima mo mirai mo
context: Sora ni ukanderu hikaru nami o\Tabanete niji no hashi o kakeyou\Ayaui ashiba, suberu slope\Kako to mirai no michishirube\Kimi no hidarite, boku no migite o\Tsunaide tsunagete hajimeyou\Itsumo soba ni iru yo\Kako mo ima mo mirai mo response:	Dakara mayowazu ni aruiteikou
context: Tabanete niji no hashi o kakeyou\Ayaui ashiba, suberu slope\Kako to mirai no michishirube\Kimi no hidarite, boku no migite o\Tsunaide tsunagete hajimeyou\Itsumo soba ni iru yo\Kako mo ima mo mirai mo\Dakara mayowazu ni aruiteikou response:	Irotoridori no yume kasanete
context: Ayaui ashiba, suberu slope\Kako to mirai no michishirube\Kimi no hidarite, boku no migite o\Tsunaide tsunagete hajimeyou\Itsumo soba ni iru yo\Kako mo ima mo mirai mo\Dakara mayowazu ni aruiteikou\Irotoridori no yume kasanete response:	Ashita wa doko ni mukau
context: Kako to mirai no michishirube\Kimi no hidarite, boku no migite o\Tsunaide tsunagete hajimeyou\Itsumo soba ni iru yo\Kako mo ima mo mirai mo\Dakara mayowazu ni aruiteikou\Irotoridori no yume kasanete\Ashita wa doko ni mukau response:	Kimi to issho ni iretara, sekai wa kagayakidasu yo
context: Kimi no hidarite, boku no migite o\Tsunaide tsunagete hajimeyou\Itsumo soba ni iru yo\Kako mo ima mo mirai mo\Dakara mayowazu ni aruiteikou\Irotoridori no yume kasanete\Ashita wa doko ni mukau\Kimi to issho ni iretara, sekai wa kagayakidasu yo response:	Saihate no chi ni saku hana o sagasou
