context: What is this warm light? response:	Am I the princess? What should I do?
context: That girl...\So, she has learned to use some of the Silver Crystal's power.\Serenity...\Endymion, can you still not forget about her?\Even though it will be forever unrequited,\no matter how much you love Serenity.\Thank you, Tuxedo Mask.\You saved us. response:	Thank you, Sailor Moon!
context: So, she has learned to use some of the Silver Crystal's power.\Serenity...\Endymion, can you still not forget about her?\Even though it will be forever unrequited,\no matter how much you love Serenity.\Thank you, Tuxedo Mask.\You saved us.\Thank you, Sailor Moon! response:	You'll fight with us, won't you?
context: Serenity...\Endymion, can you still not forget about her?\Even though it will be forever unrequited,\no matter how much you love Serenity.\Thank you, Tuxedo Mask.\You saved us.\Thank you, Sailor Moon!\You'll fight with us, won't you? response:	Everyone...
context: Endymion, can you still not forget about her?\Even though it will be forever unrequited,\no matter how much you love Serenity.\Thank you, Tuxedo Mask.\You saved us.\Thank you, Sailor Moon!\You'll fight with us, won't you?\Everyone... response:	Yes!
context: Even though it will be forever unrequited,\no matter how much you love Serenity.\Thank you, Tuxedo Mask.\You saved us.\Thank you, Sailor Moon!\You'll fight with us, won't you?\Everyone...\Yes! response:	Looks like we've cleared the first hurdle.
context: no matter how much you love Serenity.\Thank you, Tuxedo Mask.\You saved us.\Thank you, Sailor Moon!\You'll fight with us, won't you?\Everyone...\Yes!\Looks like we've cleared the first hurdle. response:	You did a good job, Usagi!
context: Thank you, Tuxedo Mask.\You saved us.\Thank you, Sailor Moon!\You'll fight with us, won't you?\Everyone...\Yes!\Looks like we've cleared the first hurdle.\You did a good job, Usagi! response:	Let's all keep working together and do our best!
context: You saved us.\Thank you, Sailor Moon!\You'll fight with us, won't you?\Everyone...\Yes!\Looks like we've cleared the first hurdle.\You did a good job, Usagi!\Let's all keep working together and do our best! response:	As long as we do, we'll be able to overcome any hardship!
context: Thank you, Sailor Moon!\You'll fight with us, won't you?\Everyone...\Yes!\Looks like we've cleared the first hurdle.\You did a good job, Usagi!\Let's all keep working together and do our best!\As long as we do, we'll be able to overcome any hardship! response:	Yes.
context: You'll fight with us, won't you?\Everyone...\Yes!\Looks like we've cleared the first hurdle.\You did a good job, Usagi!\Let's all keep working together and do our best!\As long as we do, we'll be able to overcome any hardship!\Yes. response:	And Tuxedo Mask is certainly alive somewhere, too.
context: Everyone...\Yes!\Looks like we've cleared the first hurdle.\You did a good job, Usagi!\Let's all keep working together and do our best!\As long as we do, we'll be able to overcome any hardship!\Yes.\And Tuxedo Mask is certainly alive somewhere, too. response:	During the day, the fragrance of flowers
context: Yes!\Looks like we've cleared the first hurdle.\You did a good job, Usagi!\Let's all keep working together and do our best!\As long as we do, we'll be able to overcome any hardship!\Yes.\And Tuxedo Mask is certainly alive somewhere, too.\During the day, the fragrance of flowers response:	During the night, the twinkle of the stars
context: Looks like we've cleared the first hurdle.\You did a good job, Usagi!\Let's all keep working together and do our best!\As long as we do, we'll be able to overcome any hardship!\Yes.\And Tuxedo Mask is certainly alive somewhere, too.\During the day, the fragrance of flowers\During the night, the twinkle of the stars response:	It's a world no one knows about
context: You did a good job, Usagi!\Let's all keep working together and do our best!\As long as we do, we'll be able to overcome any hardship!\Yes.\And Tuxedo Mask is certainly alive somewhere, too.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about response:	With white shoes clicking
context: Let's all keep working together and do our best!\As long as we do, we'll be able to overcome any hardship!\Yes.\And Tuxedo Mask is certainly alive somewhere, too.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking response:	Cross the white moon bridge
context: As long as we do, we'll be able to overcome any hardship!\Yes.\And Tuxedo Mask is certainly alive somewhere, too.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge response:	And there lives a princess, dreaming of a sweet kiss
context: Yes.\And Tuxedo Mask is certainly alive somewhere, too.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss response:	Offer a prayer to the moon
context: And Tuxedo Mask is certainly alive somewhere, too.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon response:	It will surely bring you happiness
context: During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness response:	Go round and round, the moon's merry-go-round
context: During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round response:	Make that serene dress made of glass flutter in the wind
context: It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round\Make that serene dress made of glass flutter in the wind response:	She's always watching over us
context: With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round\Make that serene dress made of glass flutter in the wind\She's always watching over us response:	Moon, moon princess
