context: I was reunited with the young man at my friend's residence. response:	His soul, which does not know what it means to love another,
context: If the price was right, he'd sell me off without giving it a second thought.\As long as we stay here, we'll never be able to get out from under our parents' thumbs.\I want to live more freely.\I love the piano. I want to play all over the world.\Eugenie...\I want to live somewhere far away. Somewhere that my parents can't reach me.\Then let's go.\You and me. Let's leave home. response:	Idiot.
context: As long as we stay here, we'll never be able to get out from under our parents' thumbs.\I want to live more freely.\I love the piano. I want to play all over the world.\Eugenie...\I want to live somewhere far away. Somewhere that my parents can't reach me.\Then let's go.\You and me. Let's leave home.\Idiot. response:	Why am I an idiot?
context: I want to live more freely.\I love the piano. I want to play all over the world.\Eugenie...\I want to live somewhere far away. Somewhere that my parents can't reach me.\Then let's go.\You and me. Let's leave home.\Idiot.\Why am I an idiot? response:	Let's go back. I have to get fitted for my dress tonight.
context: I love the piano. I want to play all over the world.\Eugenie...\I want to live somewhere far away. Somewhere that my parents can't reach me.\Then let's go.\You and me. Let's leave home.\Idiot.\Why am I an idiot?\Let's go back. I have to get fitted for my dress tonight. response:	I thought you wanted to leave here! Hey!
context: Eugenie...\I want to live somewhere far away. Somewhere that my parents can't reach me.\Then let's go.\You and me. Let's leave home.\Idiot.\Why am I an idiot?\Let's go back. I have to get fitted for my dress tonight.\I thought you wanted to leave here! Hey! response:	Hey, where's Valentine?
context: I want to live somewhere far away. Somewhere that my parents can't reach me.\Then let's go.\You and me. Let's leave home.\Idiot.\Why am I an idiot?\Let's go back. I have to get fitted for my dress tonight.\I thought you wanted to leave here! Hey!\Hey, where's Valentine? response:	What about you? I thought you were coming with Eugenie.
context: Then let's go.\You and me. Let's leave home.\Idiot.\Why am I an idiot?\Let's go back. I have to get fitted for my dress tonight.\I thought you wanted to leave here! Hey!\Hey, where's Valentine?\What about you? I thought you were coming with Eugenie. response:	It's true! He even comes to me in my dreams!
context: You and me. Let's leave home.\Idiot.\Why am I an idiot?\Let's go back. I have to get fitted for my dress tonight.\I thought you wanted to leave here! Hey!\Hey, where's Valentine?\What about you? I thought you were coming with Eugenie.\It's true! He even comes to me in my dreams! response:	Do you want to know what he said to me?
context: Idiot.\Why am I an idiot?\Let's go back. I have to get fitted for my dress tonight.\I thought you wanted to leave here! Hey!\Hey, where's Valentine?\What about you? I thought you were coming with Eugenie.\It's true! He even comes to me in my dreams!\Do you want to know what he said to me? response:	What did he say?
context: Why am I an idiot?\Let's go back. I have to get fitted for my dress tonight.\I thought you wanted to leave here! Hey!\Hey, where's Valentine?\What about you? I thought you were coming with Eugenie.\It's true! He even comes to me in my dreams!\Do you want to know what he said to me?\What did he say? response:	Good evening!
context: Let's go back. I have to get fitted for my dress tonight.\I thought you wanted to leave here! Hey!\Hey, where's Valentine?\What about you? I thought you were coming with Eugenie.\It's true! He even comes to me in my dreams!\Do you want to know what he said to me?\What did he say?\Good evening! response:	Good evening.
context: I thought you wanted to leave here! Hey!\Hey, where's Valentine?\What about you? I thought you were coming with Eugenie.\It's true! He even comes to me in my dreams!\Do you want to know what he said to me?\What did he say?\Good evening!\Good evening. response:	I was given an invitation, too, but I feel a bit out of place.
context: Hey, where's Valentine?\What about you? I thought you were coming with Eugenie.\It's true! He even comes to me in my dreams!\Do you want to know what he said to me?\What did he say?\Good evening!\Good evening.\I was given an invitation, too, but I feel a bit out of place. response:	Not at all. It looks wonderful on you.
context: What about you? I thought you were coming with Eugenie.\It's true! He even comes to me in my dreams!\Do you want to know what he said to me?\What did he say?\Good evening!\Good evening.\I was given an invitation, too, but I feel a bit out of place.\Not at all. It looks wonderful on you. response:	Um... It's a loaner.
context: It's true! He even comes to me in my dreams!\Do you want to know what he said to me?\What did he say?\Good evening!\Good evening.\I was given an invitation, too, but I feel a bit out of place.\Not at all. It looks wonderful on you.\Um... It's a loaner. response:	But I thought that the Prince's booth had been sealed up ever since that incident.
context: Do you want to know what he said to me?\What did he say?\Good evening!\Good evening.\I was given an invitation, too, but I feel a bit out of place.\Not at all. It looks wonderful on you.\Um... It's a loaner.\But I thought that the Prince's booth had been sealed up ever since that incident. response:	It's been 20 years since that horrible accident, hasn't it?
context: What did he say?\Good evening!\Good evening.\I was given an invitation, too, but I feel a bit out of place.\Not at all. It looks wonderful on you.\Um... It's a loaner.\But I thought that the Prince's booth had been sealed up ever since that incident.\It's been 20 years since that horrible accident, hasn't it? response:	I heard that someone has put it on permanent reserve.
context: Good evening!\Good evening.\I was given an invitation, too, but I feel a bit out of place.\Not at all. It looks wonderful on you.\Um... It's a loaner.\But I thought that the Prince's booth had been sealed up ever since that incident.\It's been 20 years since that horrible accident, hasn't it?\I heard that someone has put it on permanent reserve. response:	It's unnerving, isn't it? It's as if the late Prince has returned.
context: Good evening.\I was given an invitation, too, but I feel a bit out of place.\Not at all. It looks wonderful on you.\Um... It's a loaner.\But I thought that the Prince's booth had been sealed up ever since that incident.\It's been 20 years since that horrible accident, hasn't it?\I heard that someone has put it on permanent reserve.\It's unnerving, isn't it? It's as if the late Prince has returned. response:	Come now, let's stop talking about such frightful things.
context: I was given an invitation, too, but I feel a bit out of place.\Not at all. It looks wonderful on you.\Um... It's a loaner.\But I thought that the Prince's booth had been sealed up ever since that incident.\It's been 20 years since that horrible accident, hasn't it?\I heard that someone has put it on permanent reserve.\It's unnerving, isn't it? It's as if the late Prince has returned.\Come now, let's stop talking about such frightful things. response:	What a handsome gentleman...
context: Not at all. It looks wonderful on you.\Um... It's a loaner.\But I thought that the Prince's booth had been sealed up ever since that incident.\It's been 20 years since that horrible accident, hasn't it?\I heard that someone has put it on permanent reserve.\It's unnerving, isn't it? It's as if the late Prince has returned.\Come now, let's stop talking about such frightful things.\What a handsome gentleman... response:	Who is the young lady next to him?
context: Um... It's a loaner.\But I thought that the Prince's booth had been sealed up ever since that incident.\It's been 20 years since that horrible accident, hasn't it?\I heard that someone has put it on permanent reserve.\It's unnerving, isn't it? It's as if the late Prince has returned.\Come now, let's stop talking about such frightful things.\What a handsome gentleman...\Who is the young lady next to him? response:	I don't know, but she's so lovely, isn't she?
context: But I thought that the Prince's booth had been sealed up ever since that incident.\It's been 20 years since that horrible accident, hasn't it?\I heard that someone has put it on permanent reserve.\It's unnerving, isn't it? It's as if the late Prince has returned.\Come now, let's stop talking about such frightful things.\What a handsome gentleman...\Who is the young lady next to him?\I don't know, but she's so lovely, isn't she? response:	Albert, who is your friend?
context: It's been 20 years since that horrible accident, hasn't it?\I heard that someone has put it on permanent reserve.\It's unnerving, isn't it? It's as if the late Prince has returned.\Come now, let's stop talking about such frightful things.\What a handsome gentleman...\Who is the young lady next to him?\I don't know, but she's so lovely, isn't she?\Albert, who is your friend? response:	Madame!
context: I heard that someone has put it on permanent reserve.\It's unnerving, isn't it? It's as if the late Prince has returned.\Come now, let's stop talking about such frightful things.\What a handsome gentleman...\Who is the young lady next to him?\I don't know, but she's so lovely, isn't she?\Albert, who is your friend?\Madame! response:	What?! Don't make such a racket...
context: It's unnerving, isn't it? It's as if the late Prince has returned.\Come now, let's stop talking about such frightful things.\What a handsome gentleman...\Who is the young lady next to him?\I don't know, but she's so lovely, isn't she?\Albert, who is your friend?\Madame!\What?! Don't make such a racket... response:	Your horse, Madame! Eclipse has returned!
context: Come now, let's stop talking about such frightful things.\What a handsome gentleman...\Who is the young lady next to him?\I don't know, but she's so lovely, isn't she?\Albert, who is your friend?\Madame!\What?! Don't make such a racket...\Your horse, Madame! Eclipse has returned! response:	What did you say?!
context: What a handsome gentleman...\Who is the young lady next to him?\I don't know, but she's so lovely, isn't she?\Albert, who is your friend?\Madame!\What?! Don't make such a racket...\Your horse, Madame! Eclipse has returned!\What did you say?! response:	A new set of box seats was unveiled today.
context: Who is the young lady next to him?\I don't know, but she's so lovely, isn't she?\Albert, who is your friend?\Madame!\What?! Don't make such a racket...\Your horse, Madame! Eclipse has returned!\What did you say?!\A new set of box seats was unveiled today. response:	It must be Monte Cristo.
context: I don't know, but she's so lovely, isn't she?\Albert, who is your friend?\Madame!\What?! Don't make such a racket...\Your horse, Madame! Eclipse has returned!\What did you say?!\A new set of box seats was unveiled today.\It must be Monte Cristo. response:	Where are his seats?
context: Albert, who is your friend?\Madame!\What?! Don't make such a racket...\Your horse, Madame! Eclipse has returned!\What did you say?!\A new set of box seats was unveiled today.\It must be Monte Cristo.\Where are his seats? response:	That's... That's the late Prince's box!
context: Madame!\What?! Don't make such a racket...\Your horse, Madame! Eclipse has returned!\What did you say?!\A new set of box seats was unveiled today.\It must be Monte Cristo.\Where are his seats?\That's... That's the late Prince's box! response:	What's the meaning of this?!
context: What?! Don't make such a racket...\Your horse, Madame! Eclipse has returned!\What did you say?!\A new set of box seats was unveiled today.\It must be Monte Cristo.\Where are his seats?\That's... That's the late Prince's box!\What's the meaning of this?! response:	I haven't been informed of any of the details, Monsieur.
context: Your horse, Madame! Eclipse has returned!\What did you say?!\A new set of box seats was unveiled today.\It must be Monte Cristo.\Where are his seats?\That's... That's the late Prince's box!\What's the meaning of this?!\I haven't been informed of any of the details, Monsieur. response:	How can this be?!
context: What did you say?!\A new set of box seats was unveiled today.\It must be Monte Cristo.\Where are his seats?\That's... That's the late Prince's box!\What's the meaning of this?!\I haven't been informed of any of the details, Monsieur.\How can this be?! response:	I can't believe it!
context: A new set of box seats was unveiled today.\It must be Monte Cristo.\Where are his seats?\That's... That's the late Prince's box!\What's the meaning of this?!\I haven't been informed of any of the details, Monsieur.\How can this be?!\I can't believe it! response:	His Excellency the Count of Monte Cristo ordered me to give this to Madame...
context: It must be Monte Cristo.\Where are his seats?\That's... That's the late Prince's box!\What's the meaning of this?!\I haven't been informed of any of the details, Monsieur.\How can this be?!\I can't believe it!\His Excellency the Count of Monte Cristo ordered me to give this to Madame... response:	Oh, I don't know what to say! What a wonderful gift!
context: Where are his seats?\That's... That's the late Prince's box!\What's the meaning of this?!\I haven't been informed of any of the details, Monsieur.\How can this be?!\I can't believe it!\His Excellency the Count of Monte Cristo ordered me to give this to Madame...\Oh, I don't know what to say! What a wonderful gift! response:	Deposit of 4.5 trillion dollars from Vanderbilt Far East of Cygnus Alpha.
context: That's... That's the late Prince's box!\What's the meaning of this?!\I haven't been informed of any of the details, Monsieur.\How can this be?!\I can't believe it!\His Excellency the Count of Monte Cristo ordered me to give this to Madame...\Oh, I don't know what to say! What a wonderful gift!\Deposit of 4.5 trillion dollars from Vanderbilt Far East of Cygnus Alpha. response:	Deposit of 328 trillion pesos from the Space Canal Corporation in the Union of Northern Sanctuaries.
context: What's the meaning of this?!\I haven't been informed of any of the details, Monsieur.\How can this be?!\I can't believe it!\His Excellency the Count of Monte Cristo ordered me to give this to Madame...\Oh, I don't know what to say! What a wonderful gift!\Deposit of 4.5 trillion dollars from Vanderbilt Far East of Cygnus Alpha.\Deposit of 328 trillion pesos from the Space Canal Corporation in the Union of Northern Sanctuaries. response:	Deposit of 14.2 billion pounds...
context: I haven't been informed of any of the details, Monsieur.\How can this be?!\I can't believe it!\His Excellency the Count of Monte Cristo ordered me to give this to Madame...\Oh, I don't know what to say! What a wonderful gift!\Deposit of 4.5 trillion dollars from Vanderbilt Far East of Cygnus Alpha.\Deposit of 328 trillion pesos from the Space Canal Corporation in the Union of Northern Sanctuaries.\Deposit of 14.2 billion pounds... response:	Deposit after deposit of foreign currency...
context: How can this be?!\I can't believe it!\His Excellency the Count of Monte Cristo ordered me to give this to Madame...\Oh, I don't know what to say! What a wonderful gift!\Deposit of 4.5 trillion dollars from Vanderbilt Far East of Cygnus Alpha.\Deposit of 328 trillion pesos from the Space Canal Corporation in the Union of Northern Sanctuaries.\Deposit of 14.2 billion pounds...\Deposit after deposit of foreign currency... response:	Who the hell is that man?
context: I can't believe it!\His Excellency the Count of Monte Cristo ordered me to give this to Madame...\Oh, I don't know what to say! What a wonderful gift!\Deposit of 4.5 trillion dollars from Vanderbilt Far East of Cygnus Alpha.\Deposit of 328 trillion pesos from the Space Canal Corporation in the Union of Northern Sanctuaries.\Deposit of 14.2 billion pounds...\Deposit after deposit of foreign currency...\Who the hell is that man? response:	Where is he making all this money?
context: His Excellency the Count of Monte Cristo ordered me to give this to Madame...\Oh, I don't know what to say! What a wonderful gift!\Deposit of 4.5 trillion dollars from Vanderbilt Far East of Cygnus Alpha.\Deposit of 328 trillion pesos from the Space Canal Corporation in the Union of Northern Sanctuaries.\Deposit of 14.2 billion pounds...\Deposit after deposit of foreign currency...\Who the hell is that man?\Where is he making all this money? response:	Oh, the Count of Monte Cristo! What a magnificent man he is!
context: Oh, I don't know what to say! What a wonderful gift!\Deposit of 4.5 trillion dollars from Vanderbilt Far East of Cygnus Alpha.\Deposit of 328 trillion pesos from the Space Canal Corporation in the Union of Northern Sanctuaries.\Deposit of 14.2 billion pounds...\Deposit after deposit of foreign currency...\Who the hell is that man?\Where is he making all this money?\Oh, the Count of Monte Cristo! What a magnificent man he is! response:	What a magnificent man!
context: Deposit of 4.5 trillion dollars from Vanderbilt Far East of Cygnus Alpha.\Deposit of 328 trillion pesos from the Space Canal Corporation in the Union of Northern Sanctuaries.\Deposit of 14.2 billion pounds...\Deposit after deposit of foreign currency...\Who the hell is that man?\Where is he making all this money?\Oh, the Count of Monte Cristo! What a magnificent man he is!\What a magnificent man! response:	Michelle, that man is hiding something.
context: Deposit of 328 trillion pesos from the Space Canal Corporation in the Union of Northern Sanctuaries.\Deposit of 14.2 billion pounds...\Deposit after deposit of foreign currency...\Who the hell is that man?\Where is he making all this money?\Oh, the Count of Monte Cristo! What a magnificent man he is!\What a magnificent man!\Michelle, that man is hiding something. response:	I detect no suspicious activity.
context: Deposit of 14.2 billion pounds...\Deposit after deposit of foreign currency...\Who the hell is that man?\Where is he making all this money?\Oh, the Count of Monte Cristo! What a magnificent man he is!\What a magnificent man!\Michelle, that man is hiding something.\I detect no suspicious activity. response:	Leave no stone unturned. Run thorough checks on everyone he does business with.
context: Deposit after deposit of foreign currency...\Who the hell is that man?\Where is he making all this money?\Oh, the Count of Monte Cristo! What a magnificent man he is!\What a magnificent man!\Michelle, that man is hiding something.\I detect no suspicious activity.\Leave no stone unturned. Run thorough checks on everyone he does business with. response:	Understood.
context: Who the hell is that man?\Where is he making all this money?\Oh, the Count of Monte Cristo! What a magnificent man he is!\What a magnificent man!\Michelle, that man is hiding something.\I detect no suspicious activity.\Leave no stone unturned. Run thorough checks on everyone he does business with.\Understood. response:	That's the man...
context: Where is he making all this money?\Oh, the Count of Monte Cristo! What a magnificent man he is!\What a magnificent man!\Michelle, that man is hiding something.\I detect no suspicious activity.\Leave no stone unturned. Run thorough checks on everyone he does business with.\Understood.\That's the man... response:	That's the man who...
context: Oh, the Count of Monte Cristo! What a magnificent man he is!\What a magnificent man!\Michelle, that man is hiding something.\I detect no suspicious activity.\Leave no stone unturned. Run thorough checks on everyone he does business with.\Understood.\That's the man...\That's the man who... response:	Hoping to help a friend with the feelings that he secretly harbors,
context: What a magnificent man!\Michelle, that man is hiding something.\I detect no suspicious activity.\Leave no stone unturned. Run thorough checks on everyone he does business with.\Understood.\That's the man...\That's the man who...\Hoping to help a friend with the feelings that he secretly harbors, response:	But what I witness there is...
context: Michelle, that man is hiding something.\I detect no suspicious activity.\Leave no stone unturned. Run thorough checks on everyone he does business with.\Understood.\That's the man...\That's the man who...\Hoping to help a friend with the feelings that he secretly harbors,\But what I witness there is... response:	Act 7: The Secret Flower Garden
context: I detect no suspicious activity.\Leave no stone unturned. Run thorough checks on everyone he does business with.\Understood.\That's the man...\That's the man who...\Hoping to help a friend with the feelings that he secretly harbors,\But what I witness there is...\Act 7: The Secret Flower Garden response:	Bide your time, and hold out hope!
