context: This is Earthland, in the outskirts of Magnolia. response:	We're back!
context: A guild?\Everyone was a little different, but there were familiar faces right there.\Plus, everyone assumed I was Edolas's Lisanna.\I figured that Edolas's Lisanna had already died.\I could tell from the way the guild treated me.\Lisanna's alive, Nee-chan!\When you fell from so high up... I thought you were done for!\I didn't understand at the time, but when I think about it now, response:	perhaps the Anima was trying to complete something Edolas lacked,
context: Everyone was a little different, but there were familiar faces right there.\Plus, everyone assumed I was Edolas's Lisanna.\I figured that Edolas's Lisanna had already died.\I could tell from the way the guild treated me.\Lisanna's alive, Nee-chan!\When you fell from so high up... I thought you were done for!\I didn't understand at the time, but when I think about it now,\perhaps the Anima was trying to complete something Edolas lacked, response:	by sucking me up when their Lisanna died...
context: Plus, everyone assumed I was Edolas's Lisanna.\I figured that Edolas's Lisanna had already died.\I could tell from the way the guild treated me.\Lisanna's alive, Nee-chan!\When you fell from so high up... I thought you were done for!\I didn't understand at the time, but when I think about it now,\perhaps the Anima was trying to complete something Edolas lacked,\by sucking me up when their Lisanna died... response:	Don't go anywhere ever again!
context: I figured that Edolas's Lisanna had already died.\I could tell from the way the guild treated me.\Lisanna's alive, Nee-chan!\When you fell from so high up... I thought you were done for!\I didn't understand at the time, but when I think about it now,\perhaps the Anima was trying to complete something Edolas lacked,\by sucking me up when their Lisanna died...\Don't go anywhere ever again! response:	Lisanna!
context: I could tell from the way the guild treated me.\Lisanna's alive, Nee-chan!\When you fell from so high up... I thought you were done for!\I didn't understand at the time, but when I think about it now,\perhaps the Anima was trying to complete something Edolas lacked,\by sucking me up when their Lisanna died...\Don't go anywhere ever again!\Lisanna! response:	Um...
context: Lisanna's alive, Nee-chan!\When you fell from so high up... I thought you were done for!\I didn't understand at the time, but when I think about it now,\perhaps the Anima was trying to complete something Edolas lacked,\by sucking me up when their Lisanna died...\Don't go anywhere ever again!\Lisanna!\Um... response:	I couldn't say the truth.
context: When you fell from so high up... I thought you were done for!\I didn't understand at the time, but when I think about it now,\perhaps the Anima was trying to complete something Edolas lacked,\by sucking me up when their Lisanna died...\Don't go anywhere ever again!\Lisanna!\Um...\I couldn't say the truth. response:	I pretended to be Edolas's Lisanna.
context: I didn't understand at the time, but when I think about it now,\perhaps the Anima was trying to complete something Edolas lacked,\by sucking me up when their Lisanna died...\Don't go anywhere ever again!\Lisanna!\Um...\I couldn't say the truth.\I pretended to be Edolas's Lisanna. response:	I'm... home.
context: perhaps the Anima was trying to complete something Edolas lacked,\by sucking me up when their Lisanna died...\Don't go anywhere ever again!\Lisanna!\Um...\I couldn't say the truth.\I pretended to be Edolas's Lisanna.\I'm... home. response:	I was unsure at first, but soon my memories got jumbled,
context: by sucking me up when their Lisanna died...\Don't go anywhere ever again!\Lisanna!\Um...\I couldn't say the truth.\I pretended to be Edolas's Lisanna.\I'm... home.\I was unsure at first, but soon my memories got jumbled, response:	and I learned bit by bit about Edolas...
context: Don't go anywhere ever again!\Lisanna!\Um...\I couldn't say the truth.\I pretended to be Edolas's Lisanna.\I'm... home.\I was unsure at first, but soon my memories got jumbled,\and I learned bit by bit about Edolas... response:	Together with everyone, I got used to the way of life in Edolas.
context: Lisanna!\Um...\I couldn't say the truth.\I pretended to be Edolas's Lisanna.\I'm... home.\I was unsure at first, but soon my memories got jumbled,\and I learned bit by bit about Edolas...\Together with everyone, I got used to the way of life in Edolas. response:	Then, after two years passed...
context: Um...\I couldn't say the truth.\I pretended to be Edolas's Lisanna.\I'm... home.\I was unsure at first, but soon my memories got jumbled,\and I learned bit by bit about Edolas...\Together with everyone, I got used to the way of life in Edolas.\Then, after two years passed... response:	Six days ago Earthland Natsu and Happy showed up.
context: I couldn't say the truth.\I pretended to be Edolas's Lisanna.\I'm... home.\I was unsure at first, but soon my memories got jumbled,\and I learned bit by bit about Edolas...\Together with everyone, I got used to the way of life in Edolas.\Then, after two years passed...\Six days ago Earthland Natsu and Happy showed up. response:	Back then?
context: I pretended to be Edolas's Lisanna.\I'm... home.\I was unsure at first, but soon my memories got jumbled,\and I learned bit by bit about Edolas...\Together with everyone, I got used to the way of life in Edolas.\Then, after two years passed...\Six days ago Earthland Natsu and Happy showed up.\Back then? response:	Why didn't you tell us the truth then?
context: I'm... home.\I was unsure at first, but soon my memories got jumbled,\and I learned bit by bit about Edolas...\Together with everyone, I got used to the way of life in Edolas.\Then, after two years passed...\Six days ago Earthland Natsu and Happy showed up.\Back then?\Why didn't you tell us the truth then? response:	I just couldn't...
context: I was unsure at first, but soon my memories got jumbled,\and I learned bit by bit about Edolas...\Together with everyone, I got used to the way of life in Edolas.\Then, after two years passed...\Six days ago Earthland Natsu and Happy showed up.\Back then?\Why didn't you tell us the truth then?\I just couldn't... response:	So you're saying you've come from another world called Earthland?
context: and I learned bit by bit about Edolas...\Together with everyone, I got used to the way of life in Edolas.\Then, after two years passed...\Six days ago Earthland Natsu and Happy showed up.\Back then?\Why didn't you tell us the truth then?\I just couldn't...\So you're saying you've come from another world called Earthland? response:	What's the matter, Lisannna?
context: Together with everyone, I got used to the way of life in Edolas.\Then, after two years passed...\Six days ago Earthland Natsu and Happy showed up.\Back then?\Why didn't you tell us the truth then?\I just couldn't...\So you're saying you've come from another world called Earthland?\What's the matter, Lisannna? response:	It's Natsu...
context: Then, after two years passed...\Six days ago Earthland Natsu and Happy showed up.\Back then?\Why didn't you tell us the truth then?\I just couldn't...\So you're saying you've come from another world called Earthland?\What's the matter, Lisannna?\It's Natsu... response:	That's the Natsu and Happy I know...
context: Six days ago Earthland Natsu and Happy showed up.\Back then?\Why didn't you tell us the truth then?\I just couldn't...\So you're saying you've come from another world called Earthland?\What's the matter, Lisannna?\It's Natsu...\That's the Natsu and Happy I know... response:	I can't let them find out...
context: Back then?\Why didn't you tell us the truth then?\I just couldn't...\So you're saying you've come from another world called Earthland?\What's the matter, Lisannna?\It's Natsu...\That's the Natsu and Happy I know...\I can't let them find out... response:	I don't want to make Mira-nee and Elf-niichan sad ever again...
context: Why didn't you tell us the truth then?\I just couldn't...\So you're saying you've come from another world called Earthland?\What's the matter, Lisannna?\It's Natsu...\That's the Natsu and Happy I know...\I can't let them find out...\I don't want to make Mira-nee and Elf-niichan sad ever again... response:	I've got to get through this..
context: I just couldn't...\So you're saying you've come from another world called Earthland?\What's the matter, Lisannna?\It's Natsu...\That's the Natsu and Happy I know...\I can't let them find out...\I don't want to make Mira-nee and Elf-niichan sad ever again...\I've got to get through this.. response:	I'm going to live on here in Edolas!
context: So you're saying you've come from another world called Earthland?\What's the matter, Lisannna?\It's Natsu...\That's the Natsu and Happy I know...\I can't let them find out...\I don't want to make Mira-nee and Elf-niichan sad ever again...\I've got to get through this..\I'm going to live on here in Edolas! response:	But...
context: What's the matter, Lisannna?\It's Natsu...\That's the Natsu and Happy I know...\I can't let them find out...\I don't want to make Mira-nee and Elf-niichan sad ever again...\I've got to get through this..\I'm going to live on here in Edolas!\But... response:	Hey, Lisanna!
context: It's Natsu...\That's the Natsu and Happy I know...\I can't let them find out...\I don't want to make Mira-nee and Elf-niichan sad ever again...\I've got to get through this..\I'm going to live on here in Edolas!\But...\Hey, Lisanna! response:	Your body...
context: That's the Natsu and Happy I know...\I can't let them find out...\I don't want to make Mira-nee and Elf-niichan sad ever again...\I've got to get through this..\I'm going to live on here in Edolas!\But...\Hey, Lisanna!\Your body... response:	T-That's not it, everyone! I'm...
context: I can't let them find out...\I don't want to make Mira-nee and Elf-niichan sad ever again...\I've got to get through this..\I'm going to live on here in Edolas!\But...\Hey, Lisanna!\Your body...\T-That's not it, everyone! I'm... response:	It's okay... We know.
context: I don't want to make Mira-nee and Elf-niichan sad ever again...\I've got to get through this..\I'm going to live on here in Edolas!\But...\Hey, Lisanna!\Your body...\T-That's not it, everyone! I'm...\It's okay... We know. response:	Sorry about not saying that we realized...
context: I've got to get through this..\I'm going to live on here in Edolas!\But...\Hey, Lisanna!\Your body...\T-That's not it, everyone! I'm...\It's okay... We know.\Sorry about not saying that we realized... response:	You're a kind girl, just like our Lisanna that died...
context: I'm going to live on here in Edolas!\But...\Hey, Lisanna!\Your body...\T-That's not it, everyone! I'm...\It's okay... We know.\Sorry about not saying that we realized...\You're a kind girl, just like our Lisanna that died... response:	So you mustn't make your real big brother and sister cry any longer.
context: But...\Hey, Lisanna!\Your body...\T-That's not it, everyone! I'm...\It's okay... We know.\Sorry about not saying that we realized...\You're a kind girl, just like our Lisanna that died...\So you mustn't make your real big brother and sister cry any longer. response:	Mira-nee... Elf-niichan!
context: Hey, Lisanna!\Your body...\T-That's not it, everyone! I'm...\It's okay... We know.\Sorry about not saying that we realized...\You're a kind girl, just like our Lisanna that died...\So you mustn't make your real big brother and sister cry any longer.\Mira-nee... Elf-niichan! response:	Go back to the world you came from, Lisanna.
context: Your body...\T-That's not it, everyone! I'm...\It's okay... We know.\Sorry about not saying that we realized...\You're a kind girl, just like our Lisanna that died...\So you mustn't make your real big brother and sister cry any longer.\Mira-nee... Elf-niichan!\Go back to the world you came from, Lisanna. response:	Give our best wishes to the Earthland versions of us...
context: T-That's not it, everyone! I'm...\It's okay... We know.\Sorry about not saying that we realized...\You're a kind girl, just like our Lisanna that died...\So you mustn't make your real big brother and sister cry any longer.\Mira-nee... Elf-niichan!\Go back to the world you came from, Lisanna.\Give our best wishes to the Earthland versions of us... response:	Mira-nee!!!
context: It's okay... We know.\Sorry about not saying that we realized...\You're a kind girl, just like our Lisanna that died...\So you mustn't make your real big brother and sister cry any longer.\Mira-nee... Elf-niichan!\Go back to the world you came from, Lisanna.\Give our best wishes to the Earthland versions of us...\Mira-nee!!! response:	Earthland... Kardia Cathedral.
context: Sorry about not saying that we realized...\You're a kind girl, just like our Lisanna that died...\So you mustn't make your real big brother and sister cry any longer.\Mira-nee... Elf-niichan!\Go back to the world you came from, Lisanna.\Give our best wishes to the Earthland versions of us...\Mira-nee!!!\Earthland... Kardia Cathedral. response:	Nee-chan, we should get going...
context: You're a kind girl, just like our Lisanna that died...\So you mustn't make your real big brother and sister cry any longer.\Mira-nee... Elf-niichan!\Go back to the world you came from, Lisanna.\Give our best wishes to the Earthland versions of us...\Mira-nee!!!\Earthland... Kardia Cathedral.\Nee-chan, we should get going... response:	Just a little longer.
context: So you mustn't make your real big brother and sister cry any longer.\Mira-nee... Elf-niichan!\Go back to the world you came from, Lisanna.\Give our best wishes to the Earthland versions of us...\Mira-nee!!!\Earthland... Kardia Cathedral.\Nee-chan, we should get going...\Just a little longer. response:	Mira-nee!
context: Mira-nee... Elf-niichan!\Go back to the world you came from, Lisanna.\Give our best wishes to the Earthland versions of us...\Mira-nee!!!\Earthland... Kardia Cathedral.\Nee-chan, we should get going...\Just a little longer.\Mira-nee! response:	Mira-nee!
context: Go back to the world you came from, Lisanna.\Give our best wishes to the Earthland versions of us...\Mira-nee!!!\Earthland... Kardia Cathedral.\Nee-chan, we should get going...\Just a little longer.\Mira-nee!\Mira-nee! response:	Elf-niichan!
context: Give our best wishes to the Earthland versions of us...\Mira-nee!!!\Earthland... Kardia Cathedral.\Nee-chan, we should get going...\Just a little longer.\Mira-nee!\Mira-nee!\Elf-niichan! response:	No way...
context: Mira-nee!!!\Earthland... Kardia Cathedral.\Nee-chan, we should get going...\Just a little longer.\Mira-nee!\Mira-nee!\Elf-niichan!\No way... response:	Lisanna!
context: Earthland... Kardia Cathedral.\Nee-chan, we should get going...\Just a little longer.\Mira-nee!\Mira-nee!\Elf-niichan!\No way...\Lisanna! response:	I'm home.
context: Nee-chan, we should get going...\Just a little longer.\Mira-nee!\Mira-nee!\Elf-niichan!\No way...\Lisanna!\I'm home. response:	Well, that's strange... Where'd it go?
context: Just a little longer.\Mira-nee!\Mira-nee!\Elf-niichan!\No way...\Lisanna!\I'm home.\Well, that's strange... Where'd it go? response:	What's wrong?
context: Mira-nee!\Mira-nee!\Elf-niichan!\No way...\Lisanna!\I'm home.\Well, that's strange... Where'd it go?\What's wrong? response:	The thing I left out for a snack today is all gone.
context: Mira-nee!\Elf-niichan!\No way...\Lisanna!\I'm home.\Well, that's strange... Where'd it go?\What's wrong?\The thing I left out for a snack today is all gone. response:	You've been leaving stuff out all over the place.
context: Elf-niichan!\No way...\Lisanna!\I'm home.\Well, that's strange... Where'd it go?\What's wrong?\The thing I left out for a snack today is all gone.\You've been leaving stuff out all over the place. response:	What did you leave out?
context: No way...\Lisanna!\I'm home.\Well, that's strange... Where'd it go?\What's wrong?\The thing I left out for a snack today is all gone.\You've been leaving stuff out all over the place.\What did you leave out? response:	I had flames left over from last night's dinner, so I put'em into a tin...
context: Lisanna!\I'm home.\Well, that's strange... Where'd it go?\What's wrong?\The thing I left out for a snack today is all gone.\You've been leaving stuff out all over the place.\What did you leave out?\I had flames left over from last night's dinner, so I put'em into a tin... response:	But now it's totally empty!
context: I'm home.\Well, that's strange... Where'd it go?\What's wrong?\The thing I left out for a snack today is all gone.\You've been leaving stuff out all over the place.\What did you leave out?\I had flames left over from last night's dinner, so I put'em into a tin...\But now it's totally empty! response:	Next time: That Which Erases Life.
context: Well, that's strange... Where'd it go?\What's wrong?\The thing I left out for a snack today is all gone.\You've been leaving stuff out all over the place.\What did you leave out?\I had flames left over from last night's dinner, so I put'em into a tin...\But now it's totally empty!\Next time: That Which Erases Life. response:	Oh, yeah... Mira put it out, saying it could start a fire...
context: What's wrong?\The thing I left out for a snack today is all gone.\You've been leaving stuff out all over the place.\What did you leave out?\I had flames left over from last night's dinner, so I put'em into a tin...\But now it's totally empty!\Next time: That Which Erases Life.\Oh, yeah... Mira put it out, saying it could start a fire... response:	It was her!
context: The thing I left out for a snack today is all gone.\You've been leaving stuff out all over the place.\What did you leave out?\I had flames left over from last night's dinner, so I put'em into a tin...\But now it's totally empty!\Next time: That Which Erases Life.\Oh, yeah... Mira put it out, saying it could start a fire...\It was her! response:	I'm with Mira on this one...
