context: Is that what the king has been up to? response:	Malty-sama must've talked him into it.
context: Speed Down!\Here's my chance!\Damn it!\What are you doing? Run faster!\Filo! One last lap!\Accursed beast!\Decipher the laws of nature and hasten my target.\Fast Speed! response:	He's blocking my path!
context: Here's my chance!\Damn it!\What are you doing? Run faster!\Filo! One last lap!\Accursed beast!\Decipher the laws of nature and hasten my target.\Fast Speed!\He's blocking my path! response:	We're heading straight for the hole!
context: Damn it!\What are you doing? Run faster!\Filo! One last lap!\Accursed beast!\Decipher the laws of nature and hasten my target.\Fast Speed!\He's blocking my path!\We're heading straight for the hole! response:	Let's do this, Filo!
context: What are you doing? Run faster!\Filo! One last lap!\Accursed beast!\Decipher the laws of nature and hasten my target.\Fast Speed!\He's blocking my path!\We're heading straight for the hole!\Let's do this, Filo! response:	Air Strike Shield!
context: Filo! One last lap!\Accursed beast!\Decipher the laws of nature and hasten my target.\Fast Speed!\He's blocking my path!\We're heading straight for the hole!\Let's do this, Filo!\Air Strike Shield! response:	Naofumi-sama!
context: Accursed beast!\Decipher the laws of nature and hasten my target.\Fast Speed!\He's blocking my path!\We're heading straight for the hole!\Let's do this, Filo!\Air Strike Shield!\Naofumi-sama! response:	Hang in there, Shield Hero!
context: Decipher the laws of nature and hasten my target.\Fast Speed!\He's blocking my path!\We're heading straight for the hole!\Let's do this, Filo!\Air Strike Shield!\Naofumi-sama!\Hang in there, Shield Hero! response:	Faster!
context: Fast Speed!\He's blocking my path!\We're heading straight for the hole!\Let's do this, Filo!\Air Strike Shield!\Naofumi-sama!\Hang in there, Shield Hero!\Faster! response:	Don't let him beat you! Keep running!
context: He's blocking my path!\We're heading straight for the hole!\Let's do this, Filo!\Air Strike Shield!\Naofumi-sama!\Hang in there, Shield Hero!\Faster!\Don't let him beat you! Keep running! response:	We won, right?
context: We're heading straight for the hole!\Let's do this, Filo!\Air Strike Shield!\Naofumi-sama!\Hang in there, Shield Hero!\Faster!\Don't let him beat you! Keep running!\We won, right? response:	Brilliantly done!
context: Let's do this, Filo!\Air Strike Shield!\Naofumi-sama!\Hang in there, Shield Hero!\Faster!\Don't let him beat you! Keep running!\We won, right?\Brilliantly done! response:	Now we can rest easy and focus on rebuilding the village!
context: Air Strike Shield!\Naofumi-sama!\Hang in there, Shield Hero!\Faster!\Don't let him beat you! Keep running!\We won, right?\Brilliantly done!\Now we can rest easy and focus on rebuilding the village! response:	If you wanna thank someone, thank Filo.
context: Naofumi-sama!\Hang in there, Shield Hero!\Faster!\Don't let him beat you! Keep running!\We won, right?\Brilliantly done!\Now we can rest easy and focus on rebuilding the village!\If you wanna thank someone, thank Filo. response:	You cheated!
context: Hang in there, Shield Hero!\Faster!\Don't let him beat you! Keep running!\We won, right?\Brilliantly done!\Now we can rest easy and focus on rebuilding the village!\If you wanna thank someone, thank Filo.\You cheated! response:	You didn't tell us your filolial was really this massive tub of lard!
context: Faster!\Don't let him beat you! Keep running!\We won, right?\Brilliantly done!\Now we can rest easy and focus on rebuilding the village!\If you wanna thank someone, thank Filo.\You cheated!\You didn't tell us your filolial was really this massive tub of lard! response:	But it only transformed after the race was over.
context: Don't let him beat you! Keep running!\We won, right?\Brilliantly done!\Now we can rest easy and focus on rebuilding the village!\If you wanna thank someone, thank Filo.\You cheated!\You didn't tell us your filolial was really this massive tub of lard!\But it only transformed after the race was over. response:	You're the ones who cheated!
context: We won, right?\Brilliantly done!\Now we can rest easy and focus on rebuilding the village!\If you wanna thank someone, thank Filo.\You cheated!\You didn't tell us your filolial was really this massive tub of lard!\But it only transformed after the race was over.\You're the ones who cheated! response:	Making holes and all that!
context: Brilliantly done!\Now we can rest easy and focus on rebuilding the village!\If you wanna thank someone, thank Filo.\You cheated!\You didn't tell us your filolial was really this massive tub of lard!\But it only transformed after the race was over.\You're the ones who cheated!\Making holes and all that! response:	Holes?
context: Now we can rest easy and focus on rebuilding the village!\If you wanna thank someone, thank Filo.\You cheated!\You didn't tell us your filolial was really this massive tub of lard!\But it only transformed after the race was over.\You're the ones who cheated!\Making holes and all that!\Holes? response:	Do you have any proof?
context: If you wanna thank someone, thank Filo.\You cheated!\You didn't tell us your filolial was really this massive tub of lard!\But it only transformed after the race was over.\You're the ones who cheated!\Making holes and all that!\Holes?\Do you have any proof? response:	The Shield Hero is right.
context: You cheated!\You didn't tell us your filolial was really this massive tub of lard!\But it only transformed after the race was over.\You're the ones who cheated!\Making holes and all that!\Holes?\Do you have any proof?\The Shield Hero is right. response:	We detected traces of magic on the course.
context: You didn't tell us your filolial was really this massive tub of lard!\But it only transformed after the race was over.\You're the ones who cheated!\Making holes and all that!\Holes?\Do you have any proof?\The Shield Hero is right.\We detected traces of magic on the course. response:	I-It was that criminal, obviously!
context: But it only transformed after the race was over.\You're the ones who cheated!\Making holes and all that!\Holes?\Do you have any proof?\The Shield Hero is right.\We detected traces of magic on the course.\I-It was that criminal, obviously! response:	No. The Shield Hero's magic affinities are healing and support.
context: You're the ones who cheated!\Making holes and all that!\Holes?\Do you have any proof?\The Shield Hero is right.\We detected traces of magic on the course.\I-It was that criminal, obviously!\No. The Shield Hero's magic affinities are healing and support. response:	His raccoon friend's are light and dark.
context: Making holes and all that!\Holes?\Do you have any proof?\The Shield Hero is right.\We detected traces of magic on the course.\I-It was that criminal, obviously!\No. The Shield Hero's magic affinities are healing and support.\His raccoon friend's are light and dark. response:	Completely different types than the magic we found.
context: Holes?\Do you have any proof?\The Shield Hero is right.\We detected traces of magic on the course.\I-It was that criminal, obviously!\No. The Shield Hero's magic affinities are healing and support.\His raccoon friend's are light and dark.\Completely different types than the magic we found. response:	When did they learn so much about us?
context: Do you have any proof?\The Shield Hero is right.\We detected traces of magic on the course.\I-It was that criminal, obviously!\No. The Shield Hero's magic affinities are healing and support.\His raccoon friend's are light and dark.\Completely different types than the magic we found.\When did they learn so much about us? response:	It's clear that the Spear Hero's party cheated.
context: The Shield Hero is right.\We detected traces of magic on the course.\I-It was that criminal, obviously!\No. The Shield Hero's magic affinities are healing and support.\His raccoon friend's are light and dark.\Completely different types than the magic we found.\When did they learn so much about us?\It's clear that the Spear Hero's party cheated. response:	F-Fine! We shall leave for today!
context: We detected traces of magic on the course.\I-It was that criminal, obviously!\No. The Shield Hero's magic affinities are healing and support.\His raccoon friend's are light and dark.\Completely different types than the magic we found.\When did they learn so much about us?\It's clear that the Spear Hero's party cheated.\F-Fine! We shall leave for today! response:	I let you win today,
context: I-It was that criminal, obviously!\No. The Shield Hero's magic affinities are healing and support.\His raccoon friend's are light and dark.\Completely different types than the magic we found.\When did they learn so much about us?\It's clear that the Spear Hero's party cheated.\F-Fine! We shall leave for today!\I let you win today, response:	but it won't happen next time!
context: No. The Shield Hero's magic affinities are healing and support.\His raccoon friend's are light and dark.\Completely different types than the magic we found.\When did they learn so much about us?\It's clear that the Spear Hero's party cheated.\F-Fine! We shall leave for today!\I let you win today,\but it won't happen next time! response:	In the first place, this fatso...
context: His raccoon friend's are light and dark.\Completely different types than the magic we found.\When did they learn so much about us?\It's clear that the Spear Hero's party cheated.\F-Fine! We shall leave for today!\I let you win today,\but it won't happen next time!\In the first place, this fatso... response:	Is your crotch okay?
context: Completely different types than the magic we found.\When did they learn so much about us?\It's clear that the Spear Hero's party cheated.\F-Fine! We shall leave for today!\I let you win today,\but it won't happen next time!\In the first place, this fatso...\Is your crotch okay? response:	Naofumi-sama!
context: When did they learn so much about us?\It's clear that the Spear Hero's party cheated.\F-Fine! We shall leave for today!\I let you win today,\but it won't happen next time!\In the first place, this fatso...\Is your crotch okay?\Naofumi-sama! response:	A-Anyway, just you wait! I'll get you yet!
context: It's clear that the Spear Hero's party cheated.\F-Fine! We shall leave for today!\I let you win today,\but it won't happen next time!\In the first place, this fatso...\Is your crotch okay?\Naofumi-sama!\A-Anyway, just you wait! I'll get you yet! response:	Get well soon.
context: F-Fine! We shall leave for today!\I let you win today,\but it won't happen next time!\In the first place, this fatso...\Is your crotch okay?\Naofumi-sama!\A-Anyway, just you wait! I'll get you yet!\Get well soon. response:	Sir Hero, again, thank you so much.
context: I let you win today,\but it won't happen next time!\In the first place, this fatso...\Is your crotch okay?\Naofumi-sama!\A-Anyway, just you wait! I'll get you yet!\Get well soon.\Sir Hero, again, thank you so much. response:	We don't know how to express our gratitude for everything you've done.
context: but it won't happen next time!\In the first place, this fatso...\Is your crotch okay?\Naofumi-sama!\A-Anyway, just you wait! I'll get you yet!\Get well soon.\Sir Hero, again, thank you so much.\We don't know how to express our gratitude for everything you've done. response:	Forget that. Hand over the reward.
context: In the first place, this fatso...\Is your crotch okay?\Naofumi-sama!\A-Anyway, just you wait! I'll get you yet!\Get well soon.\Sir Hero, again, thank you so much.\We don't know how to express our gratitude for everything you've done.\Forget that. Hand over the reward. response:	We're going around the village collecting money now.
context: Is your crotch okay?\Naofumi-sama!\A-Anyway, just you wait! I'll get you yet!\Get well soon.\Sir Hero, again, thank you so much.\We don't know how to express our gratitude for everything you've done.\Forget that. Hand over the reward.\We're going around the village collecting money now. response:	Please give us a few days...
context: Naofumi-sama!\A-Anyway, just you wait! I'll get you yet!\Get well soon.\Sir Hero, again, thank you so much.\We don't know how to express our gratitude for everything you've done.\Forget that. Hand over the reward.\We're going around the village collecting money now.\Please give us a few days... response:	I don't want money.
context: A-Anyway, just you wait! I'll get you yet!\Get well soon.\Sir Hero, again, thank you so much.\We don't know how to express our gratitude for everything you've done.\Forget that. Hand over the reward.\We're going around the village collecting money now.\Please give us a few days...\I don't want money. response:	Sir Hero!
context: Get well soon.\Sir Hero, again, thank you so much.\We don't know how to express our gratitude for everything you've done.\Forget that. Hand over the reward.\We're going around the village collecting money now.\Please give us a few days...\I don't want money.\Sir Hero! response:	I don't want rumors spreading about how I took all your rebuilding funds.
context: Sir Hero, again, thank you so much.\We don't know how to express our gratitude for everything you've done.\Forget that. Hand over the reward.\We're going around the village collecting money now.\Please give us a few days...\I don't want money.\Sir Hero!\I don't want rumors spreading about how I took all your rebuilding funds. response:	Nobody in this village would ever say that!
context: We don't know how to express our gratitude for everything you've done.\Forget that. Hand over the reward.\We're going around the village collecting money now.\Please give us a few days...\I don't want money.\Sir Hero!\I don't want rumors spreading about how I took all your rebuilding funds.\Nobody in this village would ever say that! response:	Really, now?
context: Forget that. Hand over the reward.\We're going around the village collecting money now.\Please give us a few days...\I don't want money.\Sir Hero!\I don't want rumors spreading about how I took all your rebuilding funds.\Nobody in this village would ever say that!\Really, now? response:	But then, what else can we give you?
context: We're going around the village collecting money now.\Please give us a few days...\I don't want money.\Sir Hero!\I don't want rumors spreading about how I took all your rebuilding funds.\Nobody in this village would ever say that!\Really, now?\But then, what else can we give you? response:	S-Sorry, Naofumi-sama,
context: Please give us a few days...\I don't want money.\Sir Hero!\I don't want rumors spreading about how I took all your rebuilding funds.\Nobody in this village would ever say that!\Really, now?\But then, what else can we give you?\S-Sorry, Naofumi-sama, response:	but could we stop for a bit?
context: I don't want money.\Sir Hero!\I don't want rumors spreading about how I took all your rebuilding funds.\Nobody in this village would ever say that!\Really, now?\But then, what else can we give you?\S-Sorry, Naofumi-sama,\but could we stop for a bit? response:	Sorry to make you do this after you let me rest on the way.
context: Sir Hero!\I don't want rumors spreading about how I took all your rebuilding funds.\Nobody in this village would ever say that!\Really, now?\But then, what else can we give you?\S-Sorry, Naofumi-sama,\but could we stop for a bit?\Sorry to make you do this after you let me rest on the way. response:	We'll mostly be traveling by carriage now.
context: I don't want rumors spreading about how I took all your rebuilding funds.\Nobody in this village would ever say that!\Really, now?\But then, what else can we give you?\S-Sorry, Naofumi-sama,\but could we stop for a bit?\Sorry to make you do this after you let me rest on the way.\We'll mostly be traveling by carriage now. response:	You should try to get over your motion sickness.
context: Nobody in this village would ever say that!\Really, now?\But then, what else can we give you?\S-Sorry, Naofumi-sama,\but could we stop for a bit?\Sorry to make you do this after you let me rest on the way.\We'll mostly be traveling by carriage now.\You should try to get over your motion sickness. response:	I'll try.
context: Really, now?\But then, what else can we give you?\S-Sorry, Naofumi-sama,\but could we stop for a bit?\Sorry to make you do this after you let me rest on the way.\We'll mostly be traveling by carriage now.\You should try to get over your motion sickness.\I'll try. response:	Your face is a little red.
context: But then, what else can we give you?\S-Sorry, Naofumi-sama,\but could we stop for a bit?\Sorry to make you do this after you let me rest on the way.\We'll mostly be traveling by carriage now.\You should try to get over your motion sickness.\I'll try.\Your face is a little red. response:	Do you have a fever?
context: S-Sorry, Naofumi-sama,\but could we stop for a bit?\Sorry to make you do this after you let me rest on the way.\We'll mostly be traveling by carriage now.\You should try to get over your motion sickness.\I'll try.\Your face is a little red.\Do you have a fever? response:	No.
context: but could we stop for a bit?\Sorry to make you do this after you let me rest on the way.\We'll mostly be traveling by carriage now.\You should try to get over your motion sickness.\I'll try.\Your face is a little red.\Do you have a fever?\No. response:	Filo looks happy now that she gets to draw a carriage.
context: Sorry to make you do this after you let me rest on the way.\We'll mostly be traveling by carriage now.\You should try to get over your motion sickness.\I'll try.\Your face is a little red.\Do you have a fever?\No.\Filo looks happy now that she gets to draw a carriage. response:	She sure does.
context: We'll mostly be traveling by carriage now.\You should try to get over your motion sickness.\I'll try.\Your face is a little red.\Do you have a fever?\No.\Filo looks happy now that she gets to draw a carriage.\She sure does. response:	Are you interested in becoming a traveling trader, Sir Hero?
context: You should try to get over your motion sickness.\I'll try.\Your face is a little red.\Do you have a fever?\No.\Filo looks happy now that she gets to draw a carriage.\She sure does.\Are you interested in becoming a traveling trader, Sir Hero? response:	A traveling trader?
context: I'll try.\Your face is a little red.\Do you have a fever?\No.\Filo looks happy now that she gets to draw a carriage.\She sure does.\Are you interested in becoming a traveling trader, Sir Hero?\A traveling trader? response:	If so, this pass will come in handy.
context: Your face is a little red.\Do you have a fever?\No.\Filo looks happy now that she gets to draw a carriage.\She sure does.\Are you interested in becoming a traveling trader, Sir Hero?\A traveling trader?\If so, this pass will come in handy. response:	It exempts you from tolls across the country, so you can traverse the roads as you wish.
context: Do you have a fever?\No.\Filo looks happy now that she gets to draw a carriage.\She sure does.\Are you interested in becoming a traveling trader, Sir Hero?\A traveling trader?\If so, this pass will come in handy.\It exempts you from tolls across the country, so you can traverse the roads as you wish. response:	We can run a traveling business while fighting monsters and leveling up.
context: No.\Filo looks happy now that she gets to draw a carriage.\She sure does.\Are you interested in becoming a traveling trader, Sir Hero?\A traveling trader?\If so, this pass will come in handy.\It exempts you from tolls across the country, so you can traverse the roads as you wish.\We can run a traveling business while fighting monsters and leveling up. response:	Sounds good.
context: Filo looks happy now that she gets to draw a carriage.\She sure does.\Are you interested in becoming a traveling trader, Sir Hero?\A traveling trader?\If so, this pass will come in handy.\It exempts you from tolls across the country, so you can traverse the roads as you wish.\We can run a traveling business while fighting monsters and leveling up.\Sounds good. response:	I'll do my best, too.
context: She sure does.\Are you interested in becoming a traveling trader, Sir Hero?\A traveling trader?\If so, this pass will come in handy.\It exempts you from tolls across the country, so you can traverse the roads as you wish.\We can run a traveling business while fighting monsters and leveling up.\Sounds good.\I'll do my best, too. response:	Just sleep for tonight.
context: Are you interested in becoming a traveling trader, Sir Hero?\A traveling trader?\If so, this pass will come in handy.\It exempts you from tolls across the country, so you can traverse the roads as you wish.\We can run a traveling business while fighting monsters and leveling up.\Sounds good.\I'll do my best, too.\Just sleep for tonight. response:	I'll keep watch.
context: A traveling trader?\If so, this pass will come in handy.\It exempts you from tolls across the country, so you can traverse the roads as you wish.\We can run a traveling business while fighting monsters and leveling up.\Sounds good.\I'll do my best, too.\Just sleep for tonight.\I'll keep watch. response:	Okay.
context: If so, this pass will come in handy.\It exempts you from tolls across the country, so you can traverse the roads as you wish.\We can run a traveling business while fighting monsters and leveling up.\Sounds good.\I'll do my best, too.\Just sleep for tonight.\I'll keep watch.\Okay. response:	Filo?
context: It exempts you from tolls across the country, so you can traverse the roads as you wish.\We can run a traveling business while fighting monsters and leveling up.\Sounds good.\I'll do my best, too.\Just sleep for tonight.\I'll keep watch.\Okay.\Filo? response:	Your feathers are stuffy as hell, you know.
context: We can run a traveling business while fighting monsters and leveling up.\Sounds good.\I'll do my best, too.\Just sleep for tonight.\I'll keep watch.\Okay.\Filo?\Your feathers are stuffy as hell, you know. response:	Meanie!
context: Sounds good.\I'll do my best, too.\Just sleep for tonight.\I'll keep watch.\Okay.\Filo?\Your feathers are stuffy as hell, you know.\Meanie! response:	Naofumi-sama... Naofumi-sama!
context: I'll do my best, too.\Just sleep for tonight.\I'll keep watch.\Okay.\Filo?\Your feathers are stuffy as hell, you know.\Meanie!\Naofumi-sama... Naofumi-sama! response:	Sorry, I must've fallen asleep.
context: Just sleep for tonight.\I'll keep watch.\Okay.\Filo?\Your feathers are stuffy as hell, you know.\Meanie!\Naofumi-sama... Naofumi-sama!\Sorry, I must've fallen asleep. response:	Huh?
context: I'll keep watch.\Okay.\Filo?\Your feathers are stuffy as hell, you know.\Meanie!\Naofumi-sama... Naofumi-sama!\Sorry, I must've fallen asleep.\Huh? response:	Th-That girl...
context: Okay.\Filo?\Your feathers are stuffy as hell, you know.\Meanie!\Naofumi-sama... Naofumi-sama!\Sorry, I must've fallen asleep.\Huh?\Th-That girl... response:	Good morning, Master.
context: Filo?\Your feathers are stuffy as hell, you know.\Meanie!\Naofumi-sama... Naofumi-sama!\Sorry, I must've fallen asleep.\Huh?\Th-That girl...\Good morning, Master. response:	Ma?!
context: Your feathers are stuffy as hell, you know.\Meanie!\Naofumi-sama... Naofumi-sama!\Sorry, I must've fallen asleep.\Huh?\Th-That girl...\Good morning, Master.\Ma?! response:	Who the heck is she?!
context: Meanie!\Naofumi-sama... Naofumi-sama!\Sorry, I must've fallen asleep.\Huh?\Th-That girl...\Good morning, Master.\Ma?!\Who the heck is she?! response:	How would I know?!
context: Naofumi-sama... Naofumi-sama!\Sorry, I must've fallen asleep.\Huh?\Th-That girl...\Good morning, Master.\Ma?!\Who the heck is she?!\How would I know?! response:	I'm hungry!
context: Sorry, I must've fallen asleep.\Huh?\Th-That girl...\Good morning, Master.\Ma?!\Who the heck is she?!\How would I know?!\I'm hungry! response:	A New Comrade
