context: The moon is about to disappear. response:	Huh?! A shooting star!
context: Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind!\Fujin!\My Sacred Jewel shards!\My Sacred Jewel shards!\Now then...\I'm taking the two shards from your legs.\Now you're just an ordinary demon. response:	So... it's time for the finishing blow.
context: Fool! You can jump or run... but you can't escape my wind!\Fujin!\My Sacred Jewel shards!\My Sacred Jewel shards!\Now then...\I'm taking the two shards from your legs.\Now you're just an ordinary demon.\So... it's time for the finishing blow. response:	Damn!
context: Fujin!\My Sacred Jewel shards!\My Sacred Jewel shards!\Now then...\I'm taking the two shards from your legs.\Now you're just an ordinary demon.\So... it's time for the finishing blow.\Damn! response:	Kagura!
context: My Sacred Jewel shards!\My Sacred Jewel shards!\Now then...\I'm taking the two shards from your legs.\Now you're just an ordinary demon.\So... it's time for the finishing blow.\Damn!\Kagura! response:	Your life's been spared, Koga.
context: My Sacred Jewel shards!\Now then...\I'm taking the two shards from your legs.\Now you're just an ordinary demon.\So... it's time for the finishing blow.\Damn!\Kagura!\Your life's been spared, Koga. response:	She got away!
context: Now then...\I'm taking the two shards from your legs.\Now you're just an ordinary demon.\So... it's time for the finishing blow.\Damn!\Kagura!\Your life's been spared, Koga.\She got away! response:	Miroku... Koga is...
context: I'm taking the two shards from your legs.\Now you're just an ordinary demon.\So... it's time for the finishing blow.\Damn!\Kagura!\Your life's been spared, Koga.\She got away!\Miroku... Koga is... response:	Koga!
context: Now you're just an ordinary demon.\So... it's time for the finishing blow.\Damn!\Kagura!\Your life's been spared, Koga.\She got away!\Miroku... Koga is...\Koga! response:	Your!
context: So... it's time for the finishing blow.\Damn!\Kagura!\Your life's been spared, Koga.\She got away!\Miroku... Koga is...\Koga!\Your! response:	The Sacred Jewel shards were removed from your legs!
context: Damn!\Kagura!\Your life's been spared, Koga.\She got away!\Miroku... Koga is...\Koga!\Your!\The Sacred Jewel shards were removed from your legs! response:	Koga! You're badly wounded.
context: Kagura!\Your life's been spared, Koga.\She got away!\Miroku... Koga is...\Koga!\Your!\The Sacred Jewel shards were removed from your legs!\Koga! You're badly wounded. response:	I'll tend to you right away.
context: Your life's been spared, Koga.\She got away!\Miroku... Koga is...\Koga!\Your!\The Sacred Jewel shards were removed from your legs!\Koga! You're badly wounded.\I'll tend to you right away. response:	Leave him alone, Kagome! He's gonna die anyway!
context: She got away!\Miroku... Koga is...\Koga!\Your!\The Sacred Jewel shards were removed from your legs!\Koga! You're badly wounded.\I'll tend to you right away.\Leave him alone, Kagome! He's gonna die anyway! response:	Why, you!
context: Miroku... Koga is...\Koga!\Your!\The Sacred Jewel shards were removed from your legs!\Koga! You're badly wounded.\I'll tend to you right away.\Leave him alone, Kagome! He's gonna die anyway!\Why, you! response:	Inuyasha?
context: Koga!\Your!\The Sacred Jewel shards were removed from your legs!\Koga! You're badly wounded.\I'll tend to you right away.\Leave him alone, Kagome! He's gonna die anyway!\Why, you!\Inuyasha? response:	You're hopeless, Koga! Getting cut up by the likes of Kagura!?
context: Your!\The Sacred Jewel shards were removed from your legs!\Koga! You're badly wounded.\I'll tend to you right away.\Leave him alone, Kagome! He's gonna die anyway!\Why, you!\Inuyasha?\You're hopeless, Koga! Getting cut up by the likes of Kagura!? response:	What about you?
context: The Sacred Jewel shards were removed from your legs!\Koga! You're badly wounded.\I'll tend to you right away.\Leave him alone, Kagome! He's gonna die anyway!\Why, you!\Inuyasha?\You're hopeless, Koga! Getting cut up by the likes of Kagura!?\What about you? response:	Looking so weak!
context: Koga! You're badly wounded.\I'll tend to you right away.\Leave him alone, Kagome! He's gonna die anyway!\Why, you!\Inuyasha?\You're hopeless, Koga! Getting cut up by the likes of Kagura!?\What about you?\Looking so weak! response:	I suspected Inuyasha was just a half-demon...
context: I'll tend to you right away.\Leave him alone, Kagome! He's gonna die anyway!\Why, you!\Inuyasha?\You're hopeless, Koga! Getting cut up by the likes of Kagura!?\What about you?\Looking so weak!\I suspected Inuyasha was just a half-demon... response:	He was one, after all.
context: Leave him alone, Kagome! He's gonna die anyway!\Why, you!\Inuyasha?\You're hopeless, Koga! Getting cut up by the likes of Kagura!?\What about you?\Looking so weak!\I suspected Inuyasha was just a half-demon...\He was one, after all. response:	I heard that half-demons fear for their lives...
context: Why, you!\Inuyasha?\You're hopeless, Koga! Getting cut up by the likes of Kagura!?\What about you?\Looking so weak!\I suspected Inuyasha was just a half-demon...\He was one, after all.\I heard that half-demons fear for their lives... response:	And when they're in the mortal state, they never appear before an enemy.
context: Inuyasha?\You're hopeless, Koga! Getting cut up by the likes of Kagura!?\What about you?\Looking so weak!\I suspected Inuyasha was just a half-demon...\He was one, after all.\I heard that half-demons fear for their lives...\And when they're in the mortal state, they never appear before an enemy. response:	You're pretty gutsy... coming around me looking like that.
context: You're hopeless, Koga! Getting cut up by the likes of Kagura!?\What about you?\Looking so weak!\I suspected Inuyasha was just a half-demon...\He was one, after all.\I heard that half-demons fear for their lives...\And when they're in the mortal state, they never appear before an enemy.\You're pretty gutsy... coming around me looking like that. response:	Now that you know my secret...
context: What about you?\Looking so weak!\I suspected Inuyasha was just a half-demon...\He was one, after all.\I heard that half-demons fear for their lives...\And when they're in the mortal state, they never appear before an enemy.\You're pretty gutsy... coming around me looking like that.\Now that you know my secret... response:	Wanna fight?!
context: Looking so weak!\I suspected Inuyasha was just a half-demon...\He was one, after all.\I heard that half-demons fear for their lives...\And when they're in the mortal state, they never appear before an enemy.\You're pretty gutsy... coming around me looking like that.\Now that you know my secret...\Wanna fight?! response:	Shaddup! I'll finish you off right here!
context: I suspected Inuyasha was just a half-demon...\He was one, after all.\I heard that half-demons fear for their lives...\And when they're in the mortal state, they never appear before an enemy.\You're pretty gutsy... coming around me looking like that.\Now that you know my secret...\Wanna fight?!\Shaddup! I'll finish you off right here! response:	Koga!
context: He was one, after all.\I heard that half-demons fear for their lives...\And when they're in the mortal state, they never appear before an enemy.\You're pretty gutsy... coming around me looking like that.\Now that you know my secret...\Wanna fight?!\Shaddup! I'll finish you off right here!\Koga! response:	This is an ointment I brought from my country.
context: I heard that half-demons fear for their lives...\And when they're in the mortal state, they never appear before an enemy.\You're pretty gutsy... coming around me looking like that.\Now that you know my secret...\Wanna fight?!\Shaddup! I'll finish you off right here!\Koga!\This is an ointment I brought from my country. response:	It works well on sword cuts.
context: And when they're in the mortal state, they never appear before an enemy.\You're pretty gutsy... coming around me looking like that.\Now that you know my secret...\Wanna fight?!\Shaddup! I'll finish you off right here!\Koga!\This is an ointment I brought from my country.\It works well on sword cuts. response:	Thanks, Kagome.
context: You're pretty gutsy... coming around me looking like that.\Now that you know my secret...\Wanna fight?!\Shaddup! I'll finish you off right here!\Koga!\This is an ointment I brought from my country.\It works well on sword cuts.\Thanks, Kagome. response:	Why, that... Kagome!
context: Now that you know my secret...\Wanna fight?!\Shaddup! I'll finish you off right here!\Koga!\This is an ointment I brought from my country.\It works well on sword cuts.\Thanks, Kagome.\Why, that... Kagome! response:	Serves him right!
context: Wanna fight?!\Shaddup! I'll finish you off right here!\Koga!\This is an ointment I brought from my country.\It works well on sword cuts.\Thanks, Kagome.\Why, that... Kagome!\Serves him right! response:	Still... Not only Koga, but even Inuyasha approached the castle.
context: Shaddup! I'll finish you off right here!\Koga!\This is an ointment I brought from my country.\It works well on sword cuts.\Thanks, Kagome.\Why, that... Kagome!\Serves him right!\Still... Not only Koga, but even Inuyasha approached the castle. response:	That means Naraku's barrier is weakened.
context: Koga!\This is an ointment I brought from my country.\It works well on sword cuts.\Thanks, Kagome.\Why, that... Kagome!\Serves him right!\Still... Not only Koga, but even Inuyasha approached the castle.\That means Naraku's barrier is weakened. response:	That's right!
context: This is an ointment I brought from my country.\It works well on sword cuts.\Thanks, Kagome.\Why, that... Kagome!\Serves him right!\Still... Not only Koga, but even Inuyasha approached the castle.\That means Naraku's barrier is weakened.\That's right! response:	Naraku is... not here!
context: It works well on sword cuts.\Thanks, Kagome.\Why, that... Kagome!\Serves him right!\Still... Not only Koga, but even Inuyasha approached the castle.\That means Naraku's barrier is weakened.\That's right!\Naraku is... not here! response:	What a relief.
context: Thanks, Kagome.\Why, that... Kagome!\Serves him right!\Still... Not only Koga, but even Inuyasha approached the castle.\That means Naraku's barrier is weakened.\That's right!\Naraku is... not here!\What a relief. response:	Yeah... why should I hand them over to Naraku?
context: Why, that... Kagome!\Serves him right!\Still... Not only Koga, but even Inuyasha approached the castle.\That means Naraku's barrier is weakened.\That's right!\Naraku is... not here!\What a relief.\Yeah... why should I hand them over to Naraku? response:	Now is the time to escape...
context: Serves him right!\Still... Not only Koga, but even Inuyasha approached the castle.\That means Naraku's barrier is weakened.\That's right!\Naraku is... not here!\What a relief.\Yeah... why should I hand them over to Naraku?\Now is the time to escape... response:	Now when Naraku's barrier is weak.
context: Still... Not only Koga, but even Inuyasha approached the castle.\That means Naraku's barrier is weakened.\That's right!\Naraku is... not here!\What a relief.\Yeah... why should I hand them over to Naraku?\Now is the time to escape...\Now when Naraku's barrier is weak. response:	But... Naraku has...
context: That means Naraku's barrier is weakened.\That's right!\Naraku is... not here!\What a relief.\Yeah... why should I hand them over to Naraku?\Now is the time to escape...\Now when Naraku's barrier is weak.\But... Naraku has... response:	That's!
context: That's right!\Naraku is... not here!\What a relief.\Yeah... why should I hand them over to Naraku?\Now is the time to escape...\Now when Naraku's barrier is weak.\But... Naraku has...\That's! response:	Don't ever forget, Kagura.
context: Naraku is... not here!\What a relief.\Yeah... why should I hand them over to Naraku?\Now is the time to escape...\Now when Naraku's barrier is weak.\But... Naraku has...\That's!\Don't ever forget, Kagura. response:	Your heart is in my hands!
context: What a relief.\Yeah... why should I hand them over to Naraku?\Now is the time to escape...\Now when Naraku's barrier is weak.\But... Naraku has...\That's!\Don't ever forget, Kagura.\Your heart is in my hands! response:	Damn!
context: Yeah... why should I hand them over to Naraku?\Now is the time to escape...\Now when Naraku's barrier is weak.\But... Naraku has...\That's!\Don't ever forget, Kagura.\Your heart is in my hands!\Damn! response:	I can easily turn you back into mere flesh.
context: Now is the time to escape...\Now when Naraku's barrier is weak.\But... Naraku has...\That's!\Don't ever forget, Kagura.\Your heart is in my hands!\Damn!\I can easily turn you back into mere flesh. response:	Kagura... Do not forget.
context: Now when Naraku's barrier is weak.\But... Naraku has...\That's!\Don't ever forget, Kagura.\Your heart is in my hands!\Damn!\I can easily turn you back into mere flesh.\Kagura... Do not forget. response:	You are merely a part of my flesh. I created you out of me.
context: But... Naraku has...\That's!\Don't ever forget, Kagura.\Your heart is in my hands!\Damn!\I can easily turn you back into mere flesh.\Kagura... Do not forget.\You are merely a part of my flesh. I created you out of me. response:	Do not forget that.
context: That's!\Don't ever forget, Kagura.\Your heart is in my hands!\Damn!\I can easily turn you back into mere flesh.\Kagura... Do not forget.\You are merely a part of my flesh. I created you out of me.\Do not forget that. response:	Damn! No! No!
context: Don't ever forget, Kagura.\Your heart is in my hands!\Damn!\I can easily turn you back into mere flesh.\Kagura... Do not forget.\You are merely a part of my flesh. I created you out of me.\Do not forget that.\Damn! No! No! response:	I cannot escape from his grasp.
context: Your heart is in my hands!\Damn!\I can easily turn you back into mere flesh.\Kagura... Do not forget.\You are merely a part of my flesh. I created you out of me.\Do not forget that.\Damn! No! No!\I cannot escape from his grasp. response:	Huh? A shooting star!
context: Damn!\I can easily turn you back into mere flesh.\Kagura... Do not forget.\You are merely a part of my flesh. I created you out of me.\Do not forget that.\Damn! No! No!\I cannot escape from his grasp.\Huh? A shooting star! response:	There is someone!
context: I can easily turn you back into mere flesh.\Kagura... Do not forget.\You are merely a part of my flesh. I created you out of me.\Do not forget that.\Damn! No! No!\I cannot escape from his grasp.\Huh? A shooting star!\There is someone! response:	Yes!
context: Kagura... Do not forget.\You are merely a part of my flesh. I created you out of me.\Do not forget that.\Damn! No! No!\I cannot escape from his grasp.\Huh? A shooting star!\There is someone!\Yes! response:	That one!
context: You are merely a part of my flesh. I created you out of me.\Do not forget that.\Damn! No! No!\I cannot escape from his grasp.\Huh? A shooting star!\There is someone!\Yes!\That one! response:	He has the power to sever the bond between me and Naraku!
context: Do not forget that.\Damn! No! No!\I cannot escape from his grasp.\Huh? A shooting star!\There is someone!\Yes!\That one!\He has the power to sever the bond between me and Naraku! response:	Kagura... So you escaped.
context: Damn! No! No!\I cannot escape from his grasp.\Huh? A shooting star!\There is someone!\Yes!\That one!\He has the power to sever the bond between me and Naraku!\Kagura... So you escaped. response:	It sparkled! A star just sparkled!
context: I cannot escape from his grasp.\Huh? A shooting star!\There is someone!\Yes!\That one!\He has the power to sever the bond between me and Naraku!\Kagura... So you escaped.\It sparkled! A star just sparkled! response:	Did you see, Lord Sesshomaru?
context: Huh? A shooting star!\There is someone!\Yes!\That one!\He has the power to sever the bond between me and Naraku!\Kagura... So you escaped.\It sparkled! A star just sparkled!\Did you see, Lord Sesshomaru? response:	Lately, Lord Sesshomaru does things that even I, his vassal, cannot fathom.
context: There is someone!\Yes!\That one!\He has the power to sever the bond between me and Naraku!\Kagura... So you escaped.\It sparkled! A star just sparkled!\Did you see, Lord Sesshomaru?\Lately, Lord Sesshomaru does things that even I, his vassal, cannot fathom. response:	I'm so lonely.
context: Yes!\That one!\He has the power to sever the bond between me and Naraku!\Kagura... So you escaped.\It sparkled! A star just sparkled!\Did you see, Lord Sesshomaru?\Lately, Lord Sesshomaru does things that even I, his vassal, cannot fathom.\I'm so lonely. response:	This child... She is ignorant of my concerns...
context: That one!\He has the power to sever the bond between me and Naraku!\Kagura... So you escaped.\It sparkled! A star just sparkled!\Did you see, Lord Sesshomaru?\Lately, Lord Sesshomaru does things that even I, his vassal, cannot fathom.\I'm so lonely.\This child... She is ignorant of my concerns... response:	And sleeps away.
context: He has the power to sever the bond between me and Naraku!\Kagura... So you escaped.\It sparkled! A star just sparkled!\Did you see, Lord Sesshomaru?\Lately, Lord Sesshomaru does things that even I, his vassal, cannot fathom.\I'm so lonely.\This child... She is ignorant of my concerns...\And sleeps away. response:	Lord Sesshomaru?
context: Kagura... So you escaped.\It sparkled! A star just sparkled!\Did you see, Lord Sesshomaru?\Lately, Lord Sesshomaru does things that even I, his vassal, cannot fathom.\I'm so lonely.\This child... She is ignorant of my concerns...\And sleeps away.\Lord Sesshomaru? response:	It's his scent.
context: It sparkled! A star just sparkled!\Did you see, Lord Sesshomaru?\Lately, Lord Sesshomaru does things that even I, his vassal, cannot fathom.\I'm so lonely.\This child... She is ignorant of my concerns...\And sleeps away.\Lord Sesshomaru?\It's his scent. response:	Huh?
context: Did you see, Lord Sesshomaru?\Lately, Lord Sesshomaru does things that even I, his vassal, cannot fathom.\I'm so lonely.\This child... She is ignorant of my concerns...\And sleeps away.\Lord Sesshomaru?\It's his scent.\Huh? response:	This is...
context: Lately, Lord Sesshomaru does things that even I, his vassal, cannot fathom.\I'm so lonely.\This child... She is ignorant of my concerns...\And sleeps away.\Lord Sesshomaru?\It's his scent.\Huh?\This is... response:	The smell of that fellow who was so rude to you... That Naraku!
context: I'm so lonely.\This child... She is ignorant of my concerns...\And sleeps away.\Lord Sesshomaru?\It's his scent.\Huh?\This is...\The smell of that fellow who was so rude to you... That Naraku! response:	Is he nearby? W-What is this?!
context: This child... She is ignorant of my concerns...\And sleeps away.\Lord Sesshomaru?\It's his scent.\Huh?\This is...\The smell of that fellow who was so rude to you... That Naraku!\Is he nearby? W-What is this?! response:	Ohhh!
context: And sleeps away.\Lord Sesshomaru?\It's his scent.\Huh?\This is...\The smell of that fellow who was so rude to you... That Naraku!\Is he nearby? W-What is this?!\Ohhh! response:	Yo!
context: Lord Sesshomaru?\It's his scent.\Huh?\This is...\The smell of that fellow who was so rude to you... That Naraku!\Is he nearby? W-What is this?!\Ohhh!\Yo! response:	Yo?! Why, you!
context: It's his scent.\Huh?\This is...\The smell of that fellow who was so rude to you... That Naraku!\Is he nearby? W-What is this?!\Ohhh!\Yo!\Yo?! Why, you! response:	Sesshomaru...
context: Huh?\This is...\The smell of that fellow who was so rude to you... That Naraku!\Is he nearby? W-What is this?!\Ohhh!\Yo!\Yo?! Why, you!\Sesshomaru... response:	Did you follow Naraku's scent, too?
context: This is...\The smell of that fellow who was so rude to you... That Naraku!\Is he nearby? W-What is this?!\Ohhh!\Yo!\Yo?! Why, you!\Sesshomaru...\Did you follow Naraku's scent, too? response:	Lord Sesshomaru!
context: The smell of that fellow who was so rude to you... That Naraku!\Is he nearby? W-What is this?!\Ohhh!\Yo!\Yo?! Why, you!\Sesshomaru...\Did you follow Naraku's scent, too?\Lord Sesshomaru! response:	This woman is the one Naraku created from his body...
context: Is he nearby? W-What is this?!\Ohhh!\Yo!\Yo?! Why, you!\Sesshomaru...\Did you follow Naraku's scent, too?\Lord Sesshomaru!\This woman is the one Naraku created from his body... response:	Wind Sorceress Kagura, I recall?
context: Ohhh!\Yo!\Yo?! Why, you!\Sesshomaru...\Did you follow Naraku's scent, too?\Lord Sesshomaru!\This woman is the one Naraku created from his body...\Wind Sorceress Kagura, I recall? response:	I'm glad you remembered me.
context: Yo!\Yo?! Why, you!\Sesshomaru...\Did you follow Naraku's scent, too?\Lord Sesshomaru!\This woman is the one Naraku created from his body...\Wind Sorceress Kagura, I recall?\I'm glad you remembered me. response:	Take your hand off your sword. I didn't come here to fight.
context: Yo?! Why, you!\Sesshomaru...\Did you follow Naraku's scent, too?\Lord Sesshomaru!\This woman is the one Naraku created from his body...\Wind Sorceress Kagura, I recall?\I'm glad you remembered me.\Take your hand off your sword. I didn't come here to fight. response:	Sesshomaru, I want to make a deal with you.
context: Sesshomaru...\Did you follow Naraku's scent, too?\Lord Sesshomaru!\This woman is the one Naraku created from his body...\Wind Sorceress Kagura, I recall?\I'm glad you remembered me.\Take your hand off your sword. I didn't come here to fight.\Sesshomaru, I want to make a deal with you. response:	A deal?
context: Did you follow Naraku's scent, too?\Lord Sesshomaru!\This woman is the one Naraku created from his body...\Wind Sorceress Kagura, I recall?\I'm glad you remembered me.\Take your hand off your sword. I didn't come here to fight.\Sesshomaru, I want to make a deal with you.\A deal? response:	You know what these are.
context: Lord Sesshomaru!\This woman is the one Naraku created from his body...\Wind Sorceress Kagura, I recall?\I'm glad you remembered me.\Take your hand off your sword. I didn't come here to fight.\Sesshomaru, I want to make a deal with you.\A deal?\You know what these are. response:	I'll give these Sacred Jewel shards to you.
context: This woman is the one Naraku created from his body...\Wind Sorceress Kagura, I recall?\I'm glad you remembered me.\Take your hand off your sword. I didn't come here to fight.\Sesshomaru, I want to make a deal with you.\A deal?\You know what these are.\I'll give these Sacred Jewel shards to you. response:	In return, kill Naraku.
context: Wind Sorceress Kagura, I recall?\I'm glad you remembered me.\Take your hand off your sword. I didn't come here to fight.\Sesshomaru, I want to make a deal with you.\A deal?\You know what these are.\I'll give these Sacred Jewel shards to you.\In return, kill Naraku. response:	What?!
context: I'm glad you remembered me.\Take your hand off your sword. I didn't come here to fight.\Sesshomaru, I want to make a deal with you.\A deal?\You know what these are.\I'll give these Sacred Jewel shards to you.\In return, kill Naraku.\What?! response:	Free me from his grip.
context: Take your hand off your sword. I didn't come here to fight.\Sesshomaru, I want to make a deal with you.\A deal?\You know what these are.\I'll give these Sacred Jewel shards to you.\In return, kill Naraku.\What?!\Free me from his grip. response:	My name is Kagura.
context: Sesshomaru, I want to make a deal with you.\A deal?\You know what these are.\I'll give these Sacred Jewel shards to you.\In return, kill Naraku.\What?!\Free me from his grip.\My name is Kagura. response:	I am the wind. I live freely.
context: A deal?\You know what these are.\I'll give these Sacred Jewel shards to you.\In return, kill Naraku.\What?!\Free me from his grip.\My name is Kagura.\I am the wind. I live freely. response:	So you'll betray me, Kagura?
context: You know what these are.\I'll give these Sacred Jewel shards to you.\In return, kill Naraku.\What?!\Free me from his grip.\My name is Kagura.\I am the wind. I live freely.\So you'll betray me, Kagura? response:	Silence, Naraku!
context: I'll give these Sacred Jewel shards to you.\In return, kill Naraku.\What?!\Free me from his grip.\My name is Kagura.\I am the wind. I live freely.\So you'll betray me, Kagura?\Silence, Naraku! response:	So you're also a half-demon who loses his powers at times.
context: In return, kill Naraku.\What?!\Free me from his grip.\My name is Kagura.\I am the wind. I live freely.\So you'll betray me, Kagura?\Silence, Naraku!\So you're also a half-demon who loses his powers at times. response:	Foolish woman...
context: What?!\Free me from his grip.\My name is Kagura.\I am the wind. I live freely.\So you'll betray me, Kagura?\Silence, Naraku!\So you're also a half-demon who loses his powers at times.\Foolish woman... response:	Did you think you could escape my clutches?
context: Free me from his grip.\My name is Kagura.\I am the wind. I live freely.\So you'll betray me, Kagura?\Silence, Naraku!\So you're also a half-demon who loses his powers at times.\Foolish woman...\Did you think you could escape my clutches? response:	I am Kagura. I will live freely like the wind.
context: My name is Kagura.\I am the wind. I live freely.\So you'll betray me, Kagura?\Silence, Naraku!\So you're also a half-demon who loses his powers at times.\Foolish woman...\Did you think you could escape my clutches?\I am Kagura. I will live freely like the wind. response:	Next on Inuyasha: The Howling Wind of Betrayal
context: I am the wind. I live freely.\So you'll betray me, Kagura?\Silence, Naraku!\So you're also a half-demon who loses his powers at times.\Foolish woman...\Did you think you could escape my clutches?\I am Kagura. I will live freely like the wind.\Next on Inuyasha: The Howling Wind of Betrayal response:	I saw you, Inuyasha... as a mortal!
