context: Oh, my! response:	Sasamiya's Waldenholt landed a direct hit on RM-C!
context: Hey, wait!\Flora...\Claudia, what did he mean when he demanded an emergency freeze?\When its user senses danger, he can have his Ogre Lux forcefully sealed.\Of course, it is possible to disable such a seal...\But in that event, Ayato, you'd never be able to wield the Ser=Versta again.\But then...\It just means that if I were to do that even once, it would never forgive me. response:	So how exactly do I go about putting in this request?
context: Flora...\Claudia, what did he mean when he demanded an emergency freeze?\When its user senses danger, he can have his Ogre Lux forcefully sealed.\Of course, it is possible to disable such a seal...\But in that event, Ayato, you'd never be able to wield the Ser=Versta again.\But then...\It just means that if I were to do that even once, it would never forgive me.\So how exactly do I go about putting in this request? response:	Are you really sure about this?
context: Claudia, what did he mean when he demanded an emergency freeze?\When its user senses danger, he can have his Ogre Lux forcefully sealed.\Of course, it is possible to disable such a seal...\But in that event, Ayato, you'd never be able to wield the Ser=Versta again.\But then...\It just means that if I were to do that even once, it would never forgive me.\So how exactly do I go about putting in this request?\Are you really sure about this? response:	Yeah.
context: When its user senses danger, he can have his Ogre Lux forcefully sealed.\Of course, it is possible to disable such a seal...\But in that event, Ayato, you'd never be able to wield the Ser=Versta again.\But then...\It just means that if I were to do that even once, it would never forgive me.\So how exactly do I go about putting in this request?\Are you really sure about this?\Yeah. response:	I'm sorry, Ayato.
context: Of course, it is possible to disable such a seal...\But in that event, Ayato, you'd never be able to wield the Ser=Versta again.\But then...\It just means that if I were to do that even once, it would never forgive me.\So how exactly do I go about putting in this request?\Are you really sure about this?\Yeah.\I'm sorry, Ayato. response:	But that doesn't mean that he'll really let Flora go for sure.
context: But in that event, Ayato, you'd never be able to wield the Ser=Versta again.\But then...\It just means that if I were to do that even once, it would never forgive me.\So how exactly do I go about putting in this request?\Are you really sure about this?\Yeah.\I'm sorry, Ayato.\But that doesn't mean that he'll really let Flora go for sure. response:	But unless we do this...
context: But then...\It just means that if I were to do that even once, it would never forgive me.\So how exactly do I go about putting in this request?\Are you really sure about this?\Yeah.\I'm sorry, Ayato.\But that doesn't mean that he'll really let Flora go for sure.\But unless we do this... response:	We'll go rescue Flora ourselves.
context: It just means that if I were to do that even once, it would never forgive me.\So how exactly do I go about putting in this request?\Are you really sure about this?\Yeah.\I'm sorry, Ayato.\But that doesn't mean that he'll really let Flora go for sure.\But unless we do this...\We'll go rescue Flora ourselves. response:	That way, there won't be any issues.
context: So how exactly do I go about putting in this request?\Are you really sure about this?\Yeah.\I'm sorry, Ayato.\But that doesn't mean that he'll really let Flora go for sure.\But unless we do this...\We'll go rescue Flora ourselves.\That way, there won't be any issues. response:	I see.
context: Are you really sure about this?\Yeah.\I'm sorry, Ayato.\But that doesn't mean that he'll really let Flora go for sure.\But unless we do this...\We'll go rescue Flora ourselves.\That way, there won't be any issues.\I see. response:	If we can feign having accepted his demands
context: Yeah.\I'm sorry, Ayato.\But that doesn't mean that he'll really let Flora go for sure.\But unless we do this...\We'll go rescue Flora ourselves.\That way, there won't be any issues.\I see.\If we can feign having accepted his demands response:	and rescue Flora in the meantime...
context: I'm sorry, Ayato.\But that doesn't mean that he'll really let Flora go for sure.\But unless we do this...\We'll go rescue Flora ourselves.\That way, there won't be any issues.\I see.\If we can feign having accepted his demands\and rescue Flora in the meantime... response:	I just had an idea.
context: But that doesn't mean that he'll really let Flora go for sure.\But unless we do this...\We'll go rescue Flora ourselves.\That way, there won't be any issues.\I see.\If we can feign having accepted his demands\and rescue Flora in the meantime...\I just had an idea. response:	I want to put Flora's safety above all else.
context: But unless we do this...\We'll go rescue Flora ourselves.\That way, there won't be any issues.\I see.\If we can feign having accepted his demands\and rescue Flora in the meantime...\I just had an idea.\I want to put Flora's safety above all else. response:	Meaning you're willing to give up what you want yourself?
context: We'll go rescue Flora ourselves.\That way, there won't be any issues.\I see.\If we can feign having accepted his demands\and rescue Flora in the meantime...\I just had an idea.\I want to put Flora's safety above all else.\Meaning you're willing to give up what you want yourself? response:	I don't care.
context: That way, there won't be any issues.\I see.\If we can feign having accepted his demands\and rescue Flora in the meantime...\I just had an idea.\I want to put Flora's safety above all else.\Meaning you're willing to give up what you want yourself?\I don't care. response:	There's no point in protecting something dear to you
context: I see.\If we can feign having accepted his demands\and rescue Flora in the meantime...\I just had an idea.\I want to put Flora's safety above all else.\Meaning you're willing to give up what you want yourself?\I don't care.\There's no point in protecting something dear to you response:	if you're going to end up sacrificing it!
context: If we can feign having accepted his demands\and rescue Flora in the meantime...\I just had an idea.\I want to put Flora's safety above all else.\Meaning you're willing to give up what you want yourself?\I don't care.\There's no point in protecting something dear to you\if you're going to end up sacrificing it! response:	Sorry.
context: and rescue Flora in the meantime...\I just had an idea.\I want to put Flora's safety above all else.\Meaning you're willing to give up what you want yourself?\I don't care.\There's no point in protecting something dear to you\if you're going to end up sacrificing it!\Sorry. response:	I was only thinking of my own interests when I said that.
context: I just had an idea.\I want to put Flora's safety above all else.\Meaning you're willing to give up what you want yourself?\I don't care.\There's no point in protecting something dear to you\if you're going to end up sacrificing it!\Sorry.\I was only thinking of my own interests when I said that. response:	Don't give it another thought.
context: I want to put Flora's safety above all else.\Meaning you're willing to give up what you want yourself?\I don't care.\There's no point in protecting something dear to you\if you're going to end up sacrificing it!\Sorry.\I was only thinking of my own interests when I said that.\Don't give it another thought. response:	I'm thinking the same thing.
context: Meaning you're willing to give up what you want yourself?\I don't care.\There's no point in protecting something dear to you\if you're going to end up sacrificing it!\Sorry.\I was only thinking of my own interests when I said that.\Don't give it another thought.\I'm thinking the same thing. response:	Ayato...
context: I don't care.\There's no point in protecting something dear to you\if you're going to end up sacrificing it!\Sorry.\I was only thinking of my own interests when I said that.\Don't give it another thought.\I'm thinking the same thing.\Ayato... response:	Really, now... Julis, your fear of loss is excessive.
context: There's no point in protecting something dear to you\if you're going to end up sacrificing it!\Sorry.\I was only thinking of my own interests when I said that.\Don't give it another thought.\I'm thinking the same thing.\Ayato...\Really, now... Julis, your fear of loss is excessive. response:	I can't help it!
context: if you're going to end up sacrificing it!\Sorry.\I was only thinking of my own interests when I said that.\Don't give it another thought.\I'm thinking the same thing.\Ayato...\Really, now... Julis, your fear of loss is excessive.\I can't help it! response:	Going through all that once is more than enough.
context: Sorry.\I was only thinking of my own interests when I said that.\Don't give it another thought.\I'm thinking the same thing.\Ayato...\Really, now... Julis, your fear of loss is excessive.\I can't help it!\Going through all that once is more than enough. response:	You're going to rescue Flora and win the Festa.
context: I was only thinking of my own interests when I said that.\Don't give it another thought.\I'm thinking the same thing.\Ayato...\Really, now... Julis, your fear of loss is excessive.\I can't help it!\Going through all that once is more than enough.\You're going to rescue Flora and win the Festa. response:	Please show at least that much spirit.
context: Don't give it another thought.\I'm thinking the same thing.\Ayato...\Really, now... Julis, your fear of loss is excessive.\I can't help it!\Going through all that once is more than enough.\You're going to rescue Flora and win the Festa.\Please show at least that much spirit. response:	I'm advising you not as the student council president,
context: I'm thinking the same thing.\Ayato...\Really, now... Julis, your fear of loss is excessive.\I can't help it!\Going through all that once is more than enough.\You're going to rescue Flora and win the Festa.\Please show at least that much spirit.\I'm advising you not as the student council president, response:	but as a friend.
context: Ayato...\Really, now... Julis, your fear of loss is excessive.\I can't help it!\Going through all that once is more than enough.\You're going to rescue Flora and win the Festa.\Please show at least that much spirit.\I'm advising you not as the student council president,\but as a friend. response:	Claudia...
context: Really, now... Julis, your fear of loss is excessive.\I can't help it!\Going through all that once is more than enough.\You're going to rescue Flora and win the Festa.\Please show at least that much spirit.\I'm advising you not as the student council president,\but as a friend.\Claudia... response:	Very well.
context: I can't help it!\Going through all that once is more than enough.\You're going to rescue Flora and win the Festa.\Please show at least that much spirit.\I'm advising you not as the student council president,\but as a friend.\Claudia...\Very well. response:	Letting everything go the abductor's way makes me mad!
context: Going through all that once is more than enough.\You're going to rescue Flora and win the Festa.\Please show at least that much spirit.\I'm advising you not as the student council president,\but as a friend.\Claudia...\Very well.\Letting everything go the abductor's way makes me mad! response:	Let's go with Claudia's plan!
context: You're going to rescue Flora and win the Festa.\Please show at least that much spirit.\I'm advising you not as the student council president,\but as a friend.\Claudia...\Very well.\Letting everything go the abductor's way makes me mad!\Let's go with Claudia's plan! response:	All right, then we'll go on ahead.
context: Please show at least that much spirit.\I'm advising you not as the student council president,\but as a friend.\Claudia...\Very well.\Letting everything go the abductor's way makes me mad!\Let's go with Claudia's plan!\All right, then we'll go on ahead. response:	- Right. - Hold on a second!
context: I'm advising you not as the student council president,\but as a friend.\Claudia...\Very well.\Letting everything go the abductor's way makes me mad!\Let's go with Claudia's plan!\All right, then we'll go on ahead.\- Right. - Hold on a second! response:	Sasamiya... listen...
context: but as a friend.\Claudia...\Very well.\Letting everything go the abductor's way makes me mad!\Let's go with Claudia's plan!\All right, then we'll go on ahead.\- Right. - Hold on a second!\Sasamiya... listen... response:	Julis...
context: Claudia...\Very well.\Letting everything go the abductor's way makes me mad!\Let's go with Claudia's plan!\All right, then we'll go on ahead.\- Right. - Hold on a second!\Sasamiya... listen...\Julis... response:	It's only natural to help when a friend's in a jam.
context: Very well.\Letting everything go the abductor's way makes me mad!\Let's go with Claudia's plan!\All right, then we'll go on ahead.\- Right. - Hold on a second!\Sasamiya... listen...\Julis...\It's only natural to help when a friend's in a jam. response:	Don't worry about it.
context: Letting everything go the abductor's way makes me mad!\Let's go with Claudia's plan!\All right, then we'll go on ahead.\- Right. - Hold on a second!\Sasamiya... listen...\Julis...\It's only natural to help when a friend's in a jam.\Don't worry about it. response:	Yes, I feel the same way!
context: Let's go with Claudia's plan!\All right, then we'll go on ahead.\- Right. - Hold on a second!\Sasamiya... listen...\Julis...\It's only natural to help when a friend's in a jam.\Don't worry about it.\Yes, I feel the same way! response:	Right... You're right.
context: All right, then we'll go on ahead.\- Right. - Hold on a second!\Sasamiya... listen...\Julis...\It's only natural to help when a friend's in a jam.\Don't worry about it.\Yes, I feel the same way!\Right... You're right. response:	Saya, Kirin...
context: - Right. - Hold on a second!\Sasamiya... listen...\Julis...\It's only natural to help when a friend's in a jam.\Don't worry about it.\Yes, I feel the same way!\Right... You're right.\Saya, Kirin... response:	I'm counting on you!
context: Sasamiya... listen...\Julis...\It's only natural to help when a friend's in a jam.\Don't worry about it.\Yes, I feel the same way!\Right... You're right.\Saya, Kirin...\I'm counting on you! response:	Yeah. We got this.
context: Julis...\It's only natural to help when a friend's in a jam.\Don't worry about it.\Yes, I feel the same way!\Right... You're right.\Saya, Kirin...\I'm counting on you!\Yeah. We got this. response:	Ayato, I want you to apply for the emergency freeze,
context: It's only natural to help when a friend's in a jam.\Don't worry about it.\Yes, I feel the same way!\Right... You're right.\Saya, Kirin...\I'm counting on you!\Yeah. We got this.\Ayato, I want you to apply for the emergency freeze, response:	just as the perpetrator demanded.
context: Don't worry about it.\Yes, I feel the same way!\Right... You're right.\Saya, Kirin...\I'm counting on you!\Yeah. We got this.\Ayato, I want you to apply for the emergency freeze,\just as the perpetrator demanded. response:	I'll use my connections to delay the actual process.
context: Yes, I feel the same way!\Right... You're right.\Saya, Kirin...\I'm counting on you!\Yeah. We got this.\Ayato, I want you to apply for the emergency freeze,\just as the perpetrator demanded.\I'll use my connections to delay the actual process. response:	Since it's an internal Seidoukan procedure,
context: Right... You're right.\Saya, Kirin...\I'm counting on you!\Yeah. We got this.\Ayato, I want you to apply for the emergency freeze,\just as the perpetrator demanded.\I'll use my connections to delay the actual process.\Since it's an internal Seidoukan procedure, response:	APPLICATION FOR THE EMERGENCY FREEZE
context: Saya, Kirin...\I'm counting on you!\Yeah. We got this.\Ayato, I want you to apply for the emergency freeze,\just as the perpetrator demanded.\I'll use my connections to delay the actual process.\Since it's an internal Seidoukan procedure,\APPLICATION FOR THE EMERGENCY FREEZE response:	it won't be easily leaked.
context: I'm counting on you!\Yeah. We got this.\Ayato, I want you to apply for the emergency freeze,\just as the perpetrator demanded.\I'll use my connections to delay the actual process.\Since it's an internal Seidoukan procedure,\APPLICATION FOR THE EMERGENCY FREEZE\it won't be easily leaked. response:	Most likely, the perpetrator forbade you to withdraw from the Festa
context: Yeah. We got this.\Ayato, I want you to apply for the emergency freeze,\just as the perpetrator demanded.\I'll use my connections to delay the actual process.\Since it's an internal Seidoukan procedure,\APPLICATION FOR THE EMERGENCY FREEZE\it won't be easily leaked.\Most likely, the perpetrator forbade you to withdraw from the Festa response:	so that he could confirm whether or not you'd met his demands.
context: Ayato, I want you to apply for the emergency freeze,\just as the perpetrator demanded.\I'll use my connections to delay the actual process.\Since it's an internal Seidoukan procedure,\APPLICATION FOR THE EMERGENCY FREEZE\it won't be easily leaked.\Most likely, the perpetrator forbade you to withdraw from the Festa\so that he could confirm whether or not you'd met his demands. response:	So until we can confirm Flora's safety,
context: just as the perpetrator demanded.\I'll use my connections to delay the actual process.\Since it's an internal Seidoukan procedure,\APPLICATION FOR THE EMERGENCY FREEZE\it won't be easily leaked.\Most likely, the perpetrator forbade you to withdraw from the Festa\so that he could confirm whether or not you'd met his demands.\So until we can confirm Flora's safety, response:	please keep the Ser=Versta hidden and use another Lux.
context: I'll use my connections to delay the actual process.\Since it's an internal Seidoukan procedure,\APPLICATION FOR THE EMERGENCY FREEZE\it won't be easily leaked.\Most likely, the perpetrator forbade you to withdraw from the Festa\so that he could confirm whether or not you'd met his demands.\So until we can confirm Flora's safety,\please keep the Ser=Versta hidden and use another Lux. response:	Since the perpetrator's targets are Ayato and the Ser=Versta,
context: Since it's an internal Seidoukan procedure,\APPLICATION FOR THE EMERGENCY FREEZE\it won't be easily leaked.\Most likely, the perpetrator forbade you to withdraw from the Festa\so that he could confirm whether or not you'd met his demands.\So until we can confirm Flora's safety,\please keep the Ser=Versta hidden and use another Lux.\Since the perpetrator's targets are Ayato and the Ser=Versta, response:	the mastermind is almost certainly Dirk Eberwein.
context: APPLICATION FOR THE EMERGENCY FREEZE\it won't be easily leaked.\Most likely, the perpetrator forbade you to withdraw from the Festa\so that he could confirm whether or not you'd met his demands.\So until we can confirm Flora's safety,\please keep the Ser=Versta hidden and use another Lux.\Since the perpetrator's targets are Ayato and the Ser=Versta,\the mastermind is almost certainly Dirk Eberwein. response:	In that case, Rewolf's intelligence and espionage organization,
context: it won't be easily leaked.\Most likely, the perpetrator forbade you to withdraw from the Festa\so that he could confirm whether or not you'd met his demands.\So until we can confirm Flora's safety,\please keep the Ser=Versta hidden and use another Lux.\Since the perpetrator's targets are Ayato and the Ser=Versta,\the mastermind is almost certainly Dirk Eberwein.\In that case, Rewolf's intelligence and espionage organization, response:	Grimalkin, will be doing the actual work.
context: Most likely, the perpetrator forbade you to withdraw from the Festa\so that he could confirm whether or not you'd met his demands.\So until we can confirm Flora's safety,\please keep the Ser=Versta hidden and use another Lux.\Since the perpetrator's targets are Ayato and the Ser=Versta,\the mastermind is almost certainly Dirk Eberwein.\In that case, Rewolf's intelligence and espionage organization,\Grimalkin, will be doing the actual work. response:	We can narrow down the search to their territory, the Redevelopment District.
context: so that he could confirm whether or not you'd met his demands.\So until we can confirm Flora's safety,\please keep the Ser=Versta hidden and use another Lux.\Since the perpetrator's targets are Ayato and the Ser=Versta,\the mastermind is almost certainly Dirk Eberwein.\In that case, Rewolf's intelligence and espionage organization,\Grimalkin, will be doing the actual work.\We can narrow down the search to their territory, the Redevelopment District. response:	However, I can only hold them off
context: So until we can confirm Flora's safety,\please keep the Ser=Versta hidden and use another Lux.\Since the perpetrator's targets are Ayato and the Ser=Versta,\the mastermind is almost certainly Dirk Eberwein.\In that case, Rewolf's intelligence and espionage organization,\Grimalkin, will be doing the actual work.\We can narrow down the search to their territory, the Redevelopment District.\However, I can only hold them off response:	until tomorrow's closing ceremony at 3 p.m.
context: please keep the Ser=Versta hidden and use another Lux.\Since the perpetrator's targets are Ayato and the Ser=Versta,\the mastermind is almost certainly Dirk Eberwein.\In that case, Rewolf's intelligence and espionage organization,\Grimalkin, will be doing the actual work.\We can narrow down the search to their territory, the Redevelopment District.\However, I can only hold them off\until tomorrow's closing ceremony at 3 p.m. response:	Sasamiya, Toudou, please rescue Flora by then.
context: Since the perpetrator's targets are Ayato and the Ser=Versta,\the mastermind is almost certainly Dirk Eberwein.\In that case, Rewolf's intelligence and espionage organization,\Grimalkin, will be doing the actual work.\We can narrow down the search to their territory, the Redevelopment District.\However, I can only hold them off\until tomorrow's closing ceremony at 3 p.m.\Sasamiya, Toudou, please rescue Flora by then. response:	If I can catch him off-guard and escape,
context: the mastermind is almost certainly Dirk Eberwein.\In that case, Rewolf's intelligence and espionage organization,\Grimalkin, will be doing the actual work.\We can narrow down the search to their territory, the Redevelopment District.\However, I can only hold them off\until tomorrow's closing ceremony at 3 p.m.\Sasamiya, Toudou, please rescue Flora by then.\If I can catch him off-guard and escape, response:	or at least find a way to contact the princess...
context: In that case, Rewolf's intelligence and espionage organization,\Grimalkin, will be doing the actual work.\We can narrow down the search to their territory, the Redevelopment District.\However, I can only hold them off\until tomorrow's closing ceremony at 3 p.m.\Sasamiya, Toudou, please rescue Flora by then.\If I can catch him off-guard and escape,\or at least find a way to contact the princess... response:	This power... is he a Dante?
context: Grimalkin, will be doing the actual work.\We can narrow down the search to their territory, the Redevelopment District.\However, I can only hold them off\until tomorrow's closing ceremony at 3 p.m.\Sasamiya, Toudou, please rescue Flora by then.\If I can catch him off-guard and escape,\or at least find a way to contact the princess...\This power... is he a Dante? response:	You sit still.
context: We can narrow down the search to their territory, the Redevelopment District.\However, I can only hold them off\until tomorrow's closing ceremony at 3 p.m.\Sasamiya, Toudou, please rescue Flora by then.\If I can catch him off-guard and escape,\or at least find a way to contact the princess...\This power... is he a Dante?\You sit still. response:	I guess I have no choice but to do as he says.
context: However, I can only hold them off\until tomorrow's closing ceremony at 3 p.m.\Sasamiya, Toudou, please rescue Flora by then.\If I can catch him off-guard and escape,\or at least find a way to contact the princess...\This power... is he a Dante?\You sit still.\I guess I have no choice but to do as he says. response:	At least for now...
context: until tomorrow's closing ceremony at 3 p.m.\Sasamiya, Toudou, please rescue Flora by then.\If I can catch him off-guard and escape,\or at least find a way to contact the princess...\This power... is he a Dante?\You sit still.\I guess I have no choice but to do as he says.\At least for now... response:	Not yet! I can't let this end just yet...
context: Sasamiya, Toudou, please rescue Flora by then.\If I can catch him off-guard and escape,\or at least find a way to contact the princess...\This power... is he a Dante?\You sit still.\I guess I have no choice but to do as he says.\At least for now...\Not yet! I can't let this end just yet... response:	- Not yet... - All right!
context: If I can catch him off-guard and escape,\or at least find a way to contact the princess...\This power... is he a Dante?\You sit still.\I guess I have no choice but to do as he says.\At least for now...\Not yet! I can't let this end just yet...\- Not yet... - All right! response:	I see there was another shooting star.
context: or at least find a way to contact the princess...\This power... is he a Dante?\You sit still.\I guess I have no choice but to do as he says.\At least for now...\Not yet! I can't let this end just yet...\- Not yet... - All right!\I see there was another shooting star. response:	In this battle to determine the true heroine...
context: This power... is he a Dante?\You sit still.\I guess I have no choice but to do as he says.\At least for now...\Not yet! I can't let this end just yet...\- Not yet... - All right!\I see there was another shooting star.\In this battle to determine the true heroine... response:	Episode 18 Scrambling
context: You sit still.\I guess I have no choice but to do as he says.\At least for now...\Not yet! I can't let this end just yet...\- Not yet... - All right!\I see there was another shooting star.\In this battle to determine the true heroine...\Episode 18 Scrambling response:	I wonder how long this cycle of sorrow will continue?
context: I guess I have no choice but to do as he says.\At least for now...\Not yet! I can't let this end just yet...\- Not yet... - All right!\I see there was another shooting star.\In this battle to determine the true heroine...\Episode 18 Scrambling\I wonder how long this cycle of sorrow will continue? response:	Oh! I sense menace!
