context: What a hard painting response:	I should have picked an easier one to paint'
context: Yeah.\Mei Lin wrote me letters!\I got some too.\What did she write to you?\She said sorry for making my dress wet.\What did Mei Lin-chan write to you?\She said that I look like a dummy.\So she wants me to response:	act a little tougher.
context: Mei Lin wrote me letters!\I got some too.\What did she write to you?\She said sorry for making my dress wet.\What did Mei Lin-chan write to you?\She said that I look like a dummy.\So she wants me to\act a little tougher. response:	But she said that my heart is too big,
context: I got some too.\What did she write to you?\She said sorry for making my dress wet.\What did Mei Lin-chan write to you?\She said that I look like a dummy.\So she wants me to\act a little tougher.\But she said that my heart is too big, response:	so she'll forgive me.
context: What did she write to you?\She said sorry for making my dress wet.\What did Mei Lin-chan write to you?\She said that I look like a dummy.\So she wants me to\act a little tougher.\But she said that my heart is too big,\so she'll forgive me. response:	Still at the end there is something.
context: She said sorry for making my dress wet.\What did Mei Lin-chan write to you?\She said that I look like a dummy.\So she wants me to\act a little tougher.\But she said that my heart is too big,\so she'll forgive me.\Still at the end there is something. response:	What it says,
context: What did Mei Lin-chan write to you?\She said that I look like a dummy.\So she wants me to\act a little tougher.\But she said that my heart is too big,\so she'll forgive me.\Still at the end there is something.\What it says, response:	I dunno,
context: She said that I look like a dummy.\So she wants me to\act a little tougher.\But she said that my heart is too big,\so she'll forgive me.\Still at the end there is something.\What it says,\I dunno, response:	but I think it is something very nice!
context: So she wants me to\act a little tougher.\But she said that my heart is too big,\so she'll forgive me.\Still at the end there is something.\What it says,\I dunno,\but I think it is something very nice! response:	I am very happy!
context: act a little tougher.\But she said that my heart is too big,\so she'll forgive me.\Still at the end there is something.\What it says,\I dunno,\but I think it is something very nice!\I am very happy! response:	Stupid Shao Lan,
context: But she said that my heart is too big,\so she'll forgive me.\Still at the end there is something.\What it says,\I dunno,\but I think it is something very nice!\I am very happy!\Stupid Shao Lan, response:	hurry up and tell her.
context: so she'll forgive me.\Still at the end there is something.\What it says,\I dunno,\but I think it is something very nice!\I am very happy!\Stupid Shao Lan,\hurry up and tell her. response:	I'm in Hong-Kong and the weather is very good.
context: Still at the end there is something.\What it says,\I dunno,\but I think it is something very nice!\I am very happy!\Stupid Shao Lan,\hurry up and tell her.\I'm in Hong-Kong and the weather is very good. response:	Mei Lin'
context: What it says,\I dunno,\but I think it is something very nice!\I am very happy!\Stupid Shao Lan,\hurry up and tell her.\I'm in Hong-Kong and the weather is very good.\Mei Lin' response:	My most important friend,
context: I dunno,\but I think it is something very nice!\I am very happy!\Stupid Shao Lan,\hurry up and tell her.\I'm in Hong-Kong and the weather is very good.\Mei Lin'\My most important friend, response:	Li Shao Lan.
