context: Hey, have you heard? response:	There's a Quiz Competition coming up.
context: Does it hurt anywhere?\No'\Good.\Your leg'\Yukito,\I'm so sorry. You're hurt, aren't you?\It's because I spaced out'\I'm sorry' response:	It's OK.
context: No'\Good.\Your leg'\Yukito,\I'm so sorry. You're hurt, aren't you?\It's because I spaced out'\I'm sorry'\It's OK. response:	It's fun just being with you.
context: Good.\Your leg'\Yukito,\I'm so sorry. You're hurt, aren't you?\It's because I spaced out'\I'm sorry'\It's OK.\It's fun just being with you. response:	Feel better?
context: Your leg'\Yukito,\I'm so sorry. You're hurt, aren't you?\It's because I spaced out'\I'm sorry'\It's OK.\It's fun just being with you.\Feel better? response:	Yes!
context: Yukito,\I'm so sorry. You're hurt, aren't you?\It's because I spaced out'\I'm sorry'\It's OK.\It's fun just being with you.\Feel better?\Yes! response:	Oh yeah.
context: I'm so sorry. You're hurt, aren't you?\It's because I spaced out'\I'm sorry'\It's OK.\It's fun just being with you.\Feel better?\Yes!\Oh yeah. response:	Actually, I fell on this.
context: It's because I spaced out'\I'm sorry'\It's OK.\It's fun just being with you.\Feel better?\Yes!\Oh yeah.\Actually, I fell on this. response:	Look.
context: I'm sorry'\It's OK.\It's fun just being with you.\Feel better?\Yes!\Oh yeah.\Actually, I fell on this.\Look. response:	Woo'
context: It's OK.\It's fun just being with you.\Feel better?\Yes!\Oh yeah.\Actually, I fell on this.\Look.\Woo' response:	I wonder if everyone else found their goal.
context: It's fun just being with you.\Feel better?\Yes!\Oh yeah.\Actually, I fell on this.\Look.\Woo'\I wonder if everyone else found their goal. response:	Well,
context: Feel better?\Yes!\Oh yeah.\Actually, I fell on this.\Look.\Woo'\I wonder if everyone else found their goal.\Well, response:	let's do our best until the end.
context: Yes!\Oh yeah.\Actually, I fell on this.\Look.\Woo'\I wonder if everyone else found their goal.\Well,\let's do our best until the end. response:	Doing it like this' No!
context: Oh yeah.\Actually, I fell on this.\Look.\Woo'\I wonder if everyone else found their goal.\Well,\let's do our best until the end.\Doing it like this' No! response:	This one for sure!
context: Actually, I fell on this.\Look.\Woo'\I wonder if everyone else found their goal.\Well,\let's do our best until the end.\Doing it like this' No!\This one for sure! response:	We've looked everywhere.
context: Look.\Woo'\I wonder if everyone else found their goal.\Well,\let's do our best until the end.\Doing it like this' No!\This one for sure!\We've looked everywhere. response:	I see'
context: Woo'\I wonder if everyone else found their goal.\Well,\let's do our best until the end.\Doing it like this' No!\This one for sure!\We've looked everywhere.\I see' response:	Sakura'
context: I wonder if everyone else found their goal.\Well,\let's do our best until the end.\Doing it like this' No!\This one for sure!\We've looked everywhere.\I see'\Sakura' response:	And they were just behind Yamazaki and Chiharu.
context: Well,\let's do our best until the end.\Doing it like this' No!\This one for sure!\We've looked everywhere.\I see'\Sakura'\And they were just behind Yamazaki and Chiharu. response:	And we got these amusement park tickets, too'
context: let's do our best until the end.\Doing it like this' No!\This one for sure!\We've looked everywhere.\I see'\Sakura'\And they were just behind Yamazaki and Chiharu.\And we got these amusement park tickets, too' response:	I wonder where they went'?
context: Doing it like this' No!\This one for sure!\We've looked everywhere.\I see'\Sakura'\And they were just behind Yamazaki and Chiharu.\And we got these amusement park tickets, too'\I wonder where they went'? response:	They're still not back?
context: This one for sure!\We've looked everywhere.\I see'\Sakura'\And they were just behind Yamazaki and Chiharu.\And we got these amusement park tickets, too'\I wonder where they went'?\They're still not back? response:	Going to look for them?
context: We've looked everywhere.\I see'\Sakura'\And they were just behind Yamazaki and Chiharu.\And we got these amusement park tickets, too'\I wonder where they went'?\They're still not back?\Going to look for them? response:	Yeah.
context: I see'\Sakura'\And they were just behind Yamazaki and Chiharu.\And we got these amusement park tickets, too'\I wonder where they went'?\They're still not back?\Going to look for them?\Yeah. response:	I'm going, too.
context: Sakura'\And they were just behind Yamazaki and Chiharu.\And we got these amusement park tickets, too'\I wonder where they went'?\They're still not back?\Going to look for them?\Yeah.\I'm going, too. response:	Sakura!
context: And they were just behind Yamazaki and Chiharu.\And we got these amusement park tickets, too'\I wonder where they went'?\They're still not back?\Going to look for them?\Yeah.\I'm going, too.\Sakura! response:	Sakura!
context: And we got these amusement park tickets, too'\I wonder where they went'?\They're still not back?\Going to look for them?\Yeah.\I'm going, too.\Sakura!\Sakura! response:	Eh?
context: I wonder where they went'?\They're still not back?\Going to look for them?\Yeah.\I'm going, too.\Sakura!\Sakura!\Eh? response:	Where, where?
context: They're still not back?\Going to look for them?\Yeah.\I'm going, too.\Sakura!\Sakura!\Eh?\Where, where? response:	What were you doing?
context: Going to look for them?\Yeah.\I'm going, too.\Sakura!\Sakura!\Eh?\Where, where?\What were you doing? response:	Yukito got hurt,
context: Yeah.\I'm going, too.\Sakura!\Sakura!\Eh?\Where, where?\What were you doing?\Yukito got hurt, response:	and it was my fault'
context: I'm going, too.\Sakura!\Sakura!\Eh?\Where, where?\What were you doing?\Yukito got hurt,\and it was my fault' response:	eh!
context: Sakura!\Sakura!\Eh?\Where, where?\What were you doing?\Yukito got hurt,\and it was my fault'\eh! response:	I'm OK!
context: Sakura!\Eh?\Where, where?\What were you doing?\Yukito got hurt,\and it was my fault'\eh!\I'm OK! response:	No you aren't.
context: Eh?\Where, where?\What were you doing?\Yukito got hurt,\and it was my fault'\eh!\I'm OK!\No you aren't. response:	How about you? Are you alright?
context: Where, where?\What were you doing?\Yukito got hurt,\and it was my fault'\eh!\I'm OK!\No you aren't.\How about you? Are you alright? response:	I'm fine,
context: What were you doing?\Yukito got hurt,\and it was my fault'\eh!\I'm OK!\No you aren't.\How about you? Are you alright?\I'm fine, response:	because Yukito saved me.
context: Yukito got hurt,\and it was my fault'\eh!\I'm OK!\No you aren't.\How about you? Are you alright?\I'm fine,\because Yukito saved me. response:	Oh, man.
context: and it was my fault'\eh!\I'm OK!\No you aren't.\How about you? Are you alright?\I'm fine,\because Yukito saved me.\Oh, man. response:	Sakura!
context: eh!\I'm OK!\No you aren't.\How about you? Are you alright?\I'm fine,\because Yukito saved me.\Oh, man.\Sakura! response:	Alright
context: I'm OK!\No you aren't.\How about you? Are you alright?\I'm fine,\because Yukito saved me.\Oh, man.\Sakura!\Alright response:	Are you OK?
context: No you aren't.\How about you? Are you alright?\I'm fine,\because Yukito saved me.\Oh, man.\Sakura!\Alright\Are you OK? response:	I'm fine.
context: How about you? Are you alright?\I'm fine,\because Yukito saved me.\Oh, man.\Sakura!\Alright\Are you OK?\I'm fine. response:	You waited for me. Sorry about that.
context: I'm fine,\because Yukito saved me.\Oh, man.\Sakura!\Alright\Are you OK?\I'm fine.\You waited for me. Sorry about that. response:	Sakura.
context: because Yukito saved me.\Oh, man.\Sakura!\Alright\Are you OK?\I'm fine.\You waited for me. Sorry about that.\Sakura. response:	Eh?
context: Oh, man.\Sakura!\Alright\Are you OK?\I'm fine.\You waited for me. Sorry about that.\Sakura.\Eh? response:	Your prize.
context: Sakura!\Alright\Are you OK?\I'm fine.\You waited for me. Sorry about that.\Sakura.\Eh?\Your prize. response:	Wah'
context: Alright\Are you OK?\I'm fine.\You waited for me. Sorry about that.\Sakura.\Eh?\Your prize.\Wah' response:	This is perfect!
context: Are you OK?\I'm fine.\You waited for me. Sorry about that.\Sakura.\Eh?\Your prize.\Wah'\This is perfect! response:	I needed one of these!
context: I'm fine.\You waited for me. Sorry about that.\Sakura.\Eh?\Your prize.\Wah'\This is perfect!\I needed one of these! response:	We got the same thing.
context: You waited for me. Sorry about that.\Sakura.\Eh?\Your prize.\Wah'\This is perfect!\I needed one of these!\We got the same thing. response:	Yukito'
