context: Aye! I'm reporting live from E-Land! response:	Can everyone see this?
context: Oh, is it? Well, I like this place, too.\Mummy Bandage!\Every monster in Monster Academy is my soldier!\Like, whoa, right?\This ain't nothin'!\What?!\Flames from his entire body?\Wing Slash of the Fire Dragon! response:	Franken Knuckle!
context: Mummy Bandage!\Every monster in Monster Academy is my soldier!\Like, whoa, right?\This ain't nothin'!\What?!\Flames from his entire body?\Wing Slash of the Fire Dragon!\Franken Knuckle! response:	What incredible power...
context: Every monster in Monster Academy is my soldier!\Like, whoa, right?\This ain't nothin'!\What?!\Flames from his entire body?\Wing Slash of the Fire Dragon!\Franken Knuckle!\What incredible power... response:	Monster Troops, assemble!
context: Like, whoa, right?\This ain't nothin'!\What?!\Flames from his entire body?\Wing Slash of the Fire Dragon!\Franken Knuckle!\What incredible power...\Monster Troops, assemble! response:	Bring him down!
context: This ain't nothin'!\What?!\Flames from his entire body?\Wing Slash of the Fire Dragon!\Franken Knuckle!\What incredible power...\Monster Troops, assemble!\Bring him down! response:	No!!
context: What?!\Flames from his entire body?\Wing Slash of the Fire Dragon!\Franken Knuckle!\What incredible power...\Monster Troops, assemble!\Bring him down!\No!! response:	Can you really win against these monsters?
context: Flames from his entire body?\Wing Slash of the Fire Dragon!\Franken Knuckle!\What incredible power...\Monster Troops, assemble!\Bring him down!\No!!\Can you really win against these monsters? response:	Ouch...
context: Wing Slash of the Fire Dragon!\Franken Knuckle!\What incredible power...\Monster Troops, assemble!\Bring him down!\No!!\Can you really win against these monsters?\Ouch... response:	What are you doing, monsters? Go!
context: Franken Knuckle!\What incredible power...\Monster Troops, assemble!\Bring him down!\No!!\Can you really win against these monsters?\Ouch...\What are you doing, monsters? Go! response:	He's a real...
context: What incredible power...\Monster Troops, assemble!\Bring him down!\No!!\Can you really win against these monsters?\Ouch...\What are you doing, monsters? Go!\He's a real... response:	What's with these monsters?! Stay away!
context: Monster Troops, assemble!\Bring him down!\No!!\Can you really win against these monsters?\Ouch...\What are you doing, monsters? Go!\He's a real...\What's with these monsters?! Stay away! response:	Huh? Where're the monsters?
context: Bring him down!\No!!\Can you really win against these monsters?\Ouch...\What are you doing, monsters? Go!\He's a real...\What's with these monsters?! Stay away!\Huh? Where're the monsters? response:	And who are you?
context: No!!\Can you really win against these monsters?\Ouch...\What are you doing, monsters? Go!\He's a real...\What's with these monsters?! Stay away!\Huh? Where're the monsters?\And who are you? response:	What happened to your feet?
context: Can you really win against these monsters?\Ouch...\What are you doing, monsters? Go!\He's a real...\What's with these monsters?! Stay away!\Huh? Where're the monsters?\And who are you?\What happened to your feet? response:	They're seriously injured!
context: Ouch...\What are you doing, monsters? Go!\He's a real...\What's with these monsters?! Stay away!\Huh? Where're the monsters?\And who are you?\What happened to your feet?\They're seriously injured! response:	I can't run any more...
context: What are you doing, monsters? Go!\He's a real...\What's with these monsters?! Stay away!\Huh? Where're the monsters?\And who are you?\What happened to your feet?\They're seriously injured!\I can't run any more... response:	Coco, wait, would you?!
context: He's a real...\What's with these monsters?! Stay away!\Huh? Where're the monsters?\And who are you?\What happened to your feet?\They're seriously injured!\I can't run any more...\Coco, wait, would you?! response:	Help me...
context: What's with these monsters?! Stay away!\Huh? Where're the monsters?\And who are you?\What happened to your feet?\They're seriously injured!\I can't run any more...\Coco, wait, would you?!\Help me... response:	This.
context: Huh? Where're the monsters?\And who are you?\What happened to your feet?\They're seriously injured!\I can't run any more...\Coco, wait, would you?!\Help me...\This. response:	That's right... This person is the girl from Earthland...
context: And who are you?\What happened to your feet?\They're seriously injured!\I can't run any more...\Coco, wait, would you?!\Help me...\This.\That's right... This person is the girl from Earthland... response:	It's no use, I can't give her the key...
context: What happened to your feet?\They're seriously injured!\I can't run any more...\Coco, wait, would you?!\Help me...\This.\That's right... This person is the girl from Earthland...\It's no use, I can't give her the key... response:	What'll I do?
context: They're seriously injured!\I can't run any more...\Coco, wait, would you?!\Help me...\This.\That's right... This person is the girl from Earthland...\It's no use, I can't give her the key...\What'll I do? response:	Hurry up and give me the key!
context: I can't run any more...\Coco, wait, would you?!\Help me...\This.\That's right... This person is the girl from Earthland...\It's no use, I can't give her the key...\What'll I do?\Hurry up and give me the key! response:	Key?
context: Coco, wait, would you?!\Help me...\This.\That's right... This person is the girl from Earthland...\It's no use, I can't give her the key...\What'll I do?\Hurry up and give me the key!\Key? response:	W-Why is he after my keys?
context: Help me...\This.\That's right... This person is the girl from Earthland...\It's no use, I can't give her the key...\What'll I do?\Hurry up and give me the key!\Key?\W-Why is he after my keys? response:	I won't give any of them to you!
context: This.\That's right... This person is the girl from Earthland...\It's no use, I can't give her the key...\What'll I do?\Hurry up and give me the key!\Key?\W-Why is he after my keys?\I won't give any of them to you! response:	She's confused about something...
context: That's right... This person is the girl from Earthland...\It's no use, I can't give her the key...\What'll I do?\Hurry up and give me the key!\Key?\W-Why is he after my keys?\I won't give any of them to you!\She's confused about something... response:	Don't worry!
context: It's no use, I can't give her the key...\What'll I do?\Hurry up and give me the key!\Key?\W-Why is he after my keys?\I won't give any of them to you!\She's confused about something...\Don't worry! response:	'Cause I'll beat him for you!
context: What'll I do?\Hurry up and give me the key!\Key?\W-Why is he after my keys?\I won't give any of them to you!\She's confused about something...\Don't worry!\'Cause I'll beat him for you! response:	Oh? Where'd Lucy go?
context: Hurry up and give me the key!\Key?\W-Why is he after my keys?\I won't give any of them to you!\She's confused about something...\Don't worry!\'Cause I'll beat him for you!\Oh? Where'd Lucy go? response:	She ran off yelling somewhere.
context: Key?\W-Why is he after my keys?\I won't give any of them to you!\She's confused about something...\Don't worry!\'Cause I'll beat him for you!\Oh? Where'd Lucy go?\She ran off yelling somewhere. response:	What's she playing around for?
context: W-Why is he after my keys?\I won't give any of them to you!\She's confused about something...\Don't worry!\'Cause I'll beat him for you!\Oh? Where'd Lucy go?\She ran off yelling somewhere.\What's she playing around for? response:	Whatever.
context: I won't give any of them to you!\She's confused about something...\Don't worry!\'Cause I'll beat him for you!\Oh? Where'd Lucy go?\She ran off yelling somewhere.\What's she playing around for?\Whatever. response:	Gray and the guy with the chin ain't around, either.
context: She's confused about something...\Don't worry!\'Cause I'll beat him for you!\Oh? Where'd Lucy go?\She ran off yelling somewhere.\What's she playing around for?\Whatever.\Gray and the guy with the chin ain't around, either. response:	The chin person tripped on his chin and went flying and he gave chase.
context: Don't worry!\'Cause I'll beat him for you!\Oh? Where'd Lucy go?\She ran off yelling somewhere.\What's she playing around for?\Whatever.\Gray and the guy with the chin ain't around, either.\The chin person tripped on his chin and went flying and he gave chase. response:	Huh? What? What's that mean?
context: 'Cause I'll beat him for you!\Oh? Where'd Lucy go?\She ran off yelling somewhere.\What's she playing around for?\Whatever.\Gray and the guy with the chin ain't around, either.\The chin person tripped on his chin and went flying and he gave chase.\Huh? What? What's that mean? response:	The chin on the chin did what?
context: Oh? Where'd Lucy go?\She ran off yelling somewhere.\What's she playing around for?\Whatever.\Gray and the guy with the chin ain't around, either.\The chin person tripped on his chin and went flying and he gave chase.\Huh? What? What's that mean?\The chin on the chin did what? response:	Next time: The Great River of Stars is for Pride...
context: She ran off yelling somewhere.\What's she playing around for?\Whatever.\Gray and the guy with the chin ain't around, either.\The chin person tripped on his chin and went flying and he gave chase.\Huh? What? What's that mean?\The chin on the chin did what?\Next time: The Great River of Stars is for Pride... response:	It's simple, the chin person went flying, like swoosh!
context: What's she playing around for?\Whatever.\Gray and the guy with the chin ain't around, either.\The chin person tripped on his chin and went flying and he gave chase.\Huh? What? What's that mean?\The chin on the chin did what?\Next time: The Great River of Stars is for Pride...\It's simple, the chin person went flying, like swoosh! response:	A chin can fly?!
context: Whatever.\Gray and the guy with the chin ain't around, either.\The chin person tripped on his chin and went flying and he gave chase.\Huh? What? What's that mean?\The chin on the chin did what?\Next time: The Great River of Stars is for Pride...\It's simple, the chin person went flying, like swoosh!\A chin can fly?! response:	You make it sound like only the chin is flying!
