context: It's huge. response:	When Elder Tale was still a game, we came here a lot, but...
context: What are you spacing out for?\Lost in thought again...\Shiro?\Shiro?\What's wrong, Shiro?\My lord!\Shiro!\My lord! response:	Are you awake?
context: Lost in thought again...\Shiro?\Shiro?\What's wrong, Shiro?\My lord!\Shiro!\My lord!\Are you awake? response:	Are you all right, my lord?
context: Shiro?\Shiro?\What's wrong, Shiro?\My lord!\Shiro!\My lord!\Are you awake?\Are you all right, my lord? response:	Where am I?
context: Shiro?\What's wrong, Shiro?\My lord!\Shiro!\My lord!\Are you awake?\Are you all right, my lord?\Where am I? response:	Thank the shrimp.
context: What's wrong, Shiro?\My lord!\Shiro!\My lord!\Are you awake?\Are you all right, my lord?\Where am I?\Thank the shrimp. response:	After you fell, she jumped in and saved you.
context: My lord!\Shiro!\My lord!\Are you awake?\Are you all right, my lord?\Where am I?\Thank the shrimp.\After you fell, she jumped in and saved you. response:	You also jumped in, and pulled us both up.
context: Shiro!\My lord!\Are you awake?\Are you all right, my lord?\Where am I?\Thank the shrimp.\After you fell, she jumped in and saved you.\You also jumped in, and pulled us both up. response:	And don't call me a shrimp!
context: My lord!\Are you awake?\Are you all right, my lord?\Where am I?\Thank the shrimp.\After you fell, she jumped in and saved you.\You also jumped in, and pulled us both up.\And don't call me a shrimp! response:	I see.
context: Are you awake?\Are you all right, my lord?\Where am I?\Thank the shrimp.\After you fell, she jumped in and saved you.\You also jumped in, and pulled us both up.\And don't call me a shrimp!\I see. response:	Thanks, Naotsugu... And Akatsuki.
context: Are you all right, my lord?\Where am I?\Thank the shrimp.\After you fell, she jumped in and saved you.\You also jumped in, and pulled us both up.\And don't call me a shrimp!\I see.\Thanks, Naotsugu... And Akatsuki. response:	Me, too... I mean...
context: Where am I?\Thank the shrimp.\After you fell, she jumped in and saved you.\You also jumped in, and pulled us both up.\And don't call me a shrimp!\I see.\Thanks, Naotsugu... And Akatsuki.\Me, too... I mean... response:	Thank you.
context: Thank the shrimp.\After you fell, she jumped in and saved you.\You also jumped in, and pulled us both up.\And don't call me a shrimp!\I see.\Thanks, Naotsugu... And Akatsuki.\Me, too... I mean...\Thank you. response:	Eh? For what?
context: After you fell, she jumped in and saved you.\You also jumped in, and pulled us both up.\And don't call me a shrimp!\I see.\Thanks, Naotsugu... And Akatsuki.\Me, too... I mean...\Thank you.\Eh? For what? response:	You tried to save me...
context: You also jumped in, and pulled us both up.\And don't call me a shrimp!\I see.\Thanks, Naotsugu... And Akatsuki.\Me, too... I mean...\Thank you.\Eh? For what?\You tried to save me... response:	Okay, let's get this adventure back on the road!
context: And don't call me a shrimp!\I see.\Thanks, Naotsugu... And Akatsuki.\Me, too... I mean...\Thank you.\Eh? For what?\You tried to save me...\Okay, let's get this adventure back on the road! response:	Right.
context: I see.\Thanks, Naotsugu... And Akatsuki.\Me, too... I mean...\Thank you.\Eh? For what?\You tried to save me...\Okay, let's get this adventure back on the road!\Right. response:	Weird, though. I fell into the water from that height,
context: Thanks, Naotsugu... And Akatsuki.\Me, too... I mean...\Thank you.\Eh? For what?\You tried to save me...\Okay, let's get this adventure back on the road!\Right.\Weird, though. I fell into the water from that height, response:	but I'm barely hurt, and I'm not cold.
context: Me, too... I mean...\Thank you.\Eh? For what?\You tried to save me...\Okay, let's get this adventure back on the road!\Right.\Weird, though. I fell into the water from that height,\but I'm barely hurt, and I'm not cold. response:	Maybe because your body's level 90?
context: Thank you.\Eh? For what?\You tried to save me...\Okay, let's get this adventure back on the road!\Right.\Weird, though. I fell into the water from that height,\but I'm barely hurt, and I'm not cold.\Maybe because your body's level 90? response:	After all this walking, I'm hardly tired at all.
context: Eh? For what?\You tried to save me...\Okay, let's get this adventure back on the road!\Right.\Weird, though. I fell into the water from that height,\but I'm barely hurt, and I'm not cold.\Maybe because your body's level 90?\After all this walking, I'm hardly tired at all. response:	So where are we now?
context: You tried to save me...\Okay, let's get this adventure back on the road!\Right.\Weird, though. I fell into the water from that height,\but I'm barely hurt, and I'm not cold.\Maybe because your body's level 90?\After all this walking, I'm hardly tired at all.\So where are we now? response:	We ended up taking the long way, but we're nearly out.
context: Okay, let's get this adventure back on the road!\Right.\Weird, though. I fell into the water from that height,\but I'm barely hurt, and I'm not cold.\Maybe because your body's level 90?\After all this walking, I'm hardly tired at all.\So where are we now?\We ended up taking the long way, but we're nearly out. response:	You really are good at cartography, my lord.
context: Right.\Weird, though. I fell into the water from that height,\but I'm barely hurt, and I'm not cold.\Maybe because your body's level 90?\After all this walking, I'm hardly tired at all.\So where are we now?\We ended up taking the long way, but we're nearly out.\You really are good at cartography, my lord. response:	My subclass is scribe, after all.
context: Weird, though. I fell into the water from that height,\but I'm barely hurt, and I'm not cold.\Maybe because your body's level 90?\After all this walking, I'm hardly tired at all.\So where are we now?\We ended up taking the long way, but we're nearly out.\You really are good at cartography, my lord.\My subclass is scribe, after all. response:	And back in the other world, I did CAD work.
context: but I'm barely hurt, and I'm not cold.\Maybe because your body's level 90?\After all this walking, I'm hardly tired at all.\So where are we now?\We ended up taking the long way, but we're nearly out.\You really are good at cartography, my lord.\My subclass is scribe, after all.\And back in the other world, I did CAD work. response:	Come to think of it, that's true.
context: Maybe because your body's level 90?\After all this walking, I'm hardly tired at all.\So where are we now?\We ended up taking the long way, but we're nearly out.\You really are good at cartography, my lord.\My subclass is scribe, after all.\And back in the other world, I did CAD work.\Come to think of it, that's true. response:	CAD?
context: After all this walking, I'm hardly tired at all.\So where are we now?\We ended up taking the long way, but we're nearly out.\You really are good at cartography, my lord.\My subclass is scribe, after all.\And back in the other world, I did CAD work.\Come to think of it, that's true.\CAD? response:	What's CAD?
context: So where are we now?\We ended up taking the long way, but we're nearly out.\You really are good at cartography, my lord.\My subclass is scribe, after all.\And back in the other world, I did CAD work.\Come to think of it, that's true.\CAD?\What's CAD? response:	Designs you make on a computer.
context: We ended up taking the long way, but we're nearly out.\You really are good at cartography, my lord.\My subclass is scribe, after all.\And back in the other world, I did CAD work.\Come to think of it, that's true.\CAD?\What's CAD?\Designs you make on a computer. response:	I do it at my university. I'm an engineering student.
context: You really are good at cartography, my lord.\My subclass is scribe, after all.\And back in the other world, I did CAD work.\Come to think of it, that's true.\CAD?\What's CAD?\Designs you make on a computer.\I do it at my university. I'm an engineering student. response:	So you're a college student.
context: My subclass is scribe, after all.\And back in the other world, I did CAD work.\Come to think of it, that's true.\CAD?\What's CAD?\Designs you make on a computer.\I do it at my university. I'm an engineering student.\So you're a college student. response:	A graduate student.
context: And back in the other world, I did CAD work.\Come to think of it, that's true.\CAD?\What's CAD?\Designs you make on a computer.\I do it at my university. I'm an engineering student.\So you're a college student.\A graduate student. response:	I'm about to graduate...
context: Come to think of it, that's true.\CAD?\What's CAD?\Designs you make on a computer.\I do it at my university. I'm an engineering student.\So you're a college student.\A graduate student.\I'm about to graduate... response:	Or I was.
context: CAD?\What's CAD?\Designs you make on a computer.\I do it at my university. I'm an engineering student.\So you're a college student.\A graduate student.\I'm about to graduate...\Or I was. response:	Oh.
context: What's CAD?\Designs you make on a computer.\I do it at my university. I'm an engineering student.\So you're a college student.\A graduate student.\I'm about to graduate...\Or I was.\Oh. response:	Then you're basically the same age as I am.
context: Designs you make on a computer.\I do it at my university. I'm an engineering student.\So you're a college student.\A graduate student.\I'm about to graduate...\Or I was.\Oh.\Then you're basically the same age as I am. response:	Seriously?
context: I do it at my university. I'm an engineering student.\So you're a college student.\A graduate student.\I'm about to graduate...\Or I was.\Oh.\Then you're basically the same age as I am.\Seriously? response:	Is it that surprising?
context: So you're a college student.\A graduate student.\I'm about to graduate...\Or I was.\Oh.\Then you're basically the same age as I am.\Seriously?\Is it that surprising? response:	You're kidding, right?
context: A graduate student.\I'm about to graduate...\Or I was.\Oh.\Then you're basically the same age as I am.\Seriously?\Is it that surprising?\You're kidding, right? response:	I mean, you're totally a little kid
context: I'm about to graduate...\Or I was.\Oh.\Then you're basically the same age as I am.\Seriously?\Is it that surprising?\You're kidding, right?\I mean, you're totally a little kid response:	My lord, may I kick this stupid Naotsugu?
context: Or I was.\Oh.\Then you're basically the same age as I am.\Seriously?\Is it that surprising?\You're kidding, right?\I mean, you're totally a little kid\My lord, may I kick this stupid Naotsugu? response:	She's in college?
context: Oh.\Then you're basically the same age as I am.\Seriously?\Is it that surprising?\You're kidding, right?\I mean, you're totally a little kid\My lord, may I kick this stupid Naotsugu?\She's in college? response:	I've told you, ask before you do that!
context: Then you're basically the same age as I am.\Seriously?\Is it that surprising?\You're kidding, right?\I mean, you're totally a little kid\My lord, may I kick this stupid Naotsugu?\She's in college?\I've told you, ask before you do that! response:	It's your fault for being rude and perverted.
context: Seriously?\Is it that surprising?\You're kidding, right?\I mean, you're totally a little kid\My lord, may I kick this stupid Naotsugu?\She's in college?\I've told you, ask before you do that!\It's your fault for being rude and perverted. response:	Perverted? You mean like b
context: Is it that surprising?\You're kidding, right?\I mean, you're totally a little kid\My lord, may I kick this stupid Naotsugu?\She's in college?\I've told you, ask before you do that!\It's your fault for being rude and perverted.\Perverted? You mean like b response:	My lord, may I take this pervert and...
context: You're kidding, right?\I mean, you're totally a little kid\My lord, may I kick this stupid Naotsugu?\She's in college?\I've told you, ask before you do that!\It's your fault for being rude and perverted.\Perverted? You mean like b\My lord, may I take this pervert and... response:	Again? At least let me get another letter in!
context: I mean, you're totally a little kid\My lord, may I kick this stupid Naotsugu?\She's in college?\I've told you, ask before you do that!\It's your fault for being rude and perverted.\Perverted? You mean like b\My lord, may I take this pervert and...\Again? At least let me get another letter in! response:	Akatsuki, Naotsugu's going to cry.
context: My lord, may I kick this stupid Naotsugu?\She's in college?\I've told you, ask before you do that!\It's your fault for being rude and perverted.\Perverted? You mean like b\My lord, may I take this pervert and...\Again? At least let me get another letter in!\Akatsuki, Naotsugu's going to cry. response:	My lord, did you also think I was a child?
context: She's in college?\I've told you, ask before you do that!\It's your fault for being rude and perverted.\Perverted? You mean like b\My lord, may I take this pervert and...\Again? At least let me get another letter in!\Akatsuki, Naotsugu's going to cry.\My lord, did you also think I was a child? response:	N-No, I wouldn't say child...
context: I've told you, ask before you do that!\It's your fault for being rude and perverted.\Perverted? You mean like b\My lord, may I take this pervert and...\Again? At least let me get another letter in!\Akatsuki, Naotsugu's going to cry.\My lord, did you also think I was a child?\N-No, I wouldn't say child... response:	How do I answer this?
context: It's your fault for being rude and perverted.\Perverted? You mean like b\My lord, may I take this pervert and...\Again? At least let me get another letter in!\Akatsuki, Naotsugu's going to cry.\My lord, did you also think I was a child?\N-No, I wouldn't say child...\How do I answer this? response:	A kid, huh?
context: Perverted? You mean like b\My lord, may I take this pervert and...\Again? At least let me get another letter in!\Akatsuki, Naotsugu's going to cry.\My lord, did you also think I was a child?\N-No, I wouldn't say child...\How do I answer this?\A kid, huh? response:	It looked like they joined some guild.
context: My lord, may I take this pervert and...\Again? At least let me get another letter in!\Akatsuki, Naotsugu's going to cry.\My lord, did you also think I was a child?\N-No, I wouldn't say child...\How do I answer this?\A kid, huh?\It looked like they joined some guild. response:	I wonder if they're okay.
context: Again? At least let me get another letter in!\Akatsuki, Naotsugu's going to cry.\My lord, did you also think I was a child?\N-No, I wouldn't say child...\How do I answer this?\A kid, huh?\It looked like they joined some guild.\I wonder if they're okay. response:	When I'm back in Akihabara, maybe I'll find them and...
context: Akatsuki, Naotsugu's going to cry.\My lord, did you also think I was a child?\N-No, I wouldn't say child...\How do I answer this?\A kid, huh?\It looked like they joined some guild.\I wonder if they're okay.\When I'm back in Akihabara, maybe I'll find them and... response:	What are you thinking about, my lord?
context: My lord, did you also think I was a child?\N-No, I wouldn't say child...\How do I answer this?\A kid, huh?\It looked like they joined some guild.\I wonder if they're okay.\When I'm back in Akihabara, maybe I'll find them and...\What are you thinking about, my lord? response:	Nothing, really.
context: N-No, I wouldn't say child...\How do I answer this?\A kid, huh?\It looked like they joined some guild.\I wonder if they're okay.\When I'm back in Akihabara, maybe I'll find them and...\What are you thinking about, my lord?\Nothing, really. response:	That isn't true.
context: How do I answer this?\A kid, huh?\It looked like they joined some guild.\I wonder if they're okay.\When I'm back in Akihabara, maybe I'll find them and...\What are you thinking about, my lord?\Nothing, really.\That isn't true. response:	Whenever you're thinking, your brow furrows.
context: A kid, huh?\It looked like they joined some guild.\I wonder if they're okay.\When I'm back in Akihabara, maybe I'll find them and...\What are you thinking about, my lord?\Nothing, really.\That isn't true.\Whenever you're thinking, your brow furrows. response:	Right here.
context: It looked like they joined some guild.\I wonder if they're okay.\When I'm back in Akihabara, maybe I'll find them and...\What are you thinking about, my lord?\Nothing, really.\That isn't true.\Whenever you're thinking, your brow furrows.\Right here. response:	You look like an old man.
context: I wonder if they're okay.\When I'm back in Akihabara, maybe I'll find them and...\What are you thinking about, my lord?\Nothing, really.\That isn't true.\Whenever you're thinking, your brow furrows.\Right here.\You look like an old man. response:	What are you laughing at?
context: When I'm back in Akihabara, maybe I'll find them and...\What are you thinking about, my lord?\Nothing, really.\That isn't true.\Whenever you're thinking, your brow furrows.\Right here.\You look like an old man.\What are you laughing at? response:	Well... You heard her!
context: What are you thinking about, my lord?\Nothing, really.\That isn't true.\Whenever you're thinking, your brow furrows.\Right here.\You look like an old man.\What are you laughing at?\Well... You heard her! response:	Naotsugu!
context: Nothing, really.\That isn't true.\Whenever you're thinking, your brow furrows.\Right here.\You look like an old man.\What are you laughing at?\Well... You heard her!\Naotsugu! response:	Where did this come from?
context: That isn't true.\Whenever you're thinking, your brow furrows.\Right here.\You look like an old man.\What are you laughing at?\Well... You heard her!\Naotsugu!\Where did this come from? response:	Lag?
context: Whenever you're thinking, your brow furrows.\Right here.\You look like an old man.\What are you laughing at?\Well... You heard her!\Naotsugu!\Where did this come from?\Lag? response:	No, we switched zones.
context: Right here.\You look like an old man.\What are you laughing at?\Well... You heard her!\Naotsugu!\Where did this come from?\Lag?\No, we switched zones. response:	My lord, above us!
context: You look like an old man.\What are you laughing at?\Well... You heard her!\Naotsugu!\Where did this come from?\Lag?\No, we switched zones.\My lord, above us! response:	What is that thing?
context: What are you laughing at?\Well... You heard her!\Naotsugu!\Where did this come from?\Lag?\No, we switched zones.\My lord, above us!\What is that thing? response:	It's blocking the stairs...
context: Well... You heard her!\Naotsugu!\Where did this come from?\Lag?\No, we switched zones.\My lord, above us!\What is that thing?\It's blocking the stairs... response:	Was that in the game?
context: Naotsugu!\Where did this come from?\Lag?\No, we switched zones.\My lord, above us!\What is that thing?\It's blocking the stairs...\Was that in the game? response:	A subspecies of rat-man?
context: Where did this come from?\Lag?\No, we switched zones.\My lord, above us!\What is that thing?\It's blocking the stairs...\Was that in the game?\A subspecies of rat-man? response:	Doesn't seem to have a specific name.
context: Lag?\No, we switched zones.\My lord, above us!\What is that thing?\It's blocking the stairs...\Was that in the game?\A subspecies of rat-man?\Doesn't seem to have a specific name. response:	Which means...
context: No, we switched zones.\My lord, above us!\What is that thing?\It's blocking the stairs...\Was that in the game?\A subspecies of rat-man?\Doesn't seem to have a specific name.\Which means... response:	It's one of the new Novasphere monsters?
context: My lord, above us!\What is that thing?\It's blocking the stairs...\Was that in the game?\A subspecies of rat-man?\Doesn't seem to have a specific name.\Which means...\It's one of the new Novasphere monsters? response:	It's huge, but it's level 68.
context: What is that thing?\It's blocking the stairs...\Was that in the game?\A subspecies of rat-man?\Doesn't seem to have a specific name.\Which means...\It's one of the new Novasphere monsters?\It's huge, but it's level 68. response:	Rat-maso Rank/ Party
context: It's blocking the stairs...\Was that in the game?\A subspecies of rat-man?\Doesn't seem to have a specific name.\Which means...\It's one of the new Novasphere monsters?\It's huge, but it's level 68.\Rat-maso Rank/ Party response:	Looks like it's mostly status debuffs.
context: Was that in the game?\A subspecies of rat-man?\Doesn't seem to have a specific name.\Which means...\It's one of the new Novasphere monsters?\It's huge, but it's level 68.\Rat-maso Rank/ Party\Looks like it's mostly status debuffs. response:	Is it the reason the dungeon's falling apart?
context: A subspecies of rat-man?\Doesn't seem to have a specific name.\Which means...\It's one of the new Novasphere monsters?\It's huge, but it's level 68.\Rat-maso Rank/ Party\Looks like it's mostly status debuffs.\Is it the reason the dungeon's falling apart? response:	Probably.
context: Doesn't seem to have a specific name.\Which means...\It's one of the new Novasphere monsters?\It's huge, but it's level 68.\Rat-maso Rank/ Party\Looks like it's mostly status debuffs.\Is it the reason the dungeon's falling apart?\Probably. response:	It's a little risky, but we have no choice.
context: Which means...\It's one of the new Novasphere monsters?\It's huge, but it's level 68.\Rat-maso Rank/ Party\Looks like it's mostly status debuffs.\Is it the reason the dungeon's falling apart?\Probably.\It's a little risky, but we have no choice. response:	Let's eliminate it.
context: It's one of the new Novasphere monsters?\It's huge, but it's level 68.\Rat-maso Rank/ Party\Looks like it's mostly status debuffs.\Is it the reason the dungeon's falling apart?\Probably.\It's a little risky, but we have no choice.\Let's eliminate it. response:	Okay!
context: It's huge, but it's level 68.\Rat-maso Rank/ Party\Looks like it's mostly status debuffs.\Is it the reason the dungeon's falling apart?\Probably.\It's a little risky, but we have no choice.\Let's eliminate it.\Okay! response:	Let's make this quick, strategist.
context: Rat-maso Rank/ Party\Looks like it's mostly status debuffs.\Is it the reason the dungeon's falling apart?\Probably.\It's a little risky, but we have no choice.\Let's eliminate it.\Okay!\Let's make this quick, strategist. response:	Over here, big boy!
context: Looks like it's mostly status debuffs.\Is it the reason the dungeon's falling apart?\Probably.\It's a little risky, but we have no choice.\Let's eliminate it.\Okay!\Let's make this quick, strategist.\Over here, big boy! response:	Stealth Blade!
context: Is it the reason the dungeon's falling apart?\Probably.\It's a little risky, but we have no choice.\Let's eliminate it.\Okay!\Let's make this quick, strategist.\Over here, big boy!\Stealth Blade! response:	Cross Slash!
context: Probably.\It's a little risky, but we have no choice.\Let's eliminate it.\Okay!\Let's make this quick, strategist.\Over here, big boy!\Stealth Blade!\Cross Slash! response:	In Combat Naotsugu Akatsuki
context: It's a little risky, but we have no choice.\Let's eliminate it.\Okay!\Let's make this quick, strategist.\Over here, big boy!\Stealth Blade!\Cross Slash!\In Combat Naotsugu Akatsuki response:	No matter how used to it you are,
context: Let's eliminate it.\Okay!\Let's make this quick, strategist.\Over here, big boy!\Stealth Blade!\Cross Slash!\In Combat Naotsugu Akatsuki\No matter how used to it you are, response:	fighting in real life is different.
context: Okay!\Let's make this quick, strategist.\Over here, big boy!\Stealth Blade!\Cross Slash!\In Combat Naotsugu Akatsuki\No matter how used to it you are,\fighting in real life is different. response:	You can't apprehend size, breath, or stink through a monitor!
context: Let's make this quick, strategist.\Over here, big boy!\Stealth Blade!\Cross Slash!\In Combat Naotsugu Akatsuki\No matter how used to it you are,\fighting in real life is different.\You can't apprehend size, breath, or stink through a monitor! response:	Here I go!
context: Over here, big boy!\Stealth Blade!\Cross Slash!\In Combat Naotsugu Akatsuki\No matter how used to it you are,\fighting in real life is different.\You can't apprehend size, breath, or stink through a monitor!\Here I go! response:	Thorn Bind Hostage!
context: Stealth Blade!\Cross Slash!\In Combat Naotsugu Akatsuki\No matter how used to it you are,\fighting in real life is different.\You can't apprehend size, breath, or stink through a monitor!\Here I go!\Thorn Bind Hostage! response:	Its defense is pretty high.
context: Cross Slash!\In Combat Naotsugu Akatsuki\No matter how used to it you are,\fighting in real life is different.\You can't apprehend size, breath, or stink through a monitor!\Here I go!\Thorn Bind Hostage!\Its defense is pretty high. response:	Three left... Get it, shrimp!
context: In Combat Naotsugu Akatsuki\No matter how used to it you are,\fighting in real life is different.\You can't apprehend size, breath, or stink through a monitor!\Here I go!\Thorn Bind Hostage!\Its defense is pretty high.\Three left... Get it, shrimp! response:	Don't call me shrimp!
context: No matter how used to it you are,\fighting in real life is different.\You can't apprehend size, breath, or stink through a monitor!\Here I go!\Thorn Bind Hostage!\Its defense is pretty high.\Three left... Get it, shrimp!\Don't call me shrimp! response:	I'll ensure you don't miss.
context: fighting in real life is different.\You can't apprehend size, breath, or stink through a monitor!\Here I go!\Thorn Bind Hostage!\Its defense is pretty high.\Three left... Get it, shrimp!\Don't call me shrimp!\I'll ensure you don't miss. response:	Mind Shock!
context: You can't apprehend size, breath, or stink through a monitor!\Here I go!\Thorn Bind Hostage!\Its defense is pretty high.\Three left... Get it, shrimp!\Don't call me shrimp!\I'll ensure you don't miss.\Mind Shock! response:	First you add a confusion debuff that lowers dodge and agility.
context: Here I go!\Thorn Bind Hostage!\Its defense is pretty high.\Three left... Get it, shrimp!\Don't call me shrimp!\I'll ensure you don't miss.\Mind Shock!\First you add a confusion debuff that lowers dodge and agility. response:	Then amplify the attack power of your allies' weapons.
context: Thorn Bind Hostage!\Its defense is pretty high.\Three left... Get it, shrimp!\Don't call me shrimp!\I'll ensure you don't miss.\Mind Shock!\First you add a confusion debuff that lowers dodge and agility.\Then amplify the attack power of your allies' weapons. response:	Keen Edge!
context: Its defense is pretty high.\Three left... Get it, shrimp!\Don't call me shrimp!\I'll ensure you don't miss.\Mind Shock!\First you add a confusion debuff that lowers dodge and agility.\Then amplify the attack power of your allies' weapons.\Keen Edge! response:	Thank you, my lord!
context: Three left... Get it, shrimp!\Don't call me shrimp!\I'll ensure you don't miss.\Mind Shock!\First you add a confusion debuff that lowers dodge and agility.\Then amplify the attack power of your allies' weapons.\Keen Edge!\Thank you, my lord! response:	Now it'll only take one more hit.
context: Don't call me shrimp!\I'll ensure you don't miss.\Mind Shock!\First you add a confusion debuff that lowers dodge and agility.\Then amplify the attack power of your allies' weapons.\Keen Edge!\Thank you, my lord!\Now it'll only take one more hit. response:	Assassinate.
context: I'll ensure you don't miss.\Mind Shock!\First you add a confusion debuff that lowers dodge and agility.\Then amplify the attack power of your allies' weapons.\Keen Edge!\Thank you, my lord!\Now it'll only take one more hit.\Assassinate. response:	Death
context: Mind Shock!\First you add a confusion debuff that lowers dodge and agility.\Then amplify the attack power of your allies' weapons.\Keen Edge!\Thank you, my lord!\Now it'll only take one more hit.\Assassinate.\Death response:	Wow.
context: First you add a confusion debuff that lowers dodge and agility.\Then amplify the attack power of your allies' weapons.\Keen Edge!\Thank you, my lord!\Now it'll only take one more hit.\Assassinate.\Death\Wow. response:	The wind is cold.
context: Then amplify the attack power of your allies' weapons.\Keen Edge!\Thank you, my lord!\Now it'll only take one more hit.\Assassinate.\Death\Wow.\The wind is cold. response:	But it feels great!
context: Keen Edge!\Thank you, my lord!\Now it'll only take one more hit.\Assassinate.\Death\Wow.\The wind is cold.\But it feels great! response:	We're finally through the tough part.
context: Thank you, my lord!\Now it'll only take one more hit.\Assassinate.\Death\Wow.\The wind is cold.\But it feels great!\We're finally through the tough part. response:	It's beautiful.
context: Now it'll only take one more hit.\Assassinate.\Death\Wow.\The wind is cold.\But it feels great!\We're finally through the tough part.\It's beautiful. response:	Amazing.
context: Assassinate.\Death\Wow.\The wind is cold.\But it feels great!\We're finally through the tough part.\It's beautiful.\Amazing. response:	The best part of adventuring is experiencing new things!
context: Death\Wow.\The wind is cold.\But it feels great!\We're finally through the tough part.\It's beautiful.\Amazing.\The best part of adventuring is experiencing new things! response:	New things, huh?
context: Wow.\The wind is cold.\But it feels great!\We're finally through the tough part.\It's beautiful.\Amazing.\The best part of adventuring is experiencing new things!\New things, huh? response:	When Elder Tale was a game,
context: The wind is cold.\But it feels great!\We're finally through the tough part.\It's beautiful.\Amazing.\The best part of adventuring is experiencing new things!\New things, huh?\When Elder Tale was a game, response:	lots of players passed by here at dawn.
context: But it feels great!\We're finally through the tough part.\It's beautiful.\Amazing.\The best part of adventuring is experiencing new things!\New things, huh?\When Elder Tale was a game,\lots of players passed by here at dawn. response:	But...
context: We're finally through the tough part.\It's beautiful.\Amazing.\The best part of adventuring is experiencing new things!\New things, huh?\When Elder Tale was a game,\lots of players passed by here at dawn.\But... response:	We're the first ones here.
context: It's beautiful.\Amazing.\The best part of adventuring is experiencing new things!\New things, huh?\When Elder Tale was a game,\lots of players passed by here at dawn.\But...\We're the first ones here. response:	We're the first adventurers in the world
context: Amazing.\The best part of adventuring is experiencing new things!\New things, huh?\When Elder Tale was a game,\lots of players passed by here at dawn.\But...\We're the first ones here.\We're the first adventurers in the world response:	to see this.
context: The best part of adventuring is experiencing new things!\New things, huh?\When Elder Tale was a game,\lots of players passed by here at dawn.\But...\We're the first ones here.\We're the first adventurers in the world\to see this. response:	That's right.
context: New things, huh?\When Elder Tale was a game,\lots of players passed by here at dawn.\But...\We're the first ones here.\We're the first adventurers in the world\to see this.\That's right. response:	I've never seen anything so amazing, even in Elder Tale.
context: When Elder Tale was a game,\lots of players passed by here at dawn.\But...\We're the first ones here.\We're the first adventurers in the world\to see this.\That's right.\I've never seen anything so amazing, even in Elder Tale. response:	It's our first prize for victory.
context: lots of players passed by here at dawn.\But...\We're the first ones here.\We're the first adventurers in the world\to see this.\That's right.\I've never seen anything so amazing, even in Elder Tale.\It's our first prize for victory. response:	Sorry... There's no escaping Susukino!
context: But...\We're the first ones here.\We're the first adventurers in the world\to see this.\That's right.\I've never seen anything so amazing, even in Elder Tale.\It's our first prize for victory.\Sorry... There's no escaping Susukino! response:	How many times have you tried? Get a clue already!
context: We're the first ones here.\We're the first adventurers in the world\to see this.\That's right.\I've never seen anything so amazing, even in Elder Tale.\It's our first prize for victory.\Sorry... There's no escaping Susukino!\How many times have you tried? Get a clue already! response:	N-No
context: We're the first adventurers in the world\to see this.\That's right.\I've never seen anything so amazing, even in Elder Tale.\It's our first prize for victory.\Sorry... There's no escaping Susukino!\How many times have you tried? Get a clue already!\N-No response:	That was a big wagon, but there isn't much inside.
context: to see this.\That's right.\I've never seen anything so amazing, even in Elder Tale.\It's our first prize for victory.\Sorry... There's no escaping Susukino!\How many times have you tried? Get a clue already!\N-No\That was a big wagon, but there isn't much inside. response:	Hey, why are you just standing there?
context: That's right.\I've never seen anything so amazing, even in Elder Tale.\It's our first prize for victory.\Sorry... There's no escaping Susukino!\How many times have you tried? Get a clue already!\N-No\That was a big wagon, but there isn't much inside.\Hey, why are you just standing there? response:	Pick stuff up.
context: I've never seen anything so amazing, even in Elder Tale.\It's our first prize for victory.\Sorry... There's no escaping Susukino!\How many times have you tried? Get a clue already!\N-No\That was a big wagon, but there isn't much inside.\Hey, why are you just standing there?\Pick stuff up. response:	I don't think I can do this...
context: It's our first prize for victory.\Sorry... There's no escaping Susukino!\How many times have you tried? Get a clue already!\N-No\That was a big wagon, but there isn't much inside.\Hey, why are you just standing there?\Pick stuff up.\I don't think I can do this... response:	Then you're headed for the Cathedral.
context: Sorry... There's no escaping Susukino!\How many times have you tried? Get a clue already!\N-No\That was a big wagon, but there isn't much inside.\Hey, why are you just standing there?\Pick stuff up.\I don't think I can do this...\Then you're headed for the Cathedral. response:	Demikas?
context: How many times have you tried? Get a clue already!\N-No\That was a big wagon, but there isn't much inside.\Hey, why are you just standing there?\Pick stuff up.\I don't think I can do this...\Then you're headed for the Cathedral.\Demikas? response:	It's just a game... It's all virtual.
context: N-No\That was a big wagon, but there isn't much inside.\Hey, why are you just standing there?\Pick stuff up.\I don't think I can do this...\Then you're headed for the Cathedral.\Demikas?\It's just a game... It's all virtual. response:	They'll just come back to life.
context: That was a big wagon, but there isn't much inside.\Hey, why are you just standing there?\Pick stuff up.\I don't think I can do this...\Then you're headed for the Cathedral.\Demikas?\It's just a game... It's all virtual.\They'll just come back to life. response:	If you're still freaking out over PKing, something's wrong with you.
context: Hey, why are you just standing there?\Pick stuff up.\I don't think I can do this...\Then you're headed for the Cathedral.\Demikas?\It's just a game... It's all virtual.\They'll just come back to life.\If you're still freaking out over PKing, something's wrong with you. response:	Hey, don't forget to strip his equipment before he disappears.
context: Pick stuff up.\I don't think I can do this...\Then you're headed for the Cathedral.\Demikas?\It's just a game... It's all virtual.\They'll just come back to life.\If you're still freaking out over PKing, something's wrong with you.\Hey, don't forget to strip his equipment before he disappears. response:	Right!
