context: One way or the other. response:	Okay!
context: Do you think Madoka is mad at us?\This was the only way to protect her.\I guess we can't have Aura act up like the last time.\We made our choice.\To protect Madoka along with this town.\Do you mean, protect Kamogawa together with Madoka?\Or protect both Madoka and this town?\Both. response:	That's for sure.
context: This was the only way to protect her.\I guess we can't have Aura act up like the last time.\We made our choice.\To protect Madoka along with this town.\Do you mean, protect Kamogawa together with Madoka?\Or protect both Madoka and this town?\Both.\That's for sure. response:	Madoka!
context: I guess we can't have Aura act up like the last time.\We made our choice.\To protect Madoka along with this town.\Do you mean, protect Kamogawa together with Madoka?\Or protect both Madoka and this town?\Both.\That's for sure.\Madoka! response:	Miss Yoko filled me in on the situation!
context: We made our choice.\To protect Madoka along with this town.\Do you mean, protect Kamogawa together with Madoka?\Or protect both Madoka and this town?\Both.\That's for sure.\Madoka!\Miss Yoko filled me in on the situation! response:	From Big Sis?
context: To protect Madoka along with this town.\Do you mean, protect Kamogawa together with Madoka?\Or protect both Madoka and this town?\Both.\That's for sure.\Madoka!\Miss Yoko filled me in on the situation!\From Big Sis? response:	You're going to sea, right?
context: Do you mean, protect Kamogawa together with Madoka?\Or protect both Madoka and this town?\Both.\That's for sure.\Madoka!\Miss Yoko filled me in on the situation!\From Big Sis?\You're going to sea, right? response:	My dad's boat is in the harbor. Use it!
context: Or protect both Madoka and this town?\Both.\That's for sure.\Madoka!\Miss Yoko filled me in on the situation!\From Big Sis?\You're going to sea, right?\My dad's boat is in the harbor. Use it! response:	Sachi...
context: Both.\That's for sure.\Madoka!\Miss Yoko filled me in on the situation!\From Big Sis?\You're going to sea, right?\My dad's boat is in the harbor. Use it!\Sachi... response:	Thank you!
context: That's for sure.\Madoka!\Miss Yoko filled me in on the situation!\From Big Sis?\You're going to sea, right?\My dad's boat is in the harbor. Use it!\Sachi...\Thank you! response:	To fight means coming face-to-face
context: Madoka!\Miss Yoko filled me in on the situation!\From Big Sis?\You're going to sea, right?\My dad's boat is in the harbor. Use it!\Sachi...\Thank you!\To fight means coming face-to-face response:	with the fear of losing something precious.
context: Miss Yoko filled me in on the situation!\From Big Sis?\You're going to sea, right?\My dad's boat is in the harbor. Use it!\Sachi...\Thank you!\To fight means coming face-to-face\with the fear of losing something precious. response:	Are you prepared to confront that fear?
context: From Big Sis?\You're going to sea, right?\My dad's boat is in the harbor. Use it!\Sachi...\Thank you!\To fight means coming face-to-face\with the fear of losing something precious.\Are you prepared to confront that fear? response:	Lan! Muginami!
context: You're going to sea, right?\My dad's boat is in the harbor. Use it!\Sachi...\Thank you!\To fight means coming face-to-face\with the fear of losing something precious.\Are you prepared to confront that fear?\Lan! Muginami! response:	I'm...
context: My dad's boat is in the harbor. Use it!\Sachi...\Thank you!\To fight means coming face-to-face\with the fear of losing something precious.\Are you prepared to confront that fear?\Lan! Muginami!\I'm... response:	I'm coming too!
context: Sachi...\Thank you!\To fight means coming face-to-face\with the fear of losing something precious.\Are you prepared to confront that fear?\Lan! Muginami!\I'm...\I'm coming too! response:	You should have told me you were here.
context: Thank you!\To fight means coming face-to-face\with the fear of losing something precious.\Are you prepared to confront that fear?\Lan! Muginami!\I'm...\I'm coming too!\You should have told me you were here. response:	They actually got a clubroom?
context: To fight means coming face-to-face\with the fear of losing something precious.\Are you prepared to confront that fear?\Lan! Muginami!\I'm...\I'm coming too!\You should have told me you were here.\They actually got a clubroom? response:	Those damn kids.
context: with the fear of losing something precious.\Are you prepared to confront that fear?\Lan! Muginami!\I'm...\I'm coming too!\You should have told me you were here.\They actually got a clubroom?\Those damn kids. response:	In our time, we had to do our activities without a room.
context: Are you prepared to confront that fear?\Lan! Muginami!\I'm...\I'm coming too!\You should have told me you were here.\They actually got a clubroom?\Those damn kids.\In our time, we had to do our activities without a room. response:	Are you sure about letting Madoka go?
context: Lan! Muginami!\I'm...\I'm coming too!\You should have told me you were here.\They actually got a clubroom?\Those damn kids.\In our time, we had to do our activities without a room.\Are you sure about letting Madoka go? response:	I couldn't have stopped her even if I wanted to.
context: I'm...\I'm coming too!\You should have told me you were here.\They actually got a clubroom?\Those damn kids.\In our time, we had to do our activities without a room.\Are you sure about letting Madoka go?\I couldn't have stopped her even if I wanted to. response:	She's just like her mother.
context: I'm coming too!\You should have told me you were here.\They actually got a clubroom?\Those damn kids.\In our time, we had to do our activities without a room.\Are you sure about letting Madoka go?\I couldn't have stopped her even if I wanted to.\She's just like her mother. response:	I think you're more fixated on that than Madoka.
context: You should have told me you were here.\They actually got a clubroom?\Those damn kids.\In our time, we had to do our activities without a room.\Are you sure about letting Madoka go?\I couldn't have stopped her even if I wanted to.\She's just like her mother.\I think you're more fixated on that than Madoka. response:	I just couldn't throw it away.
context: They actually got a clubroom?\Those damn kids.\In our time, we had to do our activities without a room.\Are you sure about letting Madoka go?\I couldn't have stopped her even if I wanted to.\She's just like her mother.\I think you're more fixated on that than Madoka.\I just couldn't throw it away. response:	Machiko!
context: Those damn kids.\In our time, we had to do our activities without a room.\Are you sure about letting Madoka go?\I couldn't have stopped her even if I wanted to.\She's just like her mother.\I think you're more fixated on that than Madoka.\I just couldn't throw it away.\Machiko! response:	Commencing transport to the catapult deck.
context: In our time, we had to do our activities without a room.\Are you sure about letting Madoka go?\I couldn't have stopped her even if I wanted to.\She's just like her mother.\I think you're more fixated on that than Madoka.\I just couldn't throw it away.\Machiko!\Commencing transport to the catapult deck. response:	Lympha now entering T.O. sequence.
context: Are you sure about letting Madoka go?\I couldn't have stopped her even if I wanted to.\She's just like her mother.\I think you're more fixated on that than Madoka.\I just couldn't throw it away.\Machiko!\Commencing transport to the catapult deck.\Lympha now entering T.O. sequence. response:	Ignis now entering T.O. sequence.
context: I couldn't have stopped her even if I wanted to.\She's just like her mother.\I think you're more fixated on that than Madoka.\I just couldn't throw it away.\Machiko!\Commencing transport to the catapult deck.\Lympha now entering T.O. sequence.\Ignis now entering T.O. sequence. response:	Commencing Vox Ignis.
context: She's just like her mother.\I think you're more fixated on that than Madoka.\I just couldn't throw it away.\Machiko!\Commencing transport to the catapult deck.\Lympha now entering T.O. sequence.\Ignis now entering T.O. sequence.\Commencing Vox Ignis. response:	We're really going to
context: I think you're more fixated on that than Madoka.\I just couldn't throw it away.\Machiko!\Commencing transport to the catapult deck.\Lympha now entering T.O. sequence.\Ignis now entering T.O. sequence.\Commencing Vox Ignis.\We're really going to response:	A.I Remote System check.
context: I just couldn't throw it away.\Machiko!\Commencing transport to the catapult deck.\Lympha now entering T.O. sequence.\Ignis now entering T.O. sequence.\Commencing Vox Ignis.\We're really going to\A.I Remote System check. response:	have to fight Brother this time, aren't we?
context: Machiko!\Commencing transport to the catapult deck.\Lympha now entering T.O. sequence.\Ignis now entering T.O. sequence.\Commencing Vox Ignis.\We're really going to\A.I Remote System check.\have to fight Brother this time, aren't we? response:	Probably.
context: Commencing transport to the catapult deck.\Lympha now entering T.O. sequence.\Ignis now entering T.O. sequence.\Commencing Vox Ignis.\We're really going to\A.I Remote System check.\have to fight Brother this time, aren't we?\Probably. response:	If I hesitate again, Lan...
context: Lympha now entering T.O. sequence.\Ignis now entering T.O. sequence.\Commencing Vox Ignis.\We're really going to\A.I Remote System check.\have to fight Brother this time, aren't we?\Probably.\If I hesitate again, Lan... response:	If you do, I'll smack you.
context: Ignis now entering T.O. sequence.\Commencing Vox Ignis.\We're really going to\A.I Remote System check.\have to fight Brother this time, aren't we?\Probably.\If I hesitate again, Lan...\If you do, I'll smack you. response:	How scary!
context: Commencing Vox Ignis.\We're really going to\A.I Remote System check.\have to fight Brother this time, aren't we?\Probably.\If I hesitate again, Lan...\If you do, I'll smack you.\How scary! response:	Lan, you sound like Madoka.
context: We're really going to\A.I Remote System check.\have to fight Brother this time, aren't we?\Probably.\If I hesitate again, Lan...\If you do, I'll smack you.\How scary!\Lan, you sound like Madoka. response:	That's right.
context: A.I Remote System check.\have to fight Brother this time, aren't we?\Probably.\If I hesitate again, Lan...\If you do, I'll smack you.\How scary!\Lan, you sound like Madoka.\That's right. response:	After all, we're...
context: have to fight Brother this time, aren't we?\Probably.\If I hesitate again, Lan...\If you do, I'll smack you.\How scary!\Lan, you sound like Madoka.\That's right.\After all, we're... response:	Opening the top hatch.
context: Probably.\If I hesitate again, Lan...\If you do, I'll smack you.\How scary!\Lan, you sound like Madoka.\That's right.\After all, we're...\Opening the top hatch. response:	Yes, we are.
context: If I hesitate again, Lan...\If you do, I'll smack you.\How scary!\Lan, you sound like Madoka.\That's right.\After all, we're...\Opening the top hatch.\Yes, we are. response:	Vox Lympha is on deck.
context: If you do, I'll smack you.\How scary!\Lan, you sound like Madoka.\That's right.\After all, we're...\Opening the top hatch.\Yes, we are.\Vox Lympha is on deck. response:	Vox Ignis is on deck.
context: How scary!\Lan, you sound like Madoka.\That's right.\After all, we're...\Opening the top hatch.\Yes, we are.\Vox Lympha is on deck.\Vox Ignis is on deck. response:	Vox Lympha, Vox Ignis, cleared for take-off.
context: Lan, you sound like Madoka.\That's right.\After all, we're...\Opening the top hatch.\Yes, we are.\Vox Lympha is on deck.\Vox Ignis is on deck.\Vox Lympha, Vox Ignis, cleared for take-off. response:	Let's go, Orca!
context: That's right.\After all, we're...\Opening the top hatch.\Yes, we are.\Vox Lympha is on deck.\Vox Ignis is on deck.\Vox Lympha, Vox Ignis, cleared for take-off.\Let's go, Orca! response:	Okay! We're off!
context: After all, we're...\Opening the top hatch.\Yes, we are.\Vox Lympha is on deck.\Vox Ignis is on deck.\Vox Lympha, Vox Ignis, cleared for take-off.\Let's go, Orca!\Okay! We're off! response:	Let's give it our all, Hupo!
context: Opening the top hatch.\Yes, we are.\Vox Lympha is on deck.\Vox Ignis is on deck.\Vox Lympha, Vox Ignis, cleared for take-off.\Let's go, Orca!\Okay! We're off!\Let's give it our all, Hupo! response:	What's the status of the Le Garite armada?
context: Yes, we are.\Vox Lympha is on deck.\Vox Ignis is on deck.\Vox Lympha, Vox Ignis, cleared for take-off.\Let's go, Orca!\Okay! We're off!\Let's give it our all, Hupo!\What's the status of the Le Garite armada? response:	We lured them into the Starburst Region in the Thaddeus Nebula.
context: Vox Lympha is on deck.\Vox Ignis is on deck.\Vox Lympha, Vox Ignis, cleared for take-off.\Let's go, Orca!\Okay! We're off!\Let's give it our all, Hupo!\What's the status of the Le Garite armada?\We lured them into the Starburst Region in the Thaddeus Nebula. response:	It will be difficult for them to escape from there.
context: Vox Ignis is on deck.\Vox Lympha, Vox Ignis, cleared for take-off.\Let's go, Orca!\Okay! We're off!\Let's give it our all, Hupo!\What's the status of the Le Garite armada?\We lured them into the Starburst Region in the Thaddeus Nebula.\It will be difficult for them to escape from there. response:	Good work.
context: Vox Lympha, Vox Ignis, cleared for take-off.\Let's go, Orca!\Okay! We're off!\Let's give it our all, Hupo!\What's the status of the Le Garite armada?\We lured them into the Starburst Region in the Thaddeus Nebula.\It will be difficult for them to escape from there.\Good work. response:	What are our losses?
context: Let's go, Orca!\Okay! We're off!\Let's give it our all, Hupo!\What's the status of the Le Garite armada?\We lured them into the Starburst Region in the Thaddeus Nebula.\It will be difficult for them to escape from there.\Good work.\What are our losses? response:	The High Speed Cruiser Forzellhind was destroyed.
context: Okay! We're off!\Let's give it our all, Hupo!\What's the status of the Le Garite armada?\We lured them into the Starburst Region in the Thaddeus Nebula.\It will be difficult for them to escape from there.\Good work.\What are our losses?\The High Speed Cruiser Forzellhind was destroyed. response:	The Artillery Ship, Dahhau II, sustained serious damage.
context: Let's give it our all, Hupo!\What's the status of the Le Garite armada?\We lured them into the Starburst Region in the Thaddeus Nebula.\It will be difficult for them to escape from there.\Good work.\What are our losses?\The High Speed Cruiser Forzellhind was destroyed.\The Artillery Ship, Dahhau II, sustained serious damage. response:	And we lost ten Ovids.
context: What's the status of the Le Garite armada?\We lured them into the Starburst Region in the Thaddeus Nebula.\It will be difficult for them to escape from there.\Good work.\What are our losses?\The High Speed Cruiser Forzellhind was destroyed.\The Artillery Ship, Dahhau II, sustained serious damage.\And we lost ten Ovids. response:	That's less than our initial estimates.
context: We lured them into the Starburst Region in the Thaddeus Nebula.\It will be difficult for them to escape from there.\Good work.\What are our losses?\The High Speed Cruiser Forzellhind was destroyed.\The Artillery Ship, Dahhau II, sustained serious damage.\And we lost ten Ovids.\That's less than our initial estimates. response:	But higher than my hypothesis.
context: It will be difficult for them to escape from there.\Good work.\What are our losses?\The High Speed Cruiser Forzellhind was destroyed.\The Artillery Ship, Dahhau II, sustained serious damage.\And we lost ten Ovids.\That's less than our initial estimates.\But higher than my hypothesis. response:	I miscalculated.
context: Good work.\What are our losses?\The High Speed Cruiser Forzellhind was destroyed.\The Artillery Ship, Dahhau II, sustained serious damage.\And we lost ten Ovids.\That's less than our initial estimates.\But higher than my hypothesis.\I miscalculated. response:	You're too rigid with your estimates, Grania.
context: What are our losses?\The High Speed Cruiser Forzellhind was destroyed.\The Artillery Ship, Dahhau II, sustained serious damage.\And we lost ten Ovids.\That's less than our initial estimates.\But higher than my hypothesis.\I miscalculated.\You're too rigid with your estimates, Grania. response:	We are not the military.
context: The High Speed Cruiser Forzellhind was destroyed.\The Artillery Ship, Dahhau II, sustained serious damage.\And we lost ten Ovids.\That's less than our initial estimates.\But higher than my hypothesis.\I miscalculated.\You're too rigid with your estimates, Grania.\We are not the military. response:	Stay on course to enter orbit.
context: The Artillery Ship, Dahhau II, sustained serious damage.\And we lost ten Ovids.\That's less than our initial estimates.\But higher than my hypothesis.\I miscalculated.\You're too rigid with your estimates, Grania.\We are not the military.\Stay on course to enter orbit. response:	Operations will begin shortly.
context: And we lost ten Ovids.\That's less than our initial estimates.\But higher than my hypothesis.\I miscalculated.\You're too rigid with your estimates, Grania.\We are not the military.\Stay on course to enter orbit.\Operations will begin shortly. response:	Are you sure about this?
context: That's less than our initial estimates.\But higher than my hypothesis.\I miscalculated.\You're too rigid with your estimates, Grania.\We are not the military.\Stay on course to enter orbit.\Operations will begin shortly.\Are you sure about this? response:	I'm sorry for what I'm about to make you go through...
context: But higher than my hypothesis.\I miscalculated.\You're too rigid with your estimates, Grania.\We are not the military.\Stay on course to enter orbit.\Operations will begin shortly.\Are you sure about this?\I'm sorry for what I'm about to make you go through... response:	It's all right.
context: I miscalculated.\You're too rigid with your estimates, Grania.\We are not the military.\Stay on course to enter orbit.\Operations will begin shortly.\Are you sure about this?\I'm sorry for what I'm about to make you go through...\It's all right. response:	Have you decided what to do?
context: You're too rigid with your estimates, Grania.\We are not the military.\Stay on course to enter orbit.\Operations will begin shortly.\Are you sure about this?\I'm sorry for what I'm about to make you go through...\It's all right.\Have you decided what to do? response:	We're coming.
context: We are not the military.\Stay on course to enter orbit.\Operations will begin shortly.\Are you sure about this?\I'm sorry for what I'm about to make you go through...\It's all right.\Have you decided what to do?\We're coming. response:	However...
context: Stay on course to enter orbit.\Operations will begin shortly.\Are you sure about this?\I'm sorry for what I'm about to make you go through...\It's all right.\Have you decided what to do?\We're coming.\However... response:	We're not following you.
context: Operations will begin shortly.\Are you sure about this?\I'm sorry for what I'm about to make you go through...\It's all right.\Have you decided what to do?\We're coming.\However...\We're not following you. response:	We're following Yurikano.
context: Are you sure about this?\I'm sorry for what I'm about to make you go through...\It's all right.\Have you decided what to do?\We're coming.\However...\We're not following you.\We're following Yurikano. response:	Huh?
context: I'm sorry for what I'm about to make you go through...\It's all right.\Have you decided what to do?\We're coming.\However...\We're not following you.\We're following Yurikano.\Huh? response:	Do as you please.
context: It's all right.\Have you decided what to do?\We're coming.\However...\We're not following you.\We're following Yurikano.\Huh?\Do as you please. response:	I'm amazed that you kept it.
context: Have you decided what to do?\We're coming.\However...\We're not following you.\We're following Yurikano.\Huh?\Do as you please.\I'm amazed that you kept it. response:	Shall we do it, for old times' sake?
context: We're coming.\However...\We're not following you.\We're following Yurikano.\Huh?\Do as you please.\I'm amazed that you kept it.\Shall we do it, for old times' sake? response:	Today?
context: However...\We're not following you.\We're following Yurikano.\Huh?\Do as you please.\I'm amazed that you kept it.\Shall we do it, for old times' sake?\Today? response:	Sure. It's the festival!
context: We're not following you.\We're following Yurikano.\Huh?\Do as you please.\I'm amazed that you kept it.\Shall we do it, for old times' sake?\Today?\Sure. It's the festival! response:	But getting it ready now?
context: We're following Yurikano.\Huh?\Do as you please.\I'm amazed that you kept it.\Shall we do it, for old times' sake?\Today?\Sure. It's the festival!\But getting it ready now? response:	A schoolteacher has quite a bit of influence, you know.
context: Huh?\Do as you please.\I'm amazed that you kept it.\Shall we do it, for old times' sake?\Today?\Sure. It's the festival!\But getting it ready now?\A schoolteacher has quite a bit of influence, you know. response:	What do you want to do, Madoka?
context: Do as you please.\I'm amazed that you kept it.\Shall we do it, for old times' sake?\Today?\Sure. It's the festival!\But getting it ready now?\A schoolteacher has quite a bit of influence, you know.\What do you want to do, Madoka? response:	Should I turn back to shore?
context: I'm amazed that you kept it.\Shall we do it, for old times' sake?\Today?\Sure. It's the festival!\But getting it ready now?\A schoolteacher has quite a bit of influence, you know.\What do you want to do, Madoka?\Should I turn back to shore? response:	Please don't go back.
context: Shall we do it, for old times' sake?\Today?\Sure. It's the festival!\But getting it ready now?\A schoolteacher has quite a bit of influence, you know.\What do you want to do, Madoka?\Should I turn back to shore?\Please don't go back. response:	What?
context: Today?\Sure. It's the festival!\But getting it ready now?\A schoolteacher has quite a bit of influence, you know.\What do you want to do, Madoka?\Should I turn back to shore?\Please don't go back.\What? response:	I've...
context: Sure. It's the festival!\But getting it ready now?\A schoolteacher has quite a bit of influence, you know.\What do you want to do, Madoka?\Should I turn back to shore?\Please don't go back.\What?\I've... response:	decided to go!
context: But getting it ready now?\A schoolteacher has quite a bit of influence, you know.\What do you want to do, Madoka?\Should I turn back to shore?\Please don't go back.\What?\I've...\decided to go! response:	I've decided.
context: A schoolteacher has quite a bit of influence, you know.\What do you want to do, Madoka?\Should I turn back to shore?\Please don't go back.\What?\I've...\decided to go!\I've decided. response:	We should take a picture, just like the Sweats Club.
context: What do you want to do, Madoka?\Should I turn back to shore?\Please don't go back.\What?\I've...\decided to go!\I've decided.\We should take a picture, just like the Sweats Club. response:	Sounds good. I'm in!
context: Should I turn back to shore?\Please don't go back.\What?\I've...\decided to go!\I've decided.\We should take a picture, just like the Sweats Club.\Sounds good. I'm in! response:	No way. Why do we have to do something like that?
context: Please don't go back.\What?\I've...\decided to go!\I've decided.\We should take a picture, just like the Sweats Club.\Sounds good. I'm in!\No way. Why do we have to do something like that? response:	It's creepy.
context: What?\I've...\decided to go!\I've decided.\We should take a picture, just like the Sweats Club.\Sounds good. I'm in!\No way. Why do we have to do something like that?\It's creepy. response:	It's because this might be our last chance!
context: I've...\decided to go!\I've decided.\We should take a picture, just like the Sweats Club.\Sounds good. I'm in!\No way. Why do we have to do something like that?\It's creepy.\It's because this might be our last chance! response:	A memento of the good old times, when the three of us were together.
context: decided to go!\I've decided.\We should take a picture, just like the Sweats Club.\Sounds good. I'm in!\No way. Why do we have to do something like that?\It's creepy.\It's because this might be our last chance!\A memento of the good old times, when the three of us were together. response:	That's not even funny!
context: I've decided.\We should take a picture, just like the Sweats Club.\Sounds good. I'm in!\No way. Why do we have to do something like that?\It's creepy.\It's because this might be our last chance!\A memento of the good old times, when the three of us were together.\That's not even funny! response:	Kamogawa's Last Line of Defense
context: We should take a picture, just like the Sweats Club.\Sounds good. I'm in!\No way. Why do we have to do something like that?\It's creepy.\It's because this might be our last chance!\A memento of the good old times, when the three of us were together.\That's not even funny!\Kamogawa's Last Line of Defense response:	Kamogawa's Last Line of Defense
