context: Deal with it. response:	Find him, and bring him here.
context: Can't be too careful with this one.\You're a determined geezer, huh?\What are you looking at, kid?\Nothing. Just sizing you up to see, if you're going to rob him,\whether you've got the skills and resolve to do so.\Never you mind, kid. You head on home now, and suck on your mama's tit.\From where this kid sees it,\what you guys are doing is nothing but kid's play, too. response:	Why, you dirty little brat.
context: You're a determined geezer, huh?\What are you looking at, kid?\Nothing. Just sizing you up to see, if you're going to rob him,\whether you've got the skills and resolve to do so.\Never you mind, kid. You head on home now, and suck on your mama's tit.\From where this kid sees it,\what you guys are doing is nothing but kid's play, too.\Why, you dirty little brat. response:	Sounds like you want to get yourself hurt pretty bad.
context: What are you looking at, kid?\Nothing. Just sizing you up to see, if you're going to rob him,\whether you've got the skills and resolve to do so.\Never you mind, kid. You head on home now, and suck on your mama's tit.\From where this kid sees it,\what you guys are doing is nothing but kid's play, too.\Why, you dirty little brat.\Sounds like you want to get yourself hurt pretty bad. response:	I'm not a dirty little brat, my name is Firo.
context: Nothing. Just sizing you up to see, if you're going to rob him,\whether you've got the skills and resolve to do so.\Never you mind, kid. You head on home now, and suck on your mama's tit.\From where this kid sees it,\what you guys are doing is nothing but kid's play, too.\Why, you dirty little brat.\Sounds like you want to get yourself hurt pretty bad.\I'm not a dirty little brat, my name is Firo. response:	I also happen to be one of the Martillo Family's young lads.
context: whether you've got the skills and resolve to do so.\Never you mind, kid. You head on home now, and suck on your mama's tit.\From where this kid sees it,\what you guys are doing is nothing but kid's play, too.\Why, you dirty little brat.\Sounds like you want to get yourself hurt pretty bad.\I'm not a dirty little brat, my name is Firo.\I also happen to be one of the Martillo Family's young lads. response:	So what if you are?!
context: Never you mind, kid. You head on home now, and suck on your mama's tit.\From where this kid sees it,\what you guys are doing is nothing but kid's play, too.\Why, you dirty little brat.\Sounds like you want to get yourself hurt pretty bad.\I'm not a dirty little brat, my name is Firo.\I also happen to be one of the Martillo Family's young lads.\So what if you are?! response:	You little punk!
context: From where this kid sees it,\what you guys are doing is nothing but kid's play, too.\Why, you dirty little brat.\Sounds like you want to get yourself hurt pretty bad.\I'm not a dirty little brat, my name is Firo.\I also happen to be one of the Martillo Family's young lads.\So what if you are?!\You little punk! response:	Hey, now, you're pulling a weapon, in a fight like this?
context: what you guys are doing is nothing but kid's play, too.\Why, you dirty little brat.\Sounds like you want to get yourself hurt pretty bad.\I'm not a dirty little brat, my name is Firo.\I also happen to be one of the Martillo Family's young lads.\So what if you are?!\You little punk!\Hey, now, you're pulling a weapon, in a fight like this? response:	Shut up!
context: Why, you dirty little brat.\Sounds like you want to get yourself hurt pretty bad.\I'm not a dirty little brat, my name is Firo.\I also happen to be one of the Martillo Family's young lads.\So what if you are?!\You little punk!\Hey, now, you're pulling a weapon, in a fight like this?\Shut up! response:	Are you okay, old man?
context: Sounds like you want to get yourself hurt pretty bad.\I'm not a dirty little brat, my name is Firo.\I also happen to be one of the Martillo Family's young lads.\So what if you are?!\You little punk!\Hey, now, you're pulling a weapon, in a fight like this?\Shut up!\Are you okay, old man? response:	Is whatever that is really that important?
context: I'm not a dirty little brat, my name is Firo.\I also happen to be one of the Martillo Family's young lads.\So what if you are?!\You little punk!\Hey, now, you're pulling a weapon, in a fight like this?\Shut up!\Are you okay, old man?\Is whatever that is really that important? response:	B-Back off!
context: I also happen to be one of the Martillo Family's young lads.\So what if you are?!\You little punk!\Hey, now, you're pulling a weapon, in a fight like this?\Shut up!\Are you okay, old man?\Is whatever that is really that important?\B-Back off! response:	This has nothing to do with your kind!
context: So what if you are?!\You little punk!\Hey, now, you're pulling a weapon, in a fight like this?\Shut up!\Are you okay, old man?\Is whatever that is really that important?\B-Back off!\This has nothing to do with your kind! response:	If money is what you're after, I'll give it to you, so just get lost, now!
context: You little punk!\Hey, now, you're pulling a weapon, in a fight like this?\Shut up!\Are you okay, old man?\Is whatever that is really that important?\B-Back off!\This has nothing to do with your kind!\If money is what you're after, I'll give it to you, so just get lost, now! response:	You owe your life to me.
context: Hey, now, you're pulling a weapon, in a fight like this?\Shut up!\Are you okay, old man?\Is whatever that is really that important?\B-Back off!\This has nothing to do with your kind!\If money is what you're after, I'll give it to you, so just get lost, now!\You owe your life to me. response:	Well, it's okay.
context: Shut up!\Are you okay, old man?\Is whatever that is really that important?\B-Back off!\This has nothing to do with your kind!\If money is what you're after, I'll give it to you, so just get lost, now!\You owe your life to me.\Well, it's okay. response:	Listen, old man, there is one thing I'd like to ask you.
context: Are you okay, old man?\Is whatever that is really that important?\B-Back off!\This has nothing to do with your kind!\If money is what you're after, I'll give it to you, so just get lost, now!\You owe your life to me.\Well, it's okay.\Listen, old man, there is one thing I'd like to ask you. response:	Did you see a girl wearing a thin, black suit around here?
context: Is whatever that is really that important?\B-Back off!\This has nothing to do with your kind!\If money is what you're after, I'll give it to you, so just get lost, now!\You owe your life to me.\Well, it's okay.\Listen, old man, there is one thing I'd like to ask you.\Did you see a girl wearing a thin, black suit around here? response:	N-No, I haven't.
context: B-Back off!\This has nothing to do with your kind!\If money is what you're after, I'll give it to you, so just get lost, now!\You owe your life to me.\Well, it's okay.\Listen, old man, there is one thing I'd like to ask you.\Did you see a girl wearing a thin, black suit around here?\N-No, I haven't. response:	I see.
context: This has nothing to do with your kind!\If money is what you're after, I'll give it to you, so just get lost, now!\You owe your life to me.\Well, it's okay.\Listen, old man, there is one thing I'd like to ask you.\Did you see a girl wearing a thin, black suit around here?\N-No, I haven't.\I see. response:	You'd better hurry on out of here, while they're still out of it.
context: If money is what you're after, I'll give it to you, so just get lost, now!\You owe your life to me.\Well, it's okay.\Listen, old man, there is one thing I'd like to ask you.\Did you see a girl wearing a thin, black suit around here?\N-No, I haven't.\I see.\You'd better hurry on out of here, while they're still out of it. response:	Bye, now.
context: You owe your life to me.\Well, it's okay.\Listen, old man, there is one thing I'd like to ask you.\Did you see a girl wearing a thin, black suit around here?\N-No, I haven't.\I see.\You'd better hurry on out of here, while they're still out of it.\Bye, now. response:	Firo...
context: Well, it's okay.\Listen, old man, there is one thing I'd like to ask you.\Did you see a girl wearing a thin, black suit around here?\N-No, I haven't.\I see.\You'd better hurry on out of here, while they're still out of it.\Bye, now.\Firo... response:	I'm not even hungry anymore, Miria.
context: Listen, old man, there is one thing I'd like to ask you.\Did you see a girl wearing a thin, black suit around here?\N-No, I haven't.\I see.\You'd better hurry on out of here, while they're still out of it.\Bye, now.\Firo...\I'm not even hungry anymore, Miria. response:	There's always room for dessert, right?
context: Did you see a girl wearing a thin, black suit around here?\N-No, I haven't.\I see.\You'd better hurry on out of here, while they're still out of it.\Bye, now.\Firo...\I'm not even hungry anymore, Miria.\There's always room for dessert, right? response:	Bang!
context: N-No, I haven't.\I see.\You'd better hurry on out of here, while they're still out of it.\Bye, now.\Firo...\I'm not even hungry anymore, Miria.\There's always room for dessert, right?\Bang! response:	Okay, shall we get started?
context: I see.\You'd better hurry on out of here, while they're still out of it.\Bye, now.\Firo...\I'm not even hungry anymore, Miria.\There's always room for dessert, right?\Bang!\Okay, shall we get started? response:	Right, let's do it!
context: You'd better hurry on out of here, while they're still out of it.\Bye, now.\Firo...\I'm not even hungry anymore, Miria.\There's always room for dessert, right?\Bang!\Okay, shall we get started?\Right, let's do it! response:	All of you, get down on the floor!
context: Bye, now.\Firo...\I'm not even hungry anymore, Miria.\There's always room for dessert, right?\Bang!\Okay, shall we get started?\Right, let's do it!\All of you, get down on the floor! response:	Get your hands up, everyone!
context: Firo...\I'm not even hungry anymore, Miria.\There's always room for dessert, right?\Bang!\Okay, shall we get started?\Right, let's do it!\All of you, get down on the floor!\Get your hands up, everyone! response:	Hey, hey, hey, nobody move!
context: I'm not even hungry anymore, Miria.\There's always room for dessert, right?\Bang!\Okay, shall we get started?\Right, let's do it!\All of you, get down on the floor!\Get your hands up, everyone!\Hey, hey, hey, nobody move! response:	W-What do we do?
context: There's always room for dessert, right?\Bang!\Okay, shall we get started?\Right, let's do it!\All of you, get down on the floor!\Get your hands up, everyone!\Hey, hey, hey, nobody move!\W-What do we do? response:	Miria...
context: Bang!\Okay, shall we get started?\Right, let's do it!\All of you, get down on the floor!\Get your hands up, everyone!\Hey, hey, hey, nobody move!\W-What do we do?\Miria... response:	What, Isaac?
context: Okay, shall we get started?\Right, let's do it!\All of you, get down on the floor!\Get your hands up, everyone!\Hey, hey, hey, nobody move!\W-What do we do?\Miria...\What, Isaac? response:	Get down on the floor, put our hands up, and what else?
context: Right, let's do it!\All of you, get down on the floor!\Get your hands up, everyone!\Hey, hey, hey, nobody move!\W-What do we do?\Miria...\What, Isaac?\Get down on the floor, put our hands up, and what else? response:	Nobody move!
context: All of you, get down on the floor!\Get your hands up, everyone!\Hey, hey, hey, nobody move!\W-What do we do?\Miria...\What, Isaac?\Get down on the floor, put our hands up, and what else?\Nobody move! response:	Oh, right.
context: Get your hands up, everyone!\Hey, hey, hey, nobody move!\W-What do we do?\Miria...\What, Isaac?\Get down on the floor, put our hands up, and what else?\Nobody move!\Oh, right. response:	Um... Sorry for all the commotion.
context: Hey, hey, hey, nobody move!\W-What do we do?\Miria...\What, Isaac?\Get down on the floor, put our hands up, and what else?\Nobody move!\Oh, right.\Um... Sorry for all the commotion. response:	You...
context: W-What do we do?\Miria...\What, Isaac?\Get down on the floor, put our hands up, and what else?\Nobody move!\Oh, right.\Um... Sorry for all the commotion.\You... response:	Barnes- san...
context: Miria...\What, Isaac?\Get down on the floor, put our hands up, and what else?\Nobody move!\Oh, right.\Um... Sorry for all the commotion.\You...\Barnes- san... response:	It's here... I'm too late!
context: What, Isaac?\Get down on the floor, put our hands up, and what else?\Nobody move!\Oh, right.\Um... Sorry for all the commotion.\You...\Barnes- san...\It's here... I'm too late! response:	It's already overtaken us!
context: Get down on the floor, put our hands up, and what else?\Nobody move!\Oh, right.\Um... Sorry for all the commotion.\You...\Barnes- san...\It's here... I'm too late!\It's already overtaken us! response:	The Rail Tracer...
context: Nobody move!\Oh, right.\Um... Sorry for all the commotion.\You...\Barnes- san...\It's here... I'm too late!\It's already overtaken us!\The Rail Tracer... response:	Looking up at the starry sky that goes on forever, we sing
context: Oh, right.\Um... Sorry for all the commotion.\You...\Barnes- san...\It's here... I'm too late!\It's already overtaken us!\The Rail Tracer...\Looking up at the starry sky that goes on forever, we sing response:	a melody of a dream we have of our limited eternity
context: Um... Sorry for all the commotion.\You...\Barnes- san...\It's here... I'm too late!\It's already overtaken us!\The Rail Tracer...\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity response:	The water of adoration, overflowing in our hearts
context: You...\Barnes- san...\It's here... I'm too late!\It's already overtaken us!\The Rail Tracer...\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts response:	will reach someone in the distant future
context: Barnes- san...\It's here... I'm too late!\It's already overtaken us!\The Rail Tracer...\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future response:	I believe so
context: It's here... I'm too late!\It's already overtaken us!\The Rail Tracer...\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so response:	Running through time prolonged,
context: It's already overtaken us!\The Rail Tracer...\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged, response:	our voices calling out will someday become a great song
context: The Rail Tracer...\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song response:	We can go on spinning our love
context: Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love response:	though it may still be such a tiny light now
context: a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now response:	Hey, Isaac, what's satsuriku?
context: The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Hey, Isaac, what's satsuriku? response:	The rikupart is the riku from tairiku.
context: will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Hey, Isaac, what's satsuriku?\The rikupart is the riku from tairiku. response:	A land mass, right?
context: I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Hey, Isaac, what's satsuriku?\The rikupart is the riku from tairiku.\A land mass, right? response:	The satsupart is like osatsu.
context: Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Hey, Isaac, what's satsuriku?\The rikupart is the riku from tairiku.\A land mass, right?\The satsupart is like osatsu. response:	Money, right?
context: our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Hey, Isaac, what's satsuriku?\The rikupart is the riku from tairiku.\A land mass, right?\The satsupart is like osatsu.\Money, right? response:	In other words, it's a land that's made of money!
context: We can go on spinning our love\though it may still be such a tiny light now\Hey, Isaac, what's satsuriku?\The rikupart is the riku from tairiku.\A land mass, right?\The satsupart is like osatsu.\Money, right?\In other words, it's a land that's made of money! response:	Sounds like fun!
context: though it may still be such a tiny light now\Hey, Isaac, what's satsuriku?\The rikupart is the riku from tairiku.\A land mass, right?\The satsupart is like osatsu.\Money, right?\In other words, it's a land that's made of money!\Sounds like fun! response:	It really does sound like fun, huh?
