context: provided as-is, barely edited, feel free to do whatever you want with this response:	TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO
context: No sense turning down our only option.\We need results!\What the hell are you people?!\Where's the real Satsuki?!\I am the real Satsuki!\A Kiryuuin Satsuki with a broken spirit doesn't deserve to exist!\Aren't you tired of hiding in the darkness?\Would you show yourself... response:	Hououmaru Rei?
context: We need results!\What the hell are you people?!\Where's the real Satsuki?!\I am the real Satsuki!\A Kiryuuin Satsuki with a broken spirit doesn't deserve to exist!\Aren't you tired of hiding in the darkness?\Would you show yourself...\Hououmaru Rei? response:	I suppose you knew it was me.
context: What the hell are you people?!\Where's the real Satsuki?!\I am the real Satsuki!\A Kiryuuin Satsuki with a broken spirit doesn't deserve to exist!\Aren't you tired of hiding in the darkness?\Would you show yourself...\Hououmaru Rei?\I suppose you knew it was me. response:	You were the only one who could manage something like this.
context: Where's the real Satsuki?!\I am the real Satsuki!\A Kiryuuin Satsuki with a broken spirit doesn't deserve to exist!\Aren't you tired of hiding in the darkness?\Would you show yourself...\Hououmaru Rei?\I suppose you knew it was me.\You were the only one who could manage something like this. response:	Exactly...
context: I am the real Satsuki!\A Kiryuuin Satsuki with a broken spirit doesn't deserve to exist!\Aren't you tired of hiding in the darkness?\Would you show yourself...\Hououmaru Rei?\I suppose you knew it was me.\You were the only one who could manage something like this.\Exactly... response:	I am the only one who can inherit Lady Ragyo's will.
context: A Kiryuuin Satsuki with a broken spirit doesn't deserve to exist!\Aren't you tired of hiding in the darkness?\Would you show yourself...\Hououmaru Rei?\I suppose you knew it was me.\You were the only one who could manage something like this.\Exactly...\I am the only one who can inherit Lady Ragyo's will. response:	Stop it... You're wasting your time.
context: Aren't you tired of hiding in the darkness?\Would you show yourself...\Hououmaru Rei?\I suppose you knew it was me.\You were the only one who could manage something like this.\Exactly...\I am the only one who can inherit Lady Ragyo's will.\Stop it... You're wasting your time. response:	I'm sure you managed this by gathering the remaining Life Fibers from Revocs,
context: Would you show yourself...\Hououmaru Rei?\I suppose you knew it was me.\You were the only one who could manage something like this.\Exactly...\I am the only one who can inherit Lady Ragyo's will.\Stop it... You're wasting your time.\I'm sure you managed this by gathering the remaining Life Fibers from Revocs, response:	but with the Original Life Fiber gone, the Cocoon Sphere Nativity won't happen.
context: Hououmaru Rei?\I suppose you knew it was me.\You were the only one who could manage something like this.\Exactly...\I am the only one who can inherit Lady Ragyo's will.\Stop it... You're wasting your time.\I'm sure you managed this by gathering the remaining Life Fibers from Revocs,\but with the Original Life Fiber gone, the Cocoon Sphere Nativity won't happen. response:	Is that why you let me live?
context: I suppose you knew it was me.\You were the only one who could manage something like this.\Exactly...\I am the only one who can inherit Lady Ragyo's will.\Stop it... You're wasting your time.\I'm sure you managed this by gathering the remaining Life Fibers from Revocs,\but with the Original Life Fiber gone, the Cocoon Sphere Nativity won't happen.\Is that why you let me live? response:	Back then... why didn't you kill me?!
context: You were the only one who could manage something like this.\Exactly...\I am the only one who can inherit Lady Ragyo's will.\Stop it... You're wasting your time.\I'm sure you managed this by gathering the remaining Life Fibers from Revocs,\but with the Original Life Fiber gone, the Cocoon Sphere Nativity won't happen.\Is that why you let me live?\Back then... why didn't you kill me?! response:	Was I not worth the trouble?!
context: Exactly...\I am the only one who can inherit Lady Ragyo's will.\Stop it... You're wasting your time.\I'm sure you managed this by gathering the remaining Life Fibers from Revocs,\but with the Original Life Fiber gone, the Cocoon Sphere Nativity won't happen.\Is that why you let me live?\Back then... why didn't you kill me?!\Was I not worth the trouble?! response:	No one deserves to have their life taken...
context: I am the only one who can inherit Lady Ragyo's will.\Stop it... You're wasting your time.\I'm sure you managed this by gathering the remaining Life Fibers from Revocs,\but with the Original Life Fiber gone, the Cocoon Sphere Nativity won't happen.\Is that why you let me live?\Back then... why didn't you kill me?!\Was I not worth the trouble?!\No one deserves to have their life taken... response:	I learned that through the course of this war.
context: Stop it... You're wasting your time.\I'm sure you managed this by gathering the remaining Life Fibers from Revocs,\but with the Original Life Fiber gone, the Cocoon Sphere Nativity won't happen.\Is that why you let me live?\Back then... why didn't you kill me?!\Was I not worth the trouble?!\No one deserves to have their life taken...\I learned that through the course of this war. response:	If you could be freed from Ragyo's curse, then you deserved to live.
context: I'm sure you managed this by gathering the remaining Life Fibers from Revocs,\but with the Original Life Fiber gone, the Cocoon Sphere Nativity won't happen.\Is that why you let me live?\Back then... why didn't you kill me?!\Was I not worth the trouble?!\No one deserves to have their life taken...\I learned that through the course of this war.\If you could be freed from Ragyo's curse, then you deserved to live. response:	That's all I meant by it.
context: but with the Original Life Fiber gone, the Cocoon Sphere Nativity won't happen.\Is that why you let me live?\Back then... why didn't you kill me?!\Was I not worth the trouble?!\No one deserves to have their life taken...\I learned that through the course of this war.\If you could be freed from Ragyo's curse, then you deserved to live.\That's all I meant by it. response:	How can you say that after killing Lady Ragyo and Nui?!
context: Is that why you let me live?\Back then... why didn't you kill me?!\Was I not worth the trouble?!\No one deserves to have their life taken...\I learned that through the course of this war.\If you could be freed from Ragyo's curse, then you deserved to live.\That's all I meant by it.\How can you say that after killing Lady Ragyo and Nui?! response:	If you want reprisal for that, then take my life.
context: Back then... why didn't you kill me?!\Was I not worth the trouble?!\No one deserves to have their life taken...\I learned that through the course of this war.\If you could be freed from Ragyo's curse, then you deserved to live.\That's all I meant by it.\How can you say that after killing Lady Ragyo and Nui?!\If you want reprisal for that, then take my life. response:	You bitch... did you actually let me catch you?!
context: Was I not worth the trouble?!\No one deserves to have their life taken...\I learned that through the course of this war.\If you could be freed from Ragyo's curse, then you deserved to live.\That's all I meant by it.\How can you say that after killing Lady Ragyo and Nui?!\If you want reprisal for that, then take my life.\You bitch... did you actually let me catch you?! response:	It's a way of putting away my sword.
context: No one deserves to have their life taken...\I learned that through the course of this war.\If you could be freed from Ragyo's curse, then you deserved to live.\That's all I meant by it.\How can you say that after killing Lady Ragyo and Nui?!\If you want reprisal for that, then take my life.\You bitch... did you actually let me catch you?!\It's a way of putting away my sword. response:	I've had enough of your arrogance, Kiryuuin Satsuki!
context: I learned that through the course of this war.\If you could be freed from Ragyo's curse, then you deserved to live.\That's all I meant by it.\How can you say that after killing Lady Ragyo and Nui?!\If you want reprisal for that, then take my life.\You bitch... did you actually let me catch you?!\It's a way of putting away my sword.\I've had enough of your arrogance, Kiryuuin Satsuki! response:	Your pathetic life is nowhere near enough to pay for the loss of Lady Ragyo!
context: If you could be freed from Ragyo's curse, then you deserved to live.\That's all I meant by it.\How can you say that after killing Lady Ragyo and Nui?!\If you want reprisal for that, then take my life.\You bitch... did you actually let me catch you?!\It's a way of putting away my sword.\I've had enough of your arrogance, Kiryuuin Satsuki!\Your pathetic life is nowhere near enough to pay for the loss of Lady Ragyo! response:	This world is steeped in injustice!
context: That's all I meant by it.\How can you say that after killing Lady Ragyo and Nui?!\If you want reprisal for that, then take my life.\You bitch... did you actually let me catch you?!\It's a way of putting away my sword.\I've had enough of your arrogance, Kiryuuin Satsuki!\Your pathetic life is nowhere near enough to pay for the loss of Lady Ragyo!\This world is steeped in injustice! response:	The strong dominate the weak!
context: How can you say that after killing Lady Ragyo and Nui?!\If you want reprisal for that, then take my life.\You bitch... did you actually let me catch you?!\It's a way of putting away my sword.\I've had enough of your arrogance, Kiryuuin Satsuki!\Your pathetic life is nowhere near enough to pay for the loss of Lady Ragyo!\This world is steeped in injustice!\The strong dominate the weak! response:	That's the nature of humanity and its idiocy!
context: If you want reprisal for that, then take my life.\You bitch... did you actually let me catch you?!\It's a way of putting away my sword.\I've had enough of your arrogance, Kiryuuin Satsuki!\Your pathetic life is nowhere near enough to pay for the loss of Lady Ragyo!\This world is steeped in injustice!\The strong dominate the weak!\That's the nature of humanity and its idiocy! response:	These villagers have a strong resistance to Life Fibers...
context: You bitch... did you actually let me catch you?!\It's a way of putting away my sword.\I've had enough of your arrogance, Kiryuuin Satsuki!\Your pathetic life is nowhere near enough to pay for the loss of Lady Ragyo!\This world is steeped in injustice!\The strong dominate the weak!\That's the nature of humanity and its idiocy!\These villagers have a strong resistance to Life Fibers... response:	As if I'd let such precious data be lost over an asinine civil war.
context: It's a way of putting away my sword.\I've had enough of your arrogance, Kiryuuin Satsuki!\Your pathetic life is nowhere near enough to pay for the loss of Lady Ragyo!\This world is steeped in injustice!\The strong dominate the weak!\That's the nature of humanity and its idiocy!\These villagers have a strong resistance to Life Fibers...\As if I'd let such precious data be lost over an asinine civil war. response:	A fantastic reaction...
context: I've had enough of your arrogance, Kiryuuin Satsuki!\Your pathetic life is nowhere near enough to pay for the loss of Lady Ragyo!\This world is steeped in injustice!\The strong dominate the weak!\That's the nature of humanity and its idiocy!\These villagers have a strong resistance to Life Fibers...\As if I'd let such precious data be lost over an asinine civil war.\A fantastic reaction... response:	You've been chosen by the Life Fibers too, girl.
context: Your pathetic life is nowhere near enough to pay for the loss of Lady Ragyo!\This world is steeped in injustice!\The strong dominate the weak!\That's the nature of humanity and its idiocy!\These villagers have a strong resistance to Life Fibers...\As if I'd let such precious data be lost over an asinine civil war.\A fantastic reaction...\You've been chosen by the Life Fibers too, girl. response:	From now on, you will come with me.
context: This world is steeped in injustice!\The strong dominate the weak!\That's the nature of humanity and its idiocy!\These villagers have a strong resistance to Life Fibers...\As if I'd let such precious data be lost over an asinine civil war.\A fantastic reaction...\You've been chosen by the Life Fibers too, girl.\From now on, you will come with me. response:	Forsaking this country and your old name...
context: The strong dominate the weak!\That's the nature of humanity and its idiocy!\These villagers have a strong resistance to Life Fibers...\As if I'd let such precious data be lost over an asinine civil war.\A fantastic reaction...\You've been chosen by the Life Fibers too, girl.\From now on, you will come with me.\Forsaking this country and your old name... response:	Rei... Hououmaru Rei.
context: That's the nature of humanity and its idiocy!\These villagers have a strong resistance to Life Fibers...\As if I'd let such precious data be lost over an asinine civil war.\A fantastic reaction...\You've been chosen by the Life Fibers too, girl.\From now on, you will come with me.\Forsaking this country and your old name...\Rei... Hououmaru Rei. response:	That is your new name.
context: These villagers have a strong resistance to Life Fibers...\As if I'd let such precious data be lost over an asinine civil war.\A fantastic reaction...\You've been chosen by the Life Fibers too, girl.\From now on, you will come with me.\Forsaking this country and your old name...\Rei... Hououmaru Rei.\That is your new name. response:	This place...
context: As if I'd let such precious data be lost over an asinine civil war.\A fantastic reaction...\You've been chosen by the Life Fibers too, girl.\From now on, you will come with me.\Forsaking this country and your old name...\Rei... Hououmaru Rei.\That is your new name.\This place... response:	-Shiro! That's -Yeah!
context: A fantastic reaction...\You've been chosen by the Life Fibers too, girl.\From now on, you will come with me.\Forsaking this country and your old name...\Rei... Hououmaru Rei.\That is your new name.\This place...\-Shiro! That's -Yeah! response:	It's the Final Defense Apparatus!
context: You've been chosen by the Life Fibers too, girl.\From now on, you will come with me.\Forsaking this country and your old name...\Rei... Hououmaru Rei.\That is your new name.\This place...\-Shiro! That's -Yeah!\It's the Final Defense Apparatus! response:	We built to deal with the Original Life Fiber,
context: From now on, you will come with me.\Forsaking this country and your old name...\Rei... Hououmaru Rei.\That is your new name.\This place...\-Shiro! That's -Yeah!\It's the Final Defense Apparatus!\We built to deal with the Original Life Fiber, response:	but when Ragyo took over the school we couldn't use it!
context: Forsaking this country and your old name...\Rei... Hououmaru Rei.\That is your new name.\This place...\-Shiro! That's -Yeah!\It's the Final Defense Apparatus!\We built to deal with the Original Life Fiber,\but when Ragyo took over the school we couldn't use it! response:	But why is it activating now?!
context: Rei... Hououmaru Rei.\That is your new name.\This place...\-Shiro! That's -Yeah!\It's the Final Defense Apparatus!\We built to deal with the Original Life Fiber,\but when Ragyo took over the school we couldn't use it!\But why is it activating now?! response:	Just what I'd expect from Kiryuuin Satsuki...
context: That is your new name.\This place...\-Shiro! That's -Yeah!\It's the Final Defense Apparatus!\We built to deal with the Original Life Fiber,\but when Ragyo took over the school we couldn't use it!\But why is it activating now?!\Just what I'd expect from Kiryuuin Satsuki... response:	You're a first rate source for the activation of Life Fibers.
context: This place...\-Shiro! That's -Yeah!\It's the Final Defense Apparatus!\We built to deal with the Original Life Fiber,\but when Ragyo took over the school we couldn't use it!\But why is it activating now?!\Just what I'd expect from Kiryuuin Satsuki...\You're a first rate source for the activation of Life Fibers. response:	And I'm going to put that power to good use!
context: -Shiro! That's -Yeah!\It's the Final Defense Apparatus!\We built to deal with the Original Life Fiber,\but when Ragyo took over the school we couldn't use it!\But why is it activating now?!\Just what I'd expect from Kiryuuin Satsuki...\You're a first rate source for the activation of Life Fibers.\And I'm going to put that power to good use! response:	But if I die, it'll shut down...
context: It's the Final Defense Apparatus!\We built to deal with the Original Life Fiber,\but when Ragyo took over the school we couldn't use it!\But why is it activating now?!\Just what I'd expect from Kiryuuin Satsuki...\You're a first rate source for the activation of Life Fibers.\And I'm going to put that power to good use!\But if I die, it'll shut down... response:	I wouldn't bother biting your tongue. I've got a backup power source.
context: We built to deal with the Original Life Fiber,\but when Ragyo took over the school we couldn't use it!\But why is it activating now?!\Just what I'd expect from Kiryuuin Satsuki...\You're a first rate source for the activation of Life Fibers.\And I'm going to put that power to good use!\But if I die, it'll shut down...\I wouldn't bother biting your tongue. I've got a backup power source. response:	Mankanshoku?!
context: but when Ragyo took over the school we couldn't use it!\But why is it activating now?!\Just what I'd expect from Kiryuuin Satsuki...\You're a first rate source for the activation of Life Fibers.\And I'm going to put that power to good use!\But if I die, it'll shut down...\I wouldn't bother biting your tongue. I've got a backup power source.\Mankanshoku?! response:	I'm sorry, Lady Satsuki!
context: But why is it activating now?!\Just what I'd expect from Kiryuuin Satsuki...\You're a first rate source for the activation of Life Fibers.\And I'm going to put that power to good use!\But if I die, it'll shut down...\I wouldn't bother biting your tongue. I've got a backup power source.\Mankanshoku?!\I'm sorry, Lady Satsuki! response:	I was distracted by some cheese, and she caught me!
context: Just what I'd expect from Kiryuuin Satsuki...\You're a first rate source for the activation of Life Fibers.\And I'm going to put that power to good use!\But if I die, it'll shut down...\I wouldn't bother biting your tongue. I've got a backup power source.\Mankanshoku?!\I'm sorry, Lady Satsuki!\I was distracted by some cheese, and she caught me! response:	I'm not sure why, but she had high activation potential as well...
context: You're a first rate source for the activation of Life Fibers.\And I'm going to put that power to good use!\But if I die, it'll shut down...\I wouldn't bother biting your tongue. I've got a backup power source.\Mankanshoku?!\I'm sorry, Lady Satsuki!\I was distracted by some cheese, and she caught me!\I'm not sure why, but she had high activation potential as well... response:	So, are you going to kill yourself and leave her behind?
context: And I'm going to put that power to good use!\But if I die, it'll shut down...\I wouldn't bother biting your tongue. I've got a backup power source.\Mankanshoku?!\I'm sorry, Lady Satsuki!\I was distracted by some cheese, and she caught me!\I'm not sure why, but she had high activation potential as well...\So, are you going to kill yourself and leave her behind? response:	You...!
context: But if I die, it'll shut down...\I wouldn't bother biting your tongue. I've got a backup power source.\Mankanshoku?!\I'm sorry, Lady Satsuki!\I was distracted by some cheese, and she caught me!\I'm not sure why, but she had high activation potential as well...\So, are you going to kill yourself and leave her behind?\You...! response:	You may have thought you saved the world, but it's not over...
context: I wouldn't bother biting your tongue. I've got a backup power source.\Mankanshoku?!\I'm sorry, Lady Satsuki!\I was distracted by some cheese, and she caught me!\I'm not sure why, but she had high activation potential as well...\So, are you going to kill yourself and leave her behind?\You...!\You may have thought you saved the world, but it's not over... response:	This time, you're going to destroy it!
context: Mankanshoku?!\I'm sorry, Lady Satsuki!\I was distracted by some cheese, and she caught me!\I'm not sure why, but she had high activation potential as well...\So, are you going to kill yourself and leave her behind?\You...!\You may have thought you saved the world, but it's not over...\This time, you're going to destroy it! response:	You'll crush the weak with what you've wrought!
context: I'm sorry, Lady Satsuki!\I was distracted by some cheese, and she caught me!\I'm not sure why, but she had high activation potential as well...\So, are you going to kill yourself and leave her behind?\You...!\You may have thought you saved the world, but it's not over...\This time, you're going to destroy it!\You'll crush the weak with what you've wrought! response:	This is bad...!
context: I was distracted by some cheese, and she caught me!\I'm not sure why, but she had high activation potential as well...\So, are you going to kill yourself and leave her behind?\You...!\You may have thought you saved the world, but it's not over...\This time, you're going to destroy it!\You'll crush the weak with what you've wrought!\This is bad...! response:	This stupid robot is hard to use!
context: I'm not sure why, but she had high activation potential as well...\So, are you going to kill yourself and leave her behind?\You...!\You may have thought you saved the world, but it's not over...\This time, you're going to destroy it!\You'll crush the weak with what you've wrought!\This is bad...!\This stupid robot is hard to use! response:	I'm done!
context: So, are you going to kill yourself and leave her behind?\You...!\You may have thought you saved the world, but it's not over...\This time, you're going to destroy it!\You'll crush the weak with what you've wrought!\This is bad...!\This stupid robot is hard to use!\I'm done! response:	This is a lot better!
context: You...!\You may have thought you saved the world, but it's not over...\This time, you're going to destroy it!\You'll crush the weak with what you've wrought!\This is bad...!\This stupid robot is hard to use!\I'm done!\This is a lot better! response:	After I went through the trouble of making those DTRs...!
context: You may have thought you saved the world, but it's not over...\This time, you're going to destroy it!\You'll crush the weak with what you've wrought!\This is bad...!\This stupid robot is hard to use!\I'm done!\This is a lot better!\After I went through the trouble of making those DTRs...! response:	Pardon me.
context: This time, you're going to destroy it!\You'll crush the weak with what you've wrought!\This is bad...!\This stupid robot is hard to use!\I'm done!\This is a lot better!\After I went through the trouble of making those DTRs...!\Pardon me. response:	Oh, it's quite responsive.
context: You'll crush the weak with what you've wrought!\This is bad...!\This stupid robot is hard to use!\I'm done!\This is a lot better!\After I went through the trouble of making those DTRs...!\Pardon me.\Oh, it's quite responsive. response:	I see. So they can be remotely piloted...
context: This is bad...!\This stupid robot is hard to use!\I'm done!\This is a lot better!\After I went through the trouble of making those DTRs...!\Pardon me.\Oh, it's quite responsive.\I see. So they can be remotely piloted... response:	Where's the beauty in that?!
context: This stupid robot is hard to use!\I'm done!\This is a lot better!\After I went through the trouble of making those DTRs...!\Pardon me.\Oh, it's quite responsive.\I see. So they can be remotely piloted...\Where's the beauty in that?! response:	You thought those things were beautiful?!
context: I'm done!\This is a lot better!\After I went through the trouble of making those DTRs...!\Pardon me.\Oh, it's quite responsive.\I see. So they can be remotely piloted...\Where's the beauty in that?!\You thought those things were beautiful?! response:	Do you think you can win without a Kamui, Matoi Ryuuko?!
context: This is a lot better!\After I went through the trouble of making those DTRs...!\Pardon me.\Oh, it's quite responsive.\I see. So they can be remotely piloted...\Where's the beauty in that?!\You thought those things were beautiful?!\Do you think you can win without a Kamui, Matoi Ryuuko?! response:	Yeah, if I'm fighting some hollow phony like you!
context: After I went through the trouble of making those DTRs...!\Pardon me.\Oh, it's quite responsive.\I see. So they can be remotely piloted...\Where's the beauty in that?!\You thought those things were beautiful?!\Do you think you can win without a Kamui, Matoi Ryuuko?!\Yeah, if I'm fighting some hollow phony like you! response:	Keep talking!
context: Pardon me.\Oh, it's quite responsive.\I see. So they can be remotely piloted...\Where's the beauty in that?!\You thought those things were beautiful?!\Do you think you can win without a Kamui, Matoi Ryuuko?!\Yeah, if I'm fighting some hollow phony like you!\Keep talking! response:	They're not fakes.
context: Oh, it's quite responsive.\I see. So they can be remotely piloted...\Where's the beauty in that?!\You thought those things were beautiful?!\Do you think you can win without a Kamui, Matoi Ryuuko?!\Yeah, if I'm fighting some hollow phony like you!\Keep talking!\They're not fakes. response:	They're literally your past selves!
context: I see. So they can be remotely piloted...\Where's the beauty in that?!\You thought those things were beautiful?!\Do you think you can win without a Kamui, Matoi Ryuuko?!\Yeah, if I'm fighting some hollow phony like you!\Keep talking!\They're not fakes.\They're literally your past selves! response:	That voice... Hououmaru!
context: Where's the beauty in that?!\You thought those things were beautiful?!\Do you think you can win without a Kamui, Matoi Ryuuko?!\Yeah, if I'm fighting some hollow phony like you!\Keep talking!\They're not fakes.\They're literally your past selves!\That voice... Hououmaru! response:	That's right.
context: You thought those things were beautiful?!\Do you think you can win without a Kamui, Matoi Ryuuko?!\Yeah, if I'm fighting some hollow phony like you!\Keep talking!\They're not fakes.\They're literally your past selves!\That voice... Hououmaru!\That's right. response:	It's a fact that you all reigned over the student council
context: Do you think you can win without a Kamui, Matoi Ryuuko?!\Yeah, if I'm fighting some hollow phony like you!\Keep talking!\They're not fakes.\They're literally your past selves!\That voice... Hououmaru!\That's right.\It's a fact that you all reigned over the student council response:	and controlled the school through fear.
context: Yeah, if I'm fighting some hollow phony like you!\Keep talking!\They're not fakes.\They're literally your past selves!\That voice... Hououmaru!\That's right.\It's a fact that you all reigned over the student council\and controlled the school through fear. response:	The memories of fear left in the no-star students
context: Keep talking!\They're not fakes.\They're literally your past selves!\That voice... Hououmaru!\That's right.\It's a fact that you all reigned over the student council\and controlled the school through fear.\The memories of fear left in the no-star students response:	have been given form with Life Fiibers!
context: They're not fakes.\They're literally your past selves!\That voice... Hououmaru!\That's right.\It's a fact that you all reigned over the student council\and controlled the school through fear.\The memories of fear left in the no-star students\have been given form with Life Fiibers! response:	That is what the Satsuki and Elite Four you face are!
context: They're literally your past selves!\That voice... Hououmaru!\That's right.\It's a fact that you all reigned over the student council\and controlled the school through fear.\The memories of fear left in the no-star students\have been given form with Life Fiibers!\That is what the Satsuki and Elite Four you face are! response:	You claimed it was to fight Lady Ragyo, but you were oppressive, and conceited...
context: That voice... Hououmaru!\That's right.\It's a fact that you all reigned over the student council\and controlled the school through fear.\The memories of fear left in the no-star students\have been given form with Life Fiibers!\That is what the Satsuki and Elite Four you face are!\You claimed it was to fight Lady Ragyo, but you were oppressive, and conceited... response:	You can't deny you forced your will onto others with brutality!
context: That's right.\It's a fact that you all reigned over the student council\and controlled the school through fear.\The memories of fear left in the no-star students\have been given form with Life Fiibers!\That is what the Satsuki and Elite Four you face are!\You claimed it was to fight Lady Ragyo, but you were oppressive, and conceited...\You can't deny you forced your will onto others with brutality! response:	And now you are facing the blades of your own past selves!
context: It's a fact that you all reigned over the student council\and controlled the school through fear.\The memories of fear left in the no-star students\have been given form with Life Fiibers!\That is what the Satsuki and Elite Four you face are!\You claimed it was to fight Lady Ragyo, but you were oppressive, and conceited...\You can't deny you forced your will onto others with brutality!\And now you are facing the blades of your own past selves! response:	Foolish Elite Four...
context: and controlled the school through fear.\The memories of fear left in the no-star students\have been given form with Life Fiibers!\That is what the Satsuki and Elite Four you face are!\You claimed it was to fight Lady Ragyo, but you were oppressive, and conceited...\You can't deny you forced your will onto others with brutality!\And now you are facing the blades of your own past selves!\Foolish Elite Four... response:	Let your own sins mete out your judgement!
context: The memories of fear left in the no-star students\have been given form with Life Fiibers!\That is what the Satsuki and Elite Four you face are!\You claimed it was to fight Lady Ragyo, but you were oppressive, and conceited...\You can't deny you forced your will onto others with brutality!\And now you are facing the blades of your own past selves!\Foolish Elite Four...\Let your own sins mete out your judgement! response:	That's not right!
context: have been given form with Life Fiibers!\That is what the Satsuki and Elite Four you face are!\You claimed it was to fight Lady Ragyo, but you were oppressive, and conceited...\You can't deny you forced your will onto others with brutality!\And now you are facing the blades of your own past selves!\Foolish Elite Four...\Let your own sins mete out your judgement!\That's not right! response:	That's Mako... Mako's in that thing!
context: That is what the Satsuki and Elite Four you face are!\You claimed it was to fight Lady Ragyo, but you were oppressive, and conceited...\You can't deny you forced your will onto others with brutality!\And now you are facing the blades of your own past selves!\Foolish Elite Four...\Let your own sins mete out your judgement!\That's not right!\That's Mako... Mako's in that thing! response:	I'm picking up two strong sources of bio-energy from its engine room...
context: You claimed it was to fight Lady Ragyo, but you were oppressive, and conceited...\You can't deny you forced your will onto others with brutality!\And now you are facing the blades of your own past selves!\Foolish Elite Four...\Let your own sins mete out your judgement!\That's not right!\That's Mako... Mako's in that thing!\I'm picking up two strong sources of bio-energy from its engine room... response:	That's Lady Satsuki! She and the underachiever are powering that thing!
context: You can't deny you forced your will onto others with brutality!\And now you are facing the blades of your own past selves!\Foolish Elite Four...\Let your own sins mete out your judgement!\That's not right!\That's Mako... Mako's in that thing!\I'm picking up two strong sources of bio-energy from its engine room...\That's Lady Satsuki! She and the underachiever are powering that thing! response:	I saw for myself!
context: And now you are facing the blades of your own past selves!\Foolish Elite Four...\Let your own sins mete out your judgement!\That's not right!\That's Mako... Mako's in that thing!\I'm picking up two strong sources of bio-energy from its engine room...\That's Lady Satsuki! She and the underachiever are powering that thing!\I saw for myself! response:	The Ryuuko on the outside of her head was way better than the Ryuuko inside of it!
context: Foolish Elite Four...\Let your own sins mete out your judgement!\That's not right!\That's Mako... Mako's in that thing!\I'm picking up two strong sources of bio-energy from its engine room...\That's Lady Satsuki! She and the underachiever are powering that thing!\I saw for myself!\The Ryuuko on the outside of her head was way better than the Ryuuko inside of it! response:	And I bet it's the same for the Elite Four, too!
context: Let your own sins mete out your judgement!\That's not right!\That's Mako... Mako's in that thing!\I'm picking up two strong sources of bio-energy from its engine room...\That's Lady Satsuki! She and the underachiever are powering that thing!\I saw for myself!\The Ryuuko on the outside of her head was way better than the Ryuuko inside of it!\And I bet it's the same for the Elite Four, too! response:	I bet you're all a lot better now than you were before!
context: That's not right!\That's Mako... Mako's in that thing!\I'm picking up two strong sources of bio-energy from its engine room...\That's Lady Satsuki! She and the underachiever are powering that thing!\I saw for myself!\The Ryuuko on the outside of her head was way better than the Ryuuko inside of it!\And I bet it's the same for the Elite Four, too!\I bet you're all a lot better now than you were before! response:	Were before! Were before! Were before!
context: That's Mako... Mako's in that thing!\I'm picking up two strong sources of bio-energy from its engine room...\That's Lady Satsuki! She and the underachiever are powering that thing!\I saw for myself!\The Ryuuko on the outside of her head was way better than the Ryuuko inside of it!\And I bet it's the same for the Elite Four, too!\I bet you're all a lot better now than you were before!\Were before! Were before! Were before! response:	I guess even that underachiever makes sense sometimes!
context: I'm picking up two strong sources of bio-energy from its engine room...\That's Lady Satsuki! She and the underachiever are powering that thing!\I saw for myself!\The Ryuuko on the outside of her head was way better than the Ryuuko inside of it!\And I bet it's the same for the Elite Four, too!\I bet you're all a lot better now than you were before!\Were before! Were before! Were before!\I guess even that underachiever makes sense sometimes! response:	Nonon Sound Negation!
context: That's Lady Satsuki! She and the underachiever are powering that thing!\I saw for myself!\The Ryuuko on the outside of her head was way better than the Ryuuko inside of it!\And I bet it's the same for the Elite Four, too!\I bet you're all a lot better now than you were before!\Were before! Were before! Were before!\I guess even that underachiever makes sense sometimes!\Nonon Sound Negation! response:	Well done Mankanshoku!
context: I saw for myself!\The Ryuuko on the outside of her head was way better than the Ryuuko inside of it!\And I bet it's the same for the Elite Four, too!\I bet you're all a lot better now than you were before!\Were before! Were before! Were before!\I guess even that underachiever makes sense sometimes!\Nonon Sound Negation!\Well done Mankanshoku! response:	Just as you've said...!
context: The Ryuuko on the outside of her head was way better than the Ryuuko inside of it!\And I bet it's the same for the Elite Four, too!\I bet you're all a lot better now than you were before!\Were before! Were before! Were before!\I guess even that underachiever makes sense sometimes!\Nonon Sound Negation!\Well done Mankanshoku!\Just as you've said...! response:	I will put an end to my own past!
context: And I bet it's the same for the Elite Four, too!\I bet you're all a lot better now than you were before!\Were before! Were before! Were before!\I guess even that underachiever makes sense sometimes!\Nonon Sound Negation!\Well done Mankanshoku!\Just as you've said...!\I will put an end to my own past! response:	No one knows my weaknesses better... than me.
context: I bet you're all a lot better now than you were before!\Were before! Were before! Were before!\I guess even that underachiever makes sense sometimes!\Nonon Sound Negation!\Well done Mankanshoku!\Just as you've said...!\I will put an end to my own past!\No one knows my weaknesses better... than me. response:	And smash.
context: Were before! Were before! Were before!\I guess even that underachiever makes sense sometimes!\Nonon Sound Negation!\Well done Mankanshoku!\Just as you've said...!\I will put an end to my own past!\No one knows my weaknesses better... than me.\And smash. response:	MEN! DOU! KOTE! MEN! DOU! KOTE!
context: I guess even that underachiever makes sense sometimes!\Nonon Sound Negation!\Well done Mankanshoku!\Just as you've said...!\I will put an end to my own past!\No one knows my weaknesses better... than me.\And smash.\MEN! DOU! KOTE! MEN! DOU! KOTE! response:	With both my mind and my eyes now open,
