context: TS response:	We need to make it to the harbor!
context: Why does he know the passcode?!\So you pilot the Nirvash Neo?\Where's its real pilot?\A woman called Eureka should be piloting it.\Huh? Your eyes are...\Ao, can you hear me? Ao!\Eureka showed up on the Triton!\Mom did?! response:	I see... So you're...
context: So you pilot the Nirvash Neo?\Where's its real pilot?\A woman called Eureka should be piloting it.\Huh? Your eyes are...\Ao, can you hear me? Ao!\Eureka showed up on the Triton!\Mom did?!\I see... So you're... response:	Understood. I'll get this sorted then
context: Where's its real pilot?\A woman called Eureka should be piloting it.\Huh? Your eyes are...\Ao, can you hear me? Ao!\Eureka showed up on the Triton!\Mom did?!\I see... So you're...\Understood. I'll get this sorted then response:	Let's go, Ao.
context: A woman called Eureka should be piloting it.\Huh? Your eyes are...\Ao, can you hear me? Ao!\Eureka showed up on the Triton!\Mom did?!\I see... So you're...\Understood. I'll get this sorted then\Let's go, Ao. response:	Bring me to Eureka.
context: Huh? Your eyes are...\Ao, can you hear me? Ao!\Eureka showed up on the Triton!\Mom did?!\I see... So you're...\Understood. I'll get this sorted then\Let's go, Ao.\Bring me to Eureka. response:	You vanished in Okinawa alongside the Quartz.
context: Ao, can you hear me? Ao!\Eureka showed up on the Triton!\Mom did?!\I see... So you're...\Understood. I'll get this sorted then\Let's go, Ao.\Bring me to Eureka.\You vanished in Okinawa alongside the Quartz. response:	She's been wandering through time ever since.
context: Eureka showed up on the Triton!\Mom did?!\I see... So you're...\Understood. I'll get this sorted then\Let's go, Ao.\Bring me to Eureka.\You vanished in Okinawa alongside the Quartz.\She's been wandering through time ever since. response:	Right?
context: Mom did?!\I see... So you're...\Understood. I'll get this sorted then\Let's go, Ao.\Bring me to Eureka.\You vanished in Okinawa alongside the Quartz.\She's been wandering through time ever since.\Right? response:	I can't stay at the same time and place for long.
context: I see... So you're...\Understood. I'll get this sorted then\Let's go, Ao.\Bring me to Eureka.\You vanished in Okinawa alongside the Quartz.\She's been wandering through time ever since.\Right?\I can't stay at the same time and place for long. response:	So I see children grow old in a flash.
context: Understood. I'll get this sorted then\Let's go, Ao.\Bring me to Eureka.\You vanished in Okinawa alongside the Quartz.\She's been wandering through time ever since.\Right?\I can't stay at the same time and place for long.\So I see children grow old in a flash. response:	Hey!
context: Let's go, Ao.\Bring me to Eureka.\You vanished in Okinawa alongside the Quartz.\She's been wandering through time ever since.\Right?\I can't stay at the same time and place for long.\So I see children grow old in a flash.\Hey! response:	I'm sorry, he somehow opened the lock...
context: Bring me to Eureka.\You vanished in Okinawa alongside the Quartz.\She's been wandering through time ever since.\Right?\I can't stay at the same time and place for long.\So I see children grow old in a flash.\Hey!\I'm sorry, he somehow opened the lock... response:	Eureka...
context: You vanished in Okinawa alongside the Quartz.\She's been wandering through time ever since.\Right?\I can't stay at the same time and place for long.\So I see children grow old in a flash.\Hey!\I'm sorry, he somehow opened the lock...\Eureka... response:	Eureka!
context: She's been wandering through time ever since.\Right?\I can't stay at the same time and place for long.\So I see children grow old in a flash.\Hey!\I'm sorry, he somehow opened the lock...\Eureka...\Eureka! response:	Wait.
context: Right?\I can't stay at the same time and place for long.\So I see children grow old in a flash.\Hey!\I'm sorry, he somehow opened the lock...\Eureka...\Eureka!\Wait. response:	I'm like this...
context: I can't stay at the same time and place for long.\So I see children grow old in a flash.\Hey!\I'm sorry, he somehow opened the lock...\Eureka...\Eureka!\Wait.\I'm like this... response:	Eureka... You had no other choice?
context: So I see children grow old in a flash.\Hey!\I'm sorry, he somehow opened the lock...\Eureka...\Eureka!\Wait.\I'm like this...\Eureka... You had no other choice? response:	I'm sorry.
context: Hey!\I'm sorry, he somehow opened the lock...\Eureka...\Eureka!\Wait.\I'm like this...\Eureka... You had no other choice?\I'm sorry. response:	I should be the one apologizing.
context: I'm sorry, he somehow opened the lock...\Eureka...\Eureka!\Wait.\I'm like this...\Eureka... You had no other choice?\I'm sorry.\I should be the one apologizing. response:	You finally met Ao.
context: Eureka...\Eureka!\Wait.\I'm like this...\Eureka... You had no other choice?\I'm sorry.\I should be the one apologizing.\You finally met Ao. response:	He's such a good boy. He grew up well.
context: Eureka!\Wait.\I'm like this...\Eureka... You had no other choice?\I'm sorry.\I should be the one apologizing.\You finally met Ao.\He's such a good boy. He grew up well. response:	He's much more upfront than you are.
context: Wait.\I'm like this...\Eureka... You had no other choice?\I'm sorry.\I should be the one apologizing.\You finally met Ao.\He's such a good boy. He grew up well.\He's much more upfront than you are. response:	He has what you're looking for.
context: I'm like this...\Eureka... You had no other choice?\I'm sorry.\I should be the one apologizing.\You finally met Ao.\He's such a good boy. He grew up well.\He's much more upfront than you are.\He has what you're looking for. response:	It's also what called you here.
context: Eureka... You had no other choice?\I'm sorry.\I should be the one apologizing.\You finally met Ao.\He's such a good boy. He grew up well.\He's much more upfront than you are.\He has what you're looking for.\It's also what called you here. response:	Mom!
context: I'm sorry.\I should be the one apologizing.\You finally met Ao.\He's such a good boy. He grew up well.\He's much more upfront than you are.\He has what you're looking for.\It's also what called you here.\Mom! response:	Are you who I think you are?
context: I should be the one apologizing.\You finally met Ao.\He's such a good boy. He grew up well.\He's much more upfront than you are.\He has what you're looking for.\It's also what called you here.\Mom!\Are you who I think you are? response:	No way...
context: You finally met Ao.\He's such a good boy. He grew up well.\He's much more upfront than you are.\He has what you're looking for.\It's also what called you here.\Mom!\Are you who I think you are?\No way... response:	My name's Renton Thurston. I'm Eureka's husband.
context: He's such a good boy. He grew up well.\He's much more upfront than you are.\He has what you're looking for.\It's also what called you here.\Mom!\Are you who I think you are?\No way...\My name's Renton Thurston. I'm Eureka's husband. response:	To be continued.
context: He's much more upfront than you are.\He has what you're looking for.\It's also what called you here.\Mom!\Are you who I think you are?\No way...\My name's Renton Thurston. I'm Eureka's husband.\To be continued. response:	Episode Twenty Three The Final Frontier
context: He has what you're looking for.\It's also what called you here.\Mom!\Are you who I think you are?\No way...\My name's Renton Thurston. I'm Eureka's husband.\To be continued.\Episode Twenty Three The Final Frontier response:	Continuing right away!
context: It's also what called you here.\Mom!\Are you who I think you are?\No way...\My name's Renton Thurston. I'm Eureka's husband.\To be continued.\Episode Twenty Three The Final Frontier\Continuing right away! response:	hikaru suiheisen
context: Mom!\Are you who I think you are?\No way...\My name's Renton Thurston. I'm Eureka's husband.\To be continued.\Episode Twenty Three The Final Frontier\Continuing right away!\hikaru suiheisen response:	Just over the bright horizon,
context: Are you who I think you are?\No way...\My name's Renton Thurston. I'm Eureka's husband.\To be continued.\Episode Twenty Three The Final Frontier\Continuing right away!\hikaru suiheisen\Just over the bright horizon, response:	hajimari to owari no
context: No way...\My name's Renton Thurston. I'm Eureka's husband.\To be continued.\Episode Twenty Three The Final Frontier\Continuing right away!\hikaru suiheisen\Just over the bright horizon,\hajimari to owari no response:	where the beginning and the end
context: My name's Renton Thurston. I'm Eureka's husband.\To be continued.\Episode Twenty Three The Final Frontier\Continuing right away!\hikaru suiheisen\Just over the bright horizon,\hajimari to owari no\where the beginning and the end response:	tokeau soko wa
context: To be continued.\Episode Twenty Three The Final Frontier\Continuing right away!\hikaru suiheisen\Just over the bright horizon,\hajimari to owari no\where the beginning and the end\tokeau soko wa response:	melt into one,
context: Episode Twenty Three The Final Frontier\Continuing right away!\hikaru suiheisen\Just over the bright horizon,\hajimari to owari no\where the beginning and the end\tokeau soko wa\melt into one, response:	namida no furusato na no
context: Continuing right away!\hikaru suiheisen\Just over the bright horizon,\hajimari to owari no\where the beginning and the end\tokeau soko wa\melt into one,\namida no furusato na no response:	lies the homeland of tears
context: hikaru suiheisen\Just over the bright horizon,\hajimari to owari no\where the beginning and the end\tokeau soko wa\melt into one,\namida no furusato na no\lies the homeland of tears response:	furueteru te de
context: Just over the bright horizon,\hajimari to owari no\where the beginning and the end\tokeau soko wa\melt into one,\namida no furusato na no\lies the homeland of tears\furueteru te de response:	I've already pocketed
context: hajimari to owari no\where the beginning and the end\tokeau soko wa\melt into one,\namida no furusato na no\lies the homeland of tears\furueteru te de\I've already pocketed response:	shinjirareru mono
context: where the beginning and the end\tokeau soko wa\melt into one,\namida no furusato na no\lies the homeland of tears\furueteru te de\I've already pocketed\shinjirareru mono response:	my trembling hand
context: tokeau soko wa\melt into one,\namida no furusato na no\lies the homeland of tears\furueteru te de\I've already pocketed\shinjirareru mono\my trembling hand response:	poketto ni tsumekonda
context: melt into one,\namida no furusato na no\lies the homeland of tears\furueteru te de\I've already pocketed\shinjirareru mono\my trembling hand\poketto ni tsumekonda response:	which holds my beliefs
context: namida no furusato na no\lies the homeland of tears\furueteru te de\I've already pocketed\shinjirareru mono\my trembling hand\poketto ni tsumekonda\which holds my beliefs response:	kanata de yurameiteru shinkirou
context: lies the homeland of tears\furueteru te de\I've already pocketed\shinjirareru mono\my trembling hand\poketto ni tsumekonda\which holds my beliefs\kanata de yurameiteru shinkirou response:	A mirage shimmers in the distance
context: furueteru te de\I've already pocketed\shinjirareru mono\my trembling hand\poketto ni tsumekonda\which holds my beliefs\kanata de yurameiteru shinkirou\A mirage shimmers in the distance response:	sora miagereba
context: I've already pocketed\shinjirareru mono\my trembling hand\poketto ni tsumekonda\which holds my beliefs\kanata de yurameiteru shinkirou\A mirage shimmers in the distance\sora miagereba response:	I look to the sky
context: shinjirareru mono\my trembling hand\poketto ni tsumekonda\which holds my beliefs\kanata de yurameiteru shinkirou\A mirage shimmers in the distance\sora miagereba\I look to the sky response:	michibiitekureru you na
context: my trembling hand\poketto ni tsumekonda\which holds my beliefs\kanata de yurameiteru shinkirou\A mirage shimmers in the distance\sora miagereba\I look to the sky\michibiitekureru you na response:	hoping it will show me the way
context: poketto ni tsumekonda\which holds my beliefs\kanata de yurameiteru shinkirou\A mirage shimmers in the distance\sora miagereba\I look to the sky\michibiitekureru you na\hoping it will show me the way response:	natsukashikute atsui hikari wo kureru
context: which holds my beliefs\kanata de yurameiteru shinkirou\A mirage shimmers in the distance\sora miagereba\I look to the sky\michibiitekureru you na\hoping it will show me the way\natsukashikute atsui hikari wo kureru response:	And it gives off a familiar, warm light
context: kanata de yurameiteru shinkirou\A mirage shimmers in the distance\sora miagereba\I look to the sky\michibiitekureru you na\hoping it will show me the way\natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light response:	anata wa chiisaku te wo furu yo
context: A mirage shimmers in the distance\sora miagereba\I look to the sky\michibiitekureru you na\hoping it will show me the way\natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo response:	You wave at me faintly
context: sora miagereba\I look to the sky\michibiitekureru you na\hoping it will show me the way\natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo\You wave at me faintly response:	ikanakucha
context: I look to the sky\michibiitekureru you na\hoping it will show me the way\natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo\You wave at me faintly\ikanakucha response:	I must go
context: michibiitekureru you na\hoping it will show me the way\natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo\You wave at me faintly\ikanakucha\I must go response:	mou nakanai yo shangurira
context: hoping it will show me the way\natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo\You wave at me faintly\ikanakucha\I must go\mou nakanai yo shangurira response:	Don't cry anymore because Shangri-La,
context: natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo\You wave at me faintly\ikanakucha\I must go\mou nakanai yo shangurira\Don't cry anymore because Shangri-La, response:	aratana sekai he to daibu shiyou
context: And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo\You wave at me faintly\ikanakucha\I must go\mou nakanai yo shangurira\Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou response:	a new world, is waiting for us
context: anata wa chiisaku te wo furu yo\You wave at me faintly\ikanakucha\I must go\mou nakanai yo shangurira\Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou\a new world, is waiting for us response:	aoiro ni dakareta boku wa
context: You wave at me faintly\ikanakucha\I must go\mou nakanai yo shangurira\Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou\a new world, is waiting for us\aoiro ni dakareta boku wa response:	As I'm embraced by its blue...
context: ikanakucha\I must go\mou nakanai yo shangurira\Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou\a new world, is waiting for us\aoiro ni dakareta boku wa\As I'm embraced by its blue... response:	kono mune no takanari to tomo ni
context: I must go\mou nakanai yo shangurira\Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou\a new world, is waiting for us\aoiro ni dakareta boku wa\As I'm embraced by its blue...\kono mune no takanari to tomo ni response:	My heart beats loudly
context: mou nakanai yo shangurira\Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou\a new world, is waiting for us\aoiro ni dakareta boku wa\As I'm embraced by its blue...\kono mune no takanari to tomo ni\My heart beats loudly response:	futashikana*
context: Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou\a new world, is waiting for us\aoiro ni dakareta boku wa\As I'm embraced by its blue...\kono mune no takanari to tomo ni\My heart beats loudly\futashikana* response:	*T/L Note: I'm so uncertain
context: aratana sekai he to daibu shiyou\a new world, is waiting for us\aoiro ni dakareta boku wa\As I'm embraced by its blue...\kono mune no takanari to tomo ni\My heart beats loudly\futashikana*\*T/L Note: I'm so uncertain response:	*T/L Note: I'm so uncertain
context: a new world, is waiting for us\aoiro ni dakareta boku wa\As I'm embraced by its blue...\kono mune no takanari to tomo ni\My heart beats loudly\futashikana*\*T/L Note: I'm so uncertain\*T/L Note: I'm so uncertain response:	boku no sekai ga ima*
context: aoiro ni dakareta boku wa\As I'm embraced by its blue...\kono mune no takanari to tomo ni\My heart beats loudly\futashikana*\*T/L Note: I'm so uncertain\*T/L Note: I'm so uncertain\boku no sekai ga ima* response:	*T/L Note: In the blink of an eye,
context: As I'm embraced by its blue...\kono mune no takanari to tomo ni\My heart beats loudly\futashikana*\*T/L Note: I'm so uncertain\*T/L Note: I'm so uncertain\boku no sekai ga ima*\*T/L Note: In the blink of an eye, response:	*T/L Note: In the blink of an eye,
context: kono mune no takanari to tomo ni\My heart beats loudly\futashikana*\*T/L Note: I'm so uncertain\*T/L Note: I'm so uncertain\boku no sekai ga ima*\*T/L Note: In the blink of an eye,\*T/L Note: In the blink of an eye, response:	mabataku ma ni kawari- hajimete hirogaru*
context: My heart beats loudly\futashikana*\*T/L Note: I'm so uncertain\*T/L Note: I'm so uncertain\boku no sekai ga ima*\*T/L Note: In the blink of an eye,\*T/L Note: In the blink of an eye,\mabataku ma ni kawari- hajimete hirogaru* response:	*T/L Note: my whole world started changing and opening up.
context: futashikana*\*T/L Note: I'm so uncertain\*T/L Note: I'm so uncertain\boku no sekai ga ima*\*T/L Note: In the blink of an eye,\*T/L Note: In the blink of an eye,\mabataku ma ni kawari- hajimete hirogaru*\*T/L Note: my whole world started changing and opening up. response:	*T/L Note: my whole world started changing and opening up.
context: *T/L Note: I'm so uncertain\*T/L Note: I'm so uncertain\boku no sekai ga ima*\*T/L Note: In the blink of an eye,\*T/L Note: In the blink of an eye,\mabataku ma ni kawari- hajimete hirogaru*\*T/L Note: my whole world started changing and opening up.\*T/L Note: my whole world started changing and opening up. response:	ano hi mitsuketa yume no tsuzuki wa doko*
context: *T/L Note: I'm so uncertain\boku no sekai ga ima*\*T/L Note: In the blink of an eye,\*T/L Note: In the blink of an eye,\mabataku ma ni kawari- hajimete hirogaru*\*T/L Note: my whole world started changing and opening up.\*T/L Note: my whole world started changing and opening up.\ano hi mitsuketa yume no tsuzuki wa doko* response:	*T/L Note: That day, I found out where my dream continues
context: boku no sekai ga ima*\*T/L Note: In the blink of an eye,\*T/L Note: In the blink of an eye,\mabataku ma ni kawari- hajimete hirogaru*\*T/L Note: my whole world started changing and opening up.\*T/L Note: my whole world started changing and opening up.\ano hi mitsuketa yume no tsuzuki wa doko*\*T/L Note: That day, I found out where my dream continues response:	*T/L Note: That day, I found out where my dream continues
context: *T/L Note: In the blink of an eye,\*T/L Note: In the blink of an eye,\mabataku ma ni kawari- hajimete hirogaru*\*T/L Note: my whole world started changing and opening up.\*T/L Note: my whole world started changing and opening up.\ano hi mitsuketa yume no tsuzuki wa doko*\*T/L Note: That day, I found out where my dream continues\*T/L Note: That day, I found out where my dream continues response:	sugu ni sagashite miseru yo*
context: *T/L Note: In the blink of an eye,\mabataku ma ni kawari- hajimete hirogaru*\*T/L Note: my whole world started changing and opening up.\*T/L Note: my whole world started changing and opening up.\ano hi mitsuketa yume no tsuzuki wa doko*\*T/L Note: That day, I found out where my dream continues\*T/L Note: That day, I found out where my dream continues\sugu ni sagashite miseru yo* response:	*T/L Note: I'll show you its sequel now
context: mabataku ma ni kawari- hajimete hirogaru*\*T/L Note: my whole world started changing and opening up.\*T/L Note: my whole world started changing and opening up.\ano hi mitsuketa yume no tsuzuki wa doko*\*T/L Note: That day, I found out where my dream continues\*T/L Note: That day, I found out where my dream continues\sugu ni sagashite miseru yo*\*T/L Note: I'll show you its sequel now response:	*T/L Note: I'll show you its sequel now
context: *T/L Note: my whole world started changing and opening up.\*T/L Note: my whole world started changing and opening up.\ano hi mitsuketa yume no tsuzuki wa doko*\*T/L Note: That day, I found out where my dream continues\*T/L Note: That day, I found out where my dream continues\sugu ni sagashite miseru yo*\*T/L Note: I'll show you its sequel now\*T/L Note: I'll show you its sequel now response:	ima mo boku dake wa oboeteirun da*
context: *T/L Note: my whole world started changing and opening up.\ano hi mitsuketa yume no tsuzuki wa doko*\*T/L Note: That day, I found out where my dream continues\*T/L Note: That day, I found out where my dream continues\sugu ni sagashite miseru yo*\*T/L Note: I'll show you its sequel now\*T/L Note: I'll show you its sequel now\ima mo boku dake wa oboeteirun da* response:	*T/L Note: Right now, I'm the only one who still remembers
context: ano hi mitsuketa yume no tsuzuki wa doko*\*T/L Note: That day, I found out where my dream continues\*T/L Note: That day, I found out where my dream continues\sugu ni sagashite miseru yo*\*T/L Note: I'll show you its sequel now\*T/L Note: I'll show you its sequel now\ima mo boku dake wa oboeteirun da*\*T/L Note: Right now, I'm the only one who still remembers response:	*T/L Note: Right now, I'm the only one who still remembers
context: *T/L Note: That day, I found out where my dream continues\*T/L Note: That day, I found out where my dream continues\sugu ni sagashite miseru yo*\*T/L Note: I'll show you its sequel now\*T/L Note: I'll show you its sequel now\ima mo boku dake wa oboeteirun da*\*T/L Note: Right now, I'm the only one who still remembers\*T/L Note: Right now, I'm the only one who still remembers response:	natsukashii nukumori*
context: *T/L Note: That day, I found out where my dream continues\sugu ni sagashite miseru yo*\*T/L Note: I'll show you its sequel now\*T/L Note: I'll show you its sequel now\ima mo boku dake wa oboeteirun da*\*T/L Note: Right now, I'm the only one who still remembers\*T/L Note: Right now, I'm the only one who still remembers\natsukashii nukumori* response:	*T/L Note: that familiar warmth
context: sugu ni sagashite miseru yo*\*T/L Note: I'll show you its sequel now\*T/L Note: I'll show you its sequel now\ima mo boku dake wa oboeteirun da*\*T/L Note: Right now, I'm the only one who still remembers\*T/L Note: Right now, I'm the only one who still remembers\natsukashii nukumori*\*T/L Note: that familiar warmth response:	*T/L Note: that familiar warmth
context: *T/L Note: I'll show you its sequel now\*T/L Note: I'll show you its sequel now\ima mo boku dake wa oboeteirun da*\*T/L Note: Right now, I'm the only one who still remembers\*T/L Note: Right now, I'm the only one who still remembers\natsukashii nukumori*\*T/L Note: that familiar warmth\*T/L Note: that familiar warmth response:	saa mou ikou ka*
context: *T/L Note: I'll show you its sequel now\ima mo boku dake wa oboeteirun da*\*T/L Note: Right now, I'm the only one who still remembers\*T/L Note: Right now, I'm the only one who still remembers\natsukashii nukumori*\*T/L Note: that familiar warmth\*T/L Note: that familiar warmth\saa mou ikou ka* response:	*T/L Note: Now let's get going
context: ima mo boku dake wa oboeteirun da*\*T/L Note: Right now, I'm the only one who still remembers\*T/L Note: Right now, I'm the only one who still remembers\natsukashii nukumori*\*T/L Note: that familiar warmth\*T/L Note: that familiar warmth\saa mou ikou ka*\*T/L Note: Now let's get going response:	*T/L Note: Now let's get going
context: *T/L Note: Right now, I'm the only one who still remembers\*T/L Note: Right now, I'm the only one who still remembers\natsukashii nukumori*\*T/L Note: that familiar warmth\*T/L Note: that familiar warmth\saa mou ikou ka*\*T/L Note: Now let's get going\*T/L Note: Now let's get going response:	machiu- keteru unmei ni*
context: *T/L Note: Right now, I'm the only one who still remembers\natsukashii nukumori*\*T/L Note: that familiar warmth\*T/L Note: that familiar warmth\saa mou ikou ka*\*T/L Note: Now let's get going\*T/L Note: Now let's get going\machiu- keteru unmei ni* response:	*T/L Note: I was frozen with fear
context: natsukashii nukumori*\*T/L Note: that familiar warmth\*T/L Note: that familiar warmth\saa mou ikou ka*\*T/L Note: Now let's get going\*T/L Note: Now let's get going\machiu- keteru unmei ni*\*T/L Note: I was frozen with fear response:	*T/L Note: I was frozen with fear
context: *T/L Note: that familiar warmth\*T/L Note: that familiar warmth\saa mou ikou ka*\*T/L Note: Now let's get going\*T/L Note: Now let's get going\machiu- keteru unmei ni*\*T/L Note: I was frozen with fear\*T/L Note: I was frozen with fear response:	tachisukumi obieteta*
context: *T/L Note: that familiar warmth\saa mou ikou ka*\*T/L Note: Now let's get going\*T/L Note: Now let's get going\machiu- keteru unmei ni*\*T/L Note: I was frozen with fear\*T/L Note: I was frozen with fear\tachisukumi obieteta* response:	*T/L Note: thinking of the fate that awaited me
context: saa mou ikou ka*\*T/L Note: Now let's get going\*T/L Note: Now let's get going\machiu- keteru unmei ni*\*T/L Note: I was frozen with fear\*T/L Note: I was frozen with fear\tachisukumi obieteta*\*T/L Note: thinking of the fate that awaited me response:	*T/L Note: thinking of the fate that awaited me
context: *T/L Note: Now let's get going\*T/L Note: Now let's get going\machiu- keteru unmei ni*\*T/L Note: I was frozen with fear\*T/L Note: I was frozen with fear\tachisukumi obieteta*\*T/L Note: thinking of the fate that awaited me\*T/L Note: thinking of the fate that awaited me response:	mou kess- hite mayo- wanai you ni*
context: *T/L Note: Now let's get going\machiu- keteru unmei ni*\*T/L Note: I was frozen with fear\*T/L Note: I was frozen with fear\tachisukumi obieteta*\*T/L Note: thinking of the fate that awaited me\*T/L Note: thinking of the fate that awaited me\mou kess- hite mayo- wanai you ni* response:	*T/L Note: I'll become so strong that I won't
context: machiu- keteru unmei ni*\*T/L Note: I was frozen with fear\*T/L Note: I was frozen with fear\tachisukumi obieteta*\*T/L Note: thinking of the fate that awaited me\*T/L Note: thinking of the fate that awaited me\mou kess- hite mayo- wanai you ni*\*T/L Note: I'll become so strong that I won't response:	*T/L Note: I'll become so strong that I won't
context: *T/L Note: I was frozen with fear\*T/L Note: I was frozen with fear\tachisukumi obieteta*\*T/L Note: thinking of the fate that awaited me\*T/L Note: thinking of the fate that awaited me\mou kess- hite mayo- wanai you ni*\*T/L Note: I'll become so strong that I won't\*T/L Note: I'll become so strong that I won't response:	tsuyoku natte yuku yo*
context: *T/L Note: I was frozen with fear\tachisukumi obieteta*\*T/L Note: thinking of the fate that awaited me\*T/L Note: thinking of the fate that awaited me\mou kess- hite mayo- wanai you ni*\*T/L Note: I'll become so strong that I won't\*T/L Note: I'll become so strong that I won't\tsuyoku natte yuku yo* response:	*T/L Note: be uncertain ever again
context: tachisukumi obieteta*\*T/L Note: thinking of the fate that awaited me\*T/L Note: thinking of the fate that awaited me\mou kess- hite mayo- wanai you ni*\*T/L Note: I'll become so strong that I won't\*T/L Note: I'll become so strong that I won't\tsuyoku natte yuku yo*\*T/L Note: be uncertain ever again response:	*T/L Note: be uncertain ever again
context: *T/L Note: thinking of the fate that awaited me\*T/L Note: thinking of the fate that awaited me\mou kess- hite mayo- wanai you ni*\*T/L Note: I'll become so strong that I won't\*T/L Note: I'll become so strong that I won't\tsuyoku natte yuku yo*\*T/L Note: be uncertain ever again\*T/L Note: be uncertain ever again response:	nido to modorenai kako mo ashita kara kate ni shite*
context: *T/L Note: thinking of the fate that awaited me\mou kess- hite mayo- wanai you ni*\*T/L Note: I'll become so strong that I won't\*T/L Note: I'll become so strong that I won't\tsuyoku natte yuku yo*\*T/L Note: be uncertain ever again\*T/L Note: be uncertain ever again\nido to modorenai kako mo ashita kara kate ni shite* response:	*T/L Note: The past that can't be written will support me from tomorrow on
context: mou kess- hite mayo- wanai you ni*\*T/L Note: I'll become so strong that I won't\*T/L Note: I'll become so strong that I won't\tsuyoku natte yuku yo*\*T/L Note: be uncertain ever again\*T/L Note: be uncertain ever again\nido to modorenai kako mo ashita kara kate ni shite*\*T/L Note: The past that can't be written will support me from tomorrow on response:	*T/L Note: The past that can't be written will support me from tomorrow on
context: *T/L Note: I'll become so strong that I won't\*T/L Note: I'll become so strong that I won't\tsuyoku natte yuku yo*\*T/L Note: be uncertain ever again\*T/L Note: be uncertain ever again\nido to modorenai kako mo ashita kara kate ni shite*\*T/L Note: The past that can't be written will support me from tomorrow on\*T/L Note: The past that can't be written will support me from tomorrow on response:	sou yatte noriko- ete yuku no sa*
context: *T/L Note: I'll become so strong that I won't\tsuyoku natte yuku yo*\*T/L Note: be uncertain ever again\*T/L Note: be uncertain ever again\nido to modorenai kako mo ashita kara kate ni shite*\*T/L Note: The past that can't be written will support me from tomorrow on\*T/L Note: The past that can't be written will support me from tomorrow on\sou yatte noriko- ete yuku no sa* response:	*T/L Note: I'll overcome it all
context: tsuyoku natte yuku yo*\*T/L Note: be uncertain ever again\*T/L Note: be uncertain ever again\nido to modorenai kako mo ashita kara kate ni shite*\*T/L Note: The past that can't be written will support me from tomorrow on\*T/L Note: The past that can't be written will support me from tomorrow on\sou yatte noriko- ete yuku no sa*\*T/L Note: I'll overcome it all response:	*T/L Note: I'll overcome it all
context: *T/L Note: be uncertain ever again\*T/L Note: be uncertain ever again\nido to modorenai kako mo ashita kara kate ni shite*\*T/L Note: The past that can't be written will support me from tomorrow on\*T/L Note: The past that can't be written will support me from tomorrow on\sou yatte noriko- ete yuku no sa*\*T/L Note: I'll overcome it all\*T/L Note: I'll overcome it all response:	sou shite boku wa boku ni naru*
context: *T/L Note: be uncertain ever again\nido to modorenai kako mo ashita kara kate ni shite*\*T/L Note: The past that can't be written will support me from tomorrow on\*T/L Note: The past that can't be written will support me from tomorrow on\sou yatte noriko- ete yuku no sa*\*T/L Note: I'll overcome it all\*T/L Note: I'll overcome it all\sou shite boku wa boku ni naru* response:	*T/L Note: and I'll become myself
context: nido to modorenai kako mo ashita kara kate ni shite*\*T/L Note: The past that can't be written will support me from tomorrow on\*T/L Note: The past that can't be written will support me from tomorrow on\sou yatte noriko- ete yuku no sa*\*T/L Note: I'll overcome it all\*T/L Note: I'll overcome it all\sou shite boku wa boku ni naru*\*T/L Note: and I'll become myself response:	*T/L Note: and I'll become myself
context: *T/L Note: The past that can't be written will support me from tomorrow on\*T/L Note: The past that can't be written will support me from tomorrow on\sou yatte noriko- ete yuku no sa*\*T/L Note: I'll overcome it all\*T/L Note: I'll overcome it all\sou shite boku wa boku ni naru*\*T/L Note: and I'll become myself\*T/L Note: and I'll become myself response:	sou shite boku wa boku ni naru*
context: *T/L Note: The past that can't be written will support me from tomorrow on\sou yatte noriko- ete yuku no sa*\*T/L Note: I'll overcome it all\*T/L Note: I'll overcome it all\sou shite boku wa boku ni naru*\*T/L Note: and I'll become myself\*T/L Note: and I'll become myself\sou shite boku wa boku ni naru* response:	Don't repost to any manga readers! You have to sign up for our forum to download!
