context: Naraku... response:	Fifty years ago, in order to steal the Sacred Jewel...
context: Humans without souls are as good as dead.\Without souls?\Why around now, even that Kagome is having her soul sucked out.\What?!\Does that mean there's another demon?!\Now then, unsheathe that Tetsusaiga, Inuyasha.\This time it won't end like the last time.\Kagome... response:	What's the matter, Inuyasha? Got cold feet?
context: Without souls?\Why around now, even that Kagome is having her soul sucked out.\What?!\Does that mean there's another demon?!\Now then, unsheathe that Tetsusaiga, Inuyasha.\This time it won't end like the last time.\Kagome...\What's the matter, Inuyasha? Got cold feet? response:	Miroku, go back to Kagome and the others.
context: Why around now, even that Kagome is having her soul sucked out.\What?!\Does that mean there's another demon?!\Now then, unsheathe that Tetsusaiga, Inuyasha.\This time it won't end like the last time.\Kagome...\What's the matter, Inuyasha? Got cold feet?\Miroku, go back to Kagome and the others. response:	Inuyasha, what about you?
context: What?!\Does that mean there's another demon?!\Now then, unsheathe that Tetsusaiga, Inuyasha.\This time it won't end like the last time.\Kagome...\What's the matter, Inuyasha? Got cold feet?\Miroku, go back to Kagome and the others.\Inuyasha, what about you? response:	Isn't it obvious?
context: Does that mean there's another demon?!\Now then, unsheathe that Tetsusaiga, Inuyasha.\This time it won't end like the last time.\Kagome...\What's the matter, Inuyasha? Got cold feet?\Miroku, go back to Kagome and the others.\Inuyasha, what about you?\Isn't it obvious? response:	I'm gonna get rid of this wench!
context: Now then, unsheathe that Tetsusaiga, Inuyasha.\This time it won't end like the last time.\Kagome...\What's the matter, Inuyasha? Got cold feet?\Miroku, go back to Kagome and the others.\Inuyasha, what about you?\Isn't it obvious?\I'm gonna get rid of this wench! response:	Dance of the Wind Swords!
context: This time it won't end like the last time.\Kagome...\What's the matter, Inuyasha? Got cold feet?\Miroku, go back to Kagome and the others.\Inuyasha, what about you?\Isn't it obvious?\I'm gonna get rid of this wench!\Dance of the Wind Swords! response:	Go, Miroku!
context: Kagome...\What's the matter, Inuyasha? Got cold feet?\Miroku, go back to Kagome and the others.\Inuyasha, what about you?\Isn't it obvious?\I'm gonna get rid of this wench!\Dance of the Wind Swords!\Go, Miroku! response:	All right!
context: What's the matter, Inuyasha? Got cold feet?\Miroku, go back to Kagome and the others.\Inuyasha, what about you?\Isn't it obvious?\I'm gonna get rid of this wench!\Dance of the Wind Swords!\Go, Miroku!\All right! response:	It's too late!
context: Miroku, go back to Kagome and the others.\Inuyasha, what about you?\Isn't it obvious?\I'm gonna get rid of this wench!\Dance of the Wind Swords!\Go, Miroku!\All right!\It's too late! response:	Thanks, Kirara!
context: Inuyasha, what about you?\Isn't it obvious?\I'm gonna get rid of this wench!\Dance of the Wind Swords!\Go, Miroku!\All right!\It's too late!\Thanks, Kirara! response:	Koharu!
context: Isn't it obvious?\I'm gonna get rid of this wench!\Dance of the Wind Swords!\Go, Miroku!\All right!\It's too late!\Thanks, Kirara!\Koharu! response:	Koharu, brace up!
context: I'm gonna get rid of this wench!\Dance of the Wind Swords!\Go, Miroku!\All right!\It's too late!\Thanks, Kirara!\Koharu!\Koharu, brace up! response:	Koharu!
context: Dance of the Wind Swords!\Go, Miroku!\All right!\It's too late!\Thanks, Kirara!\Koharu!\Koharu, brace up!\Koharu! response:	Master Miroku, I was so scared!
context: Go, Miroku!\All right!\It's too late!\Thanks, Kirara!\Koharu!\Koharu, brace up!\Koharu!\Master Miroku, I was so scared! response:	Don't be afraid. You're okay now.
context: All right!\It's too late!\Thanks, Kirara!\Koharu!\Koharu, brace up!\Koharu!\Master Miroku, I was so scared!\Don't be afraid. You're okay now. response:	Hey! What're you doing to Kagome?!
context: It's too late!\Thanks, Kirara!\Koharu!\Koharu, brace up!\Koharu!\Master Miroku, I was so scared!\Don't be afraid. You're okay now.\Hey! What're you doing to Kagome?! response:	With his evil power increased, Naraku has created Kagura...
context: Thanks, Kirara!\Koharu!\Koharu, brace up!\Koharu!\Master Miroku, I was so scared!\Don't be afraid. You're okay now.\Hey! What're you doing to Kagome?!\With his evil power increased, Naraku has created Kagura... response:	then Kanna, both of them are his offsprings.
context: Koharu!\Koharu, brace up!\Koharu!\Master Miroku, I was so scared!\Don't be afraid. You're okay now.\Hey! What're you doing to Kagome?!\With his evil power increased, Naraku has created Kagura...\then Kanna, both of them are his offsprings. response:	In his palm glows a Sacred Jewel fragment...
context: Koharu, brace up!\Koharu!\Master Miroku, I was so scared!\Don't be afraid. You're okay now.\Hey! What're you doing to Kagome?!\With his evil power increased, Naraku has created Kagura...\then Kanna, both of them are his offsprings.\In his palm glows a Sacred Jewel fragment... response:	that Kikyo has taken away from me!
context: Koharu!\Master Miroku, I was so scared!\Don't be afraid. You're okay now.\Hey! What're you doing to Kagome?!\With his evil power increased, Naraku has created Kagura...\then Kanna, both of them are his offsprings.\In his palm glows a Sacred Jewel fragment...\that Kikyo has taken away from me! response:	Why is it in Naraku's possession?
context: Master Miroku, I was so scared!\Don't be afraid. You're okay now.\Hey! What're you doing to Kagome?!\With his evil power increased, Naraku has created Kagura...\then Kanna, both of them are his offsprings.\In his palm glows a Sacred Jewel fragment...\that Kikyo has taken away from me!\Why is it in Naraku's possession? response:	Inuyasha unsheathes the Tetsusaiga in the wind created by Kagura!
context: Don't be afraid. You're okay now.\Hey! What're you doing to Kagome?!\With his evil power increased, Naraku has created Kagura...\then Kanna, both of them are his offsprings.\In his palm glows a Sacred Jewel fragment...\that Kikyo has taken away from me!\Why is it in Naraku's possession?\Inuyasha unsheathes the Tetsusaiga in the wind created by Kagura! response:	With Miroku's Wind Tunnel and my sacred arrow...
context: Hey! What're you doing to Kagome?!\With his evil power increased, Naraku has created Kagura...\then Kanna, both of them are his offsprings.\In his palm glows a Sacred Jewel fragment...\that Kikyo has taken away from me!\Why is it in Naraku's possession?\Inuyasha unsheathes the Tetsusaiga in the wind created by Kagura!\With Miroku's Wind Tunnel and my sacred arrow... response:	we shall finally destroy Naraku!
context: With his evil power increased, Naraku has created Kagura...\then Kanna, both of them are his offsprings.\In his palm glows a Sacred Jewel fragment...\that Kikyo has taken away from me!\Why is it in Naraku's possession?\Inuyasha unsheathes the Tetsusaiga in the wind created by Kagura!\With Miroku's Wind Tunnel and my sacred arrow...\we shall finally destroy Naraku! response:	Next on Inuyasha: The Wind Scar Fails
context: then Kanna, both of them are his offsprings.\In his palm glows a Sacred Jewel fragment...\that Kikyo has taken away from me!\Why is it in Naraku's possession?\Inuyasha unsheathes the Tetsusaiga in the wind created by Kagura!\With Miroku's Wind Tunnel and my sacred arrow...\we shall finally destroy Naraku!\Next on Inuyasha: The Wind Scar Fails response:	Look forward to it!
