context: King Joseph of Gallia's recent attack response:	came completely out of the blue!
context: What's going on?\They're talking about that...\The Queen's Knight?\That's right!\The play is extremely popular with the townspeople.\Come at me, evil and cruel army of Gallia!\Here I come!\Damn you, Incompetent King Joseph! response:	Our beloved Queen has sent me
context: They're talking about that...\The Queen's Knight?\That's right!\The play is extremely popular with the townspeople.\Come at me, evil and cruel army of Gallia!\Here I come!\Damn you, Incompetent King Joseph!\Our beloved Queen has sent me response:	to face any enemy of the Brimir faith!
context: The Queen's Knight?\That's right!\The play is extremely popular with the townspeople.\Come at me, evil and cruel army of Gallia!\Here I come!\Damn you, Incompetent King Joseph!\Our beloved Queen has sent me\to face any enemy of the Brimir faith! response:	I am the Swordsman of the Wind, Hiligil Sartom!
context: That's right!\The play is extremely popular with the townspeople.\Come at me, evil and cruel army of Gallia!\Here I come!\Damn you, Incompetent King Joseph!\Our beloved Queen has sent me\to face any enemy of the Brimir faith!\I am the Swordsman of the Wind, Hiligil Sartom! response:	Silence, Hiligil Sartom!
context: The play is extremely popular with the townspeople.\Come at me, evil and cruel army of Gallia!\Here I come!\Damn you, Incompetent King Joseph!\Our beloved Queen has sent me\to face any enemy of the Brimir faith!\I am the Swordsman of the Wind, Hiligil Sartom!\Silence, Hiligil Sartom! response:	Take this!
context: Come at me, evil and cruel army of Gallia!\Here I come!\Damn you, Incompetent King Joseph!\Our beloved Queen has sent me\to face any enemy of the Brimir faith!\I am the Swordsman of the Wind, Hiligil Sartom!\Silence, Hiligil Sartom!\Take this! response:	Is Hiligil supposed to be me?
context: Here I come!\Damn you, Incompetent King Joseph!\Our beloved Queen has sent me\to face any enemy of the Brimir faith!\I am the Swordsman of the Wind, Hiligil Sartom!\Silence, Hiligil Sartom!\Take this!\Is Hiligil supposed to be me? response:	Looks like it.
context: Damn you, Incompetent King Joseph!\Our beloved Queen has sent me\to face any enemy of the Brimir faith!\I am the Swordsman of the Wind, Hiligil Sartom!\Silence, Hiligil Sartom!\Take this!\Is Hiligil supposed to be me?\Looks like it. response:	Go, Saito!
context: Our beloved Queen has sent me\to face any enemy of the Brimir faith!\I am the Swordsman of the Wind, Hiligil Sartom!\Silence, Hiligil Sartom!\Take this!\Is Hiligil supposed to be me?\Looks like it.\Go, Saito! response:	I'm done for!
context: to face any enemy of the Brimir faith!\I am the Swordsman of the Wind, Hiligil Sartom!\Silence, Hiligil Sartom!\Take this!\Is Hiligil supposed to be me?\Looks like it.\Go, Saito!\I'm done for! response:	Now for the final blow!
context: I am the Swordsman of the Wind, Hiligil Sartom!\Silence, Hiligil Sartom!\Take this!\Is Hiligil supposed to be me?\Looks like it.\Go, Saito!\I'm done for!\Now for the final blow! response:	I finished him!
context: Silence, Hiligil Sartom!\Take this!\Is Hiligil supposed to be me?\Looks like it.\Go, Saito!\I'm done for!\Now for the final blow!\I finished him! response:	What a horrible play.
context: Take this!\Is Hiligil supposed to be me?\Looks like it.\Go, Saito!\I'm done for!\Now for the final blow!\I finished him!\What a horrible play. response:	You were wonderful, Saito!
context: Is Hiligil supposed to be me?\Looks like it.\Go, Saito!\I'm done for!\Now for the final blow!\I finished him!\What a horrible play.\You were wonderful, Saito! response:	Truly great!
context: Looks like it.\Go, Saito!\I'm done for!\Now for the final blow!\I finished him!\What a horrible play.\You were wonderful, Saito!\Truly great! response:	By now, Saito's the hero who saved His Holiness!
context: Go, Saito!\I'm done for!\Now for the final blow!\I finished him!\What a horrible play.\You were wonderful, Saito!\Truly great!\By now, Saito's the hero who saved His Holiness! response:	All the town girls are in love with him.
context: I'm done for!\Now for the final blow!\I finished him!\What a horrible play.\You were wonderful, Saito!\Truly great!\By now, Saito's the hero who saved His Holiness!\All the town girls are in love with him. response:	The town girls are...
context: Now for the final blow!\I finished him!\What a horrible play.\You were wonderful, Saito!\Truly great!\By now, Saito's the hero who saved His Holiness!\All the town girls are in love with him.\The town girls are... response:	We've got to find a mansion...
context: I finished him!\What a horrible play.\You were wonderful, Saito!\Truly great!\By now, Saito's the hero who saved His Holiness!\All the town girls are in love with him.\The town girls are...\We've got to find a mansion... response:	Yes!
context: What a horrible play.\You were wonderful, Saito!\Truly great!\By now, Saito's the hero who saved His Holiness!\All the town girls are in love with him.\The town girls are...\We've got to find a mansion...\Yes! response:	Me? Be queen?
context: You were wonderful, Saito!\Truly great!\By now, Saito's the hero who saved His Holiness!\All the town girls are in love with him.\The town girls are...\We've got to find a mansion...\Yes!\Me? Be queen? response:	Yes.
context: Truly great!\By now, Saito's the hero who saved His Holiness!\All the town girls are in love with him.\The town girls are...\We've got to find a mansion...\Yes!\Me? Be queen?\Yes. response:	Castelmore thinks so, too.
context: By now, Saito's the hero who saved His Holiness!\All the town girls are in love with him.\The town girls are...\We've got to find a mansion...\Yes!\Me? Be queen?\Yes.\Castelmore thinks so, too. response:	Castelmore was loyal to your father,
context: All the town girls are in love with him.\The town girls are...\We've got to find a mansion...\Yes!\Me? Be queen?\Yes.\Castelmore thinks so, too.\Castelmore was loyal to your father, response:	the Lord of Orleans.
context: The town girls are...\We've got to find a mansion...\Yes!\Me? Be queen?\Yes.\Castelmore thinks so, too.\Castelmore was loyal to your father,\the Lord of Orleans. response:	Right now, Gallia has forgotten its pride.
context: We've got to find a mansion...\Yes!\Me? Be queen?\Yes.\Castelmore thinks so, too.\Castelmore was loyal to your father,\the Lord of Orleans.\Right now, Gallia has forgotten its pride. response:	It lies in confusion.
context: Yes!\Me? Be queen?\Yes.\Castelmore thinks so, too.\Castelmore was loyal to your father,\the Lord of Orleans.\Right now, Gallia has forgotten its pride.\It lies in confusion. response:	The people have forgotten how to smile,
context: Me? Be queen?\Yes.\Castelmore thinks so, too.\Castelmore was loyal to your father,\the Lord of Orleans.\Right now, Gallia has forgotten its pride.\It lies in confusion.\The people have forgotten how to smile, response:	and nobody knows what to do next.
context: Yes.\Castelmore thinks so, too.\Castelmore was loyal to your father,\the Lord of Orleans.\Right now, Gallia has forgotten its pride.\It lies in confusion.\The people have forgotten how to smile,\and nobody knows what to do next. response:	This country needs you on the throne
context: Castelmore thinks so, too.\Castelmore was loyal to your father,\the Lord of Orleans.\Right now, Gallia has forgotten its pride.\It lies in confusion.\The people have forgotten how to smile,\and nobody knows what to do next.\This country needs you on the throne response:	to make itself whole again.
context: Castelmore was loyal to your father,\the Lord of Orleans.\Right now, Gallia has forgotten its pride.\It lies in confusion.\The people have forgotten how to smile,\and nobody knows what to do next.\This country needs you on the throne\to make itself whole again. response:	Charlotte.
context: the Lord of Orleans.\Right now, Gallia has forgotten its pride.\It lies in confusion.\The people have forgotten how to smile,\and nobody knows what to do next.\This country needs you on the throne\to make itself whole again.\Charlotte. response:	Let me tell you something your father told me long ago.
context: Right now, Gallia has forgotten its pride.\It lies in confusion.\The people have forgotten how to smile,\and nobody knows what to do next.\This country needs you on the throne\to make itself whole again.\Charlotte.\Let me tell you something your father told me long ago. response:	He said, We must make this land better.
context: It lies in confusion.\The people have forgotten how to smile,\and nobody knows what to do next.\This country needs you on the throne\to make itself whole again.\Charlotte.\Let me tell you something your father told me long ago.\He said, We must make this land better. response:	This land?
context: The people have forgotten how to smile,\and nobody knows what to do next.\This country needs you on the throne\to make itself whole again.\Charlotte.\Let me tell you something your father told me long ago.\He said, We must make this land better.\This land? response:	Yes.
context: and nobody knows what to do next.\This country needs you on the throne\to make itself whole again.\Charlotte.\Let me tell you something your father told me long ago.\He said, We must make this land better.\This land?\Yes. response:	And I would like to honor that memory.
context: This country needs you on the throne\to make itself whole again.\Charlotte.\Let me tell you something your father told me long ago.\He said, We must make this land better.\This land?\Yes.\And I would like to honor that memory. response:	You will agree, won't you, Charlotte?
context: to make itself whole again.\Charlotte.\Let me tell you something your father told me long ago.\He said, We must make this land better.\This land?\Yes.\And I would like to honor that memory.\You will agree, won't you, Charlotte? response:	We've been searching for three days now. Jeez.
context: Charlotte.\Let me tell you something your father told me long ago.\He said, We must make this land better.\This land?\Yes.\And I would like to honor that memory.\You will agree, won't you, Charlotte?\We've been searching for three days now. Jeez. response:	How far do we have to go to find a decent mansion?
context: Let me tell you something your father told me long ago.\He said, We must make this land better.\This land?\Yes.\And I would like to honor that memory.\You will agree, won't you, Charlotte?\We've been searching for three days now. Jeez.\How far do we have to go to find a decent mansion? response:	It's because you have to bicker about everything.
context: He said, We must make this land better.\This land?\Yes.\And I would like to honor that memory.\You will agree, won't you, Charlotte?\We've been searching for three days now. Jeez.\How far do we have to go to find a decent mansion?\It's because you have to bicker about everything. response:	It's no wonder we haven't found anything.
context: This land?\Yes.\And I would like to honor that memory.\You will agree, won't you, Charlotte?\We've been searching for three days now. Jeez.\How far do we have to go to find a decent mansion?\It's because you have to bicker about everything.\It's no wonder we haven't found anything. response:	A-Are you saying this is all my fault?
context: Yes.\And I would like to honor that memory.\You will agree, won't you, Charlotte?\We've been searching for three days now. Jeez.\How far do we have to go to find a decent mansion?\It's because you have to bicker about everything.\It's no wonder we haven't found anything.\A-Are you saying this is all my fault? response:	Saito.
context: And I would like to honor that memory.\You will agree, won't you, Charlotte?\We've been searching for three days now. Jeez.\How far do we have to go to find a decent mansion?\It's because you have to bicker about everything.\It's no wonder we haven't found anything.\A-Are you saying this is all my fault?\Saito. response:	Miss Valliere.
context: You will agree, won't you, Charlotte?\We've been searching for three days now. Jeez.\How far do we have to go to find a decent mansion?\It's because you have to bicker about everything.\It's no wonder we haven't found anything.\A-Are you saying this is all my fault?\Saito.\Miss Valliere. response:	Agnes?
context: We've been searching for three days now. Jeez.\How far do we have to go to find a decent mansion?\It's because you have to bicker about everything.\It's no wonder we haven't found anything.\A-Are you saying this is all my fault?\Saito.\Miss Valliere.\Agnes? response:	I've been looking for you two.
context: How far do we have to go to find a decent mansion?\It's because you have to bicker about everything.\It's no wonder we haven't found anything.\A-Are you saying this is all my fault?\Saito.\Miss Valliere.\Agnes?\I've been looking for you two. response:	Queen Henrietta wishes to see you.
context: It's because you have to bicker about everything.\It's no wonder we haven't found anything.\A-Are you saying this is all my fault?\Saito.\Miss Valliere.\Agnes?\I've been looking for you two.\Queen Henrietta wishes to see you. response:	Please go to her court at once.
context: It's no wonder we haven't found anything.\A-Are you saying this is all my fault?\Saito.\Miss Valliere.\Agnes?\I've been looking for you two.\Queen Henrietta wishes to see you.\Please go to her court at once. response:	I got you into danger in Romalia.
context: A-Are you saying this is all my fault?\Saito.\Miss Valliere.\Agnes?\I've been looking for you two.\Queen Henrietta wishes to see you.\Please go to her court at once.\I got you into danger in Romalia. response:	Oh, but it's fine.
context: Saito.\Miss Valliere.\Agnes?\I've been looking for you two.\Queen Henrietta wishes to see you.\Please go to her court at once.\I got you into danger in Romalia.\Oh, but it's fine. response:	This is not to make up for that, but I
context: Miss Valliere.\Agnes?\I've been looking for you two.\Queen Henrietta wishes to see you.\Please go to her court at once.\I got you into danger in Romalia.\Oh, but it's fine.\This is not to make up for that, but I response:	wanted you to know I was sorry.
context: Agnes?\I've been looking for you two.\Queen Henrietta wishes to see you.\Please go to her court at once.\I got you into danger in Romalia.\Oh, but it's fine.\This is not to make up for that, but I\wanted you to know I was sorry. response:	Thank you.
context: I've been looking for you two.\Queen Henrietta wishes to see you.\Please go to her court at once.\I got you into danger in Romalia.\Oh, but it's fine.\This is not to make up for that, but I\wanted you to know I was sorry.\Thank you. response:	That reminds me.
context: Queen Henrietta wishes to see you.\Please go to her court at once.\I got you into danger in Romalia.\Oh, but it's fine.\This is not to make up for that, but I\wanted you to know I was sorry.\Thank you.\That reminds me. response:	I received a message from Gallia.
context: Please go to her court at once.\I got you into danger in Romalia.\Oh, but it's fine.\This is not to make up for that, but I\wanted you to know I was sorry.\Thank you.\That reminds me.\I received a message from Gallia. response:	It looks like Tabitha will become the new ruler of Gallia.
context: I got you into danger in Romalia.\Oh, but it's fine.\This is not to make up for that, but I\wanted you to know I was sorry.\Thank you.\That reminds me.\I received a message from Gallia.\It looks like Tabitha will become the new ruler of Gallia. response:	Tabitha?!
context: Oh, but it's fine.\This is not to make up for that, but I\wanted you to know I was sorry.\Thank you.\That reminds me.\I received a message from Gallia.\It looks like Tabitha will become the new ruler of Gallia.\Tabitha?! response:	Yes.
context: This is not to make up for that, but I\wanted you to know I was sorry.\Thank you.\That reminds me.\I received a message from Gallia.\It looks like Tabitha will become the new ruler of Gallia.\Tabitha?!\Yes. response:	I suppose officially it will be Queen Charlotte.
context: wanted you to know I was sorry.\Thank you.\That reminds me.\I received a message from Gallia.\It looks like Tabitha will become the new ruler of Gallia.\Tabitha?!\Yes.\I suppose officially it will be Queen Charlotte. response:	I wonder if that's what she really wants.
context: Thank you.\That reminds me.\I received a message from Gallia.\It looks like Tabitha will become the new ruler of Gallia.\Tabitha?!\Yes.\I suppose officially it will be Queen Charlotte.\I wonder if that's what she really wants. response:	I worry about that as well.
context: That reminds me.\I received a message from Gallia.\It looks like Tabitha will become the new ruler of Gallia.\Tabitha?!\Yes.\I suppose officially it will be Queen Charlotte.\I wonder if that's what she really wants.\I worry about that as well. response:	Then again, it was Tabitha's decision.
context: I received a message from Gallia.\It looks like Tabitha will become the new ruler of Gallia.\Tabitha?!\Yes.\I suppose officially it will be Queen Charlotte.\I wonder if that's what she really wants.\I worry about that as well.\Then again, it was Tabitha's decision. response:	I'm sure she gave it plenty of thought.
context: It looks like Tabitha will become the new ruler of Gallia.\Tabitha?!\Yes.\I suppose officially it will be Queen Charlotte.\I wonder if that's what she really wants.\I worry about that as well.\Then again, it was Tabitha's decision.\I'm sure she gave it plenty of thought. response:	I'm sure she did...
context: Tabitha?!\Yes.\I suppose officially it will be Queen Charlotte.\I wonder if that's what she really wants.\I worry about that as well.\Then again, it was Tabitha's decision.\I'm sure she gave it plenty of thought.\I'm sure she did... response:	Shall we enjoy this while it's still warm?
context: Yes.\I suppose officially it will be Queen Charlotte.\I wonder if that's what she really wants.\I worry about that as well.\Then again, it was Tabitha's decision.\I'm sure she gave it plenty of thought.\I'm sure she did...\Shall we enjoy this while it's still warm? response:	I'm honored that you received us like this.
context: I suppose officially it will be Queen Charlotte.\I wonder if that's what she really wants.\I worry about that as well.\Then again, it was Tabitha's decision.\I'm sure she gave it plenty of thought.\I'm sure she did...\Shall we enjoy this while it's still warm?\I'm honored that you received us like this. response:	Indeed. It was delicious.
context: I wonder if that's what she really wants.\I worry about that as well.\Then again, it was Tabitha's decision.\I'm sure she gave it plenty of thought.\I'm sure she did...\Shall we enjoy this while it's still warm?\I'm honored that you received us like this.\Indeed. It was delicious. response:	Now, Saito, for all you have done to help,
context: I worry about that as well.\Then again, it was Tabitha's decision.\I'm sure she gave it plenty of thought.\I'm sure she did...\Shall we enjoy this while it's still warm?\I'm honored that you received us like this.\Indeed. It was delicious.\Now, Saito, for all you have done to help, response:	you would be entitled to a reward
context: Then again, it was Tabitha's decision.\I'm sure she gave it plenty of thought.\I'm sure she did...\Shall we enjoy this while it's still warm?\I'm honored that you received us like this.\Indeed. It was delicious.\Now, Saito, for all you have done to help,\you would be entitled to a reward response:	worthy of your status as chevalier.
context: I'm sure she gave it plenty of thought.\I'm sure she did...\Shall we enjoy this while it's still warm?\I'm honored that you received us like this.\Indeed. It was delicious.\Now, Saito, for all you have done to help,\you would be entitled to a reward\worthy of your status as chevalier. response:	However, right now...
context: I'm sure she did...\Shall we enjoy this while it's still warm?\I'm honored that you received us like this.\Indeed. It was delicious.\Now, Saito, for all you have done to help,\you would be entitled to a reward\worthy of your status as chevalier.\However, right now... response:	It's fine. I don't need a reward.
context: Shall we enjoy this while it's still warm?\I'm honored that you received us like this.\Indeed. It was delicious.\Now, Saito, for all you have done to help,\you would be entitled to a reward\worthy of your status as chevalier.\However, right now...\It's fine. I don't need a reward. response:	No, I must insist.
context: I'm honored that you received us like this.\Indeed. It was delicious.\Now, Saito, for all you have done to help,\you would be entitled to a reward\worthy of your status as chevalier.\However, right now...\It's fine. I don't need a reward.\No, I must insist. response:	I know it's meager, but I'd like to give you
context: Indeed. It was delicious.\Now, Saito, for all you have done to help,\you would be entitled to a reward\worthy of your status as chevalier.\However, right now...\It's fine. I don't need a reward.\No, I must insist.\I know it's meager, but I'd like to give you response:	a small fiefdom from my own holdings.
context: Now, Saito, for all you have done to help,\you would be entitled to a reward\worthy of your status as chevalier.\However, right now...\It's fine. I don't need a reward.\No, I must insist.\I know it's meager, but I'd like to give you\a small fiefdom from my own holdings. response:	F-Fiefdom?!
context: you would be entitled to a reward\worthy of your status as chevalier.\However, right now...\It's fine. I don't need a reward.\No, I must insist.\I know it's meager, but I'd like to give you\a small fiefdom from my own holdings.\F-Fiefdom?! response:	What's a fiefdom?
context: worthy of your status as chevalier.\However, right now...\It's fine. I don't need a reward.\No, I must insist.\I know it's meager, but I'd like to give you\a small fiefdom from my own holdings.\F-Fiefdom?!\What's a fiefdom? response:	If you are given a fiefdom,
context: However, right now...\It's fine. I don't need a reward.\No, I must insist.\I know it's meager, but I'd like to give you\a small fiefdom from my own holdings.\F-Fiefdom?!\What's a fiefdom?\If you are given a fiefdom, response:	it would mean that you would become
context: It's fine. I don't need a reward.\No, I must insist.\I know it's meager, but I'd like to give you\a small fiefdom from my own holdings.\F-Fiefdom?!\What's a fiefdom?\If you are given a fiefdom,\it would mean that you would become response:	that holding's king! Its lord!
context: No, I must insist.\I know it's meager, but I'd like to give you\a small fiefdom from my own holdings.\F-Fiefdom?!\What's a fiefdom?\If you are given a fiefdom,\it would mean that you would become\that holding's king! Its lord! response:	A lord? Me?
context: I know it's meager, but I'd like to give you\a small fiefdom from my own holdings.\F-Fiefdom?!\What's a fiefdom?\If you are given a fiefdom,\it would mean that you would become\that holding's king! Its lord!\A lord? Me? response:	There's a piece of land in western Tristainia called De Ornieres.
context: a small fiefdom from my own holdings.\F-Fiefdom?!\What's a fiefdom?\If you are given a fiefdom,\it would mean that you would become\that holding's king! Its lord!\A lord? Me?\There's a piece of land in western Tristainia called De Ornieres. response:	I hope you will like it.
context: F-Fiefdom?!\What's a fiefdom?\If you are given a fiefdom,\it would mean that you would become\that holding's king! Its lord!\A lord? Me?\There's a piece of land in western Tristainia called De Ornieres.\I hope you will like it. response:	But isn't this too much for you?
context: What's a fiefdom?\If you are given a fiefdom,\it would mean that you would become\that holding's king! Its lord!\A lord? Me?\There's a piece of land in western Tristainia called De Ornieres.\I hope you will like it.\But isn't this too much for you? response:	I would feel guilty not rewarding
context: If you are given a fiefdom,\it would mean that you would become\that holding's king! Its lord!\A lord? Me?\There's a piece of land in western Tristainia called De Ornieres.\I hope you will like it.\But isn't this too much for you?\I would feel guilty not rewarding response:	him in some way.
context: it would mean that you would become\that holding's king! Its lord!\A lord? Me?\There's a piece of land in western Tristainia called De Ornieres.\I hope you will like it.\But isn't this too much for you?\I would feel guilty not rewarding\him in some way. response:	Right now, this is all I can do.
context: that holding's king! Its lord!\A lord? Me?\There's a piece of land in western Tristainia called De Ornieres.\I hope you will like it.\But isn't this too much for you?\I would feel guilty not rewarding\him in some way.\Right now, this is all I can do. response:	There's absolutely nothing here, as far as the eye can see.
context: A lord? Me?\There's a piece of land in western Tristainia called De Ornieres.\I hope you will like it.\But isn't this too much for you?\I would feel guilty not rewarding\him in some way.\Right now, this is all I can do.\There's absolutely nothing here, as far as the eye can see. response:	Could there possibly be a mansion out here?
context: There's a piece of land in western Tristainia called De Ornieres.\I hope you will like it.\But isn't this too much for you?\I would feel guilty not rewarding\him in some way.\Right now, this is all I can do.\There's absolutely nothing here, as far as the eye can see.\Could there possibly be a mansion out here? response:	Excuse me.
context: I hope you will like it.\But isn't this too much for you?\I would feel guilty not rewarding\him in some way.\Right now, this is all I can do.\There's absolutely nothing here, as far as the eye can see.\Could there possibly be a mansion out here?\Excuse me. response:	We're trying to find De Ornieres fiefdom.
context: But isn't this too much for you?\I would feel guilty not rewarding\him in some way.\Right now, this is all I can do.\There's absolutely nothing here, as far as the eye can see.\Could there possibly be a mansion out here?\Excuse me.\We're trying to find De Ornieres fiefdom. response:	Then you've found it!
context: I would feel guilty not rewarding\him in some way.\Right now, this is all I can do.\There's absolutely nothing here, as far as the eye can see.\Could there possibly be a mansion out here?\Excuse me.\We're trying to find De Ornieres fiefdom.\Then you've found it! response:	You mean this wasteland is it?
context: him in some way.\Right now, this is all I can do.\There's absolutely nothing here, as far as the eye can see.\Could there possibly be a mansion out here?\Excuse me.\We're trying to find De Ornieres fiefdom.\Then you've found it!\You mean this wasteland is it? response:	What about the mansion?
context: Right now, this is all I can do.\There's absolutely nothing here, as far as the eye can see.\Could there possibly be a mansion out here?\Excuse me.\We're trying to find De Ornieres fiefdom.\Then you've found it!\You mean this wasteland is it?\What about the mansion? response:	Where is the mansion?
context: There's absolutely nothing here, as far as the eye can see.\Could there possibly be a mansion out here?\Excuse me.\We're trying to find De Ornieres fiefdom.\Then you've found it!\You mean this wasteland is it?\What about the mansion?\Where is the mansion? response:	It looks like a haunted mansion.
context: Could there possibly be a mansion out here?\Excuse me.\We're trying to find De Ornieres fiefdom.\Then you've found it!\You mean this wasteland is it?\What about the mansion?\Where is the mansion?\It looks like a haunted mansion. response:	The princess sure likes to joke.
context: Excuse me.\We're trying to find De Ornieres fiefdom.\Then you've found it!\You mean this wasteland is it?\What about the mansion?\Where is the mansion?\It looks like a haunted mansion.\The princess sure likes to joke. response:	They do say your home is your castle.
context: We're trying to find De Ornieres fiefdom.\Then you've found it!\You mean this wasteland is it?\What about the mansion?\Where is the mansion?\It looks like a haunted mansion.\The princess sure likes to joke.\They do say your home is your castle. response:	Well, the princess did give it to me out of the
context: Then you've found it!\You mean this wasteland is it?\What about the mansion?\Where is the mansion?\It looks like a haunted mansion.\The princess sure likes to joke.\They do say your home is your castle.\Well, the princess did give it to me out of the response:	goodness of her heart.
context: You mean this wasteland is it?\What about the mansion?\Where is the mansion?\It looks like a haunted mansion.\The princess sure likes to joke.\They do say your home is your castle.\Well, the princess did give it to me out of the\goodness of her heart. response:	Now hold on!
context: What about the mansion?\Where is the mansion?\It looks like a haunted mansion.\The princess sure likes to joke.\They do say your home is your castle.\Well, the princess did give it to me out of the\goodness of her heart.\Now hold on! response:	Don't tell me you actually want to live here?
context: Where is the mansion?\It looks like a haunted mansion.\The princess sure likes to joke.\They do say your home is your castle.\Well, the princess did give it to me out of the\goodness of her heart.\Now hold on!\Don't tell me you actually want to live here? response:	You can go back if you don't like it, Miss Valliere.
context: It looks like a haunted mansion.\The princess sure likes to joke.\They do say your home is your castle.\Well, the princess did give it to me out of the\goodness of her heart.\Now hold on!\Don't tell me you actually want to live here?\You can go back if you don't like it, Miss Valliere. response:	Saito and I can live here all alone.
context: The princess sure likes to joke.\They do say your home is your castle.\Well, the princess did give it to me out of the\goodness of her heart.\Now hold on!\Don't tell me you actually want to live here?\You can go back if you don't like it, Miss Valliere.\Saito and I can live here all alone. response:	I will live here!
context: They do say your home is your castle.\Well, the princess did give it to me out of the\goodness of her heart.\Now hold on!\Don't tell me you actually want to live here?\You can go back if you don't like it, Miss Valliere.\Saito and I can live here all alone.\I will live here! response:	Of course I am going to live here!
context: Well, the princess did give it to me out of the\goodness of her heart.\Now hold on!\Don't tell me you actually want to live here?\You can go back if you don't like it, Miss Valliere.\Saito and I can live here all alone.\I will live here!\Of course I am going to live here! response:	Would you rather sleep on his right or on his left?
context: goodness of her heart.\Now hold on!\Don't tell me you actually want to live here?\You can go back if you don't like it, Miss Valliere.\Saito and I can live here all alone.\I will live here!\Of course I am going to live here!\Would you rather sleep on his right or on his left? response:	There are a million other rooms,
context: Now hold on!\Don't tell me you actually want to live here?\You can go back if you don't like it, Miss Valliere.\Saito and I can live here all alone.\I will live here!\Of course I am going to live here!\Would you rather sleep on his right or on his left?\There are a million other rooms, response:	so go sleep somewhere else!
context: Don't tell me you actually want to live here?\You can go back if you don't like it, Miss Valliere.\Saito and I can live here all alone.\I will live here!\Of course I am going to live here!\Would you rather sleep on his right or on his left?\There are a million other rooms,\so go sleep somewhere else! response:	But I'm scared to sleep here alone!
context: You can go back if you don't like it, Miss Valliere.\Saito and I can live here all alone.\I will live here!\Of course I am going to live here!\Would you rather sleep on his right or on his left?\There are a million other rooms,\so go sleep somewhere else!\But I'm scared to sleep here alone! response:	What if a ghost comes?
context: Saito and I can live here all alone.\I will live here!\Of course I am going to live here!\Would you rather sleep on his right or on his left?\There are a million other rooms,\so go sleep somewhere else!\But I'm scared to sleep here alone!\What if a ghost comes? response:	Can't we all just get along?
context: I will live here!\Of course I am going to live here!\Would you rather sleep on his right or on his left?\There are a million other rooms,\so go sleep somewhere else!\But I'm scared to sleep here alone!\What if a ghost comes?\Can't we all just get along? response:	Tabitha!
context: Of course I am going to live here!\Would you rather sleep on his right or on his left?\There are a million other rooms,\so go sleep somewhere else!\But I'm scared to sleep here alone!\What if a ghost comes?\Can't we all just get along?\Tabitha! response:	What are you doing here?
context: Would you rather sleep on his right or on his left?\There are a million other rooms,\so go sleep somewhere else!\But I'm scared to sleep here alone!\What if a ghost comes?\Can't we all just get along?\Tabitha!\What are you doing here? response:	Moving in.
context: There are a million other rooms,\so go sleep somewhere else!\But I'm scared to sleep here alone!\What if a ghost comes?\Can't we all just get along?\Tabitha!\What are you doing here?\Moving in. response:	You put the coronation on hold?!
context: so go sleep somewhere else!\But I'm scared to sleep here alone!\What if a ghost comes?\Can't we all just get along?\Tabitha!\What are you doing here?\Moving in.\You put the coronation on hold?! response:	I'm going to sleep.
context: But I'm scared to sleep here alone!\What if a ghost comes?\Can't we all just get along?\Tabitha!\What are you doing here?\Moving in.\You put the coronation on hold?!\I'm going to sleep. response:	Wait, Tabitha, that's...
context: What if a ghost comes?\Can't we all just get along?\Tabitha!\What are you doing here?\Moving in.\You put the coronation on hold?!\I'm going to sleep.\Wait, Tabitha, that's... response:	Looks like she's really tired.
context: Can't we all just get along?\Tabitha!\What are you doing here?\Moving in.\You put the coronation on hold?!\I'm going to sleep.\Wait, Tabitha, that's...\Looks like she's really tired. response:	Let's just leave her.
context: Tabitha!\What are you doing here?\Moving in.\You put the coronation on hold?!\I'm going to sleep.\Wait, Tabitha, that's...\Looks like she's really tired.\Let's just leave her. response:	It is very late.
context: What are you doing here?\Moving in.\You put the coronation on hold?!\I'm going to sleep.\Wait, Tabitha, that's...\Looks like she's really tired.\Let's just leave her.\It is very late. response:	Goodnight, Miss Valliere.
context: Moving in.\You put the coronation on hold?!\I'm going to sleep.\Wait, Tabitha, that's...\Looks like she's really tired.\Let's just leave her.\It is very late.\Goodnight, Miss Valliere. response:	Louise, calm down!
context: You put the coronation on hold?!\I'm going to sleep.\Wait, Tabitha, that's...\Looks like she's really tired.\Let's just leave her.\It is very late.\Goodnight, Miss Valliere.\Louise, calm down! response:	We're finally in our own mansion!
context: I'm going to sleep.\Wait, Tabitha, that's...\Looks like she's really tired.\Let's just leave her.\It is very late.\Goodnight, Miss Valliere.\Louise, calm down!\We're finally in our own mansion! response:	This is even worse than being at the academy!
context: Wait, Tabitha, that's...\Looks like she's really tired.\Let's just leave her.\It is very late.\Goodnight, Miss Valliere.\Louise, calm down!\We're finally in our own mansion!\This is even worse than being at the academy! response:	Jeez, this stinks!
context: Looks like she's really tired.\Let's just leave her.\It is very late.\Goodnight, Miss Valliere.\Louise, calm down!\We're finally in our own mansion!\This is even worse than being at the academy!\Jeez, this stinks! response:	This mansion was supposed to be just for me and Saito,
context: Let's just leave her.\It is very late.\Goodnight, Miss Valliere.\Louise, calm down!\We're finally in our own mansion!\This is even worse than being at the academy!\Jeez, this stinks!\This mansion was supposed to be just for me and Saito, response:	but all these people keep getting in the way!
context: It is very late.\Goodnight, Miss Valliere.\Louise, calm down!\We're finally in our own mansion!\This is even worse than being at the academy!\Jeez, this stinks!\This mansion was supposed to be just for me and Saito,\but all these people keep getting in the way! response:	Tune in next time for The Maidens of De Ornieres.
