context: Just like a sickness that continues to progress without any visible symptoms, response:	there was someone hiding in our town of Morioh,
context: Yotsuba Electronics\Service Card\And this is a card from Yotsuba Electronics.\Now, this is the important part.\At Kameyu, for example, you can get cash back for these.\Ah, a-are you... I got it, Josuke!\I know what you're thinking!\Let's go, you guys! response:	Rumble
context: Service Card\And this is a card from Yotsuba Electronics.\Now, this is the important part.\At Kameyu, for example, you can get cash back for these.\Ah, a-are you... I got it, Josuke!\I know what you're thinking!\Let's go, you guys!\Rumble response:	With only one or two, they'd just be scraps of paper...
context: And this is a card from Yotsuba Electronics.\Now, this is the important part.\At Kameyu, for example, you can get cash back for these.\Ah, a-are you... I got it, Josuke!\I know what you're thinking!\Let's go, you guys!\Rumble\With only one or two, they'd just be scraps of paper... response:	But if Harvest happened to pick up
context: Now, this is the important part.\At Kameyu, for example, you can get cash back for these.\Ah, a-are you... I got it, Josuke!\I know what you're thinking!\Let's go, you guys!\Rumble\With only one or two, they'd just be scraps of paper...\But if Harvest happened to pick up response:	the thousands and ten thousands that are thrown away around town...
context: At Kameyu, for example, you can get cash back for these.\Ah, a-are you... I got it, Josuke!\I know what you're thinking!\Let's go, you guys!\Rumble\With only one or two, they'd just be scraps of paper...\But if Harvest happened to pick up\the thousands and ten thousands that are thrown away around town... response:	Found it.
context: Ah, a-are you... I got it, Josuke!\I know what you're thinking!\Let's go, you guys!\Rumble\With only one or two, they'd just be scraps of paper...\But if Harvest happened to pick up\the thousands and ten thousands that are thrown away around town...\Found it. response:	Inside this trash can!
context: I know what you're thinking!\Let's go, you guys!\Rumble\With only one or two, they'd just be scraps of paper...\But if Harvest happened to pick up\the thousands and ten thousands that are thrown away around town...\Found it.\Inside this trash can! response:	Inside that trash can!
context: Let's go, you guys!\Rumble\With only one or two, they'd just be scraps of paper...\But if Harvest happened to pick up\the thousands and ten thousands that are thrown away around town...\Found it.\Inside this trash can!\Inside that trash can! response:	Found it. Found it.
context: Rumble\With only one or two, they'd just be scraps of paper...\But if Harvest happened to pick up\the thousands and ten thousands that are thrown away around town...\Found it.\Inside this trash can!\Inside that trash can!\Found it. Found it. response:	Found it.
context: With only one or two, they'd just be scraps of paper...\But if Harvest happened to pick up\the thousands and ten thousands that are thrown away around town...\Found it.\Inside this trash can!\Inside that trash can!\Found it. Found it.\Found it. response:	Found it. Found it. Found it.
context: But if Harvest happened to pick up\the thousands and ten thousands that are thrown away around town...\Found it.\Inside this trash can!\Inside that trash can!\Found it. Found it.\Found it.\Found it. Found it. Found it. response:	Found it. Found it. Found it.
context: the thousands and ten thousands that are thrown away around town...\Found it.\Inside this trash can!\Inside that trash can!\Found it. Found it.\Found it.\Found it. Found it. Found it.\Found it. Found it. Found it. response:	Th-They just keep piling up one after another!
context: Found it.\Inside this trash can!\Inside that trash can!\Found it. Found it.\Found it.\Found it. Found it. Found it.\Found it. Found it. Found it.\Th-They just keep piling up one after another! response:	Wh-What an amazing Stand! That's awesome, Shigechi!
context: Inside this trash can!\Inside that trash can!\Found it. Found it.\Found it.\Found it. Found it. Found it.\Found it. Found it. Found it.\Th-They just keep piling up one after another!\Wh-What an amazing Stand! That's awesome, Shigechi! response:	I got complimented again.
context: Inside that trash can!\Found it. Found it.\Found it.\Found it. Found it. Found it.\Found it. Found it. Found it.\Th-They just keep piling up one after another!\Wh-What an amazing Stand! That's awesome, Shigechi!\I got complimented again. response:	We'll fix the ripped pieces of paper with Shining Diamond.
context: Found it. Found it.\Found it.\Found it. Found it. Found it.\Found it. Found it. Found it.\Th-They just keep piling up one after another!\Wh-What an amazing Stand! That's awesome, Shigechi!\I got complimented again.\We'll fix the ripped pieces of paper with Shining Diamond. response:	Yes! Do we have tens of thousands now?
context: Found it.\Found it. Found it. Found it.\Found it. Found it. Found it.\Th-They just keep piling up one after another!\Wh-What an amazing Stand! That's awesome, Shigechi!\I got complimented again.\We'll fix the ripped pieces of paper with Shining Diamond.\Yes! Do we have tens of thousands now? response:	No, it's definitely over 100,000 by now.
context: Found it. Found it. Found it.\Found it. Found it. Found it.\Th-They just keep piling up one after another!\Wh-What an amazing Stand! That's awesome, Shigechi!\I got complimented again.\We'll fix the ripped pieces of paper with Shining Diamond.\Yes! Do we have tens of thousands now?\No, it's definitely over 100,000 by now. response:	Yes!
context: Found it. Found it. Found it.\Th-They just keep piling up one after another!\Wh-What an amazing Stand! That's awesome, Shigechi!\I got complimented again.\We'll fix the ripped pieces of paper with Shining Diamond.\Yes! Do we have tens of thousands now?\No, it's definitely over 100,000 by now.\Yes! response:	Grab
context: Th-They just keep piling up one after another!\Wh-What an amazing Stand! That's awesome, Shigechi!\I got complimented again.\We'll fix the ripped pieces of paper with Shining Diamond.\Yes! Do we have tens of thousands now?\No, it's definitely over 100,000 by now.\Yes!\Grab response:	We're an invincible trio!
context: Wh-What an amazing Stand! That's awesome, Shigechi!\I got complimented again.\We'll fix the ripped pieces of paper with Shining Diamond.\Yes! Do we have tens of thousands now?\No, it's definitely over 100,000 by now.\Yes!\Grab\We're an invincible trio! response:	Let's go get our money!
context: I got complimented again.\We'll fix the ripped pieces of paper with Shining Diamond.\Yes! Do we have tens of thousands now?\No, it's definitely over 100,000 by now.\Yes!\Grab\We're an invincible trio!\Let's go get our money! response:	But, Josuke, you sure are something.
context: We'll fix the ripped pieces of paper with Shining Diamond.\Yes! Do we have tens of thousands now?\No, it's definitely over 100,000 by now.\Yes!\Grab\We're an invincible trio!\Let's go get our money!\But, Josuke, you sure are something. response:	After you went on about pride and junk...
context: Yes! Do we have tens of thousands now?\No, it's definitely over 100,000 by now.\Yes!\Grab\We're an invincible trio!\Let's go get our money!\But, Josuke, you sure are something.\After you went on about pride and junk... response:	Well, in this case, everyone's happy, so it's fine.
context: No, it's definitely over 100,000 by now.\Yes!\Grab\We're an invincible trio!\Let's go get our money!\But, Josuke, you sure are something.\After you went on about pride and junk...\Well, in this case, everyone's happy, so it's fine. response:	F-Friendship is great...
context: Yes!\Grab\We're an invincible trio!\Let's go get our money!\But, Josuke, you sure are something.\After you went on about pride and junk...\Well, in this case, everyone's happy, so it's fine.\F-Friendship is great... response:	O-Okuyasu, J-Josuke, I wonder if it'll be okay.
context: Grab\We're an invincible trio!\Let's go get our money!\But, Josuke, you sure are something.\After you went on about pride and junk...\Well, in this case, everyone's happy, so it's fine.\F-Friendship is great...\O-Okuyasu, J-Josuke, I wonder if it'll be okay. response:	Will it turn into money that easily?
context: We're an invincible trio!\Let's go get our money!\But, Josuke, you sure are something.\After you went on about pride and junk...\Well, in this case, everyone's happy, so it's fine.\F-Friendship is great...\O-Okuyasu, J-Josuke, I wonder if it'll be okay.\Will it turn into money that easily? response:	Calm down, Shigechi. Believe in Josuke.
context: Let's go get our money!\But, Josuke, you sure are something.\After you went on about pride and junk...\Well, in this case, everyone's happy, so it's fine.\F-Friendship is great...\O-Okuyasu, J-Josuke, I wonder if it'll be okay.\Will it turn into money that easily?\Calm down, Shigechi. Believe in Josuke. response:	That's Okuyasu and...
context: But, Josuke, you sure are something.\After you went on about pride and junk...\Well, in this case, everyone's happy, so it's fine.\F-Friendship is great...\O-Okuyasu, J-Josuke, I wonder if it'll be okay.\Will it turn into money that easily?\Calm down, Shigechi. Believe in Josuke.\That's Okuyasu and... response:	I wonder who that is.
context: After you went on about pride and junk...\Well, in this case, everyone's happy, so it's fine.\F-Friendship is great...\O-Okuyasu, J-Josuke, I wonder if it'll be okay.\Will it turn into money that easily?\Calm down, Shigechi. Believe in Josuke.\That's Okuyasu and...\I wonder who that is. response:	Okuyasu
context: Well, in this case, everyone's happy, so it's fine.\F-Friendship is great...\O-Okuyasu, J-Josuke, I wonder if it'll be okay.\Will it turn into money that easily?\Calm down, Shigechi. Believe in Josuke.\That's Okuyasu and...\I wonder who that is.\Okuyasu response:	Josuke! H-How did it go?
context: F-Friendship is great...\O-Okuyasu, J-Josuke, I wonder if it'll be okay.\Will it turn into money that easily?\Calm down, Shigechi. Believe in Josuke.\That's Okuyasu and...\I wonder who that is.\Okuyasu\Josuke! H-How did it go? response:	Were you able to get the money?
context: O-Okuyasu, J-Josuke, I wonder if it'll be okay.\Will it turn into money that easily?\Calm down, Shigechi. Believe in Josuke.\That's Okuyasu and...\I wonder who that is.\Okuyasu\Josuke! H-How did it go?\Were you able to get the money? response:	Did they tell you to piss off?
context: Will it turn into money that easily?\Calm down, Shigechi. Believe in Josuke.\That's Okuyasu and...\I wonder who that is.\Okuyasu\Josuke! H-How did it go?\Were you able to get the money?\Did they tell you to piss off? response:	I wasn't able to get cash back at the CD shop or the toy store.
context: Calm down, Shigechi. Believe in Josuke.\That's Okuyasu and...\I wonder who that is.\Okuyasu\Josuke! H-How did it go?\Were you able to get the money?\Did they tell you to piss off?\I wasn't able to get cash back at the CD shop or the toy store. response:	But I can exchange the coupons for about 40,000 yen worth of CDs or video games.
context: That's Okuyasu and...\I wonder who that is.\Okuyasu\Josuke! H-How did it go?\Were you able to get the money?\Did they tell you to piss off?\I wasn't able to get cash back at the CD shop or the toy store.\But I can exchange the coupons for about 40,000 yen worth of CDs or video games. response:	I'm not asking about that!
context: I wonder who that is.\Okuyasu\Josuke! H-How did it go?\Were you able to get the money?\Did they tell you to piss off?\I wasn't able to get cash back at the CD shop or the toy store.\But I can exchange the coupons for about 40,000 yen worth of CDs or video games.\I'm not asking about that! response:	What about Kameyu?
context: Okuyasu\Josuke! H-How did it go?\Were you able to get the money?\Did they tell you to piss off?\I wasn't able to get cash back at the CD shop or the toy store.\But I can exchange the coupons for about 40,000 yen worth of CDs or video games.\I'm not asking about that!\What about Kameyu? response:	Were you able to get cash back for the Kameyu stickers?
context: Josuke! H-How did it go?\Were you able to get the money?\Did they tell you to piss off?\I wasn't able to get cash back at the CD shop or the toy store.\But I can exchange the coupons for about 40,000 yen worth of CDs or video games.\I'm not asking about that!\What about Kameyu?\Were you able to get cash back for the Kameyu stickers? response:	Actually, something kind of unexpected happened.
context: Were you able to get the money?\Did they tell you to piss off?\I wasn't able to get cash back at the CD shop or the toy store.\But I can exchange the coupons for about 40,000 yen worth of CDs or video games.\I'm not asking about that!\What about Kameyu?\Were you able to get cash back for the Kameyu stickers?\Actually, something kind of unexpected happened. response:	S-Something unexpected?
context: Did they tell you to piss off?\I wasn't able to get cash back at the CD shop or the toy store.\But I can exchange the coupons for about 40,000 yen worth of CDs or video games.\I'm not asking about that!\What about Kameyu?\Were you able to get cash back for the Kameyu stickers?\Actually, something kind of unexpected happened.\S-Something unexpected? response:	It unexpectedly turned into 61,500 yen!
context: I wasn't able to get cash back at the CD shop or the toy store.\But I can exchange the coupons for about 40,000 yen worth of CDs or video games.\I'm not asking about that!\What about Kameyu?\Were you able to get cash back for the Kameyu stickers?\Actually, something kind of unexpected happened.\S-Something unexpected?\It unexpectedly turned into 61,500 yen! response:	Here you go! It's real, Shigechi!
context: But I can exchange the coupons for about 40,000 yen worth of CDs or video games.\I'm not asking about that!\What about Kameyu?\Were you able to get cash back for the Kameyu stickers?\Actually, something kind of unexpected happened.\S-Something unexpected?\It unexpectedly turned into 61,500 yen!\Here you go! It's real, Shigechi! response:	I-It's real!
context: I'm not asking about that!\What about Kameyu?\Were you able to get cash back for the Kameyu stickers?\Actually, something kind of unexpected happened.\S-Something unexpected?\It unexpectedly turned into 61,500 yen!\Here you go! It's real, Shigechi!\I-It's real! response:	It's right in front of my eyes! It's like a dream!
context: What about Kameyu?\Were you able to get cash back for the Kameyu stickers?\Actually, something kind of unexpected happened.\S-Something unexpected?\It unexpectedly turned into 61,500 yen!\Here you go! It's real, Shigechi!\I-It's real!\It's right in front of my eyes! It's like a dream! response:	That's awesome, Shigechi!
context: Were you able to get cash back for the Kameyu stickers?\Actually, something kind of unexpected happened.\S-Something unexpected?\It unexpectedly turned into 61,500 yen!\Here you go! It's real, Shigechi!\I-It's real!\It's right in front of my eyes! It's like a dream!\That's awesome, Shigechi! response:	Your Stand, Harvest, is really amazing!
context: Actually, something kind of unexpected happened.\S-Something unexpected?\It unexpectedly turned into 61,500 yen!\Here you go! It's real, Shigechi!\I-It's real!\It's right in front of my eyes! It's like a dream!\That's awesome, Shigechi!\Your Stand, Harvest, is really amazing! response:	Y-You really think it's amazing?
context: S-Something unexpected?\It unexpectedly turned into 61,500 yen!\Here you go! It's real, Shigechi!\I-It's real!\It's right in front of my eyes! It's like a dream!\That's awesome, Shigechi!\Your Stand, Harvest, is really amazing!\Y-You really think it's amazing? response:	Hey... P-People don't really compliment me much...
context: It unexpectedly turned into 61,500 yen!\Here you go! It's real, Shigechi!\I-It's real!\It's right in front of my eyes! It's like a dream!\That's awesome, Shigechi!\Your Stand, Harvest, is really amazing!\Y-You really think it's amazing?\Hey... P-People don't really compliment me much... response:	Do you really think I'm amazing?
context: Here you go! It's real, Shigechi!\I-It's real!\It's right in front of my eyes! It's like a dream!\That's awesome, Shigechi!\Your Stand, Harvest, is really amazing!\Y-You really think it's amazing?\Hey... P-People don't really compliment me much...\Do you really think I'm amazing? response:	Hey, have a little more confidence, Shigechi.
context: I-It's real!\It's right in front of my eyes! It's like a dream!\That's awesome, Shigechi!\Your Stand, Harvest, is really amazing!\Y-You really think it's amazing?\Hey... P-People don't really compliment me much...\Do you really think I'm amazing?\Hey, have a little more confidence, Shigechi. response:	This is something that only you can do.
context: It's right in front of my eyes! It's like a dream!\That's awesome, Shigechi!\Your Stand, Harvest, is really amazing!\Y-You really think it's amazing?\Hey... P-People don't really compliment me much...\Do you really think I'm amazing?\Hey, have a little more confidence, Shigechi.\This is something that only you can do. response:	Okuyasu... Josuke...
context: That's awesome, Shigechi!\Your Stand, Harvest, is really amazing!\Y-You really think it's amazing?\Hey... P-People don't really compliment me much...\Do you really think I'm amazing?\Hey, have a little more confidence, Shigechi.\This is something that only you can do.\Okuyasu... Josuke... response:	Straighten.
context: Your Stand, Harvest, is really amazing!\Y-You really think it's amazing?\Hey... P-People don't really compliment me much...\Do you really think I'm amazing?\Hey, have a little more confidence, Shigechi.\This is something that only you can do.\Okuyasu... Josuke...\Straighten. response:	Hey, girl. I got a fat stack! Wanna go have some fun?
context: Y-You really think it's amazing?\Hey... P-People don't really compliment me much...\Do you really think I'm amazing?\Hey, have a little more confidence, Shigechi.\This is something that only you can do.\Okuyasu... Josuke...\Straighten.\Hey, girl. I got a fat stack! Wanna go have some fun? response:	Hey, hey, hey, hey!
context: Hey... P-People don't really compliment me much...\Do you really think I'm amazing?\Hey, have a little more confidence, Shigechi.\This is something that only you can do.\Okuyasu... Josuke...\Straighten.\Hey, girl. I got a fat stack! Wanna go have some fun?\Hey, hey, hey, hey! response:	Oh, yeah. Here, Josuke, Okuyasu. Here's your share, 10,000 yen.
context: Do you really think I'm amazing?\Hey, have a little more confidence, Shigechi.\This is something that only you can do.\Okuyasu... Josuke...\Straighten.\Hey, girl. I got a fat stack! Wanna go have some fun?\Hey, hey, hey, hey!\Oh, yeah. Here, Josuke, Okuyasu. Here's your share, 10,000 yen. response:	Shigechi, what is this?
context: Hey, have a little more confidence, Shigechi.\This is something that only you can do.\Okuyasu... Josuke...\Straighten.\Hey, girl. I got a fat stack! Wanna go have some fun?\Hey, hey, hey, hey!\Oh, yeah. Here, Josuke, Okuyasu. Here's your share, 10,000 yen.\Shigechi, what is this? response:	We've got friendship, right? We're friends, right?
context: This is something that only you can do.\Okuyasu... Josuke...\Straighten.\Hey, girl. I got a fat stack! Wanna go have some fun?\Hey, hey, hey, hey!\Oh, yeah. Here, Josuke, Okuyasu. Here's your share, 10,000 yen.\Shigechi, what is this?\We've got friendship, right? We're friends, right? response:	Yeah, we are.
context: Okuyasu... Josuke...\Straighten.\Hey, girl. I got a fat stack! Wanna go have some fun?\Hey, hey, hey, hey!\Oh, yeah. Here, Josuke, Okuyasu. Here's your share, 10,000 yen.\Shigechi, what is this?\We've got friendship, right? We're friends, right?\Yeah, we are. response:	So that's a token of our friendship.
context: Straighten.\Hey, girl. I got a fat stack! Wanna go have some fun?\Hey, hey, hey, hey!\Oh, yeah. Here, Josuke, Okuyasu. Here's your share, 10,000 yen.\Shigechi, what is this?\We've got friendship, right? We're friends, right?\Yeah, we are.\So that's a token of our friendship. response:	Hey, wait...
context: Hey, girl. I got a fat stack! Wanna go have some fun?\Hey, hey, hey, hey!\Oh, yeah. Here, Josuke, Okuyasu. Here's your share, 10,000 yen.\Shigechi, what is this?\We've got friendship, right? We're friends, right?\Yeah, we are.\So that's a token of our friendship.\Hey, wait... response:	This isn't what we promised, is it?
context: Hey, hey, hey, hey!\Oh, yeah. Here, Josuke, Okuyasu. Here's your share, 10,000 yen.\Shigechi, what is this?\We've got friendship, right? We're friends, right?\Yeah, we are.\So that's a token of our friendship.\Hey, wait...\This isn't what we promised, is it? response:	You said okay to us getting half, and you getting the other.
context: Oh, yeah. Here, Josuke, Okuyasu. Here's your share, 10,000 yen.\Shigechi, what is this?\We've got friendship, right? We're friends, right?\Yeah, we are.\So that's a token of our friendship.\Hey, wait...\This isn't what we promised, is it?\You said okay to us getting half, and you getting the other. response:	Half of 61,500 yen is 30,750 exactly.
context: Shigechi, what is this?\We've got friendship, right? We're friends, right?\Yeah, we are.\So that's a token of our friendship.\Hey, wait...\This isn't what we promised, is it?\You said okay to us getting half, and you getting the other.\Half of 61,500 yen is 30,750 exactly. response:	R-Really? Did I say that?
context: We've got friendship, right? We're friends, right?\Yeah, we are.\So that's a token of our friendship.\Hey, wait...\This isn't what we promised, is it?\You said okay to us getting half, and you getting the other.\Half of 61,500 yen is 30,750 exactly.\R-Really? Did I say that? response:	What?
context: Yeah, we are.\So that's a token of our friendship.\Hey, wait...\This isn't what we promised, is it?\You said okay to us getting half, and you getting the other.\Half of 61,500 yen is 30,750 exactly.\R-Really? Did I say that?\What? response:	N-N-Not to mention...
context: So that's a token of our friendship.\Hey, wait...\This isn't what we promised, is it?\You said okay to us getting half, and you getting the other.\Half of 61,500 yen is 30,750 exactly.\R-Really? Did I say that?\What?\N-N-Not to mention... response:	It w-was my H-Harvest's job to collect all of those.
context: Hey, wait...\This isn't what we promised, is it?\You said okay to us getting half, and you getting the other.\Half of 61,500 yen is 30,750 exactly.\R-Really? Did I say that?\What?\N-N-Not to mention...\It w-was my H-Harvest's job to collect all of those. response:	I did it all!
context: This isn't what we promised, is it?\You said okay to us getting half, and you getting the other.\Half of 61,500 yen is 30,750 exactly.\R-Really? Did I say that?\What?\N-N-Not to mention...\It w-was my H-Harvest's job to collect all of those.\I did it all! response:	Y-You two were just talking and did nothing.
context: You said okay to us getting half, and you getting the other.\Half of 61,500 yen is 30,750 exactly.\R-Really? Did I say that?\What?\N-N-Not to mention...\It w-was my H-Harvest's job to collect all of those.\I did it all!\Y-You two were just talking and did nothing. response:	And, if Josuke hadn't come up with the idea,
context: Half of 61,500 yen is 30,750 exactly.\R-Really? Did I say that?\What?\N-N-Not to mention...\It w-was my H-Harvest's job to collect all of those.\I did it all!\Y-You two were just talking and did nothing.\And, if Josuke hadn't come up with the idea, response:	you never would have thought of gathering up all those!
context: R-Really? Did I say that?\What?\N-N-Not to mention...\It w-was my H-Harvest's job to collect all of those.\I did it all!\Y-You two were just talking and did nothing.\And, if Josuke hadn't come up with the idea,\you never would have thought of gathering up all those! response:	I would have eventually thought of it!
context: What?\N-N-Not to mention...\It w-was my H-Harvest's job to collect all of those.\I did it all!\Y-You two were just talking and did nothing.\And, if Josuke hadn't come up with the idea,\you never would have thought of gathering up all those!\I would have eventually thought of it! response:	I'm an awesome guy!
context: N-N-Not to mention...\It w-was my H-Harvest's job to collect all of those.\I did it all!\Y-You two were just talking and did nothing.\And, if Josuke hadn't come up with the idea,\you never would have thought of gathering up all those!\I would have eventually thought of it!\I'm an awesome guy! response:	Er... No, no... You never would have thought of it with that pea brain of yours!
context: It w-was my H-Harvest's job to collect all of those.\I did it all!\Y-You two were just talking and did nothing.\And, if Josuke hadn't come up with the idea,\you never would have thought of gathering up all those!\I would have eventually thought of it!\I'm an awesome guy!\Er... No, no... You never would have thought of it with that pea brain of yours! response:	Hey, stop, Okuyasu. Come here, fall back a sec.
context: I did it all!\Y-You two were just talking and did nothing.\And, if Josuke hadn't come up with the idea,\you never would have thought of gathering up all those!\I would have eventually thought of it!\I'm an awesome guy!\Er... No, no... You never would have thought of it with that pea brain of yours!\Hey, stop, Okuyasu. Come here, fall back a sec. response:	This is just great.
context: Y-You two were just talking and did nothing.\And, if Josuke hadn't come up with the idea,\you never would have thought of gathering up all those!\I would have eventually thought of it!\I'm an awesome guy!\Er... No, no... You never would have thought of it with that pea brain of yours!\Hey, stop, Okuyasu. Come here, fall back a sec.\This is just great. response:	Apparently he was fine with a few thousand,
context: And, if Josuke hadn't come up with the idea,\you never would have thought of gathering up all those!\I would have eventually thought of it!\I'm an awesome guy!\Er... No, no... You never would have thought of it with that pea brain of yours!\Hey, stop, Okuyasu. Come here, fall back a sec.\This is just great.\Apparently he was fine with a few thousand, response:	but once it went over ten thousand, he's much more hesitant to pay up.
context: you never would have thought of gathering up all those!\I would have eventually thought of it!\I'm an awesome guy!\Er... No, no... You never would have thought of it with that pea brain of yours!\Hey, stop, Okuyasu. Come here, fall back a sec.\This is just great.\Apparently he was fine with a few thousand,\but once it went over ten thousand, he's much more hesitant to pay up. response:	I don't think he means anything bad by it, but since he's got the mind of a kid,
context: I would have eventually thought of it!\I'm an awesome guy!\Er... No, no... You never would have thought of it with that pea brain of yours!\Hey, stop, Okuyasu. Come here, fall back a sec.\This is just great.\Apparently he was fine with a few thousand,\but once it went over ten thousand, he's much more hesitant to pay up.\I don't think he means anything bad by it, but since he's got the mind of a kid, response:	no matter what we say, he's gonna feel like we tricked him.
context: I'm an awesome guy!\Er... No, no... You never would have thought of it with that pea brain of yours!\Hey, stop, Okuyasu. Come here, fall back a sec.\This is just great.\Apparently he was fine with a few thousand,\but once it went over ten thousand, he's much more hesitant to pay up.\I don't think he means anything bad by it, but since he's got the mind of a kid,\no matter what we say, he's gonna feel like we tricked him. response:	We should be the adults here and let it be.
context: Er... No, no... You never would have thought of it with that pea brain of yours!\Hey, stop, Okuyasu. Come here, fall back a sec.\This is just great.\Apparently he was fine with a few thousand,\but once it went over ten thousand, he's much more hesitant to pay up.\I don't think he means anything bad by it, but since he's got the mind of a kid,\no matter what we say, he's gonna feel like we tricked him.\We should be the adults here and let it be. response:	We got 10,000 yen out of it, so let's call that good.
context: Hey, stop, Okuyasu. Come here, fall back a sec.\This is just great.\Apparently he was fine with a few thousand,\but once it went over ten thousand, he's much more hesitant to pay up.\I don't think he means anything bad by it, but since he's got the mind of a kid,\no matter what we say, he's gonna feel like we tricked him.\We should be the adults here and let it be.\We got 10,000 yen out of it, so let's call that good. response:	I guess if you're okay with it, I won't argue...
context: This is just great.\Apparently he was fine with a few thousand,\but once it went over ten thousand, he's much more hesitant to pay up.\I don't think he means anything bad by it, but since he's got the mind of a kid,\no matter what we say, he's gonna feel like we tricked him.\We should be the adults here and let it be.\We got 10,000 yen out of it, so let's call that good.\I guess if you're okay with it, I won't argue... response:	But this just pisses me off so much!
context: Apparently he was fine with a few thousand,\but once it went over ten thousand, he's much more hesitant to pay up.\I don't think he means anything bad by it, but since he's got the mind of a kid,\no matter what we say, he's gonna feel like we tricked him.\We should be the adults here and let it be.\We got 10,000 yen out of it, so let's call that good.\I guess if you're okay with it, I won't argue...\But this just pisses me off so much! response:	Are you sure he's not taking advantage of us?
context: but once it went over ten thousand, he's much more hesitant to pay up.\I don't think he means anything bad by it, but since he's got the mind of a kid,\no matter what we say, he's gonna feel like we tricked him.\We should be the adults here and let it be.\We got 10,000 yen out of it, so let's call that good.\I guess if you're okay with it, I won't argue...\But this just pisses me off so much!\Are you sure he's not taking advantage of us? response:	No, Okuyasu, there's no point in fighting right now.
context: I don't think he means anything bad by it, but since he's got the mind of a kid,\no matter what we say, he's gonna feel like we tricked him.\We should be the adults here and let it be.\We got 10,000 yen out of it, so let's call that good.\I guess if you're okay with it, I won't argue...\But this just pisses me off so much!\Are you sure he's not taking advantage of us?\No, Okuyasu, there's no point in fighting right now. response:	We just need to teach Shigechi how adults actually make agreements.
context: no matter what we say, he's gonna feel like we tricked him.\We should be the adults here and let it be.\We got 10,000 yen out of it, so let's call that good.\I guess if you're okay with it, I won't argue...\But this just pisses me off so much!\Are you sure he's not taking advantage of us?\No, Okuyasu, there's no point in fighting right now.\We just need to teach Shigechi how adults actually make agreements. response:	Oh, so you can make more money?
context: We should be the adults here and let it be.\We got 10,000 yen out of it, so let's call that good.\I guess if you're okay with it, I won't argue...\But this just pisses me off so much!\Are you sure he's not taking advantage of us?\No, Okuyasu, there's no point in fighting right now.\We just need to teach Shigechi how adults actually make agreements.\Oh, so you can make more money? response:	You smug bastard...
context: We got 10,000 yen out of it, so let's call that good.\I guess if you're okay with it, I won't argue...\But this just pisses me off so much!\Are you sure he's not taking advantage of us?\No, Okuyasu, there's no point in fighting right now.\We just need to teach Shigechi how adults actually make agreements.\Oh, so you can make more money?\You smug bastard... response:	But that's what I love about you.
context: I guess if you're okay with it, I won't argue...\But this just pisses me off so much!\Are you sure he's not taking advantage of us?\No, Okuyasu, there's no point in fighting right now.\We just need to teach Shigechi how adults actually make agreements.\Oh, so you can make more money?\You smug bastard...\But that's what I love about you. response:	All right, thanks. We'll gladly take this.
context: But this just pisses me off so much!\Are you sure he's not taking advantage of us?\No, Okuyasu, there's no point in fighting right now.\We just need to teach Shigechi how adults actually make agreements.\Oh, so you can make more money?\You smug bastard...\But that's what I love about you.\All right, thanks. We'll gladly take this. response:	Okuyasu.
context: Are you sure he's not taking advantage of us?\No, Okuyasu, there's no point in fighting right now.\We just need to teach Shigechi how adults actually make agreements.\Oh, so you can make more money?\You smug bastard...\But that's what I love about you.\All right, thanks. We'll gladly take this.\Okuyasu. response:	Are you thirsty?
context: No, Okuyasu, there's no point in fighting right now.\We just need to teach Shigechi how adults actually make agreements.\Oh, so you can make more money?\You smug bastard...\But that's what I love about you.\All right, thanks. We'll gladly take this.\Okuyasu.\Are you thirsty? response:	Is there anything you want to drink? I'll buy.
context: We just need to teach Shigechi how adults actually make agreements.\Oh, so you can make more money?\You smug bastard...\But that's what I love about you.\All right, thanks. We'll gladly take this.\Okuyasu.\Are you thirsty?\Is there anything you want to drink? I'll buy. response:	You're going to buy it for me?
context: Oh, so you can make more money?\You smug bastard...\But that's what I love about you.\All right, thanks. We'll gladly take this.\Okuyasu.\Are you thirsty?\Is there anything you want to drink? I'll buy.\You're going to buy it for me? response:	Then... I want some Calpis Water.
context: You smug bastard...\But that's what I love about you.\All right, thanks. We'll gladly take this.\Okuyasu.\Are you thirsty?\Is there anything you want to drink? I'll buy.\You're going to buy it for me?\Then... I want some Calpis Water. response:	Then drink some.
context: But that's what I love about you.\All right, thanks. We'll gladly take this.\Okuyasu.\Are you thirsty?\Is there anything you want to drink? I'll buy.\You're going to buy it for me?\Then... I want some Calpis Water.\Then drink some. response:	Ah! Hey! Why are you throwing those away?
context: All right, thanks. We'll gladly take this.\Okuyasu.\Are you thirsty?\Is there anything you want to drink? I'll buy.\You're going to buy it for me?\Then... I want some Calpis Water.\Then drink some.\Ah! Hey! Why are you throwing those away? response:	They're just worthless junk tickets, like for the year-end lottery.
context: Okuyasu.\Are you thirsty?\Is there anything you want to drink? I'll buy.\You're going to buy it for me?\Then... I want some Calpis Water.\Then drink some.\Ah! Hey! Why are you throwing those away?\They're just worthless junk tickets, like for the year-end lottery. response:	I told Shigechi to pick them up along with everything else earlier.
context: Are you thirsty?\Is there anything you want to drink? I'll buy.\You're going to buy it for me?\Then... I want some Calpis Water.\Then drink some.\Ah! Hey! Why are you throwing those away?\They're just worthless junk tickets, like for the year-end lottery.\I told Shigechi to pick them up along with everything else earlier. response:	You mean the losing New Year's Lottery tickets?
