context: That's mean, Kacchan. response:	Can't you see he's crying?
context: Sorry'bout getting you caught up in my villain fighting.\I don't usually make mistakes like this,\but I was in high spirits on my day off in a new place.\But, you were a big help. Thanks!\I captured him safely!\The number one hero... All Might...\H-He's the real thing...\He looks completely different in person! response:	Oh, right! An a-autograph! Where should I?
context: I don't usually make mistakes like this,\but I was in high spirits on my day off in a new place.\But, you were a big help. Thanks!\I captured him safely!\The number one hero... All Might...\H-He's the real thing...\He looks completely different in person!\Oh, right! An a-autograph! Where should I? response:	In that notebook
context: but I was in high spirits on my day off in a new place.\But, you were a big help. Thanks!\I captured him safely!\The number one hero... All Might...\H-He's the real thing...\He looks completely different in person!\Oh, right! An a-autograph! Where should I?\In that notebook response:	He already did!
context: But, you were a big help. Thanks!\I captured him safely!\The number one hero... All Might...\H-He's the real thing...\He looks completely different in person!\Oh, right! An a-autograph! Where should I?\In that notebook\He already did! response:	Th-Thank you very much!
context: I captured him safely!\The number one hero... All Might...\H-He's the real thing...\He looks completely different in person!\Oh, right! An a-autograph! Where should I?\In that notebook\He already did!\Th-Thank you very much! response:	It'll be an heirloom! A family treasure!
context: The number one hero... All Might...\H-He's the real thing...\He looks completely different in person!\Oh, right! An a-autograph! Where should I?\In that notebook\He already did!\Th-Thank you very much!\It'll be an heirloom! A family treasure! response:	Okay!
context: H-He's the real thing...\He looks completely different in person!\Oh, right! An a-autograph! Where should I?\In that notebook\He already did!\Th-Thank you very much!\It'll be an heirloom! A family treasure!\Okay! response:	Well, I need take this guy to the police.
context: He looks completely different in person!\Oh, right! An a-autograph! Where should I?\In that notebook\He already did!\Th-Thank you very much!\It'll be an heirloom! A family treasure!\Okay!\Well, I need take this guy to the police. response:	See you again on the other side of the screen!
context: Oh, right! An a-autograph! Where should I?\In that notebook\He already did!\Th-Thank you very much!\It'll be an heirloom! A family treasure!\Okay!\Well, I need take this guy to the police.\See you again on the other side of the screen! response:	Wait, already?
context: In that notebook\He already did!\Th-Thank you very much!\It'll be an heirloom! A family treasure!\Okay!\Well, I need take this guy to the police.\See you again on the other side of the screen!\Wait, already? response:	Pros are constantly fighting enemies and time.
context: He already did!\Th-Thank you very much!\It'll be an heirloom! A family treasure!\Okay!\Well, I need take this guy to the police.\See you again on the other side of the screen!\Wait, already?\Pros are constantly fighting enemies and time. response:	Wait...
context: Th-Thank you very much!\It'll be an heirloom! A family treasure!\Okay!\Well, I need take this guy to the police.\See you again on the other side of the screen!\Wait, already?\Pros are constantly fighting enemies and time.\Wait... response:	There are still... things I want to ask...
context: It'll be an heirloom! A family treasure!\Okay!\Well, I need take this guy to the police.\See you again on the other side of the screen!\Wait, already?\Pros are constantly fighting enemies and time.\Wait...\There are still... things I want to ask... response:	Well then,
context: Okay!\Well, I need take this guy to the police.\See you again on the other side of the screen!\Wait, already?\Pros are constantly fighting enemies and time.\Wait...\There are still... things I want to ask...\Well then, response:	I'm counting on your continued support!
context: Well, I need take this guy to the police.\See you again on the other side of the screen!\Wait, already?\Pros are constantly fighting enemies and time.\Wait...\There are still... things I want to ask...\Well then,\I'm counting on your continued support! response:	Wait.
context: See you again on the other side of the screen!\Wait, already?\Pros are constantly fighting enemies and time.\Wait...\There are still... things I want to ask...\Well then,\I'm counting on your continued support!\Wait. response:	Hey, hey, hey, hey, hey, hey, hey!
context: Wait, already?\Pros are constantly fighting enemies and time.\Wait...\There are still... things I want to ask...\Well then,\I'm counting on your continued support!\Wait.\Hey, hey, hey, hey, hey, hey, hey! response:	Let go of me! Your fanaticism is too much!
context: Pros are constantly fighting enemies and time.\Wait...\There are still... things I want to ask...\Well then,\I'm counting on your continued support!\Wait.\Hey, hey, hey, hey, hey, hey, hey!\Let go of me! Your fanaticism is too much! response:	If I... let go now... I'll... I'll die...!
context: Wait...\There are still... things I want to ask...\Well then,\I'm counting on your continued support!\Wait.\Hey, hey, hey, hey, hey, hey, hey!\Let go of me! Your fanaticism is too much!\If I... let go now... I'll... I'll die...! response:	That's true.
context: There are still... things I want to ask...\Well then,\I'm counting on your continued support!\Wait.\Hey, hey, hey, hey, hey, hey, hey!\Let go of me! Your fanaticism is too much!\If I... let go now... I'll... I'll die...!\That's true. response:	Okay, okay!
context: Well then,\I'm counting on your continued support!\Wait.\Hey, hey, hey, hey, hey, hey, hey!\Let go of me! Your fanaticism is too much!\If I... let go now... I'll... I'll die...!\That's true.\Okay, okay! response:	I get it, so close your eyes and mouth!
context: I'm counting on your continued support!\Wait.\Hey, hey, hey, hey, hey, hey, hey!\Let go of me! Your fanaticism is too much!\If I... let go now... I'll... I'll die...!\That's true.\Okay, okay!\I get it, so close your eyes and mouth! response:	Shit.
context: Wait.\Hey, hey, hey, hey, hey, hey, hey!\Let go of me! Your fanaticism is too much!\If I... let go now... I'll... I'll die...!\That's true.\Okay, okay!\I get it, so close your eyes and mouth!\Shit. response:	Th-That was scary...
context: Hey, hey, hey, hey, hey, hey, hey!\Let go of me! Your fanaticism is too much!\If I... let go now... I'll... I'll die...!\That's true.\Okay, okay!\I get it, so close your eyes and mouth!\Shit.\Th-That was scary... response:	Good grief.
context: Let go of me! Your fanaticism is too much!\If I... let go now... I'll... I'll die...!\That's true.\Okay, okay!\I get it, so close your eyes and mouth!\Shit.\Th-That was scary...\Good grief. response:	If you talk to the people downstairs, I'm sure they'll let you down.
context: If I... let go now... I'll... I'll die...!\That's true.\Okay, okay!\I get it, so close your eyes and mouth!\Shit.\Th-That was scary...\Good grief.\If you talk to the people downstairs, I'm sure they'll let you down. response:	I seriously am outta time, so I really must go.
context: That's true.\Okay, okay!\I get it, so close your eyes and mouth!\Shit.\Th-That was scary...\Good grief.\If you talk to the people downstairs, I'm sure they'll let you down.\I seriously am outta time, so I really must go. response:	Wait! Um...
context: Okay, okay!\I get it, so close your eyes and mouth!\Shit.\Th-That was scary...\Good grief.\If you talk to the people downstairs, I'm sure they'll let you down.\I seriously am outta time, so I really must go.\Wait! Um... response:	No! I will not wait!
context: I get it, so close your eyes and mouth!\Shit.\Th-That was scary...\Good grief.\If you talk to the people downstairs, I'm sure they'll let you down.\I seriously am outta time, so I really must go.\Wait! Um...\No! I will not wait! response:	But
context: Shit.\Th-That was scary...\Good grief.\If you talk to the people downstairs, I'm sure they'll let you down.\I seriously am outta time, so I really must go.\Wait! Um...\No! I will not wait!\But response:	You should probably give it up.
context: Th-That was scary...\Good grief.\If you talk to the people downstairs, I'm sure they'll let you down.\I seriously am outta time, so I really must go.\Wait! Um...\No! I will not wait!\But\You should probably give it up. response:	I'm sorry, Izuku!
context: Good grief.\If you talk to the people downstairs, I'm sure they'll let you down.\I seriously am outta time, so I really must go.\Wait! Um...\No! I will not wait!\But\You should probably give it up.\I'm sorry, Izuku! response:	I'm sorry. I'm sorry!
context: If you talk to the people downstairs, I'm sure they'll let you down.\I seriously am outta time, so I really must go.\Wait! Um...\No! I will not wait!\But\You should probably give it up.\I'm sorry, Izuku!\I'm sorry. I'm sorry! response:	What the hell can you do?
context: I seriously am outta time, so I really must go.\Wait! Um...\No! I will not wait!\But\You should probably give it up.\I'm sorry, Izuku!\I'm sorry. I'm sorry!\What the hell can you do? response:	You're Quirkless!
context: Wait! Um...\No! I will not wait!\But\You should probably give it up.\I'm sorry, Izuku!\I'm sorry. I'm sorry!\What the hell can you do?\You're Quirkless! response:	That might be true...
context: No! I will not wait!\But\You should probably give it up.\I'm sorry, Izuku!\I'm sorry. I'm sorry!\What the hell can you do?\You're Quirkless!\That might be true... response:	But... even so... I...
context: But\You should probably give it up.\I'm sorry, Izuku!\I'm sorry. I'm sorry!\What the hell can you do?\You're Quirkless!\That might be true...\But... even so... I... response:	Even if I don't have a Quirk, can I become a hero?
context: You should probably give it up.\I'm sorry, Izuku!\I'm sorry. I'm sorry!\What the hell can you do?\You're Quirkless!\That might be true...\But... even so... I...\Even if I don't have a Quirk, can I become a hero? response:	Can even someone without a Quirk be like you?
context: I'm sorry, Izuku!\I'm sorry. I'm sorry!\What the hell can you do?\You're Quirkless!\That might be true...\But... even so... I...\Even if I don't have a Quirk, can I become a hero?\Can even someone without a Quirk be like you? response:	My meeting with All Might... This miracle...
context: I'm sorry. I'm sorry!\What the hell can you do?\You're Quirkless!\That might be true...\But... even so... I...\Even if I don't have a Quirk, can I become a hero?\Can even someone without a Quirk be like you?\My meeting with All Might... This miracle... response:	At the time, I couldn't even imagine how much it would change my fate.
context: What the hell can you do?\You're Quirkless!\That might be true...\But... even so... I...\Even if I don't have a Quirk, can I become a hero?\Can even someone without a Quirk be like you?\My meeting with All Might... This miracle...\At the time, I couldn't even imagine how much it would change my fate. response:	I am here for the next episode preview!
context: You're Quirkless!\That might be true...\But... even so... I...\Even if I don't have a Quirk, can I become a hero?\Can even someone without a Quirk be like you?\My meeting with All Might... This miracle...\At the time, I couldn't even imagine how much it would change my fate.\I am here for the next episode preview! response:	What? The villain I caught escaped?
context: That might be true...\But... even so... I...\Even if I don't have a Quirk, can I become a hero?\Can even someone without a Quirk be like you?\My meeting with All Might... This miracle...\At the time, I couldn't even imagine how much it would change my fate.\I am here for the next episode preview!\What? The villain I caught escaped? response:	It took a boy hostage and is going wild around town?
context: But... even so... I...\Even if I don't have a Quirk, can I become a hero?\Can even someone without a Quirk be like you?\My meeting with All Might... This miracle...\At the time, I couldn't even imagine how much it would change my fate.\I am here for the next episode preview!\What? The villain I caught escaped?\It took a boy hostage and is going wild around town? response:	But I can't use my powers for much longer.
context: Even if I don't have a Quirk, can I become a hero?\Can even someone without a Quirk be like you?\My meeting with All Might... This miracle...\At the time, I couldn't even imagine how much it would change my fate.\I am here for the next episode preview!\What? The villain I caught escaped?\It took a boy hostage and is going wild around town?\But I can't use my powers for much longer. response:	You're pathetic, All Might!
context: Can even someone without a Quirk be like you?\My meeting with All Might... This miracle...\At the time, I couldn't even imagine how much it would change my fate.\I am here for the next episode preview!\What? The villain I caught escaped?\It took a boy hostage and is going wild around town?\But I can't use my powers for much longer.\You're pathetic, All Might! response:	Is there another hero around?
context: My meeting with All Might... This miracle...\At the time, I couldn't even imagine how much it would change my fate.\I am here for the next episode preview!\What? The villain I caught escaped?\It took a boy hostage and is going wild around town?\But I can't use my powers for much longer.\You're pathetic, All Might!\Is there another hero around? response:	Next time, What It Takes to Be a Hero!
context: At the time, I couldn't even imagine how much it would change my fate.\I am here for the next episode preview!\What? The villain I caught escaped?\It took a boy hostage and is going wild around town?\But I can't use my powers for much longer.\You're pathetic, All Might!\Is there another hero around?\Next time, What It Takes to Be a Hero! response:	Pros are always risking their lives!
context: I am here for the next episode preview!\What? The villain I caught escaped?\It took a boy hostage and is going wild around town?\But I can't use my powers for much longer.\You're pathetic, All Might!\Is there another hero around?\Next time, What It Takes to Be a Hero!\Pros are always risking their lives! response:	Go beyond!
context: What? The villain I caught escaped?\It took a boy hostage and is going wild around town?\But I can't use my powers for much longer.\You're pathetic, All Might!\Is there another hero around?\Next time, What It Takes to Be a Hero!\Pros are always risking their lives!\Go beyond! response:	Plus Ultra!
context: It took a boy hostage and is going wild around town?\But I can't use my powers for much longer.\You're pathetic, All Might!\Is there another hero around?\Next time, What It Takes to Be a Hero!\Pros are always risking their lives!\Go beyond!\Plus Ultra! response:	Midori ya Izuku
context: But I can't use my powers for much longer.\You're pathetic, All Might!\Is there another hero around?\Next time, What It Takes to Be a Hero!\Pros are always risking their lives!\Go beyond!\Plus Ultra!\Midori ya Izuku response:	Tatooin Station
context: You're pathetic, All Might!\Is there another hero around?\Next time, What It Takes to Be a Hero!\Pros are always risking their lives!\Go beyond!\Plus Ultra!\Midori ya Izuku\Tatooin Station response:	Papa
context: Is there another hero around?\Next time, What It Takes to Be a Hero!\Pros are always risking their lives!\Go beyond!\Plus Ultra!\Midori ya Izuku\Tatooin Station\Papa response:	Episode 1. Midoriya Izuku: Origin
context: Next time, What It Takes to Be a Hero!\Pros are always risking their lives!\Go beyond!\Plus Ultra!\Midori ya Izuku\Tatooin Station\Papa\Episode 1. Midoriya Izuku: Origin response:	Aldera Junior High
context: Pros are always risking their lives!\Go beyond!\Plus Ultra!\Midori ya Izuku\Tatooin Station\Papa\Episode 1. Midoriya Izuku: Origin\Aldera Junior High response:	Baku gou Katsuki
context: Go beyond!\Plus Ultra!\Midori ya Izuku\Tatooin Station\Papa\Episode 1. Midoriya Izuku: Origin\Aldera Junior High\Baku gou Katsuki response:	12:02 p.m. - The same city
context: Plus Ultra!\Midori ya Izuku\Tatooin Station\Papa\Episode 1. Midoriya Izuku: Origin\Aldera Junior High\Baku gou Katsuki\12:02 p.m. - The same city response:	Hero Analysis for the Future
context: Midori ya Izuku\Tatooin Station\Papa\Episode 1. Midoriya Izuku: Origin\Aldera Junior High\Baku gou Katsuki\12:02 p.m. - The same city\Hero Analysis for the Future response:	Hero Analysis for the Future
context: Tatooin Station\Papa\Episode 1. Midoriya Izuku: Origin\Aldera Junior High\Baku gou Katsuki\12:02 p.m. - The same city\Hero Analysis for the Future\Hero Analysis for the Future response:	Watch Your Head
context: Papa\Episode 1. Midoriya Izuku: Origin\Aldera Junior High\Baku gou Katsuki\12:02 p.m. - The same city\Hero Analysis for the Future\Hero Analysis for the Future\Watch Your Head response:	Next time
context: Episode 1. Midoriya Izuku: Origin\Aldera Junior High\Baku gou Katsuki\12:02 p.m. - The same city\Hero Analysis for the Future\Hero Analysis for the Future\Watch Your Head\Next time response:	Next time: What It Takes to Be a Hero
