context: What happened...? response:	Pu-Re-Mi-A-Mu...
context: You're kidding, right?\Sensei! Let's play!\What's with this stagnant air?\What the heck's that?\What's wrong, Sensei?\Yer makin' gloom-fumes.\What's he mutterin'?\Sensei says he got second place in the calligraphy contest. response:	Oh yeah... he was talkin' about bein' in a calligraphy exhibit.
context: Sensei! Let's play!\What's with this stagnant air?\What the heck's that?\What's wrong, Sensei?\Yer makin' gloom-fumes.\What's he mutterin'?\Sensei says he got second place in the calligraphy contest.\Oh yeah... he was talkin' about bein' in a calligraphy exhibit. response:	Ain't second place still pretty great?
context: What's with this stagnant air?\What the heck's that?\What's wrong, Sensei?\Yer makin' gloom-fumes.\What's he mutterin'?\Sensei says he got second place in the calligraphy contest.\Oh yeah... he was talkin' about bein' in a calligraphy exhibit.\Ain't second place still pretty great? response:	He says, first place went to an eighteen-year-old newbie.
context: What the heck's that?\What's wrong, Sensei?\Yer makin' gloom-fumes.\What's he mutterin'?\Sensei says he got second place in the calligraphy contest.\Oh yeah... he was talkin' about bein' in a calligraphy exhibit.\Ain't second place still pretty great?\He says, first place went to an eighteen-year-old newbie. response:	What, yer sulkin''cause you lost to someone younger?
context: What's wrong, Sensei?\Yer makin' gloom-fumes.\What's he mutterin'?\Sensei says he got second place in the calligraphy contest.\Oh yeah... he was talkin' about bein' in a calligraphy exhibit.\Ain't second place still pretty great?\He says, first place went to an eighteen-year-old newbie.\What, yer sulkin''cause you lost to someone younger? response:	That's all?
context: Yer makin' gloom-fumes.\What's he mutterin'?\Sensei says he got second place in the calligraphy contest.\Oh yeah... he was talkin' about bein' in a calligraphy exhibit.\Ain't second place still pretty great?\He says, first place went to an eighteen-year-old newbie.\What, yer sulkin''cause you lost to someone younger?\That's all? response:	That's all?!
context: What's he mutterin'?\Sensei says he got second place in the calligraphy contest.\Oh yeah... he was talkin' about bein' in a calligraphy exhibit.\Ain't second place still pretty great?\He says, first place went to an eighteen-year-old newbie.\What, yer sulkin''cause you lost to someone younger?\That's all?\That's all?! response:	Do you know how much time and energy I put into that writing!?
context: Sensei says he got second place in the calligraphy contest.\Oh yeah... he was talkin' about bein' in a calligraphy exhibit.\Ain't second place still pretty great?\He says, first place went to an eighteen-year-old newbie.\What, yer sulkin''cause you lost to someone younger?\That's all?\That's all?!\Do you know how much time and energy I put into that writing!? response:	I even went without sleep to finish it!
context: Oh yeah... he was talkin' about bein' in a calligraphy exhibit.\Ain't second place still pretty great?\He says, first place went to an eighteen-year-old newbie.\What, yer sulkin''cause you lost to someone younger?\That's all?\That's all?!\Do you know how much time and energy I put into that writing!?\I even went without sleep to finish it! response:	But I've fallen behind some guy who started calligraphy only yesterday!
context: Ain't second place still pretty great?\He says, first place went to an eighteen-year-old newbie.\What, yer sulkin''cause you lost to someone younger?\That's all?\That's all?!\Do you know how much time and energy I put into that writing!?\I even went without sleep to finish it!\But I've fallen behind some guy who started calligraphy only yesterday! response:	I thought I'd be able to write good calligraphy if I stayed on this island.
context: He says, first place went to an eighteen-year-old newbie.\What, yer sulkin''cause you lost to someone younger?\That's all?\That's all?!\Do you know how much time and energy I put into that writing!?\I even went without sleep to finish it!\But I've fallen behind some guy who started calligraphy only yesterday!\I thought I'd be able to write good calligraphy if I stayed on this island. response:	But now I'm paying for having taken it easy.
context: What, yer sulkin''cause you lost to someone younger?\That's all?\That's all?!\Do you know how much time and energy I put into that writing!?\I even went without sleep to finish it!\But I've fallen behind some guy who started calligraphy only yesterday!\I thought I'd be able to write good calligraphy if I stayed on this island.\But now I'm paying for having taken it easy. response:	I never should've come to this stupid place!
context: That's all?\That's all?!\Do you know how much time and energy I put into that writing!?\I even went without sleep to finish it!\But I've fallen behind some guy who started calligraphy only yesterday!\I thought I'd be able to write good calligraphy if I stayed on this island.\But now I'm paying for having taken it easy.\I never should've come to this stupid place! response:	Now wait, Sensei!
context: That's all?!\Do you know how much time and energy I put into that writing!?\I even went without sleep to finish it!\But I've fallen behind some guy who started calligraphy only yesterday!\I thought I'd be able to write good calligraphy if I stayed on this island.\But now I'm paying for having taken it easy.\I never should've come to this stupid place!\Now wait, Sensei! response:	Miwa-chan!
context: Do you know how much time and energy I put into that writing!?\I even went without sleep to finish it!\But I've fallen behind some guy who started calligraphy only yesterday!\I thought I'd be able to write good calligraphy if I stayed on this island.\But now I'm paying for having taken it easy.\I never should've come to this stupid place!\Now wait, Sensei!\Miwa-chan! response:	Sorry, Sensei.
context: I even went without sleep to finish it!\But I've fallen behind some guy who started calligraphy only yesterday!\I thought I'd be able to write good calligraphy if I stayed on this island.\But now I'm paying for having taken it easy.\I never should've come to this stupid place!\Now wait, Sensei!\Miwa-chan!\Sorry, Sensei. response:	Looks like our timing was bad.
context: But I've fallen behind some guy who started calligraphy only yesterday!\I thought I'd be able to write good calligraphy if I stayed on this island.\But now I'm paying for having taken it easy.\I never should've come to this stupid place!\Now wait, Sensei!\Miwa-chan!\Sorry, Sensei.\Looks like our timing was bad. response:	We'll come back later.
context: I thought I'd be able to write good calligraphy if I stayed on this island.\But now I'm paying for having taken it easy.\I never should've come to this stupid place!\Now wait, Sensei!\Miwa-chan!\Sorry, Sensei.\Looks like our timing was bad.\We'll come back later. response:	Why didn' you give him what for?
context: But now I'm paying for having taken it easy.\I never should've come to this stupid place!\Now wait, Sensei!\Miwa-chan!\Sorry, Sensei.\Looks like our timing was bad.\We'll come back later.\Why didn' you give him what for? response:	He even said we were holdin' him back!
context: I never should've come to this stupid place!\Now wait, Sensei!\Miwa-chan!\Sorry, Sensei.\Looks like our timing was bad.\We'll come back later.\Why didn' you give him what for?\He even said we were holdin' him back! response:	Sensei has a lot of pride,
context: Now wait, Sensei!\Miwa-chan!\Sorry, Sensei.\Looks like our timing was bad.\We'll come back later.\Why didn' you give him what for?\He even said we were holdin' him back!\Sensei has a lot of pride, response:	so using logic on him will just make him more depressed.
context: Miwa-chan!\Sorry, Sensei.\Looks like our timing was bad.\We'll come back later.\Why didn' you give him what for?\He even said we were holdin' him back!\Sensei has a lot of pride,\so using logic on him will just make him more depressed. response:	Let's leave it to Naru.
context: Sorry, Sensei.\Looks like our timing was bad.\We'll come back later.\Why didn' you give him what for?\He even said we were holdin' him back!\Sensei has a lot of pride,\so using logic on him will just make him more depressed.\Let's leave it to Naru. response:	Sensei.
context: Looks like our timing was bad.\We'll come back later.\Why didn' you give him what for?\He even said we were holdin' him back!\Sensei has a lot of pride,\so using logic on him will just make him more depressed.\Let's leave it to Naru.\Sensei. response:	Didn' Miwa-nee and Tama leave unhappy with you?
context: We'll come back later.\Why didn' you give him what for?\He even said we were holdin' him back!\Sensei has a lot of pride,\so using logic on him will just make him more depressed.\Let's leave it to Naru.\Sensei.\Didn' Miwa-nee and Tama leave unhappy with you? response:	Yes, I know!
context: Why didn' you give him what for?\He even said we were holdin' him back!\Sensei has a lot of pride,\so using logic on him will just make him more depressed.\Let's leave it to Naru.\Sensei.\Didn' Miwa-nee and Tama leave unhappy with you?\Yes, I know! response:	Even middle-school kids worry about me.
context: He even said we were holdin' him back!\Sensei has a lot of pride,\so using logic on him will just make him more depressed.\Let's leave it to Naru.\Sensei.\Didn' Miwa-nee and Tama leave unhappy with you?\Yes, I know!\Even middle-school kids worry about me. response:	I really am pathetic.
context: Sensei has a lot of pride,\so using logic on him will just make him more depressed.\Let's leave it to Naru.\Sensei.\Didn' Miwa-nee and Tama leave unhappy with you?\Yes, I know!\Even middle-school kids worry about me.\I really am pathetic. response:	Still, it's just so vexing.
context: so using logic on him will just make him more depressed.\Let's leave it to Naru.\Sensei.\Didn' Miwa-nee and Tama leave unhappy with you?\Yes, I know!\Even middle-school kids worry about me.\I really am pathetic.\Still, it's just so vexing. response:	Without calligraphy, I have nothing of value to offer.
context: Let's leave it to Naru.\Sensei.\Didn' Miwa-nee and Tama leave unhappy with you?\Yes, I know!\Even middle-school kids worry about me.\I really am pathetic.\Still, it's just so vexing.\Without calligraphy, I have nothing of value to offer. response:	But since I didn't win, I'm worthless.
context: Sensei.\Didn' Miwa-nee and Tama leave unhappy with you?\Yes, I know!\Even middle-school kids worry about me.\I really am pathetic.\Still, it's just so vexing.\Without calligraphy, I have nothing of value to offer.\But since I didn't win, I'm worthless. response:	Sensei, are you havin' fun right now?
context: Didn' Miwa-nee and Tama leave unhappy with you?\Yes, I know!\Even middle-school kids worry about me.\I really am pathetic.\Still, it's just so vexing.\Without calligraphy, I have nothing of value to offer.\But since I didn't win, I'm worthless.\Sensei, are you havin' fun right now? response:	If you ain't, then let's go play!
context: Yes, I know!\Even middle-school kids worry about me.\I really am pathetic.\Still, it's just so vexing.\Without calligraphy, I have nothing of value to offer.\But since I didn't win, I'm worthless.\Sensei, are you havin' fun right now?\If you ain't, then let's go play! response:	Everyone's carrying grocery bags.
context: Even middle-school kids worry about me.\I really am pathetic.\Still, it's just so vexing.\Without calligraphy, I have nothing of value to offer.\But since I didn't win, I'm worthless.\Sensei, are you havin' fun right now?\If you ain't, then let's go play!\Everyone's carrying grocery bags. response:	What's going on here?
context: I really am pathetic.\Still, it's just so vexing.\Without calligraphy, I have nothing of value to offer.\But since I didn't win, I'm worthless.\Sensei, are you havin' fun right now?\If you ain't, then let's go play!\Everyone's carrying grocery bags.\What's going on here? response:	Mochi-picking!
context: Still, it's just so vexing.\Without calligraphy, I have nothing of value to offer.\But since I didn't win, I'm worthless.\Sensei, are you havin' fun right now?\If you ain't, then let's go play!\Everyone's carrying grocery bags.\What's going on here?\Mochi-picking! response:	You don't know'bout it?
context: Without calligraphy, I have nothing of value to offer.\But since I didn't win, I'm worthless.\Sensei, are you havin' fun right now?\If you ain't, then let's go play!\Everyone's carrying grocery bags.\What's going on here?\Mochi-picking!\You don't know'bout it? response:	Yup, yer a stranger.
context: But since I didn't win, I'm worthless.\Sensei, are you havin' fun right now?\If you ain't, then let's go play!\Everyone's carrying grocery bags.\What's going on here?\Mochi-picking!\You don't know'bout it?\Yup, yer a stranger. response:	Hmph!
context: Sensei, are you havin' fun right now?\If you ain't, then let's go play!\Everyone's carrying grocery bags.\What's going on here?\Mochi-picking!\You don't know'bout it?\Yup, yer a stranger.\Hmph! response:	That's the thing where you toss mochi after building a house, right?
context: If you ain't, then let's go play!\Everyone's carrying grocery bags.\What's going on here?\Mochi-picking!\You don't know'bout it?\Yup, yer a stranger.\Hmph!\That's the thing where you toss mochi after building a house, right? response:	I've never done it, but I still know that much.
context: Everyone's carrying grocery bags.\What's going on here?\Mochi-picking!\You don't know'bout it?\Yup, yer a stranger.\Hmph!\That's the thing where you toss mochi after building a house, right?\I've never done it, but I still know that much. response:	A house?
context: What's going on here?\Mochi-picking!\You don't know'bout it?\Yup, yer a stranger.\Hmph!\That's the thing where you toss mochi after building a house, right?\I've never done it, but I still know that much.\A house? response:	Big Catch
context: Mochi-picking!\You don't know'bout it?\Yup, yer a stranger.\Hmph!\That's the thing where you toss mochi after building a house, right?\I've never done it, but I still know that much.\A house?\Big Catch response:	Today's mochi-picking's for a boat!
context: You don't know'bout it?\Yup, yer a stranger.\Hmph!\That's the thing where you toss mochi after building a house, right?\I've never done it, but I still know that much.\A house?\Big Catch\Today's mochi-picking's for a boat! response:	I'm gonna pick a bunch!
context: Yup, yer a stranger.\Hmph!\That's the thing where you toss mochi after building a house, right?\I've never done it, but I still know that much.\A house?\Big Catch\Today's mochi-picking's for a boat!\I'm gonna pick a bunch! response:	Yer mighty late, Sensei.
context: Hmph!\That's the thing where you toss mochi after building a house, right?\I've never done it, but I still know that much.\A house?\Big Catch\Today's mochi-picking's for a boat!\I'm gonna pick a bunch!\Yer mighty late, Sensei. response:	Get ready, they're throwin' soon.
context: That's the thing where you toss mochi after building a house, right?\I've never done it, but I still know that much.\A house?\Big Catch\Today's mochi-picking's for a boat!\I'm gonna pick a bunch!\Yer mighty late, Sensei.\Get ready, they're throwin' soon. response:	Uh, what's this for?
context: I've never done it, but I still know that much.\A house?\Big Catch\Today's mochi-picking's for a boat!\I'm gonna pick a bunch!\Yer mighty late, Sensei.\Get ready, they're throwin' soon.\Uh, what's this for? response:	Kenta-folks' new boat.
context: A house?\Big Catch\Today's mochi-picking's for a boat!\I'm gonna pick a bunch!\Yer mighty late, Sensei.\Get ready, they're throwin' soon.\Uh, what's this for?\Kenta-folks' new boat. response:	Kenta-folks?
context: Big Catch\Today's mochi-picking's for a boat!\I'm gonna pick a bunch!\Yer mighty late, Sensei.\Get ready, they're throwin' soon.\Uh, what's this for?\Kenta-folks' new boat.\Kenta-folks? response:	Hey! Naru!
context: Today's mochi-picking's for a boat!\I'm gonna pick a bunch!\Yer mighty late, Sensei.\Get ready, they're throwin' soon.\Uh, what's this for?\Kenta-folks' new boat.\Kenta-folks?\Hey! Naru! response:	Kenmaru
context: I'm gonna pick a bunch!\Yer mighty late, Sensei.\Get ready, they're throwin' soon.\Uh, what's this for?\Kenta-folks' new boat.\Kenta-folks?\Hey! Naru!\Kenmaru response:	Kenta! That's a mighty fine boat!
context: Yer mighty late, Sensei.\Get ready, they're throwin' soon.\Uh, what's this for?\Kenta-folks' new boat.\Kenta-folks?\Hey! Naru!\Kenmaru\Kenta! That's a mighty fine boat! response:	'Course it is! It's called Kenmaru!
context: Get ready, they're throwin' soon.\Uh, what's this for?\Kenta-folks' new boat.\Kenta-folks?\Hey! Naru!\Kenmaru\Kenta! That's a mighty fine boat!\'Course it is! It's called Kenmaru! response:	Kenmaru?
context: Uh, what's this for?\Kenta-folks' new boat.\Kenta-folks?\Hey! Naru!\Kenmaru\Kenta! That's a mighty fine boat!\'Course it is! It's called Kenmaru!\Kenmaru? response:	It's actually good luck to name a boat after the eldest daughter.
context: Kenta-folks' new boat.\Kenta-folks?\Hey! Naru!\Kenmaru\Kenta! That's a mighty fine boat!\'Course it is! It's called Kenmaru!\Kenmaru?\It's actually good luck to name a boat after the eldest daughter. response:	But we ain't got no daughters.
context: Kenta-folks?\Hey! Naru!\Kenmaru\Kenta! That's a mighty fine boat!\'Course it is! It's called Kenmaru!\Kenmaru?\It's actually good luck to name a boat after the eldest daughter.\But we ain't got no daughters. response:	I'm gonna toss a ton yer way, Naru!
context: Hey! Naru!\Kenmaru\Kenta! That's a mighty fine boat!\'Course it is! It's called Kenmaru!\Kenmaru?\It's actually good luck to name a boat after the eldest daughter.\But we ain't got no daughters.\I'm gonna toss a ton yer way, Naru! response:	Sensei! Over here!
context: Kenmaru\Kenta! That's a mighty fine boat!\'Course it is! It's called Kenmaru!\Kenmaru?\It's actually good luck to name a boat after the eldest daughter.\But we ain't got no daughters.\I'm gonna toss a ton yer way, Naru!\Sensei! Over here! response:	Darn it!
context: Kenta! That's a mighty fine boat!\'Course it is! It's called Kenmaru!\Kenmaru?\It's actually good luck to name a boat after the eldest daughter.\But we ain't got no daughters.\I'm gonna toss a ton yer way, Naru!\Sensei! Over here!\Darn it! response:	Naru, look! I got mochi!
context: 'Course it is! It's called Kenmaru!\Kenmaru?\It's actually good luck to name a boat after the eldest daughter.\But we ain't got no daughters.\I'm gonna toss a ton yer way, Naru!\Sensei! Over here!\Darn it!\Naru, look! I got mochi! response:	Fisherman
context: Kenmaru?\It's actually good luck to name a boat after the eldest daughter.\But we ain't got no daughters.\I'm gonna toss a ton yer way, Naru!\Sensei! Over here!\Darn it!\Naru, look! I got mochi!\Fisherman response:	What're you doin', Kenta?!
context: It's actually good luck to name a boat after the eldest daughter.\But we ain't got no daughters.\I'm gonna toss a ton yer way, Naru!\Sensei! Over here!\Darn it!\Naru, look! I got mochi!\Fisherman\What're you doin', Kenta?! response:	I just... I just...
context: But we ain't got no daughters.\I'm gonna toss a ton yer way, Naru!\Sensei! Over here!\Darn it!\Naru, look! I got mochi!\Fisherman\What're you doin', Kenta?!\I just... I just... response:	That's enough, just get scoopin'!
context: I'm gonna toss a ton yer way, Naru!\Sensei! Over here!\Darn it!\Naru, look! I got mochi!\Fisherman\What're you doin', Kenta?!\I just... I just...\That's enough, just get scoopin'! response:	Oh! Sensei came too!
context: Sensei! Over here!\Darn it!\Naru, look! I got mochi!\Fisherman\What're you doin', Kenta?!\I just... I just...\That's enough, just get scoopin'!\Oh! Sensei came too! response:	Feelin' a mite better?
context: Darn it!\Naru, look! I got mochi!\Fisherman\What're you doin', Kenta?!\I just... I just...\That's enough, just get scoopin'!\Oh! Sensei came too!\Feelin' a mite better? response:	You came too, Hiroshi?
context: Naru, look! I got mochi!\Fisherman\What're you doin', Kenta?!\I just... I just...\That's enough, just get scoopin'!\Oh! Sensei came too!\Feelin' a mite better?\You came too, Hiroshi? response:	Yeah. I was studying, but these guys dragged me here.
context: Fisherman\What're you doin', Kenta?!\I just... I just...\That's enough, just get scoopin'!\Oh! Sensei came too!\Feelin' a mite better?\You came too, Hiroshi?\Yeah. I was studying, but these guys dragged me here. response:	After he shrewdly grabbed a glove.
context: What're you doin', Kenta?!\I just... I just...\That's enough, just get scoopin'!\Oh! Sensei came too!\Feelin' a mite better?\You came too, Hiroshi?\Yeah. I was studying, but these guys dragged me here.\After he shrewdly grabbed a glove. response:	If I'm doing anything, I'm doing it seriously.
context: I just... I just...\That's enough, just get scoopin'!\Oh! Sensei came too!\Feelin' a mite better?\You came too, Hiroshi?\Yeah. I was studying, but these guys dragged me here.\After he shrewdly grabbed a glove.\If I'm doing anything, I'm doing it seriously. response:	Ain't gonna lose, huh?
context: That's enough, just get scoopin'!\Oh! Sensei came too!\Feelin' a mite better?\You came too, Hiroshi?\Yeah. I was studying, but these guys dragged me here.\After he shrewdly grabbed a glove.\If I'm doing anything, I'm doing it seriously.\Ain't gonna lose, huh? response:	Hey.
context: Oh! Sensei came too!\Feelin' a mite better?\You came too, Hiroshi?\Yeah. I was studying, but these guys dragged me here.\After he shrewdly grabbed a glove.\If I'm doing anything, I'm doing it seriously.\Ain't gonna lose, huh?\Hey. response:	About before... uh...
context: Feelin' a mite better?\You came too, Hiroshi?\Yeah. I was studying, but these guys dragged me here.\After he shrewdly grabbed a glove.\If I'm doing anything, I'm doing it seriously.\Ain't gonna lose, huh?\Hey.\About before... uh... response:	What? That still got ya down?
context: You came too, Hiroshi?\Yeah. I was studying, but these guys dragged me here.\After he shrewdly grabbed a glove.\If I'm doing anything, I'm doing it seriously.\Ain't gonna lose, huh?\Hey.\About before... uh...\What? That still got ya down? response:	Don't worry none'bout us.
context: Yeah. I was studying, but these guys dragged me here.\After he shrewdly grabbed a glove.\If I'm doing anything, I'm doing it seriously.\Ain't gonna lose, huh?\Hey.\About before... uh...\What? That still got ya down?\Don't worry none'bout us. response:	Let's just focus on pickin' mochi.
context: After he shrewdly grabbed a glove.\If I'm doing anything, I'm doing it seriously.\Ain't gonna lose, huh?\Hey.\About before... uh...\What? That still got ya down?\Don't worry none'bout us.\Let's just focus on pickin' mochi. response:	In order to get a lot, you must keep away from the two professionals.
context: If I'm doing anything, I'm doing it seriously.\Ain't gonna lose, huh?\Hey.\About before... uh...\What? That still got ya down?\Don't worry none'bout us.\Let's just focus on pickin' mochi.\In order to get a lot, you must keep away from the two professionals. response:	Professionals?
context: Ain't gonna lose, huh?\Hey.\About before... uh...\What? That still got ya down?\Don't worry none'bout us.\Let's just focus on pickin' mochi.\In order to get a lot, you must keep away from the two professionals.\Professionals? response:	The first one is Yasuba!
context: Hey.\About before... uh...\What? That still got ya down?\Don't worry none'bout us.\Let's just focus on pickin' mochi.\In order to get a lot, you must keep away from the two professionals.\Professionals?\The first one is Yasuba! response:	She has long years of mochi-picking experience.
context: About before... uh...\What? That still got ya down?\Don't worry none'bout us.\Let's just focus on pickin' mochi.\In order to get a lot, you must keep away from the two professionals.\Professionals?\The first one is Yasuba!\She has long years of mochi-picking experience. response:	She always picks the most.
context: What? That still got ya down?\Don't worry none'bout us.\Let's just focus on pickin' mochi.\In order to get a lot, you must keep away from the two professionals.\Professionals?\The first one is Yasuba!\She has long years of mochi-picking experience.\She always picks the most. response:	The other one is Panchi!
context: Don't worry none'bout us.\Let's just focus on pickin' mochi.\In order to get a lot, you must keep away from the two professionals.\Professionals?\The first one is Yasuba!\She has long years of mochi-picking experience.\She always picks the most.\The other one is Panchi! response:	She'll snatch mochi you've already picked, so stay'way from her.
context: Let's just focus on pickin' mochi.\In order to get a lot, you must keep away from the two professionals.\Professionals?\The first one is Yasuba!\She has long years of mochi-picking experience.\She always picks the most.\The other one is Panchi!\She'll snatch mochi you've already picked, so stay'way from her. response:	Beyond that, we just have to show our stuff.
context: In order to get a lot, you must keep away from the two professionals.\Professionals?\The first one is Yasuba!\She has long years of mochi-picking experience.\She always picks the most.\The other one is Panchi!\She'll snatch mochi you've already picked, so stay'way from her.\Beyond that, we just have to show our stuff. response:	Sensei!
context: Professionals?\The first one is Yasuba!\She has long years of mochi-picking experience.\She always picks the most.\The other one is Panchi!\She'll snatch mochi you've already picked, so stay'way from her.\Beyond that, we just have to show our stuff.\Sensei! response:	I'm doing it too?
context: The first one is Yasuba!\She has long years of mochi-picking experience.\She always picks the most.\The other one is Panchi!\She'll snatch mochi you've already picked, so stay'way from her.\Beyond that, we just have to show our stuff.\Sensei!\I'm doing it too? response:	We're throwin'!
context: She has long years of mochi-picking experience.\She always picks the most.\The other one is Panchi!\She'll snatch mochi you've already picked, so stay'way from her.\Beyond that, we just have to show our stuff.\Sensei!\I'm doing it too?\We're throwin'! response:	We're pickin'!
context: She always picks the most.\The other one is Panchi!\She'll snatch mochi you've already picked, so stay'way from her.\Beyond that, we just have to show our stuff.\Sensei!\I'm doing it too?\We're throwin'!\We're pickin'! response:	Yeaaah!
context: The other one is Panchi!\She'll snatch mochi you've already picked, so stay'way from her.\Beyond that, we just have to show our stuff.\Sensei!\I'm doing it too?\We're throwin'!\We're pickin'!\Yeaaah! response:	Yeah.
context: She'll snatch mochi you've already picked, so stay'way from her.\Beyond that, we just have to show our stuff.\Sensei!\I'm doing it too?\We're throwin'!\We're pickin'!\Yeaaah!\Yeah. response:	Get set!
context: Beyond that, we just have to show our stuff.\Sensei!\I'm doing it too?\We're throwin'!\We're pickin'!\Yeaaah!\Yeah.\Get set! response:	I got a late start.
context: Sensei!\I'm doing it too?\We're throwin'!\We're pickin'!\Yeaaah!\Yeah.\Get set!\I got a late start. response:	I'll go up front to make a catch...
context: I'm doing it too?\We're throwin'!\We're pickin'!\Yeaaah!\Yeah.\Get set!\I got a late start.\I'll go up front to make a catch... response:	What just happened?
context: We're throwin'!\We're pickin'!\Yeaaah!\Yeah.\Get set!\I got a late start.\I'll go up front to make a catch...\What just happened? response:	Damn! I'll try again!
context: We're pickin'!\Yeaaah!\Yeah.\Get set!\I got a late start.\I'll go up front to make a catch...\What just happened?\Damn! I'll try again! response:	Yes! Now's my chance!
context: Yeaaah!\Yeah.\Get set!\I got a late start.\I'll go up front to make a catch...\What just happened?\Damn! I'll try again!\Yes! Now's my chance! response:	Sorry, Sensei.
context: Yeah.\Get set!\I got a late start.\I'll go up front to make a catch...\What just happened?\Damn! I'll try again!\Yes! Now's my chance!\Sorry, Sensei. response:	You... took my mochi...
context: Get set!\I got a late start.\I'll go up front to make a catch...\What just happened?\Damn! I'll try again!\Yes! Now's my chance!\Sorry, Sensei.\You... took my mochi... response:	Grr! Is God testing me?
context: I got a late start.\I'll go up front to make a catch...\What just happened?\Damn! I'll try again!\Yes! Now's my chance!\Sorry, Sensei.\You... took my mochi...\Grr! Is God testing me? response:	Tama?
context: I'll go up front to make a catch...\What just happened?\Damn! I'll try again!\Yes! Now's my chance!\Sorry, Sensei.\You... took my mochi...\Grr! Is God testing me?\Tama? response:	Don't take it easy.
context: What just happened?\Damn! I'll try again!\Yes! Now's my chance!\Sorry, Sensei.\You... took my mochi...\Grr! Is God testing me?\Tama?\Don't take it easy. response:	Go at it with your usual guts, Sensei.
context: Damn! I'll try again!\Yes! Now's my chance!\Sorry, Sensei.\You... took my mochi...\Grr! Is God testing me?\Tama?\Don't take it easy.\Go at it with your usual guts, Sensei. response:	What do you mean, my usual...?
context: Yes! Now's my chance!\Sorry, Sensei.\You... took my mochi...\Grr! Is God testing me?\Tama?\Don't take it easy.\Go at it with your usual guts, Sensei.\What do you mean, my usual...? response:	So in the end, it's the same here too, huh?
context: Sorry, Sensei.\You... took my mochi...\Grr! Is God testing me?\Tama?\Don't take it easy.\Go at it with your usual guts, Sensei.\What do you mean, my usual...?\So in the end, it's the same here too, huh? response:	Some can get them, and some can't.
context: You... took my mochi...\Grr! Is God testing me?\Tama?\Don't take it easy.\Go at it with your usual guts, Sensei.\What do you mean, my usual...?\So in the end, it's the same here too, huh?\Some can get them, and some can't. response:	Rather than struggle, wouldn't it be more gracious to stop trying altogether?
context: Grr! Is God testing me?\Tama?\Don't take it easy.\Go at it with your usual guts, Sensei.\What do you mean, my usual...?\So in the end, it's the same here too, huh?\Some can get them, and some can't.\Rather than struggle, wouldn't it be more gracious to stop trying altogether? response:	Maybe I'll just quit...
context: Tama?\Don't take it easy.\Go at it with your usual guts, Sensei.\What do you mean, my usual...?\So in the end, it's the same here too, huh?\Some can get them, and some can't.\Rather than struggle, wouldn't it be more gracious to stop trying altogether?\Maybe I'll just quit... response:	Damn you, Panchi!
context: Don't take it easy.\Go at it with your usual guts, Sensei.\What do you mean, my usual...?\So in the end, it's the same here too, huh?\Some can get them, and some can't.\Rather than struggle, wouldn't it be more gracious to stop trying altogether?\Maybe I'll just quit...\Damn you, Panchi! response:	Get anythin', Sensei?
context: Go at it with your usual guts, Sensei.\What do you mean, my usual...?\So in the end, it's the same here too, huh?\Some can get them, and some can't.\Rather than struggle, wouldn't it be more gracious to stop trying altogether?\Maybe I'll just quit...\Damn you, Panchi!\Get anythin', Sensei? response:	Uh, no.
context: What do you mean, my usual...?\So in the end, it's the same here too, huh?\Some can get them, and some can't.\Rather than struggle, wouldn't it be more gracious to stop trying altogether?\Maybe I'll just quit...\Damn you, Panchi!\Get anythin', Sensei?\Uh, no. response:	Maybe yer just bad at it.
context: So in the end, it's the same here too, huh?\Some can get them, and some can't.\Rather than struggle, wouldn't it be more gracious to stop trying altogether?\Maybe I'll just quit...\Damn you, Panchi!\Get anythin', Sensei?\Uh, no.\Maybe yer just bad at it. response:	I really am no good.
context: Some can get them, and some can't.\Rather than struggle, wouldn't it be more gracious to stop trying altogether?\Maybe I'll just quit...\Damn you, Panchi!\Get anythin', Sensei?\Uh, no.\Maybe yer just bad at it.\I really am no good. response:	At anything.
context: Rather than struggle, wouldn't it be more gracious to stop trying altogether?\Maybe I'll just quit...\Damn you, Panchi!\Get anythin', Sensei?\Uh, no.\Maybe yer just bad at it.\I really am no good.\At anything. response:	It's no good if yer always lookin' up.
context: Maybe I'll just quit...\Damn you, Panchi!\Get anythin', Sensei?\Uh, no.\Maybe yer just bad at it.\I really am no good.\At anything.\It's no good if yer always lookin' up. response:	Wait patiently...
context: Damn you, Panchi!\Get anythin', Sensei?\Uh, no.\Maybe yer just bad at it.\I really am no good.\At anything.\It's no good if yer always lookin' up.\Wait patiently... response:	And take it once it hits the ground.
context: Get anythin', Sensei?\Uh, no.\Maybe yer just bad at it.\I really am no good.\At anything.\It's no good if yer always lookin' up.\Wait patiently...\And take it once it hits the ground. response:	You find a mess of opportunities fallen below.
context: Uh, no.\Maybe yer just bad at it.\I really am no good.\At anything.\It's no good if yer always lookin' up.\Wait patiently...\And take it once it hits the ground.\You find a mess of opportunities fallen below. response:	Below...
context: Maybe yer just bad at it.\I really am no good.\At anything.\It's no good if yer always lookin' up.\Wait patiently...\And take it once it hits the ground.\You find a mess of opportunities fallen below.\Below... response:	Ain't many left now, but keep tryin'.
context: I really am no good.\At anything.\It's no good if yer always lookin' up.\Wait patiently...\And take it once it hits the ground.\You find a mess of opportunities fallen below.\Below...\Ain't many left now, but keep tryin'. response:	Yasuba!
