context: Do you think I'll let you score any more points? response:	Here I come!
context: Don't make me laugh.\You're too slow!\You actually fell for my trap so easily...\You're really a fish after all.\Die!\Know your place!\I actually got defeated so easily...\This week's winner was determined in 85 seconds! response:	That's obvious though.
context: You're too slow!\You actually fell for my trap so easily...\You're really a fish after all.\Die!\Know your place!\I actually got defeated so easily...\This week's winner was determined in 85 seconds!\That's obvious though. response:	The air isn't a mermaid's territory.
context: You actually fell for my trap so easily...\You're really a fish after all.\Die!\Know your place!\I actually got defeated so easily...\This week's winner was determined in 85 seconds!\That's obvious though.\The air isn't a mermaid's territory. response:	Exactly!
context: You're really a fish after all.\Die!\Know your place!\I actually got defeated so easily...\This week's winner was determined in 85 seconds!\That's obvious though.\The air isn't a mermaid's territory.\Exactly! response:	Are you all right?
context: Die!\Know your place!\I actually got defeated so easily...\This week's winner was determined in 85 seconds!\That's obvious though.\The air isn't a mermaid's territory.\Exactly!\Are you all right? response:	Even though the vampire power was released,
context: Know your place!\I actually got defeated so easily...\This week's winner was determined in 85 seconds!\That's obvious though.\The air isn't a mermaid's territory.\Exactly!\Are you all right?\Even though the vampire power was released, response:	I guess the water drained Moka-san's power-
context: I actually got defeated so easily...\This week's winner was determined in 85 seconds!\That's obvious though.\The air isn't a mermaid's territory.\Exactly!\Are you all right?\Even though the vampire power was released,\I guess the water drained Moka-san's power- response:	Don't be so smug.
context: This week's winner was determined in 85 seconds!\That's obvious though.\The air isn't a mermaid's territory.\Exactly!\Are you all right?\Even though the vampire power was released,\I guess the water drained Moka-san's power-\Don't be so smug. response:	You don't understand her at all.
context: That's obvious though.\The air isn't a mermaid's territory.\Exactly!\Are you all right?\Even though the vampire power was released,\I guess the water drained Moka-san's power-\Don't be so smug.\You don't understand her at all. response:	Someone as selfish as yourself has no right to be beside me.
context: The air isn't a mermaid's territory.\Exactly!\Are you all right?\Even though the vampire power was released,\I guess the water drained Moka-san's power-\Don't be so smug.\You don't understand her at all.\Someone as selfish as yourself has no right to be beside me. response:	The other Moka is crying.
context: Exactly!\Are you all right?\Even though the vampire power was released,\I guess the water drained Moka-san's power-\Don't be so smug.\You don't understand her at all.\Someone as selfish as yourself has no right to be beside me.\The other Moka is crying. response:	The one who didn't understand her was actually me...
context: Are you all right?\Even though the vampire power was released,\I guess the water drained Moka-san's power-\Don't be so smug.\You don't understand her at all.\Someone as selfish as yourself has no right to be beside me.\The other Moka is crying.\The one who didn't understand her was actually me... response:	Moka-san didn't come the next day...
context: Even though the vampire power was released,\I guess the water drained Moka-san's power-\Don't be so smug.\You don't understand her at all.\Someone as selfish as yourself has no right to be beside me.\The other Moka is crying.\The one who didn't understand her was actually me...\Moka-san didn't come the next day... response:	It's also called that, for example, his favorite would be fish or something...
context: I guess the water drained Moka-san's power-\Don't be so smug.\You don't understand her at all.\Someone as selfish as yourself has no right to be beside me.\The other Moka is crying.\The one who didn't understand her was actually me...\Moka-san didn't come the next day...\It's also called that, for example, his favorite would be fish or something... response:	I'm sorry, Moka-san!
context: Don't be so smug.\You don't understand her at all.\Someone as selfish as yourself has no right to be beside me.\The other Moka is crying.\The one who didn't understand her was actually me...\Moka-san didn't come the next day...\It's also called that, for example, his favorite would be fish or something...\I'm sorry, Moka-san! response:	If Tsukune wants to join a club, just join the Swimming club.
context: You don't understand her at all.\Someone as selfish as yourself has no right to be beside me.\The other Moka is crying.\The one who didn't understand her was actually me...\Moka-san didn't come the next day...\It's also called that, for example, his favorite would be fish or something...\I'm sorry, Moka-san!\If Tsukune wants to join a club, just join the Swimming club. response:	Even though I can't swim, I can cheer for you from the poolside!
context: Someone as selfish as yourself has no right to be beside me.\The other Moka is crying.\The one who didn't understand her was actually me...\Moka-san didn't come the next day...\It's also called that, for example, his favorite would be fish or something...\I'm sorry, Moka-san!\If Tsukune wants to join a club, just join the Swimming club.\Even though I can't swim, I can cheer for you from the poolside! response:	You can't do that! What if you got splashed by water?
context: The other Moka is crying.\The one who didn't understand her was actually me...\Moka-san didn't come the next day...\It's also called that, for example, his favorite would be fish or something...\I'm sorry, Moka-san!\If Tsukune wants to join a club, just join the Swimming club.\Even though I can't swim, I can cheer for you from the poolside!\You can't do that! What if you got splashed by water? response:	I'll be fine! If you'd like-
context: The one who didn't understand her was actually me...\Moka-san didn't come the next day...\It's also called that, for example, his favorite would be fish or something...\I'm sorry, Moka-san!\If Tsukune wants to join a club, just join the Swimming club.\Even though I can't swim, I can cheer for you from the poolside!\You can't do that! What if you got splashed by water?\I'll be fine! If you'd like- response:	No! You definitely cannot join the Swimming club!
context: Moka-san didn't come the next day...\It's also called that, for example, his favorite would be fish or something...\I'm sorry, Moka-san!\If Tsukune wants to join a club, just join the Swimming club.\Even though I can't swim, I can cheer for you from the poolside!\You can't do that! What if you got splashed by water?\I'll be fine! If you'd like-\No! You definitely cannot join the Swimming club! response:	No way...
context: It's also called that, for example, his favorite would be fish or something...\I'm sorry, Moka-san!\If Tsukune wants to join a club, just join the Swimming club.\Even though I can't swim, I can cheer for you from the poolside!\You can't do that! What if you got splashed by water?\I'll be fine! If you'd like-\No! You definitely cannot join the Swimming club!\No way... response:	Why don't you both join the Newspaper club instead?
context: I'm sorry, Moka-san!\If Tsukune wants to join a club, just join the Swimming club.\Even though I can't swim, I can cheer for you from the poolside!\You can't do that! What if you got splashed by water?\I'll be fine! If you'd like-\No! You definitely cannot join the Swimming club!\No way...\Why don't you both join the Newspaper club instead? response:	Newspaper club?
context: If Tsukune wants to join a club, just join the Swimming club.\Even though I can't swim, I can cheer for you from the poolside!\You can't do that! What if you got splashed by water?\I'll be fine! If you'd like-\No! You definitely cannot join the Swimming club!\No way...\Why don't you both join the Newspaper club instead?\Newspaper club? response:	That's right, I'm the advisor!
context: Even though I can't swim, I can cheer for you from the poolside!\You can't do that! What if you got splashed by water?\I'll be fine! If you'd like-\No! You definitely cannot join the Swimming club!\No way...\Why don't you both join the Newspaper club instead?\Newspaper club?\That's right, I'm the advisor! response:	The Newspaper club is fine too!
context: You can't do that! What if you got splashed by water?\I'll be fine! If you'd like-\No! You definitely cannot join the Swimming club!\No way...\Why don't you both join the Newspaper club instead?\Newspaper club?\That's right, I'm the advisor!\The Newspaper club is fine too! response:	I finally found new members!
context: I'll be fine! If you'd like-\No! You definitely cannot join the Swimming club!\No way...\Why don't you both join the Newspaper club instead?\Newspaper club?\That's right, I'm the advisor!\The Newspaper club is fine too!\I finally found new members! response:	Hold up! I'm joining too!
context: No! You definitely cannot join the Swimming club!\No way...\Why don't you both join the Newspaper club instead?\Newspaper club?\That's right, I'm the advisor!\The Newspaper club is fine too!\I finally found new members!\Hold up! I'm joining too! response:	Me too!
context: No way...\Why don't you both join the Newspaper club instead?\Newspaper club?\That's right, I'm the advisor!\The Newspaper club is fine too!\I finally found new members!\Hold up! I'm joining too!\Me too! response:	Oh my! There are four!
context: Why don't you both join the Newspaper club instead?\Newspaper club?\That's right, I'm the advisor!\The Newspaper club is fine too!\I finally found new members!\Hold up! I'm joining too!\Me too!\Oh my! There are four! response:	Shizuka's so happy!
context: Newspaper club?\That's right, I'm the advisor!\The Newspaper club is fine too!\I finally found new members!\Hold up! I'm joining too!\Me too!\Oh my! There are four!\Shizuka's so happy! response:	We'll be in the same club with this, right Tsukune?
context: That's right, I'm the advisor!\The Newspaper club is fine too!\I finally found new members!\Hold up! I'm joining too!\Me too!\Oh my! There are four!\Shizuka's so happy!\We'll be in the same club with this, right Tsukune? response:	Kappuchu!
context: The Newspaper club is fine too!\I finally found new members!\Hold up! I'm joining too!\Me too!\Oh my! There are four!\Shizuka's so happy!\We'll be in the same club with this, right Tsukune?\Kappuchu! response:	This is bad!
context: I finally found new members!\Hold up! I'm joining too!\Me too!\Oh my! There are four!\Shizuka's so happy!\We'll be in the same club with this, right Tsukune?\Kappuchu!\This is bad! response:	Tsukune-san was kidnapped by the peeping tom!
context: Hold up! I'm joining too!\Me too!\Oh my! There are four!\Shizuka's so happy!\We'll be in the same club with this, right Tsukune?\Kappuchu!\This is bad!\Tsukune-san was kidnapped by the peeping tom! response:	Eh? It'd be great if Tsukune peeped at me!
context: Me too!\Oh my! There are four!\Shizuka's so happy!\We'll be in the same club with this, right Tsukune?\Kappuchu!\This is bad!\Tsukune-san was kidnapped by the peeping tom!\Eh? It'd be great if Tsukune peeped at me! response:	Eh!?
context: Oh my! There are four!\Shizuka's so happy!\We'll be in the same club with this, right Tsukune?\Kappuchu!\This is bad!\Tsukune-san was kidnapped by the peeping tom!\Eh? It'd be great if Tsukune peeped at me!\Eh!? response:	If this is the case, let's prove Tsukune's innocence!
context: Shizuka's so happy!\We'll be in the same club with this, right Tsukune?\Kappuchu!\This is bad!\Tsukune-san was kidnapped by the peeping tom!\Eh? It'd be great if Tsukune peeped at me!\Eh!?\If this is the case, let's prove Tsukune's innocence! response:	Next episode, the Newspaper Club and a Vampire,
context: We'll be in the same club with this, right Tsukune?\Kappuchu!\This is bad!\Tsukune-san was kidnapped by the peeping tom!\Eh? It'd be great if Tsukune peeped at me!\Eh!?\If this is the case, let's prove Tsukune's innocence!\Next episode, the Newspaper Club and a Vampire, response:	and a kappuchu for you!
