context: Intro response:	So you're not confident, huh?
context: Let's see...\I'd be lying if I said it didn't bother me.\Yusa and I text each other,\so I know a little about what you've done.\But I fell in love with you before I found out about that.\Don't look at me like that.\Is that the face of someone who wants to rule the world?\B-But y'know... response:	Yusa tried to stop me from falling for you and regretting it later,
context: I'd be lying if I said it didn't bother me.\Yusa and I text each other,\so I know a little about what you've done.\But I fell in love with you before I found out about that.\Don't look at me like that.\Is that the face of someone who wants to rule the world?\B-But y'know...\Yusa tried to stop me from falling for you and regretting it later, response:	but I fell for you out of my own free will.
context: Yusa and I text each other,\so I know a little about what you've done.\But I fell in love with you before I found out about that.\Don't look at me like that.\Is that the face of someone who wants to rule the world?\B-But y'know...\Yusa tried to stop me from falling for you and regretting it later,\but I fell for you out of my own free will. response:	So if I ever fall out of love, that'll be my own decision too.
context: so I know a little about what you've done.\But I fell in love with you before I found out about that.\Don't look at me like that.\Is that the face of someone who wants to rule the world?\B-But y'know...\Yusa tried to stop me from falling for you and regretting it later,\but I fell for you out of my own free will.\So if I ever fall out of love, that'll be my own decision too. response:	Even if you only think of me as a colleague and nothing else,
context: But I fell in love with you before I found out about that.\Don't look at me like that.\Is that the face of someone who wants to rule the world?\B-But y'know...\Yusa tried to stop me from falling for you and regretting it later,\but I fell for you out of my own free will.\So if I ever fall out of love, that'll be my own decision too.\Even if you only think of me as a colleague and nothing else, response:	I don't really mind.
context: Don't look at me like that.\Is that the face of someone who wants to rule the world?\B-But y'know...\Yusa tried to stop me from falling for you and regretting it later,\but I fell for you out of my own free will.\So if I ever fall out of love, that'll be my own decision too.\Even if you only think of me as a colleague and nothing else,\I don't really mind. response:	That has nothing to do with my love for you.
context: Is that the face of someone who wants to rule the world?\B-But y'know...\Yusa tried to stop me from falling for you and regretting it later,\but I fell for you out of my own free will.\So if I ever fall out of love, that'll be my own decision too.\Even if you only think of me as a colleague and nothing else,\I don't really mind.\That has nothing to do with my love for you. response:	Good grief. This is why humans are terrifying.
context: B-But y'know...\Yusa tried to stop me from falling for you and regretting it later,\but I fell for you out of my own free will.\So if I ever fall out of love, that'll be my own decision too.\Even if you only think of me as a colleague and nothing else,\I don't really mind.\That has nothing to do with my love for you.\Good grief. This is why humans are terrifying. response:	Yeah, that's right.
context: Yusa tried to stop me from falling for you and regretting it later,\but I fell for you out of my own free will.\So if I ever fall out of love, that'll be my own decision too.\Even if you only think of me as a colleague and nothing else,\I don't really mind.\That has nothing to do with my love for you.\Good grief. This is why humans are terrifying.\Yeah, that's right. response:	Especially girls.
context: but I fell for you out of my own free will.\So if I ever fall out of love, that'll be my own decision too.\Even if you only think of me as a colleague and nothing else,\I don't really mind.\That has nothing to do with my love for you.\Good grief. This is why humans are terrifying.\Yeah, that's right.\Especially girls. response:	Take them too lightly, and you'll get burned to a crisp.
context: So if I ever fall out of love, that'll be my own decision too.\Even if you only think of me as a colleague and nothing else,\I don't really mind.\That has nothing to do with my love for you.\Good grief. This is why humans are terrifying.\Yeah, that's right.\Especially girls.\Take them too lightly, and you'll get burned to a crisp. response:	I'll keep that in mind.
context: Even if you only think of me as a colleague and nothing else,\I don't really mind.\That has nothing to do with my love for you.\Good grief. This is why humans are terrifying.\Yeah, that's right.\Especially girls.\Take them too lightly, and you'll get burned to a crisp.\I'll keep that in mind. response:	You sure are loved, Sadao.
context: I don't really mind.\That has nothing to do with my love for you.\Good grief. This is why humans are terrifying.\Yeah, that's right.\Especially girls.\Take them too lightly, and you'll get burned to a crisp.\I'll keep that in mind.\You sure are loved, Sadao. response:	S-S-S-Suzuno!
context: That has nothing to do with my love for you.\Good grief. This is why humans are terrifying.\Yeah, that's right.\Especially girls.\Take them too lightly, and you'll get burned to a crisp.\I'll keep that in mind.\You sure are loved, Sadao.\S-S-S-Suzuno! response:	H-H-H-How long've you been there?!
context: Good grief. This is why humans are terrifying.\Yeah, that's right.\Especially girls.\Take them too lightly, and you'll get burned to a crisp.\I'll keep that in mind.\You sure are loved, Sadao.\S-S-S-Suzuno!\H-H-H-How long've you been there?! response:	From around the But I fell in love with you part.
context: Yeah, that's right.\Especially girls.\Take them too lightly, and you'll get burned to a crisp.\I'll keep that in mind.\You sure are loved, Sadao.\S-S-S-Suzuno!\H-H-H-How long've you been there?!\From around the But I fell in love with you part. response:	You're so honest about your feelings, Chiho.
context: Especially girls.\Take them too lightly, and you'll get burned to a crisp.\I'll keep that in mind.\You sure are loved, Sadao.\S-S-S-Suzuno!\H-H-H-How long've you been there?!\From around the But I fell in love with you part.\You're so honest about your feelings, Chiho. response:	I find that extremely noble and adorable,
context: Take them too lightly, and you'll get burned to a crisp.\I'll keep that in mind.\You sure are loved, Sadao.\S-S-S-Suzuno!\H-H-H-How long've you been there?!\From around the But I fell in love with you part.\You're so honest about your feelings, Chiho.\I find that extremely noble and adorable, response:	regardless of who the target of your affections is.
context: I'll keep that in mind.\You sure are loved, Sadao.\S-S-S-Suzuno!\H-H-H-How long've you been there?!\From around the But I fell in love with you part.\You're so honest about your feelings, Chiho.\I find that extremely noble and adorable,\regardless of who the target of your affections is. response:	Chiho?!
context: You sure are loved, Sadao.\S-S-S-Suzuno!\H-H-H-How long've you been there?!\From around the But I fell in love with you part.\You're so honest about your feelings, Chiho.\I find that extremely noble and adorable,\regardless of who the target of your affections is.\Chiho?! response:	Jeez.
context: S-S-S-Suzuno!\H-H-H-How long've you been there?!\From around the But I fell in love with you part.\You're so honest about your feelings, Chiho.\I find that extremely noble and adorable,\regardless of who the target of your affections is.\Chiho?!\Jeez. response:	I hope she doesn't get into an accident after dashing off like that.
context: H-H-H-How long've you been there?!\From around the But I fell in love with you part.\You're so honest about your feelings, Chiho.\I find that extremely noble and adorable,\regardless of who the target of your affections is.\Chiho?!\Jeez.\I hope she doesn't get into an accident after dashing off like that. response:	Surprising.
context: From around the But I fell in love with you part.\You're so honest about your feelings, Chiho.\I find that extremely noble and adorable,\regardless of who the target of your affections is.\Chiho?!\Jeez.\I hope she doesn't get into an accident after dashing off like that.\Surprising. response:	Huh?
context: You're so honest about your feelings, Chiho.\I find that extremely noble and adorable,\regardless of who the target of your affections is.\Chiho?!\Jeez.\I hope she doesn't get into an accident after dashing off like that.\Surprising.\Huh? response:	Is it that surprising that I worry about someone?
context: I find that extremely noble and adorable,\regardless of who the target of your affections is.\Chiho?!\Jeez.\I hope she doesn't get into an accident after dashing off like that.\Surprising.\Huh?\Is it that surprising that I worry about someone? response:	If I may be so blunt, yes, it is.
context: regardless of who the target of your affections is.\Chiho?!\Jeez.\I hope she doesn't get into an accident after dashing off like that.\Surprising.\Huh?\Is it that surprising that I worry about someone?\If I may be so blunt, yes, it is. response:	How do you feel about being the target of someone's affections?
context: Chiho?!\Jeez.\I hope she doesn't get into an accident after dashing off like that.\Surprising.\Huh?\Is it that surprising that I worry about someone?\If I may be so blunt, yes, it is.\How do you feel about being the target of someone's affections? response:	Huh?
context: Jeez.\I hope she doesn't get into an accident after dashing off like that.\Surprising.\Huh?\Is it that surprising that I worry about someone?\If I may be so blunt, yes, it is.\How do you feel about being the target of someone's affections?\Huh? response:	What're you interrogating me for?
context: I hope she doesn't get into an accident after dashing off like that.\Surprising.\Huh?\Is it that surprising that I worry about someone?\If I may be so blunt, yes, it is.\How do you feel about being the target of someone's affections?\Huh?\What're you interrogating me for? response:	No reason, really.
context: Surprising.\Huh?\Is it that surprising that I worry about someone?\If I may be so blunt, yes, it is.\How do you feel about being the target of someone's affections?\Huh?\What're you interrogating me for?\No reason, really. response:	Well, let's see...
context: Huh?\Is it that surprising that I worry about someone?\If I may be so blunt, yes, it is.\How do you feel about being the target of someone's affections?\Huh?\What're you interrogating me for?\No reason, really.\Well, let's see... response:	She was that straightforward about it,
context: Is it that surprising that I worry about someone?\If I may be so blunt, yes, it is.\How do you feel about being the target of someone's affections?\Huh?\What're you interrogating me for?\No reason, really.\Well, let's see...\She was that straightforward about it, response:	so I don't want to sweep it under the rug either.
context: If I may be so blunt, yes, it is.\How do you feel about being the target of someone's affections?\Huh?\What're you interrogating me for?\No reason, really.\Well, let's see...\She was that straightforward about it,\so I don't want to sweep it under the rug either. response:	And although it's nice that Chiho likes me,
context: How do you feel about being the target of someone's affections?\Huh?\What're you interrogating me for?\No reason, really.\Well, let's see...\She was that straightforward about it,\so I don't want to sweep it under the rug either.\And although it's nice that Chiho likes me, response:	the fact that her parents, or rather, her mother trusts me
context: Huh?\What're you interrogating me for?\No reason, really.\Well, let's see...\She was that straightforward about it,\so I don't want to sweep it under the rug either.\And although it's nice that Chiho likes me,\the fact that her parents, or rather, her mother trusts me response:	means I can't blow this off either.
context: What're you interrogating me for?\No reason, really.\Well, let's see...\She was that straightforward about it,\so I don't want to sweep it under the rug either.\And although it's nice that Chiho likes me,\the fact that her parents, or rather, her mother trusts me\means I can't blow this off either. response:	Wait.
context: No reason, really.\Well, let's see...\She was that straightforward about it,\so I don't want to sweep it under the rug either.\And although it's nice that Chiho likes me,\the fact that her parents, or rather, her mother trusts me\means I can't blow this off either.\Wait. response:	What's with that look?
context: Well, let's see...\She was that straightforward about it,\so I don't want to sweep it under the rug either.\And although it's nice that Chiho likes me,\the fact that her parents, or rather, her mother trusts me\means I can't blow this off either.\Wait.\What's with that look? response:	N-Nothing.
context: She was that straightforward about it,\so I don't want to sweep it under the rug either.\And although it's nice that Chiho likes me,\the fact that her parents, or rather, her mother trusts me\means I can't blow this off either.\Wait.\What's with that look?\N-Nothing. response:	Oh, right.
context: so I don't want to sweep it under the rug either.\And although it's nice that Chiho likes me,\the fact that her parents, or rather, her mother trusts me\means I can't blow this off either.\Wait.\What's with that look?\N-Nothing.\Oh, right. response:	I'm keeping Emi waiting.
context: And although it's nice that Chiho likes me,\the fact that her parents, or rather, her mother trusts me\means I can't blow this off either.\Wait.\What's with that look?\N-Nothing.\Oh, right.\I'm keeping Emi waiting. response:	You're going to the station, right?
context: the fact that her parents, or rather, her mother trusts me\means I can't blow this off either.\Wait.\What's with that look?\N-Nothing.\Oh, right.\I'm keeping Emi waiting.\You're going to the station, right? response:	I'll walk you there.
context: means I can't blow this off either.\Wait.\What's with that look?\N-Nothing.\Oh, right.\I'm keeping Emi waiting.\You're going to the station, right?\I'll walk you there. response:	Huh?
context: Wait.\What's with that look?\N-Nothing.\Oh, right.\I'm keeping Emi waiting.\You're going to the station, right?\I'll walk you there.\Huh? response:	Wh-What?
context: What's with that look?\N-Nothing.\Oh, right.\I'm keeping Emi waiting.\You're going to the station, right?\I'll walk you there.\Huh?\Wh-What? response:	Nothing...
context: N-Nothing.\Oh, right.\I'm keeping Emi waiting.\You're going to the station, right?\I'll walk you there.\Huh?\Wh-What?\Nothing... response:	Never mind.
context: Oh, right.\I'm keeping Emi waiting.\You're going to the station, right?\I'll walk you there.\Huh?\Wh-What?\Nothing...\Never mind. response:	Did you find your wallet?
context: I'm keeping Emi waiting.\You're going to the station, right?\I'll walk you there.\Huh?\Wh-What?\Nothing...\Never mind.\Did you find your wallet? response:	Y-Yeah, I did.
context: You're going to the station, right?\I'll walk you there.\Huh?\Wh-What?\Nothing...\Never mind.\Did you find your wallet?\Y-Yeah, I did. response:	Looks like I kept you waiting a while.
context: I'll walk you there.\Huh?\Wh-What?\Nothing...\Never mind.\Did you find your wallet?\Y-Yeah, I did.\Looks like I kept you waiting a while. response:	I apologize.
context: Huh?\Wh-What?\Nothing...\Never mind.\Did you find your wallet?\Y-Yeah, I did.\Looks like I kept you waiting a while.\I apologize. response:	Don't worry about it.
context: Wh-What?\Nothing...\Never mind.\Did you find your wallet?\Y-Yeah, I did.\Looks like I kept you waiting a while.\I apologize.\Don't worry about it. response:	Er...
context: Nothing...\Never mind.\Did you find your wallet?\Y-Yeah, I did.\Looks like I kept you waiting a while.\I apologize.\Don't worry about it.\Er... response:	Are we going to get on this train thing now?
context: Never mind.\Did you find your wallet?\Y-Yeah, I did.\Looks like I kept you waiting a while.\I apologize.\Don't worry about it.\Er...\Are we going to get on this train thing now? response:	Yeah.
context: Did you find your wallet?\Y-Yeah, I did.\Looks like I kept you waiting a while.\I apologize.\Don't worry about it.\Er...\Are we going to get on this train thing now?\Yeah. response:	Shinjuku's only one station away,
context: Y-Yeah, I did.\Looks like I kept you waiting a while.\I apologize.\Don't worry about it.\Er...\Are we going to get on this train thing now?\Yeah.\Shinjuku's only one station away, response:	but it's too far to go there by foot.
context: Looks like I kept you waiting a while.\I apologize.\Don't worry about it.\Er...\Are we going to get on this train thing now?\Yeah.\Shinjuku's only one station away,\but it's too far to go there by foot. response:	Oh, about that...
context: I apologize.\Don't worry about it.\Er...\Are we going to get on this train thing now?\Yeah.\Shinjuku's only one station away,\but it's too far to go there by foot.\Oh, about that... response:	I've never actually gotten on a train before.
context: Don't worry about it.\Er...\Are we going to get on this train thing now?\Yeah.\Shinjuku's only one station away,\but it's too far to go there by foot.\Oh, about that...\I've never actually gotten on a train before. response:	Huh?
context: Er...\Are we going to get on this train thing now?\Yeah.\Shinjuku's only one station away,\but it's too far to go there by foot.\Oh, about that...\I've never actually gotten on a train before.\Huh? response:	I hear they use some smart gourd things to pay for travelling expenses here in Tokyo.
context: Are we going to get on this train thing now?\Yeah.\Shinjuku's only one station away,\but it's too far to go there by foot.\Oh, about that...\I've never actually gotten on a train before.\Huh?\I hear they use some smart gourd things to pay for travelling expenses here in Tokyo. response:	Where may I procure one?
context: Yeah.\Shinjuku's only one station away,\but it's too far to go there by foot.\Oh, about that...\I've never actually gotten on a train before.\Huh?\I hear they use some smart gourd things to pay for travelling expenses here in Tokyo.\Where may I procure one? response:	E-Er...
context: Shinjuku's only one station away,\but it's too far to go there by foot.\Oh, about that...\I've never actually gotten on a train before.\Huh?\I hear they use some smart gourd things to pay for travelling expenses here in Tokyo.\Where may I procure one?\E-Er... response:	Hold on a sec.
context: but it's too far to go there by foot.\Oh, about that...\I've never actually gotten on a train before.\Huh?\I hear they use some smart gourd things to pay for travelling expenses here in Tokyo.\Where may I procure one?\E-Er...\Hold on a sec. response:	Before that, can I ask you a question?
context: Oh, about that...\I've never actually gotten on a train before.\Huh?\I hear they use some smart gourd things to pay for travelling expenses here in Tokyo.\Where may I procure one?\E-Er...\Hold on a sec.\Before that, can I ask you a question? response:	How exactly did you come here to Sasazuka?
context: I've never actually gotten on a train before.\Huh?\I hear they use some smart gourd things to pay for travelling expenses here in Tokyo.\Where may I procure one?\E-Er...\Hold on a sec.\Before that, can I ask you a question?\How exactly did you come here to Sasazuka? response:	I used the gate and came here directly.
context: Huh?\I hear they use some smart gourd things to pay for travelling expenses here in Tokyo.\Where may I procure one?\E-Er...\Hold on a sec.\Before that, can I ask you a question?\How exactly did you come here to Sasazuka?\I used the gate and came here directly. response:	Oh! So that's what
context: I hear they use some smart gourd things to pay for travelling expenses here in Tokyo.\Where may I procure one?\E-Er...\Hold on a sec.\Before that, can I ask you a question?\How exactly did you come here to Sasazuka?\I used the gate and came here directly.\Oh! So that's what response:	Wait. Did you just say gate?
context: Where may I procure one?\E-Er...\Hold on a sec.\Before that, can I ask you a question?\How exactly did you come here to Sasazuka?\I used the gate and came here directly.\Oh! So that's what\Wait. Did you just say gate? response:	Did you come here from Ente Isla?
context: E-Er...\Hold on a sec.\Before that, can I ask you a question?\How exactly did you come here to Sasazuka?\I used the gate and came here directly.\Oh! So that's what\Wait. Did you just say gate?\Did you come here from Ente Isla? response:	Huh?
context: Hold on a sec.\Before that, can I ask you a question?\How exactly did you come here to Sasazuka?\I used the gate and came here directly.\Oh! So that's what\Wait. Did you just say gate?\Did you come here from Ente Isla?\Huh? response:	I thought you'd realized that already.
context: Before that, can I ask you a question?\How exactly did you come here to Sasazuka?\I used the gate and came here directly.\Oh! So that's what\Wait. Did you just say gate?\Did you come here from Ente Isla?\Huh?\I thought you'd realized that already. response:	Whaaat?!
context: How exactly did you come here to Sasazuka?\I used the gate and came here directly.\Oh! So that's what\Wait. Did you just say gate?\Did you come here from Ente Isla?\Huh?\I thought you'd realized that already.\Whaaat?! response:	Whaaat?!
context: I used the gate and came here directly.\Oh! So that's what\Wait. Did you just say gate?\Did you come here from Ente Isla?\Huh?\I thought you'd realized that already.\Whaaat?!\Whaaat?! response:	Eye catch
context: Oh! So that's what\Wait. Did you just say gate?\Did you come here from Ente Isla?\Huh?\I thought you'd realized that already.\Whaaat?!\Whaaat?!\Eye catch response:	Overlord at Work
context: Wait. Did you just say gate?\Did you come here from Ente Isla?\Huh?\I thought you'd realized that already.\Whaaat?!\Whaaat?!\Eye catch\Overlord at Work response:	Overlord at Work
context: Did you come here from Ente Isla?\Huh?\I thought you'd realized that already.\Whaaat?!\Whaaat?!\Eye catch\Overlord at Work\Overlord at Work response:	Part B
context: Huh?\I thought you'd realized that already.\Whaaat?!\Whaaat?!\Eye catch\Overlord at Work\Overlord at Work\Part B response:	You never once mentioned it!
context: I thought you'd realized that already.\Whaaat?!\Whaaat?!\Eye catch\Overlord at Work\Overlord at Work\Part B\You never once mentioned it! response:	You were the one who brought it up!
context: Whaaat?!\Whaaat?!\Eye catch\Overlord at Work\Overlord at Work\Part B\You never once mentioned it!\You were the one who brought it up! response:	You asked me if I was after the Overlord.
context: Whaaat?!\Eye catch\Overlord at Work\Overlord at Work\Part B\You never once mentioned it!\You were the one who brought it up!\You asked me if I was after the Overlord. response:	And after that, you said stuff like,
context: Eye catch\Overlord at Work\Overlord at Work\Part B\You never once mentioned it!\You were the one who brought it up!\You asked me if I was after the Overlord.\And after that, you said stuff like, response:	Getting close to him will only cause you sorrow.
context: Overlord at Work\Overlord at Work\Part B\You never once mentioned it!\You were the one who brought it up!\You asked me if I was after the Overlord.\And after that, you said stuff like,\Getting close to him will only cause you sorrow. response:	And warned me to stay away from him.
context: Overlord at Work\Part B\You never once mentioned it!\You were the one who brought it up!\You asked me if I was after the Overlord.\And after that, you said stuff like,\Getting close to him will only cause you sorrow.\And warned me to stay away from him. response:	Huh?
context: Part B\You never once mentioned it!\You were the one who brought it up!\You asked me if I was after the Overlord.\And after that, you said stuff like,\Getting close to him will only cause you sorrow.\And warned me to stay away from him.\Huh? response:	And I replied, I have gone through many battles in the past,
context: You never once mentioned it!\You were the one who brought it up!\You asked me if I was after the Overlord.\And after that, you said stuff like,\Getting close to him will only cause you sorrow.\And warned me to stay away from him.\Huh?\And I replied, I have gone through many battles in the past, response:	but I have no choice but to heed the Hero's words.
context: You were the one who brought it up!\You asked me if I was after the Overlord.\And after that, you said stuff like,\Getting close to him will only cause you sorrow.\And warned me to stay away from him.\Huh?\And I replied, I have gone through many battles in the past,\but I have no choice but to heed the Hero's words. response:	However, I had nowhere to go if I vacated that place at once, so I asked you for assistance.
context: You asked me if I was after the Overlord.\And after that, you said stuff like,\Getting close to him will only cause you sorrow.\And warned me to stay away from him.\Huh?\And I replied, I have gone through many battles in the past,\but I have no choice but to heed the Hero's words.\However, I had nowhere to go if I vacated that place at once, so I asked you for assistance. response:	And then you promised to help me and gave me your address, did you not?!
context: And after that, you said stuff like,\Getting close to him will only cause you sorrow.\And warned me to stay away from him.\Huh?\And I replied, I have gone through many battles in the past,\but I have no choice but to heed the Hero's words.\However, I had nowhere to go if I vacated that place at once, so I asked you for assistance.\And then you promised to help me and gave me your address, did you not?! response:	Whaaat?!
context: Getting close to him will only cause you sorrow.\And warned me to stay away from him.\Huh?\And I replied, I have gone through many battles in the past,\but I have no choice but to heed the Hero's words.\However, I had nowhere to go if I vacated that place at once, so I asked you for assistance.\And then you promised to help me and gave me your address, did you not?!\Whaaat?! response:	Did you not say that because you realized who I was?
context: And warned me to stay away from him.\Huh?\And I replied, I have gone through many battles in the past,\but I have no choice but to heed the Hero's words.\However, I had nowhere to go if I vacated that place at once, so I asked you for assistance.\And then you promised to help me and gave me your address, did you not?!\Whaaat?!\Did you not say that because you realized who I was? response:	How the hell am I supposed to realize who you are?!
context: Huh?\And I replied, I have gone through many battles in the past,\but I have no choice but to heed the Hero's words.\However, I had nowhere to go if I vacated that place at once, so I asked you for assistance.\And then you promised to help me and gave me your address, did you not?!\Whaaat?!\Did you not say that because you realized who I was?\How the hell am I supposed to realize who you are?! response:	Did you not find it odd?
context: And I replied, I have gone through many battles in the past,\but I have no choice but to heed the Hero's words.\However, I had nowhere to go if I vacated that place at once, so I asked you for assistance.\And then you promised to help me and gave me your address, did you not?!\Whaaat?!\Did you not say that because you realized who I was?\How the hell am I supposed to realize who you are?!\Did you not find it odd? response:	An innocent girl like me, who just moved in,
context: but I have no choice but to heed the Hero's words.\However, I had nowhere to go if I vacated that place at once, so I asked you for assistance.\And then you promised to help me and gave me your address, did you not?!\Whaaat?!\Did you not say that because you realized who I was?\How the hell am I supposed to realize who you are?!\Did you not find it odd?\An innocent girl like me, who just moved in, response:	Did you just call yourself innocent?!
context: However, I had nowhere to go if I vacated that place at once, so I asked you for assistance.\And then you promised to help me and gave me your address, did you not?!\Whaaat?!\Did you not say that because you realized who I was?\How the hell am I supposed to realize who you are?!\Did you not find it odd?\An innocent girl like me, who just moved in,\Did you just call yourself innocent?! response:	would never barge into a house of men and take care of them!
context: And then you promised to help me and gave me your address, did you not?!\Whaaat?!\Did you not say that because you realized who I was?\How the hell am I supposed to realize who you are?!\Did you not find it odd?\An innocent girl like me, who just moved in,\Did you just call yourself innocent?!\would never barge into a house of men and take care of them! response:	Hearing that from you seriously pisses me off!
context: Whaaat?!\Did you not say that because you realized who I was?\How the hell am I supposed to realize who you are?!\Did you not find it odd?\An innocent girl like me, who just moved in,\Did you just call yourself innocent?!\would never barge into a house of men and take care of them!\Hearing that from you seriously pisses me off! response:	Then why'd you ask me if I was going after the Overlord?
context: Did you not say that because you realized who I was?\How the hell am I supposed to realize who you are?!\Did you not find it odd?\An innocent girl like me, who just moved in,\Did you just call yourself innocent?!\would never barge into a house of men and take care of them!\Hearing that from you seriously pisses me off!\Then why'd you ask me if I was going after the Overlord? response:	Huh...
context: How the hell am I supposed to realize who you are?!\Did you not find it odd?\An innocent girl like me, who just moved in,\Did you just call yourself innocent?!\would never barge into a house of men and take care of them!\Hearing that from you seriously pisses me off!\Then why'd you ask me if I was going after the Overlord?\Huh... response:	Uh...
context: Did you not find it odd?\An innocent girl like me, who just moved in,\Did you just call yourself innocent?!\would never barge into a house of men and take care of them!\Hearing that from you seriously pisses me off!\Then why'd you ask me if I was going after the Overlord?\Huh...\Uh... response:	Er...
context: An innocent girl like me, who just moved in,\Did you just call yourself innocent?!\would never barge into a house of men and take care of them!\Hearing that from you seriously pisses me off!\Then why'd you ask me if I was going after the Overlord?\Huh...\Uh...\Er... response:	Uh...
context: Did you just call yourself innocent?!\would never barge into a house of men and take care of them!\Hearing that from you seriously pisses me off!\Then why'd you ask me if I was going after the Overlord?\Huh...\Uh...\Er...\Uh... response:	What about you?
context: would never barge into a house of men and take care of them!\Hearing that from you seriously pisses me off!\Then why'd you ask me if I was going after the Overlord?\Huh...\Uh...\Er...\Uh...\What about you? response:	Why'd you ask me if I was in a close relationship with him?
context: Hearing that from you seriously pisses me off!\Then why'd you ask me if I was going after the Overlord?\Huh...\Uh...\Er...\Uh...\What about you?\Why'd you ask me if I was in a close relationship with him? response:	Because I'd received information that you were teaming up with him!
context: Then why'd you ask me if I was going after the Overlord?\Huh...\Uh...\Er...\Uh...\What about you?\Why'd you ask me if I was in a close relationship with him?\Because I'd received information that you were teaming up with him! response:	Y-You've gotta be kidding me!
context: Huh...\Uh...\Er...\Uh...\What about you?\Why'd you ask me if I was in a close relationship with him?\Because I'd received information that you were teaming up with him!\Y-You've gotta be kidding me! response:	I only happened to suffer the misfortune of having to defeat a common enemy with him.
context: Uh...\Er...\Uh...\What about you?\Why'd you ask me if I was in a close relationship with him?\Because I'd received information that you were teaming up with him!\Y-You've gotta be kidding me!\I only happened to suffer the misfortune of having to defeat a common enemy with him. response:	Teaming up with him? Don't be stupid!
context: Er...\Uh...\What about you?\Why'd you ask me if I was in a close relationship with him?\Because I'd received information that you were teaming up with him!\Y-You've gotta be kidding me!\I only happened to suffer the misfortune of having to defeat a common enemy with him.\Teaming up with him? Don't be stupid! response:	Don't tell me you thought I was conspiring with the Overlord to get my revenge on the Church.
context: Uh...\What about you?\Why'd you ask me if I was in a close relationship with him?\Because I'd received information that you were teaming up with him!\Y-You've gotta be kidding me!\I only happened to suffer the misfortune of having to defeat a common enemy with him.\Teaming up with him? Don't be stupid!\Don't tell me you thought I was conspiring with the Overlord to get my revenge on the Church. response:	So it really was you at that convenience store skirmish last night!
context: What about you?\Why'd you ask me if I was in a close relationship with him?\Because I'd received information that you were teaming up with him!\Y-You've gotta be kidding me!\I only happened to suffer the misfortune of having to defeat a common enemy with him.\Teaming up with him? Don't be stupid!\Don't tell me you thought I was conspiring with the Overlord to get my revenge on the Church.\So it really was you at that convenience store skirmish last night! response:	Conveinience store sidedish?
context: Why'd you ask me if I was in a close relationship with him?\Because I'd received information that you were teaming up with him!\Y-You've gotta be kidding me!\I only happened to suffer the misfortune of having to defeat a common enemy with him.\Teaming up with him? Don't be stupid!\Don't tell me you thought I was conspiring with the Overlord to get my revenge on the Church.\So it really was you at that convenience store skirmish last night!\Conveinience store sidedish? response:	FFF
context: Because I'd received information that you were teaming up with him!\Y-You've gotta be kidding me!\I only happened to suffer the misfortune of having to defeat a common enemy with him.\Teaming up with him? Don't be stupid!\Don't tell me you thought I was conspiring with the Overlord to get my revenge on the Church.\So it really was you at that convenience store skirmish last night!\Conveinience store sidedish?\FFF response:	I was attacked by someone from Ente Isla.
context: Y-You've gotta be kidding me!\I only happened to suffer the misfortune of having to defeat a common enemy with him.\Teaming up with him? Don't be stupid!\Don't tell me you thought I was conspiring with the Overlord to get my revenge on the Church.\So it really was you at that convenience store skirmish last night!\Conveinience store sidedish?\FFF\I was attacked by someone from Ente Isla. response:	They had the ability to neutralize sacred powers,
context: I only happened to suffer the misfortune of having to defeat a common enemy with him.\Teaming up with him? Don't be stupid!\Don't tell me you thought I was conspiring with the Overlord to get my revenge on the Church.\So it really was you at that convenience store skirmish last night!\Conveinience store sidedish?\FFF\I was attacked by someone from Ente Isla.\They had the ability to neutralize sacred powers, response:	so it wasn't a demon.
context: Teaming up with him? Don't be stupid!\Don't tell me you thought I was conspiring with the Overlord to get my revenge on the Church.\So it really was you at that convenience store skirmish last night!\Conveinience store sidedish?\FFF\I was attacked by someone from Ente Isla.\They had the ability to neutralize sacred powers,\so it wasn't a demon. response:	Which means it could only be you
context: Don't tell me you thought I was conspiring with the Overlord to get my revenge on the Church.\So it really was you at that convenience store skirmish last night!\Conveinience store sidedish?\FFF\I was attacked by someone from Ente Isla.\They had the ability to neutralize sacred powers,\so it wasn't a demon.\Which means it could only be you response:	Huh?
context: So it really was you at that convenience store skirmish last night!\Conveinience store sidedish?\FFF\I was attacked by someone from Ente Isla.\They had the ability to neutralize sacred powers,\so it wasn't a demon.\Which means it could only be you\Huh? response:	There are no traces of you being hit with that paintball.
context: Conveinience store sidedish?\FFF\I was attacked by someone from Ente Isla.\They had the ability to neutralize sacred powers,\so it wasn't a demon.\Which means it could only be you\Huh?\There are no traces of you being hit with that paintball. response:	You don't reek of paint either.
context: FFF\I was attacked by someone from Ente Isla.\They had the ability to neutralize sacred powers,\so it wasn't a demon.\Which means it could only be you\Huh?\There are no traces of you being hit with that paintball.\You don't reek of paint either. response:	I did nothing of the sort!
context: I was attacked by someone from Ente Isla.\They had the ability to neutralize sacred powers,\so it wasn't a demon.\Which means it could only be you\Huh?\There are no traces of you being hit with that paintball.\You don't reek of paint either.\I did nothing of the sort! response:	I know just how powerful you are, Hero Emilia.
context: They had the ability to neutralize sacred powers,\so it wasn't a demon.\Which means it could only be you\Huh?\There are no traces of you being hit with that paintball.\You don't reek of paint either.\I did nothing of the sort!\I know just how powerful you are, Hero Emilia. response:	Then who are you? Where are you from?
