context: Abe no Seimei? response:	Yes. A powerful onmyoji from the Heian period.
context: The lowest!\Listen, you guys!\What is it, Miyako?\Sakaki-san?\The fairies are upset about not being able to fly.\We need powder for our wings.\But some weird person on a big bird took our powder.\It was a pretty man with long hair. response:	No, a woman! A dark woman!
context: Listen, you guys!\What is it, Miyako?\Sakaki-san?\The fairies are upset about not being able to fly.\We need powder for our wings.\But some weird person on a big bird took our powder.\It was a pretty man with long hair.\No, a woman! A dark woman! response:	They had the eyes of a beast, shining gold.
context: What is it, Miyako?\Sakaki-san?\The fairies are upset about not being able to fly.\We need powder for our wings.\But some weird person on a big bird took our powder.\It was a pretty man with long hair.\No, a woman! A dark woman!\They had the eyes of a beast, shining gold. response:	Storage 1
context: Sakaki-san?\The fairies are upset about not being able to fly.\We need powder for our wings.\But some weird person on a big bird took our powder.\It was a pretty man with long hair.\No, a woman! A dark woman!\They had the eyes of a beast, shining gold.\Storage 1 response:	That's what the fairies said.
context: The fairies are upset about not being able to fly.\We need powder for our wings.\But some weird person on a big bird took our powder.\It was a pretty man with long hair.\No, a woman! A dark woman!\They had the eyes of a beast, shining gold.\Storage 1\That's what the fairies said. response:	An Another on a kisha, huh?
context: We need powder for our wings.\But some weird person on a big bird took our powder.\It was a pretty man with long hair.\No, a woman! A dark woman!\They had the eyes of a beast, shining gold.\Storage 1\That's what the fairies said.\An Another on a kisha, huh? response:	That may be the real problem.
context: But some weird person on a big bird took our powder.\It was a pretty man with long hair.\No, a woman! A dark woman!\They had the eyes of a beast, shining gold.\Storage 1\That's what the fairies said.\An Another on a kisha, huh?\That may be the real problem. response:	Hey, guys.
context: It was a pretty man with long hair.\No, a woman! A dark woman!\They had the eyes of a beast, shining gold.\Storage 1\That's what the fairies said.\An Another on a kisha, huh?\That may be the real problem.\Hey, guys. response:	Sorry to send you back out after you just got back,
context: No, a woman! A dark woman!\They had the eyes of a beast, shining gold.\Storage 1\That's what the fairies said.\An Another on a kisha, huh?\That may be the real problem.\Hey, guys.\Sorry to send you back out after you just got back, response:	but can you go to Kanoichi Bunko?
context: They had the eyes of a beast, shining gold.\Storage 1\That's what the fairies said.\An Another on a kisha, huh?\That may be the real problem.\Hey, guys.\Sorry to send you back out after you just got back,\but can you go to Kanoichi Bunko? response:	To Kanoichi?
context: Storage 1\That's what the fairies said.\An Another on a kisha, huh?\That may be the real problem.\Hey, guys.\Sorry to send you back out after you just got back,\but can you go to Kanoichi Bunko?\To Kanoichi? response:	They say they need Miyako-kun's ears, and fast.
context: That's what the fairies said.\An Another on a kisha, huh?\That may be the real problem.\Hey, guys.\Sorry to send you back out after you just got back,\but can you go to Kanoichi Bunko?\To Kanoichi?\They say they need Miyako-kun's ears, and fast. response:	It's a good opportunity to make them owe us one.
context: An Another on a kisha, huh?\That may be the real problem.\Hey, guys.\Sorry to send you back out after you just got back,\but can you go to Kanoichi Bunko?\To Kanoichi?\They say they need Miyako-kun's ears, and fast.\It's a good opportunity to make them owe us one. response:	I'll give you the paperwork.
context: That may be the real problem.\Hey, guys.\Sorry to send you back out after you just got back,\but can you go to Kanoichi Bunko?\To Kanoichi?\They say they need Miyako-kun's ears, and fast.\It's a good opportunity to make them owe us one.\I'll give you the paperwork. response:	Kanoichi Bunko Publishing is said to have
context: Hey, guys.\Sorry to send you back out after you just got back,\but can you go to Kanoichi Bunko?\To Kanoichi?\They say they need Miyako-kun's ears, and fast.\It's a good opportunity to make them owe us one.\I'll give you the paperwork.\Kanoichi Bunko Publishing is said to have response:	basically anything you'd want to know about eastern magics.
context: Sorry to send you back out after you just got back,\but can you go to Kanoichi Bunko?\To Kanoichi?\They say they need Miyako-kun's ears, and fast.\It's a good opportunity to make them owe us one.\I'll give you the paperwork.\Kanoichi Bunko Publishing is said to have\basically anything you'd want to know about eastern magics. response:	They're an old clan of onmyoji. They're also a family of magical toolmakers.
context: but can you go to Kanoichi Bunko?\To Kanoichi?\They say they need Miyako-kun's ears, and fast.\It's a good opportunity to make them owe us one.\I'll give you the paperwork.\Kanoichi Bunko Publishing is said to have\basically anything you'd want to know about eastern magics.\They're an old clan of onmyoji. They're also a family of magical toolmakers. response:	They fused British magic with Japanese onmyo.
context: To Kanoichi?\They say they need Miyako-kun's ears, and fast.\It's a good opportunity to make them owe us one.\I'll give you the paperwork.\Kanoichi Bunko Publishing is said to have\basically anything you'd want to know about eastern magics.\They're an old clan of onmyoji. They're also a family of magical toolmakers.\They fused British magic with Japanese onmyo. response:	They make items used to deal with Anothers.
context: They say they need Miyako-kun's ears, and fast.\It's a good opportunity to make them owe us one.\I'll give you the paperwork.\Kanoichi Bunko Publishing is said to have\basically anything you'd want to know about eastern magics.\They're an old clan of onmyoji. They're also a family of magical toolmakers.\They fused British magic with Japanese onmyo.\They make items used to deal with Anothers. response:	Read this.
context: It's a good opportunity to make them owe us one.\I'll give you the paperwork.\Kanoichi Bunko Publishing is said to have\basically anything you'd want to know about eastern magics.\They're an old clan of onmyoji. They're also a family of magical toolmakers.\They fused British magic with Japanese onmyo.\They make items used to deal with Anothers.\Read this. response:	Thanks...
context: I'll give you the paperwork.\Kanoichi Bunko Publishing is said to have\basically anything you'd want to know about eastern magics.\They're an old clan of onmyoji. They're also a family of magical toolmakers.\They fused British magic with Japanese onmyo.\They make items used to deal with Anothers.\Read this.\Thanks... response:	They seem to have been robbed, and an Another saw the whole thing.
context: Kanoichi Bunko Publishing is said to have\basically anything you'd want to know about eastern magics.\They're an old clan of onmyoji. They're also a family of magical toolmakers.\They fused British magic with Japanese onmyo.\They make items used to deal with Anothers.\Read this.\Thanks...\They seem to have been robbed, and an Another saw the whole thing. response:	May 13th Chiyoda Ward, Kanoichi Bunko Publishing
context: basically anything you'd want to know about eastern magics.\They're an old clan of onmyoji. They're also a family of magical toolmakers.\They fused British magic with Japanese onmyo.\They make items used to deal with Anothers.\Read this.\Thanks...\They seem to have been robbed, and an Another saw the whole thing.\May 13th Chiyoda Ward, Kanoichi Bunko Publishing response:	So they want the Ears of Sand to interpret.
context: They're an old clan of onmyoji. They're also a family of magical toolmakers.\They fused British magic with Japanese onmyo.\They make items used to deal with Anothers.\Read this.\Thanks...\They seem to have been robbed, and an Another saw the whole thing.\May 13th Chiyoda Ward, Kanoichi Bunko Publishing\So they want the Ears of Sand to interpret. response:	My name is Kanoichi Akane, with the Chiyoda Ward Nocturnal Community Relations Division.
context: They fused British magic with Japanese onmyo.\They make items used to deal with Anothers.\Read this.\Thanks...\They seem to have been robbed, and an Another saw the whole thing.\May 13th Chiyoda Ward, Kanoichi Bunko Publishing\So they want the Ears of Sand to interpret.\My name is Kanoichi Akane, with the Chiyoda Ward Nocturnal Community Relations Division. response:	I appreciate you coming all the way to another ward to assist with this private matter.
context: They make items used to deal with Anothers.\Read this.\Thanks...\They seem to have been robbed, and an Another saw the whole thing.\May 13th Chiyoda Ward, Kanoichi Bunko Publishing\So they want the Ears of Sand to interpret.\My name is Kanoichi Akane, with the Chiyoda Ward Nocturnal Community Relations Division.\I appreciate you coming all the way to another ward to assist with this private matter. response:	No, you do so much for us...
context: Read this.\Thanks...\They seem to have been robbed, and an Another saw the whole thing.\May 13th Chiyoda Ward, Kanoichi Bunko Publishing\So they want the Ears of Sand to interpret.\My name is Kanoichi Akane, with the Chiyoda Ward Nocturnal Community Relations Division.\I appreciate you coming all the way to another ward to assist with this private matter.\No, you do so much for us... response:	Miyako Arata-san, correct?
context: Thanks...\They seem to have been robbed, and an Another saw the whole thing.\May 13th Chiyoda Ward, Kanoichi Bunko Publishing\So they want the Ears of Sand to interpret.\My name is Kanoichi Akane, with the Chiyoda Ward Nocturnal Community Relations Division.\I appreciate you coming all the way to another ward to assist with this private matter.\No, you do so much for us...\Miyako Arata-san, correct? response:	Oh, yes!
context: They seem to have been robbed, and an Another saw the whole thing.\May 13th Chiyoda Ward, Kanoichi Bunko Publishing\So they want the Ears of Sand to interpret.\My name is Kanoichi Akane, with the Chiyoda Ward Nocturnal Community Relations Division.\I appreciate you coming all the way to another ward to assist with this private matter.\No, you do so much for us...\Miyako Arata-san, correct?\Oh, yes! response:	They're all talking about your Ears of Sand in Chiyoda ward, too.
context: May 13th Chiyoda Ward, Kanoichi Bunko Publishing\So they want the Ears of Sand to interpret.\My name is Kanoichi Akane, with the Chiyoda Ward Nocturnal Community Relations Division.\I appreciate you coming all the way to another ward to assist with this private matter.\No, you do so much for us...\Miyako Arata-san, correct?\Oh, yes!\They're all talking about your Ears of Sand in Chiyoda ward, too. response:	Thank you for coming today.
context: So they want the Ears of Sand to interpret.\My name is Kanoichi Akane, with the Chiyoda Ward Nocturnal Community Relations Division.\I appreciate you coming all the way to another ward to assist with this private matter.\No, you do so much for us...\Miyako Arata-san, correct?\Oh, yes!\They're all talking about your Ears of Sand in Chiyoda ward, too.\Thank you for coming today. response:	Who's that?
context: My name is Kanoichi Akane, with the Chiyoda Ward Nocturnal Community Relations Division.\I appreciate you coming all the way to another ward to assist with this private matter.\No, you do so much for us...\Miyako Arata-san, correct?\Oh, yes!\They're all talking about your Ears of Sand in Chiyoda ward, too.\Thank you for coming today.\Who's that? response:	The protector goddess of the Kanoichi.
context: I appreciate you coming all the way to another ward to assist with this private matter.\No, you do so much for us...\Miyako Arata-san, correct?\Oh, yes!\They're all talking about your Ears of Sand in Chiyoda ward, too.\Thank you for coming today.\Who's that?\The protector goddess of the Kanoichi. response:	Is that... a zashiki warashi?
context: No, you do so much for us...\Miyako Arata-san, correct?\Oh, yes!\They're all talking about your Ears of Sand in Chiyoda ward, too.\Thank you for coming today.\Who's that?\The protector goddess of the Kanoichi.\Is that... a zashiki warashi? response:	Yes, that's right.
context: Miyako Arata-san, correct?\Oh, yes!\They're all talking about your Ears of Sand in Chiyoda ward, too.\Thank you for coming today.\Who's that?\The protector goddess of the Kanoichi.\Is that... a zashiki warashi?\Yes, that's right. response:	I'm amazed she agreed to be your house god.
context: Oh, yes!\They're all talking about your Ears of Sand in Chiyoda ward, too.\Thank you for coming today.\Who's that?\The protector goddess of the Kanoichi.\Is that... a zashiki warashi?\Yes, that's right.\I'm amazed she agreed to be your house god. response:	You're not supposed to be able to bind a zashiki warashi.
context: They're all talking about your Ears of Sand in Chiyoda ward, too.\Thank you for coming today.\Who's that?\The protector goddess of the Kanoichi.\Is that... a zashiki warashi?\Yes, that's right.\I'm amazed she agreed to be your house god.\You're not supposed to be able to bind a zashiki warashi. response:	She allowed us to make her the house god in accordance with an ancient contract.
context: Thank you for coming today.\Who's that?\The protector goddess of the Kanoichi.\Is that... a zashiki warashi?\Yes, that's right.\I'm amazed she agreed to be your house god.\You're not supposed to be able to bind a zashiki warashi.\She allowed us to make her the house god in accordance with an ancient contract. response:	Contract?
context: Who's that?\The protector goddess of the Kanoichi.\Is that... a zashiki warashi?\Yes, that's right.\I'm amazed she agreed to be your house god.\You're not supposed to be able to bind a zashiki warashi.\She allowed us to make her the house god in accordance with an ancient contract.\Contract? response:	Once every ten years, we cut her hair...
context: The protector goddess of the Kanoichi.\Is that... a zashiki warashi?\Yes, that's right.\I'm amazed she agreed to be your house god.\You're not supposed to be able to bind a zashiki warashi.\She allowed us to make her the house god in accordance with an ancient contract.\Contract?\Once every ten years, we cut her hair... response:	and offer up a dagger made with the Kanoichi's arts as part of a barrier.
context: Is that... a zashiki warashi?\Yes, that's right.\I'm amazed she agreed to be your house god.\You're not supposed to be able to bind a zashiki warashi.\She allowed us to make her the house god in accordance with an ancient contract.\Contract?\Once every ten years, we cut her hair...\and offer up a dagger made with the Kanoichi's arts as part of a barrier. response:	She wishes to seal away something beneath it, she says.
context: Yes, that's right.\I'm amazed she agreed to be your house god.\You're not supposed to be able to bind a zashiki warashi.\She allowed us to make her the house god in accordance with an ancient contract.\Contract?\Once every ten years, we cut her hair...\and offer up a dagger made with the Kanoichi's arts as part of a barrier.\She wishes to seal away something beneath it, she says. response:	And you want Miyako's help for something that has to do with that?
context: I'm amazed she agreed to be your house god.\You're not supposed to be able to bind a zashiki warashi.\She allowed us to make her the house god in accordance with an ancient contract.\Contract?\Once every ten years, we cut her hair...\and offer up a dagger made with the Kanoichi's arts as part of a barrier.\She wishes to seal away something beneath it, she says.\And you want Miyako's help for something that has to do with that? response:	Yes.
context: You're not supposed to be able to bind a zashiki warashi.\She allowed us to make her the house god in accordance with an ancient contract.\Contract?\Once every ten years, we cut her hair...\and offer up a dagger made with the Kanoichi's arts as part of a barrier.\She wishes to seal away something beneath it, she says.\And you want Miyako's help for something that has to do with that?\Yes. response:	If we can't get it back, the seal will weaken...
context: She allowed us to make her the house god in accordance with an ancient contract.\Contract?\Once every ten years, we cut her hair...\and offer up a dagger made with the Kanoichi's arts as part of a barrier.\She wishes to seal away something beneath it, she says.\And you want Miyako's help for something that has to do with that?\Yes.\If we can't get it back, the seal will weaken... response:	The oni... The oni is coming.
context: Contract?\Once every ten years, we cut her hair...\and offer up a dagger made with the Kanoichi's arts as part of a barrier.\She wishes to seal away something beneath it, she says.\And you want Miyako's help for something that has to do with that?\Yes.\If we can't get it back, the seal will weaken...\The oni... The oni is coming. response:	The bad oni.
context: Once every ten years, we cut her hair...\and offer up a dagger made with the Kanoichi's arts as part of a barrier.\She wishes to seal away something beneath it, she says.\And you want Miyako's help for something that has to do with that?\Yes.\If we can't get it back, the seal will weaken...\The oni... The oni is coming.\The bad oni. response:	Oni?
context: and offer up a dagger made with the Kanoichi's arts as part of a barrier.\She wishes to seal away something beneath it, she says.\And you want Miyako's help for something that has to do with that?\Yes.\If we can't get it back, the seal will weaken...\The oni... The oni is coming.\The bad oni.\Oni? response:	You can understand me, Mister?
context: She wishes to seal away something beneath it, she says.\And you want Miyako's help for something that has to do with that?\Yes.\If we can't get it back, the seal will weaken...\The oni... The oni is coming.\The bad oni.\Oni?\You can understand me, Mister? response:	Y-Yeah.
context: And you want Miyako's help for something that has to do with that?\Yes.\If we can't get it back, the seal will weaken...\The oni... The oni is coming.\The bad oni.\Oni?\You can understand me, Mister?\Y-Yeah. response:	I'm Arata. Miyako Arata.
context: Yes.\If we can't get it back, the seal will weaken...\The oni... The oni is coming.\The bad oni.\Oni?\You can understand me, Mister?\Y-Yeah.\I'm Arata. Miyako Arata. response:	What's your name?
context: If we can't get it back, the seal will weaken...\The oni... The oni is coming.\The bad oni.\Oni?\You can understand me, Mister?\Y-Yeah.\I'm Arata. Miyako Arata.\What's your name? response:	Suzuka-chan, huh?
context: The oni... The oni is coming.\The bad oni.\Oni?\You can understand me, Mister?\Y-Yeah.\I'm Arata. Miyako Arata.\What's your name?\Suzuka-chan, huh? response:	That's a cute name.
context: The bad oni.\Oni?\You can understand me, Mister?\Y-Yeah.\I'm Arata. Miyako Arata.\What's your name?\Suzuka-chan, huh?\That's a cute name. response:	Akane-san?
context: Oni?\You can understand me, Mister?\Y-Yeah.\I'm Arata. Miyako Arata.\What's your name?\Suzuka-chan, huh?\That's a cute name.\Akane-san? response:	Yes.
context: You can understand me, Mister?\Y-Yeah.\I'm Arata. Miyako Arata.\What's your name?\Suzuka-chan, huh?\That's a cute name.\Akane-san?\Yes. response:	She wants us to call her Suzu.
context: Y-Yeah.\I'm Arata. Miyako Arata.\What's your name?\Suzuka-chan, huh?\That's a cute name.\Akane-san?\Yes.\She wants us to call her Suzu. response:	You really can understand her, can't you?
context: I'm Arata. Miyako Arata.\What's your name?\Suzuka-chan, huh?\That's a cute name.\Akane-san?\Yes.\She wants us to call her Suzu.\You really can understand her, can't you? response:	Suzu-sama...
context: What's your name?\Suzuka-chan, huh?\That's a cute name.\Akane-san?\Yes.\She wants us to call her Suzu.\You really can understand her, can't you?\Suzu-sama... response:	So Suzu-chan, who stole your hair?
context: Suzuka-chan, huh?\That's a cute name.\Akane-san?\Yes.\She wants us to call her Suzu.\You really can understand her, can't you?\Suzu-sama...\So Suzu-chan, who stole your hair? response:	You'll get it back?
context: That's a cute name.\Akane-san?\Yes.\She wants us to call her Suzu.\You really can understand her, can't you?\Suzu-sama...\So Suzu-chan, who stole your hair?\You'll get it back? response:	Yeah.
context: Akane-san?\Yes.\She wants us to call her Suzu.\You really can understand her, can't you?\Suzu-sama...\So Suzu-chan, who stole your hair?\You'll get it back?\Yeah. response:	You shouldn't.
context: Yes.\She wants us to call her Suzu.\You really can understand her, can't you?\Suzu-sama...\So Suzu-chan, who stole your hair?\You'll get it back?\Yeah.\You shouldn't. response:	It was stolen by a beast in human form.
context: She wants us to call her Suzu.\You really can understand her, can't you?\Suzu-sama...\So Suzu-chan, who stole your hair?\You'll get it back?\Yeah.\You shouldn't.\It was stolen by a beast in human form. response:	They're a cheerful, beautiful, black creature...
context: You really can understand her, can't you?\Suzu-sama...\So Suzu-chan, who stole your hair?\You'll get it back?\Yeah.\You shouldn't.\It was stolen by a beast in human form.\They're a cheerful, beautiful, black creature... response:	But so scary.
context: Suzu-sama...\So Suzu-chan, who stole your hair?\You'll get it back?\Yeah.\You shouldn't.\It was stolen by a beast in human form.\They're a cheerful, beautiful, black creature...\But so scary. response:	Why did they take your hair?
context: So Suzu-chan, who stole your hair?\You'll get it back?\Yeah.\You shouldn't.\It was stolen by a beast in human form.\They're a cheerful, beautiful, black creature...\But so scary.\Why did they take your hair? response:	I don't know.
context: You'll get it back?\Yeah.\You shouldn't.\It was stolen by a beast in human form.\They're a cheerful, beautiful, black creature...\But so scary.\Why did they take your hair?\I don't know. response:	But they said it was almost over.
context: Yeah.\You shouldn't.\It was stolen by a beast in human form.\They're a cheerful, beautiful, black creature...\But so scary.\Why did they take your hair?\I don't know.\But they said it was almost over. response:	A beast in human form, huh?
context: You shouldn't.\It was stolen by a beast in human form.\They're a cheerful, beautiful, black creature...\But so scary.\Why did they take your hair?\I don't know.\But they said it was almost over.\A beast in human form, huh? response:	Theft In Imported Goods Store
context: It was stolen by a beast in human form.\They're a cheerful, beautiful, black creature...\But so scary.\Why did they take your hair?\I don't know.\But they said it was almost over.\A beast in human form, huh?\Theft In Imported Goods Store response:	It reminds me of what the fairies said..
context: They're a cheerful, beautiful, black creature...\But so scary.\Why did they take your hair?\I don't know.\But they said it was almost over.\A beast in human form, huh?\Theft In Imported Goods Store\It reminds me of what the fairies said.. response:	Koseidou
context: But so scary.\Why did they take your hair?\I don't know.\But they said it was almost over.\A beast in human form, huh?\Theft In Imported Goods Store\It reminds me of what the fairies said..\Koseidou response:	What did the culprit want?
context: Why did they take your hair?\I don't know.\But they said it was almost over.\A beast in human form, huh?\Theft In Imported Goods Store\It reminds me of what the fairies said..\Koseidou\What did the culprit want? response:	Theft In Imported Goods Store
context: I don't know.\But they said it was almost over.\A beast in human form, huh?\Theft In Imported Goods Store\It reminds me of what the fairies said..\Koseidou\What did the culprit want?\Theft In Imported Goods Store response:	A thief has broken into a Shinjuku Imported Goods Store.
context: But they said it was almost over.\A beast in human form, huh?\Theft In Imported Goods Store\It reminds me of what the fairies said..\Koseidou\What did the culprit want?\Theft In Imported Goods Store\A thief has broken into a Shinjuku Imported Goods Store. response:	The police are considering it a burglary.
context: A beast in human form, huh?\Theft In Imported Goods Store\It reminds me of what the fairies said..\Koseidou\What did the culprit want?\Theft In Imported Goods Store\A thief has broken into a Shinjuku Imported Goods Store.\The police are considering it a burglary. response:	The case was...
context: Theft In Imported Goods Store\It reminds me of what the fairies said..\Koseidou\What did the culprit want?\Theft In Imported Goods Store\A thief has broken into a Shinjuku Imported Goods Store.\The police are considering it a burglary.\The case was... response:	Hey, that's Koseidou!
context: It reminds me of what the fairies said..\Koseidou\What did the culprit want?\Theft In Imported Goods Store\A thief has broken into a Shinjuku Imported Goods Store.\The police are considering it a burglary.\The case was...\Hey, that's Koseidou! response:	You've heard of it?
context: Koseidou\What did the culprit want?\Theft In Imported Goods Store\A thief has broken into a Shinjuku Imported Goods Store.\The police are considering it a burglary.\The case was...\Hey, that's Koseidou!\You've heard of it? response:	Yeah.
context: What did the culprit want?\Theft In Imported Goods Store\A thief has broken into a Shinjuku Imported Goods Store.\The police are considering it a burglary.\The case was...\Hey, that's Koseidou!\You've heard of it?\Yeah. response:	It's supposed to be an imported goods store.
context: Theft In Imported Goods Store\A thief has broken into a Shinjuku Imported Goods Store.\The police are considering it a burglary.\The case was...\Hey, that's Koseidou!\You've heard of it?\Yeah.\It's supposed to be an imported goods store. response:	But it also gets us the magical stuff we need.
context: A thief has broken into a Shinjuku Imported Goods Store.\The police are considering it a burglary.\The case was...\Hey, that's Koseidou!\You've heard of it?\Yeah.\It's supposed to be an imported goods store.\But it also gets us the magical stuff we need. response:	Goat gallstones, mermaid scales, burning glass...
context: The police are considering it a burglary.\The case was...\Hey, that's Koseidou!\You've heard of it?\Yeah.\It's supposed to be an imported goods store.\But it also gets us the magical stuff we need.\Goat gallstones, mermaid scales, burning glass... response:	Living iron...
context: The case was...\Hey, that's Koseidou!\You've heard of it?\Yeah.\It's supposed to be an imported goods store.\But it also gets us the magical stuff we need.\Goat gallstones, mermaid scales, burning glass...\Living iron... response:	Fairy wing powder...
context: Hey, that's Koseidou!\You've heard of it?\Yeah.\It's supposed to be an imported goods store.\But it also gets us the magical stuff we need.\Goat gallstones, mermaid scales, burning glass...\Living iron...\Fairy wing powder... response:	Seo-san?
context: You've heard of it?\Yeah.\It's supposed to be an imported goods store.\But it also gets us the magical stuff we need.\Goat gallstones, mermaid scales, burning glass...\Living iron...\Fairy wing powder...\Seo-san? response:	Let me think...
context: Yeah.\It's supposed to be an imported goods store.\But it also gets us the magical stuff we need.\Goat gallstones, mermaid scales, burning glass...\Living iron...\Fairy wing powder...\Seo-san?\Let me think... response:	May 14th
context: It's supposed to be an imported goods store.\But it also gets us the magical stuff we need.\Goat gallstones, mermaid scales, burning glass...\Living iron...\Fairy wing powder...\Seo-san?\Let me think...\May 14th response:	Good morning.
context: But it also gets us the magical stuff we need.\Goat gallstones, mermaid scales, burning glass...\Living iron...\Fairy wing powder...\Seo-san?\Let me think...\May 14th\Good morning. response:	Morning.
context: Goat gallstones, mermaid scales, burning glass...\Living iron...\Fairy wing powder...\Seo-san?\Let me think...\May 14th\Good morning.\Morning. response:	Hey, morning.
context: Living iron...\Fairy wing powder...\Seo-san?\Let me think...\May 14th\Good morning.\Morning.\Hey, morning. response:	Mornin'.
context: Fairy wing powder...\Seo-san?\Let me think...\May 14th\Good morning.\Morning.\Hey, morning.\Mornin'. response:	You look exhausted.
context: Seo-san?\Let me think...\May 14th\Good morning.\Morning.\Hey, morning.\Mornin'.\You look exhausted. response:	I was checking on something.
context: Let me think...\May 14th\Good morning.\Morning.\Hey, morning.\Mornin'.\You look exhausted.\I was checking on something. response:	You okay to work?
context: May 14th\Good morning.\Morning.\Hey, morning.\Mornin'.\You look exhausted.\I was checking on something.\You okay to work? response:	I'm fine, I said! We're going to Hakoneyama today, right?
context: Good morning.\Morning.\Hey, morning.\Mornin'.\You look exhausted.\I was checking on something.\You okay to work?\I'm fine, I said! We're going to Hakoneyama today, right? response:	Yeah.
context: Morning.\Hey, morning.\Mornin'.\You look exhausted.\I was checking on something.\You okay to work?\I'm fine, I said! We're going to Hakoneyama today, right?\Yeah. response:	There've been multiple reports of strange fires on top of Mt. Hakoneyama.
context: Hey, morning.\Mornin'.\You look exhausted.\I was checking on something.\You okay to work?\I'm fine, I said! We're going to Hakoneyama today, right?\Yeah.\There've been multiple reports of strange fires on top of Mt. Hakoneyama. response:	Isn't that the fire department's job?
context: Mornin'.\You look exhausted.\I was checking on something.\You okay to work?\I'm fine, I said! We're going to Hakoneyama today, right?\Yeah.\There've been multiple reports of strange fires on top of Mt. Hakoneyama.\Isn't that the fire department's job? response:	The fire department and police have been out there plenty of times,
context: You look exhausted.\I was checking on something.\You okay to work?\I'm fine, I said! We're going to Hakoneyama today, right?\Yeah.\There've been multiple reports of strange fires on top of Mt. Hakoneyama.\Isn't that the fire department's job?\The fire department and police have been out there plenty of times, response:	but found nothing.
context: I was checking on something.\You okay to work?\I'm fine, I said! We're going to Hakoneyama today, right?\Yeah.\There've been multiple reports of strange fires on top of Mt. Hakoneyama.\Isn't that the fire department's job?\The fire department and police have been out there plenty of times,\but found nothing. response:	So, it's our job now.
context: You okay to work?\I'm fine, I said! We're going to Hakoneyama today, right?\Yeah.\There've been multiple reports of strange fires on top of Mt. Hakoneyama.\Isn't that the fire department's job?\The fire department and police have been out there plenty of times,\but found nothing.\So, it's our job now. response:	May 14th
context: I'm fine, I said! We're going to Hakoneyama today, right?\Yeah.\There've been multiple reports of strange fires on top of Mt. Hakoneyama.\Isn't that the fire department's job?\The fire department and police have been out there plenty of times,\but found nothing.\So, it's our job now.\May 14th response:	This is a pretty famous occult spot, right?
context: Yeah.\There've been multiple reports of strange fires on top of Mt. Hakoneyama.\Isn't that the fire department's job?\The fire department and police have been out there plenty of times,\but found nothing.\So, it's our job now.\May 14th\This is a pretty famous occult spot, right? response:	Yeah.
context: There've been multiple reports of strange fires on top of Mt. Hakoneyama.\Isn't that the fire department's job?\The fire department and police have been out there plenty of times,\but found nothing.\So, it's our job now.\May 14th\This is a pretty famous occult spot, right?\Yeah. response:	It was originally built by the Tokugawa, and served as a military base during war.
context: Isn't that the fire department's job?\The fire department and police have been out there plenty of times,\but found nothing.\So, it's our job now.\May 14th\This is a pretty famous occult spot, right?\Yeah.\It was originally built by the Tokugawa, and served as a military base during war. response:	There was a hospital facility under it, they say.
context: The fire department and police have been out there plenty of times,\but found nothing.\So, it's our job now.\May 14th\This is a pretty famous occult spot, right?\Yeah.\It was originally built by the Tokugawa, and served as a military base during war.\There was a hospital facility under it, they say. response:	Seo, learn anything?
context: but found nothing.\So, it's our job now.\May 14th\This is a pretty famous occult spot, right?\Yeah.\It was originally built by the Tokugawa, and served as a military base during war.\There was a hospital facility under it, they say.\Seo, learn anything? response:	Some kind of seal or entrance.
context: So, it's our job now.\May 14th\This is a pretty famous occult spot, right?\Yeah.\It was originally built by the Tokugawa, and served as a military base during war.\There was a hospital facility under it, they say.\Seo, learn anything?\Some kind of seal or entrance. response:	Why is this shining?
context: May 14th\This is a pretty famous occult spot, right?\Yeah.\It was originally built by the Tokugawa, and served as a military base during war.\There was a hospital facility under it, they say.\Seo, learn anything?\Some kind of seal or entrance.\Why is this shining? response:	You idiot!
context: This is a pretty famous occult spot, right?\Yeah.\It was originally built by the Tokugawa, and served as a military base during war.\There was a hospital facility under it, they say.\Seo, learn anything?\Some kind of seal or entrance.\Why is this shining?\You idiot! response:	Why would you touch something when you don't know what it is?
context: Yeah.\It was originally built by the Tokugawa, and served as a military base during war.\There was a hospital facility under it, they say.\Seo, learn anything?\Some kind of seal or entrance.\Why is this shining?\You idiot!\Why would you touch something when you don't know what it is? response:	Yeah? I'm kinda busy...
context: It was originally built by the Tokugawa, and served as a military base during war.\There was a hospital facility under it, they say.\Seo, learn anything?\Some kind of seal or entrance.\Why is this shining?\You idiot!\Why would you touch something when you don't know what it is?\Yeah? I'm kinda busy... response:	Seo, I just got a call from the police.
context: There was a hospital facility under it, they say.\Seo, learn anything?\Some kind of seal or entrance.\Why is this shining?\You idiot!\Why would you touch something when you don't know what it is?\Yeah? I'm kinda busy...\Seo, I just got a call from the police. response:	You were right. It was mermaid scales that were stolen from Koseidou.
context: Seo, learn anything?\Some kind of seal or entrance.\Why is this shining?\You idiot!\Why would you touch something when you don't know what it is?\Yeah? I'm kinda busy...\Seo, I just got a call from the police.\You were right. It was mermaid scales that were stolen from Koseidou. response:	Koseidou
context: Some kind of seal or entrance.\Why is this shining?\You idiot!\Why would you touch something when you don't know what it is?\Yeah? I'm kinda busy...\Seo, I just got a call from the police.\You were right. It was mermaid scales that were stolen from Koseidou.\Koseidou response:	Dirt from an old grave...
