context: Is that all you have? response:	As I thought, you were a fake.
context: I was amused that you and I cut such sorry figures.\Archer... Make a pact with me again?\I can't do that.\I doubt I have that right.\Besides, I no longer have a goal.\My battle ends here.\But... But this means you'll...\No matter how much time passes, you'll never be saved. response:	Oh, man...
context: Archer... Make a pact with me again?\I can't do that.\I doubt I have that right.\Besides, I no longer have a goal.\My battle ends here.\But... But this means you'll...\No matter how much time passes, you'll never be saved.\Oh, man... response:	Rin...
context: I can't do that.\I doubt I have that right.\Besides, I no longer have a goal.\My battle ends here.\But... But this means you'll...\No matter how much time passes, you'll never be saved.\Oh, man...\Rin... response:	Look after me.
context: I doubt I have that right.\Besides, I no longer have a goal.\My battle ends here.\But... But this means you'll...\No matter how much time passes, you'll never be saved.\Oh, man...\Rin...\Look after me. response:	As you know, I'm a bit hopeless.
context: Besides, I no longer have a goal.\My battle ends here.\But... But this means you'll...\No matter how much time passes, you'll never be saved.\Oh, man...\Rin...\Look after me.\As you know, I'm a bit hopeless. response:	Give me a shoulder to lean on.
context: My battle ends here.\But... But this means you'll...\No matter how much time passes, you'll never be saved.\Oh, man...\Rin...\Look after me.\As you know, I'm a bit hopeless.\Give me a shoulder to lean on. response:	Archer...
context: But... But this means you'll...\No matter how much time passes, you'll never be saved.\Oh, man...\Rin...\Look after me.\As you know, I'm a bit hopeless.\Give me a shoulder to lean on.\Archer... response:	Yeah, I know.
context: No matter how much time passes, you'll never be saved.\Oh, man...\Rin...\Look after me.\As you know, I'm a bit hopeless.\Give me a shoulder to lean on.\Archer...\Yeah, I know. response:	I'll do my best.
context: Oh, man...\Rin...\Look after me.\As you know, I'm a bit hopeless.\Give me a shoulder to lean on.\Archer...\Yeah, I know.\I'll do my best. response:	I'll try my hardest to make sure he doesn't end up a twisted jerk like you.
context: Rin...\Look after me.\As you know, I'm a bit hopeless.\Give me a shoulder to lean on.\Archer...\Yeah, I know.\I'll do my best.\I'll try my hardest to make sure he doesn't end up a twisted jerk like you. response:	I'm pretty sure he'll try to learn to like himself!
context: Look after me.\As you know, I'm a bit hopeless.\Give me a shoulder to lean on.\Archer...\Yeah, I know.\I'll do my best.\I'll try my hardest to make sure he doesn't end up a twisted jerk like you.\I'm pretty sure he'll try to learn to like himself! response:	So you do the same.
context: As you know, I'm a bit hopeless.\Give me a shoulder to lean on.\Archer...\Yeah, I know.\I'll do my best.\I'll try my hardest to make sure he doesn't end up a twisted jerk like you.\I'm pretty sure he'll try to learn to like himself!\So you do the same. response:	I have my answer.
context: Give me a shoulder to lean on.\Archer...\Yeah, I know.\I'll do my best.\I'll try my hardest to make sure he doesn't end up a twisted jerk like you.\I'm pretty sure he'll try to learn to like himself!\So you do the same.\I have my answer. response:	Don't worry, Tohsaka.
context: Archer...\Yeah, I know.\I'll do my best.\I'll try my hardest to make sure he doesn't end up a twisted jerk like you.\I'm pretty sure he'll try to learn to like himself!\So you do the same.\I have my answer.\Don't worry, Tohsaka. response:	I'll try my best from now on, too.
context: Yeah, I know.\I'll do my best.\I'll try my hardest to make sure he doesn't end up a twisted jerk like you.\I'm pretty sure he'll try to learn to like himself!\So you do the same.\I have my answer.\Don't worry, Tohsaka.\I'll try my best from now on, too. response:	Damn, I didn't get the chance to tear him a new one.
context: I'll do my best.\I'll try my hardest to make sure he doesn't end up a twisted jerk like you.\I'm pretty sure he'll try to learn to like himself!\So you do the same.\I have my answer.\Don't worry, Tohsaka.\I'll try my best from now on, too.\Damn, I didn't get the chance to tear him a new one. response:	Let's go home, Tohsaka.
context: I'll try my hardest to make sure he doesn't end up a twisted jerk like you.\I'm pretty sure he'll try to learn to like himself!\So you do the same.\I have my answer.\Don't worry, Tohsaka.\I'll try my best from now on, too.\Damn, I didn't get the chance to tear him a new one.\Let's go home, Tohsaka. response:	Next Time Epilogue
