context: I was wrong. response:	These pieces of shit in this castle are a blight!
context: June 6, 1942 Yamaguchi Tamon Imperial Japanese Navy Admiral\It must be payback for the fights we instigated in all the neighboring states.\At the very least, we shouldn't have made an\enemy of the merchant guild of the east.\How foolish was that?!\Furthermore, there are rebellions in the occupied territories.\I heard that the Elves have risen in revolt.\Oh, my, we are talking about Elves, aren't we? How cute! response:	We can handle them! They are just serf uprisings.
context: It must be payback for the fights we instigated in all the neighboring states.\At the very least, we shouldn't have made an\enemy of the merchant guild of the east.\How foolish was that?!\Furthermore, there are rebellions in the occupied territories.\I heard that the Elves have risen in revolt.\Oh, my, we are talking about Elves, aren't we? How cute!\We can handle them! They are just serf uprisings. response:	The pressing matter is that...
context: At the very least, we shouldn't have made an\enemy of the merchant guild of the east.\How foolish was that?!\Furthermore, there are rebellions in the occupied territories.\I heard that the Elves have risen in revolt.\Oh, my, we are talking about Elves, aren't we? How cute!\We can handle them! They are just serf uprisings.\The pressing matter is that... response:	As I thought, they are hopeless.
context: enemy of the merchant guild of the east.\How foolish was that?!\Furthermore, there are rebellions in the occupied territories.\I heard that the Elves have risen in revolt.\Oh, my, we are talking about Elves, aren't we? How cute!\We can handle them! They are just serf uprisings.\The pressing matter is that...\As I thought, they are hopeless. response:	Orte expanded its territories by successively attacking the neighboring lands.
context: How foolish was that?!\Furthermore, there are rebellions in the occupied territories.\I heard that the Elves have risen in revolt.\Oh, my, we are talking about Elves, aren't we? How cute!\We can handle them! They are just serf uprisings.\The pressing matter is that...\As I thought, they are hopeless.\Orte expanded its territories by successively attacking the neighboring lands. response:	This means that soon we won't just be dealing with the Elven revolt.
context: Furthermore, there are rebellions in the occupied territories.\I heard that the Elves have risen in revolt.\Oh, my, we are talking about Elves, aren't we? How cute!\We can handle them! They are just serf uprisings.\The pressing matter is that...\As I thought, they are hopeless.\Orte expanded its territories by successively attacking the neighboring lands.\This means that soon we won't just be dealing with the Elven revolt. response:	Their revolt will amplify the wrath of the other races until it boils over.
context: I heard that the Elves have risen in revolt.\Oh, my, we are talking about Elves, aren't we? How cute!\We can handle them! They are just serf uprisings.\The pressing matter is that...\As I thought, they are hopeless.\Orte expanded its territories by successively attacking the neighboring lands.\This means that soon we won't just be dealing with the Elven revolt.\Their revolt will amplify the wrath of the other races until it boils over. response:	The rebellion will spread throughout the territories like wildfire
context: Oh, my, we are talking about Elves, aren't we? How cute!\We can handle them! They are just serf uprisings.\The pressing matter is that...\As I thought, they are hopeless.\Orte expanded its territories by successively attacking the neighboring lands.\This means that soon we won't just be dealing with the Elven revolt.\Their revolt will amplify the wrath of the other races until it boils over.\The rebellion will spread throughout the territories like wildfire response:	and roar into a festival of revolution.
context: We can handle them! They are just serf uprisings.\The pressing matter is that...\As I thought, they are hopeless.\Orte expanded its territories by successively attacking the neighboring lands.\This means that soon we won't just be dealing with the Elven revolt.\Their revolt will amplify the wrath of the other races until it boils over.\The rebellion will spread throughout the territories like wildfire\and roar into a festival of revolution. response:	It is inevitable for this movement to expand westward.
context: The pressing matter is that...\As I thought, they are hopeless.\Orte expanded its territories by successively attacking the neighboring lands.\This means that soon we won't just be dealing with the Elven revolt.\Their revolt will amplify the wrath of the other races until it boils over.\The rebellion will spread throughout the territories like wildfire\and roar into a festival of revolution.\It is inevitable for this movement to expand westward. response:	Then, the west, where most of our troops are on duty, will be cut off.
context: As I thought, they are hopeless.\Orte expanded its territories by successively attacking the neighboring lands.\This means that soon we won't just be dealing with the Elven revolt.\Their revolt will amplify the wrath of the other races until it boils over.\The rebellion will spread throughout the territories like wildfire\and roar into a festival of revolution.\It is inevitable for this movement to expand westward.\Then, the west, where most of our troops are on duty, will be cut off. response:	Oh, my! This country is in checkmate.
context: Orte expanded its territories by successively attacking the neighboring lands.\This means that soon we won't just be dealing with the Elven revolt.\Their revolt will amplify the wrath of the other races until it boils over.\The rebellion will spread throughout the territories like wildfire\and roar into a festival of revolution.\It is inevitable for this movement to expand westward.\Then, the west, where most of our troops are on duty, will be cut off.\Oh, my! This country is in checkmate. response:	I just remembered I have urgent business to take care of.
context: This means that soon we won't just be dealing with the Elven revolt.\Their revolt will amplify the wrath of the other races until it boils over.\The rebellion will spread throughout the territories like wildfire\and roar into a festival of revolution.\It is inevitable for this movement to expand westward.\Then, the west, where most of our troops are on duty, will be cut off.\Oh, my! This country is in checkmate.\I just remembered I have urgent business to take care of. response:	I have to go now.
context: Their revolt will amplify the wrath of the other races until it boils over.\The rebellion will spread throughout the territories like wildfire\and roar into a festival of revolution.\It is inevitable for this movement to expand westward.\Then, the west, where most of our troops are on duty, will be cut off.\Oh, my! This country is in checkmate.\I just remembered I have urgent business to take care of.\I have to go now. response:	Everyone, good luck with the war.
context: The rebellion will spread throughout the territories like wildfire\and roar into a festival of revolution.\It is inevitable for this movement to expand westward.\Then, the west, where most of our troops are on duty, will be cut off.\Oh, my! This country is in checkmate.\I just remembered I have urgent business to take care of.\I have to go now.\Everyone, good luck with the war. response:	Pardon me, farewell.
context: and roar into a festival of revolution.\It is inevitable for this movement to expand westward.\Then, the west, where most of our troops are on duty, will be cut off.\Oh, my! This country is in checkmate.\I just remembered I have urgent business to take care of.\I have to go now.\Everyone, good luck with the war.\Pardon me, farewell. response:	What's wrong, princess?
context: It is inevitable for this movement to expand westward.\Then, the west, where most of our troops are on duty, will be cut off.\Oh, my! This country is in checkmate.\I just remembered I have urgent business to take care of.\I have to go now.\Everyone, good luck with the war.\Pardon me, farewell.\What's wrong, princess? response:	We are leaving. No time to waste.
context: Then, the west, where most of our troops are on duty, will be cut off.\Oh, my! This country is in checkmate.\I just remembered I have urgent business to take care of.\I have to go now.\Everyone, good luck with the war.\Pardon me, farewell.\What's wrong, princess?\We are leaving. No time to waste. response:	I am going to steal that lamp,
context: Oh, my! This country is in checkmate.\I just remembered I have urgent business to take care of.\I have to go now.\Everyone, good luck with the war.\Pardon me, farewell.\What's wrong, princess?\We are leaving. No time to waste.\I am going to steal that lamp, response:	and the painting over there, too.
context: I just remembered I have urgent business to take care of.\I have to go now.\Everyone, good luck with the war.\Pardon me, farewell.\What's wrong, princess?\We are leaving. No time to waste.\I am going to steal that lamp,\and the painting over there, too. response:	Contact the Elven rebel army immediately.
context: I have to go now.\Everyone, good luck with the war.\Pardon me, farewell.\What's wrong, princess?\We are leaving. No time to waste.\I am going to steal that lamp,\and the painting over there, too.\Contact the Elven rebel army immediately. response:	Wait, I heard that the Drifters were involved in this.
context: Everyone, good luck with the war.\Pardon me, farewell.\What's wrong, princess?\We are leaving. No time to waste.\I am going to steal that lamp,\and the painting over there, too.\Contact the Elven rebel army immediately.\Wait, I heard that the Drifters were involved in this. response:	On second thought, I will do it myself!
context: Pardon me, farewell.\What's wrong, princess?\We are leaving. No time to waste.\I am going to steal that lamp,\and the painting over there, too.\Contact the Elven rebel army immediately.\Wait, I heard that the Drifters were involved in this.\On second thought, I will do it myself! response:	Eh?! Are you talking about those Elves? I want to go, too!
context: What's wrong, princess?\We are leaving. No time to waste.\I am going to steal that lamp,\and the painting over there, too.\Contact the Elven rebel army immediately.\Wait, I heard that the Drifters were involved in this.\On second thought, I will do it myself!\Eh?! Are you talking about those Elves? I want to go, too! response:	Take me with you, please!
context: We are leaving. No time to waste.\I am going to steal that lamp,\and the painting over there, too.\Contact the Elven rebel army immediately.\Wait, I heard that the Drifters were involved in this.\On second thought, I will do it myself!\Eh?! Are you talking about those Elves? I want to go, too!\Take me with you, please! response:	Shut your mouths!
context: I am going to steal that lamp,\and the painting over there, too.\Contact the Elven rebel army immediately.\Wait, I heard that the Drifters were involved in this.\On second thought, I will do it myself!\Eh?! Are you talking about those Elves? I want to go, too!\Take me with you, please!\Shut your mouths! response:	Stop!
context: and the painting over there, too.\Contact the Elven rebel army immediately.\Wait, I heard that the Drifters were involved in this.\On second thought, I will do it myself!\Eh?! Are you talking about those Elves? I want to go, too!\Take me with you, please!\Shut your mouths!\Stop! response:	You guys are from Fizona Village?
context: Contact the Elven rebel army immediately.\Wait, I heard that the Drifters were involved in this.\On second thought, I will do it myself!\Eh?! Are you talking about those Elves? I want to go, too!\Take me with you, please!\Shut your mouths!\Stop!\You guys are from Fizona Village? response:	You came for us!
context: Wait, I heard that the Drifters were involved in this.\On second thought, I will do it myself!\Eh?! Are you talking about those Elves? I want to go, too!\Take me with you, please!\Shut your mouths!\Stop!\You guys are from Fizona Village?\You came for us! response:	You must be Shara.
context: On second thought, I will do it myself!\Eh?! Are you talking about those Elves? I want to go, too!\Take me with you, please!\Shut your mouths!\Stop!\You guys are from Fizona Village?\You came for us!\You must be Shara. response:	I read your letter...
context: Eh?! Are you talking about those Elves? I want to go, too!\Take me with you, please!\Shut your mouths!\Stop!\You guys are from Fizona Village?\You came for us!\You must be Shara.\I read your letter... response:	If we don't rise up now, we shouldn't be calling ourselves Elves.
context: Take me with you, please!\Shut your mouths!\Stop!\You guys are from Fizona Village?\You came for us!\You must be Shara.\I read your letter...\If we don't rise up now, we shouldn't be calling ourselves Elves. response:	Others are steadily flowing in to join us.
context: Shut your mouths!\Stop!\You guys are from Fizona Village?\You came for us!\You must be Shara.\I read your letter...\If we don't rise up now, we shouldn't be calling ourselves Elves.\Others are steadily flowing in to join us. response:	We can win this thing.
context: Stop!\You guys are from Fizona Village?\You came for us!\You must be Shara.\I read your letter...\If we don't rise up now, we shouldn't be calling ourselves Elves.\Others are steadily flowing in to join us.\We can win this thing. response:	You said that Drifters sparked this whole thing.
context: You guys are from Fizona Village?\You came for us!\You must be Shara.\I read your letter...\If we don't rise up now, we shouldn't be calling ourselves Elves.\Others are steadily flowing in to join us.\We can win this thing.\You said that Drifters sparked this whole thing. response:	Who are they?
context: You came for us!\You must be Shara.\I read your letter...\If we don't rise up now, we shouldn't be calling ourselves Elves.\Others are steadily flowing in to join us.\We can win this thing.\You said that Drifters sparked this whole thing.\Who are they? response:	I don't know how to answer that. Hmm...
context: You must be Shara.\I read your letter...\If we don't rise up now, we shouldn't be calling ourselves Elves.\Others are steadily flowing in to join us.\We can win this thing.\You said that Drifters sparked this whole thing.\Who are they?\I don't know how to answer that. Hmm... response:	They are strange.
context: I read your letter...\If we don't rise up now, we shouldn't be calling ourselves Elves.\Others are steadily flowing in to join us.\We can win this thing.\You said that Drifters sparked this whole thing.\Who are they?\I don't know how to answer that. Hmm...\They are strange. response:	Even though those Drifters rescued you, after all, they are not one of us.
context: If we don't rise up now, we shouldn't be calling ourselves Elves.\Others are steadily flowing in to join us.\We can win this thing.\You said that Drifters sparked this whole thing.\Who are they?\I don't know how to answer that. Hmm...\They are strange.\Even though those Drifters rescued you, after all, they are not one of us. response:	Aren't they just humans with short ears? Are they trustworthy?
context: Others are steadily flowing in to join us.\We can win this thing.\You said that Drifters sparked this whole thing.\Who are they?\I don't know how to answer that. Hmm...\They are strange.\Even though those Drifters rescued you, after all, they are not one of us.\Aren't they just humans with short ears? Are they trustworthy? response:	They are! At least to me!
context: We can win this thing.\You said that Drifters sparked this whole thing.\Who are they?\I don't know how to answer that. Hmm...\They are strange.\Even though those Drifters rescued you, after all, they are not one of us.\Aren't they just humans with short ears? Are they trustworthy?\They are! At least to me! response:	Grumble, grumble, grumble
context: You said that Drifters sparked this whole thing.\Who are they?\I don't know how to answer that. Hmm...\They are strange.\Even though those Drifters rescued you, after all, they are not one of us.\Aren't they just humans with short ears? Are they trustworthy?\They are! At least to me!\Grumble, grumble, grumble response:	Are you still upset?
context: Who are they?\I don't know how to answer that. Hmm...\They are strange.\Even though those Drifters rescued you, after all, they are not one of us.\Aren't they just humans with short ears? Are they trustworthy?\They are! At least to me!\Grumble, grumble, grumble\Are you still upset? response:	You need to calm down. You're a full-grown man.
context: I don't know how to answer that. Hmm...\They are strange.\Even though those Drifters rescued you, after all, they are not one of us.\Aren't they just humans with short ears? Are they trustworthy?\They are! At least to me!\Grumble, grumble, grumble\Are you still upset?\You need to calm down. You're a full-grown man. response:	Weren't you the Minister of the Right?
context: They are strange.\Even though those Drifters rescued you, after all, they are not one of us.\Aren't they just humans with short ears? Are they trustworthy?\They are! At least to me!\Grumble, grumble, grumble\Are you still upset?\You need to calm down. You're a full-grown man.\Weren't you the Minister of the Right? response:	Why are you so angry in the first place?
context: Even though those Drifters rescued you, after all, they are not one of us.\Aren't they just humans with short ears? Are they trustworthy?\They are! At least to me!\Grumble, grumble, grumble\Are you still upset?\You need to calm down. You're a full-grown man.\Weren't you the Minister of the Right?\Why are you so angry in the first place? response:	Hell, of course I am!
context: Aren't they just humans with short ears? Are they trustworthy?\They are! At least to me!\Grumble, grumble, grumble\Are you still upset?\You need to calm down. You're a full-grown man.\Weren't you the Minister of the Right?\Why are you so angry in the first place?\Hell, of course I am! response:	Why did you decide on the village head council system?!
context: They are! At least to me!\Grumble, grumble, grumble\Are you still upset?\You need to calm down. You're a full-grown man.\Weren't you the Minister of the Right?\Why are you so angry in the first place?\Hell, of course I am!\Why did you decide on the village head council system?! response:	You could have gradually risen to power!
context: Grumble, grumble, grumble\Are you still upset?\You need to calm down. You're a full-grown man.\Weren't you the Minister of the Right?\Why are you so angry in the first place?\Hell, of course I am!\Why did you decide on the village head council system?!\You could have gradually risen to power! response:	You could have become a king!
context: Are you still upset?\You need to calm down. You're a full-grown man.\Weren't you the Minister of the Right?\Why are you so angry in the first place?\Hell, of course I am!\Why did you decide on the village head council system?!\You could have gradually risen to power!\You could have become a king! response:	I don't know much about strategy and those sorts of things.
context: You need to calm down. You're a full-grown man.\Weren't you the Minister of the Right?\Why are you so angry in the first place?\Hell, of course I am!\Why did you decide on the village head council system?!\You could have gradually risen to power!\You could have become a king!\I don't know much about strategy and those sorts of things. response:	I don't know how to understand intrigue.
context: Weren't you the Minister of the Right?\Why are you so angry in the first place?\Hell, of course I am!\Why did you decide on the village head council system?!\You could have gradually risen to power!\You could have become a king!\I don't know much about strategy and those sorts of things.\I don't know how to understand intrigue. response:	Nobu, you may be able to totally discern what they are thinking,
context: Why are you so angry in the first place?\Hell, of course I am!\Why did you decide on the village head council system?!\You could have gradually risen to power!\You could have become a king!\I don't know much about strategy and those sorts of things.\I don't know how to understand intrigue.\Nobu, you may be able to totally discern what they are thinking, response:	but you cannot read their hearts.
context: Hell, of course I am!\Why did you decide on the village head council system?!\You could have gradually risen to power!\You could have become a king!\I don't know much about strategy and those sorts of things.\I don't know how to understand intrigue.\Nobu, you may be able to totally discern what they are thinking,\but you cannot read their hearts. response:	I know for a fact that the Elves will follow me.
context: Why did you decide on the village head council system?!\You could have gradually risen to power!\You could have become a king!\I don't know much about strategy and those sorts of things.\I don't know how to understand intrigue.\Nobu, you may be able to totally discern what they are thinking,\but you cannot read their hearts.\I know for a fact that the Elves will follow me. response:	I could become a king or anything I want to be,
context: You could have gradually risen to power!\You could have become a king!\I don't know much about strategy and those sorts of things.\I don't know how to understand intrigue.\Nobu, you may be able to totally discern what they are thinking,\but you cannot read their hearts.\I know for a fact that the Elves will follow me.\I could become a king or anything I want to be, response:	but without a doubt, someday they would turn their bows against us.
context: You could have become a king!\I don't know much about strategy and those sorts of things.\I don't know how to understand intrigue.\Nobu, you may be able to totally discern what they are thinking,\but you cannot read their hearts.\I know for a fact that the Elves will follow me.\I could become a king or anything I want to be,\but without a doubt, someday they would turn their bows against us. response:	One day at some temple, we'd wake up
context: I don't know much about strategy and those sorts of things.\I don't know how to understand intrigue.\Nobu, you may be able to totally discern what they are thinking,\but you cannot read their hearts.\I know for a fact that the Elves will follow me.\I could become a king or anything I want to be,\but without a doubt, someday they would turn their bows against us.\One day at some temple, we'd wake up response:	to find ourselves surrounded by fire arrows.
context: I don't know how to understand intrigue.\Nobu, you may be able to totally discern what they are thinking,\but you cannot read their hearts.\I know for a fact that the Elves will follow me.\I could become a king or anything I want to be,\but without a doubt, someday they would turn their bows against us.\One day at some temple, we'd wake up\to find ourselves surrounded by fire arrows. response:	Will you repeat Honno-ji?
context: Nobu, you may be able to totally discern what they are thinking,\but you cannot read their hearts.\I know for a fact that the Elves will follow me.\I could become a king or anything I want to be,\but without a doubt, someday they would turn their bows against us.\One day at some temple, we'd wake up\to find ourselves surrounded by fire arrows.\Will you repeat Honno-ji? response:	Not me.
context: but you cannot read their hearts.\I know for a fact that the Elves will follow me.\I could become a king or anything I want to be,\but without a doubt, someday they would turn their bows against us.\One day at some temple, we'd wake up\to find ourselves surrounded by fire arrows.\Will you repeat Honno-ji?\Not me. response:	I can't read people's hearts, huh?!
context: I know for a fact that the Elves will follow me.\I could become a king or anything I want to be,\but without a doubt, someday they would turn their bows against us.\One day at some temple, we'd wake up\to find ourselves surrounded by fire arrows.\Will you repeat Honno-ji?\Not me.\I can't read people's hearts, huh?! response:	That hurts.
context: I could become a king or anything I want to be,\but without a doubt, someday they would turn their bows against us.\One day at some temple, we'd wake up\to find ourselves surrounded by fire arrows.\Will you repeat Honno-ji?\Not me.\I can't read people's hearts, huh?!\That hurts. response:	I hate that, too!
context: but without a doubt, someday they would turn their bows against us.\One day at some temple, we'd wake up\to find ourselves surrounded by fire arrows.\Will you repeat Honno-ji?\Not me.\I can't read people's hearts, huh?!\That hurts.\I hate that, too! response:	I went through enough revolts already.
context: One day at some temple, we'd wake up\to find ourselves surrounded by fire arrows.\Will you repeat Honno-ji?\Not me.\I can't read people's hearts, huh?!\That hurts.\I hate that, too!\I went through enough revolts already. response:	Were you betrayed that many times?
context: to find ourselves surrounded by fire arrows.\Will you repeat Honno-ji?\Not me.\I can't read people's hearts, huh?!\That hurts.\I hate that, too!\I went through enough revolts already.\Were you betrayed that many times? response:	Let me see... Twice by my younger brother Nobukatsu,
context: Will you repeat Honno-ji?\Not me.\I can't read people's hearts, huh?!\That hurts.\I hate that, too!\I went through enough revolts already.\Were you betrayed that many times?\Let me see... Twice by my younger brother Nobukatsu, response:	Errr uhh Grind grind
context: Not me.\I can't read people's hearts, huh?!\That hurts.\I hate that, too!\I went through enough revolts already.\Were you betrayed that many times?\Let me see... Twice by my younger brother Nobukatsu,\Errr uhh Grind grind response:	twice by the Katsuie and Hayashi clans, Azai, and Matsunaga,
context: I can't read people's hearts, huh?!\That hurts.\I hate that, too!\I went through enough revolts already.\Were you betrayed that many times?\Let me see... Twice by my younger brother Nobukatsu,\Errr uhh Grind grind\twice by the Katsuie and Hayashi clans, Azai, and Matsunaga, response:	then Araki, Hatano, Bessho, Mitsuhide, and...
context: That hurts.\I hate that, too!\I went through enough revolts already.\Were you betrayed that many times?\Let me see... Twice by my younger brother Nobukatsu,\Errr uhh Grind grind\twice by the Katsuie and Hayashi clans, Azai, and Matsunaga,\then Araki, Hatano, Bessho, Mitsuhide, and... response:	That's too many!
context: I hate that, too!\I went through enough revolts already.\Were you betrayed that many times?\Let me see... Twice by my younger brother Nobukatsu,\Errr uhh Grind grind\twice by the Katsuie and Hayashi clans, Azai, and Matsunaga,\then Araki, Hatano, Bessho, Mitsuhide, and...\That's too many! response:	But once I've made a decision on something, I won't stop until I get it done.
context: I went through enough revolts already.\Were you betrayed that many times?\Let me see... Twice by my younger brother Nobukatsu,\Errr uhh Grind grind\twice by the Katsuie and Hayashi clans, Azai, and Matsunaga,\then Araki, Hatano, Bessho, Mitsuhide, and...\That's too many!\But once I've made a decision on something, I won't stop until I get it done. response:	I will make you a king.
context: Were you betrayed that many times?\Let me see... Twice by my younger brother Nobukatsu,\Errr uhh Grind grind\twice by the Katsuie and Hayashi clans, Azai, and Matsunaga,\then Araki, Hatano, Bessho, Mitsuhide, and...\That's too many!\But once I've made a decision on something, I won't stop until I get it done.\I will make you a king. response:	What on earth is he doing?
context: Let me see... Twice by my younger brother Nobukatsu,\Errr uhh Grind grind\twice by the Katsuie and Hayashi clans, Azai, and Matsunaga,\then Araki, Hatano, Bessho, Mitsuhide, and...\That's too many!\But once I've made a decision on something, I won't stop until I get it done.\I will make you a king.\What on earth is he doing? response:	What is he doing with the dirt from the toilets?
context: Errr uhh Grind grind\twice by the Katsuie and Hayashi clans, Azai, and Matsunaga,\then Araki, Hatano, Bessho, Mitsuhide, and...\That's too many!\But once I've made a decision on something, I won't stop until I get it done.\I will make you a king.\What on earth is he doing?\What is he doing with the dirt from the toilets? response:	I have no idea.
context: twice by the Katsuie and Hayashi clans, Azai, and Matsunaga,\then Araki, Hatano, Bessho, Mitsuhide, and...\That's too many!\But once I've made a decision on something, I won't stop until I get it done.\I will make you a king.\What on earth is he doing?\What is he doing with the dirt from the toilets?\I have no idea. response:	Work cautiously, or else you could get blown up.
context: then Araki, Hatano, Bessho, Mitsuhide, and...\That's too many!\But once I've made a decision on something, I won't stop until I get it done.\I will make you a king.\What on earth is he doing?\What is he doing with the dirt from the toilets?\I have no idea.\Work cautiously, or else you could get blown up. response:	Hey, Shara.
context: That's too many!\But once I've made a decision on something, I won't stop until I get it done.\I will make you a king.\What on earth is he doing?\What is he doing with the dirt from the toilets?\I have no idea.\Work cautiously, or else you could get blown up.\Hey, Shara. response:	Tell the other villagers to bring
context: But once I've made a decision on something, I won't stop until I get it done.\I will make you a king.\What on earth is he doing?\What is he doing with the dirt from the toilets?\I have no idea.\Work cautiously, or else you could get blown up.\Hey, Shara.\Tell the other villagers to bring response:	lots and lots of dirt from the toilets and sheds.
context: I will make you a king.\What on earth is he doing?\What is he doing with the dirt from the toilets?\I have no idea.\Work cautiously, or else you could get blown up.\Hey, Shara.\Tell the other villagers to bring\lots and lots of dirt from the toilets and sheds. response:	How much does he like shit?!
context: What on earth is he doing?\What is he doing with the dirt from the toilets?\I have no idea.\Work cautiously, or else you could get blown up.\Hey, Shara.\Tell the other villagers to bring\lots and lots of dirt from the toilets and sheds.\How much does he like shit?! response:	Nobu, sir.
context: What is he doing with the dirt from the toilets?\I have no idea.\Work cautiously, or else you could get blown up.\Hey, Shara.\Tell the other villagers to bring\lots and lots of dirt from the toilets and sheds.\How much does he like shit?!\Nobu, sir. response:	Yeah?
context: I have no idea.\Work cautiously, or else you could get blown up.\Hey, Shara.\Tell the other villagers to bring\lots and lots of dirt from the toilets and sheds.\How much does he like shit?!\Nobu, sir.\Yeah? response:	I asked blacksmiths in all the villages, but...
context: Work cautiously, or else you could get blown up.\Hey, Shara.\Tell the other villagers to bring\lots and lots of dirt from the toilets and sheds.\How much does he like shit?!\Nobu, sir.\Yeah?\I asked blacksmiths in all the villages, but... response:	as I expected, they all told me it would be too hard to replicate.
context: Hey, Shara.\Tell the other villagers to bring\lots and lots of dirt from the toilets and sheds.\How much does he like shit?!\Nobu, sir.\Yeah?\I asked blacksmiths in all the villages, but...\as I expected, they all told me it would be too hard to replicate. response:	Is that so?
context: Tell the other villagers to bring\lots and lots of dirt from the toilets and sheds.\How much does he like shit?!\Nobu, sir.\Yeah?\I asked blacksmiths in all the villages, but...\as I expected, they all told me it would be too hard to replicate.\Is that so? response:	Those blacksmiths in Sakai and Kunitomo really had excellent craftsmanship after all.
context: lots and lots of dirt from the toilets and sheds.\How much does he like shit?!\Nobu, sir.\Yeah?\I asked blacksmiths in all the villages, but...\as I expected, they all told me it would be too hard to replicate.\Is that so?\Those blacksmiths in Sakai and Kunitomo really had excellent craftsmanship after all. response:	Who do you think can make this?
context: How much does he like shit?!\Nobu, sir.\Yeah?\I asked blacksmiths in all the villages, but...\as I expected, they all told me it would be too hard to replicate.\Is that so?\Those blacksmiths in Sakai and Kunitomo really had excellent craftsmanship after all.\Who do you think can make this? response:	Perhaps, the expert blacksmiths of the Dwarves could...
context: Nobu, sir.\Yeah?\I asked blacksmiths in all the villages, but...\as I expected, they all told me it would be too hard to replicate.\Is that so?\Those blacksmiths in Sakai and Kunitomo really had excellent craftsmanship after all.\Who do you think can make this?\Perhaps, the expert blacksmiths of the Dwarves could... response:	That's the only thing they are good for.
context: Yeah?\I asked blacksmiths in all the villages, but...\as I expected, they all told me it would be too hard to replicate.\Is that so?\Those blacksmiths in Sakai and Kunitomo really had excellent craftsmanship after all.\Who do you think can make this?\Perhaps, the expert blacksmiths of the Dwarves could...\That's the only thing they are good for. response:	Dwarves... I see.
context: I asked blacksmiths in all the villages, but...\as I expected, they all told me it would be too hard to replicate.\Is that so?\Those blacksmiths in Sakai and Kunitomo really had excellent craftsmanship after all.\Who do you think can make this?\Perhaps, the expert blacksmiths of the Dwarves could...\That's the only thing they are good for.\Dwarves... I see. response:	Uhh...
context: as I expected, they all told me it would be too hard to replicate.\Is that so?\Those blacksmiths in Sakai and Kunitomo really had excellent craftsmanship after all.\Who do you think can make this?\Perhaps, the expert blacksmiths of the Dwarves could...\That's the only thing they are good for.\Dwarves... I see.\Uhh... response:	I am the archery coach for you Elves...
context: Is that so?\Those blacksmiths in Sakai and Kunitomo really had excellent craftsmanship after all.\Who do you think can make this?\Perhaps, the expert blacksmiths of the Dwarves could...\That's the only thing they are good for.\Dwarves... I see.\Uhh...\I am the archery coach for you Elves... response:	I am Nasu Suketaka Yoichi.
context: Those blacksmiths in Sakai and Kunitomo really had excellent craftsmanship after all.\Who do you think can make this?\Perhaps, the expert blacksmiths of the Dwarves could...\That's the only thing they are good for.\Dwarves... I see.\Uhh...\I am the archery coach for you Elves...\I am Nasu Suketaka Yoichi. response:	Get moving!
context: Who do you think can make this?\Perhaps, the expert blacksmiths of the Dwarves could...\That's the only thing they are good for.\Dwarves... I see.\Uhh...\I am the archery coach for you Elves...\I am Nasu Suketaka Yoichi.\Get moving! response:	I'm going to train your lazy asses so hard,
context: Perhaps, the expert blacksmiths of the Dwarves could...\That's the only thing they are good for.\Dwarves... I see.\Uhh...\I am the archery coach for you Elves...\I am Nasu Suketaka Yoichi.\Get moving!\I'm going to train your lazy asses so hard, response:	Mutter, mutter, mutter
context: That's the only thing they are good for.\Dwarves... I see.\Uhh...\I am the archery coach for you Elves...\I am Nasu Suketaka Yoichi.\Get moving!\I'm going to train your lazy asses so hard,\Mutter, mutter, mutter response:	you won't even be able to cry or laugh.
context: Dwarves... I see.\Uhh...\I am the archery coach for you Elves...\I am Nasu Suketaka Yoichi.\Get moving!\I'm going to train your lazy asses so hard,\Mutter, mutter, mutter\you won't even be able to cry or laugh. response:	Yell, Hurray! Minamoto clan! before and after you speak.
context: Uhh...\I am the archery coach for you Elves...\I am Nasu Suketaka Yoichi.\Get moving!\I'm going to train your lazy asses so hard,\Mutter, mutter, mutter\you won't even be able to cry or laugh.\Yell, Hurray! Minamoto clan! before and after you speak. response:	Muahahaha
context: I am the archery coach for you Elves...\I am Nasu Suketaka Yoichi.\Get moving!\I'm going to train your lazy asses so hard,\Mutter, mutter, mutter\you won't even be able to cry or laugh.\Yell, Hurray! Minamoto clan! before and after you speak.\Muahahaha response:	Minamoto clan...?
context: I am Nasu Suketaka Yoichi.\Get moving!\I'm going to train your lazy asses so hard,\Mutter, mutter, mutter\you won't even be able to cry or laugh.\Yell, Hurray! Minamoto clan! before and after you speak.\Muahahaha\Minamoto clan...? response:	Wh-What is that...?
context: Get moving!\I'm going to train your lazy asses so hard,\Mutter, mutter, mutter\you won't even be able to cry or laugh.\Yell, Hurray! Minamoto clan! before and after you speak.\Muahahaha\Minamoto clan...?\Wh-What is that...? response:	We now begin intensive training...
context: I'm going to train your lazy asses so hard,\Mutter, mutter, mutter\you won't even be able to cry or laugh.\Yell, Hurray! Minamoto clan! before and after you speak.\Muahahaha\Minamoto clan...?\Wh-What is that...?\We now begin intensive training... response:	Our goal is to make 10,000 shots out of 100, not 100 shots out of 100.
context: Mutter, mutter, mutter\you won't even be able to cry or laugh.\Yell, Hurray! Minamoto clan! before and after you speak.\Muahahaha\Minamoto clan...?\Wh-What is that...?\We now begin intensive training...\Our goal is to make 10,000 shots out of 100, not 100 shots out of 100. response:	Steel yourselves.
