context: 5 Days Until the Prefectural Tournament!! response:	Amazing, Haruka-senpai!
context: They have a swimmer who's known as the Whitebait of the Sea of Japan.\They have someone with that nickname?\And over there is Saijouin High School.\They have a swimmer who's known as Joe the Flying Fish.\He has an incredible vertical.\That seems kind of cool.\I want a nickname, too.\You always stretch yourself out more near the end of a race. response:	How about Bamboo Nagisa, then?
context: They have someone with that nickname?\And over there is Saijouin High School.\They have a swimmer who's known as Joe the Flying Fish.\He has an incredible vertical.\That seems kind of cool.\I want a nickname, too.\You always stretch yourself out more near the end of a race.\How about Bamboo Nagisa, then? response:	Wait, why bamboo?
context: And over there is Saijouin High School.\They have a swimmer who's known as Joe the Flying Fish.\He has an incredible vertical.\That seems kind of cool.\I want a nickname, too.\You always stretch yourself out more near the end of a race.\How about Bamboo Nagisa, then?\Wait, why bamboo? response:	Bamboo has nothing to do with swimming.
context: They have a swimmer who's known as Joe the Flying Fish.\He has an incredible vertical.\That seems kind of cool.\I want a nickname, too.\You always stretch yourself out more near the end of a race.\How about Bamboo Nagisa, then?\Wait, why bamboo?\Bamboo has nothing to do with swimming. response:	Did you collect all of that data by yourself?
context: He has an incredible vertical.\That seems kind of cool.\I want a nickname, too.\You always stretch yourself out more near the end of a race.\How about Bamboo Nagisa, then?\Wait, why bamboo?\Bamboo has nothing to do with swimming.\Did you collect all of that data by yourself? response:	Well, I'm the manager.
context: That seems kind of cool.\I want a nickname, too.\You always stretch yourself out more near the end of a race.\How about Bamboo Nagisa, then?\Wait, why bamboo?\Bamboo has nothing to do with swimming.\Did you collect all of that data by yourself?\Well, I'm the manager. response:	You even have notes on their muscles.
context: I want a nickname, too.\You always stretch yourself out more near the end of a race.\How about Bamboo Nagisa, then?\Wait, why bamboo?\Bamboo has nothing to do with swimming.\Did you collect all of that data by yourself?\Well, I'm the manager.\You even have notes on their muscles. response:	But many things can't be expressed through notes.
context: You always stretch yourself out more near the end of a race.\How about Bamboo Nagisa, then?\Wait, why bamboo?\Bamboo has nothing to do with swimming.\Did you collect all of that data by yourself?\Well, I'm the manager.\You even have notes on their muscles.\But many things can't be expressed through notes. response:	Muscles are best in the flesh!
context: How about Bamboo Nagisa, then?\Wait, why bamboo?\Bamboo has nothing to do with swimming.\Did you collect all of that data by yourself?\Well, I'm the manager.\You even have notes on their muscles.\But many things can't be expressed through notes.\Muscles are best in the flesh! response:	All of these muscles simultaneously in one place!
context: Wait, why bamboo?\Bamboo has nothing to do with swimming.\Did you collect all of that data by yourself?\Well, I'm the manager.\You even have notes on their muscles.\But many things can't be expressed through notes.\Muscles are best in the flesh!\All of these muscles simultaneously in one place! response:	Wonderful! Marvelous!
context: Bamboo has nothing to do with swimming.\Did you collect all of that data by yourself?\Well, I'm the manager.\You even have notes on their muscles.\But many things can't be expressed through notes.\Muscles are best in the flesh!\All of these muscles simultaneously in one place!\Wonderful! Marvelous! response:	Hey, Gou-kun!
context: Did you collect all of that data by yourself?\Well, I'm the manager.\You even have notes on their muscles.\But many things can't be expressed through notes.\Muscles are best in the flesh!\All of these muscles simultaneously in one place!\Wonderful! Marvelous!\Hey, Gou-kun! response:	It's Rin-chan's captain.
context: Well, I'm the manager.\You even have notes on their muscles.\But many things can't be expressed through notes.\Muscles are best in the flesh!\All of these muscles simultaneously in one place!\Wonderful! Marvelous!\Hey, Gou-kun!\It's Rin-chan's captain. response:	Over here, Gou-kun!
context: You even have notes on their muscles.\But many things can't be expressed through notes.\Muscles are best in the flesh!\All of these muscles simultaneously in one place!\Wonderful! Marvelous!\Hey, Gou-kun!\It's Rin-chan's captain.\Over here, Gou-kun! response:	I told him to stop calling me Gou-kun.
context: But many things can't be expressed through notes.\Muscles are best in the flesh!\All of these muscles simultaneously in one place!\Wonderful! Marvelous!\Hey, Gou-kun!\It's Rin-chan's captain.\Over here, Gou-kun!\I told him to stop calling me Gou-kun. response:	Over here! Hey, over here!
context: Muscles are best in the flesh!\All of these muscles simultaneously in one place!\Wonderful! Marvelous!\Hey, Gou-kun!\It's Rin-chan's captain.\Over here, Gou-kun!\I told him to stop calling me Gou-kun.\Over here! Hey, over here! response:	I don't see Rin.
context: All of these muscles simultaneously in one place!\Wonderful! Marvelous!\Hey, Gou-kun!\It's Rin-chan's captain.\Over here, Gou-kun!\I told him to stop calling me Gou-kun.\Over here! Hey, over here!\I don't see Rin. response:	Maybe he already headed over to the assembly area.
context: Wonderful! Marvelous!\Hey, Gou-kun!\It's Rin-chan's captain.\Over here, Gou-kun!\I told him to stop calling me Gou-kun.\Over here! Hey, over here!\I don't see Rin.\Maybe he already headed over to the assembly area. response:	Haru...
context: Hey, Gou-kun!\It's Rin-chan's captain.\Over here, Gou-kun!\I told him to stop calling me Gou-kun.\Over here! Hey, over here!\I don't see Rin.\Maybe he already headed over to the assembly area.\Haru... response:	Win your race!
context: It's Rin-chan's captain.\Over here, Gou-kun!\I told him to stop calling me Gou-kun.\Over here! Hey, over here!\I don't see Rin.\Maybe he already headed over to the assembly area.\Haru...\Win your race! response:	I'm here, as promised.
context: Over here, Gou-kun!\I told him to stop calling me Gou-kun.\Over here! Hey, over here!\I don't see Rin.\Maybe he already headed over to the assembly area.\Haru...\Win your race!\I'm here, as promised. response:	Of course.
context: I told him to stop calling me Gou-kun.\Over here! Hey, over here!\I don't see Rin.\Maybe he already headed over to the assembly area.\Haru...\Win your race!\I'm here, as promised.\Of course. response:	I kept my qualifying time low so I'd be in the same heat as you.
context: Over here! Hey, over here!\I don't see Rin.\Maybe he already headed over to the assembly area.\Haru...\Win your race!\I'm here, as promised.\Of course.\I kept my qualifying time low so I'd be in the same heat as you. response:	No need for that.
context: I don't see Rin.\Maybe he already headed over to the assembly area.\Haru...\Win your race!\I'm here, as promised.\Of course.\I kept my qualifying time low so I'd be in the same heat as you.\No need for that. response:	We'd still meet in the final.
context: Maybe he already headed over to the assembly area.\Haru...\Win your race!\I'm here, as promised.\Of course.\I kept my qualifying time low so I'd be in the same heat as you.\No need for that.\We'd still meet in the final. response:	I can't wait that long.
context: Haru...\Win your race!\I'm here, as promised.\Of course.\I kept my qualifying time low so I'd be in the same heat as you.\No need for that.\We'd still meet in the final.\I can't wait that long. response:	Besides, there's no guarantee
context: Win your race!\I'm here, as promised.\Of course.\I kept my qualifying time low so I'd be in the same heat as you.\No need for that.\We'd still meet in the final.\I can't wait that long.\Besides, there's no guarantee response:	that you'll make it to the final.
context: I'm here, as promised.\Of course.\I kept my qualifying time low so I'd be in the same heat as you.\No need for that.\We'd still meet in the final.\I can't wait that long.\Besides, there's no guarantee\that you'll make it to the final. response:	No one else matters.
context: Of course.\I kept my qualifying time low so I'd be in the same heat as you.\No need for that.\We'd still meet in the final.\I can't wait that long.\Besides, there's no guarantee\that you'll make it to the final.\No one else matters. response:	This is between you and me.
context: I kept my qualifying time low so I'd be in the same heat as you.\No need for that.\We'd still meet in the final.\I can't wait that long.\Besides, there's no guarantee\that you'll make it to the final.\No one else matters.\This is between you and me. response:	I look forward to it.
context: No need for that.\We'd still meet in the final.\I can't wait that long.\Besides, there's no guarantee\that you'll make it to the final.\No one else matters.\This is between you and me.\I look forward to it. response:	Today, I become free.
context: We'd still meet in the final.\I can't wait that long.\Besides, there's no guarantee\that you'll make it to the final.\No one else matters.\This is between you and me.\I look forward to it.\Today, I become free. response:	Set.
context: I can't wait that long.\Besides, there's no guarantee\that you'll make it to the final.\No one else matters.\This is between you and me.\I look forward to it.\Today, I become free.\Set. response:	Go!
context: Besides, there's no guarantee\that you'll make it to the final.\No one else matters.\This is between you and me.\I look forward to it.\Today, I become free.\Set.\Go! response:	Haru-chan and Rin-chan are up next!
context: that you'll make it to the final.\No one else matters.\This is between you and me.\I look forward to it.\Today, I become free.\Set.\Go!\Haru-chan and Rin-chan are up next! response:	Who are you cheering for, Matsuoka-san?
context: No one else matters.\This is between you and me.\I look forward to it.\Today, I become free.\Set.\Go!\Haru-chan and Rin-chan are up next!\Who are you cheering for, Matsuoka-san? response:	Both of them!
context: This is between you and me.\I look forward to it.\Today, I become free.\Set.\Go!\Haru-chan and Rin-chan are up next!\Who are you cheering for, Matsuoka-san?\Both of them! response:	Haru-chan! Fight!
context: I look forward to it.\Today, I become free.\Set.\Go!\Haru-chan and Rin-chan are up next!\Who are you cheering for, Matsuoka-san?\Both of them!\Haru-chan! Fight! response:	Set.
context: Today, I become free.\Set.\Go!\Haru-chan and Rin-chan are up next!\Who are you cheering for, Matsuoka-san?\Both of them!\Haru-chan! Fight!\Set. response:	Go!
context: Set.\Go!\Haru-chan and Rin-chan are up next!\Who are you cheering for, Matsuoka-san?\Both of them!\Haru-chan! Fight!\Set.\Go! response:	They're fast!
context: Go!\Haru-chan and Rin-chan are up next!\Who are you cheering for, Matsuoka-san?\Both of them!\Haru-chan! Fight!\Set.\Go!\They're fast! response:	Rin-chan's gotten a lot faster!
context: Haru-chan and Rin-chan are up next!\Who are you cheering for, Matsuoka-san?\Both of them!\Haru-chan! Fight!\Set.\Go!\They're fast!\Rin-chan's gotten a lot faster! response:	He's pulling ahead of Haru-chan!
context: Who are you cheering for, Matsuoka-san?\Both of them!\Haru-chan! Fight!\Set.\Go!\They're fast!\Rin-chan's gotten a lot faster!\He's pulling ahead of Haru-chan! response:	Haru's falling behind in the first leg?
context: Both of them!\Haru-chan! Fight!\Set.\Go!\They're fast!\Rin-chan's gotten a lot faster!\He's pulling ahead of Haru-chan!\Haru's falling behind in the first leg? response:	They're entering the turn!
context: Haru-chan! Fight!\Set.\Go!\They're fast!\Rin-chan's gotten a lot faster!\He's pulling ahead of Haru-chan!\Haru's falling behind in the first leg?\They're entering the turn! response:	Haru-chan's catching up!
context: Set.\Go!\They're fast!\Rin-chan's gotten a lot faster!\He's pulling ahead of Haru-chan!\Haru's falling behind in the first leg?\They're entering the turn!\Haru-chan's catching up! response:	Haru!
context: Go!\They're fast!\Rin-chan's gotten a lot faster!\He's pulling ahead of Haru-chan!\Haru's falling behind in the first leg?\They're entering the turn!\Haru-chan's catching up!\Haru! response:	Haruka-senpai!
context: They're fast!\Rin-chan's gotten a lot faster!\He's pulling ahead of Haru-chan!\Haru's falling behind in the first leg?\They're entering the turn!\Haru-chan's catching up!\Haru!\Haruka-senpai! response:	Matsuoka Rin
context: Rin-chan's gotten a lot faster!\He's pulling ahead of Haru-chan!\Haru's falling behind in the first leg?\They're entering the turn!\Haru-chan's catching up!\Haru!\Haruka-senpai!\Matsuoka Rin response:	Nanase Haruka
context: He's pulling ahead of Haru-chan!\Haru's falling behind in the first leg?\They're entering the turn!\Haru-chan's catching up!\Haru!\Haruka-senpai!\Matsuoka Rin\Nanase Haruka response:	Haru lost...
context: Haru's falling behind in the first leg?\They're entering the turn!\Haru-chan's catching up!\Haru!\Haruka-senpai!\Matsuoka Rin\Nanase Haruka\Haru lost... response:	No way.
context: They're entering the turn!\Haru-chan's catching up!\Haru!\Haruka-senpai!\Matsuoka Rin\Nanase Haruka\Haru lost...\No way. response:	And
context: Haru-chan's catching up!\Haru!\Haruka-senpai!\Matsuoka Rin\Nanase Haruka\Haru lost...\No way.\And response:	Matsuoka Rin
context: Haru!\Haruka-senpai!\Matsuoka Rin\Nanase Haruka\Haru lost...\No way.\And\Matsuoka Rin response:	Nanase Haruka
context: Haruka-senpai!\Matsuoka Rin\Nanase Haruka\Haru lost...\No way.\And\Matsuoka Rin\Nanase Haruka response:	he didn't advance.
context: Matsuoka Rin\Nanase Haruka\Haru lost...\No way.\And\Matsuoka Rin\Nanase Haruka\he didn't advance. response:	Matsuoka Rin
context: Nanase Haruka\Haru lost...\No way.\And\Matsuoka Rin\Nanase Haruka\he didn't advance.\Matsuoka Rin response:	Yes!
context: Haru lost...\No way.\And\Matsuoka Rin\Nanase Haruka\he didn't advance.\Matsuoka Rin\Yes! response:	Yes!
context: No way.\And\Matsuoka Rin\Nanase Haruka\he didn't advance.\Matsuoka Rin\Yes!\Yes! response:	Way to go, Matsuoka!
context: And\Matsuoka Rin\Nanase Haruka\he didn't advance.\Matsuoka Rin\Yes!\Yes!\Way to go, Matsuoka! response:	Senpai!
context: Matsuoka Rin\Nanase Haruka\he didn't advance.\Matsuoka Rin\Yes!\Yes!\Way to go, Matsuoka!\Senpai! response:	Haru!
context: Nanase Haruka\he didn't advance.\Matsuoka Rin\Yes!\Yes!\Way to go, Matsuoka!\Senpai!\Haru! response:	I win.
context: he didn't advance.\Matsuoka Rin\Yes!\Yes!\Way to go, Matsuoka!\Senpai!\Haru!\I win. response:	This means I'll never swim with you again.
context: Matsuoka Rin\Yes!\Yes!\Way to go, Matsuoka!\Senpai!\Haru!\I win.\This means I'll never swim with you again. response:	Never.
context: Yes!\Yes!\Way to go, Matsuoka!\Senpai!\Haru!\I win.\This means I'll never swim with you again.\Never. response:	Haru lost...
context: Yes!\Way to go, Matsuoka!\Senpai!\Haru!\I win.\This means I'll never swim with you again.\Never.\Haru lost... response:	It's okay. We still have a chance!
context: Way to go, Matsuoka!\Senpai!\Haru!\I win.\This means I'll never swim with you again.\Never.\Haru lost...\It's okay. We still have a chance! response:	Okay, it's my turn to tell an embarrassing story about Rin-chan!
context: Senpai!\Haru!\I win.\This means I'll never swim with you again.\Never.\Haru lost...\It's okay. We still have a chance!\Okay, it's my turn to tell an embarrassing story about Rin-chan! response:	I'm not talking about embarrassing stories!
context: Haru!\I win.\This means I'll never swim with you again.\Never.\Haru lost...\It's okay. We still have a chance!\Okay, it's my turn to tell an embarrassing story about Rin-chan!\I'm not talking about embarrassing stories! response:	Are you talking about scary stories then?
context: I win.\This means I'll never swim with you again.\Never.\Haru lost...\It's okay. We still have a chance!\Okay, it's my turn to tell an embarrassing story about Rin-chan!\I'm not talking about embarrassing stories!\Are you talking about scary stories then? response:	Uh, back when I was in first grade, before I knew Haru...
context: This means I'll never swim with you again.\Never.\Haru lost...\It's okay. We still have a chance!\Okay, it's my turn to tell an embarrassing story about Rin-chan!\I'm not talking about embarrassing stories!\Are you talking about scary stories then?\Uh, back when I was in first grade, before I knew Haru... response:	What are you talking about, Makoto-senpai?! That's not what I meant!
context: Never.\Haru lost...\It's okay. We still have a chance!\Okay, it's my turn to tell an embarrassing story about Rin-chan!\I'm not talking about embarrassing stories!\Are you talking about scary stories then?\Uh, back when I was in first grade, before I knew Haru...\What are you talking about, Makoto-senpai?! That's not what I meant! response:	Oh, in that case...
context: Haru lost...\It's okay. We still have a chance!\Okay, it's my turn to tell an embarrassing story about Rin-chan!\I'm not talking about embarrassing stories!\Are you talking about scary stories then?\Uh, back when I was in first grade, before I knew Haru...\What are you talking about, Makoto-senpai?! That's not what I meant!\Oh, in that case... response:	Next time: Revenge in the Medley!
context: It's okay. We still have a chance!\Okay, it's my turn to tell an embarrassing story about Rin-chan!\I'm not talking about embarrassing stories!\Are you talking about scary stories then?\Uh, back when I was in first grade, before I knew Haru...\What are you talking about, Makoto-senpai?! That's not what I meant!\Oh, in that case...\Next time: Revenge in the Medley! response:	Revenge in the Medley!
context: Okay, it's my turn to tell an embarrassing story about Rin-chan!\I'm not talking about embarrassing stories!\Are you talking about scary stories then?\Uh, back when I was in first grade, before I knew Haru...\What are you talking about, Makoto-senpai?! That's not what I meant!\Oh, in that case...\Next time: Revenge in the Medley!\Revenge in the Medley! response:	We'll beat him at karaoke!
context: I'm not talking about embarrassing stories!\Are you talking about scary stories then?\Uh, back when I was in first grade, before I knew Haru...\What are you talking about, Makoto-senpai?! That's not what I meant!\Oh, in that case...\Next time: Revenge in the Medley!\Revenge in the Medley!\We'll beat him at karaoke! response:	Not that kind of medley!
