context: GDF Base on the Front Lines Undina Air Space response:	<The primitive beings! Hunt them down to the last one!>
context: The gunner uses...\Long-ranged attacks with a high-energy charged particle cannon\and radiation-guided photon resonance antiaircraft artillery, right?\At least you're knowledgeable.\After a full-power volley, the time lag\and acceleration will be a beat off, so watch yourself.\Your unit is meant for the leader.\Like the forward unit, it is versatile. response:	But it is capable of handling even higher-level command transmissions.
context: Long-ranged attacks with a high-energy charged particle cannon\and radiation-guided photon resonance antiaircraft artillery, right?\At least you're knowledgeable.\After a full-power volley, the time lag\and acceleration will be a beat off, so watch yourself.\Your unit is meant for the leader.\Like the forward unit, it is versatile.\But it is capable of handling even higher-level command transmissions. response:	Keep constant tab on all incoming information on each unit
context: and radiation-guided photon resonance antiaircraft artillery, right?\At least you're knowledgeable.\After a full-power volley, the time lag\and acceleration will be a beat off, so watch yourself.\Your unit is meant for the leader.\Like the forward unit, it is versatile.\But it is capable of handling even higher-level command transmissions.\Keep constant tab on all incoming information on each unit response:	and issue the appropriate commands.
context: At least you're knowledgeable.\After a full-power volley, the time lag\and acceleration will be a beat off, so watch yourself.\Your unit is meant for the leader.\Like the forward unit, it is versatile.\But it is capable of handling even higher-level command transmissions.\Keep constant tab on all incoming information on each unit\and issue the appropriate commands. response:	Are you done with the explanations?
context: After a full-power volley, the time lag\and acceleration will be a beat off, so watch yourself.\Your unit is meant for the leader.\Like the forward unit, it is versatile.\But it is capable of handling even higher-level command transmissions.\Keep constant tab on all incoming information on each unit\and issue the appropriate commands.\Are you done with the explanations? response:	Yes, Boss!
context: and acceleration will be a beat off, so watch yourself.\Your unit is meant for the leader.\Like the forward unit, it is versatile.\But it is capable of handling even higher-level command transmissions.\Keep constant tab on all incoming information on each unit\and issue the appropriate commands.\Are you done with the explanations?\Yes, Boss! response:	Bunnies, hang in there!
context: Your unit is meant for the leader.\Like the forward unit, it is versatile.\But it is capable of handling even higher-level command transmissions.\Keep constant tab on all incoming information on each unit\and issue the appropriate commands.\Are you done with the explanations?\Yes, Boss!\Bunnies, hang in there! response:	We will be deploying in the Pit.
context: Like the forward unit, it is versatile.\But it is capable of handling even higher-level command transmissions.\Keep constant tab on all incoming information on each unit\and issue the appropriate commands.\Are you done with the explanations?\Yes, Boss!\Bunnies, hang in there!\We will be deploying in the Pit. response:	Let us know if you need any weapons.
context: But it is capable of handling even higher-level command transmissions.\Keep constant tab on all incoming information on each unit\and issue the appropriate commands.\Are you done with the explanations?\Yes, Boss!\Bunnies, hang in there!\We will be deploying in the Pit.\Let us know if you need any weapons. response:	We'll send them over.
context: Keep constant tab on all incoming information on each unit\and issue the appropriate commands.\Are you done with the explanations?\Yes, Boss!\Bunnies, hang in there!\We will be deploying in the Pit.\Let us know if you need any weapons.\We'll send them over. response:	Also let us know if you need any emergency maintenance.
context: and issue the appropriate commands.\Are you done with the explanations?\Yes, Boss!\Bunnies, hang in there!\We will be deploying in the Pit.\Let us know if you need any weapons.\We'll send them over.\Also let us know if you need any emergency maintenance. response:	You see, AHSMB break easily in exchange for their high-energy output.
context: Are you done with the explanations?\Yes, Boss!\Bunnies, hang in there!\We will be deploying in the Pit.\Let us know if you need any weapons.\We'll send them over.\Also let us know if you need any emergency maintenance.\You see, AHSMB break easily in exchange for their high-energy output. response:	What?!
context: Yes, Boss!\Bunnies, hang in there!\We will be deploying in the Pit.\Let us know if you need any weapons.\We'll send them over.\Also let us know if you need any emergency maintenance.\You see, AHSMB break easily in exchange for their high-energy output.\What?! response:	Don't worry! We've got your backs.
context: Bunnies, hang in there!\We will be deploying in the Pit.\Let us know if you need any weapons.\We'll send them over.\Also let us know if you need any emergency maintenance.\You see, AHSMB break easily in exchange for their high-energy output.\What?!\Don't worry! We've got your backs. response:	Prepare for battle.
context: We will be deploying in the Pit.\Let us know if you need any weapons.\We'll send them over.\Also let us know if you need any emergency maintenance.\You see, AHSMB break easily in exchange for their high-energy output.\What?!\Don't worry! We've got your backs.\Prepare for battle. response:	Godinion, enter Combat Formation I.
context: Let us know if you need any weapons.\We'll send them over.\Also let us know if you need any emergency maintenance.\You see, AHSMB break easily in exchange for their high-energy output.\What?!\Don't worry! We've got your backs.\Prepare for battle.\Godinion, enter Combat Formation I. response:	Main control: Move CIC.
context: We'll send them over.\Also let us know if you need any emergency maintenance.\You see, AHSMB break easily in exchange for their high-energy output.\What?!\Don't worry! We've got your backs.\Prepare for battle.\Godinion, enter Combat Formation I.\Main control: Move CIC. response:	Navi bridge: Closed.
context: Also let us know if you need any emergency maintenance.\You see, AHSMB break easily in exchange for their high-energy output.\What?!\Don't worry! We've got your backs.\Prepare for battle.\Godinion, enter Combat Formation I.\Main control: Move CIC.\Navi bridge: Closed. response:	Bulkhead: Locked.
context: You see, AHSMB break easily in exchange for their high-energy output.\What?!\Don't worry! We've got your backs.\Prepare for battle.\Godinion, enter Combat Formation I.\Main control: Move CIC.\Navi bridge: Closed.\Bulkhead: Locked. response:	Whole control room: Move complete.
context: What?!\Don't worry! We've got your backs.\Prepare for battle.\Godinion, enter Combat Formation I.\Main control: Move CIC.\Navi bridge: Closed.\Bulkhead: Locked.\Whole control room: Move complete. response:	Completed.
context: Don't worry! We've got your backs.\Prepare for battle.\Godinion, enter Combat Formation I.\Main control: Move CIC.\Navi bridge: Closed.\Bulkhead: Locked.\Whole control room: Move complete.\Completed. response:	What was that just now?
context: Prepare for battle.\Godinion, enter Combat Formation I.\Main control: Move CIC.\Navi bridge: Closed.\Bulkhead: Locked.\Whole control room: Move complete.\Completed.\What was that just now? response:	You connected with your AHSMB.
context: Godinion, enter Combat Formation I.\Main control: Move CIC.\Navi bridge: Closed.\Bulkhead: Locked.\Whole control room: Move complete.\Completed.\What was that just now?\You connected with your AHSMB. response:	We connected...?
context: Main control: Move CIC.\Navi bridge: Closed.\Bulkhead: Locked.\Whole control room: Move complete.\Completed.\What was that just now?\You connected with your AHSMB.\We connected...? response:	You are linked together with your AHSMB.
context: Navi bridge: Closed.\Bulkhead: Locked.\Whole control room: Move complete.\Completed.\What was that just now?\You connected with your AHSMB.\We connected...?\You are linked together with your AHSMB. response:	That activates the JURIA-SYSTEM.
context: Bulkhead: Locked.\Whole control room: Move complete.\Completed.\What was that just now?\You connected with your AHSMB.\We connected...?\You are linked together with your AHSMB.\That activates the JURIA-SYSTEM. response:	Ready for standby?
context: Whole control room: Move complete.\Completed.\What was that just now?\You connected with your AHSMB.\We connected...?\You are linked together with your AHSMB.\That activates the JURIA-SYSTEM.\Ready for standby? response:	All vessels enter detachment mode.
context: Completed.\What was that just now?\You connected with your AHSMB.\We connected...?\You are linked together with your AHSMB.\That activates the JURIA-SYSTEM.\Ready for standby?\All vessels enter detachment mode. response:	Detachment mode: Ready.
context: What was that just now?\You connected with your AHSMB.\We connected...?\You are linked together with your AHSMB.\That activates the JURIA-SYSTEM.\Ready for standby?\All vessels enter detachment mode.\Detachment mode: Ready. response:	Open the bolts.
context: You connected with your AHSMB.\We connected...?\You are linked together with your AHSMB.\That activates the JURIA-SYSTEM.\Ready for standby?\All vessels enter detachment mode.\Detachment mode: Ready.\Open the bolts. response:	Pits, take off!
context: We connected...?\You are linked together with your AHSMB.\That activates the JURIA-SYSTEM.\Ready for standby?\All vessels enter detachment mode.\Detachment mode: Ready.\Open the bolts.\Pits, take off! response:	Ignite thrusters.
context: You are linked together with your AHSMB.\That activates the JURIA-SYSTEM.\Ready for standby?\All vessels enter detachment mode.\Detachment mode: Ready.\Open the bolts.\Pits, take off!\Ignite thrusters. response:	All vessels are ready.
context: That activates the JURIA-SYSTEM.\Ready for standby?\All vessels enter detachment mode.\Detachment mode: Ready.\Open the bolts.\Pits, take off!\Ignite thrusters.\All vessels are ready. response:	All vessels, activate thrusters.
context: Ready for standby?\All vessels enter detachment mode.\Detachment mode: Ready.\Open the bolts.\Pits, take off!\Ignite thrusters.\All vessels are ready.\All vessels, activate thrusters. response:	All Pit vessels have reached their designated positions.
context: All vessels enter detachment mode.\Detachment mode: Ready.\Open the bolts.\Pits, take off!\Ignite thrusters.\All vessels are ready.\All vessels, activate thrusters.\All Pit vessels have reached their designated positions. response:	Verification checks are complete. Output is increasing normally.
context: Detachment mode: Ready.\Open the bolts.\Pits, take off!\Ignite thrusters.\All vessels are ready.\All vessels, activate thrusters.\All Pit vessels have reached their designated positions.\Verification checks are complete. Output is increasing normally. response:	Blast off!
context: Open the bolts.\Pits, take off!\Ignite thrusters.\All vessels are ready.\All vessels, activate thrusters.\All Pit vessels have reached their designated positions.\Verification checks are complete. Output is increasing normally.\Blast off! response:	All AHSMB units have taken off.
context: Pits, take off!\Ignite thrusters.\All vessels are ready.\All vessels, activate thrusters.\All Pit vessels have reached their designated positions.\Verification checks are complete. Output is increasing normally.\Blast off!\All AHSMB units have taken off. response:	<Don't let them escape! Crush them all!>
context: Ignite thrusters.\All vessels are ready.\All vessels, activate thrusters.\All Pit vessels have reached their designated positions.\Verification checks are complete. Output is increasing normally.\Blast off!\All AHSMB units have taken off.\<Don't let them escape! Crush them all!> response:	At this rate, they'll kill everyone!
context: All vessels are ready.\All vessels, activate thrusters.\All Pit vessels have reached their designated positions.\Verification checks are complete. Output is increasing normally.\Blast off!\All AHSMB units have taken off.\<Don't let them escape! Crush them all!>\At this rate, they'll kill everyone! response:	Flying aircrafts not in the codebook are approaching from behind.
context: All vessels, activate thrusters.\All Pit vessels have reached their designated positions.\Verification checks are complete. Output is increasing normally.\Blast off!\All AHSMB units have taken off.\<Don't let them escape! Crush them all!>\At this rate, they'll kill everyone!\Flying aircrafts not in the codebook are approaching from behind. response:	No, this is a GDF code...
context: All Pit vessels have reached their designated positions.\Verification checks are complete. Output is increasing normally.\Blast off!\All AHSMB units have taken off.\<Don't let them escape! Crush them all!>\At this rate, they'll kill everyone!\Flying aircrafts not in the codebook are approaching from behind.\No, this is a GDF code... response:	The MJP?
context: Verification checks are complete. Output is increasing normally.\Blast off!\All AHSMB units have taken off.\<Don't let them escape! Crush them all!>\At this rate, they'll kill everyone!\Flying aircrafts not in the codebook are approaching from behind.\No, this is a GDF code...\The MJP? response:	It's them?
context: Blast off!\All AHSMB units have taken off.\<Don't let them escape! Crush them all!>\At this rate, they'll kill everyone!\Flying aircrafts not in the codebook are approaching from behind.\No, this is a GDF code...\The MJP?\It's them? response:	Wow, we've come to quite the hot spot.
context: All AHSMB units have taken off.\<Don't let them escape! Crush them all!>\At this rate, they'll kill everyone!\Flying aircrafts not in the codebook are approaching from behind.\No, this is a GDF code...\The MJP?\It's them?\Wow, we've come to quite the hot spot. response:	Think we'll make it back alive?
context: <Don't let them escape! Crush them all!>\At this rate, they'll kill everyone!\Flying aircrafts not in the codebook are approaching from behind.\No, this is a GDF code...\The MJP?\It's them?\Wow, we've come to quite the hot spot.\Think we'll make it back alive? response:	I am John Smith, Operations Commander at GDF Headquarters.
context: At this rate, they'll kill everyone!\Flying aircrafts not in the codebook are approaching from behind.\No, this is a GDF code...\The MJP?\It's them?\Wow, we've come to quite the hot spot.\Think we'll make it back alive?\I am John Smith, Operations Commander at GDF Headquarters. response:	I am Lt. Commander Suzukaze of the MJP.
context: Flying aircrafts not in the codebook are approaching from behind.\No, this is a GDF code...\The MJP?\It's them?\Wow, we've come to quite the hot spot.\Think we'll make it back alive?\I am John Smith, Operations Commander at GDF Headquarters.\I am Lt. Commander Suzukaze of the MJP. response:	Lt. Commander Suzukaze, please have
context: No, this is a GDF code...\The MJP?\It's them?\Wow, we've come to quite the hot spot.\Think we'll make it back alive?\I am John Smith, Operations Commander at GDF Headquarters.\I am Lt. Commander Suzukaze of the MJP.\Lt. Commander Suzukaze, please have response:	units 1-5 commence battle at Secret Code Delta Zulu-41.
context: The MJP?\It's them?\Wow, we've come to quite the hot spot.\Think we'll make it back alive?\I am John Smith, Operations Commander at GDF Headquarters.\I am Lt. Commander Suzukaze of the MJP.\Lt. Commander Suzukaze, please have\units 1-5 commence battle at Secret Code Delta Zulu-41. response:	Roger. Commence battle at Delta Zulu-41.
context: It's them?\Wow, we've come to quite the hot spot.\Think we'll make it back alive?\I am John Smith, Operations Commander at GDF Headquarters.\I am Lt. Commander Suzukaze of the MJP.\Lt. Commander Suzukaze, please have\units 1-5 commence battle at Secret Code Delta Zulu-41.\Roger. Commence battle at Delta Zulu-41. response:	All AHSMB units have turned on the emergency brakes.
context: Wow, we've come to quite the hot spot.\Think we'll make it back alive?\I am John Smith, Operations Commander at GDF Headquarters.\I am Lt. Commander Suzukaze of the MJP.\Lt. Commander Suzukaze, please have\units 1-5 commence battle at Secret Code Delta Zulu-41.\Roger. Commence battle at Delta Zulu-41.\All AHSMB units have turned on the emergency brakes. response:	What are you doing?! Get into your positions!
context: Think we'll make it back alive?\I am John Smith, Operations Commander at GDF Headquarters.\I am Lt. Commander Suzukaze of the MJP.\Lt. Commander Suzukaze, please have\units 1-5 commence battle at Secret Code Delta Zulu-41.\Roger. Commence battle at Delta Zulu-41.\All AHSMB units have turned on the emergency brakes.\What are you doing?! Get into your positions! response:	What?! Now it's moving on its own!
context: I am John Smith, Operations Commander at GDF Headquarters.\I am Lt. Commander Suzukaze of the MJP.\Lt. Commander Suzukaze, please have\units 1-5 commence battle at Secret Code Delta Zulu-41.\Roger. Commence battle at Delta Zulu-41.\All AHSMB units have turned on the emergency brakes.\What are you doing?! Get into your positions!\What?! Now it's moving on its own! response:	AHSMB has a mind of its own!
context: I am Lt. Commander Suzukaze of the MJP.\Lt. Commander Suzukaze, please have\units 1-5 commence battle at Secret Code Delta Zulu-41.\Roger. Commence battle at Delta Zulu-41.\All AHSMB units have turned on the emergency brakes.\What are you doing?! Get into your positions!\What?! Now it's moving on its own!\AHSMB has a mind of its own! response:	Your survival instinct is moving it.
context: Lt. Commander Suzukaze, please have\units 1-5 commence battle at Secret Code Delta Zulu-41.\Roger. Commence battle at Delta Zulu-41.\All AHSMB units have turned on the emergency brakes.\What are you doing?! Get into your positions!\What?! Now it's moving on its own!\AHSMB has a mind of its own!\Your survival instinct is moving it. response:	Unless you decide to fight,
context: units 1-5 commence battle at Secret Code Delta Zulu-41.\Roger. Commence battle at Delta Zulu-41.\All AHSMB units have turned on the emergency brakes.\What are you doing?! Get into your positions!\What?! Now it's moving on its own!\AHSMB has a mind of its own!\Your survival instinct is moving it.\Unless you decide to fight, response:	the JURIA-SYSTEM's defensive instincts will remain active.
context: Roger. Commence battle at Delta Zulu-41.\All AHSMB units have turned on the emergency brakes.\What are you doing?! Get into your positions!\What?! Now it's moving on its own!\AHSMB has a mind of its own!\Your survival instinct is moving it.\Unless you decide to fight,\the JURIA-SYSTEM's defensive instincts will remain active. response:	Defensive instincts...?
context: All AHSMB units have turned on the emergency brakes.\What are you doing?! Get into your positions!\What?! Now it's moving on its own!\AHSMB has a mind of its own!\Your survival instinct is moving it.\Unless you decide to fight,\the JURIA-SYSTEM's defensive instincts will remain active.\Defensive instincts...? response:	You have no choice but to fight!
context: What are you doing?! Get into your positions!\What?! Now it's moving on its own!\AHSMB has a mind of its own!\Your survival instinct is moving it.\Unless you decide to fight,\the JURIA-SYSTEM's defensive instincts will remain active.\Defensive instincts...?\You have no choice but to fight! response:	She's right.
context: What?! Now it's moving on its own!\AHSMB has a mind of its own!\Your survival instinct is moving it.\Unless you decide to fight,\the JURIA-SYSTEM's defensive instincts will remain active.\Defensive instincts...?\You have no choice but to fight!\She's right. response:	If we don't fight, we'll die!
context: AHSMB has a mind of its own!\Your survival instinct is moving it.\Unless you decide to fight,\the JURIA-SYSTEM's defensive instincts will remain active.\Defensive instincts...?\You have no choice but to fight!\She's right.\If we don't fight, we'll die! response:	We'll die!
context: Your survival instinct is moving it.\Unless you decide to fight,\the JURIA-SYSTEM's defensive instincts will remain active.\Defensive instincts...?\You have no choice but to fight!\She's right.\If we don't fight, we'll die!\We'll die! response:	The AHSMB units have reached their positions.
context: Unless you decide to fight,\the JURIA-SYSTEM's defensive instincts will remain active.\Defensive instincts...?\You have no choice but to fight!\She's right.\If we don't fight, we'll die!\We'll die!\The AHSMB units have reached their positions. response:	The enemy is split into three waves.
context: the JURIA-SYSTEM's defensive instincts will remain active.\Defensive instincts...?\You have no choice but to fight!\She's right.\If we don't fight, we'll die!\We'll die!\The AHSMB units have reached their positions.\The enemy is split into three waves. response:	First attack the one in the 2 o'clock direction.
context: Defensive instincts...?\You have no choice but to fight!\She's right.\If we don't fight, we'll die!\We'll die!\The AHSMB units have reached their positions.\The enemy is split into three waves.\First attack the one in the 2 o'clock direction. response:	Roger!
context: You have no choice but to fight!\She's right.\If we don't fight, we'll die!\We'll die!\The AHSMB units have reached their positions.\The enemy is split into three waves.\First attack the one in the 2 o'clock direction.\Roger! response:	What's with this acceleration?! It's too sensitive!
context: She's right.\If we don't fight, we'll die!\We'll die!\The AHSMB units have reached their positions.\The enemy is split into three waves.\First attack the one in the 2 o'clock direction.\Roger!\What's with this acceleration?! It's too sensitive! response:	Rose 3, activate your shield.
context: If we don't fight, we'll die!\We'll die!\The AHSMB units have reached their positions.\The enemy is split into three waves.\First attack the one in the 2 o'clock direction.\Roger!\What's with this acceleration?! It's too sensitive!\Rose 3, activate your shield. response:	Red 5, Blue 1, activate your shields!
context: We'll die!\The AHSMB units have reached their positions.\The enemy is split into three waves.\First attack the one in the 2 o'clock direction.\Roger!\What's with this acceleration?! It's too sensitive!\Rose 3, activate your shield.\Red 5, Blue 1, activate your shields! response:	Hurry! Retreat while they're buying us some time!
context: The AHSMB units have reached their positions.\The enemy is split into three waves.\First attack the one in the 2 o'clock direction.\Roger!\What's with this acceleration?! It's too sensitive!\Rose 3, activate your shield.\Red 5, Blue 1, activate your shields!\Hurry! Retreat while they're buying us some time! response:	Rose 3, launch your missiles.
context: The enemy is split into three waves.\First attack the one in the 2 o'clock direction.\Roger!\What's with this acceleration?! It's too sensitive!\Rose 3, activate your shield.\Red 5, Blue 1, activate your shields!\Hurry! Retreat while they're buying us some time!\Rose 3, launch your missiles. response:	Roger!
context: First attack the one in the 2 o'clock direction.\Roger!\What's with this acceleration?! It's too sensitive!\Rose 3, activate your shield.\Red 5, Blue 1, activate your shields!\Hurry! Retreat while they're buying us some time!\Rose 3, launch your missiles.\Roger! response:	Undina Base's Third Mobile Infantry Regiment
context: Roger!\What's with this acceleration?! It's too sensitive!\Rose 3, activate your shield.\Red 5, Blue 1, activate your shields!\Hurry! Retreat while they're buying us some time!\Rose 3, launch your missiles.\Roger!\Undina Base's Third Mobile Infantry Regiment response:	and the Outer Planetary Army's 21st Regiment have finished evacuating.
context: What's with this acceleration?! It's too sensitive!\Rose 3, activate your shield.\Red 5, Blue 1, activate your shields!\Hurry! Retreat while they're buying us some time!\Rose 3, launch your missiles.\Roger!\Undina Base's Third Mobile Infantry Regiment\and the Outer Planetary Army's 21st Regiment have finished evacuating. response:	The evacuation is complete. Return promptly!
context: Rose 3, activate your shield.\Red 5, Blue 1, activate your shields!\Hurry! Retreat while they're buying us some time!\Rose 3, launch your missiles.\Roger!\Undina Base's Third Mobile Infantry Regiment\and the Outer Planetary Army's 21st Regiment have finished evacuating.\The evacuation is complete. Return promptly! response:	People are still down there?
context: Red 5, Blue 1, activate your shields!\Hurry! Retreat while they're buying us some time!\Rose 3, launch your missiles.\Roger!\Undina Base's Third Mobile Infantry Regiment\and the Outer Planetary Army's 21st Regiment have finished evacuating.\The evacuation is complete. Return promptly!\People are still down there? response:	Allow me to confirm.
context: Hurry! Retreat while they're buying us some time!\Rose 3, launch your missiles.\Roger!\Undina Base's Third Mobile Infantry Regiment\and the Outer Planetary Army's 21st Regiment have finished evacuating.\The evacuation is complete. Return promptly!\People are still down there?\Allow me to confirm. response:	You're right...
context: Rose 3, launch your missiles.\Roger!\Undina Base's Third Mobile Infantry Regiment\and the Outer Planetary Army's 21st Regiment have finished evacuating.\The evacuation is complete. Return promptly!\People are still down there?\Allow me to confirm.\You're right... response:	This is Purple 2. Godinion, please respond.
context: Roger!\Undina Base's Third Mobile Infantry Regiment\and the Outer Planetary Army's 21st Regiment have finished evacuating.\The evacuation is complete. Return promptly!\People are still down there?\Allow me to confirm.\You're right...\This is Purple 2. Godinion, please respond. response:	GDF Headquarters, there are still people in the Civilian Residential District.
context: Undina Base's Third Mobile Infantry Regiment\and the Outer Planetary Army's 21st Regiment have finished evacuating.\The evacuation is complete. Return promptly!\People are still down there?\Allow me to confirm.\You're right...\This is Purple 2. Godinion, please respond.\GDF Headquarters, there are still people in the Civilian Residential District. response:	It's too late.
context: and the Outer Planetary Army's 21st Regiment have finished evacuating.\The evacuation is complete. Return promptly!\People are still down there?\Allow me to confirm.\You're right...\This is Purple 2. Godinion, please respond.\GDF Headquarters, there are still people in the Civilian Residential District.\It's too late. response:	But-!
context: The evacuation is complete. Return promptly!\People are still down there?\Allow me to confirm.\You're right...\This is Purple 2. Godinion, please respond.\GDF Headquarters, there are still people in the Civilian Residential District.\It's too late.\But-! response:	Please pull back.
context: People are still down there?\Allow me to confirm.\You're right...\This is Purple 2. Godinion, please respond.\GDF Headquarters, there are still people in the Civilian Residential District.\It's too late.\But-!\Please pull back. response:	There aren't any ships left for them!
context: Allow me to confirm.\You're right...\This is Purple 2. Godinion, please respond.\GDF Headquarters, there are still people in the Civilian Residential District.\It's too late.\But-!\Please pull back.\There aren't any ships left for them! response:	Units 1-5, return.
context: You're right...\This is Purple 2. Godinion, please respond.\GDF Headquarters, there are still people in the Civilian Residential District.\It's too late.\But-!\Please pull back.\There aren't any ships left for them!\Units 1-5, return. response:	Izuru?
context: This is Purple 2. Godinion, please respond.\GDF Headquarters, there are still people in the Civilian Residential District.\It's too late.\But-!\Please pull back.\There aren't any ships left for them!\Units 1-5, return.\Izuru? response:	What's keeping you?
context: GDF Headquarters, there are still people in the Civilian Residential District.\It's too late.\But-!\Please pull back.\There aren't any ships left for them!\Units 1-5, return.\Izuru?\What's keeping you? response:	She said to go back...
context: It's too late.\But-!\Please pull back.\There aren't any ships left for them!\Units 1-5, return.\Izuru?\What's keeping you?\She said to go back... response:	What're you doing?
context: But-!\Please pull back.\There aren't any ships left for them!\Units 1-5, return.\Izuru?\What's keeping you?\She said to go back...\What're you doing? response:	People are still down there. And there are so many...
context: Please pull back.\There aren't any ships left for them!\Units 1-5, return.\Izuru?\What's keeping you?\She said to go back...\What're you doing?\People are still down there. And there are so many... response:	There aren't any ships left for them.
context: There aren't any ships left for them!\Units 1-5, return.\Izuru?\What's keeping you?\She said to go back...\What're you doing?\People are still down there. And there are so many...\There aren't any ships left for them. response:	Come back.
context: Units 1-5, return.\Izuru?\What's keeping you?\She said to go back...\What're you doing?\People are still down there. And there are so many...\There aren't any ships left for them.\Come back. response:	Wasn't it our mission to make sure that everyone escaped?
context: Izuru?\What's keeping you?\She said to go back...\What're you doing?\People are still down there. And there are so many...\There aren't any ships left for them.\Come back.\Wasn't it our mission to make sure that everyone escaped? response:	Several enemy ships are approaching.
context: What's keeping you?\She said to go back...\What're you doing?\People are still down there. And there are so many...\There aren't any ships left for them.\Come back.\Wasn't it our mission to make sure that everyone escaped?\Several enemy ships are approaching. response:	If there aren't any vessels,
context: She said to go back...\What're you doing?\People are still down there. And there are so many...\There aren't any ships left for them.\Come back.\Wasn't it our mission to make sure that everyone escaped?\Several enemy ships are approaching.\If there aren't any vessels, response:	the only way to save those
context: What're you doing?\People are still down there. And there are so many...\There aren't any ships left for them.\Come back.\Wasn't it our mission to make sure that everyone escaped?\Several enemy ships are approaching.\If there aren't any vessels,\the only way to save those response:	people is to defeat all of the enemy ships here.
context: People are still down there. And there are so many...\There aren't any ships left for them.\Come back.\Wasn't it our mission to make sure that everyone escaped?\Several enemy ships are approaching.\If there aren't any vessels,\the only way to save those\people is to defeat all of the enemy ships here. response:	Could we pull that off?
context: There aren't any ships left for them.\Come back.\Wasn't it our mission to make sure that everyone escaped?\Several enemy ships are approaching.\If there aren't any vessels,\the only way to save those\people is to defeat all of the enemy ships here.\Could we pull that off? response:	It's impossible!
context: Come back.\Wasn't it our mission to make sure that everyone escaped?\Several enemy ships are approaching.\If there aren't any vessels,\the only way to save those\people is to defeat all of the enemy ships here.\Could we pull that off?\It's impossible! response:	You can't become a hero if you don't do the impossible!
context: Wasn't it our mission to make sure that everyone escaped?\Several enemy ships are approaching.\If there aren't any vessels,\the only way to save those\people is to defeat all of the enemy ships here.\Could we pull that off?\It's impossible!\You can't become a hero if you don't do the impossible! response:	That's so not you.
context: Several enemy ships are approaching.\If there aren't any vessels,\the only way to save those\people is to defeat all of the enemy ships here.\Could we pull that off?\It's impossible!\You can't become a hero if you don't do the impossible!\That's so not you. response:	That doesn't match you.
context: If there aren't any vessels,\the only way to save those\people is to defeat all of the enemy ships here.\Could we pull that off?\It's impossible!\You can't become a hero if you don't do the impossible!\That's so not you.\That doesn't match you. response:	Why're you actin' so fired up?
context: the only way to save those\people is to defeat all of the enemy ships here.\Could we pull that off?\It's impossible!\You can't become a hero if you don't do the impossible!\That's so not you.\That doesn't match you.\Why're you actin' so fired up? response:	Were you serious about becoming a hero?
context: people is to defeat all of the enemy ships here.\Could we pull that off?\It's impossible!\You can't become a hero if you don't do the impossible!\That's so not you.\That doesn't match you.\Why're you actin' so fired up?\Were you serious about becoming a hero? response:	They're coming.
context: Could we pull that off?\It's impossible!\You can't become a hero if you don't do the impossible!\That's so not you.\That doesn't match you.\Why're you actin' so fired up?\Were you serious about becoming a hero?\They're coming. response:	Thanks to you, we're stuck fighting!
context: It's impossible!\You can't become a hero if you don't do the impossible!\That's so not you.\That doesn't match you.\Why're you actin' so fired up?\Were you serious about becoming a hero?\They're coming.\Thanks to you, we're stuck fighting! response:	Why aren't you retreating?
context: You can't become a hero if you don't do the impossible!\That's so not you.\That doesn't match you.\Why're you actin' so fired up?\Were you serious about becoming a hero?\They're coming.\Thanks to you, we're stuck fighting!\Why aren't you retreating? response:	Do you seriously intend to face the enemy's main fleet head on?
context: That's so not you.\That doesn't match you.\Why're you actin' so fired up?\Were you serious about becoming a hero?\They're coming.\Thanks to you, we're stuck fighting!\Why aren't you retreating?\Do you seriously intend to face the enemy's main fleet head on? response:	They have no choice but to fight now...
context: That doesn't match you.\Why're you actin' so fired up?\Were you serious about becoming a hero?\They're coming.\Thanks to you, we're stuck fighting!\Why aren't you retreating?\Do you seriously intend to face the enemy's main fleet head on?\They have no choice but to fight now... response:	How can we win this...?
context: Why're you actin' so fired up?\Were you serious about becoming a hero?\They're coming.\Thanks to you, we're stuck fighting!\Why aren't you retreating?\Do you seriously intend to face the enemy's main fleet head on?\They have no choice but to fight now...\How can we win this...? response:	We really should be running.
context: Were you serious about becoming a hero?\They're coming.\Thanks to you, we're stuck fighting!\Why aren't you retreating?\Do you seriously intend to face the enemy's main fleet head on?\They have no choice but to fight now...\How can we win this...?\We really should be running. response:	Run away? Fight!
context: They're coming.\Thanks to you, we're stuck fighting!\Why aren't you retreating?\Do you seriously intend to face the enemy's main fleet head on?\They have no choice but to fight now...\How can we win this...?\We really should be running.\Run away? Fight! response:	Run away. Fight!
context: Thanks to you, we're stuck fighting!\Why aren't you retreating?\Do you seriously intend to face the enemy's main fleet head on?\They have no choice but to fight now...\How can we win this...?\We really should be running.\Run away? Fight!\Run away. Fight! response:	Run away...
context: Why aren't you retreating?\Do you seriously intend to face the enemy's main fleet head on?\They have no choice but to fight now...\How can we win this...?\We really should be running.\Run away? Fight!\Run away. Fight!\Run away... response:	Fight!
context: Do you seriously intend to face the enemy's main fleet head on?\They have no choice but to fight now...\How can we win this...?\We really should be running.\Run away? Fight!\Run away. Fight!\Run away...\Fight! response:	<Destroy that red one!>
context: They have no choice but to fight now...\How can we win this...?\We really should be running.\Run away? Fight!\Run away. Fight!\Run away...\Fight!\<Destroy that red one!> response:	Red 5, you're over-exerting it!
