context: At the end of the 1990's. response:	Japan has reached the most dangerous depths of economic crisis and depression since World War II.
context: Um...\Um... And then, the panic that envelops him, and the hesitations.\And then, the panic that envelops him, and the hesitations.\And then, the panic that envelops him, and the hesitations. Um...\Um...\He completely hates me...\He completely hates me... Insecurity and hopelessness.\He completely hates me... response:	Good morning
context: Um... And then, the panic that envelops him, and the hesitations.\And then, the panic that envelops him, and the hesitations.\And then, the panic that envelops him, and the hesitations. Um...\Um...\He completely hates me...\He completely hates me... Insecurity and hopelessness.\He completely hates me...\Good morning response:	Good morning Good morning.
context: And then, the panic that envelops him, and the hesitations.\And then, the panic that envelops him, and the hesitations. Um...\Um...\He completely hates me...\He completely hates me... Insecurity and hopelessness.\He completely hates me...\Good morning\Good morning Good morning. response:	Good morning.
context: And then, the panic that envelops him, and the hesitations. Um...\Um...\He completely hates me...\He completely hates me... Insecurity and hopelessness.\He completely hates me...\Good morning\Good morning Good morning.\Good morning. response:	Good morning. Hey, have you seen Arima?
context: Um...\He completely hates me...\He completely hates me... Insecurity and hopelessness.\He completely hates me...\Good morning\Good morning Good morning.\Good morning.\Good morning. Hey, have you seen Arima? response:	Hey, have you seen Arima?
context: He completely hates me...\He completely hates me... Insecurity and hopelessness.\He completely hates me...\Good morning\Good morning Good morning.\Good morning.\Good morning. Hey, have you seen Arima?\Hey, have you seen Arima? response:	Waaah!...Don't come near me!!
context: He completely hates me... Insecurity and hopelessness.\He completely hates me...\Good morning\Good morning Good morning.\Good morning.\Good morning. Hey, have you seen Arima?\Hey, have you seen Arima?\Waaah!...Don't come near me!! response:	Arima-kun is my best friend, who was kind to me.
context: He completely hates me...\Good morning\Good morning Good morning.\Good morning.\Good morning. Hey, have you seen Arima?\Hey, have you seen Arima?\Waaah!...Don't come near me!!\Arima-kun is my best friend, who was kind to me. response:	I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me.
context: Good morning\Good morning Good morning.\Good morning.\Good morning. Hey, have you seen Arima?\Hey, have you seen Arima?\Waaah!...Don't come near me!!\Arima-kun is my best friend, who was kind to me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me. response:	I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me. But Arima-kun was not that way.
context: Good morning Good morning.\Good morning.\Good morning. Hey, have you seen Arima?\Hey, have you seen Arima?\Waaah!...Don't come near me!!\Arima-kun is my best friend, who was kind to me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me. But Arima-kun was not that way. response:	But Arima-kun was not that way.
context: Good morning.\Good morning. Hey, have you seen Arima?\Hey, have you seen Arima?\Waaah!...Don't come near me!!\Arima-kun is my best friend, who was kind to me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me. But Arima-kun was not that way.\But Arima-kun was not that way. response:	Everyone would come around Arima-kun, and I would never be teased in that classroom.
context: Good morning. Hey, have you seen Arima?\Hey, have you seen Arima?\Waaah!...Don't come near me!!\Arima-kun is my best friend, who was kind to me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me. But Arima-kun was not that way.\But Arima-kun was not that way.\Everyone would come around Arima-kun, and I would never be teased in that classroom. response:	Everyone would come around Arima-kun, and I would never be teased in that classroom. Whenever I was alone, he would be next to me, unpretentiously.
context: Hey, have you seen Arima?\Waaah!...Don't come near me!!\Arima-kun is my best friend, who was kind to me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me. But Arima-kun was not that way.\But Arima-kun was not that way.\Everyone would come around Arima-kun, and I would never be teased in that classroom.\Everyone would come around Arima-kun, and I would never be teased in that classroom. Whenever I was alone, he would be next to me, unpretentiously. response:	And he was frighteningly intelligent.
context: Waaah!...Don't come near me!!\Arima-kun is my best friend, who was kind to me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me. But Arima-kun was not that way.\But Arima-kun was not that way.\Everyone would come around Arima-kun, and I would never be teased in that classroom.\Everyone would come around Arima-kun, and I would never be teased in that classroom. Whenever I was alone, he would be next to me, unpretentiously.\And he was frighteningly intelligent. response:	And he was frighteningly intelligent. He was fair He was kind
context: Arima-kun is my best friend, who was kind to me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me. But Arima-kun was not that way.\But Arima-kun was not that way.\Everyone would come around Arima-kun, and I would never be teased in that classroom.\Everyone would come around Arima-kun, and I would never be teased in that classroom. Whenever I was alone, he would be next to me, unpretentiously.\And he was frighteningly intelligent.\And he was frighteningly intelligent. He was fair He was kind response:	I'm sorry.
context: I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me.\I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me. But Arima-kun was not that way.\But Arima-kun was not that way.\Everyone would come around Arima-kun, and I would never be teased in that classroom.\Everyone would come around Arima-kun, and I would never be teased in that classroom. Whenever I was alone, he would be next to me, unpretentiously.\And he was frighteningly intelligent.\And he was frighteningly intelligent. He was fair He was kind\I'm sorry. response:	I didn't know that Miyazawa was that precious to you.
context: I understand now, but at the time, I was a spoiled and truly obnoxious brat, and I can't help it if others didn't like me. But Arima-kun was not that way.\But Arima-kun was not that way.\Everyone would come around Arima-kun, and I would never be teased in that classroom.\Everyone would come around Arima-kun, and I would never be teased in that classroom. Whenever I was alone, he would be next to me, unpretentiously.\And he was frighteningly intelligent.\And he was frighteningly intelligent. He was fair He was kind\I'm sorry.\I didn't know that Miyazawa was that precious to you. response:	But to be honest, I'm surprised.
context: But Arima-kun was not that way.\Everyone would come around Arima-kun, and I would never be teased in that classroom.\Everyone would come around Arima-kun, and I would never be teased in that classroom. Whenever I was alone, he would be next to me, unpretentiously.\And he was frighteningly intelligent.\And he was frighteningly intelligent. He was fair He was kind\I'm sorry.\I didn't know that Miyazawa was that precious to you.\But to be honest, I'm surprised. response:	That Arima-kun would actually look at me in such a way, with such feelings.
context: Everyone would come around Arima-kun, and I would never be teased in that classroom.\Everyone would come around Arima-kun, and I would never be teased in that classroom. Whenever I was alone, he would be next to me, unpretentiously.\And he was frighteningly intelligent.\And he was frighteningly intelligent. He was fair He was kind\I'm sorry.\I didn't know that Miyazawa was that precious to you.\But to be honest, I'm surprised.\That Arima-kun would actually look at me in such a way, with such feelings. response:	Maybe being in love is something like this.
context: Everyone would come around Arima-kun, and I would never be teased in that classroom. Whenever I was alone, he would be next to me, unpretentiously.\And he was frighteningly intelligent.\And he was frighteningly intelligent. He was fair He was kind\I'm sorry.\I didn't know that Miyazawa was that precious to you.\But to be honest, I'm surprised.\That Arima-kun would actually look at me in such a way, with such feelings.\Maybe being in love is something like this. response:	Such out word feelings?
context: And he was frighteningly intelligent.\And he was frighteningly intelligent. He was fair He was kind\I'm sorry.\I didn't know that Miyazawa was that precious to you.\But to be honest, I'm surprised.\That Arima-kun would actually look at me in such a way, with such feelings.\Maybe being in love is something like this.\Such out word feelings? response:	Hmm?
context: And he was frighteningly intelligent. He was fair He was kind\I'm sorry.\I didn't know that Miyazawa was that precious to you.\But to be honest, I'm surprised.\That Arima-kun would actually look at me in such a way, with such feelings.\Maybe being in love is something like this.\Such out word feelings?\Hmm? response:	In that case, does that mean that Arima-kun had that element in him to begin with? In that case, who was the Arima-kun in Junior High? Was he just a facade?
context: I'm sorry.\I didn't know that Miyazawa was that precious to you.\But to be honest, I'm surprised.\That Arima-kun would actually look at me in such a way, with such feelings.\Maybe being in love is something like this.\Such out word feelings?\Hmm?\In that case, does that mean that Arima-kun had that element in him to begin with? In that case, who was the Arima-kun in Junior High? Was he just a facade? response:	Ridiculous!
context: I didn't know that Miyazawa was that precious to you.\But to be honest, I'm surprised.\That Arima-kun would actually look at me in such a way, with such feelings.\Maybe being in love is something like this.\Such out word feelings?\Hmm?\In that case, does that mean that Arima-kun had that element in him to begin with? In that case, who was the Arima-kun in Junior High? Was he just a facade?\Ridiculous! response:	Arima-kun is not that kind of person
context: But to be honest, I'm surprised.\That Arima-kun would actually look at me in such a way, with such feelings.\Maybe being in love is something like this.\Such out word feelings?\Hmm?\In that case, does that mean that Arima-kun had that element in him to begin with? In that case, who was the Arima-kun in Junior High? Was he just a facade?\Ridiculous!\Arima-kun is not that kind of person response:	No, wait...
context: That Arima-kun would actually look at me in such a way, with such feelings.\Maybe being in love is something like this.\Such out word feelings?\Hmm?\In that case, does that mean that Arima-kun had that element in him to begin with? In that case, who was the Arima-kun in Junior High? Was he just a facade?\Ridiculous!\Arima-kun is not that kind of person\No, wait... response:	If asked which...
context: Maybe being in love is something like this.\Such out word feelings?\Hmm?\In that case, does that mean that Arima-kun had that element in him to begin with? In that case, who was the Arima-kun in Junior High? Was he just a facade?\Ridiculous!\Arima-kun is not that kind of person\No, wait...\If asked which... response:	I used to naively believe back then, but...
context: Such out word feelings?\Hmm?\In that case, does that mean that Arima-kun had that element in him to begin with? In that case, who was the Arima-kun in Junior High? Was he just a facade?\Ridiculous!\Arima-kun is not that kind of person\No, wait...\If asked which...\I used to naively believe back then, but... response:	To coexist fairly with everyone is to...
context: Hmm?\In that case, does that mean that Arima-kun had that element in him to begin with? In that case, who was the Arima-kun in Junior High? Was he just a facade?\Ridiculous!\Arima-kun is not that kind of person\No, wait...\If asked which...\I used to naively believe back then, but...\To coexist fairly with everyone is to... response:	View everyone as if they were the same.
context: In that case, does that mean that Arima-kun had that element in him to begin with? In that case, who was the Arima-kun in Junior High? Was he just a facade?\Ridiculous!\Arima-kun is not that kind of person\No, wait...\If asked which...\I used to naively believe back then, but...\To coexist fairly with everyone is to...\View everyone as if they were the same. response:	Huh?
context: Ridiculous!\Arima-kun is not that kind of person\No, wait...\If asked which...\I used to naively believe back then, but...\To coexist fairly with everyone is to...\View everyone as if they were the same.\Huh? response:	I have opened a hitherto unopened box... It seems as if...
context: Arima-kun is not that kind of person\No, wait...\If asked which...\I used to naively believe back then, but...\To coexist fairly with everyone is to...\View everyone as if they were the same.\Huh?\I have opened a hitherto unopened box... It seems as if... response:	The Arima that you know is just a fabrication.
context: No, wait...\If asked which...\I used to naively believe back then, but...\To coexist fairly with everyone is to...\View everyone as if they were the same.\Huh?\I have opened a hitherto unopened box... It seems as if...\The Arima that you know is just a fabrication. response:	The Arima that you know is just a fabrication. That's right... But that's the real Arima-kun.
context: If asked which...\I used to naively believe back then, but...\To coexist fairly with everyone is to...\View everyone as if they were the same.\Huh?\I have opened a hitherto unopened box... It seems as if...\The Arima that you know is just a fabrication.\The Arima that you know is just a fabrication. That's right... But that's the real Arima-kun. response:	That's right... But that's the real Arima-kun.
context: I used to naively believe back then, but...\To coexist fairly with everyone is to...\View everyone as if they were the same.\Huh?\I have opened a hitherto unopened box... It seems as if...\The Arima that you know is just a fabrication.\The Arima that you know is just a fabrication. That's right... But that's the real Arima-kun.\That's right... But that's the real Arima-kun. response:	Arima
context: To coexist fairly with everyone is to...\View everyone as if they were the same.\Huh?\I have opened a hitherto unopened box... It seems as if...\The Arima that you know is just a fabrication.\The Arima that you know is just a fabrication. That's right... But that's the real Arima-kun.\That's right... But that's the real Arima-kun.\Arima response:	You're strong.
context: View everyone as if they were the same.\Huh?\I have opened a hitherto unopened box... It seems as if...\The Arima that you know is just a fabrication.\The Arima that you know is just a fabrication. That's right... But that's the real Arima-kun.\That's right... But that's the real Arima-kun.\Arima\You're strong. response:	Want me to hold it?
context: Huh?\I have opened a hitherto unopened box... It seems as if...\The Arima that you know is just a fabrication.\The Arima that you know is just a fabrication. That's right... But that's the real Arima-kun.\That's right... But that's the real Arima-kun.\Arima\You're strong.\Want me to hold it? response:	All of his caring feelings are given to Miyazawa
context: I have opened a hitherto unopened box... It seems as if...\The Arima that you know is just a fabrication.\The Arima that you know is just a fabrication. That's right... But that's the real Arima-kun.\That's right... But that's the real Arima-kun.\Arima\You're strong.\Want me to hold it?\All of his caring feelings are given to Miyazawa response:	His reactionary feelings and hostility are turned toward all who would get between him and Miyazawa.
context: The Arima that you know is just a fabrication.\The Arima that you know is just a fabrication. That's right... But that's the real Arima-kun.\That's right... But that's the real Arima-kun.\Arima\You're strong.\Want me to hold it?\All of his caring feelings are given to Miyazawa\His reactionary feelings and hostility are turned toward all who would get between him and Miyazawa. response:	Whenever it pertains to Miyazawa, Arima-kun cannot hold back his feelings.
context: The Arima that you know is just a fabrication. That's right... But that's the real Arima-kun.\That's right... But that's the real Arima-kun.\Arima\You're strong.\Want me to hold it?\All of his caring feelings are given to Miyazawa\His reactionary feelings and hostility are turned toward all who would get between him and Miyazawa.\Whenever it pertains to Miyazawa, Arima-kun cannot hold back his feelings. response:	For the first time...
context: That's right... But that's the real Arima-kun.\Arima\You're strong.\Want me to hold it?\All of his caring feelings are given to Miyazawa\His reactionary feelings and hostility are turned toward all who would get between him and Miyazawa.\Whenever it pertains to Miyazawa, Arima-kun cannot hold back his feelings.\For the first time... response:	I wanted to know the Arima-kun who was not about my dreams or ideals.
context: Arima\You're strong.\Want me to hold it?\All of his caring feelings are given to Miyazawa\His reactionary feelings and hostility are turned toward all who would get between him and Miyazawa.\Whenever it pertains to Miyazawa, Arima-kun cannot hold back his feelings.\For the first time...\I wanted to know the Arima-kun who was not about my dreams or ideals. response:	This time for real.
context: You're strong.\Want me to hold it?\All of his caring feelings are given to Miyazawa\His reactionary feelings and hostility are turned toward all who would get between him and Miyazawa.\Whenever it pertains to Miyazawa, Arima-kun cannot hold back his feelings.\For the first time...\I wanted to know the Arima-kun who was not about my dreams or ideals.\This time for real. response:	I wanted to be friends with you.
context: Want me to hold it?\All of his caring feelings are given to Miyazawa\His reactionary feelings and hostility are turned toward all who would get between him and Miyazawa.\Whenever it pertains to Miyazawa, Arima-kun cannot hold back his feelings.\For the first time...\I wanted to know the Arima-kun who was not about my dreams or ideals.\This time for real.\I wanted to be friends with you. response:	Arima-kun... Your heart... Where is it?
context: All of his caring feelings are given to Miyazawa\His reactionary feelings and hostility are turned toward all who would get between him and Miyazawa.\Whenever it pertains to Miyazawa, Arima-kun cannot hold back his feelings.\For the first time...\I wanted to know the Arima-kun who was not about my dreams or ideals.\This time for real.\I wanted to be friends with you.\Arima-kun... Your heart... Where is it? response:	Stage 7
context: His reactionary feelings and hostility are turned toward all who would get between him and Miyazawa.\Whenever it pertains to Miyazawa, Arima-kun cannot hold back his feelings.\For the first time...\I wanted to know the Arima-kun who was not about my dreams or ideals.\This time for real.\I wanted to be friends with you.\Arima-kun... Your heart... Where is it?\Stage 7 response:	Social Studies Resource Room
context: Whenever it pertains to Miyazawa, Arima-kun cannot hold back his feelings.\For the first time...\I wanted to know the Arima-kun who was not about my dreams or ideals.\This time for real.\I wanted to be friends with you.\Arima-kun... Your heart... Where is it?\Stage 7\Social Studies Resource Room response:	What a help, thank you.
context: For the first time...\I wanted to know the Arima-kun who was not about my dreams or ideals.\This time for real.\I wanted to be friends with you.\Arima-kun... Your heart... Where is it?\Stage 7\Social Studies Resource Room\What a help, thank you. response:	No problem, do I put this away?
context: I wanted to know the Arima-kun who was not about my dreams or ideals.\This time for real.\I wanted to be friends with you.\Arima-kun... Your heart... Where is it?\Stage 7\Social Studies Resource Room\What a help, thank you.\No problem, do I put this away? response:	Miyazawa!
context: This time for real.\I wanted to be friends with you.\Arima-kun... Your heart... Where is it?\Stage 7\Social Studies Resource Room\What a help, thank you.\No problem, do I put this away?\Miyazawa! response:	Miyazawa! Well, it's just that somewhat, lately I feel that our kinship is lacking.
context: I wanted to be friends with you.\Arima-kun... Your heart... Where is it?\Stage 7\Social Studies Resource Room\What a help, thank you.\No problem, do I put this away?\Miyazawa!\Miyazawa! Well, it's just that somewhat, lately I feel that our kinship is lacking. response:	Well, it's just that somewhat, lately I feel that our kinship is lacking.
context: Arima-kun... Your heart... Where is it?\Stage 7\Social Studies Resource Room\What a help, thank you.\No problem, do I put this away?\Miyazawa!\Miyazawa! Well, it's just that somewhat, lately I feel that our kinship is lacking.\Well, it's just that somewhat, lately I feel that our kinship is lacking. response:	Princess, does that mean that my efforts are insufficient?
context: Stage 7\Social Studies Resource Room\What a help, thank you.\No problem, do I put this away?\Miyazawa!\Miyazawa! Well, it's just that somewhat, lately I feel that our kinship is lacking.\Well, it's just that somewhat, lately I feel that our kinship is lacking.\Princess, does that mean that my efforts are insufficient? response:	No. We were together all the time during summer vacation...
context: Social Studies Resource Room\What a help, thank you.\No problem, do I put this away?\Miyazawa!\Miyazawa! Well, it's just that somewhat, lately I feel that our kinship is lacking.\Well, it's just that somewhat, lately I feel that our kinship is lacking.\Princess, does that mean that my efforts are insufficient?\No. We were together all the time during summer vacation... response:	It's so fun being with Arima, that duties I have to do become lonesome.
context: What a help, thank you.\No problem, do I put this away?\Miyazawa!\Miyazawa! Well, it's just that somewhat, lately I feel that our kinship is lacking.\Well, it's just that somewhat, lately I feel that our kinship is lacking.\Princess, does that mean that my efforts are insufficient?\No. We were together all the time during summer vacation...\It's so fun being with Arima, that duties I have to do become lonesome. response:	After this stint is over, let's be glued together to our heart's content.
context: No problem, do I put this away?\Miyazawa!\Miyazawa! Well, it's just that somewhat, lately I feel that our kinship is lacking.\Well, it's just that somewhat, lately I feel that our kinship is lacking.\Princess, does that mean that my efforts are insufficient?\No. We were together all the time during summer vacation...\It's so fun being with Arima, that duties I have to do become lonesome.\After this stint is over, let's be glued together to our heart's content. response:	Glued together.
context: Miyazawa!\Miyazawa! Well, it's just that somewhat, lately I feel that our kinship is lacking.\Well, it's just that somewhat, lately I feel that our kinship is lacking.\Princess, does that mean that my efforts are insufficient?\No. We were together all the time during summer vacation...\It's so fun being with Arima, that duties I have to do become lonesome.\After this stint is over, let's be glued together to our heart's content.\Glued together. response:	But maybe at times we might have inappropriate feelings.
context: Miyazawa! Well, it's just that somewhat, lately I feel that our kinship is lacking.\Well, it's just that somewhat, lately I feel that our kinship is lacking.\Princess, does that mean that my efforts are insufficient?\No. We were together all the time during summer vacation...\It's so fun being with Arima, that duties I have to do become lonesome.\After this stint is over, let's be glued together to our heart's content.\Glued together.\But maybe at times we might have inappropriate feelings. response:	But maybe at times we might have inappropriate feelings. Oh, um, yes.
context: Well, it's just that somewhat, lately I feel that our kinship is lacking.\Princess, does that mean that my efforts are insufficient?\No. We were together all the time during summer vacation...\It's so fun being with Arima, that duties I have to do become lonesome.\After this stint is over, let's be glued together to our heart's content.\Glued together.\But maybe at times we might have inappropriate feelings.\But maybe at times we might have inappropriate feelings. Oh, um, yes. response:	Oh, um, yes.
context: Princess, does that mean that my efforts are insufficient?\No. We were together all the time during summer vacation...\It's so fun being with Arima, that duties I have to do become lonesome.\After this stint is over, let's be glued together to our heart's content.\Glued together.\But maybe at times we might have inappropriate feelings.\But maybe at times we might have inappropriate feelings. Oh, um, yes.\Oh, um, yes. response:	We have crossed the major threshold, and yet, what's with his purity?
context: No. We were together all the time during summer vacation...\It's so fun being with Arima, that duties I have to do become lonesome.\After this stint is over, let's be glued together to our heart's content.\Glued together.\But maybe at times we might have inappropriate feelings.\But maybe at times we might have inappropriate feelings. Oh, um, yes.\Oh, um, yes.\We have crossed the major threshold, and yet, what's with his purity? response:	Do you want to be with me?
context: It's so fun being with Arima, that duties I have to do become lonesome.\After this stint is over, let's be glued together to our heart's content.\Glued together.\But maybe at times we might have inappropriate feelings.\But maybe at times we might have inappropriate feelings. Oh, um, yes.\Oh, um, yes.\We have crossed the major threshold, and yet, what's with his purity?\Do you want to be with me? response:	Yes.
context: After this stint is over, let's be glued together to our heart's content.\Glued together.\But maybe at times we might have inappropriate feelings.\But maybe at times we might have inappropriate feelings. Oh, um, yes.\Oh, um, yes.\We have crossed the major threshold, and yet, what's with his purity?\Do you want to be with me?\Yes. response:	I don't know why, but Arima, sometimes you look like you're someone else.
context: Glued together.\But maybe at times we might have inappropriate feelings.\But maybe at times we might have inappropriate feelings. Oh, um, yes.\Oh, um, yes.\We have crossed the major threshold, and yet, what's with his purity?\Do you want to be with me?\Yes.\I don't know why, but Arima, sometimes you look like you're someone else. response:	You think so?
context: But maybe at times we might have inappropriate feelings.\But maybe at times we might have inappropriate feelings. Oh, um, yes.\Oh, um, yes.\We have crossed the major threshold, and yet, what's with his purity?\Do you want to be with me?\Yes.\I don't know why, but Arima, sometimes you look like you're someone else.\You think so? response:	Is it a little strange? Am I scary?
context: But maybe at times we might have inappropriate feelings. Oh, um, yes.\Oh, um, yes.\We have crossed the major threshold, and yet, what's with his purity?\Do you want to be with me?\Yes.\I don't know why, but Arima, sometimes you look like you're someone else.\You think so?\Is it a little strange? Am I scary? response:	No.
context: Oh, um, yes.\We have crossed the major threshold, and yet, what's with his purity?\Do you want to be with me?\Yes.\I don't know why, but Arima, sometimes you look like you're someone else.\You think so?\Is it a little strange? Am I scary?\No. response:	Please don't let me go.
context: We have crossed the major threshold, and yet, what's with his purity?\Do you want to be with me?\Yes.\I don't know why, but Arima, sometimes you look like you're someone else.\You think so?\Is it a little strange? Am I scary?\No.\Please don't let me go. response:	Day by day, I am falling apart.
context: Do you want to be with me?\Yes.\I don't know why, but Arima, sometimes you look like you're someone else.\You think so?\Is it a little strange? Am I scary?\No.\Please don't let me go.\Day by day, I am falling apart. response:	Falling into the dark side
context: Yes.\I don't know why, but Arima, sometimes you look like you're someone else.\You think so?\Is it a little strange? Am I scary?\No.\Please don't let me go.\Day by day, I am falling apart.\Falling into the dark side response:	How can you say such a thing?
context: I don't know why, but Arima, sometimes you look like you're someone else.\You think so?\Is it a little strange? Am I scary?\No.\Please don't let me go.\Day by day, I am falling apart.\Falling into the dark side\How can you say such a thing? response:	To want to have you all to myself.
context: You think so?\Is it a little strange? Am I scary?\No.\Please don't let me go.\Day by day, I am falling apart.\Falling into the dark side\How can you say such a thing?\To want to have you all to myself. response:	I'd truly love to free you.
context: Is it a little strange? Am I scary?\No.\Please don't let me go.\Day by day, I am falling apart.\Falling into the dark side\How can you say such a thing?\To want to have you all to myself.\I'd truly love to free you. response:	On the other hand, I want to take you away from everything.
context: No.\Please don't let me go.\Day by day, I am falling apart.\Falling into the dark side\How can you say such a thing?\To want to have you all to myself.\I'd truly love to free you.\On the other hand, I want to take you away from everything. response:	I don't want anyone to know that I have such feelings.
context: Please don't let me go.\Day by day, I am falling apart.\Falling into the dark side\How can you say such a thing?\To want to have you all to myself.\I'd truly love to free you.\On the other hand, I want to take you away from everything.\I don't want anyone to know that I have such feelings. response:	Stage 8
context: Day by day, I am falling apart.\Falling into the dark side\How can you say such a thing?\To want to have you all to myself.\I'd truly love to free you.\On the other hand, I want to take you away from everything.\I don't want anyone to know that I have such feelings.\Stage 8 response:	Student Guidance Room
context: Falling into the dark side\How can you say such a thing?\To want to have you all to myself.\I'd truly love to free you.\On the other hand, I want to take you away from everything.\I don't want anyone to know that I have such feelings.\Stage 8\Student Guidance Room response:	Sorry, I'm late.
context: How can you say such a thing?\To want to have you all to myself.\I'd truly love to free you.\On the other hand, I want to take you away from everything.\I don't want anyone to know that I have such feelings.\Stage 8\Student Guidance Room\Sorry, I'm late. response:	Oh, you're working hard.
context: To want to have you all to myself.\I'd truly love to free you.\On the other hand, I want to take you away from everything.\I don't want anyone to know that I have such feelings.\Stage 8\Student Guidance Room\Sorry, I'm late.\Oh, you're working hard. response:	Cheese.
context: I'd truly love to free you.\On the other hand, I want to take you away from everything.\I don't want anyone to know that I have such feelings.\Stage 8\Student Guidance Room\Sorry, I'm late.\Oh, you're working hard.\Cheese. response:	Cheese. Kicking back
context: On the other hand, I want to take you away from everything.\I don't want anyone to know that I have such feelings.\Stage 8\Student Guidance Room\Sorry, I'm late.\Oh, you're working hard.\Cheese.\Cheese. Kicking back response:	Kicking back
context: I don't want anyone to know that I have such feelings.\Stage 8\Student Guidance Room\Sorry, I'm late.\Oh, you're working hard.\Cheese.\Cheese. Kicking back\Kicking back response:	Kicking back Beauty King
context: Stage 8\Student Guidance Room\Sorry, I'm late.\Oh, you're working hard.\Cheese.\Cheese. Kicking back\Kicking back\Kicking back Beauty King response:	Kicking back Beauty King Yukino, you're working hard too.
context: Student Guidance Room\Sorry, I'm late.\Oh, you're working hard.\Cheese.\Cheese. Kicking back\Kicking back\Kicking back Beauty King\Kicking back Beauty King Yukino, you're working hard too. response:	Beauty King Yukino, you're working hard too.
context: Sorry, I'm late.\Oh, you're working hard.\Cheese.\Cheese. Kicking back\Kicking back\Kicking back Beauty King\Kicking back Beauty King Yukino, you're working hard too.\Beauty King Yukino, you're working hard too. response:	Beauty King
context: Oh, you're working hard.\Cheese.\Cheese. Kicking back\Kicking back\Kicking back Beauty King\Kicking back Beauty King Yukino, you're working hard too.\Beauty King Yukino, you're working hard too.\Beauty King response:	What, are we going to do a reading rehearsal?
context: Cheese.\Cheese. Kicking back\Kicking back\Kicking back Beauty King\Kicking back Beauty King Yukino, you're working hard too.\Beauty King Yukino, you're working hard too.\Beauty King\What, are we going to do a reading rehearsal? response:	Actress Queen
context: Cheese. Kicking back\Kicking back\Kicking back Beauty King\Kicking back Beauty King Yukino, you're working hard too.\Beauty King Yukino, you're working hard too.\Beauty King\What, are we going to do a reading rehearsal?\Actress Queen response:	Actress Queen I know all my lines.
context: Kicking back\Kicking back Beauty King\Kicking back Beauty King Yukino, you're working hard too.\Beauty King Yukino, you're working hard too.\Beauty King\What, are we going to do a reading rehearsal?\Actress Queen\Actress Queen I know all my lines. response:	Actress Queen
context: Kicking back Beauty King\Kicking back Beauty King Yukino, you're working hard too.\Beauty King Yukino, you're working hard too.\Beauty King\What, are we going to do a reading rehearsal?\Actress Queen\Actress Queen I know all my lines.\Actress Queen response:	Actress Queen I actually wanted to ask Aya-chan something
context: Kicking back Beauty King Yukino, you're working hard too.\Beauty King Yukino, you're working hard too.\Beauty King\What, are we going to do a reading rehearsal?\Actress Queen\Actress Queen I know all my lines.\Actress Queen\Actress Queen I actually wanted to ask Aya-chan something response:	Actress Queen
context: Beauty King Yukino, you're working hard too.\Beauty King\What, are we going to do a reading rehearsal?\Actress Queen\Actress Queen I know all my lines.\Actress Queen\Actress Queen I actually wanted to ask Aya-chan something\Actress Queen response:	Actress Queen Is she here?
context: Beauty King\What, are we going to do a reading rehearsal?\Actress Queen\Actress Queen I know all my lines.\Actress Queen\Actress Queen I actually wanted to ask Aya-chan something\Actress Queen\Actress Queen Is she here? response:	Actress Queen
context: What, are we going to do a reading rehearsal?\Actress Queen\Actress Queen I know all my lines.\Actress Queen\Actress Queen I actually wanted to ask Aya-chan something\Actress Queen\Actress Queen Is she here?\Actress Queen response:	Actress Queen About that, but, the situation's changed somewhat.
context: Actress Queen\Actress Queen I know all my lines.\Actress Queen\Actress Queen I actually wanted to ask Aya-chan something\Actress Queen\Actress Queen Is she here?\Actress Queen\Actress Queen About that, but, the situation's changed somewhat. response:	About that, but, the situation's changed somewhat.
context: Actress Queen I know all my lines.\Actress Queen\Actress Queen I actually wanted to ask Aya-chan something\Actress Queen\Actress Queen Is she here?\Actress Queen\Actress Queen About that, but, the situation's changed somewhat.\About that, but, the situation's changed somewhat. response:	Doesn't she seem a little nervous?
