context: At the time, three years after their debut, response:	Trapnest had reached a million in sales, both in the singles and album charts.
context: The security's really tight. Sorry, maybe I shouldn't have come.\Ren...\Let me go!\I have no intention of getting back together with you!\I wanted to see you.\I shouldn't have come.\You're ingenious, Yasu.\Knowing Nana, naturally she's gonna feel the need to give the keys back to Ren response:	after what you told her.
context: Ren...\Let me go!\I have no intention of getting back together with you!\I wanted to see you.\I shouldn't have come.\You're ingenious, Yasu.\Knowing Nana, naturally she's gonna feel the need to give the keys back to Ren\after what you told her. response:	Hey, I'll take that! Pon.
context: Let me go!\I have no intention of getting back together with you!\I wanted to see you.\I shouldn't have come.\You're ingenious, Yasu.\Knowing Nana, naturally she's gonna feel the need to give the keys back to Ren\after what you told her.\Hey, I'll take that! Pon. response:	But if she gives him the keys, it would be over between them?
context: I have no intention of getting back together with you!\I wanted to see you.\I shouldn't have come.\You're ingenious, Yasu.\Knowing Nana, naturally she's gonna feel the need to give the keys back to Ren\after what you told her.\Hey, I'll take that! Pon.\But if she gives him the keys, it would be over between them? response:	If she really wanted to end it with him,
context: I wanted to see you.\I shouldn't have come.\You're ingenious, Yasu.\Knowing Nana, naturally she's gonna feel the need to give the keys back to Ren\after what you told her.\Hey, I'll take that! Pon.\But if she gives him the keys, it would be over between them?\If she really wanted to end it with him, response:	she wouldn't go through the trouble of meeting him just to hand over some keys.
context: I shouldn't have come.\You're ingenious, Yasu.\Knowing Nana, naturally she's gonna feel the need to give the keys back to Ren\after what you told her.\Hey, I'll take that! Pon.\But if she gives him the keys, it would be over between them?\If she really wanted to end it with him,\she wouldn't go through the trouble of meeting him just to hand over some keys. response:	It just gives them an excuse to meet.
context: You're ingenious, Yasu.\Knowing Nana, naturally she's gonna feel the need to give the keys back to Ren\after what you told her.\Hey, I'll take that! Pon.\But if she gives him the keys, it would be over between them?\If she really wanted to end it with him,\she wouldn't go through the trouble of meeting him just to hand over some keys.\It just gives them an excuse to meet. response:	They're man and woman. Let that take care of the rest.
context: Knowing Nana, naturally she's gonna feel the need to give the keys back to Ren\after what you told her.\Hey, I'll take that! Pon.\But if she gives him the keys, it would be over between them?\If she really wanted to end it with him,\she wouldn't go through the trouble of meeting him just to hand over some keys.\It just gives them an excuse to meet.\They're man and woman. Let that take care of the rest. response:	Shin, not that I care, but you've been acting saucy lately.
context: after what you told her.\Hey, I'll take that! Pon.\But if she gives him the keys, it would be over between them?\If she really wanted to end it with him,\she wouldn't go through the trouble of meeting him just to hand over some keys.\It just gives them an excuse to meet.\They're man and woman. Let that take care of the rest.\Shin, not that I care, but you've been acting saucy lately. response:	Don't be so snobbish.
context: Hey, I'll take that! Pon.\But if she gives him the keys, it would be over between them?\If she really wanted to end it with him,\she wouldn't go through the trouble of meeting him just to hand over some keys.\It just gives them an excuse to meet.\They're man and woman. Let that take care of the rest.\Shin, not that I care, but you've been acting saucy lately.\Don't be so snobbish. response:	- Oh, that's Ron for me! - Huh?!
context: But if she gives him the keys, it would be over between them?\If she really wanted to end it with him,\she wouldn't go through the trouble of meeting him just to hand over some keys.\It just gives them an excuse to meet.\They're man and woman. Let that take care of the rest.\Shin, not that I care, but you've been acting saucy lately.\Don't be so snobbish.\- Oh, that's Ron for me! - Huh?! response:	Did I win?
context: If she really wanted to end it with him,\she wouldn't go through the trouble of meeting him just to hand over some keys.\It just gives them an excuse to meet.\They're man and woman. Let that take care of the rest.\Shin, not that I care, but you've been acting saucy lately.\Don't be so snobbish.\- Oh, that's Ron for me! - Huh?!\Did I win? response:	He's good.
context: she wouldn't go through the trouble of meeting him just to hand over some keys.\It just gives them an excuse to meet.\They're man and woman. Let that take care of the rest.\Shin, not that I care, but you've been acting saucy lately.\Don't be so snobbish.\- Oh, that's Ron for me! - Huh?!\Did I win?\He's good. response:	You tricked me. You are so not cute.
context: It just gives them an excuse to meet.\They're man and woman. Let that take care of the rest.\Shin, not that I care, but you've been acting saucy lately.\Don't be so snobbish.\- Oh, that's Ron for me! - Huh?!\Did I win?\He's good.\You tricked me. You are so not cute. response:	Mahjongg is so much fun.
context: They're man and woman. Let that take care of the rest.\Shin, not that I care, but you've been acting saucy lately.\Don't be so snobbish.\- Oh, that's Ron for me! - Huh?!\Did I win?\He's good.\You tricked me. You are so not cute.\Mahjongg is so much fun. response:	Next time we should play with four people.
context: Shin, not that I care, but you've been acting saucy lately.\Don't be so snobbish.\- Oh, that's Ron for me! - Huh?!\Did I win?\He's good.\You tricked me. You are so not cute.\Mahjongg is so much fun.\Next time we should play with four people. response:	Does Nana play too?
context: Don't be so snobbish.\- Oh, that's Ron for me! - Huh?!\Did I win?\He's good.\You tricked me. You are so not cute.\Mahjongg is so much fun.\Next time we should play with four people.\Does Nana play too? response:	Yeah. We used to play a four-person game a lot
context: - Oh, that's Ron for me! - Huh?!\Did I win?\He's good.\You tricked me. You are so not cute.\Mahjongg is so much fun.\Next time we should play with four people.\Does Nana play too?\Yeah. We used to play a four-person game a lot response:	when Ren was around.
context: Did I win?\He's good.\You tricked me. You are so not cute.\Mahjongg is so much fun.\Next time we should play with four people.\Does Nana play too?\Yeah. We used to play a four-person game a lot\when Ren was around. response:	Say, let's ask Ren over next time.
context: He's good.\You tricked me. You are so not cute.\Mahjongg is so much fun.\Next time we should play with four people.\Does Nana play too?\Yeah. We used to play a four-person game a lot\when Ren was around.\Say, let's ask Ren over next time. response:	Really? I can meet Ren?! I wanna see him!
context: You tricked me. You are so not cute.\Mahjongg is so much fun.\Next time we should play with four people.\Does Nana play too?\Yeah. We used to play a four-person game a lot\when Ren was around.\Say, let's ask Ren over next time.\Really? I can meet Ren?! I wanna see him! response:	I wanna see him too!
context: Mahjongg is so much fun.\Next time we should play with four people.\Does Nana play too?\Yeah. We used to play a four-person game a lot\when Ren was around.\Say, let's ask Ren over next time.\Really? I can meet Ren?! I wanna see him!\I wanna see him too! response:	Why is it you're always secretly meeting Ren behind my back?
context: Next time we should play with four people.\Does Nana play too?\Yeah. We used to play a four-person game a lot\when Ren was around.\Say, let's ask Ren over next time.\Really? I can meet Ren?! I wanna see him!\I wanna see him too!\Why is it you're always secretly meeting Ren behind my back? response:	I'm always left out.
context: Does Nana play too?\Yeah. We used to play a four-person game a lot\when Ren was around.\Say, let's ask Ren over next time.\Really? I can meet Ren?! I wanna see him!\I wanna see him too!\Why is it you're always secretly meeting Ren behind my back?\I'm always left out. response:	Ren doesn't have the guts to see you.
context: Yeah. We used to play a four-person game a lot\when Ren was around.\Say, let's ask Ren over next time.\Really? I can meet Ren?! I wanna see him!\I wanna see him too!\Why is it you're always secretly meeting Ren behind my back?\I'm always left out.\Ren doesn't have the guts to see you. response:	Huh?
context: when Ren was around.\Say, let's ask Ren over next time.\Really? I can meet Ren?! I wanna see him!\I wanna see him too!\Why is it you're always secretly meeting Ren behind my back?\I'm always left out.\Ren doesn't have the guts to see you.\Huh? response:	So he feels guilty about leaving BLAST.
context: Say, let's ask Ren over next time.\Really? I can meet Ren?! I wanna see him!\I wanna see him too!\Why is it you're always secretly meeting Ren behind my back?\I'm always left out.\Ren doesn't have the guts to see you.\Huh?\So he feels guilty about leaving BLAST. response:	He initially declined Trapnest's offer, you know.
context: Really? I can meet Ren?! I wanna see him!\I wanna see him too!\Why is it you're always secretly meeting Ren behind my back?\I'm always left out.\Ren doesn't have the guts to see you.\Huh?\So he feels guilty about leaving BLAST.\He initially declined Trapnest's offer, you know. response:	Then Takumi gave me a call.
context: I wanna see him too!\Why is it you're always secretly meeting Ren behind my back?\I'm always left out.\Ren doesn't have the guts to see you.\Huh?\So he feels guilty about leaving BLAST.\He initially declined Trapnest's offer, you know.\Then Takumi gave me a call. response:	I was the one who persuaded Ren to join.
context: Why is it you're always secretly meeting Ren behind my back?\I'm always left out.\Ren doesn't have the guts to see you.\Huh?\So he feels guilty about leaving BLAST.\He initially declined Trapnest's offer, you know.\Then Takumi gave me a call.\I was the one who persuaded Ren to join. response:	Still, he feels that he betrayed us.
context: I'm always left out.\Ren doesn't have the guts to see you.\Huh?\So he feels guilty about leaving BLAST.\He initially declined Trapnest's offer, you know.\Then Takumi gave me a call.\I was the one who persuaded Ren to join.\Still, he feels that he betrayed us. response:	There's no need for him to fuss over something that happened in the past.
context: Ren doesn't have the guts to see you.\Huh?\So he feels guilty about leaving BLAST.\He initially declined Trapnest's offer, you know.\Then Takumi gave me a call.\I was the one who persuaded Ren to join.\Still, he feels that he betrayed us.\There's no need for him to fuss over something that happened in the past. response:	It doesn't suit him.
context: Huh?\So he feels guilty about leaving BLAST.\He initially declined Trapnest's offer, you know.\Then Takumi gave me a call.\I was the one who persuaded Ren to join.\Still, he feels that he betrayed us.\There's no need for him to fuss over something that happened in the past.\It doesn't suit him. response:	But that's Ren for you.
context: So he feels guilty about leaving BLAST.\He initially declined Trapnest's offer, you know.\Then Takumi gave me a call.\I was the one who persuaded Ren to join.\Still, he feels that he betrayed us.\There's no need for him to fuss over something that happened in the past.\It doesn't suit him.\But that's Ren for you. response:	Can a guy so awkward with people
context: He initially declined Trapnest's offer, you know.\Then Takumi gave me a call.\I was the one who persuaded Ren to join.\Still, he feels that he betrayed us.\There's no need for him to fuss over something that happened in the past.\It doesn't suit him.\But that's Ren for you.\Can a guy so awkward with people response:	really make it in the brutal world of entertainment?
context: Then Takumi gave me a call.\I was the one who persuaded Ren to join.\Still, he feels that he betrayed us.\There's no need for him to fuss over something that happened in the past.\It doesn't suit him.\But that's Ren for you.\Can a guy so awkward with people\really make it in the brutal world of entertainment? response:	It worries me.
context: I was the one who persuaded Ren to join.\Still, he feels that he betrayed us.\There's no need for him to fuss over something that happened in the past.\It doesn't suit him.\But that's Ren for you.\Can a guy so awkward with people\really make it in the brutal world of entertainment?\It worries me. response:	Well, in that case, why don't I send him an email?
context: Still, he feels that he betrayed us.\There's no need for him to fuss over something that happened in the past.\It doesn't suit him.\But that's Ren for you.\Can a guy so awkward with people\really make it in the brutal world of entertainment?\It worries me.\Well, in that case, why don't I send him an email? response:	An invitation to a mahjongg tournament.
context: There's no need for him to fuss over something that happened in the past.\It doesn't suit him.\But that's Ren for you.\Can a guy so awkward with people\really make it in the brutal world of entertainment?\It worries me.\Well, in that case, why don't I send him an email?\An invitation to a mahjongg tournament. response:	Yay!
context: It doesn't suit him.\But that's Ren for you.\Can a guy so awkward with people\really make it in the brutal world of entertainment?\It worries me.\Well, in that case, why don't I send him an email?\An invitation to a mahjongg tournament.\Yay! response:	He'll be so happy that he'll cry.
context: But that's Ren for you.\Can a guy so awkward with people\really make it in the brutal world of entertainment?\It worries me.\Well, in that case, why don't I send him an email?\An invitation to a mahjongg tournament.\Yay!\He'll be so happy that he'll cry. response:	By the way, Yasu, you said you provoked Ren on the phone.
context: Can a guy so awkward with people\really make it in the brutal world of entertainment?\It worries me.\Well, in that case, why don't I send him an email?\An invitation to a mahjongg tournament.\Yay!\He'll be so happy that he'll cry.\By the way, Yasu, you said you provoked Ren on the phone. response:	I reached into the sky By the way, Yasu, you said you provoked Ren on the phone.
context: really make it in the brutal world of entertainment?\It worries me.\Well, in that case, why don't I send him an email?\An invitation to a mahjongg tournament.\Yay!\He'll be so happy that he'll cry.\By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky By the way, Yasu, you said you provoked Ren on the phone. response:	I reached into the sky
context: It worries me.\Well, in that case, why don't I send him an email?\An invitation to a mahjongg tournament.\Yay!\He'll be so happy that he'll cry.\By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky response:	I reached into the sky What did you say?
context: Well, in that case, why don't I send him an email?\An invitation to a mahjongg tournament.\Yay!\He'll be so happy that he'll cry.\By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky\I reached into the sky What did you say? response:	I reached into the sky
context: An invitation to a mahjongg tournament.\Yay!\He'll be so happy that he'll cry.\By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky\I reached into the sky What did you say?\I reached into the sky response:	I reached into the sky What tactics did you use? Tell me so I can learn for myself.
context: Yay!\He'll be so happy that he'll cry.\By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky\I reached into the sky What did you say?\I reached into the sky\I reached into the sky What tactics did you use? Tell me so I can learn for myself. response:	What tactics did you use? Tell me so I can learn for myself.
context: He'll be so happy that he'll cry.\By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky\I reached into the sky What did you say?\I reached into the sky\I reached into the sky What tactics did you use? Tell me so I can learn for myself.\What tactics did you use? Tell me so I can learn for myself. response:	But I couldn't reach what I wanted What tactics did you use? Tell me so I can learn for myself.
context: By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky\I reached into the sky What did you say?\I reached into the sky\I reached into the sky What tactics did you use? Tell me so I can learn for myself.\What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted What tactics did you use? Tell me so I can learn for myself. response:	But I couldn't reach what I wanted
context: I reached into the sky By the way, Yasu, you said you provoked Ren on the phone.\I reached into the sky\I reached into the sky What did you say?\I reached into the sky\I reached into the sky What tactics did you use? Tell me so I can learn for myself.\What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted response:	But I couldn't reach what I wanted I don't really have any tactics.
context: I reached into the sky\I reached into the sky What did you say?\I reached into the sky\I reached into the sky What tactics did you use? Tell me so I can learn for myself.\What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted\But I couldn't reach what I wanted I don't really have any tactics. response:	But I couldn't reach what I wanted
context: I reached into the sky What did you say?\I reached into the sky\I reached into the sky What tactics did you use? Tell me so I can learn for myself.\What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted\But I couldn't reach what I wanted I don't really have any tactics.\But I couldn't reach what I wanted response:	But I couldn't reach what I wanted Can't you tell the level of my stupidity?
context: I reached into the sky\I reached into the sky What tactics did you use? Tell me so I can learn for myself.\What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted\But I couldn't reach what I wanted I don't really have any tactics.\But I couldn't reach what I wanted\But I couldn't reach what I wanted Can't you tell the level of my stupidity? response:	But I couldn't reach what I wanted
context: I reached into the sky What tactics did you use? Tell me so I can learn for myself.\What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted\But I couldn't reach what I wanted I don't really have any tactics.\But I couldn't reach what I wanted\But I couldn't reach what I wanted Can't you tell the level of my stupidity?\But I couldn't reach what I wanted response:	But I couldn't reach what I wanted But you're really smart! Unlike Nobu.
context: What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted\But I couldn't reach what I wanted I don't really have any tactics.\But I couldn't reach what I wanted\But I couldn't reach what I wanted Can't you tell the level of my stupidity?\But I couldn't reach what I wanted\But I couldn't reach what I wanted But you're really smart! Unlike Nobu. response:	But you're really smart! Unlike Nobu.
context: But I couldn't reach what I wanted What tactics did you use? Tell me so I can learn for myself.\But I couldn't reach what I wanted\But I couldn't reach what I wanted I don't really have any tactics.\But I couldn't reach what I wanted\But I couldn't reach what I wanted Can't you tell the level of my stupidity?\But I couldn't reach what I wanted\But I couldn't reach what I wanted But you're really smart! Unlike Nobu.\But you're really smart! Unlike Nobu. response:	They grew smaller and disappeared into the sky But you're really smart! Unlike Nobu.
context: But I couldn't reach what I wanted\But I couldn't reach what I wanted I don't really have any tactics.\But I couldn't reach what I wanted\But I couldn't reach what I wanted Can't you tell the level of my stupidity?\But I couldn't reach what I wanted\But I couldn't reach what I wanted But you're really smart! Unlike Nobu.\But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky But you're really smart! Unlike Nobu. response:	They grew smaller and disappeared into the sky
context: But I couldn't reach what I wanted I don't really have any tactics.\But I couldn't reach what I wanted\But I couldn't reach what I wanted Can't you tell the level of my stupidity?\But I couldn't reach what I wanted\But I couldn't reach what I wanted But you're really smart! Unlike Nobu.\But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky response:	They grew smaller and disappeared into the sky It's not about how smart I am.
context: But I couldn't reach what I wanted\But I couldn't reach what I wanted Can't you tell the level of my stupidity?\But I couldn't reach what I wanted\But I couldn't reach what I wanted But you're really smart! Unlike Nobu.\But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky\They grew smaller and disappeared into the sky It's not about how smart I am. response:	They grew smaller and disappeared into the sky
context: But I couldn't reach what I wanted Can't you tell the level of my stupidity?\But I couldn't reach what I wanted\But I couldn't reach what I wanted But you're really smart! Unlike Nobu.\But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky\They grew smaller and disappeared into the sky It's not about how smart I am.\They grew smaller and disappeared into the sky response:	Like colorful balloons
context: But I couldn't reach what I wanted\But I couldn't reach what I wanted But you're really smart! Unlike Nobu.\But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky\They grew smaller and disappeared into the sky It's not about how smart I am.\They grew smaller and disappeared into the sky\Like colorful balloons response:	Like colorful balloons You still have a lot to learn.
context: But I couldn't reach what I wanted But you're really smart! Unlike Nobu.\But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky\They grew smaller and disappeared into the sky It's not about how smart I am.\They grew smaller and disappeared into the sky\Like colorful balloons\Like colorful balloons You still have a lot to learn. response:	Like colorful balloons
context: But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky\They grew smaller and disappeared into the sky It's not about how smart I am.\They grew smaller and disappeared into the sky\Like colorful balloons\Like colorful balloons You still have a lot to learn.\Like colorful balloons response:	I'm alone
context: They grew smaller and disappeared into the sky But you're really smart! Unlike Nobu.\They grew smaller and disappeared into the sky\They grew smaller and disappeared into the sky It's not about how smart I am.\They grew smaller and disappeared into the sky\Like colorful balloons\Like colorful balloons You still have a lot to learn.\Like colorful balloons\I'm alone response:	My hand had no place to go
context: They grew smaller and disappeared into the sky\They grew smaller and disappeared into the sky It's not about how smart I am.\They grew smaller and disappeared into the sky\Like colorful balloons\Like colorful balloons You still have a lot to learn.\Like colorful balloons\I'm alone\My hand had no place to go response:	My hand had no place to go Back then, I thought I'd never wanna fall in love again.
context: They grew smaller and disappeared into the sky It's not about how smart I am.\They grew smaller and disappeared into the sky\Like colorful balloons\Like colorful balloons You still have a lot to learn.\Like colorful balloons\I'm alone\My hand had no place to go\My hand had no place to go Back then, I thought I'd never wanna fall in love again. response:	Back then, I thought I'd never wanna fall in love again.
context: They grew smaller and disappeared into the sky\Like colorful balloons\Like colorful balloons You still have a lot to learn.\Like colorful balloons\I'm alone\My hand had no place to go\My hand had no place to go Back then, I thought I'd never wanna fall in love again.\Back then, I thought I'd never wanna fall in love again. response:	And gently you took it Back then, I thought I'd never wanna fall in love again.
context: Like colorful balloons\Like colorful balloons You still have a lot to learn.\Like colorful balloons\I'm alone\My hand had no place to go\My hand had no place to go Back then, I thought I'd never wanna fall in love again.\Back then, I thought I'd never wanna fall in love again.\And gently you took it Back then, I thought I'd never wanna fall in love again. response:	And gently you took it
context: Like colorful balloons You still have a lot to learn.\Like colorful balloons\I'm alone\My hand had no place to go\My hand had no place to go Back then, I thought I'd never wanna fall in love again.\Back then, I thought I'd never wanna fall in love again.\And gently you took it Back then, I thought I'd never wanna fall in love again.\And gently you took it response:	And gently you took it But that night, I wanted to dream again.
context: Like colorful balloons\I'm alone\My hand had no place to go\My hand had no place to go Back then, I thought I'd never wanna fall in love again.\Back then, I thought I'd never wanna fall in love again.\And gently you took it Back then, I thought I'd never wanna fall in love again.\And gently you took it\And gently you took it But that night, I wanted to dream again. response:	But that night, I wanted to dream again.
context: I'm alone\My hand had no place to go\My hand had no place to go Back then, I thought I'd never wanna fall in love again.\Back then, I thought I'd never wanna fall in love again.\And gently you took it Back then, I thought I'd never wanna fall in love again.\And gently you took it\And gently you took it But that night, I wanted to dream again.\But that night, I wanted to dream again. response:	Starless night But that night, I wanted to dream again.
context: My hand had no place to go\My hand had no place to go Back then, I thought I'd never wanna fall in love again.\Back then, I thought I'd never wanna fall in love again.\And gently you took it Back then, I thought I'd never wanna fall in love again.\And gently you took it\And gently you took it But that night, I wanted to dream again.\But that night, I wanted to dream again.\Starless night But that night, I wanted to dream again. response:	I won't look back at the shadow of my past But that night, I wanted to dream again.
context: My hand had no place to go Back then, I thought I'd never wanna fall in love again.\Back then, I thought I'd never wanna fall in love again.\And gently you took it Back then, I thought I'd never wanna fall in love again.\And gently you took it\And gently you took it But that night, I wanted to dream again.\But that night, I wanted to dream again.\Starless night But that night, I wanted to dream again.\I won't look back at the shadow of my past But that night, I wanted to dream again. response:	I won't look back at the shadow of my past I wanted to love someone from the bottom of my heart,
context: Back then, I thought I'd never wanna fall in love again.\And gently you took it Back then, I thought I'd never wanna fall in love again.\And gently you took it\And gently you took it But that night, I wanted to dream again.\But that night, I wanted to dream again.\Starless night But that night, I wanted to dream again.\I won't look back at the shadow of my past But that night, I wanted to dream again.\I won't look back at the shadow of my past I wanted to love someone from the bottom of my heart, response:	I wanted to love someone from the bottom of my heart,
context: And gently you took it Back then, I thought I'd never wanna fall in love again.\And gently you took it\And gently you took it But that night, I wanted to dream again.\But that night, I wanted to dream again.\Starless night But that night, I wanted to dream again.\I won't look back at the shadow of my past But that night, I wanted to dream again.\I won't look back at the shadow of my past I wanted to love someone from the bottom of my heart,\I wanted to love someone from the bottom of my heart, response:	I want to feel your warmth I wanted to love someone from the bottom of my heart,
context: And gently you took it\And gently you took it But that night, I wanted to dream again.\But that night, I wanted to dream again.\Starless night But that night, I wanted to dream again.\I won't look back at the shadow of my past But that night, I wanted to dream again.\I won't look back at the shadow of my past I wanted to love someone from the bottom of my heart,\I wanted to love someone from the bottom of my heart,\I want to feel your warmth I wanted to love someone from the bottom of my heart, response:	I want to feel your warmth
context: And gently you took it But that night, I wanted to dream again.\But that night, I wanted to dream again.\Starless night But that night, I wanted to dream again.\I won't look back at the shadow of my past But that night, I wanted to dream again.\I won't look back at the shadow of my past I wanted to love someone from the bottom of my heart,\I wanted to love someone from the bottom of my heart,\I want to feel your warmth I wanted to love someone from the bottom of my heart,\I want to feel your warmth response:	I want to feel your warmth no matter how I may get hurt, no matter how I may suffer.
context: But that night, I wanted to dream again.\Starless night But that night, I wanted to dream again.\I won't look back at the shadow of my past But that night, I wanted to dream again.\I won't look back at the shadow of my past I wanted to love someone from the bottom of my heart,\I wanted to love someone from the bottom of my heart,\I want to feel your warmth I wanted to love someone from the bottom of my heart,\I want to feel your warmth\I want to feel your warmth no matter how I may get hurt, no matter how I may suffer. response:	That's what I felt that night, Nana, while praying for your happiness.
context: Starless night But that night, I wanted to dream again.\I won't look back at the shadow of my past But that night, I wanted to dream again.\I won't look back at the shadow of my past I wanted to love someone from the bottom of my heart,\I wanted to love someone from the bottom of my heart,\I want to feel your warmth I wanted to love someone from the bottom of my heart,\I want to feel your warmth\I want to feel your warmth no matter how I may get hurt, no matter how I may suffer.\That's what I felt that night, Nana, while praying for your happiness. response:	Tears are falling down That's what I felt that night, Nana, while praying for your happiness.
context: I won't look back at the shadow of my past But that night, I wanted to dream again.\I won't look back at the shadow of my past I wanted to love someone from the bottom of my heart,\I wanted to love someone from the bottom of my heart,\I want to feel your warmth I wanted to love someone from the bottom of my heart,\I want to feel your warmth\I want to feel your warmth no matter how I may get hurt, no matter how I may suffer.\That's what I felt that night, Nana, while praying for your happiness.\Tears are falling down That's what I felt that night, Nana, while praying for your happiness. response:	Even if I'm unsure I won't let go That's what I felt that night, Nana, while praying for your happiness.
context: I won't look back at the shadow of my past I wanted to love someone from the bottom of my heart,\I wanted to love someone from the bottom of my heart,\I want to feel your warmth I wanted to love someone from the bottom of my heart,\I want to feel your warmth\I want to feel your warmth no matter how I may get hurt, no matter how I may suffer.\That's what I felt that night, Nana, while praying for your happiness.\Tears are falling down That's what I felt that night, Nana, while praying for your happiness.\Even if I'm unsure I won't let go That's what I felt that night, Nana, while praying for your happiness. response:	That's what I felt that night, Nana, while praying for your happiness.
context: I wanted to love someone from the bottom of my heart,\I want to feel your warmth I wanted to love someone from the bottom of my heart,\I want to feel your warmth\I want to feel your warmth no matter how I may get hurt, no matter how I may suffer.\That's what I felt that night, Nana, while praying for your happiness.\Tears are falling down That's what I felt that night, Nana, while praying for your happiness.\Even if I'm unsure I won't let go That's what I felt that night, Nana, while praying for your happiness.\That's what I felt that night, Nana, while praying for your happiness. response:	Of your hand holding mine That's what I felt that night, Nana, while praying for your happiness.
context: I want to feel your warmth I wanted to love someone from the bottom of my heart,\I want to feel your warmth\I want to feel your warmth no matter how I may get hurt, no matter how I may suffer.\That's what I felt that night, Nana, while praying for your happiness.\Tears are falling down That's what I felt that night, Nana, while praying for your happiness.\Even if I'm unsure I won't let go That's what I felt that night, Nana, while praying for your happiness.\That's what I felt that night, Nana, while praying for your happiness.\Of your hand holding mine That's what I felt that night, Nana, while praying for your happiness. response:	Of your hand holding mine
context: I want to feel your warmth\I want to feel your warmth no matter how I may get hurt, no matter how I may suffer.\That's what I felt that night, Nana, while praying for your happiness.\Tears are falling down That's what I felt that night, Nana, while praying for your happiness.\Even if I'm unsure I won't let go That's what I felt that night, Nana, while praying for your happiness.\That's what I felt that night, Nana, while praying for your happiness.\Of your hand holding mine That's what I felt that night, Nana, while praying for your happiness.\Of your hand holding mine response:	Starless night
context: I want to feel your warmth no matter how I may get hurt, no matter how I may suffer.\That's what I felt that night, Nana, while praying for your happiness.\Tears are falling down That's what I felt that night, Nana, while praying for your happiness.\Even if I'm unsure I won't let go That's what I felt that night, Nana, while praying for your happiness.\That's what I felt that night, Nana, while praying for your happiness.\Of your hand holding mine That's what I felt that night, Nana, while praying for your happiness.\Of your hand holding mine\Starless night response:	Even if your lips spill weak words
context: That's what I felt that night, Nana, while praying for your happiness.\Tears are falling down That's what I felt that night, Nana, while praying for your happiness.\Even if I'm unsure I won't let go That's what I felt that night, Nana, while praying for your happiness.\That's what I felt that night, Nana, while praying for your happiness.\Of your hand holding mine That's what I felt that night, Nana, while praying for your happiness.\Of your hand holding mine\Starless night\Even if your lips spill weak words response:	I want to believe in your warmth
context: Tears are falling down That's what I felt that night, Nana, while praying for your happiness.\Even if I'm unsure I won't let go That's what I felt that night, Nana, while praying for your happiness.\That's what I felt that night, Nana, while praying for your happiness.\Of your hand holding mine That's what I felt that night, Nana, while praying for your happiness.\Of your hand holding mine\Starless night\Even if your lips spill weak words\I want to believe in your warmth response:	Endless love
context: Even if I'm unsure I won't let go That's what I felt that night, Nana, while praying for your happiness.\That's what I felt that night, Nana, while praying for your happiness.\Of your hand holding mine That's what I felt that night, Nana, while praying for your happiness.\Of your hand holding mine\Starless night\Even if your lips spill weak words\I want to believe in your warmth\Endless love response:	I even love your contradictions
