context: It's the start of fall. response:	Things got a little hectic in central Flognarde,
context: Hero Crystal!\Shine, purifying light!\No, wait... seriously?\Even if those were low-rank demons, they turned them into spirits in an instant.\I haven't seen anybody pull off a stunt like that since my sister did.\The show was given extra time\and was back on.\Nobody was hurt and the building wasn't as badly damaged as we thought. response:	Callaway-san had a
context: Shine, purifying light!\No, wait... seriously?\Even if those were low-rank demons, they turned them into spirits in an instant.\I haven't seen anybody pull off a stunt like that since my sister did.\The show was given extra time\and was back on.\Nobody was hurt and the building wasn't as badly damaged as we thought.\Callaway-san had a response:	hard time dealing with it all,
context: No, wait... seriously?\Even if those were low-rank demons, they turned them into spirits in an instant.\I haven't seen anybody pull off a stunt like that since my sister did.\The show was given extra time\and was back on.\Nobody was hurt and the building wasn't as badly damaged as we thought.\Callaway-san had a\hard time dealing with it all, response:	but I'm taking him something later.
context: Even if those were low-rank demons, they turned them into spirits in an instant.\I haven't seen anybody pull off a stunt like that since my sister did.\The show was given extra time\and was back on.\Nobody was hurt and the building wasn't as badly damaged as we thought.\Callaway-san had a\hard time dealing with it all,\but I'm taking him something later. response:	We've really caused problems for you all.
context: I haven't seen anybody pull off a stunt like that since my sister did.\The show was given extra time\and was back on.\Nobody was hurt and the building wasn't as badly damaged as we thought.\Callaway-san had a\hard time dealing with it all,\but I'm taking him something later.\We've really caused problems for you all. response:	Not at all.
context: The show was given extra time\and was back on.\Nobody was hurt and the building wasn't as badly damaged as we thought.\Callaway-san had a\hard time dealing with it all,\but I'm taking him something later.\We've really caused problems for you all.\Not at all. response:	Actually, we're sorry for not being useful.
context: and was back on.\Nobody was hurt and the building wasn't as badly damaged as we thought.\Callaway-san had a\hard time dealing with it all,\but I'm taking him something later.\We've really caused problems for you all.\Not at all.\Actually, we're sorry for not being useful. response:	We're useless.
context: Nobody was hurt and the building wasn't as badly damaged as we thought.\Callaway-san had a\hard time dealing with it all,\but I'm taking him something later.\We've really caused problems for you all.\Not at all.\Actually, we're sorry for not being useful.\We're useless. response:	That's not true!
context: Callaway-san had a\hard time dealing with it all,\but I'm taking him something later.\We've really caused problems for you all.\Not at all.\Actually, we're sorry for not being useful.\We're useless.\That's not true! response:	I guess I did something amazing,
context: hard time dealing with it all,\but I'm taking him something later.\We've really caused problems for you all.\Not at all.\Actually, we're sorry for not being useful.\We're useless.\That's not true!\I guess I did something amazing, response:	but I don't remember it.
context: but I'm taking him something later.\We've really caused problems for you all.\Not at all.\Actually, we're sorry for not being useful.\We're useless.\That's not true!\I guess I did something amazing,\but I don't remember it. response:	You'll understand eventually.
context: We've really caused problems for you all.\Not at all.\Actually, we're sorry for not being useful.\We're useless.\That's not true!\I guess I did something amazing,\but I don't remember it.\You'll understand eventually. response:	But it's thanks to the Spirit Crystal and Demon Crystal, isn't it?
context: Not at all.\Actually, we're sorry for not being useful.\We're useless.\That's not true!\I guess I did something amazing,\but I don't remember it.\You'll understand eventually.\But it's thanks to the Spirit Crystal and Demon Crystal, isn't it? response:	Yeah.
context: Actually, we're sorry for not being useful.\We're useless.\That's not true!\I guess I did something amazing,\but I don't remember it.\You'll understand eventually.\But it's thanks to the Spirit Crystal and Demon Crystal, isn't it?\Yeah. response:	It was a dangerous situation,
context: We're useless.\That's not true!\I guess I did something amazing,\but I don't remember it.\You'll understand eventually.\But it's thanks to the Spirit Crystal and Demon Crystal, isn't it?\Yeah.\It was a dangerous situation, response:	but because the power of the Hero, Spirit, and Demon
context: That's not true!\I guess I did something amazing,\but I don't remember it.\You'll understand eventually.\But it's thanks to the Spirit Crystal and Demon Crystal, isn't it?\Yeah.\It was a dangerous situation,\but because the power of the Hero, Spirit, and Demon response:	worked together,
context: I guess I did something amazing,\but I don't remember it.\You'll understand eventually.\But it's thanks to the Spirit Crystal and Demon Crystal, isn't it?\Yeah.\It was a dangerous situation,\but because the power of the Hero, Spirit, and Demon\worked together, response:	it all worked out.
context: but I don't remember it.\You'll understand eventually.\But it's thanks to the Spirit Crystal and Demon Crystal, isn't it?\Yeah.\It was a dangerous situation,\but because the power of the Hero, Spirit, and Demon\worked together,\it all worked out. response:	It kind of reminds me
context: You'll understand eventually.\But it's thanks to the Spirit Crystal and Demon Crystal, isn't it?\Yeah.\It was a dangerous situation,\but because the power of the Hero, Spirit, and Demon\worked together,\it all worked out.\It kind of reminds me response:	of old times...
context: But it's thanks to the Spirit Crystal and Demon Crystal, isn't it?\Yeah.\It was a dangerous situation,\but because the power of the Hero, Spirit, and Demon\worked together,\it all worked out.\It kind of reminds me\of old times... response:	By the way, where's Valerie-san?
context: Yeah.\It was a dangerous situation,\but because the power of the Hero, Spirit, and Demon\worked together,\it all worked out.\It kind of reminds me\of old times...\By the way, where's Valerie-san? response:	You're right.
context: It was a dangerous situation,\but because the power of the Hero, Spirit, and Demon\worked together,\it all worked out.\It kind of reminds me\of old times...\By the way, where's Valerie-san?\You're right. response:	I haven't seen him since this evening.
context: but because the power of the Hero, Spirit, and Demon\worked together,\it all worked out.\It kind of reminds me\of old times...\By the way, where's Valerie-san?\You're right.\I haven't seen him since this evening. response:	Adel.
context: worked together,\it all worked out.\It kind of reminds me\of old times...\By the way, where's Valerie-san?\You're right.\I haven't seen him since this evening.\Adel. response:	Hey, Adel!
context: it all worked out.\It kind of reminds me\of old times...\By the way, where's Valerie-san?\You're right.\I haven't seen him since this evening.\Adel.\Hey, Adel! response:	I'm sorry! I feel really bad!
context: It kind of reminds me\of old times...\By the way, where's Valerie-san?\You're right.\I haven't seen him since this evening.\Adel.\Hey, Adel!\I'm sorry! I feel really bad! response:	I'm really sorry!
context: of old times...\By the way, where's Valerie-san?\You're right.\I haven't seen him since this evening.\Adel.\Hey, Adel!\I'm sorry! I feel really bad!\I'm really sorry! response:	No playing tricks, okay?
context: By the way, where's Valerie-san?\You're right.\I haven't seen him since this evening.\Adel.\Hey, Adel!\I'm sorry! I feel really bad!\I'm really sorry!\No playing tricks, okay? response:	Jeez, what is wrong with you?
context: You're right.\I haven't seen him since this evening.\Adel.\Hey, Adel!\I'm sorry! I feel really bad!\I'm really sorry!\No playing tricks, okay?\Jeez, what is wrong with you? response:	I said I'm sorry!
context: I haven't seen him since this evening.\Adel.\Hey, Adel!\I'm sorry! I feel really bad!\I'm really sorry!\No playing tricks, okay?\Jeez, what is wrong with you?\I said I'm sorry! response:	I hope you'll play with us next time, too!
context: Adel.\Hey, Adel!\I'm sorry! I feel really bad!\I'm really sorry!\No playing tricks, okay?\Jeez, what is wrong with you?\I said I'm sorry!\I hope you'll play with us next time, too! response:	Exploration at the Crystal Mines!
context: Hey, Adel!\I'm sorry! I feel really bad!\I'm really sorry!\No playing tricks, okay?\Jeez, what is wrong with you?\I said I'm sorry!\I hope you'll play with us next time, too!\Exploration at the Crystal Mines! response:	I'll do my best.
