context: Oh, man! Oh, man! response:	Taking off in the middle of the night is pretty exciting!
context: Plus he's really short.\I never would've thought guy with glasses, who's far taller and much smarter,\would not only think they're not equal,\but actually think the shrimp is above his level.\Damn it. I forgot my pads.\Gymnasium 1\One more! One more!\I think the timing's a bit too fast. response:	Really? Then I'll slow it down one tempo next.
context: I never would've thought guy with glasses, who's far taller and much smarter,\would not only think they're not equal,\but actually think the shrimp is above his level.\Damn it. I forgot my pads.\Gymnasium 1\One more! One more!\I think the timing's a bit too fast.\Really? Then I'll slow it down one tempo next. response:	Here we go!
context: would not only think they're not equal,\but actually think the shrimp is above his level.\Damn it. I forgot my pads.\Gymnasium 1\One more! One more!\I think the timing's a bit too fast.\Really? Then I'll slow it down one tempo next.\Here we go! response:	Sorry. One more.
context: but actually think the shrimp is above his level.\Damn it. I forgot my pads.\Gymnasium 1\One more! One more!\I think the timing's a bit too fast.\Really? Then I'll slow it down one tempo next.\Here we go!\Sorry. One more. response:	This is just a club.
context: Damn it. I forgot my pads.\Gymnasium 1\One more! One more!\I think the timing's a bit too fast.\Really? Then I'll slow it down one tempo next.\Here we go!\Sorry. One more.\This is just a club. response:	Right.
context: Gymnasium 1\One more! One more!\I think the timing's a bit too fast.\Really? Then I'll slow it down one tempo next.\Here we go!\Sorry. One more.\This is just a club.\Right. response:	Let's go!
context: One more! One more!\I think the timing's a bit too fast.\Really? Then I'll slow it down one tempo next.\Here we go!\Sorry. One more.\This is just a club.\Right.\Let's go! response:	Why do you put so much into it?
context: I think the timing's a bit too fast.\Really? Then I'll slow it down one tempo next.\Here we go!\Sorry. One more.\This is just a club.\Right.\Let's go!\Why do you put so much into it? response:	It's because you put so much into it
context: Really? Then I'll slow it down one tempo next.\Here we go!\Sorry. One more.\This is just a club.\Right.\Let's go!\Why do you put so much into it?\It's because you put so much into it response:	that you suffer later.
context: Here we go!\Sorry. One more.\This is just a club.\Right.\Let's go!\Why do you put so much into it?\It's because you put so much into it\that you suffer later. response:	Cafeteria
context: Sorry. One more.\This is just a club.\Right.\Let's go!\Why do you put so much into it?\It's because you put so much into it\that you suffer later.\Cafeteria response:	Hey, Tsukishima.
context: This is just a club.\Right.\Let's go!\Why do you put so much into it?\It's because you put so much into it\that you suffer later.\Cafeteria\Hey, Tsukishima. response:	Eat up! Or you're not gonna last!
context: Right.\Let's go!\Why do you put so much into it?\It's because you put so much into it\that you suffer later.\Cafeteria\Hey, Tsukishima.\Eat up! Or you're not gonna last! response:	Nishinoya-san...
context: Let's go!\Why do you put so much into it?\It's because you put so much into it\that you suffer later.\Cafeteria\Hey, Tsukishima.\Eat up! Or you're not gonna last!\Nishinoya-san... response:	At least your stomach's big.
context: Why do you put so much into it?\It's because you put so much into it\that you suffer later.\Cafeteria\Hey, Tsukishima.\Eat up! Or you're not gonna last!\Nishinoya-san...\At least your stomach's big. response:	What'd you say?! You little brat!
context: It's because you put so much into it\that you suffer later.\Cafeteria\Hey, Tsukishima.\Eat up! Or you're not gonna last!\Nishinoya-san...\At least your stomach's big.\What'd you say?! You little brat! response:	Here.
context: that you suffer later.\Cafeteria\Hey, Tsukishima.\Eat up! Or you're not gonna last!\Nishinoya-san...\At least your stomach's big.\What'd you say?! You little brat!\Here. response:	Th-Thank you!
context: Cafeteria\Hey, Tsukishima.\Eat up! Or you're not gonna last!\Nishinoya-san...\At least your stomach's big.\What'd you say?! You little brat!\Here.\Th-Thank you! response:	Your true self will pay!
context: Hey, Tsukishima.\Eat up! Or you're not gonna last!\Nishinoya-san...\At least your stomach's big.\What'd you say?! You little brat!\Here.\Th-Thank you!\Your true self will pay! response:	H-Hey! Stop! They're gonna break.
context: Eat up! Or you're not gonna last!\Nishinoya-san...\At least your stomach's big.\What'd you say?! You little brat!\Here.\Th-Thank you!\Your true self will pay!\H-Hey! Stop! They're gonna break. response:	Hey, Daichi's gonna get mad!
context: Nishinoya-san...\At least your stomach's big.\What'd you say?! You little brat!\Here.\Th-Thank you!\Your true self will pay!\H-Hey! Stop! They're gonna break.\Hey, Daichi's gonna get mad! response:	Karasuno Nekoma
context: At least your stomach's big.\What'd you say?! You little brat!\Here.\Th-Thank you!\Your true self will pay!\H-Hey! Stop! They're gonna break.\Hey, Daichi's gonna get mad!\Karasuno Nekoma response:	Go!
context: What'd you say?! You little brat!\Here.\Th-Thank you!\Your true self will pay!\H-Hey! Stop! They're gonna break.\Hey, Daichi's gonna get mad!\Karasuno Nekoma\Go! response:	Go!
context: Here.\Th-Thank you!\Your true self will pay!\H-Hey! Stop! They're gonna break.\Hey, Daichi's gonna get mad!\Karasuno Nekoma\Go!\Go! response:	Go!
context: Th-Thank you!\Your true self will pay!\H-Hey! Stop! They're gonna break.\Hey, Daichi's gonna get mad!\Karasuno Nekoma\Go!\Go!\Go! response:	Here you go, Hinata.
context: Your true self will pay!\H-Hey! Stop! They're gonna break.\Hey, Daichi's gonna get mad!\Karasuno Nekoma\Go!\Go!\Go!\Here you go, Hinata. response:	Thanks!
context: H-Hey! Stop! They're gonna break.\Hey, Daichi's gonna get mad!\Karasuno Nekoma\Go!\Go!\Go!\Here you go, Hinata.\Thanks! response:	Everyone!
context: Hey, Daichi's gonna get mad!\Karasuno Nekoma\Go!\Go!\Go!\Here you go, Hinata.\Thanks!\Everyone! response:	Fukurodani Fukurodani
context: Karasuno Nekoma\Go!\Go!\Go!\Here you go, Hinata.\Thanks!\Everyone!\Fukurodani Fukurodani response:	Ubugawa
context: Go!\Go!\Go!\Here you go, Hinata.\Thanks!\Everyone!\Fukurodani Fukurodani\Ubugawa response:	The parents from Shinzen High gave us some watermelons!
context: Go!\Go!\Here you go, Hinata.\Thanks!\Everyone!\Fukurodani Fukurodani\Ubugawa\The parents from Shinzen High gave us some watermelons! response:	Whoa! That's awesome, Lev!
context: Go!\Here you go, Hinata.\Thanks!\Everyone!\Fukurodani Fukurodani\Ubugawa\The parents from Shinzen High gave us some watermelons!\Whoa! That's awesome, Lev! response:	Can I get one more?
context: Here you go, Hinata.\Thanks!\Everyone!\Fukurodani Fukurodani\Ubugawa\The parents from Shinzen High gave us some watermelons!\Whoa! That's awesome, Lev!\Can I get one more? response:	Sure.
context: Thanks!\Everyone!\Fukurodani Fukurodani\Ubugawa\The parents from Shinzen High gave us some watermelons!\Whoa! That's awesome, Lev!\Can I get one more?\Sure. response:	Thanks.
context: Everyone!\Fukurodani Fukurodani\Ubugawa\The parents from Shinzen High gave us some watermelons!\Whoa! That's awesome, Lev!\Can I get one more?\Sure.\Thanks. response:	Huh? Tsukishima-kun, is one slice enough?
context: Fukurodani Fukurodani\Ubugawa\The parents from Shinzen High gave us some watermelons!\Whoa! That's awesome, Lev!\Can I get one more?\Sure.\Thanks.\Huh? Tsukishima-kun, is one slice enough? response:	Yeah. Thanks for the food.
context: Ubugawa\The parents from Shinzen High gave us some watermelons!\Whoa! That's awesome, Lev!\Can I get one more?\Sure.\Thanks.\Huh? Tsukishima-kun, is one slice enough?\Yeah. Thanks for the food. response:	I ate way too much once and got a stomachache.
context: The parents from Shinzen High gave us some watermelons!\Whoa! That's awesome, Lev!\Can I get one more?\Sure.\Thanks.\Huh? Tsukishima-kun, is one slice enough?\Yeah. Thanks for the food.\I ate way too much once and got a stomachache. response:	Sorry, by the way.
context: Whoa! That's awesome, Lev!\Can I get one more?\Sure.\Thanks.\Huh? Tsukishima-kun, is one slice enough?\Yeah. Thanks for the food.\I ate way too much once and got a stomachache.\Sorry, by the way. response:	About what?
context: Can I get one more?\Sure.\Thanks.\Huh? Tsukishima-kun, is one slice enough?\Yeah. Thanks for the food.\I ate way too much once and got a stomachache.\Sorry, by the way.\About what? response:	I think I might have pissed off your glasses guy yesterday.
context: Sure.\Thanks.\Huh? Tsukishima-kun, is one slice enough?\Yeah. Thanks for the food.\I ate way too much once and got a stomachache.\Sorry, by the way.\About what?\I think I might have pissed off your glasses guy yesterday. response:	What?
context: Thanks.\Huh? Tsukishima-kun, is one slice enough?\Yeah. Thanks for the food.\I ate way too much once and got a stomachache.\Sorry, by the way.\About what?\I think I might have pissed off your glasses guy yesterday.\What? response:	Wow... Tsukishima actually helped out with free practice.
context: Huh? Tsukishima-kun, is one slice enough?\Yeah. Thanks for the food.\I ate way too much once and got a stomachache.\Sorry, by the way.\About what?\I think I might have pissed off your glasses guy yesterday.\What?\Wow... Tsukishima actually helped out with free practice. response:	Hinata, you suck.
context: Yeah. Thanks for the food.\I ate way too much once and got a stomachache.\Sorry, by the way.\About what?\I think I might have pissed off your glasses guy yesterday.\What?\Wow... Tsukishima actually helped out with free practice.\Hinata, you suck. response:	Even if you cornered him into it...
context: I ate way too much once and got a stomachache.\Sorry, by the way.\About what?\I think I might have pissed off your glasses guy yesterday.\What?\Wow... Tsukishima actually helped out with free practice.\Hinata, you suck.\Even if you cornered him into it... response:	So, what did you say?
context: Sorry, by the way.\About what?\I think I might have pissed off your glasses guy yesterday.\What?\Wow... Tsukishima actually helped out with free practice.\Hinata, you suck.\Even if you cornered him into it...\So, what did you say? response:	I provoked him and said he was going to lose to your shrimp over there.
context: About what?\I think I might have pissed off your glasses guy yesterday.\What?\Wow... Tsukishima actually helped out with free practice.\Hinata, you suck.\Even if you cornered him into it...\So, what did you say?\I provoked him and said he was going to lose to your shrimp over there. response:	I've definitely noticed that Tsukishima seems to feel inferior to Hinata somehow.
context: I think I might have pissed off your glasses guy yesterday.\What?\Wow... Tsukishima actually helped out with free practice.\Hinata, you suck.\Even if you cornered him into it...\So, what did you say?\I provoked him and said he was going to lose to your shrimp over there.\I've definitely noticed that Tsukishima seems to feel inferior to Hinata somehow. response:	It's Hinata's job to steal the spotlight.
context: What?\Wow... Tsukishima actually helped out with free practice.\Hinata, you suck.\Even if you cornered him into it...\So, what did you say?\I provoked him and said he was going to lose to your shrimp over there.\I've definitely noticed that Tsukishima seems to feel inferior to Hinata somehow.\It's Hinata's job to steal the spotlight. response:	It's my job to keep trouble from happening
context: Wow... Tsukishima actually helped out with free practice.\Hinata, you suck.\Even if you cornered him into it...\So, what did you say?\I provoked him and said he was going to lose to your shrimp over there.\I've definitely noticed that Tsukishima seems to feel inferior to Hinata somehow.\It's Hinata's job to steal the spotlight.\It's my job to keep trouble from happening response:	while Hinata's rotated into the rear guard.
context: Hinata, you suck.\Even if you cornered him into it...\So, what did you say?\I provoked him and said he was going to lose to your shrimp over there.\I've definitely noticed that Tsukishima seems to feel inferior to Hinata somehow.\It's Hinata's job to steal the spotlight.\It's my job to keep trouble from happening\while Hinata's rotated into the rear guard. response:	It's the usual situation, isn't it?
context: Even if you cornered him into it...\So, what did you say?\I provoked him and said he was going to lose to your shrimp over there.\I've definitely noticed that Tsukishima seems to feel inferior to Hinata somehow.\It's Hinata's job to steal the spotlight.\It's my job to keep trouble from happening\while Hinata's rotated into the rear guard.\It's the usual situation, isn't it? response:	I'm not sure if this is relevant, but my sister...
context: So, what did you say?\I provoked him and said he was going to lose to your shrimp over there.\I've definitely noticed that Tsukishima seems to feel inferior to Hinata somehow.\It's Hinata's job to steal the spotlight.\It's my job to keep trouble from happening\while Hinata's rotated into the rear guard.\It's the usual situation, isn't it?\I'm not sure if this is relevant, but my sister... response:	By the way...
context: I provoked him and said he was going to lose to your shrimp over there.\I've definitely noticed that Tsukishima seems to feel inferior to Hinata somehow.\It's Hinata's job to steal the spotlight.\It's my job to keep trouble from happening\while Hinata's rotated into the rear guard.\It's the usual situation, isn't it?\I'm not sure if this is relevant, but my sister...\By the way... response:	Huh?
context: I've definitely noticed that Tsukishima seems to feel inferior to Hinata somehow.\It's Hinata's job to steal the spotlight.\It's my job to keep trouble from happening\while Hinata's rotated into the rear guard.\It's the usual situation, isn't it?\I'm not sure if this is relevant, but my sister...\By the way...\Huh? response:	I thought I heard the name during your training camp matches,
context: It's Hinata's job to steal the spotlight.\It's my job to keep trouble from happening\while Hinata's rotated into the rear guard.\It's the usual situation, isn't it?\I'm not sure if this is relevant, but my sister...\By the way...\Huh?\I thought I heard the name during your training camp matches, response:	but does Karasuno have a guy named Tsukishima right now?
context: It's my job to keep trouble from happening\while Hinata's rotated into the rear guard.\It's the usual situation, isn't it?\I'm not sure if this is relevant, but my sister...\By the way...\Huh?\I thought I heard the name during your training camp matches,\but does Karasuno have a guy named Tsukishima right now? response:	Yeah.
context: while Hinata's rotated into the rear guard.\It's the usual situation, isn't it?\I'm not sure if this is relevant, but my sister...\By the way...\Huh?\I thought I heard the name during your training camp matches,\but does Karasuno have a guy named Tsukishima right now?\Yeah. response:	The glasses kid. He's a pompous little shit.
context: It's the usual situation, isn't it?\I'm not sure if this is relevant, but my sister...\By the way...\Huh?\I thought I heard the name during your training camp matches,\but does Karasuno have a guy named Tsukishima right now?\Yeah.\The glasses kid. He's a pompous little shit. response:	Do you know if that Tsukishima has an older brother?
context: I'm not sure if this is relevant, but my sister...\By the way...\Huh?\I thought I heard the name during your training camp matches,\but does Karasuno have a guy named Tsukishima right now?\Yeah.\The glasses kid. He's a pompous little shit.\Do you know if that Tsukishima has an older brother? response:	Huh?
context: By the way...\Huh?\I thought I heard the name during your training camp matches,\but does Karasuno have a guy named Tsukishima right now?\Yeah.\The glasses kid. He's a pompous little shit.\Do you know if that Tsukishima has an older brother?\Huh? response:	No idea. He's not the type that'd mention that himself.
context: Huh?\I thought I heard the name during your training camp matches,\but does Karasuno have a guy named Tsukishima right now?\Yeah.\The glasses kid. He's a pompous little shit.\Do you know if that Tsukishima has an older brother?\Huh?\No idea. He's not the type that'd mention that himself. response:	When I was at Karasuno,
context: I thought I heard the name during your training camp matches,\but does Karasuno have a guy named Tsukishima right now?\Yeah.\The glasses kid. He's a pompous little shit.\Do you know if that Tsukishima has an older brother?\Huh?\No idea. He's not the type that'd mention that himself.\When I was at Karasuno, response:	the same time the boys' volleyball team was the strongest...
context: but does Karasuno have a guy named Tsukishima right now?\Yeah.\The glasses kid. He's a pompous little shit.\Do you know if that Tsukishima has an older brother?\Huh?\No idea. He's not the type that'd mention that himself.\When I was at Karasuno,\the same time the boys' volleyball team was the strongest... response:	When the Little Giant was there?
context: Yeah.\The glasses kid. He's a pompous little shit.\Do you know if that Tsukishima has an older brother?\Huh?\No idea. He's not the type that'd mention that himself.\When I was at Karasuno,\the same time the boys' volleyball team was the strongest...\When the Little Giant was there? response:	Yeah. I thought there was
context: The glasses kid. He's a pompous little shit.\Do you know if that Tsukishima has an older brother?\Huh?\No idea. He's not the type that'd mention that himself.\When I was at Karasuno,\the same time the boys' volleyball team was the strongest...\When the Little Giant was there?\Yeah. I thought there was response:	a really tall guy named Tsukishima back then, too.
context: Do you know if that Tsukishima has an older brother?\Huh?\No idea. He's not the type that'd mention that himself.\When I was at Karasuno,\the same time the boys' volleyball team was the strongest...\When the Little Giant was there?\Yeah. I thought there was\a really tall guy named Tsukishima back then, too. response:	Huh?
context: Huh?\No idea. He's not the type that'd mention that himself.\When I was at Karasuno,\the same time the boys' volleyball team was the strongest...\When the Little Giant was there?\Yeah. I thought there was\a really tall guy named Tsukishima back then, too.\Huh? response:	Tsukishima has an older brother?
context: No idea. He's not the type that'd mention that himself.\When I was at Karasuno,\the same time the boys' volleyball team was the strongest...\When the Little Giant was there?\Yeah. I thought there was\a really tall guy named Tsukishima back then, too.\Huh?\Tsukishima has an older brother? response:	Oh, but I'm not sure.
context: When I was at Karasuno,\the same time the boys' volleyball team was the strongest...\When the Little Giant was there?\Yeah. I thought there was\a really tall guy named Tsukishima back then, too.\Huh?\Tsukishima has an older brother?\Oh, but I'm not sure. response:	They could just have the same last name and not be related.
context: the same time the boys' volleyball team was the strongest...\When the Little Giant was there?\Yeah. I thought there was\a really tall guy named Tsukishima back then, too.\Huh?\Tsukishima has an older brother?\Oh, but I'm not sure.\They could just have the same last name and not be related. response:	Hey, we're about to start!
context: When the Little Giant was there?\Yeah. I thought there was\a really tall guy named Tsukishima back then, too.\Huh?\Tsukishima has an older brother?\Oh, but I'm not sure.\They could just have the same last name and not be related.\Hey, we're about to start! response:	Right. Let's go.
context: Yeah. I thought there was\a really tall guy named Tsukishima back then, too.\Huh?\Tsukishima has an older brother?\Oh, but I'm not sure.\They could just have the same last name and not be related.\Hey, we're about to start!\Right. Let's go. response:	Yeah.
context: a really tall guy named Tsukishima back then, too.\Huh?\Tsukishima has an older brother?\Oh, but I'm not sure.\They could just have the same last name and not be related.\Hey, we're about to start!\Right. Let's go.\Yeah. response:	Oh, sorry. One sec...
context: Huh?\Tsukishima has an older brother?\Oh, but I'm not sure.\They could just have the same last name and not be related.\Hey, we're about to start!\Right. Let's go.\Yeah.\Oh, sorry. One sec... response:	Karasuno Nekoma
context: Tsukishima has an older brother?\Oh, but I'm not sure.\They could just have the same last name and not be related.\Hey, we're about to start!\Right. Let's go.\Yeah.\Oh, sorry. One sec...\Karasuno Nekoma response:	Go!
context: Oh, but I'm not sure.\They could just have the same last name and not be related.\Hey, we're about to start!\Right. Let's go.\Yeah.\Oh, sorry. One sec...\Karasuno Nekoma\Go! response:	This is rough...
context: They could just have the same last name and not be related.\Hey, we're about to start!\Right. Let's go.\Yeah.\Oh, sorry. One sec...\Karasuno Nekoma\Go!\This is rough... response:	Not at all!
context: Hey, we're about to start!\Right. Let's go.\Yeah.\Oh, sorry. One sec...\Karasuno Nekoma\Go!\This is rough...\Not at all! response:	I can still do at least ten rounds!
context: Right. Let's go.\Yeah.\Oh, sorry. One sec...\Karasuno Nekoma\Go!\This is rough...\Not at all!\I can still do at least ten rounds! response:	Uh, how about we win?
context: Yeah.\Oh, sorry. One sec...\Karasuno Nekoma\Go!\This is rough...\Not at all!\I can still do at least ten rounds!\Uh, how about we win? response:	Yamaguchi, your serve's getting much better.
context: Oh, sorry. One sec...\Karasuno Nekoma\Go!\This is rough...\Not at all!\I can still do at least ten rounds!\Uh, how about we win?\Yamaguchi, your serve's getting much better. response:	Th-Thank you very much.
context: Karasuno Nekoma\Go!\This is rough...\Not at all!\I can still do at least ten rounds!\Uh, how about we win?\Yamaguchi, your serve's getting much better.\Th-Thank you very much. response:	I have to improve my success rate.
context: Go!\This is rough...\Not at all!\I can still do at least ten rounds!\Uh, how about we win?\Yamaguchi, your serve's getting much better.\Th-Thank you very much.\I have to improve my success rate. response:	Doesn't it bother you, Azumane-san?
context: This is rough...\Not at all!\I can still do at least ten rounds!\Uh, how about we win?\Yamaguchi, your serve's getting much better.\Th-Thank you very much.\I have to improve my success rate.\Doesn't it bother you, Azumane-san? response:	What?
context: Not at all!\I can still do at least ten rounds!\Uh, how about we win?\Yamaguchi, your serve's getting much better.\Th-Thank you very much.\I have to improve my success rate.\Doesn't it bother you, Azumane-san?\What? response:	That feeling of immense talent creeping up behind you.
context: I can still do at least ten rounds!\Uh, how about we win?\Yamaguchi, your serve's getting much better.\Th-Thank you very much.\I have to improve my success rate.\Doesn't it bother you, Azumane-san?\What?\That feeling of immense talent creeping up behind you. response:	Yeah, well... I guess I can say I'm not at ease.
context: Uh, how about we win?\Yamaguchi, your serve's getting much better.\Th-Thank you very much.\I have to improve my success rate.\Doesn't it bother you, Azumane-san?\What?\That feeling of immense talent creeping up behind you.\Yeah, well... I guess I can say I'm not at ease. response:	I'm sure Hinata's still obsessing over the title of ace.
context: Yamaguchi, your serve's getting much better.\Th-Thank you very much.\I have to improve my success rate.\Doesn't it bother you, Azumane-san?\What?\That feeling of immense talent creeping up behind you.\Yeah, well... I guess I can say I'm not at ease.\I'm sure Hinata's still obsessing over the title of ace. response:	That might be true.
context: Th-Thank you very much.\I have to improve my success rate.\Doesn't it bother you, Azumane-san?\What?\That feeling of immense talent creeping up behind you.\Yeah, well... I guess I can say I'm not at ease.\I'm sure Hinata's still obsessing over the title of ace.\That might be true. response:	Maybe that's why he said he had to change.
context: I have to improve my success rate.\Doesn't it bother you, Azumane-san?\What?\That feeling of immense talent creeping up behind you.\Yeah, well... I guess I can say I'm not at ease.\I'm sure Hinata's still obsessing over the title of ace.\That might be true.\Maybe that's why he said he had to change. response:	But because of that, it seems that all of us got fired up, too.
context: Doesn't it bother you, Azumane-san?\What?\That feeling of immense talent creeping up behind you.\Yeah, well... I guess I can say I'm not at ease.\I'm sure Hinata's still obsessing over the title of ace.\That might be true.\Maybe that's why he said he had to change.\But because of that, it seems that all of us got fired up, too. response:	If you're not careful,
context: What?\That feeling of immense talent creeping up behind you.\Yeah, well... I guess I can say I'm not at ease.\I'm sure Hinata's still obsessing over the title of ace.\That might be true.\Maybe that's why he said he had to change.\But because of that, it seems that all of us got fired up, too.\If you're not careful, response:	Hinata's probably gonna bite you again because he's too focused.
context: That feeling of immense talent creeping up behind you.\Yeah, well... I guess I can say I'm not at ease.\I'm sure Hinata's still obsessing over the title of ace.\That might be true.\Maybe that's why he said he had to change.\But because of that, it seems that all of us got fired up, too.\If you're not careful,\Hinata's probably gonna bite you again because he's too focused. response:	Oh, you mean when we both went to spike and he jumped into me.
context: Yeah, well... I guess I can say I'm not at ease.\I'm sure Hinata's still obsessing over the title of ace.\That might be true.\Maybe that's why he said he had to change.\But because of that, it seems that all of us got fired up, too.\If you're not careful,\Hinata's probably gonna bite you again because he's too focused.\Oh, you mean when we both went to spike and he jumped into me. response:	We're in the same boat.
context: I'm sure Hinata's still obsessing over the title of ace.\That might be true.\Maybe that's why he said he had to change.\But because of that, it seems that all of us got fired up, too.\If you're not careful,\Hinata's probably gonna bite you again because he's too focused.\Oh, you mean when we both went to spike and he jumped into me.\We're in the same boat. response:	Our positions kind of make Hinata our rival,
context: That might be true.\Maybe that's why he said he had to change.\But because of that, it seems that all of us got fired up, too.\If you're not careful,\Hinata's probably gonna bite you again because he's too focused.\Oh, you mean when we both went to spike and he jumped into me.\We're in the same boat.\Our positions kind of make Hinata our rival, response:	so we probably notice more than others
context: Maybe that's why he said he had to change.\But because of that, it seems that all of us got fired up, too.\If you're not careful,\Hinata's probably gonna bite you again because he's too focused.\Oh, you mean when we both went to spike and he jumped into me.\We're in the same boat.\Our positions kind of make Hinata our rival,\so we probably notice more than others response:	how much he's grown from the baby bird he used to be.
context: But because of that, it seems that all of us got fired up, too.\If you're not careful,\Hinata's probably gonna bite you again because he's too focused.\Oh, you mean when we both went to spike and he jumped into me.\We're in the same boat.\Our positions kind of make Hinata our rival,\so we probably notice more than others\how much he's grown from the baby bird he used to be. response:	But I don't plan on losing to him.
context: If you're not careful,\Hinata's probably gonna bite you again because he's too focused.\Oh, you mean when we both went to spike and he jumped into me.\We're in the same boat.\Our positions kind of make Hinata our rival,\so we probably notice more than others\how much he's grown from the baby bird he used to be.\But I don't plan on losing to him. response:	Left! Left!
context: Hinata's probably gonna bite you again because he's too focused.\Oh, you mean when we both went to spike and he jumped into me.\We're in the same boat.\Our positions kind of make Hinata our rival,\so we probably notice more than others\how much he's grown from the baby bird he used to be.\But I don't plan on losing to him.\Left! Left! response:	All right!
context: Oh, you mean when we both went to spike and he jumped into me.\We're in the same boat.\Our positions kind of make Hinata our rival,\so we probably notice more than others\how much he's grown from the baby bird he used to be.\But I don't plan on losing to him.\Left! Left!\All right! response:	Karasuno Ubugawa
context: We're in the same boat.\Our positions kind of make Hinata our rival,\so we probably notice more than others\how much he's grown from the baby bird he used to be.\But I don't plan on losing to him.\Left! Left!\All right!\Karasuno Ubugawa response:	Hey, you totally slacked there.
context: Our positions kind of make Hinata our rival,\so we probably notice more than others\how much he's grown from the baby bird he used to be.\But I don't plan on losing to him.\Left! Left!\All right!\Karasuno Ubugawa\Hey, you totally slacked there. response:	You need to at least jump!
context: so we probably notice more than others\how much he's grown from the baby bird he used to be.\But I don't plan on losing to him.\Left! Left!\All right!\Karasuno Ubugawa\Hey, you totally slacked there.\You need to at least jump! response:	Well, aren't you alert. My bad.
context: how much he's grown from the baby bird he used to be.\But I don't plan on losing to him.\Left! Left!\All right!\Karasuno Ubugawa\Hey, you totally slacked there.\You need to at least jump!\Well, aren't you alert. My bad. response:	Tsukishima, it's your serve next.
context: But I don't plan on losing to him.\Left! Left!\All right!\Karasuno Ubugawa\Hey, you totally slacked there.\You need to at least jump!\Well, aren't you alert. My bad.\Tsukishima, it's your serve next. response:	Sensei, what do you think of Tsukishima?
context: Left! Left!\All right!\Karasuno Ubugawa\Hey, you totally slacked there.\You need to at least jump!\Well, aren't you alert. My bad.\Tsukishima, it's your serve next.\Sensei, what do you think of Tsukishima? response:	Right.
context: All right!\Karasuno Ubugawa\Hey, you totally slacked there.\You need to at least jump!\Well, aren't you alert. My bad.\Tsukishima, it's your serve next.\Sensei, what do you think of Tsukishima?\Right. response:	I think he's taking this seriously.
context: Karasuno Ubugawa\Hey, you totally slacked there.\You need to at least jump!\Well, aren't you alert. My bad.\Tsukishima, it's your serve next.\Sensei, what do you think of Tsukishima?\Right.\I think he's taking this seriously. response:	Nice serve!
context: Hey, you totally slacked there.\You need to at least jump!\Well, aren't you alert. My bad.\Tsukishima, it's your serve next.\Sensei, what do you think of Tsukishima?\Right.\I think he's taking this seriously.\Nice serve! response:	I feel like Tsukishima gets a passing grade,
context: You need to at least jump!\Well, aren't you alert. My bad.\Tsukishima, it's your serve next.\Sensei, what do you think of Tsukishima?\Right.\I think he's taking this seriously.\Nice serve!\I feel like Tsukishima gets a passing grade, response:	but never tries for 100.
context: Well, aren't you alert. My bad.\Tsukishima, it's your serve next.\Sensei, what do you think of Tsukishima?\Right.\I think he's taking this seriously.\Nice serve!\I feel like Tsukishima gets a passing grade,\but never tries for 100. response:	It's coming left! Left!
context: Tsukishima, it's your serve next.\Sensei, what do you think of Tsukishima?\Right.\I think he's taking this seriously.\Nice serve!\I feel like Tsukishima gets a passing grade,\but never tries for 100.\It's coming left! Left! response:	I'm not asking for him to become more passionate,
context: Sensei, what do you think of Tsukishima?\Right.\I think he's taking this seriously.\Nice serve!\I feel like Tsukishima gets a passing grade,\but never tries for 100.\It's coming left! Left!\I'm not asking for him to become more passionate, response:	Cover! Cover!
context: Right.\I think he's taking this seriously.\Nice serve!\I feel like Tsukishima gets a passing grade,\but never tries for 100.\It's coming left! Left!\I'm not asking for him to become more passionate,\Cover! Cover! response:	4! 4!
context: I think he's taking this seriously.\Nice serve!\I feel like Tsukishima gets a passing grade,\but never tries for 100.\It's coming left! Left!\I'm not asking for him to become more passionate,\Cover! Cover!\4! 4! response:	but if he not going to give his all,
context: Nice serve!\I feel like Tsukishima gets a passing grade,\but never tries for 100.\It's coming left! Left!\I'm not asking for him to become more passionate,\Cover! Cover!\4! 4!\but if he not going to give his all, response:	I'm gonna have to change regulars.
context: I feel like Tsukishima gets a passing grade,\but never tries for 100.\It's coming left! Left!\I'm not asking for him to become more passionate,\Cover! Cover!\4! 4!\but if he not going to give his all,\I'm gonna have to change regulars. response:	Nice receive!
context: but never tries for 100.\It's coming left! Left!\I'm not asking for him to become more passionate,\Cover! Cover!\4! 4!\but if he not going to give his all,\I'm gonna have to change regulars.\Nice receive! response:	Center!
context: It's coming left! Left!\I'm not asking for him to become more passionate,\Cover! Cover!\4! 4!\but if he not going to give his all,\I'm gonna have to change regulars.\Nice receive!\Center! response:	Left!
context: I'm not asking for him to become more passionate,\Cover! Cover!\4! 4!\but if he not going to give his all,\I'm gonna have to change regulars.\Nice receive!\Center!\Left! response:	I need players who can win a match on the court.
context: Cover! Cover!\4! 4!\but if he not going to give his all,\I'm gonna have to change regulars.\Nice receive!\Center!\Left!\I need players who can win a match on the court. response:	He's the tallest and essential to the team.
context: 4! 4!\but if he not going to give his all,\I'm gonna have to change regulars.\Nice receive!\Center!\Left!\I need players who can win a match on the court.\He's the tallest and essential to the team. response:	All right!
context: but if he not going to give his all,\I'm gonna have to change regulars.\Nice receive!\Center!\Left!\I need players who can win a match on the court.\He's the tallest and essential to the team.\All right! response:	If Tsukishima could become a strong blocker,
