context: Kageyama Shigeo, also known as Mob. response:	A second-year in middle school.
context: Don't you dare try to steal away my student's precious time with your nonsense!\What?!\Are you saying that you don't care if our club gets abolished?\We're going to be kicked out of the room!\Master, Senpai is about to cry, so I'm thinking about joining after all...\Don't be fooled!\Those are crocodile tears!\Bonds, memories, and friendship... response:	Like any of those things will disappear because a club is abolished.
context: What?!\Are you saying that you don't care if our club gets abolished?\We're going to be kicked out of the room!\Master, Senpai is about to cry, so I'm thinking about joining after all...\Don't be fooled!\Those are crocodile tears!\Bonds, memories, and friendship...\Like any of those things will disappear because a club is abolished. response:	No! They just don't want to lose their room, their budget
context: Are you saying that you don't care if our club gets abolished?\We're going to be kicked out of the room!\Master, Senpai is about to cry, so I'm thinking about joining after all...\Don't be fooled!\Those are crocodile tears!\Bonds, memories, and friendship...\Like any of those things will disappear because a club is abolished.\No! They just don't want to lose their room, their budget response:	and their pointless after-school time, judging from what their club sounds like.
context: We're going to be kicked out of the room!\Master, Senpai is about to cry, so I'm thinking about joining after all...\Don't be fooled!\Those are crocodile tears!\Bonds, memories, and friendship...\Like any of those things will disappear because a club is abolished.\No! They just don't want to lose their room, their budget\and their pointless after-school time, judging from what their club sounds like. response:	See through it, Mob!
context: Master, Senpai is about to cry, so I'm thinking about joining after all...\Don't be fooled!\Those are crocodile tears!\Bonds, memories, and friendship...\Like any of those things will disappear because a club is abolished.\No! They just don't want to lose their room, their budget\and their pointless after-school time, judging from what their club sounds like.\See through it, Mob! response:	That shady club is going down because it's meant to go down.
context: Don't be fooled!\Those are crocodile tears!\Bonds, memories, and friendship...\Like any of those things will disappear because a club is abolished.\No! They just don't want to lose their room, their budget\and their pointless after-school time, judging from what their club sounds like.\See through it, Mob!\That shady club is going down because it's meant to go down. response:	If you understand, hurry up and come to work!
context: Those are crocodile tears!\Bonds, memories, and friendship...\Like any of those things will disappear because a club is abolished.\No! They just don't want to lose their room, their budget\and their pointless after-school time, judging from what their club sounds like.\See through it, Mob!\That shady club is going down because it's meant to go down.\If you understand, hurry up and come to work! response:	I understand...
context: Bonds, memories, and friendship...\Like any of those things will disappear because a club is abolished.\No! They just don't want to lose their room, their budget\and their pointless after-school time, judging from what their club sounds like.\See through it, Mob!\That shady club is going down because it's meant to go down.\If you understand, hurry up and come to work!\I understand... response:	And so, I'll be leaving after all.
context: Like any of those things will disappear because a club is abolished.\No! They just don't want to lose their room, their budget\and their pointless after-school time, judging from what their club sounds like.\See through it, Mob!\That shady club is going down because it's meant to go down.\If you understand, hurry up and come to work!\I understand...\And so, I'll be leaving after all. response:	Wait! Hear me out, too!
context: No! They just don't want to lose their room, their budget\and their pointless after-school time, judging from what their club sounds like.\See through it, Mob!\That shady club is going down because it's meant to go down.\If you understand, hurry up and come to work!\I understand...\And so, I'll be leaving after all.\Wait! Hear me out, too! response:	It seems that the president seriously believes in telepathy,
context: and their pointless after-school time, judging from what their club sounds like.\See through it, Mob!\That shady club is going down because it's meant to go down.\If you understand, hurry up and come to work!\I understand...\And so, I'll be leaving after all.\Wait! Hear me out, too!\It seems that the president seriously believes in telepathy, response:	but honestly, yeah, I just want to goof off.
context: See through it, Mob!\That shady club is going down because it's meant to go down.\If you understand, hurry up and come to work!\I understand...\And so, I'll be leaving after all.\Wait! Hear me out, too!\It seems that the president seriously believes in telepathy,\but honestly, yeah, I just want to goof off. response:	But right now, we're in middle school.
context: That shady club is going down because it's meant to go down.\If you understand, hurry up and come to work!\I understand...\And so, I'll be leaving after all.\Wait! Hear me out, too!\It seems that the president seriously believes in telepathy,\but honestly, yeah, I just want to goof off.\But right now, we're in middle school. response:	This is the only time we're going to be able to goof off!
context: If you understand, hurry up and come to work!\I understand...\And so, I'll be leaving after all.\Wait! Hear me out, too!\It seems that the president seriously believes in telepathy,\but honestly, yeah, I just want to goof off.\But right now, we're in middle school.\This is the only time we're going to be able to goof off! response:	Play cards with us in this lazy little paradise we've created!
context: I understand...\And so, I'll be leaving after all.\Wait! Hear me out, too!\It seems that the president seriously believes in telepathy,\but honestly, yeah, I just want to goof off.\But right now, we're in middle school.\This is the only time we're going to be able to goof off!\Play cards with us in this lazy little paradise we've created! response:	You're not going to find a more carefree club than this.
context: And so, I'll be leaving after all.\Wait! Hear me out, too!\It seems that the president seriously believes in telepathy,\but honestly, yeah, I just want to goof off.\But right now, we're in middle school.\This is the only time we're going to be able to goof off!\Play cards with us in this lazy little paradise we've created!\You're not going to find a more carefree club than this. response:	We have until tomorrow, so think it over.
context: Wait! Hear me out, too!\It seems that the president seriously believes in telepathy,\but honestly, yeah, I just want to goof off.\But right now, we're in middle school.\This is the only time we're going to be able to goof off!\Play cards with us in this lazy little paradise we've created!\You're not going to find a more carefree club than this.\We have until tomorrow, so think it over. response:	You're our last hope, Kageyama-kun!
context: It seems that the president seriously believes in telepathy,\but honestly, yeah, I just want to goof off.\But right now, we're in middle school.\This is the only time we're going to be able to goof off!\Play cards with us in this lazy little paradise we've created!\You're not going to find a more carefree club than this.\We have until tomorrow, so think it over.\You're our last hope, Kageyama-kun! response:	You properly declined, didn't you?
context: but honestly, yeah, I just want to goof off.\But right now, we're in middle school.\This is the only time we're going to be able to goof off!\Play cards with us in this lazy little paradise we've created!\You're not going to find a more carefree club than this.\We have until tomorrow, so think it over.\You're our last hope, Kageyama-kun!\You properly declined, didn't you? response:	No. I thought I'd think about it overnight.
context: But right now, we're in middle school.\This is the only time we're going to be able to goof off!\Play cards with us in this lazy little paradise we've created!\You're not going to find a more carefree club than this.\We have until tomorrow, so think it over.\You're our last hope, Kageyama-kun!\You properly declined, didn't you?\No. I thought I'd think about it overnight. response:	You shouldn't procrastinate, Mob.
context: This is the only time we're going to be able to goof off!\Play cards with us in this lazy little paradise we've created!\You're not going to find a more carefree club than this.\We have until tomorrow, so think it over.\You're our last hope, Kageyama-kun!\You properly declined, didn't you?\No. I thought I'd think about it overnight.\You shouldn't procrastinate, Mob. response:	You need to properly decline things that you don't want to do.
context: Play cards with us in this lazy little paradise we've created!\You're not going to find a more carefree club than this.\We have until tomorrow, so think it over.\You're our last hope, Kageyama-kun!\You properly declined, didn't you?\No. I thought I'd think about it overnight.\You shouldn't procrastinate, Mob.\You need to properly decline things that you don't want to do. response:	Right now, the thing I least want to do
context: You're not going to find a more carefree club than this.\We have until tomorrow, so think it over.\You're our last hope, Kageyama-kun!\You properly declined, didn't you?\No. I thought I'd think about it overnight.\You shouldn't procrastinate, Mob.\You need to properly decline things that you don't want to do.\Right now, the thing I least want to do response:	is be dressed like this.
context: We have until tomorrow, so think it over.\You're our last hope, Kageyama-kun!\You properly declined, didn't you?\No. I thought I'd think about it overnight.\You shouldn't procrastinate, Mob.\You need to properly decline things that you don't want to do.\Right now, the thing I least want to do\is be dressed like this. response:	Oh, there it is.
context: You're our last hope, Kageyama-kun!\You properly declined, didn't you?\No. I thought I'd think about it overnight.\You shouldn't procrastinate, Mob.\You need to properly decline things that you don't want to do.\Right now, the thing I least want to do\is be dressed like this.\Oh, there it is. response:	Saint Highso Girls' Academy.
context: You properly declined, didn't you?\No. I thought I'd think about it overnight.\You shouldn't procrastinate, Mob.\You need to properly decline things that you don't want to do.\Right now, the thing I least want to do\is be dressed like this.\Oh, there it is.\Saint Highso Girls' Academy. response:	It's a private all-girls high school.
context: No. I thought I'd think about it overnight.\You shouldn't procrastinate, Mob.\You need to properly decline things that you don't want to do.\Right now, the thing I least want to do\is be dressed like this.\Oh, there it is.\Saint Highso Girls' Academy.\It's a private all-girls high school. response:	We're meeting the clients up on the roof.
context: You shouldn't procrastinate, Mob.\You need to properly decline things that you don't want to do.\Right now, the thing I least want to do\is be dressed like this.\Oh, there it is.\Saint Highso Girls' Academy.\It's a private all-girls high school.\We're meeting the clients up on the roof. response:	Okay.
context: You need to properly decline things that you don't want to do.\Right now, the thing I least want to do\is be dressed like this.\Oh, there it is.\Saint Highso Girls' Academy.\It's a private all-girls high school.\We're meeting the clients up on the roof.\Okay. response:	Highso Private Girls' Academy
context: Right now, the thing I least want to do\is be dressed like this.\Oh, there it is.\Saint Highso Girls' Academy.\It's a private all-girls high school.\We're meeting the clients up on the roof.\Okay.\Highso Private Girls' Academy response:	Stop! What are you doing?
context: is be dressed like this.\Oh, there it is.\Saint Highso Girls' Academy.\It's a private all-girls high school.\We're meeting the clients up on the roof.\Okay.\Highso Private Girls' Academy\Stop! What are you doing? response:	Pardon?
context: Oh, there it is.\Saint Highso Girls' Academy.\It's a private all-girls high school.\We're meeting the clients up on the roof.\Okay.\Highso Private Girls' Academy\Stop! What are you doing?\Pardon? response:	You! I'm talking to you! Don't play dumb!
context: Saint Highso Girls' Academy.\It's a private all-girls high school.\We're meeting the clients up on the roof.\Okay.\Highso Private Girls' Academy\Stop! What are you doing?\Pardon?\You! I'm talking to you! Don't play dumb! response:	I'm a student here.
context: It's a private all-girls high school.\We're meeting the clients up on the roof.\Okay.\Highso Private Girls' Academy\Stop! What are you doing?\Pardon?\You! I'm talking to you! Don't play dumb!\I'm a student here. response:	Reporting from the front gate.
context: We're meeting the clients up on the roof.\Okay.\Highso Private Girls' Academy\Stop! What are you doing?\Pardon?\You! I'm talking to you! Don't play dumb!\I'm a student here.\Reporting from the front gate. response:	A suspicious individual showed up! Requesting backup!
context: Okay.\Highso Private Girls' Academy\Stop! What are you doing?\Pardon?\You! I'm talking to you! Don't play dumb!\I'm a student here.\Reporting from the front gate.\A suspicious individual showed up! Requesting backup! response:	Hey, that's a bit mean, isn't it?
context: Highso Private Girls' Academy\Stop! What are you doing?\Pardon?\You! I'm talking to you! Don't play dumb!\I'm a student here.\Reporting from the front gate.\A suspicious individual showed up! Requesting backup!\Hey, that's a bit mean, isn't it? response:	You perverted weirdo!
context: Stop! What are you doing?\Pardon?\You! I'm talking to you! Don't play dumb!\I'm a student here.\Reporting from the front gate.\A suspicious individual showed up! Requesting backup!\Hey, that's a bit mean, isn't it?\You perverted weirdo! response:	I knew this wouldn't work.
context: Pardon?\You! I'm talking to you! Don't play dumb!\I'm a student here.\Reporting from the front gate.\A suspicious individual showed up! Requesting backup!\Hey, that's a bit mean, isn't it?\You perverted weirdo!\I knew this wouldn't work. response:	But thank goodness that they saw through our disguises so early.
context: You! I'm talking to you! Don't play dumb!\I'm a student here.\Reporting from the front gate.\A suspicious individual showed up! Requesting backup!\Hey, that's a bit mean, isn't it?\You perverted weirdo!\I knew this wouldn't work.\But thank goodness that they saw through our disguises so early. response:	I didn't want to infiltrate the school dressed up like this.
context: I'm a student here.\Reporting from the front gate.\A suspicious individual showed up! Requesting backup!\Hey, that's a bit mean, isn't it?\You perverted weirdo!\I knew this wouldn't work.\But thank goodness that they saw through our disguises so early.\I didn't want to infiltrate the school dressed up like this. response:	That was close. Now hurry up and get away from the pervert.
context: Reporting from the front gate.\A suspicious individual showed up! Requesting backup!\Hey, that's a bit mean, isn't it?\You perverted weirdo!\I knew this wouldn't work.\But thank goodness that they saw through our disguises so early.\I didn't want to infiltrate the school dressed up like this.\That was close. Now hurry up and get away from the pervert. response:	Huh?
context: A suspicious individual showed up! Requesting backup!\Hey, that's a bit mean, isn't it?\You perverted weirdo!\I knew this wouldn't work.\But thank goodness that they saw through our disguises so early.\I didn't want to infiltrate the school dressed up like this.\That was close. Now hurry up and get away from the pervert.\Huh? response:	We'll deal with the suspicious individual.
context: Hey, that's a bit mean, isn't it?\You perverted weirdo!\I knew this wouldn't work.\But thank goodness that they saw through our disguises so early.\I didn't want to infiltrate the school dressed up like this.\That was close. Now hurry up and get away from the pervert.\Huh?\We'll deal with the suspicious individual. response:	GO
context: You perverted weirdo!\I knew this wouldn't work.\But thank goodness that they saw through our disguises so early.\I didn't want to infiltrate the school dressed up like this.\That was close. Now hurry up and get away from the pervert.\Huh?\We'll deal with the suspicious individual.\GO response:	Huh?
context: I knew this wouldn't work.\But thank goodness that they saw through our disguises so early.\I didn't want to infiltrate the school dressed up like this.\That was close. Now hurry up and get away from the pervert.\Huh?\We'll deal with the suspicious individual.\GO\Huh? response:	Progress toward Mob's Explosion: 30
context: But thank goodness that they saw through our disguises so early.\I didn't want to infiltrate the school dressed up like this.\That was close. Now hurry up and get away from the pervert.\Huh?\We'll deal with the suspicious individual.\GO\Huh?\Progress toward Mob's Explosion: 30 response:	Progress toward Mob's Explosion: 31
context: I didn't want to infiltrate the school dressed up like this.\That was close. Now hurry up and get away from the pervert.\Huh?\We'll deal with the suspicious individual.\GO\Huh?\Progress toward Mob's Explosion: 30\Progress toward Mob's Explosion: 31 response:	Progress toward Mob's Explosion: 32
context: That was close. Now hurry up and get away from the pervert.\Huh?\We'll deal with the suspicious individual.\GO\Huh?\Progress toward Mob's Explosion: 30\Progress toward Mob's Explosion: 31\Progress toward Mob's Explosion: 32 response:	Progress toward Mob's Explosion: 33
context: Huh?\We'll deal with the suspicious individual.\GO\Huh?\Progress toward Mob's Explosion: 30\Progress toward Mob's Explosion: 31\Progress toward Mob's Explosion: 32\Progress toward Mob's Explosion: 33 response:	Progress toward Mob's Explosion: 34
context: We'll deal with the suspicious individual.\GO\Huh?\Progress toward Mob's Explosion: 30\Progress toward Mob's Explosion: 31\Progress toward Mob's Explosion: 32\Progress toward Mob's Explosion: 33\Progress toward Mob's Explosion: 34 response:	Progress toward Mob's Explosion: 35
context: GO\Huh?\Progress toward Mob's Explosion: 30\Progress toward Mob's Explosion: 31\Progress toward Mob's Explosion: 32\Progress toward Mob's Explosion: 33\Progress toward Mob's Explosion: 34\Progress toward Mob's Explosion: 35 response:	Mob Psycho 100
context: Huh?\Progress toward Mob's Explosion: 30\Progress toward Mob's Explosion: 31\Progress toward Mob's Explosion: 32\Progress toward Mob's Explosion: 33\Progress toward Mob's Explosion: 34\Progress toward Mob's Explosion: 35\Mob Psycho 100 response:	Won't I get in a lot of trouble if I'm busted?
context: Progress toward Mob's Explosion: 30\Progress toward Mob's Explosion: 31\Progress toward Mob's Explosion: 32\Progress toward Mob's Explosion: 33\Progress toward Mob's Explosion: 34\Progress toward Mob's Explosion: 35\Mob Psycho 100\Won't I get in a lot of trouble if I'm busted? response:	He said we were meeting on the roof, but...
context: Progress toward Mob's Explosion: 31\Progress toward Mob's Explosion: 32\Progress toward Mob's Explosion: 33\Progress toward Mob's Explosion: 34\Progress toward Mob's Explosion: 35\Mob Psycho 100\Won't I get in a lot of trouble if I'm busted?\He said we were meeting on the roof, but... response:	Um, hello.
context: Progress toward Mob's Explosion: 32\Progress toward Mob's Explosion: 33\Progress toward Mob's Explosion: 34\Progress toward Mob's Explosion: 35\Mob Psycho 100\Won't I get in a lot of trouble if I'm busted?\He said we were meeting on the roof, but...\Um, hello. response:	I've come from the consultation office. Are you the clients?
context: Progress toward Mob's Explosion: 33\Progress toward Mob's Explosion: 34\Progress toward Mob's Explosion: 35\Mob Psycho 100\Won't I get in a lot of trouble if I'm busted?\He said we were meeting on the roof, but...\Um, hello.\I've come from the consultation office. Are you the clients? response:	Huh? Who the hell are you?
context: Progress toward Mob's Explosion: 34\Progress toward Mob's Explosion: 35\Mob Psycho 100\Won't I get in a lot of trouble if I'm busted?\He said we were meeting on the roof, but...\Um, hello.\I've come from the consultation office. Are you the clients?\Huh? Who the hell are you? response:	An unfamiliar face. You a transfer student?
context: Progress toward Mob's Explosion: 35\Mob Psycho 100\Won't I get in a lot of trouble if I'm busted?\He said we were meeting on the roof, but...\Um, hello.\I've come from the consultation office. Are you the clients?\Huh? Who the hell are you?\An unfamiliar face. You a transfer student? response:	Huh?
context: Mob Psycho 100\Won't I get in a lot of trouble if I'm busted?\He said we were meeting on the roof, but...\Um, hello.\I've come from the consultation office. Are you the clients?\Huh? Who the hell are you?\An unfamiliar face. You a transfer student?\Huh? response:	Consultation office?
context: Won't I get in a lot of trouble if I'm busted?\He said we were meeting on the roof, but...\Um, hello.\I've come from the consultation office. Are you the clients?\Huh? Who the hell are you?\An unfamiliar face. You a transfer student?\Huh?\Consultation office? response:	You trying to get through to us thugs?
context: He said we were meeting on the roof, but...\Um, hello.\I've come from the consultation office. Are you the clients?\Huh? Who the hell are you?\An unfamiliar face. You a transfer student?\Huh?\Consultation office?\You trying to get through to us thugs? response:	So annoying!
context: Um, hello.\I've come from the consultation office. Are you the clients?\Huh? Who the hell are you?\An unfamiliar face. You a transfer student?\Huh?\Consultation office?\You trying to get through to us thugs?\So annoying! response:	Like we're going to let some twerp like you lecture us!
context: I've come from the consultation office. Are you the clients?\Huh? Who the hell are you?\An unfamiliar face. You a transfer student?\Huh?\Consultation office?\You trying to get through to us thugs?\So annoying!\Like we're going to let some twerp like you lecture us! response:	No, I'm just
context: Huh? Who the hell are you?\An unfamiliar face. You a transfer student?\Huh?\Consultation office?\You trying to get through to us thugs?\So annoying!\Like we're going to let some twerp like you lecture us!\No, I'm just response:	Why don't you mind your own business?!
context: An unfamiliar face. You a transfer student?\Huh?\Consultation office?\You trying to get through to us thugs?\So annoying!\Like we're going to let some twerp like you lecture us!\No, I'm just\Why don't you mind your own business?! response:	If you don't, you're going to regret it!
context: Huh?\Consultation office?\You trying to get through to us thugs?\So annoying!\Like we're going to let some twerp like you lecture us!\No, I'm just\Why don't you mind your own business?!\If you don't, you're going to regret it! response:	Sorry about that...
context: Consultation office?\You trying to get through to us thugs?\So annoying!\Like we're going to let some twerp like you lecture us!\No, I'm just\Why don't you mind your own business?!\If you don't, you're going to regret it!\Sorry about that... response:	Man, talk about a downer. Let's go.
context: You trying to get through to us thugs?\So annoying!\Like we're going to let some twerp like you lecture us!\No, I'm just\Why don't you mind your own business?!\If you don't, you're going to regret it!\Sorry about that...\Man, talk about a downer. Let's go. response:	Hmph!
context: So annoying!\Like we're going to let some twerp like you lecture us!\No, I'm just\Why don't you mind your own business?!\If you don't, you're going to regret it!\Sorry about that...\Man, talk about a downer. Let's go.\Hmph! response:	Hello?
context: Like we're going to let some twerp like you lecture us!\No, I'm just\Why don't you mind your own business?!\If you don't, you're going to regret it!\Sorry about that...\Man, talk about a downer. Let's go.\Hmph!\Hello? response:	You promptly got picked on by thugs. How funny.
context: No, I'm just\Why don't you mind your own business?!\If you don't, you're going to regret it!\Sorry about that...\Man, talk about a downer. Let's go.\Hmph!\Hello?\You promptly got picked on by thugs. How funny. response:	Chihiro
context: Why don't you mind your own business?!\If you don't, you're going to regret it!\Sorry about that...\Man, talk about a downer. Let's go.\Hmph!\Hello?\You promptly got picked on by thugs. How funny.\Chihiro response:	Mari
context: If you don't, you're going to regret it!\Sorry about that...\Man, talk about a downer. Let's go.\Hmph!\Hello?\You promptly got picked on by thugs. How funny.\Chihiro\Mari response:	We're your clients.
context: Sorry about that...\Man, talk about a downer. Let's go.\Hmph!\Hello?\You promptly got picked on by thugs. How funny.\Chihiro\Mari\We're your clients. response:	Isn't that Reigen guy coming?
context: Man, talk about a downer. Let's go.\Hmph!\Hello?\You promptly got picked on by thugs. How funny.\Chihiro\Mari\We're your clients.\Isn't that Reigen guy coming? response:	He was caught at the front gate.
context: Hmph!\Hello?\You promptly got picked on by thugs. How funny.\Chihiro\Mari\We're your clients.\Isn't that Reigen guy coming?\He was caught at the front gate. response:	Also, you both came here dressed as girls? Seriously?
context: Hello?\You promptly got picked on by thugs. How funny.\Chihiro\Mari\We're your clients.\Isn't that Reigen guy coming?\He was caught at the front gate.\Also, you both came here dressed as girls? Seriously? response:	He couldn't get us permission to come in, so we didn't have a choice...
context: You promptly got picked on by thugs. How funny.\Chihiro\Mari\We're your clients.\Isn't that Reigen guy coming?\He was caught at the front gate.\Also, you both came here dressed as girls? Seriously?\He couldn't get us permission to come in, so we didn't have a choice... response:	I see.
context: Chihiro\Mari\We're your clients.\Isn't that Reigen guy coming?\He was caught at the front gate.\Also, you both came here dressed as girls? Seriously?\He couldn't get us permission to come in, so we didn't have a choice...\I see. response:	Sorry to make you go through all that.
context: Mari\We're your clients.\Isn't that Reigen guy coming?\He was caught at the front gate.\Also, you both came here dressed as girls? Seriously?\He couldn't get us permission to come in, so we didn't have a choice...\I see.\Sorry to make you go through all that. response:	The school just refuses to take us seriously.
context: We're your clients.\Isn't that Reigen guy coming?\He was caught at the front gate.\Also, you both came here dressed as girls? Seriously?\He couldn't get us permission to come in, so we didn't have a choice...\I see.\Sorry to make you go through all that.\The school just refuses to take us seriously. response:	What did you tell them?
context: Isn't that Reigen guy coming?\He was caught at the front gate.\Also, you both came here dressed as girls? Seriously?\He couldn't get us permission to come in, so we didn't have a choice...\I see.\Sorry to make you go through all that.\The school just refuses to take us seriously.\What did you tell them? response:	Students' belongings have been disappearing under mysterious circumstances,
context: He was caught at the front gate.\Also, you both came here dressed as girls? Seriously?\He couldn't get us permission to come in, so we didn't have a choice...\I see.\Sorry to make you go through all that.\The school just refuses to take us seriously.\What did you tell them?\Students' belongings have been disappearing under mysterious circumstances, response:	and we've been hearing weird noises...
context: Also, you both came here dressed as girls? Seriously?\He couldn't get us permission to come in, so we didn't have a choice...\I see.\Sorry to make you go through all that.\The school just refuses to take us seriously.\What did you tell them?\Students' belongings have been disappearing under mysterious circumstances,\and we've been hearing weird noises... response:	What do you call it, a poltergeist phenomenon?
context: He couldn't get us permission to come in, so we didn't have a choice...\I see.\Sorry to make you go through all that.\The school just refuses to take us seriously.\What did you tell them?\Students' belongings have been disappearing under mysterious circumstances,\and we've been hearing weird noises...\What do you call it, a poltergeist phenomenon? response:	We heard things have been spotted floating through the air, too.
context: I see.\Sorry to make you go through all that.\The school just refuses to take us seriously.\What did you tell them?\Students' belongings have been disappearing under mysterious circumstances,\and we've been hearing weird noises...\What do you call it, a poltergeist phenomenon?\We heard things have been spotted floating through the air, too. response:	Right. Apparently a bra started floating around on its own in the locker room.
context: Sorry to make you go through all that.\The school just refuses to take us seriously.\What did you tell them?\Students' belongings have been disappearing under mysterious circumstances,\and we've been hearing weird noises...\What do you call it, a poltergeist phenomenon?\We heard things have been spotted floating through the air, too.\Right. Apparently a bra started floating around on its own in the locker room. response:	Bra...?
context: The school just refuses to take us seriously.\What did you tell them?\Students' belongings have been disappearing under mysterious circumstances,\and we've been hearing weird noises...\What do you call it, a poltergeist phenomenon?\We heard things have been spotted floating through the air, too.\Right. Apparently a bra started floating around on its own in the locker room.\Bra...? response:	We're dead sure it has to be something supernatural.
context: What did you tell them?\Students' belongings have been disappearing under mysterious circumstances,\and we've been hearing weird noises...\What do you call it, a poltergeist phenomenon?\We heard things have been spotted floating through the air, too.\Right. Apparently a bra started floating around on its own in the locker room.\Bra...?\We're dead sure it has to be something supernatural. response:	So we just called the cheapest exorcist in the area
context: Students' belongings have been disappearing under mysterious circumstances,\and we've been hearing weird noises...\What do you call it, a poltergeist phenomenon?\We heard things have been spotted floating through the air, too.\Right. Apparently a bra started floating around on its own in the locker room.\Bra...?\We're dead sure it has to be something supernatural.\So we just called the cheapest exorcist in the area response:	and somehow ended up with you.
context: and we've been hearing weird noises...\What do you call it, a poltergeist phenomenon?\We heard things have been spotted floating through the air, too.\Right. Apparently a bra started floating around on its own in the locker room.\Bra...?\We're dead sure it has to be something supernatural.\So we just called the cheapest exorcist in the area\and somehow ended up with you. response:	Huh?
context: What do you call it, a poltergeist phenomenon?\We heard things have been spotted floating through the air, too.\Right. Apparently a bra started floating around on its own in the locker room.\Bra...?\We're dead sure it has to be something supernatural.\So we just called the cheapest exorcist in the area\and somehow ended up with you.\Huh? response:	You're a guy, but you were trembling so much dealing with some high school girls.
context: We heard things have been spotted floating through the air, too.\Right. Apparently a bra started floating around on its own in the locker room.\Bra...?\We're dead sure it has to be something supernatural.\So we just called the cheapest exorcist in the area\and somehow ended up with you.\Huh?\You're a guy, but you were trembling so much dealing with some high school girls. response:	You must be quite the reliable gentleman.
context: Right. Apparently a bra started floating around on its own in the locker room.\Bra...?\We're dead sure it has to be something supernatural.\So we just called the cheapest exorcist in the area\and somehow ended up with you.\Huh?\You're a guy, but you were trembling so much dealing with some high school girls.\You must be quite the reliable gentleman. response:	Th-Thank you...
context: Bra...?\We're dead sure it has to be something supernatural.\So we just called the cheapest exorcist in the area\and somehow ended up with you.\Huh?\You're a guy, but you were trembling so much dealing with some high school girls.\You must be quite the reliable gentleman.\Th-Thank you... response:	That was sarcasm, duh! She wasn't complimenting you!
context: We're dead sure it has to be something supernatural.\So we just called the cheapest exorcist in the area\and somehow ended up with you.\Huh?\You're a guy, but you were trembling so much dealing with some high school girls.\You must be quite the reliable gentleman.\Th-Thank you...\That was sarcasm, duh! She wasn't complimenting you! response:	Are you sure we can trust you?
context: So we just called the cheapest exorcist in the area\and somehow ended up with you.\Huh?\You're a guy, but you were trembling so much dealing with some high school girls.\You must be quite the reliable gentleman.\Th-Thank you...\That was sarcasm, duh! She wasn't complimenting you!\Are you sure we can trust you? response:	I have my doubts.
context: and somehow ended up with you.\Huh?\You're a guy, but you were trembling so much dealing with some high school girls.\You must be quite the reliable gentleman.\Th-Thank you...\That was sarcasm, duh! She wasn't complimenting you!\Are you sure we can trust you?\I have my doubts. response:	You seem unreliable.
context: Huh?\You're a guy, but you were trembling so much dealing with some high school girls.\You must be quite the reliable gentleman.\Th-Thank you...\That was sarcasm, duh! She wasn't complimenting you!\Are you sure we can trust you?\I have my doubts.\You seem unreliable. response:	What?
context: You're a guy, but you were trembling so much dealing with some high school girls.\You must be quite the reliable gentleman.\Th-Thank you...\That was sarcasm, duh! She wasn't complimenting you!\Are you sure we can trust you?\I have my doubts.\You seem unreliable.\What? response:	What's wrong?
context: You must be quite the reliable gentleman.\Th-Thank you...\That was sarcasm, duh! She wasn't complimenting you!\Are you sure we can trust you?\I have my doubts.\You seem unreliable.\What?\What's wrong? response:	I-It's fine...
context: Th-Thank you...\That was sarcasm, duh! She wasn't complimenting you!\Are you sure we can trust you?\I have my doubts.\You seem unreliable.\What?\What's wrong?\I-It's fine... response:	I just have to perform an exorcism.
context: That was sarcasm, duh! She wasn't complimenting you!\Are you sure we can trust you?\I have my doubts.\You seem unreliable.\What?\What's wrong?\I-It's fine...\I just have to perform an exorcism. response:	If you feel anything spiritual, let us know.
context: Are you sure we can trust you?\I have my doubts.\You seem unreliable.\What?\What's wrong?\I-It's fine...\I just have to perform an exorcism.\If you feel anything spiritual, let us know. response:	Right.
context: I have my doubts.\You seem unreliable.\What?\What's wrong?\I-It's fine...\I just have to perform an exorcism.\If you feel anything spiritual, let us know.\Right. response:	Well? Do you sense anything?
context: You seem unreliable.\What?\What's wrong?\I-It's fine...\I just have to perform an exorcism.\If you feel anything spiritual, let us know.\Right.\Well? Do you sense anything? response:	Just slightly...
context: What?\What's wrong?\I-It's fine...\I just have to perform an exorcism.\If you feel anything spiritual, let us know.\Right.\Well? Do you sense anything?\Just slightly... response:	I wonder if he's being serious...
context: What's wrong?\I-It's fine...\I just have to perform an exorcism.\If you feel anything spiritual, let us know.\Right.\Well? Do you sense anything?\Just slightly...\I wonder if he's being serious... response:	It's here. Nearby.
context: I-It's fine...\I just have to perform an exorcism.\If you feel anything spiritual, let us know.\Right.\Well? Do you sense anything?\Just slightly...\I wonder if he's being serious...\It's here. Nearby. response:	Huh? Really?!
context: I just have to perform an exorcism.\If you feel anything spiritual, let us know.\Right.\Well? Do you sense anything?\Just slightly...\I wonder if he's being serious...\It's here. Nearby.\Huh? Really?! response:	Someone!
context: If you feel anything spiritual, let us know.\Right.\Well? Do you sense anything?\Just slightly...\I wonder if he's being serious...\It's here. Nearby.\Huh? Really?!\Someone! response:	What's wrong?
context: Right.\Well? Do you sense anything?\Just slightly...\I wonder if he's being serious...\It's here. Nearby.\Huh? Really?!\Someone!\What's wrong? response:	Something was here...
context: Well? Do you sense anything?\Just slightly...\I wonder if he's being serious...\It's here. Nearby.\Huh? Really?!\Someone!\What's wrong?\Something was here... response:	Something was looking in from the top of the door...
