context: The Third Plate response:	Nine
context: I don't think we need to kick them out of the Elite Ten! Why?\Well, Kobayashi Rindo was the lone protest.\You aren't forcing Nakiri Erina, your daughter, to step down?\She will eventually return to my side.\I am certain that she will join me in my cause.\Well, thanks to you, we're going to be very busy.\With Shokugeki?\That's right. response:	You worked behind the scenes, reaching out to relevant parties
context: Well, Kobayashi Rindo was the lone protest.\You aren't forcing Nakiri Erina, your daughter, to step down?\She will eventually return to my side.\I am certain that she will join me in my cause.\Well, thanks to you, we're going to be very busy.\With Shokugeki?\That's right.\You worked behind the scenes, reaching out to relevant parties response:	to lay the groundwork for these new rules we must now follow.
context: You aren't forcing Nakiri Erina, your daughter, to step down?\She will eventually return to my side.\I am certain that she will join me in my cause.\Well, thanks to you, we're going to be very busy.\With Shokugeki?\That's right.\You worked behind the scenes, reaching out to relevant parties\to lay the groundwork for these new rules we must now follow. response:	We must allow organizations who wish to overturn our closure directive
context: She will eventually return to my side.\I am certain that she will join me in my cause.\Well, thanks to you, we're going to be very busy.\With Shokugeki?\That's right.\You worked behind the scenes, reaching out to relevant parties\to lay the groundwork for these new rules we must now follow.\We must allow organizations who wish to overturn our closure directive response:	to face my pride and joy, the soldiers of Central.
context: I am certain that she will join me in my cause.\Well, thanks to you, we're going to be very busy.\With Shokugeki?\That's right.\You worked behind the scenes, reaching out to relevant parties\to lay the groundwork for these new rules we must now follow.\We must allow organizations who wish to overturn our closure directive\to face my pride and joy, the soldiers of Central. response:	Rules Concerning Shokugeki involving Organizations Opposing the Azami Organization,
context: Well, thanks to you, we're going to be very busy.\With Shokugeki?\That's right.\You worked behind the scenes, reaching out to relevant parties\to lay the groundwork for these new rules we must now follow.\We must allow organizations who wish to overturn our closure directive\to face my pride and joy, the soldiers of Central.\Rules Concerning Shokugeki involving Organizations Opposing the Azami Organization, response:	also known as the Isshiki Rules.
context: With Shokugeki?\That's right.\You worked behind the scenes, reaching out to relevant parties\to lay the groundwork for these new rules we must now follow.\We must allow organizations who wish to overturn our closure directive\to face my pride and joy, the soldiers of Central.\Rules Concerning Shokugeki involving Organizations Opposing the Azami Organization,\also known as the Isshiki Rules. response:	Who names stuff after himself?
context: That's right.\You worked behind the scenes, reaching out to relevant parties\to lay the groundwork for these new rules we must now follow.\We must allow organizations who wish to overturn our closure directive\to face my pride and joy, the soldiers of Central.\Rules Concerning Shokugeki involving Organizations Opposing the Azami Organization,\also known as the Isshiki Rules.\Who names stuff after himself? response:	That's kind of annoying.
context: You worked behind the scenes, reaching out to relevant parties\to lay the groundwork for these new rules we must now follow.\We must allow organizations who wish to overturn our closure directive\to face my pride and joy, the soldiers of Central.\Rules Concerning Shokugeki involving Organizations Opposing the Azami Organization,\also known as the Isshiki Rules.\Who names stuff after himself?\That's kind of annoying. response:	Still, because Isshiki clarified that Central cannot contact judges,
context: to lay the groundwork for these new rules we must now follow.\We must allow organizations who wish to overturn our closure directive\to face my pride and joy, the soldiers of Central.\Rules Concerning Shokugeki involving Organizations Opposing the Azami Organization,\also known as the Isshiki Rules.\Who names stuff after himself?\That's kind of annoying.\Still, because Isshiki clarified that Central cannot contact judges, response:	the legitimacy of their ruling has been established.
context: We must allow organizations who wish to overturn our closure directive\to face my pride and joy, the soldiers of Central.\Rules Concerning Shokugeki involving Organizations Opposing the Azami Organization,\also known as the Isshiki Rules.\Who names stuff after himself?\That's kind of annoying.\Still, because Isshiki clarified that Central cannot contact judges,\the legitimacy of their ruling has been established. response:	Of course, I was against rigged matches in the first place.
context: to face my pride and joy, the soldiers of Central.\Rules Concerning Shokugeki involving Organizations Opposing the Azami Organization,\also known as the Isshiki Rules.\Who names stuff after himself?\That's kind of annoying.\Still, because Isshiki clarified that Central cannot contact judges,\the legitimacy of their ruling has been established.\Of course, I was against rigged matches in the first place. response:	There's a clause requiring Central to accept any Shokugeki challenge
context: Rules Concerning Shokugeki involving Organizations Opposing the Azami Organization,\also known as the Isshiki Rules.\Who names stuff after himself?\That's kind of annoying.\Still, because Isshiki clarified that Central cannot contact judges,\the legitimacy of their ruling has been established.\Of course, I was against rigged matches in the first place.\There's a clause requiring Central to accept any Shokugeki challenge response:	that involves overturning the organization's closure, too.
context: also known as the Isshiki Rules.\Who names stuff after himself?\That's kind of annoying.\Still, because Isshiki clarified that Central cannot contact judges,\the legitimacy of their ruling has been established.\Of course, I was against rigged matches in the first place.\There's a clause requiring Central to accept any Shokugeki challenge\that involves overturning the organization's closure, too. response:	Isshiki's pretty thorough.
context: Who names stuff after himself?\That's kind of annoying.\Still, because Isshiki clarified that Central cannot contact judges,\the legitimacy of their ruling has been established.\Of course, I was against rigged matches in the first place.\There's a clause requiring Central to accept any Shokugeki challenge\that involves overturning the organization's closure, too.\Isshiki's pretty thorough. response:	It's also annoying that this forces us to face subpar opponents.
context: That's kind of annoying.\Still, because Isshiki clarified that Central cannot contact judges,\the legitimacy of their ruling has been established.\Of course, I was against rigged matches in the first place.\There's a clause requiring Central to accept any Shokugeki challenge\that involves overturning the organization's closure, too.\Isshiki's pretty thorough.\It's also annoying that this forces us to face subpar opponents. response:	I was first place in overall sales at the Moon Festival.
context: Still, because Isshiki clarified that Central cannot contact judges,\the legitimacy of their ruling has been established.\Of course, I was against rigged matches in the first place.\There's a clause requiring Central to accept any Shokugeki challenge\that involves overturning the organization's closure, too.\Isshiki's pretty thorough.\It's also annoying that this forces us to face subpar opponents.\I was first place in overall sales at the Moon Festival. response:	They should just have Central win by default every time.
context: the legitimacy of their ruling has been established.\Of course, I was against rigged matches in the first place.\There's a clause requiring Central to accept any Shokugeki challenge\that involves overturning the organization's closure, too.\Isshiki's pretty thorough.\It's also annoying that this forces us to face subpar opponents.\I was first place in overall sales at the Moon Festival.\They should just have Central win by default every time. response:	You'll just have to accept this, Momo-senpai.
context: Of course, I was against rigged matches in the first place.\There's a clause requiring Central to accept any Shokugeki challenge\that involves overturning the organization's closure, too.\Isshiki's pretty thorough.\It's also annoying that this forces us to face subpar opponents.\I was first place in overall sales at the Moon Festival.\They should just have Central win by default every time.\You'll just have to accept this, Momo-senpai. response:	And Rindo-senpai, please wear the Central badge.
context: There's a clause requiring Central to accept any Shokugeki challenge\that involves overturning the organization's closure, too.\Isshiki's pretty thorough.\It's also annoying that this forces us to face subpar opponents.\I was first place in overall sales at the Moon Festival.\They should just have Central win by default every time.\You'll just have to accept this, Momo-senpai.\And Rindo-senpai, please wear the Central badge. response:	Really?
context: that involves overturning the organization's closure, too.\Isshiki's pretty thorough.\It's also annoying that this forces us to face subpar opponents.\I was first place in overall sales at the Moon Festival.\They should just have Central win by default every time.\You'll just have to accept this, Momo-senpai.\And Rindo-senpai, please wear the Central badge.\Really? response:	But that looks like it'll always get in the way.
context: Isshiki's pretty thorough.\It's also annoying that this forces us to face subpar opponents.\I was first place in overall sales at the Moon Festival.\They should just have Central win by default every time.\You'll just have to accept this, Momo-senpai.\And Rindo-senpai, please wear the Central badge.\Really?\But that looks like it'll always get in the way. response:	Don't really me, please.
context: It's also annoying that this forces us to face subpar opponents.\I was first place in overall sales at the Moon Festival.\They should just have Central win by default every time.\You'll just have to accept this, Momo-senpai.\And Rindo-senpai, please wear the Central badge.\Really?\But that looks like it'll always get in the way.\Don't really me, please. response:	But, but...
context: I was first place in overall sales at the Moon Festival.\They should just have Central win by default every time.\You'll just have to accept this, Momo-senpai.\And Rindo-senpai, please wear the Central badge.\Really?\But that looks like it'll always get in the way.\Don't really me, please.\But, but... response:	Don't but, but me, please.
context: They should just have Central win by default every time.\You'll just have to accept this, Momo-senpai.\And Rindo-senpai, please wear the Central badge.\Really?\But that looks like it'll always get in the way.\Don't really me, please.\But, but...\Don't but, but me, please. response:	Okay.
context: You'll just have to accept this, Momo-senpai.\And Rindo-senpai, please wear the Central badge.\Really?\But that looks like it'll always get in the way.\Don't really me, please.\But, but...\Don't but, but me, please.\Okay. response:	The rest of you should put your badges on, too, before Nene gets mad at you.
context: And Rindo-senpai, please wear the Central badge.\Really?\But that looks like it'll always get in the way.\Don't really me, please.\But, but...\Don't but, but me, please.\Okay.\The rest of you should put your badges on, too, before Nene gets mad at you. response:	No need to tell me twice.
context: Really?\But that looks like it'll always get in the way.\Don't really me, please.\But, but...\Don't but, but me, please.\Okay.\The rest of you should put your badges on, too, before Nene gets mad at you.\No need to tell me twice. response:	Well, let's get going, then.
context: But that looks like it'll always get in the way.\Don't really me, please.\But, but...\Don't but, but me, please.\Okay.\The rest of you should put your badges on, too, before Nene gets mad at you.\No need to tell me twice.\Well, let's get going, then. response:	It's time to start hunting the survivors.
context: Don't really me, please.\But, but...\Don't but, but me, please.\Okay.\The rest of you should put your badges on, too, before Nene gets mad at you.\No need to tell me twice.\Well, let's get going, then.\It's time to start hunting the survivors. response:	Hunting the survivors?
context: But, but...\Don't but, but me, please.\Okay.\The rest of you should put your badges on, too, before Nene gets mad at you.\No need to tell me twice.\Well, let's get going, then.\It's time to start hunting the survivors.\Hunting the survivors? response:	That's what Central's calling Shokugeki matches with
context: Don't but, but me, please.\Okay.\The rest of you should put your badges on, too, before Nene gets mad at you.\No need to tell me twice.\Well, let's get going, then.\It's time to start hunting the survivors.\Hunting the survivors?\That's what Central's calling Shokugeki matches with response:	organizations that want to survive.
context: Okay.\The rest of you should put your badges on, too, before Nene gets mad at you.\No need to tell me twice.\Well, let's get going, then.\It's time to start hunting the survivors.\Hunting the survivors?\That's what Central's calling Shokugeki matches with\organizations that want to survive. response:	The first set's happening today.
context: The rest of you should put your badges on, too, before Nene gets mad at you.\No need to tell me twice.\Well, let's get going, then.\It's time to start hunting the survivors.\Hunting the survivors?\That's what Central's calling Shokugeki matches with\organizations that want to survive.\The first set's happening today. response:	They're not trying to sugarcoat it, huh.
context: No need to tell me twice.\Well, let's get going, then.\It's time to start hunting the survivors.\Hunting the survivors?\That's what Central's calling Shokugeki matches with\organizations that want to survive.\The first set's happening today.\They're not trying to sugarcoat it, huh. response:	Students from Central will be participating in the matches.
context: Well, let's get going, then.\It's time to start hunting the survivors.\Hunting the survivors?\That's what Central's calling Shokugeki matches with\organizations that want to survive.\The first set's happening today.\They're not trying to sugarcoat it, huh.\Students from Central will be participating in the matches. response:	Yeah.
context: It's time to start hunting the survivors.\Hunting the survivors?\That's what Central's calling Shokugeki matches with\organizations that want to survive.\The first set's happening today.\They're not trying to sugarcoat it, huh.\Students from Central will be participating in the matches.\Yeah. response:	The pro-Azami Elite Ten will be a given,
context: Hunting the survivors?\That's what Central's calling Shokugeki matches with\organizations that want to survive.\The first set's happening today.\They're not trying to sugarcoat it, huh.\Students from Central will be participating in the matches.\Yeah.\The pro-Azami Elite Ten will be a given, response:	Academy Director Elite Ten General Student Population (Pro-Azami Administration) (Anti-Azami Administration)
context: That's what Central's calling Shokugeki matches with\organizations that want to survive.\The first set's happening today.\They're not trying to sugarcoat it, huh.\Students from Central will be participating in the matches.\Yeah.\The pro-Azami Elite Ten will be a given,\Academy Director Elite Ten General Student Population (Pro-Azami Administration) (Anti-Azami Administration) response:	and the rest are high performers who could
context: organizations that want to survive.\The first set's happening today.\They're not trying to sugarcoat it, huh.\Students from Central will be participating in the matches.\Yeah.\The pro-Azami Elite Ten will be a given,\Academy Director Elite Ten General Student Population (Pro-Azami Administration) (Anti-Azami Administration)\and the rest are high performers who could response:	be called the Elite Ten's reserves.
context: The first set's happening today.\They're not trying to sugarcoat it, huh.\Students from Central will be participating in the matches.\Yeah.\The pro-Azami Elite Ten will be a given,\Academy Director Elite Ten General Student Population (Pro-Azami Administration) (Anti-Azami Administration)\and the rest are high performers who could\be called the Elite Ten's reserves. response:	The Elite Ten's reserve troops, huh?
context: They're not trying to sugarcoat it, huh.\Students from Central will be participating in the matches.\Yeah.\The pro-Azami Elite Ten will be a given,\Academy Director Elite Ten General Student Population (Pro-Azami Administration) (Anti-Azami Administration)\and the rest are high performers who could\be called the Elite Ten's reserves.\The Elite Ten's reserve troops, huh? response:	I want to check them out.
context: Students from Central will be participating in the matches.\Yeah.\The pro-Azami Elite Ten will be a given,\Academy Director Elite Ten General Student Population (Pro-Azami Administration) (Anti-Azami Administration)\and the rest are high performers who could\be called the Elite Ten's reserves.\The Elite Ten's reserve troops, huh?\I want to check them out. response:	Huh?!
context: Yeah.\The pro-Azami Elite Ten will be a given,\Academy Director Elite Ten General Student Population (Pro-Azami Administration) (Anti-Azami Administration)\and the rest are high performers who could\be called the Elite Ten's reserves.\The Elite Ten's reserve troops, huh?\I want to check them out.\Huh?! response:	You'd better not be thinking of doing something again.
context: The pro-Azami Elite Ten will be a given,\Academy Director Elite Ten General Student Population (Pro-Azami Administration) (Anti-Azami Administration)\and the rest are high performers who could\be called the Elite Ten's reserves.\The Elite Ten's reserve troops, huh?\I want to check them out.\Huh?!\You'd better not be thinking of doing something again. response:	No more going off on your own!
context: Academy Director Elite Ten General Student Population (Pro-Azami Administration) (Anti-Azami Administration)\and the rest are high performers who could\be called the Elite Ten's reserves.\The Elite Ten's reserve troops, huh?\I want to check them out.\Huh?!\You'd better not be thinking of doing something again.\No more going off on your own! response:	If you're going to watch the Shokugeki, I'll go with you.
context: and the rest are high performers who could\be called the Elite Ten's reserves.\The Elite Ten's reserve troops, huh?\I want to check them out.\Huh?!\You'd better not be thinking of doing something again.\No more going off on your own!\If you're going to watch the Shokugeki, I'll go with you. response:	I'd be too worried if I let you go by yourself!
context: be called the Elite Ten's reserves.\The Elite Ten's reserve troops, huh?\I want to check them out.\Huh?!\You'd better not be thinking of doing something again.\No more going off on your own!\If you're going to watch the Shokugeki, I'll go with you.\I'd be too worried if I let you go by yourself! response:	I guess it'll be fine if Takumi-cchi goes with him.
context: The Elite Ten's reserve troops, huh?\I want to check them out.\Huh?!\You'd better not be thinking of doing something again.\No more going off on your own!\If you're going to watch the Shokugeki, I'll go with you.\I'd be too worried if I let you go by yourself!\I guess it'll be fine if Takumi-cchi goes with him. response:	I mean, he's basically always at the dorm.
context: I want to check them out.\Huh?!\You'd better not be thinking of doing something again.\No more going off on your own!\If you're going to watch the Shokugeki, I'll go with you.\I'd be too worried if I let you go by yourself!\I guess it'll be fine if Takumi-cchi goes with him.\I mean, he's basically always at the dorm. response:	Yeah, let's go.
context: Huh?!\You'd better not be thinking of doing something again.\No more going off on your own!\If you're going to watch the Shokugeki, I'll go with you.\I'd be too worried if I let you go by yourself!\I guess it'll be fine if Takumi-cchi goes with him.\I mean, he's basically always at the dorm.\Yeah, let's go. response:	It's just for scouting purposes, understand?
context: You'd better not be thinking of doing something again.\No more going off on your own!\If you're going to watch the Shokugeki, I'll go with you.\I'd be too worried if I let you go by yourself!\I guess it'll be fine if Takumi-cchi goes with him.\I mean, he's basically always at the dorm.\Yeah, let's go.\It's just for scouting purposes, understand? response:	I-I want to go, too!
context: No more going off on your own!\If you're going to watch the Shokugeki, I'll go with you.\I'd be too worried if I let you go by yourself!\I guess it'll be fine if Takumi-cchi goes with him.\I mean, he's basically always at the dorm.\Yeah, let's go.\It's just for scouting purposes, understand?\I-I want to go, too! response:	I'm sure Regional Cooking RS will also be having a Shokugeki.
context: If you're going to watch the Shokugeki, I'll go with you.\I'd be too worried if I let you go by yourself!\I guess it'll be fine if Takumi-cchi goes with him.\I mean, he's basically always at the dorm.\Yeah, let's go.\It's just for scouting purposes, understand?\I-I want to go, too!\I'm sure Regional Cooking RS will also be having a Shokugeki. response:	True. My Miyazato Research Group will be fighting the same foe.
context: I'd be too worried if I let you go by yourself!\I guess it'll be fine if Takumi-cchi goes with him.\I mean, he's basically always at the dorm.\Yeah, let's go.\It's just for scouting purposes, understand?\I-I want to go, too!\I'm sure Regional Cooking RS will also be having a Shokugeki.\True. My Miyazato Research Group will be fighting the same foe. response:	Watching the matches wouldn't be a waste of time.
context: I guess it'll be fine if Takumi-cchi goes with him.\I mean, he's basically always at the dorm.\Yeah, let's go.\It's just for scouting purposes, understand?\I-I want to go, too!\I'm sure Regional Cooking RS will also be having a Shokugeki.\True. My Miyazato Research Group will be fighting the same foe.\Watching the matches wouldn't be a waste of time. response:	There's supposed to be three separate arenas.
context: I mean, he's basically always at the dorm.\Yeah, let's go.\It's just for scouting purposes, understand?\I-I want to go, too!\I'm sure Regional Cooking RS will also be having a Shokugeki.\True. My Miyazato Research Group will be fighting the same foe.\Watching the matches wouldn't be a waste of time.\There's supposed to be three separate arenas. response:	Oh, then we can just all split up and cover them all.
context: Yeah, let's go.\It's just for scouting purposes, understand?\I-I want to go, too!\I'm sure Regional Cooking RS will also be having a Shokugeki.\True. My Miyazato Research Group will be fighting the same foe.\Watching the matches wouldn't be a waste of time.\There's supposed to be three separate arenas.\Oh, then we can just all split up and cover them all. response:	Yeah!
context: It's just for scouting purposes, understand?\I-I want to go, too!\I'm sure Regional Cooking RS will also be having a Shokugeki.\True. My Miyazato Research Group will be fighting the same foe.\Watching the matches wouldn't be a waste of time.\There's supposed to be three separate arenas.\Oh, then we can just all split up and cover them all.\Yeah! response:	Let's do that.
context: I-I want to go, too!\I'm sure Regional Cooking RS will also be having a Shokugeki.\True. My Miyazato Research Group will be fighting the same foe.\Watching the matches wouldn't be a waste of time.\There's supposed to be three separate arenas.\Oh, then we can just all split up and cover them all.\Yeah!\Let's do that. response:	Hall A Group
context: I'm sure Regional Cooking RS will also be having a Shokugeki.\True. My Miyazato Research Group will be fighting the same foe.\Watching the matches wouldn't be a waste of time.\There's supposed to be three separate arenas.\Oh, then we can just all split up and cover them all.\Yeah!\Let's do that.\Hall A Group response:	We'll be going to Hall A, then.
context: True. My Miyazato Research Group will be fighting the same foe.\Watching the matches wouldn't be a waste of time.\There's supposed to be three separate arenas.\Oh, then we can just all split up and cover them all.\Yeah!\Let's do that.\Hall A Group\We'll be going to Hall A, then. response:	Let's do our best!
context: Watching the matches wouldn't be a waste of time.\There's supposed to be three separate arenas.\Oh, then we can just all split up and cover them all.\Yeah!\Let's do that.\Hall A Group\We'll be going to Hall A, then.\Let's do our best! response:	Hall B Group
context: There's supposed to be three separate arenas.\Oh, then we can just all split up and cover them all.\Yeah!\Let's do that.\Hall A Group\We'll be going to Hall A, then.\Let's do our best!\Hall B Group response:	We'll be going to Hall B!
context: Oh, then we can just all split up and cover them all.\Yeah!\Let's do that.\Hall A Group\We'll be going to Hall A, then.\Let's do our best!\Hall B Group\We'll be going to Hall B! response:	I'll be worried about Erina-sama while we're all gone.
context: Yeah!\Let's do that.\Hall A Group\We'll be going to Hall A, then.\Let's do our best!\Hall B Group\We'll be going to Hall B!\I'll be worried about Erina-sama while we're all gone. response:	Nakiri-chan will be fine.
context: Let's do that.\Hall A Group\We'll be going to Hall A, then.\Let's do our best!\Hall B Group\We'll be going to Hall B!\I'll be worried about Erina-sama while we're all gone.\Nakiri-chan will be fine. response:	Fumio-san will still be here.
context: Hall A Group\We'll be going to Hall A, then.\Let's do our best!\Hall B Group\We'll be going to Hall B!\I'll be worried about Erina-sama while we're all gone.\Nakiri-chan will be fine.\Fumio-san will still be here. response:	Hey!
context: We'll be going to Hall A, then.\Let's do our best!\Hall B Group\We'll be going to Hall B!\I'll be worried about Erina-sama while we're all gone.\Nakiri-chan will be fine.\Fumio-san will still be here.\Hey! response:	Don't call her Nakiri-chan!
context: Let's do our best!\Hall B Group\We'll be going to Hall B!\I'll be worried about Erina-sama while we're all gone.\Nakiri-chan will be fine.\Fumio-san will still be here.\Hey!\Don't call her Nakiri-chan! response:	S-Sorry.
context: Hall B Group\We'll be going to Hall B!\I'll be worried about Erina-sama while we're all gone.\Nakiri-chan will be fine.\Fumio-san will still be here.\Hey!\Don't call her Nakiri-chan!\S-Sorry. response:	Hall C Group
context: We'll be going to Hall B!\I'll be worried about Erina-sama while we're all gone.\Nakiri-chan will be fine.\Fumio-san will still be here.\Hey!\Don't call her Nakiri-chan!\S-Sorry.\Hall C Group response:	All right!
context: I'll be worried about Erina-sama while we're all gone.\Nakiri-chan will be fine.\Fumio-san will still be here.\Hey!\Don't call her Nakiri-chan!\S-Sorry.\Hall C Group\All right! response:	We'll go to Hall C!
context: Nakiri-chan will be fine.\Fumio-san will still be here.\Hey!\Don't call her Nakiri-chan!\S-Sorry.\Hall C Group\All right!\We'll go to Hall C! response:	Yukihira, today is for scouting purposes only, understand?
context: Fumio-san will still be here.\Hey!\Don't call her Nakiri-chan!\S-Sorry.\Hall C Group\All right!\We'll go to Hall C!\Yukihira, today is for scouting purposes only, understand? response:	Don't take this too far.
context: Hey!\Don't call her Nakiri-chan!\S-Sorry.\Hall C Group\All right!\We'll go to Hall C!\Yukihira, today is for scouting purposes only, understand?\Don't take this too far. response:	I know, I know.
context: Don't call her Nakiri-chan!\S-Sorry.\Hall C Group\All right!\We'll go to Hall C!\Yukihira, today is for scouting purposes only, understand?\Don't take this too far.\I know, I know. response:	Hall C
context: S-Sorry.\Hall C Group\All right!\We'll go to Hall C!\Yukihira, today is for scouting purposes only, understand?\Don't take this too far.\I know, I know.\Hall C response:	Elite Ten, Fourth Seat, 3rd Year Akanegakubo Momo
context: Hall C Group\All right!\We'll go to Hall C!\Yukihira, today is for scouting purposes only, understand?\Don't take this too far.\I know, I know.\Hall C\Elite Ten, Fourth Seat, 3rd Year Akanegakubo Momo response:	Elite Ten, Ninth Seat, 2nd Year Eizan Etsuya
context: All right!\We'll go to Hall C!\Yukihira, today is for scouting purposes only, understand?\Don't take this too far.\I know, I know.\Hall C\Elite Ten, Fourth Seat, 3rd Year Akanegakubo Momo\Elite Ten, Ninth Seat, 2nd Year Eizan Etsuya response:	Hunting survivors or not,
context: We'll go to Hall C!\Yukihira, today is for scouting purposes only, understand?\Don't take this too far.\I know, I know.\Hall C\Elite Ten, Fourth Seat, 3rd Year Akanegakubo Momo\Elite Ten, Ninth Seat, 2nd Year Eizan Etsuya\Hunting survivors or not, response:	Japanese Food Industry Council President Oizumi Kakinoshin
context: Yukihira, today is for scouting purposes only, understand?\Don't take this too far.\I know, I know.\Hall C\Elite Ten, Fourth Seat, 3rd Year Akanegakubo Momo\Elite Ten, Ninth Seat, 2nd Year Eizan Etsuya\Hunting survivors or not,\Japanese Food Industry Council President Oizumi Kakinoshin response:	I won't let anything detract from the fairness of this match while I still live.
context: Don't take this too far.\I know, I know.\Hall C\Elite Ten, Fourth Seat, 3rd Year Akanegakubo Momo\Elite Ten, Ninth Seat, 2nd Year Eizan Etsuya\Hunting survivors or not,\Japanese Food Industry Council President Oizumi Kakinoshin\I won't let anything detract from the fairness of this match while I still live. response:	Japan Gourmet Society Director Saotome Seishu
context: I know, I know.\Hall C\Elite Ten, Fourth Seat, 3rd Year Akanegakubo Momo\Elite Ten, Ninth Seat, 2nd Year Eizan Etsuya\Hunting survivors or not,\Japanese Food Industry Council President Oizumi Kakinoshin\I won't let anything detract from the fairness of this match while I still live.\Japan Gourmet Society Director Saotome Seishu response:	Yes, it's our responsibility to provide fair judgment.
context: Hall C\Elite Ten, Fourth Seat, 3rd Year Akanegakubo Momo\Elite Ten, Ninth Seat, 2nd Year Eizan Etsuya\Hunting survivors or not,\Japanese Food Industry Council President Oizumi Kakinoshin\I won't let anything detract from the fairness of this match while I still live.\Japan Gourmet Society Director Saotome Seishu\Yes, it's our responsibility to provide fair judgment. response:	Wow, what a crowd!
context: Elite Ten, Fourth Seat, 3rd Year Akanegakubo Momo\Elite Ten, Ninth Seat, 2nd Year Eizan Etsuya\Hunting survivors or not,\Japanese Food Industry Council President Oizumi Kakinoshin\I won't let anything detract from the fairness of this match while I still live.\Japan Gourmet Society Director Saotome Seishu\Yes, it's our responsibility to provide fair judgment.\Wow, what a crowd! response:	Um, this match is the Fourth Seat, Akanegakubo-senpai,
context: Elite Ten, Ninth Seat, 2nd Year Eizan Etsuya\Hunting survivors or not,\Japanese Food Industry Council President Oizumi Kakinoshin\I won't let anything detract from the fairness of this match while I still live.\Japan Gourmet Society Director Saotome Seishu\Yes, it's our responsibility to provide fair judgment.\Wow, what a crowd!\Um, this match is the Fourth Seat, Akanegakubo-senpai, response:	Chocolate RS vs. Akanegakubo Momo
context: Hunting survivors or not,\Japanese Food Industry Council President Oizumi Kakinoshin\I won't let anything detract from the fairness of this match while I still live.\Japan Gourmet Society Director Saotome Seishu\Yes, it's our responsibility to provide fair judgment.\Wow, what a crowd!\Um, this match is the Fourth Seat, Akanegakubo-senpai,\Chocolate RS vs. Akanegakubo Momo response:	versus the Chocolate RS.
context: Japanese Food Industry Council President Oizumi Kakinoshin\I won't let anything detract from the fairness of this match while I still live.\Japan Gourmet Society Director Saotome Seishu\Yes, it's our responsibility to provide fair judgment.\Wow, what a crowd!\Um, this match is the Fourth Seat, Akanegakubo-senpai,\Chocolate RS vs. Akanegakubo Momo\versus the Chocolate RS. response:	Eizan Etsuya vs. Western Cuisine RS
context: I won't let anything detract from the fairness of this match while I still live.\Japan Gourmet Society Director Saotome Seishu\Yes, it's our responsibility to provide fair judgment.\Wow, what a crowd!\Um, this match is the Fourth Seat, Akanegakubo-senpai,\Chocolate RS vs. Akanegakubo Momo\versus the Chocolate RS.\Eizan Etsuya vs. Western Cuisine RS response:	There's also Eizan-senpai versus the Western Cuisine RS.
context: Japan Gourmet Society Director Saotome Seishu\Yes, it's our responsibility to provide fair judgment.\Wow, what a crowd!\Um, this match is the Fourth Seat, Akanegakubo-senpai,\Chocolate RS vs. Akanegakubo Momo\versus the Chocolate RS.\Eizan Etsuya vs. Western Cuisine RS\There's also Eizan-senpai versus the Western Cuisine RS. response:	Looks like there will be several Shokugeki happening in parallel at each arena.
context: Yes, it's our responsibility to provide fair judgment.\Wow, what a crowd!\Um, this match is the Fourth Seat, Akanegakubo-senpai,\Chocolate RS vs. Akanegakubo Momo\versus the Chocolate RS.\Eizan Etsuya vs. Western Cuisine RS\There's also Eizan-senpai versus the Western Cuisine RS.\Looks like there will be several Shokugeki happening in parallel at each arena. response:	The Don RS guys aren't here, huh?
context: Wow, what a crowd!\Um, this match is the Fourth Seat, Akanegakubo-senpai,\Chocolate RS vs. Akanegakubo Momo\versus the Chocolate RS.\Eizan Etsuya vs. Western Cuisine RS\There's also Eizan-senpai versus the Western Cuisine RS.\Looks like there will be several Shokugeki happening in parallel at each arena.\The Don RS guys aren't here, huh? response:	Shiomi Research Group's Hayama isn't here, either.
context: Um, this match is the Fourth Seat, Akanegakubo-senpai,\Chocolate RS vs. Akanegakubo Momo\versus the Chocolate RS.\Eizan Etsuya vs. Western Cuisine RS\There's also Eizan-senpai versus the Western Cuisine RS.\Looks like there will be several Shokugeki happening in parallel at each arena.\The Don RS guys aren't here, huh?\Shiomi Research Group's Hayama isn't here, either. response:	Let's go, Bucchi.
context: Chocolate RS vs. Akanegakubo Momo\versus the Chocolate RS.\Eizan Etsuya vs. Western Cuisine RS\There's also Eizan-senpai versus the Western Cuisine RS.\Looks like there will be several Shokugeki happening in parallel at each arena.\The Don RS guys aren't here, huh?\Shiomi Research Group's Hayama isn't here, either.\Let's go, Bucchi. response:	Help my cooking.
context: versus the Chocolate RS.\Eizan Etsuya vs. Western Cuisine RS\There's also Eizan-senpai versus the Western Cuisine RS.\Looks like there will be several Shokugeki happening in parallel at each arena.\The Don RS guys aren't here, huh?\Shiomi Research Group's Hayama isn't here, either.\Let's go, Bucchi.\Help my cooking. response:	All right.
context: Eizan Etsuya vs. Western Cuisine RS\There's also Eizan-senpai versus the Western Cuisine RS.\Looks like there will be several Shokugeki happening in parallel at each arena.\The Don RS guys aren't here, huh?\Shiomi Research Group's Hayama isn't here, either.\Let's go, Bucchi.\Help my cooking.\All right. response:	I hope it baked okay.
context: There's also Eizan-senpai versus the Western Cuisine RS.\Looks like there will be several Shokugeki happening in parallel at each arena.\The Don RS guys aren't here, huh?\Shiomi Research Group's Hayama isn't here, either.\Let's go, Bucchi.\Help my cooking.\All right.\I hope it baked okay. response:	She ripped off the teddy bear's hands to serve as oven mitts...
