context: Friendship is something that is both fascinating and beautiful. response:	It was thanks to its power that the boy was able to escape the bandits' clutches.
context: True enough.\I suggest that you experience being cast out into the vast universe all alone.\I expect that you will soon understand that the only person one can count upon is oneself.\Set the table for tea at once.\And where do you hail from?\I came into this world in a land that is beyond your imagination.\A place that you'd rather not mention?\Franz! Don't be rude! response:	If we're going to be associating as friends, shouldn't we at least know that much?
context: I suggest that you experience being cast out into the vast universe all alone.\I expect that you will soon understand that the only person one can count upon is oneself.\Set the table for tea at once.\And where do you hail from?\I came into this world in a land that is beyond your imagination.\A place that you'd rather not mention?\Franz! Don't be rude!\If we're going to be associating as friends, shouldn't we at least know that much? response:	That is quite understandable.
context: I expect that you will soon understand that the only person one can count upon is oneself.\Set the table for tea at once.\And where do you hail from?\I came into this world in a land that is beyond your imagination.\A place that you'd rather not mention?\Franz! Don't be rude!\If we're going to be associating as friends, shouldn't we at least know that much?\That is quite understandable. response:	The reason that distinguished gentlemen such as yourselves are interested in me...
context: Set the table for tea at once.\And where do you hail from?\I came into this world in a land that is beyond your imagination.\A place that you'd rather not mention?\Franz! Don't be rude!\If we're going to be associating as friends, shouldn't we at least know that much?\That is quite understandable.\The reason that distinguished gentlemen such as yourselves are interested in me... response:	Were that not the case, surely a rustic aristocrat from the frontiers of space...
context: And where do you hail from?\I came into this world in a land that is beyond your imagination.\A place that you'd rather not mention?\Franz! Don't be rude!\If we're going to be associating as friends, shouldn't we at least know that much?\That is quite understandable.\The reason that distinguished gentlemen such as yourselves are interested in me...\Were that not the case, surely a rustic aristocrat from the frontiers of space... response:	Well, you have us there.
context: I came into this world in a land that is beyond your imagination.\A place that you'd rather not mention?\Franz! Don't be rude!\If we're going to be associating as friends, shouldn't we at least know that much?\That is quite understandable.\The reason that distinguished gentlemen such as yourselves are interested in me...\Were that not the case, surely a rustic aristocrat from the frontiers of space...\Well, you have us there. response:	But that's exactly why we want to know more about you, Count!
context: A place that you'd rather not mention?\Franz! Don't be rude!\If we're going to be associating as friends, shouldn't we at least know that much?\That is quite understandable.\The reason that distinguished gentlemen such as yourselves are interested in me...\Were that not the case, surely a rustic aristocrat from the frontiers of space...\Well, you have us there.\But that's exactly why we want to know more about you, Count! response:	You're as naive as ever, I see.
context: Franz! Don't be rude!\If we're going to be associating as friends, shouldn't we at least know that much?\That is quite understandable.\The reason that distinguished gentlemen such as yourselves are interested in me...\Were that not the case, surely a rustic aristocrat from the frontiers of space...\Well, you have us there.\But that's exactly why we want to know more about you, Count!\You're as naive as ever, I see. response:	Peppo!
context: If we're going to be associating as friends, shouldn't we at least know that much?\That is quite understandable.\The reason that distinguished gentlemen such as yourselves are interested in me...\Were that not the case, surely a rustic aristocrat from the frontiers of space...\Well, you have us there.\But that's exactly why we want to know more about you, Count!\You're as naive as ever, I see.\Peppo! response:	Is something the matter?
context: That is quite understandable.\The reason that distinguished gentlemen such as yourselves are interested in me...\Were that not the case, surely a rustic aristocrat from the frontiers of space...\Well, you have us there.\But that's exactly why we want to know more about you, Count!\You're as naive as ever, I see.\Peppo!\Is something the matter? response:	Huh? Um, no.
context: The reason that distinguished gentlemen such as yourselves are interested in me...\Were that not the case, surely a rustic aristocrat from the frontiers of space...\Well, you have us there.\But that's exactly why we want to know more about you, Count!\You're as naive as ever, I see.\Peppo!\Is something the matter?\Huh? Um, no. response:	All right, what are you up to?
context: Were that not the case, surely a rustic aristocrat from the frontiers of space...\Well, you have us there.\But that's exactly why we want to know more about you, Count!\You're as naive as ever, I see.\Peppo!\Is something the matter?\Huh? Um, no.\All right, what are you up to? response:	You caught me.
context: Well, you have us there.\But that's exactly why we want to know more about you, Count!\You're as naive as ever, I see.\Peppo!\Is something the matter?\Huh? Um, no.\All right, what are you up to?\You caught me. response:	I quit the bandit gang.
context: But that's exactly why we want to know more about you, Count!\You're as naive as ever, I see.\Peppo!\Is something the matter?\Huh? Um, no.\All right, what are you up to?\You caught me.\I quit the bandit gang. response:	So I came here to Paris to look for work.
context: You're as naive as ever, I see.\Peppo!\Is something the matter?\Huh? Um, no.\All right, what are you up to?\You caught me.\I quit the bandit gang.\So I came here to Paris to look for work. response:	But what are you doing here?
context: Peppo!\Is something the matter?\Huh? Um, no.\All right, what are you up to?\You caught me.\I quit the bandit gang.\So I came here to Paris to look for work.\But what are you doing here? response:	I followed you here, Albert.
context: Is something the matter?\Huh? Um, no.\All right, what are you up to?\You caught me.\I quit the bandit gang.\So I came here to Paris to look for work.\But what are you doing here?\I followed you here, Albert. response:	I'm lying, I'm lying! It's just a coincidence.
context: Huh? Um, no.\All right, what are you up to?\You caught me.\I quit the bandit gang.\So I came here to Paris to look for work.\But what are you doing here?\I followed you here, Albert.\I'm lying, I'm lying! It's just a coincidence. response:	There happened to be an opening here, that's all.
context: All right, what are you up to?\You caught me.\I quit the bandit gang.\So I came here to Paris to look for work.\But what are you doing here?\I followed you here, Albert.\I'm lying, I'm lying! It's just a coincidence.\There happened to be an opening here, that's all. response:	Tell me, Peppo...
context: You caught me.\I quit the bandit gang.\So I came here to Paris to look for work.\But what are you doing here?\I followed you here, Albert.\I'm lying, I'm lying! It's just a coincidence.\There happened to be an opening here, that's all.\Tell me, Peppo... response:	So, you remembered my name.
context: I quit the bandit gang.\So I came here to Paris to look for work.\But what are you doing here?\I followed you here, Albert.\I'm lying, I'm lying! It's just a coincidence.\There happened to be an opening here, that's all.\Tell me, Peppo...\So, you remembered my name. response:	Are you planning to stay here for good?
context: So I came here to Paris to look for work.\But what are you doing here?\I followed you here, Albert.\I'm lying, I'm lying! It's just a coincidence.\There happened to be an opening here, that's all.\Tell me, Peppo...\So, you remembered my name.\Are you planning to stay here for good? response:	Can't I?
context: But what are you doing here?\I followed you here, Albert.\I'm lying, I'm lying! It's just a coincidence.\There happened to be an opening here, that's all.\Tell me, Peppo...\So, you remembered my name.\Are you planning to stay here for good?\Can't I? response:	Well, it's, how can I put it?
context: I followed you here, Albert.\I'm lying, I'm lying! It's just a coincidence.\There happened to be an opening here, that's all.\Tell me, Peppo...\So, you remembered my name.\Are you planning to stay here for good?\Can't I?\Well, it's, how can I put it? response:	Don't worry. Let's just agree to keep each other's secrets, okay?
context: I'm lying, I'm lying! It's just a coincidence.\There happened to be an opening here, that's all.\Tell me, Peppo...\So, you remembered my name.\Are you planning to stay here for good?\Can't I?\Well, it's, how can I put it?\Don't worry. Let's just agree to keep each other's secrets, okay? response:	Are you interested in learning that man's real identity?
context: There happened to be an opening here, that's all.\Tell me, Peppo...\So, you remembered my name.\Are you planning to stay here for good?\Can't I?\Well, it's, how can I put it?\Don't worry. Let's just agree to keep each other's secrets, okay?\Are you interested in learning that man's real identity? response:	Don't worry about it too much. He's nobody special.
context: Tell me, Peppo...\So, you remembered my name.\Are you planning to stay here for good?\Can't I?\Well, it's, how can I put it?\Don't worry. Let's just agree to keep each other's secrets, okay?\Are you interested in learning that man's real identity?\Don't worry about it too much. He's nobody special. response:	What do you want to do tonight? Hit up Le Queen?
context: So, you remembered my name.\Are you planning to stay here for good?\Can't I?\Well, it's, how can I put it?\Don't worry. Let's just agree to keep each other's secrets, okay?\Are you interested in learning that man's real identity?\Don't worry about it too much. He's nobody special.\What do you want to do tonight? Hit up Le Queen? response:	That's okay, I'll pass.
context: Are you planning to stay here for good?\Can't I?\Well, it's, how can I put it?\Don't worry. Let's just agree to keep each other's secrets, okay?\Are you interested in learning that man's real identity?\Don't worry about it too much. He's nobody special.\What do you want to do tonight? Hit up Le Queen?\That's okay, I'll pass. response:	As will I.
context: Can't I?\Well, it's, how can I put it?\Don't worry. Let's just agree to keep each other's secrets, okay?\Are you interested in learning that man's real identity?\Don't worry about it too much. He's nobody special.\What do you want to do tonight? Hit up Le Queen?\That's okay, I'll pass.\As will I. response:	What the heck is this?
context: Well, it's, how can I put it?\Don't worry. Let's just agree to keep each other's secrets, okay?\Are you interested in learning that man's real identity?\Don't worry about it too much. He's nobody special.\What do you want to do tonight? Hit up Le Queen?\That's okay, I'll pass.\As will I.\What the heck is this? response:	The Count of Monte Cristo's voice...
context: Don't worry. Let's just agree to keep each other's secrets, okay?\Are you interested in learning that man's real identity?\Don't worry about it too much. He's nobody special.\What do you want to do tonight? Hit up Le Queen?\That's okay, I'll pass.\As will I.\What the heck is this?\The Count of Monte Cristo's voice... response:	What about it?
context: Are you interested in learning that man's real identity?\Don't worry about it too much. He's nobody special.\What do you want to do tonight? Hit up Le Queen?\That's okay, I'll pass.\As will I.\What the heck is this?\The Count of Monte Cristo's voice...\What about it? response:	It isn't on the recording.
context: Don't worry about it too much. He's nobody special.\What do you want to do tonight? Hit up Le Queen?\That's okay, I'll pass.\As will I.\What the heck is this?\The Count of Monte Cristo's voice...\What about it?\It isn't on the recording. response:	What sorts of places have you been to?
context: What do you want to do tonight? Hit up Le Queen?\That's okay, I'll pass.\As will I.\What the heck is this?\The Count of Monte Cristo's voice...\What about it?\It isn't on the recording.\What sorts of places have you been to? response:	Even the lmperium?
context: That's okay, I'll pass.\As will I.\What the heck is this?\The Count of Monte Cristo's voice...\What about it?\It isn't on the recording.\What sorts of places have you been to?\Even the lmperium? response:	Some might see...
context: As will I.\What the heck is this?\The Count of Monte Cristo's voice...\What about it?\It isn't on the recording.\What sorts of places have you been to?\Even the lmperium?\Some might see... response:	It's probably a mechanical malfunction.
context: What the heck is this?\The Count of Monte Cristo's voice...\What about it?\It isn't on the recording.\What sorts of places have you been to?\Even the lmperium?\Some might see...\It's probably a mechanical malfunction. response:	So, is this a malfunction, too?
context: The Count of Monte Cristo's voice...\What about it?\It isn't on the recording.\What sorts of places have you been to?\Even the lmperium?\Some might see...\It's probably a mechanical malfunction.\So, is this a malfunction, too? response:	What a beautiful woman.
context: What about it?\It isn't on the recording.\What sorts of places have you been to?\Even the lmperium?\Some might see...\It's probably a mechanical malfunction.\So, is this a malfunction, too?\What a beautiful woman. response:	T-That's my mother.
context: It isn't on the recording.\What sorts of places have you been to?\Even the lmperium?\Some might see...\It's probably a mechanical malfunction.\So, is this a malfunction, too?\What a beautiful woman.\T-That's my mother. response:	She is rather young.
context: What sorts of places have you been to?\Even the lmperium?\Some might see...\It's probably a mechanical malfunction.\So, is this a malfunction, too?\What a beautiful woman.\T-That's my mother.\She is rather young. response:	This vista is that of Marseilles, is it not?
context: Even the lmperium?\Some might see...\It's probably a mechanical malfunction.\So, is this a malfunction, too?\What a beautiful woman.\T-That's my mother.\She is rather young.\This vista is that of Marseilles, is it not? response:	She likes paintings like this. I don't know why she chose that place as the setting.
context: Some might see...\It's probably a mechanical malfunction.\So, is this a malfunction, too?\What a beautiful woman.\T-That's my mother.\She is rather young.\This vista is that of Marseilles, is it not?\She likes paintings like this. I don't know why she chose that place as the setting. response:	It is magnificent.
context: It's probably a mechanical malfunction.\So, is this a malfunction, too?\What a beautiful woman.\T-That's my mother.\She is rather young.\This vista is that of Marseilles, is it not?\She likes paintings like this. I don't know why she chose that place as the setting.\It is magnificent. response:	Actually, my father hates this painting.
context: So, is this a malfunction, too?\What a beautiful woman.\T-That's my mother.\She is rather young.\This vista is that of Marseilles, is it not?\She likes paintings like this. I don't know why she chose that place as the setting.\It is magnificent.\Actually, my father hates this painting. response:	He was going to take it down and burn it, but we placated him by hanging it in my room.
context: What a beautiful woman.\T-That's my mother.\She is rather young.\This vista is that of Marseilles, is it not?\She likes paintings like this. I don't know why she chose that place as the setting.\It is magnificent.\Actually, my father hates this painting.\He was going to take it down and burn it, but we placated him by hanging it in my room. response:	Edmond...
context: T-That's my mother.\She is rather young.\This vista is that of Marseilles, is it not?\She likes paintings like this. I don't know why she chose that place as the setting.\It is magnificent.\Actually, my father hates this painting.\He was going to take it down and burn it, but we placated him by hanging it in my room.\Edmond... response:	Is there something about this painting?
context: She is rather young.\This vista is that of Marseilles, is it not?\She likes paintings like this. I don't know why she chose that place as the setting.\It is magnificent.\Actually, my father hates this painting.\He was going to take it down and burn it, but we placated him by hanging it in my room.\Edmond...\Is there something about this painting? response:	No. I'm afraid that it is time that I took my leave of you.
context: This vista is that of Marseilles, is it not?\She likes paintings like this. I don't know why she chose that place as the setting.\It is magnificent.\Actually, my father hates this painting.\He was going to take it down and burn it, but we placated him by hanging it in my room.\Edmond...\Is there something about this painting?\No. I'm afraid that it is time that I took my leave of you. response:	Don't say that! Please, have dinner with us!
context: She likes paintings like this. I don't know why she chose that place as the setting.\It is magnificent.\Actually, my father hates this painting.\He was going to take it down and burn it, but we placated him by hanging it in my room.\Edmond...\Is there something about this painting?\No. I'm afraid that it is time that I took my leave of you.\Don't say that! Please, have dinner with us! response:	My mother and father are looking forward to meeting you, too.
context: It is magnificent.\Actually, my father hates this painting.\He was going to take it down and burn it, but we placated him by hanging it in my room.\Edmond...\Is there something about this painting?\No. I'm afraid that it is time that I took my leave of you.\Don't say that! Please, have dinner with us!\My mother and father are looking forward to meeting you, too. response:	If you're interested in paintings, my mother and father have many others in their collection.
context: Actually, my father hates this painting.\He was going to take it down and burn it, but we placated him by hanging it in my room.\Edmond...\Is there something about this painting?\No. I'm afraid that it is time that I took my leave of you.\Don't say that! Please, have dinner with us!\My mother and father are looking forward to meeting you, too.\If you're interested in paintings, my mother and father have many others in their collection. response:	My, what a stirring painting this is.
context: He was going to take it down and burn it, but we placated him by hanging it in my room.\Edmond...\Is there something about this painting?\No. I'm afraid that it is time that I took my leave of you.\Don't say that! Please, have dinner with us!\My mother and father are looking forward to meeting you, too.\If you're interested in paintings, my mother and father have many others in their collection.\My, what a stirring painting this is. response:	This is what my father likes.
context: Edmond...\Is there something about this painting?\No. I'm afraid that it is time that I took my leave of you.\Don't say that! Please, have dinner with us!\My mother and father are looking forward to meeting you, too.\If you're interested in paintings, my mother and father have many others in their collection.\My, what a stirring painting this is.\This is what my father likes. response:	The ones that my mother has collected are over here.
context: Is there something about this painting?\No. I'm afraid that it is time that I took my leave of you.\Don't say that! Please, have dinner with us!\My mother and father are looking forward to meeting you, too.\If you're interested in paintings, my mother and father have many others in their collection.\My, what a stirring painting this is.\This is what my father likes.\The ones that my mother has collected are over here. response:	This must be your visitor.
context: No. I'm afraid that it is time that I took my leave of you.\Don't say that! Please, have dinner with us!\My mother and father are looking forward to meeting you, too.\If you're interested in paintings, my mother and father have many others in their collection.\My, what a stirring painting this is.\This is what my father likes.\The ones that my mother has collected are over here.\This must be your visitor. response:	My mother's past, which I never knew.
context: Don't say that! Please, have dinner with us!\My mother and father are looking forward to meeting you, too.\If you're interested in paintings, my mother and father have many others in their collection.\My, what a stirring painting this is.\This is what my father likes.\The ones that my mother has collected are over here.\This must be your visitor.\My mother's past, which I never knew. response:	The men in her past.
context: My mother and father are looking forward to meeting you, too.\If you're interested in paintings, my mother and father have many others in their collection.\My, what a stirring painting this is.\This is what my father likes.\The ones that my mother has collected are over here.\This must be your visitor.\My mother's past, which I never knew.\The men in her past. response:	Adults who live in the past.
context: If you're interested in paintings, my mother and father have many others in their collection.\My, what a stirring painting this is.\This is what my father likes.\The ones that my mother has collected are over here.\This must be your visitor.\My mother's past, which I never knew.\The men in her past.\Adults who live in the past. response:	Act 4: A Mother's Secrets
context: My, what a stirring painting this is.\This is what my father likes.\The ones that my mother has collected are over here.\This must be your visitor.\My mother's past, which I never knew.\The men in her past.\Adults who live in the past.\Act 4: A Mother's Secrets response:	Next time on Gankutsuou, The Count of Monte Cristo, act 4,
context: This is what my father likes.\The ones that my mother has collected are over here.\This must be your visitor.\My mother's past, which I never knew.\The men in her past.\Adults who live in the past.\Act 4: A Mother's Secrets\Next time on Gankutsuou, The Count of Monte Cristo, act 4, response:	Bide your time, and hold out hope!
