context: I begin my weekends by feeding the birds. response:	After that, I go jogging.
context: Okay.\I'll walk you home.\But...\Tell me if you don't want me to.\That's not it.\I'll go too, then.\You idiot.\You're coming this way. response:	Pedro!
context: I'll walk you home.\But...\Tell me if you don't want me to.\That's not it.\I'll go too, then.\You idiot.\You're coming this way.\Pedro! response:	See you.
context: But...\Tell me if you don't want me to.\That's not it.\I'll go too, then.\You idiot.\You're coming this way.\Pedro!\See you. response:	Good night.
context: Tell me if you don't want me to.\That's not it.\I'll go too, then.\You idiot.\You're coming this way.\Pedro!\See you.\Good night. response:	Say hi to your folks for me.
context: That's not it.\I'll go too, then.\You idiot.\You're coming this way.\Pedro!\See you.\Good night.\Say hi to your folks for me. response:	Let's go.
context: I'll go too, then.\You idiot.\You're coming this way.\Pedro!\See you.\Good night.\Say hi to your folks for me.\Let's go. response:	Why wouldn't I want him to?
context: You idiot.\You're coming this way.\Pedro!\See you.\Good night.\Say hi to your folks for me.\Let's go.\Why wouldn't I want him to? response:	The days are getting shorter.
context: You're coming this way.\Pedro!\See you.\Good night.\Say hi to your folks for me.\Let's go.\Why wouldn't I want him to?\The days are getting shorter. response:	I'm so happy.
context: Pedro!\See you.\Good night.\Say hi to your folks for me.\Let's go.\Why wouldn't I want him to?\The days are getting shorter.\I'm so happy. response:	I'm too happy.
context: See you.\Good night.\Say hi to your folks for me.\Let's go.\Why wouldn't I want him to?\The days are getting shorter.\I'm so happy.\I'm too happy. response:	I want to thank him, but I can't speak.
context: Good night.\Say hi to your folks for me.\Let's go.\Why wouldn't I want him to?\The days are getting shorter.\I'm so happy.\I'm too happy.\I want to thank him, but I can't speak. response:	I can't look at him.
context: Say hi to your folks for me.\Let's go.\Why wouldn't I want him to?\The days are getting shorter.\I'm so happy.\I'm too happy.\I want to thank him, but I can't speak.\I can't look at him. response:	Y-You scared me!
context: Let's go.\Why wouldn't I want him to?\The days are getting shorter.\I'm so happy.\I'm too happy.\I want to thank him, but I can't speak.\I can't look at him.\Y-You scared me! response:	What was that?
context: Why wouldn't I want him to?\The days are getting shorter.\I'm so happy.\I'm too happy.\I want to thank him, but I can't speak.\I can't look at him.\Y-You scared me!\What was that? response:	Arai-sensei told me to hold on to you and close my eyes for five seconds when I want to thank you.
context: The days are getting shorter.\I'm so happy.\I'm too happy.\I want to thank him, but I can't speak.\I can't look at him.\Y-You scared me!\What was that?\Arai-sensei told me to hold on to you and close my eyes for five seconds when I want to thank you. response:	That bastard!
context: I'm so happy.\I'm too happy.\I want to thank him, but I can't speak.\I can't look at him.\Y-You scared me!\What was that?\Arai-sensei told me to hold on to you and close my eyes for five seconds when I want to thank you.\That bastard! response:	I don't know.
context: I'm too happy.\I want to thank him, but I can't speak.\I can't look at him.\Y-You scared me!\What was that?\Arai-sensei told me to hold on to you and close my eyes for five seconds when I want to thank you.\That bastard!\I don't know. response:	Seriously, if you do that again, I don't know.
context: I want to thank him, but I can't speak.\I can't look at him.\Y-You scared me!\What was that?\Arai-sensei told me to hold on to you and close my eyes for five seconds when I want to thank you.\That bastard!\I don't know.\Seriously, if you do that again, I don't know. response:	I seriously don't know.
context: I can't look at him.\Y-You scared me!\What was that?\Arai-sensei told me to hold on to you and close my eyes for five seconds when I want to thank you.\That bastard!\I don't know.\Seriously, if you do that again, I don't know.\I seriously don't know. response:	If I hear his voice so much,
context: Y-You scared me!\What was that?\Arai-sensei told me to hold on to you and close my eyes for five seconds when I want to thank you.\That bastard!\I don't know.\Seriously, if you do that again, I don't know.\I seriously don't know.\If I hear his voice so much, response:	and if I'm with him so much,
context: What was that?\Arai-sensei told me to hold on to you and close my eyes for five seconds when I want to thank you.\That bastard!\I don't know.\Seriously, if you do that again, I don't know.\I seriously don't know.\If I hear his voice so much,\and if I'm with him so much, response:	and if I see him so much...
context: Arai-sensei told me to hold on to you and close my eyes for five seconds when I want to thank you.\That bastard!\I don't know.\Seriously, if you do that again, I don't know.\I seriously don't know.\If I hear his voice so much,\and if I'm with him so much,\and if I see him so much... response:	See, I can't stand parting with him.
context: That bastard!\I don't know.\Seriously, if you do that again, I don't know.\I seriously don't know.\If I hear his voice so much,\and if I'm with him so much,\and if I see him so much...\See, I can't stand parting with him. response:	Don't look at me for a while.
context: I don't know.\Seriously, if you do that again, I don't know.\I seriously don't know.\If I hear his voice so much,\and if I'm with him so much,\and if I see him so much...\See, I can't stand parting with him.\Don't look at me for a while. response:	I wonder if I'll feel like telling him how I feel someday.
context: Seriously, if you do that again, I don't know.\I seriously don't know.\If I hear his voice so much,\and if I'm with him so much,\and if I see him so much...\See, I can't stand parting with him.\Don't look at me for a while.\I wonder if I'll feel like telling him how I feel someday. response:	The arrival of winter,
context: I seriously don't know.\If I hear his voice so much,\and if I'm with him so much,\and if I see him so much...\See, I can't stand parting with him.\Don't look at me for a while.\I wonder if I'll feel like telling him how I feel someday.\The arrival of winter, response:	the footsteps of hope.
context: If I hear his voice so much,\and if I'm with him so much,\and if I see him so much...\See, I can't stand parting with him.\Don't look at me for a while.\I wonder if I'll feel like telling him how I feel someday.\The arrival of winter,\the footsteps of hope. response:	Next episode: Chizuru's Love
