context: I'm Gouda Takeo, a first-year in high school. response:	Back in the spring, I started dating.
context: Oh, you're alone?\I thought you might bring Saijou-san and Sunakawa-kun...\You got rained on.\I love her.\The other day, I had a great time talking with Saijou-san.\I see.\Oh, my friends all said they like you as a person, too.\I see. response:	But I'm not popular with girls, so don't worry.
context: I thought you might bring Saijou-san and Sunakawa-kun...\You got rained on.\I love her.\The other day, I had a great time talking with Saijou-san.\I see.\Oh, my friends all said they like you as a person, too.\I see.\But I'm not popular with girls, so don't worry. response:	I'm not so worried all the time!
context: You got rained on.\I love her.\The other day, I had a great time talking with Saijou-san.\I see.\Oh, my friends all said they like you as a person, too.\I see.\But I'm not popular with girls, so don't worry.\I'm not so worried all the time! response:	It's only sometimes!
context: I love her.\The other day, I had a great time talking with Saijou-san.\I see.\Oh, my friends all said they like you as a person, too.\I see.\But I'm not popular with girls, so don't worry.\I'm not so worried all the time!\It's only sometimes! response:	Sometimes...
context: The other day, I had a great time talking with Saijou-san.\I see.\Oh, my friends all said they like you as a person, too.\I see.\But I'm not popular with girls, so don't worry.\I'm not so worried all the time!\It's only sometimes!\Sometimes... response:	There's really no need to worry.
context: I see.\Oh, my friends all said they like you as a person, too.\I see.\But I'm not popular with girls, so don't worry.\I'm not so worried all the time!\It's only sometimes!\Sometimes...\There's really no need to worry. response:	How can I help her understand?
context: Oh, my friends all said they like you as a person, too.\I see.\But I'm not popular with girls, so don't worry.\I'm not so worried all the time!\It's only sometimes!\Sometimes...\There's really no need to worry.\How can I help her understand? response:	It's from Yamato!
context: I see.\But I'm not popular with girls, so don't worry.\I'm not so worried all the time!\It's only sometimes!\Sometimes...\There's really no need to worry.\How can I help her understand?\It's from Yamato! response:	Huh?
context: But I'm not popular with girls, so don't worry.\I'm not so worried all the time!\It's only sometimes!\Sometimes...\There's really no need to worry.\How can I help her understand?\It's from Yamato!\Huh? response:	She said she had a great time with you the other day.
context: I'm not so worried all the time!\It's only sometimes!\Sometimes...\There's really no need to worry.\How can I help her understand?\It's from Yamato!\Huh?\She said she had a great time with you the other day. response:	She'd like to see you again.
context: It's only sometimes!\Sometimes...\There's really no need to worry.\How can I help her understand?\It's from Yamato!\Huh?\She said she had a great time with you the other day.\She'd like to see you again. response:	Oh, okay...
context: Sometimes...\There's really no need to worry.\How can I help her understand?\It's from Yamato!\Huh?\She said she had a great time with you the other day.\She'd like to see you again.\Oh, okay... response:	Till next time!
context: There's really no need to worry.\How can I help her understand?\It's from Yamato!\Huh?\She said she had a great time with you the other day.\She'd like to see you again.\Oh, okay...\Till next time! response:	Yeah, I know I'm a cheat!
context: How can I help her understand?\It's from Yamato!\Huh?\She said she had a great time with you the other day.\She'd like to see you again.\Oh, okay...\Till next time!\Yeah, I know I'm a cheat! response:	I'm taking advantage of him because he doesn't know,
context: It's from Yamato!\Huh?\She said she had a great time with you the other day.\She'd like to see you again.\Oh, okay...\Till next time!\Yeah, I know I'm a cheat!\I'm taking advantage of him because he doesn't know, response:	and of her because she's a nice person.
context: Huh?\She said she had a great time with you the other day.\She'd like to see you again.\Oh, okay...\Till next time!\Yeah, I know I'm a cheat!\I'm taking advantage of him because he doesn't know,\and of her because she's a nice person. response:	I'm duping both of them.
context: She said she had a great time with you the other day.\She'd like to see you again.\Oh, okay...\Till next time!\Yeah, I know I'm a cheat!\I'm taking advantage of him because he doesn't know,\and of her because she's a nice person.\I'm duping both of them. response:	I know, okay?
context: She'd like to see you again.\Oh, okay...\Till next time!\Yeah, I know I'm a cheat!\I'm taking advantage of him because he doesn't know,\and of her because she's a nice person.\I'm duping both of them.\I know, okay? response:	You don't have to guilt-trip me so much!
context: Oh, okay...\Till next time!\Yeah, I know I'm a cheat!\I'm taking advantage of him because he doesn't know,\and of her because she's a nice person.\I'm duping both of them.\I know, okay?\You don't have to guilt-trip me so much! response:	Do I really have to tell them the truth?!
context: Till next time!\Yeah, I know I'm a cheat!\I'm taking advantage of him because he doesn't know,\and of her because she's a nice person.\I'm duping both of them.\I know, okay?\You don't have to guilt-trip me so much!\Do I really have to tell them the truth?! response:	That isn't what I'm saying.
context: Yeah, I know I'm a cheat!\I'm taking advantage of him because he doesn't know,\and of her because she's a nice person.\I'm duping both of them.\I know, okay?\You don't have to guilt-trip me so much!\Do I really have to tell them the truth?!\That isn't what I'm saying. response:	Isn't this hard for you?
context: I'm taking advantage of him because he doesn't know,\and of her because she's a nice person.\I'm duping both of them.\I know, okay?\You don't have to guilt-trip me so much!\Do I really have to tell them the truth?!\That isn't what I'm saying.\Isn't this hard for you? response:	Unless you tell them, those two will never doubt you, so they'll be fine.
context: and of her because she's a nice person.\I'm duping both of them.\I know, okay?\You don't have to guilt-trip me so much!\Do I really have to tell them the truth?!\That isn't what I'm saying.\Isn't this hard for you?\Unless you tell them, those two will never doubt you, so they'll be fine. response:	But if this keeps up, you're the one being hurt.
context: I'm duping both of them.\I know, okay?\You don't have to guilt-trip me so much!\Do I really have to tell them the truth?!\That isn't what I'm saying.\Isn't this hard for you?\Unless you tell them, those two will never doubt you, so they'll be fine.\But if this keeps up, you're the one being hurt. response:	I was just wondering how you were doing.
context: I know, okay?\You don't have to guilt-trip me so much!\Do I really have to tell them the truth?!\That isn't what I'm saying.\Isn't this hard for you?\Unless you tell them, those two will never doubt you, so they'll be fine.\But if this keeps up, you're the one being hurt.\I was just wondering how you were doing. response:	Oh, you aren't going home?
context: You don't have to guilt-trip me so much!\Do I really have to tell them the truth?!\That isn't what I'm saying.\Isn't this hard for you?\Unless you tell them, those two will never doubt you, so they'll be fine.\But if this keeps up, you're the one being hurt.\I was just wondering how you were doing.\Oh, you aren't going home? response:	I'm waiting for Suna.
context: Do I really have to tell them the truth?!\That isn't what I'm saying.\Isn't this hard for you?\Unless you tell them, those two will never doubt you, so they'll be fine.\But if this keeps up, you're the one being hurt.\I was just wondering how you were doing.\Oh, you aren't going home?\I'm waiting for Suna. response:	Oh, okay.
context: That isn't what I'm saying.\Isn't this hard for you?\Unless you tell them, those two will never doubt you, so they'll be fine.\But if this keeps up, you're the one being hurt.\I was just wondering how you were doing.\Oh, you aren't going home?\I'm waiting for Suna.\Oh, okay. response:	Later.
context: Isn't this hard for you?\Unless you tell them, those two will never doubt you, so they'll be fine.\But if this keeps up, you're the one being hurt.\I was just wondering how you were doing.\Oh, you aren't going home?\I'm waiting for Suna.\Oh, okay.\Later. response:	Yeah.
context: Unless you tell them, those two will never doubt you, so they'll be fine.\But if this keeps up, you're the one being hurt.\I was just wondering how you were doing.\Oh, you aren't going home?\I'm waiting for Suna.\Oh, okay.\Later.\Yeah. response:	She doesn't even have to worry about it sometimes.
context: But if this keeps up, you're the one being hurt.\I was just wondering how you were doing.\Oh, you aren't going home?\I'm waiting for Suna.\Oh, okay.\Later.\Yeah.\She doesn't even have to worry about it sometimes. response:	Hey, what's up, Saijou?
context: I was just wondering how you were doing.\Oh, you aren't going home?\I'm waiting for Suna.\Oh, okay.\Later.\Yeah.\She doesn't even have to worry about it sometimes.\Hey, what's up, Saijou? response:	I just can't even...
context: Oh, you aren't going home?\I'm waiting for Suna.\Oh, okay.\Later.\Yeah.\She doesn't even have to worry about it sometimes.\Hey, what's up, Saijou?\I just can't even... response:	What?
context: I'm waiting for Suna.\Oh, okay.\Later.\Yeah.\She doesn't even have to worry about it sometimes.\Hey, what's up, Saijou?\I just can't even...\What? response:	Well, isn't that just a ploy by your girlfriend,
context: Oh, okay.\Later.\Yeah.\She doesn't even have to worry about it sometimes.\Hey, what's up, Saijou?\I just can't even...\What?\Well, isn't that just a ploy by your girlfriend, response:	to make sure everyone knows you have a girlfriend?
context: Later.\Yeah.\She doesn't even have to worry about it sometimes.\Hey, what's up, Saijou?\I just can't even...\What?\Well, isn't that just a ploy by your girlfriend,\to make sure everyone knows you have a girlfriend? response:	You don't go to the same school, so...
context: Yeah.\She doesn't even have to worry about it sometimes.\Hey, what's up, Saijou?\I just can't even...\What?\Well, isn't that just a ploy by your girlfriend,\to make sure everyone knows you have a girlfriend?\You don't go to the same school, so... response:	Is it?
context: She doesn't even have to worry about it sometimes.\Hey, what's up, Saijou?\I just can't even...\What?\Well, isn't that just a ploy by your girlfriend,\to make sure everyone knows you have a girlfriend?\You don't go to the same school, so...\Is it? response:	Maybe it is.
context: Hey, what's up, Saijou?\I just can't even...\What?\Well, isn't that just a ploy by your girlfriend,\to make sure everyone knows you have a girlfriend?\You don't go to the same school, so...\Is it?\Maybe it is. response:	But she has nothing to worry about.
context: I just can't even...\What?\Well, isn't that just a ploy by your girlfriend,\to make sure everyone knows you have a girlfriend?\You don't go to the same school, so...\Is it?\Maybe it is.\But she has nothing to worry about. response:	I guess she's still worried...
context: What?\Well, isn't that just a ploy by your girlfriend,\to make sure everyone knows you have a girlfriend?\You don't go to the same school, so...\Is it?\Maybe it is.\But she has nothing to worry about.\I guess she's still worried... response:	I'm not popular with girls.
context: Well, isn't that just a ploy by your girlfriend,\to make sure everyone knows you have a girlfriend?\You don't go to the same school, so...\Is it?\Maybe it is.\But she has nothing to worry about.\I guess she's still worried...\I'm not popular with girls. response:	I wish I could somehow reassure her.
context: to make sure everyone knows you have a girlfriend?\You don't go to the same school, so...\Is it?\Maybe it is.\But she has nothing to worry about.\I guess she's still worried...\I'm not popular with girls.\I wish I could somehow reassure her. response:	Master, I like you.
context: You don't go to the same school, so...\Is it?\Maybe it is.\But she has nothing to worry about.\I guess she's still worried...\I'm not popular with girls.\I wish I could somehow reassure her.\Master, I like you. response:	Right!
context: Is it?\Maybe it is.\But she has nothing to worry about.\I guess she's still worried...\I'm not popular with girls.\I wish I could somehow reassure her.\Master, I like you.\Right! response:	As a person!
context: Maybe it is.\But she has nothing to worry about.\I guess she's still worried...\I'm not popular with girls.\I wish I could somehow reassure her.\Master, I like you.\Right!\As a person! response:	That isn't what I mean...
context: But she has nothing to worry about.\I guess she's still worried...\I'm not popular with girls.\I wish I could somehow reassure her.\Master, I like you.\Right!\As a person!\That isn't what I mean... response:	I like you as a man!
context: I guess she's still worried...\I'm not popular with girls.\I wish I could somehow reassure her.\Master, I like you.\Right!\As a person!\That isn't what I mean...\I like you as a man! response:	I want to be your girlfriend!
context: I'm not popular with girls.\I wish I could somehow reassure her.\Master, I like you.\Right!\As a person!\That isn't what I mean...\I like you as a man!\I want to be your girlfriend! response:	I like you as a man!
context: I wish I could somehow reassure her.\Master, I like you.\Right!\As a person!\That isn't what I mean...\I like you as a man!\I want to be your girlfriend!\I like you as a man! response:	I want to be your girlfriend!
context: Master, I like you.\Right!\As a person!\That isn't what I mean...\I like you as a man!\I want to be your girlfriend!\I like you as a man!\I want to be your girlfriend! response:	Saijou, I'm sorry!
context: Right!\As a person!\That isn't what I mean...\I like you as a man!\I want to be your girlfriend!\I like you as a man!\I want to be your girlfriend!\Saijou, I'm sorry! response:	No... I knew, of course...
context: As a person!\That isn't what I mean...\I like you as a man!\I want to be your girlfriend!\I like you as a man!\I want to be your girlfriend!\Saijou, I'm sorry!\No... I knew, of course... response:	I mean, you already have a girlfriend.
context: That isn't what I mean...\I like you as a man!\I want to be your girlfriend!\I like you as a man!\I want to be your girlfriend!\Saijou, I'm sorry!\No... I knew, of course...\I mean, you already have a girlfriend. response:	It's too late.
context: I like you as a man!\I want to be your girlfriend!\I like you as a man!\I want to be your girlfriend!\Saijou, I'm sorry!\No... I knew, of course...\I mean, you already have a girlfriend.\It's too late. response:	That isn't it.
context: I want to be your girlfriend!\I like you as a man!\I want to be your girlfriend!\Saijou, I'm sorry!\No... I knew, of course...\I mean, you already have a girlfriend.\It's too late.\That isn't it. response:	I love Yamato.
context: I like you as a man!\I want to be your girlfriend!\Saijou, I'm sorry!\No... I knew, of course...\I mean, you already have a girlfriend.\It's too late.\That isn't it.\I love Yamato. response:	Yeah, I'm sorry.
context: I want to be your girlfriend!\Saijou, I'm sorry!\No... I knew, of course...\I mean, you already have a girlfriend.\It's too late.\That isn't it.\I love Yamato.\Yeah, I'm sorry. response:	I'm sorry for lying this whole time.
context: Saijou, I'm sorry!\No... I knew, of course...\I mean, you already have a girlfriend.\It's too late.\That isn't it.\I love Yamato.\Yeah, I'm sorry.\I'm sorry for lying this whole time. response:	I'm sorry for being dishonest.
context: No... I knew, of course...\I mean, you already have a girlfriend.\It's too late.\That isn't it.\I love Yamato.\Yeah, I'm sorry.\I'm sorry for lying this whole time.\I'm sorry for being dishonest. response:	You aren't dishonest!
context: I mean, you already have a girlfriend.\It's too late.\That isn't it.\I love Yamato.\Yeah, I'm sorry.\I'm sorry for lying this whole time.\I'm sorry for being dishonest.\You aren't dishonest! response:	You don't need to apologize!
context: It's too late.\That isn't it.\I love Yamato.\Yeah, I'm sorry.\I'm sorry for lying this whole time.\I'm sorry for being dishonest.\You aren't dishonest!\You don't need to apologize! response:	I wasn't lying when I said I like you as a person, too, master.
context: That isn't it.\I love Yamato.\Yeah, I'm sorry.\I'm sorry for lying this whole time.\I'm sorry for being dishonest.\You aren't dishonest!\You don't need to apologize!\I wasn't lying when I said I like you as a person, too, master. response:	I'm not popular with girls, so don't worry.
context: I love Yamato.\Yeah, I'm sorry.\I'm sorry for lying this whole time.\I'm sorry for being dishonest.\You aren't dishonest!\You don't need to apologize!\I wasn't lying when I said I like you as a person, too, master.\I'm not popular with girls, so don't worry. response:	Looked like you needed some extra.
context: Yeah, I'm sorry.\I'm sorry for lying this whole time.\I'm sorry for being dishonest.\You aren't dishonest!\You don't need to apologize!\I wasn't lying when I said I like you as a person, too, master.\I'm not popular with girls, so don't worry.\Looked like you needed some extra. response:	Thanks.
context: I'm sorry for lying this whole time.\I'm sorry for being dishonest.\You aren't dishonest!\You don't need to apologize!\I wasn't lying when I said I like you as a person, too, master.\I'm not popular with girls, so don't worry.\Looked like you needed some extra.\Thanks. response:	You know, Sunakawa...
context: I'm sorry for being dishonest.\You aren't dishonest!\You don't need to apologize!\I wasn't lying when I said I like you as a person, too, master.\I'm not popular with girls, so don't worry.\Looked like you needed some extra.\Thanks.\You know, Sunakawa... response:	You're too savvy.
context: You aren't dishonest!\You don't need to apologize!\I wasn't lying when I said I like you as a person, too, master.\I'm not popular with girls, so don't worry.\Looked like you needed some extra.\Thanks.\You know, Sunakawa...\You're too savvy. response:	It's annoying...
context: You don't need to apologize!\I wasn't lying when I said I like you as a person, too, master.\I'm not popular with girls, so don't worry.\Looked like you needed some extra.\Thanks.\You know, Sunakawa...\You're too savvy.\It's annoying... response:	There's another box, if you want.
context: I wasn't lying when I said I like you as a person, too, master.\I'm not popular with girls, so don't worry.\Looked like you needed some extra.\Thanks.\You know, Sunakawa...\You're too savvy.\It's annoying...\There's another box, if you want. response:	I mean... When I first called him out,
context: I'm not popular with girls, so don't worry.\Looked like you needed some extra.\Thanks.\You know, Sunakawa...\You're too savvy.\It's annoying...\There's another box, if you want.\I mean... When I first called him out, response:	he had no idea I was going to confess.
context: Looked like you needed some extra.\Thanks.\You know, Sunakawa...\You're too savvy.\It's annoying...\There's another box, if you want.\I mean... When I first called him out,\he had no idea I was going to confess. response:	How could I tell him?
context: Thanks.\You know, Sunakawa...\You're too savvy.\It's annoying...\There's another box, if you want.\I mean... When I first called him out,\he had no idea I was going to confess.\How could I tell him? response:	And I knew he had a girlfriend...
context: You know, Sunakawa...\You're too savvy.\It's annoying...\There's another box, if you want.\I mean... When I first called him out,\he had no idea I was going to confess.\How could I tell him?\And I knew he had a girlfriend... response:	I mean, look at his cell phone.
context: You're too savvy.\It's annoying...\There's another box, if you want.\I mean... When I first called him out,\he had no idea I was going to confess.\How could I tell him?\And I knew he had a girlfriend...\I mean, look at his cell phone. response:	I had no chance...
context: It's annoying...\There's another box, if you want.\I mean... When I first called him out,\he had no idea I was going to confess.\How could I tell him?\And I knew he had a girlfriend...\I mean, look at his cell phone.\I had no chance... response:	Asking him if I could call him master
context: There's another box, if you want.\I mean... When I first called him out,\he had no idea I was going to confess.\How could I tell him?\And I knew he had a girlfriend...\I mean, look at his cell phone.\I had no chance...\Asking him if I could call him master response:	was so pathetic.
context: I mean... When I first called him out,\he had no idea I was going to confess.\How could I tell him?\And I knew he had a girlfriend...\I mean, look at his cell phone.\I had no chance...\Asking him if I could call him master\was so pathetic. response:	I wanted to call him Takeo-kun, not master, too!
context: he had no idea I was going to confess.\How could I tell him?\And I knew he had a girlfriend...\I mean, look at his cell phone.\I had no chance...\Asking him if I could call him master\was so pathetic.\I wanted to call him Takeo-kun, not master, too! response:	Waaah
context: How could I tell him?\And I knew he had a girlfriend...\I mean, look at his cell phone.\I had no chance...\Asking him if I could call him master\was so pathetic.\I wanted to call him Takeo-kun, not master, too!\Waaah response:	I loved him!
context: And I knew he had a girlfriend...\I mean, look at his cell phone.\I had no chance...\Asking him if I could call him master\was so pathetic.\I wanted to call him Takeo-kun, not master, too!\Waaah\I loved him! response:	What?
context: I mean, look at his cell phone.\I had no chance...\Asking him if I could call him master\was so pathetic.\I wanted to call him Takeo-kun, not master, too!\Waaah\I loved him!\What? response:	Why is she crying?
context: I had no chance...\Asking him if I could call him master\was so pathetic.\I wanted to call him Takeo-kun, not master, too!\Waaah\I loved him!\What?\Why is she crying? response:	How much were the tissues?
context: Asking him if I could call him master\was so pathetic.\I wanted to call him Takeo-kun, not master, too!\Waaah\I loved him!\What?\Why is she crying?\How much were the tissues? response:	It's fine.
context: was so pathetic.\I wanted to call him Takeo-kun, not master, too!\Waaah\I loved him!\What?\Why is she crying?\How much were the tissues?\It's fine. response:	Having a broken heart must hurt.
context: I wanted to call him Takeo-kun, not master, too!\Waaah\I loved him!\What?\Why is she crying?\How much were the tissues?\It's fine.\Having a broken heart must hurt. response:	Not that I really understand what it's like, but...
context: Waaah\I loved him!\What?\Why is she crying?\How much were the tissues?\It's fine.\Having a broken heart must hurt.\Not that I really understand what it's like, but... response:	You don't need to worry about the small stuff.
context: I loved him!\What?\Why is she crying?\How much were the tissues?\It's fine.\Having a broken heart must hurt.\Not that I really understand what it's like, but...\You don't need to worry about the small stuff. response:	I wonder if I can like someone again.
context: What?\Why is she crying?\How much were the tissues?\It's fine.\Having a broken heart must hurt.\Not that I really understand what it's like, but...\You don't need to worry about the small stuff.\I wonder if I can like someone again. response:	I'm sure you can.
context: Why is she crying?\How much were the tissues?\It's fine.\Having a broken heart must hurt.\Not that I really understand what it's like, but...\You don't need to worry about the small stuff.\I wonder if I can like someone again.\I'm sure you can. response:	When?
context: How much were the tissues?\It's fine.\Having a broken heart must hurt.\Not that I really understand what it's like, but...\You don't need to worry about the small stuff.\I wonder if I can like someone again.\I'm sure you can.\When? response:	Eventually.
context: It's fine.\Having a broken heart must hurt.\Not that I really understand what it's like, but...\You don't need to worry about the small stuff.\I wonder if I can like someone again.\I'm sure you can.\When?\Eventually. response:	I'm sick of this!
context: Having a broken heart must hurt.\Not that I really understand what it's like, but...\You don't need to worry about the small stuff.\I wonder if I can like someone again.\I'm sure you can.\When?\Eventually.\I'm sick of this! response:	I want to now!
context: Not that I really understand what it's like, but...\You don't need to worry about the small stuff.\I wonder if I can like someone again.\I'm sure you can.\When?\Eventually.\I'm sick of this!\I want to now! response:	But I can't right now!
context: You don't need to worry about the small stuff.\I wonder if I can like someone again.\I'm sure you can.\When?\Eventually.\I'm sick of this!\I want to now!\But I can't right now! response:	You like girls who smile a lot and get along with everyone.
context: I wonder if I can like someone again.\I'm sure you can.\When?\Eventually.\I'm sick of this!\I want to now!\But I can't right now!\You like girls who smile a lot and get along with everyone. response:	That's right.
context: I'm sure you can.\When?\Eventually.\I'm sick of this!\I want to now!\But I can't right now!\You like girls who smile a lot and get along with everyone.\That's right. response:	That's how I've always been.
context: When?\Eventually.\I'm sick of this!\I want to now!\But I can't right now!\You like girls who smile a lot and get along with everyone.\That's right.\That's how I've always been. response:	Until I met Yamato.
context: Eventually.\I'm sick of this!\I want to now!\But I can't right now!\You like girls who smile a lot and get along with everyone.\That's right.\That's how I've always been.\Until I met Yamato. response:	But when I first met her,
context: I'm sick of this!\I want to now!\But I can't right now!\You like girls who smile a lot and get along with everyone.\That's right.\That's how I've always been.\Until I met Yamato.\But when I first met her, response:	Yamato was crying...
context: I want to now!\But I can't right now!\You like girls who smile a lot and get along with everyone.\That's right.\That's how I've always been.\Until I met Yamato.\But when I first met her,\Yamato was crying... response:	She still thanked me.
context: But I can't right now!\You like girls who smile a lot and get along with everyone.\That's right.\That's how I've always been.\Until I met Yamato.\But when I first met her,\Yamato was crying...\She still thanked me. response:	She can't eat hot food.
context: You like girls who smile a lot and get along with everyone.\That's right.\That's how I've always been.\Until I met Yamato.\But when I first met her,\Yamato was crying...\She still thanked me.\She can't eat hot food. response:	And she's a slow runner, even though she can move fast.
context: That's right.\That's how I've always been.\Until I met Yamato.\But when I first met her,\Yamato was crying...\She still thanked me.\She can't eat hot food.\And she's a slow runner, even though she can move fast. response:	She laughs a lot.
context: That's how I've always been.\Until I met Yamato.\But when I first met her,\Yamato was crying...\She still thanked me.\She can't eat hot food.\And she's a slow runner, even though she can move fast.\She laughs a lot. response:	I like all of that.
context: Until I met Yamato.\But when I first met her,\Yamato was crying...\She still thanked me.\She can't eat hot food.\And she's a slow runner, even though she can move fast.\She laughs a lot.\I like all of that. response:	She's so cute, I can't even say it.
context: But when I first met her,\Yamato was crying...\She still thanked me.\She can't eat hot food.\And she's a slow runner, even though she can move fast.\She laughs a lot.\I like all of that.\She's so cute, I can't even say it. response:	I don't know when I started feeling this way.
context: Yamato was crying...\She still thanked me.\She can't eat hot food.\And she's a slow runner, even though she can move fast.\She laughs a lot.\I like all of that.\She's so cute, I can't even say it.\I don't know when I started feeling this way. response:	But when I thought she liked Suna,
context: She still thanked me.\She can't eat hot food.\And she's a slow runner, even though she can move fast.\She laughs a lot.\I like all of that.\She's so cute, I can't even say it.\I don't know when I started feeling this way.\But when I thought she liked Suna, response:	I remember how I felt crushed for the first time in my life.
context: She can't eat hot food.\And she's a slow runner, even though she can move fast.\She laughs a lot.\I like all of that.\She's so cute, I can't even say it.\I don't know when I started feeling this way.\But when I thought she liked Suna,\I remember how I felt crushed for the first time in my life. response:	Takeo-kun!
context: And she's a slow runner, even though she can move fast.\She laughs a lot.\I like all of that.\She's so cute, I can't even say it.\I don't know when I started feeling this way.\But when I thought she liked Suna,\I remember how I felt crushed for the first time in my life.\Takeo-kun! response:	I wasn't expecting you!
context: She laughs a lot.\I like all of that.\She's so cute, I can't even say it.\I don't know when I started feeling this way.\But when I thought she liked Suna,\I remember how I felt crushed for the first time in my life.\Takeo-kun!\I wasn't expecting you! response:	What's wrong?
context: I like all of that.\She's so cute, I can't even say it.\I don't know when I started feeling this way.\But when I thought she liked Suna,\I remember how I felt crushed for the first time in my life.\Takeo-kun!\I wasn't expecting you!\What's wrong? response:	It isn't just that I like her!
context: She's so cute, I can't even say it.\I don't know when I started feeling this way.\But when I thought she liked Suna,\I remember how I felt crushed for the first time in my life.\Takeo-kun!\I wasn't expecting you!\What's wrong?\It isn't just that I like her! response:	I really love her!
context: I don't know when I started feeling this way.\But when I thought she liked Suna,\I remember how I felt crushed for the first time in my life.\Takeo-kun!\I wasn't expecting you!\What's wrong?\It isn't just that I like her!\I really love her! response:	Yamato, Saijou told me that she likes me as a man.
context: But when I thought she liked Suna,\I remember how I felt crushed for the first time in my life.\Takeo-kun!\I wasn't expecting you!\What's wrong?\It isn't just that I like her!\I really love her!\Yamato, Saijou told me that she likes me as a man. response:	Huh?
context: I remember how I felt crushed for the first time in my life.\Takeo-kun!\I wasn't expecting you!\What's wrong?\It isn't just that I like her!\I really love her!\Yamato, Saijou told me that she likes me as a man.\Huh? response:	I apologized to her and turned her down.
context: Takeo-kun!\I wasn't expecting you!\What's wrong?\It isn't just that I like her!\I really love her!\Yamato, Saijou told me that she likes me as a man.\Huh?\I apologized to her and turned her down. response:	Not because I have a girlfriend...
context: I wasn't expecting you!\What's wrong?\It isn't just that I like her!\I really love her!\Yamato, Saijou told me that she likes me as a man.\Huh?\I apologized to her and turned her down.\Not because I have a girlfriend... response:	Not because I have you...
context: What's wrong?\It isn't just that I like her!\I really love her!\Yamato, Saijou told me that she likes me as a man.\Huh?\I apologized to her and turned her down.\Not because I have a girlfriend...\Not because I have you... response:	I'd never go out with any other girl.
context: It isn't just that I like her!\I really love her!\Yamato, Saijou told me that she likes me as a man.\Huh?\I apologized to her and turned her down.\Not because I have a girlfriend...\Not because I have you...\I'd never go out with any other girl. response:	And that isn't because I'm not popular with girls...
context: I really love her!\Yamato, Saijou told me that she likes me as a man.\Huh?\I apologized to her and turned her down.\Not because I have a girlfriend...\Not because I have you...\I'd never go out with any other girl.\And that isn't because I'm not popular with girls... response:	It's because I like you, Yamato!
context: Yamato, Saijou told me that she likes me as a man.\Huh?\I apologized to her and turned her down.\Not because I have a girlfriend...\Not because I have you...\I'd never go out with any other girl.\And that isn't because I'm not popular with girls...\It's because I like you, Yamato! response:	You're the only one for me!
context: Huh?\I apologized to her and turned her down.\Not because I have a girlfriend...\Not because I have you...\I'd never go out with any other girl.\And that isn't because I'm not popular with girls...\It's because I like you, Yamato!\You're the only one for me! response:	So it's going to be fine.
context: I apologized to her and turned her down.\Not because I have a girlfriend...\Not because I have you...\I'd never go out with any other girl.\And that isn't because I'm not popular with girls...\It's because I like you, Yamato!\You're the only one for me!\So it's going to be fine. response:	Don't worry anymore.
context: Not because I have a girlfriend...\Not because I have you...\I'd never go out with any other girl.\And that isn't because I'm not popular with girls...\It's because I like you, Yamato!\You're the only one for me!\So it's going to be fine.\Don't worry anymore. response:	Okay.
context: Not because I have you...\I'd never go out with any other girl.\And that isn't because I'm not popular with girls...\It's because I like you, Yamato!\You're the only one for me!\So it's going to be fine.\Don't worry anymore.\Okay. response:	Let's go home.
context: I'd never go out with any other girl.\And that isn't because I'm not popular with girls...\It's because I like you, Yamato!\You're the only one for me!\So it's going to be fine.\Don't worry anymore.\Okay.\Let's go home. response:	Okay.
context: And that isn't because I'm not popular with girls...\It's because I like you, Yamato!\You're the only one for me!\So it's going to be fine.\Don't worry anymore.\Okay.\Let's go home.\Okay. response:	No way... He's her boyfriend?! Huh? What?!
context: It's because I like you, Yamato!\You're the only one for me!\So it's going to be fine.\Don't worry anymore.\Okay.\Let's go home.\Okay.\No way... He's her boyfriend?! Huh? What?! response:	Is he a bear?! A gorilla?! Mountain gorilla?
context: You're the only one for me!\So it's going to be fine.\Don't worry anymore.\Okay.\Let's go home.\Okay.\No way... He's her boyfriend?! Huh? What?!\Is he a bear?! A gorilla?! Mountain gorilla? response:	Huh?
context: So it's going to be fine.\Don't worry anymore.\Okay.\Let's go home.\Okay.\No way... He's her boyfriend?! Huh? What?!\Is he a bear?! A gorilla?! Mountain gorilla?\Huh? response:	What's wrong?
context: Don't worry anymore.\Okay.\Let's go home.\Okay.\No way... He's her boyfriend?! Huh? What?!\Is he a bear?! A gorilla?! Mountain gorilla?\Huh?\What's wrong? response:	I'm... I'm just happy.
context: Okay.\Let's go home.\Okay.\No way... He's her boyfriend?! Huh? What?!\Is he a bear?! A gorilla?! Mountain gorilla?\Huh?\What's wrong?\I'm... I'm just happy. response:	I knew it, you know?
context: Let's go home.\Okay.\No way... He's her boyfriend?! Huh? What?!\Is he a bear?! A gorilla?! Mountain gorilla?\Huh?\What's wrong?\I'm... I'm just happy.\I knew it, you know? response:	I knew it.
context: Okay.\No way... He's her boyfriend?! Huh? What?!\Is he a bear?! A gorilla?! Mountain gorilla?\Huh?\What's wrong?\I'm... I'm just happy.\I knew it, you know?\I knew it. response:	But when I thought about how you really like me...
context: No way... He's her boyfriend?! Huh? What?!\Is he a bear?! A gorilla?! Mountain gorilla?\Huh?\What's wrong?\I'm... I'm just happy.\I knew it, you know?\I knew it.\But when I thought about how you really like me... response:	I love you!
