context: Child of God (Part One) response:	Without thinking, it came out of my mouth...
context: Are you going to the shopping area, too?\Me too. I'm going to the bookstore.\Want to go together?\You haven't come over recently, huh?\We had dumplings last night. Homemade, even the wrappers.\They were delicious. You should've came over.\Yeah. I see...\How about I buy it for you? response:	- Oh, no, I'd feel bad! - That's alright, it's 100 yen.
context: Me too. I'm going to the bookstore.\Want to go together?\You haven't come over recently, huh?\We had dumplings last night. Homemade, even the wrappers.\They were delicious. You should've came over.\Yeah. I see...\How about I buy it for you?\- Oh, no, I'd feel bad! - That's alright, it's 100 yen. response:	Alright. Here you go.
context: Want to go together?\You haven't come over recently, huh?\We had dumplings last night. Homemade, even the wrappers.\They were delicious. You should've came over.\Yeah. I see...\How about I buy it for you?\- Oh, no, I'd feel bad! - That's alright, it's 100 yen.\Alright. Here you go. response:	First time being treated by a guy.
context: You haven't come over recently, huh?\We had dumplings last night. Homemade, even the wrappers.\They were delicious. You should've came over.\Yeah. I see...\How about I buy it for you?\- Oh, no, I'd feel bad! - That's alright, it's 100 yen.\Alright. Here you go.\First time being treated by a guy. response:	Th-Thank you!
context: We had dumplings last night. Homemade, even the wrappers.\They were delicious. You should've came over.\Yeah. I see...\How about I buy it for you?\- Oh, no, I'd feel bad! - That's alright, it's 100 yen.\Alright. Here you go.\First time being treated by a guy.\Th-Thank you! response:	Sip
context: They were delicious. You should've came over.\Yeah. I see...\How about I buy it for you?\- Oh, no, I'd feel bad! - That's alright, it's 100 yen.\Alright. Here you go.\First time being treated by a guy.\Th-Thank you!\Sip response:	It's cold! And really thick! But yummy!
context: Yeah. I see...\How about I buy it for you?\- Oh, no, I'd feel bad! - That's alright, it's 100 yen.\Alright. Here you go.\First time being treated by a guy.\Th-Thank you!\Sip\It's cold! And really thick! But yummy! response:	As I thought, Rei...
context: How about I buy it for you?\- Oh, no, I'd feel bad! - That's alright, it's 100 yen.\Alright. Here you go.\First time being treated by a guy.\Th-Thank you!\Sip\It's cold! And really thick! But yummy!\As I thought, Rei... response:	Rei was crying.
context: - Oh, no, I'd feel bad! - That's alright, it's 100 yen.\Alright. Here you go.\First time being treated by a guy.\Th-Thank you!\Sip\It's cold! And really thick! But yummy!\As I thought, Rei...\Rei was crying. response:	Big tears drip-dripped down his cheeks.
context: Alright. Here you go.\First time being treated by a guy.\Th-Thank you!\Sip\It's cold! And really thick! But yummy!\As I thought, Rei...\Rei was crying.\Big tears drip-dripped down his cheeks. response:	I'm sure it's because he remembered.
context: First time being treated by a guy.\Th-Thank you!\Sip\It's cold! And really thick! But yummy!\As I thought, Rei...\Rei was crying.\Big tears drip-dripped down his cheeks.\I'm sure it's because he remembered. response:	Rei hasn't come over recently, huh?
context: Th-Thank you!\Sip\It's cold! And really thick! But yummy!\As I thought, Rei...\Rei was crying.\Big tears drip-dripped down his cheeks.\I'm sure it's because he remembered.\Rei hasn't come over recently, huh? response:	True. But let's give him a little space for now. Everyone has times like that.
context: Sip\It's cold! And really thick! But yummy!\As I thought, Rei...\Rei was crying.\Big tears drip-dripped down his cheeks.\I'm sure it's because he remembered.\Rei hasn't come over recently, huh?\True. But let's give him a little space for now. Everyone has times like that. response:	That's what Sis said, but...
context: It's cold! And really thick! But yummy!\As I thought, Rei...\Rei was crying.\Big tears drip-dripped down his cheeks.\I'm sure it's because he remembered.\Rei hasn't come over recently, huh?\True. But let's give him a little space for now. Everyone has times like that.\That's what Sis said, but... response:	But!
context: As I thought, Rei...\Rei was crying.\Big tears drip-dripped down his cheeks.\I'm sure it's because he remembered.\Rei hasn't come over recently, huh?\True. But let's give him a little space for now. Everyone has times like that.\That's what Sis said, but...\But! response:	- Want some?! - What?
context: Rei was crying.\Big tears drip-dripped down his cheeks.\I'm sure it's because he remembered.\Rei hasn't come over recently, huh?\True. But let's give him a little space for now. Everyone has times like that.\That's what Sis said, but...\But!\- Want some?! - What? response:	Listen, we're having tempura tonight.
context: Big tears drip-dripped down his cheeks.\I'm sure it's because he remembered.\Rei hasn't come over recently, huh?\True. But let's give him a little space for now. Everyone has times like that.\That's what Sis said, but...\But!\- Want some?! - What?\Listen, we're having tempura tonight. response:	Pumpkin and onions, and when Sis deep fries them, they're so delicious!
context: I'm sure it's because he remembered.\Rei hasn't come over recently, huh?\True. But let's give him a little space for now. Everyone has times like that.\That's what Sis said, but...\But!\- Want some?! - What?\Listen, we're having tempura tonight.\Pumpkin and onions, and when Sis deep fries them, they're so delicious! response:	So...
context: Rei hasn't come over recently, huh?\True. But let's give him a little space for now. Everyone has times like that.\That's what Sis said, but...\But!\- Want some?! - What?\Listen, we're having tempura tonight.\Pumpkin and onions, and when Sis deep fries them, they're so delicious!\So... response:	Rei is always quiet and mature like an adult...
context: True. But let's give him a little space for now. Everyone has times like that.\That's what Sis said, but...\But!\- Want some?! - What?\Listen, we're having tempura tonight.\Pumpkin and onions, and when Sis deep fries them, they're so delicious!\So...\Rei is always quiet and mature like an adult... response:	So... So...
context: That's what Sis said, but...\But!\- Want some?! - What?\Listen, we're having tempura tonight.\Pumpkin and onions, and when Sis deep fries them, they're so delicious!\So...\Rei is always quiet and mature like an adult...\So... So... response:	Let's eat dinner together.
context: But!\- Want some?! - What?\Listen, we're having tempura tonight.\Pumpkin and onions, and when Sis deep fries them, they're so delicious!\So...\Rei is always quiet and mature like an adult...\So... So...\Let's eat dinner together. response:	Child of God (Part Two)
context: - Want some?! - What?\Listen, we're having tempura tonight.\Pumpkin and onions, and when Sis deep fries them, they're so delicious!\So...\Rei is always quiet and mature like an adult...\So... So...\Let's eat dinner together.\Child of God (Part Two) response:	Child of God (Part Three)
context: Listen, we're having tempura tonight.\Pumpkin and onions, and when Sis deep fries them, they're so delicious!\So...\Rei is always quiet and mature like an adult...\So... So...\Let's eat dinner together.\Child of God (Part Two)\Child of God (Part Three) response:	You should come over!
context: Pumpkin and onions, and when Sis deep fries them, they're so delicious!\So...\Rei is always quiet and mature like an adult...\So... So...\Let's eat dinner together.\Child of God (Part Two)\Child of God (Part Three)\You should come over! response:	Okay.
context: So...\Rei is always quiet and mature like an adult...\So... So...\Let's eat dinner together.\Child of God (Part Two)\Child of God (Part Three)\You should come over!\Okay. response:	That's good.
context: Rei is always quiet and mature like an adult...\So... So...\Let's eat dinner together.\Child of God (Part Two)\Child of God (Part Three)\You should come over!\Okay.\That's good. response:	It struck me again how this tiny Hina is so kind and level-headed.
context: So... So...\Let's eat dinner together.\Child of God (Part Two)\Child of God (Part Three)\You should come over!\Okay.\That's good.\It struck me again how this tiny Hina is so kind and level-headed. response:	Still, a middle school student worrying about a high school student...
context: Let's eat dinner together.\Child of God (Part Two)\Child of God (Part Three)\You should come over!\Okay.\That's good.\It struck me again how this tiny Hina is so kind and level-headed.\Still, a middle school student worrying about a high school student... response:	What the heck...
context: Child of God (Part Two)\Child of God (Part Three)\You should come over!\Okay.\That's good.\It struck me again how this tiny Hina is so kind and level-headed.\Still, a middle school student worrying about a high school student...\What the heck... response:	But that's right.
context: Child of God (Part Three)\You should come over!\Okay.\That's good.\It struck me again how this tiny Hina is so kind and level-headed.\Still, a middle school student worrying about a high school student...\What the heck...\But that's right. response:	Hina takes care of her little sister, helps with the chores and also at the store.
context: You should come over!\Okay.\That's good.\It struck me again how this tiny Hina is so kind and level-headed.\Still, a middle school student worrying about a high school student...\What the heck...\But that's right.\Hina takes care of her little sister, helps with the chores and also at the store. response:	Even Akari properly takes care of all of them.
context: Okay.\That's good.\It struck me again how this tiny Hina is so kind and level-headed.\Still, a middle school student worrying about a high school student...\What the heck...\But that's right.\Hina takes care of her little sister, helps with the chores and also at the store.\Even Akari properly takes care of all of them. response:	She helps out at both the sweets shop and her aunt's hostess club in Ginza.
context: That's good.\It struck me again how this tiny Hina is so kind and level-headed.\Still, a middle school student worrying about a high school student...\What the heck...\But that's right.\Hina takes care of her little sister, helps with the chores and also at the store.\Even Akari properly takes care of all of them.\She helps out at both the sweets shop and her aunt's hostess club in Ginza. response:	Everyone is working so hard...
context: It struck me again how this tiny Hina is so kind and level-headed.\Still, a middle school student worrying about a high school student...\What the heck...\But that's right.\Hina takes care of her little sister, helps with the chores and also at the store.\Even Akari properly takes care of all of them.\She helps out at both the sweets shop and her aunt's hostess club in Ginza.\Everyone is working so hard... response:	That's right.
context: Still, a middle school student worrying about a high school student...\What the heck...\But that's right.\Hina takes care of her little sister, helps with the chores and also at the store.\Even Akari properly takes care of all of them.\She helps out at both the sweets shop and her aunt's hostess club in Ginza.\Everyone is working so hard...\That's right. response:	How is it that my head fills up so fast...
context: What the heck...\But that's right.\Hina takes care of her little sister, helps with the chores and also at the store.\Even Akari properly takes care of all of them.\She helps out at both the sweets shop and her aunt's hostess club in Ginza.\Everyone is working so hard...\That's right.\How is it that my head fills up so fast... response:	It's pathetic.
context: But that's right.\Hina takes care of her little sister, helps with the chores and also at the store.\Even Akari properly takes care of all of them.\She helps out at both the sweets shop and her aunt's hostess club in Ginza.\Everyone is working so hard...\That's right.\How is it that my head fills up so fast...\It's pathetic. response:	Gerrg
context: Hina takes care of her little sister, helps with the chores and also at the store.\Even Akari properly takes care of all of them.\She helps out at both the sweets shop and her aunt's hostess club in Ginza.\Everyone is working so hard...\That's right.\How is it that my head fills up so fast...\It's pathetic.\Gerrg response:	Blush
context: Even Akari properly takes care of all of them.\She helps out at both the sweets shop and her aunt's hostess club in Ginza.\Everyone is working so hard...\That's right.\How is it that my head fills up so fast...\It's pathetic.\Gerrg\Blush response:	Hina?
context: She helps out at both the sweets shop and her aunt's hostess club in Ginza.\Everyone is working so hard...\That's right.\How is it that my head fills up so fast...\It's pathetic.\Gerrg\Blush\Hina? response:	Gerrg?
context: Everyone is working so hard...\That's right.\How is it that my head fills up so fast...\It's pathetic.\Gerrg\Blush\Hina?\Gerrg? response:	Crunch
context: That's right.\How is it that my head fills up so fast...\It's pathetic.\Gerrg\Blush\Hina?\Gerrg?\Crunch response:	Hey, Kawamoto.
context: How is it that my head fills up so fast...\It's pathetic.\Gerrg\Blush\Hina?\Gerrg?\Crunch\Hey, Kawamoto. response:	The guy from the...
context: It's pathetic.\Gerrg\Blush\Hina?\Gerrg?\Crunch\Hey, Kawamoto.\The guy from the... response:	Who Hina has a crush on...
context: Gerrg\Blush\Hina?\Gerrg?\Crunch\Hey, Kawamoto.\The guy from the...\Who Hina has a crush on... response:	Zumomomo
context: Blush\Hina?\Gerrg?\Crunch\Hey, Kawamoto.\The guy from the...\Who Hina has a crush on...\Zumomomo response:	Um, this must be your friend?
context: Hina?\Gerrg?\Crunch\Hey, Kawamoto.\The guy from the...\Who Hina has a crush on...\Zumomomo\Um, this must be your friend? response:	Please, have my seat.
context: Gerrg?\Crunch\Hey, Kawamoto.\The guy from the...\Who Hina has a crush on...\Zumomomo\Um, this must be your friend?\Please, have my seat. response:	I was just about to leave.
context: Crunch\Hey, Kawamoto.\The guy from the...\Who Hina has a crush on...\Zumomomo\Um, this must be your friend?\Please, have my seat.\I was just about to leave. response:	Squeeze...
context: Hey, Kawamoto.\The guy from the...\Who Hina has a crush on...\Zumomomo\Um, this must be your friend?\Please, have my seat.\I was just about to leave.\Squeeze... response:	Kablam
context: The guy from the...\Who Hina has a crush on...\Zumomomo\Um, this must be your friend?\Please, have my seat.\I was just about to leave.\Squeeze...\Kablam response:	Massive already around 180cm
context: Who Hina has a crush on...\Zumomomo\Um, this must be your friend?\Please, have my seat.\I was just about to leave.\Squeeze...\Kablam\Massive already around 180cm response:	This is awkward...
context: Zumomomo\Um, this must be your friend?\Please, have my seat.\I was just about to leave.\Squeeze...\Kablam\Massive already around 180cm\This is awkward... response:	Um... Uh...
context: Um, this must be your friend?\Please, have my seat.\I was just about to leave.\Squeeze...\Kablam\Massive already around 180cm\This is awkward...\Um... Uh... response:	Silence...
context: Please, have my seat.\I was just about to leave.\Squeeze...\Kablam\Massive already around 180cm\This is awkward...\Um... Uh...\Silence... response:	Wh-What do I talk about? I've never talked to a sportsman before.
context: I was just about to leave.\Squeeze...\Kablam\Massive already around 180cm\This is awkward...\Um... Uh...\Silence...\Wh-What do I talk about? I've never talked to a sportsman before. response:	Stare
context: Squeeze...\Kablam\Massive already around 180cm\This is awkward...\Um... Uh...\Silence...\Wh-What do I talk about? I've never talked to a sportsman before.\Stare response:	To Be Continued
context: Kablam\Massive already around 180cm\This is awkward...\Um... Uh...\Silence...\Wh-What do I talk about? I've never talked to a sportsman before.\Stare\To Be Continued response:	Next Episode Preview
context: Massive already around 180cm\This is awkward...\Um... Uh...\Silence...\Wh-What do I talk about? I've never talked to a sportsman before.\Stare\To Be Continued\Next Episode Preview response:	Episode 7
context: This is awkward...\Um... Uh...\Silence...\Wh-What do I talk about? I've never talked to a sportsman before.\Stare\To Be Continued\Next Episode Preview\Episode 7 response:	I haven't been to the Kawamoto house in a while.
context: Um... Uh...\Silence...\Wh-What do I talk about? I've never talked to a sportsman before.\Stare\To Be Continued\Next Episode Preview\Episode 7\I haven't been to the Kawamoto house in a while. response:	He's huge... I'm scared!
context: Silence...\Wh-What do I talk about? I've never talked to a sportsman before.\Stare\To Be Continued\Next Episode Preview\Episode 7\I haven't been to the Kawamoto house in a while.\He's huge... I'm scared! response:	Was curry really the right thing to make?
context: Wh-What do I talk about? I've never talked to a sportsman before.\Stare\To Be Continued\Next Episode Preview\Episode 7\I haven't been to the Kawamoto house in a while.\He's huge... I'm scared!\Was curry really the right thing to make? response:	Okay, how about fried chicken as a bonus?
context: Stare\To Be Continued\Next Episode Preview\Episode 7\I haven't been to the Kawamoto house in a while.\He's huge... I'm scared!\Was curry really the right thing to make?\Okay, how about fried chicken as a bonus? response:	Thank you, Sis!
context: To Be Continued\Next Episode Preview\Episode 7\I haven't been to the Kawamoto house in a while.\He's huge... I'm scared!\Was curry really the right thing to make?\Okay, how about fried chicken as a bonus?\Thank you, Sis! response:	It's so springtime of life!
context: Next Episode Preview\Episode 7\I haven't been to the Kawamoto house in a while.\He's huge... I'm scared!\Was curry really the right thing to make?\Okay, how about fried chicken as a bonus?\Thank you, Sis!\It's so springtime of life! response:	Hey, let's eat the curry already.
context: Episode 7\I haven't been to the Kawamoto house in a while.\He's huge... I'm scared!\Was curry really the right thing to make?\Okay, how about fried chicken as a bonus?\Thank you, Sis!\It's so springtime of life!\Hey, let's eat the curry already. response:	I hope you watch the next episode of March Comes in Like a Lion!
context: I haven't been to the Kawamoto house in a while.\He's huge... I'm scared!\Was curry really the right thing to make?\Okay, how about fried chicken as a bonus?\Thank you, Sis!\It's so springtime of life!\Hey, let's eat the curry already.\I hope you watch the next episode of March Comes in Like a Lion! response:	The beach is nice too, but I also want to go to a hot spring!
