context: I'm Kurihara Osamu, a first-year in high school. response:	The candle we both lit in our hearts on a holy night
context: I see, so it was cute...\She gave me something she liked.\I also baked a cake.\I consulted Sunakawa-kun,\and decided to bake the first cake you had from me, a cheesecake.\Happy Birthday, Takeo-kun\I thought about serving it when everyone was here,\but I wanted you to see it before it got all cut up. response:	Yeah, I can't let anyone else have this.
context: She gave me something she liked.\I also baked a cake.\I consulted Sunakawa-kun,\and decided to bake the first cake you had from me, a cheesecake.\Happy Birthday, Takeo-kun\I thought about serving it when everyone was here,\but I wanted you to see it before it got all cut up.\Yeah, I can't let anyone else have this. response:	Oh, I brought candles! Sixteen!
context: I also baked a cake.\I consulted Sunakawa-kun,\and decided to bake the first cake you had from me, a cheesecake.\Happy Birthday, Takeo-kun\I thought about serving it when everyone was here,\but I wanted you to see it before it got all cut up.\Yeah, I can't let anyone else have this.\Oh, I brought candles! Sixteen! response:	I think there's a lighter in the kitchen.
context: I consulted Sunakawa-kun,\and decided to bake the first cake you had from me, a cheesecake.\Happy Birthday, Takeo-kun\I thought about serving it when everyone was here,\but I wanted you to see it before it got all cut up.\Yeah, I can't let anyone else have this.\Oh, I brought candles! Sixteen!\I think there's a lighter in the kitchen. response:	I'll go get it.
context: and decided to bake the first cake you had from me, a cheesecake.\Happy Birthday, Takeo-kun\I thought about serving it when everyone was here,\but I wanted you to see it before it got all cut up.\Yeah, I can't let anyone else have this.\Oh, I brought candles! Sixteen!\I think there's a lighter in the kitchen.\I'll go get it. response:	Okay.
context: Happy Birthday, Takeo-kun\I thought about serving it when everyone was here,\but I wanted you to see it before it got all cut up.\Yeah, I can't let anyone else have this.\Oh, I brought candles! Sixteen!\I think there's a lighter in the kitchen.\I'll go get it.\Okay. response:	Okay...
context: I thought about serving it when everyone was here,\but I wanted you to see it before it got all cut up.\Yeah, I can't let anyone else have this.\Oh, I brought candles! Sixteen!\I think there's a lighter in the kitchen.\I'll go get it.\Okay.\Okay... response:	Happy Birthday, Takeo-kun.
context: but I wanted you to see it before it got all cut up.\Yeah, I can't let anyone else have this.\Oh, I brought candles! Sixteen!\I think there's a lighter in the kitchen.\I'll go get it.\Okay.\Okay...\Happy Birthday, Takeo-kun. response:	Yep, thanks.
context: Yeah, I can't let anyone else have this.\Oh, I brought candles! Sixteen!\I think there's a lighter in the kitchen.\I'll go get it.\Okay.\Okay...\Happy Birthday, Takeo-kun.\Yep, thanks. response:	It's beautiful.
context: Oh, I brought candles! Sixteen!\I think there's a lighter in the kitchen.\I'll go get it.\Okay.\Okay...\Happy Birthday, Takeo-kun.\Yep, thanks.\It's beautiful. response:	Thank you, Yamato.
context: I think there's a lighter in the kitchen.\I'll go get it.\Okay.\Okay...\Happy Birthday, Takeo-kun.\Yep, thanks.\It's beautiful.\Thank you, Yamato. response:	Takeo-kun,
context: I'll go get it.\Okay.\Okay...\Happy Birthday, Takeo-kun.\Yep, thanks.\It's beautiful.\Thank you, Yamato.\Takeo-kun, response:	you have to close your eyes and make a wish before you blow out the candles.
context: Okay.\Okay...\Happy Birthday, Takeo-kun.\Yep, thanks.\It's beautiful.\Thank you, Yamato.\Takeo-kun,\you have to close your eyes and make a wish before you blow out the candles. response:	Oh, okay.
context: Okay...\Happy Birthday, Takeo-kun.\Yep, thanks.\It's beautiful.\Thank you, Yamato.\Takeo-kun,\you have to close your eyes and make a wish before you blow out the candles.\Oh, okay. response:	Slowly, okay?
context: Happy Birthday, Takeo-kun.\Yep, thanks.\It's beautiful.\Thank you, Yamato.\Takeo-kun,\you have to close your eyes and make a wish before you blow out the candles.\Oh, okay.\Slowly, okay? response:	Got it, make a wish.
context: Yep, thanks.\It's beautiful.\Thank you, Yamato.\Takeo-kun,\you have to close your eyes and make a wish before you blow out the candles.\Oh, okay.\Slowly, okay?\Got it, make a wish. response:	I'll never forget this.
context: It's beautiful.\Thank you, Yamato.\Takeo-kun,\you have to close your eyes and make a wish before you blow out the candles.\Oh, okay.\Slowly, okay?\Got it, make a wish.\I'll never forget this. response:	Not the phone call right at the stroke of midnight,
context: Thank you, Yamato.\Takeo-kun,\you have to close your eyes and make a wish before you blow out the candles.\Oh, okay.\Slowly, okay?\Got it, make a wish.\I'll never forget this.\Not the phone call right at the stroke of midnight, response:	not the stuffed animal or the cake.
context: Takeo-kun,\you have to close your eyes and make a wish before you blow out the candles.\Oh, okay.\Slowly, okay?\Got it, make a wish.\I'll never forget this.\Not the phone call right at the stroke of midnight,\not the stuffed animal or the cake. response:	I'll never forget.
context: you have to close your eyes and make a wish before you blow out the candles.\Oh, okay.\Slowly, okay?\Got it, make a wish.\I'll never forget this.\Not the phone call right at the stroke of midnight,\not the stuffed animal or the cake.\I'll never forget. response:	I hope Yamato will stay happy all year...
context: Oh, okay.\Slowly, okay?\Got it, make a wish.\I'll never forget this.\Not the phone call right at the stroke of midnight,\not the stuffed animal or the cake.\I'll never forget.\I hope Yamato will stay happy all year... response:	Yamato...
context: Slowly, okay?\Got it, make a wish.\I'll never forget this.\Not the phone call right at the stroke of midnight,\not the stuffed animal or the cake.\I'll never forget.\I hope Yamato will stay happy all year...\Yamato... response:	Thank you!
context: Got it, make a wish.\I'll never forget this.\Not the phone call right at the stroke of midnight,\not the stuffed animal or the cake.\I'll never forget.\I hope Yamato will stay happy all year...\Yamato...\Thank you! response:	Can I blow them out now?
context: I'll never forget this.\Not the phone call right at the stroke of midnight,\not the stuffed animal or the cake.\I'll never forget.\I hope Yamato will stay happy all year...\Yamato...\Thank you!\Can I blow them out now? response:	the candles
context: Not the phone call right at the stroke of midnight,\not the stuffed animal or the cake.\I'll never forget.\I hope Yamato will stay happy all year...\Yamato...\Thank you!\Can I blow them out now?\the candles response:	Huh?
context: not the stuffed animal or the cake.\I'll never forget.\I hope Yamato will stay happy all year...\Yamato...\Thank you!\Can I blow them out now?\the candles\Huh? response:	Y-Yeah!
context: I'll never forget.\I hope Yamato will stay happy all year...\Yamato...\Thank you!\Can I blow them out now?\the candles\Huh?\Y-Yeah! response:	Could it be...
context: I hope Yamato will stay happy all year...\Yamato...\Thank you!\Can I blow them out now?\the candles\Huh?\Y-Yeah!\Could it be... response:	Good.
context: Yamato...\Thank you!\Can I blow them out now?\the candles\Huh?\Y-Yeah!\Could it be...\Good. response:	Oh, I forgot to bring a knife and plates.
context: Thank you!\Can I blow them out now?\the candles\Huh?\Y-Yeah!\Could it be...\Good.\Oh, I forgot to bring a knife and plates. response:	he didn't...
context: Can I blow them out now?\the candles\Huh?\Y-Yeah!\Could it be...\Good.\Oh, I forgot to bring a knife and plates.\he didn't... response:	I'll get some!
context: the candles\Huh?\Y-Yeah!\Could it be...\Good.\Oh, I forgot to bring a knife and plates.\he didn't...\I'll get some! response:	I don't think he noticed at all!
context: Huh?\Y-Yeah!\Could it be...\Good.\Oh, I forgot to bring a knife and plates.\he didn't...\I'll get some!\I don't think he noticed at all! response:	orz
context: Y-Yeah!\Could it be...\Good.\Oh, I forgot to bring a knife and plates.\he didn't...\I'll get some!\I don't think he noticed at all!\orz response:	We're back.
context: Could it be...\Good.\Oh, I forgot to bring a knife and plates.\he didn't...\I'll get some!\I don't think he noticed at all!\orz\We're back. response:	Oh, hey, Mom.
context: Good.\Oh, I forgot to bring a knife and plates.\he didn't...\I'll get some!\I don't think he noticed at all!\orz\We're back.\Oh, hey, Mom. response:	Are you going to fillet fish or something?
context: Oh, I forgot to bring a knife and plates.\he didn't...\I'll get some!\I don't think he noticed at all!\orz\We're back.\Oh, hey, Mom.\Are you going to fillet fish or something? response:	I need to slice a cake.
context: he didn't...\I'll get some!\I don't think he noticed at all!\orz\We're back.\Oh, hey, Mom.\Are you going to fillet fish or something?\I need to slice a cake. response:	Here's a knife.
context: I'll get some!\I don't think he noticed at all!\orz\We're back.\Oh, hey, Mom.\Are you going to fillet fish or something?\I need to slice a cake.\Here's a knife. response:	Found a knife.
context: I don't think he noticed at all!\orz\We're back.\Oh, hey, Mom.\Are you going to fillet fish or something?\I need to slice a cake.\Here's a knife.\Found a knife. response:	Don't want to mess up the cake...
context: orz\We're back.\Oh, hey, Mom.\Are you going to fillet fish or something?\I need to slice a cake.\Here's a knife.\Found a knife.\Don't want to mess up the cake... response:	Digging in!
context: We're back.\Oh, hey, Mom.\Are you going to fillet fish or something?\I need to slice a cake.\Here's a knife.\Found a knife.\Don't want to mess up the cake...\Digging in! response:	It's delicious!
context: Oh, hey, Mom.\Are you going to fillet fish or something?\I need to slice a cake.\Here's a knife.\Found a knife.\Don't want to mess up the cake...\Digging in!\It's delicious! response:	I don't remember cakes being this delicious.
context: Are you going to fillet fish or something?\I need to slice a cake.\Here's a knife.\Found a knife.\Don't want to mess up the cake...\Digging in!\It's delicious!\I don't remember cakes being this delicious. response:	Thank you, Yamato.
context: I need to slice a cake.\Here's a knife.\Found a knife.\Don't want to mess up the cake...\Digging in!\It's delicious!\I don't remember cakes being this delicious.\Thank you, Yamato. response:	It's been a great birthday for me.
context: Here's a knife.\Found a knife.\Don't want to mess up the cake...\Digging in!\It's delicious!\I don't remember cakes being this delicious.\Thank you, Yamato.\It's been a great birthday for me. response:	I'm glad.
context: Found a knife.\Don't want to mess up the cake...\Digging in!\It's delicious!\I don't remember cakes being this delicious.\Thank you, Yamato.\It's been a great birthday for me.\I'm glad. response:	I'm happy...
context: Don't want to mess up the cake...\Digging in!\It's delicious!\I don't remember cakes being this delicious.\Thank you, Yamato.\It's been a great birthday for me.\I'm glad.\I'm happy... response:	From: Yamato
context: Digging in!\It's delicious!\I don't remember cakes being this delicious.\Thank you, Yamato.\It's been a great birthday for me.\I'm glad.\I'm happy...\From: Yamato response:	Takeo-kun, I'm glad I could celebrate your birthday with you.
context: It's delicious!\I don't remember cakes being this delicious.\Thank you, Yamato.\It's been a great birthday for me.\I'm glad.\I'm happy...\From: Yamato\Takeo-kun, I'm glad I could celebrate your birthday with you. response:	Congratulations!
context: I don't remember cakes being this delicious.\Thank you, Yamato.\It's been a great birthday for me.\I'm glad.\I'm happy...\From: Yamato\Takeo-kun, I'm glad I could celebrate your birthday with you.\Congratulations! response:	Oh, and I forgot to say it earlier,
context: Thank you, Yamato.\It's been a great birthday for me.\I'm glad.\I'm happy...\From: Yamato\Takeo-kun, I'm glad I could celebrate your birthday with you.\Congratulations!\Oh, and I forgot to say it earlier, response:	but Happy New Year.
context: It's been a great birthday for me.\I'm glad.\I'm happy...\From: Yamato\Takeo-kun, I'm glad I could celebrate your birthday with you.\Congratulations!\Oh, and I forgot to say it earlier,\but Happy New Year. response:	I'm looking forward to our time together.
context: I'm glad.\I'm happy...\From: Yamato\Takeo-kun, I'm glad I could celebrate your birthday with you.\Congratulations!\Oh, and I forgot to say it earlier,\but Happy New Year.\I'm looking forward to our time together. response:	I love you, Takeo-kun.
context: I'm happy...\From: Yamato\Takeo-kun, I'm glad I could celebrate your birthday with you.\Congratulations!\Oh, and I forgot to say it earlier,\but Happy New Year.\I'm looking forward to our time together.\I love you, Takeo-kun. response:	For Yamato, January first isn't New Year's Day.
context: From: Yamato\Takeo-kun, I'm glad I could celebrate your birthday with you.\Congratulations!\Oh, and I forgot to say it earlier,\but Happy New Year.\I'm looking forward to our time together.\I love you, Takeo-kun.\For Yamato, January first isn't New Year's Day. response:	It's my birthday...
context: Takeo-kun, I'm glad I could celebrate your birthday with you.\Congratulations!\Oh, and I forgot to say it earlier,\but Happy New Year.\I'm looking forward to our time together.\I love you, Takeo-kun.\For Yamato, January first isn't New Year's Day.\It's my birthday... response:	She almost forgot it was New Year's Day.
context: Congratulations!\Oh, and I forgot to say it earlier,\but Happy New Year.\I'm looking forward to our time together.\I love you, Takeo-kun.\For Yamato, January first isn't New Year's Day.\It's my birthday...\She almost forgot it was New Year's Day. response:	Suna!
context: Oh, and I forgot to say it earlier,\but Happy New Year.\I'm looking forward to our time together.\I love you, Takeo-kun.\For Yamato, January first isn't New Year's Day.\It's my birthday...\She almost forgot it was New Year's Day.\Suna! response:	Happy New Year!
context: but Happy New Year.\I'm looking forward to our time together.\I love you, Takeo-kun.\For Yamato, January first isn't New Year's Day.\It's my birthday...\She almost forgot it was New Year's Day.\Suna!\Happy New Year! response:	Yeah, Happy New Year.
context: I'm looking forward to our time together.\I love you, Takeo-kun.\For Yamato, January first isn't New Year's Day.\It's my birthday...\She almost forgot it was New Year's Day.\Suna!\Happy New Year!\Yeah, Happy New Year. response:	Takeo, here's your birthday present.
context: I love you, Takeo-kun.\For Yamato, January first isn't New Year's Day.\It's my birthday...\She almost forgot it was New Year's Day.\Suna!\Happy New Year!\Yeah, Happy New Year.\Takeo, here's your birthday present. response:	Notebook
context: For Yamato, January first isn't New Year's Day.\It's my birthday...\She almost forgot it was New Year's Day.\Suna!\Happy New Year!\Yeah, Happy New Year.\Takeo, here's your birthday present.\Notebook response:	Oh, thanks.
context: It's my birthday...\She almost forgot it was New Year's Day.\Suna!\Happy New Year!\Yeah, Happy New Year.\Takeo, here's your birthday present.\Notebook\Oh, thanks. response:	Good luck on your studies.
context: She almost forgot it was New Year's Day.\Suna!\Happy New Year!\Yeah, Happy New Year.\Takeo, here's your birthday present.\Notebook\Oh, thanks.\Good luck on your studies. response:	Where's Yamato-san?
context: Suna!\Happy New Year!\Yeah, Happy New Year.\Takeo, here's your birthday present.\Notebook\Oh, thanks.\Good luck on your studies.\Where's Yamato-san? response:	I just saw her home.
context: Happy New Year!\Yeah, Happy New Year.\Takeo, here's your birthday present.\Notebook\Oh, thanks.\Good luck on your studies.\Where's Yamato-san?\I just saw her home. response:	I got a stuffed animal from her...
context: Yeah, Happy New Year.\Takeo, here's your birthday present.\Notebook\Oh, thanks.\Good luck on your studies.\Where's Yamato-san?\I just saw her home.\I got a stuffed animal from her... response:	Huh, a stuffed animal.
context: Takeo, here's your birthday present.\Notebook\Oh, thanks.\Good luck on your studies.\Where's Yamato-san?\I just saw her home.\I got a stuffed animal from her...\Huh, a stuffed animal. response:	That sounds like her, all right.
context: Notebook\Oh, thanks.\Good luck on your studies.\Where's Yamato-san?\I just saw her home.\I got a stuffed animal from her...\Huh, a stuffed animal.\That sounds like her, all right. response:	I'd never think of giving you a stuffed animal.
context: Oh, thanks.\Good luck on your studies.\Where's Yamato-san?\I just saw her home.\I got a stuffed animal from her...\Huh, a stuffed animal.\That sounds like her, all right.\I'd never think of giving you a stuffed animal. response:	I think so, too.
context: Good luck on your studies.\Where's Yamato-san?\I just saw her home.\I got a stuffed animal from her...\Huh, a stuffed animal.\That sounds like her, all right.\I'd never think of giving you a stuffed animal.\I think so, too. response:	She baked me a cheesecake.
context: Where's Yamato-san?\I just saw her home.\I got a stuffed animal from her...\Huh, a stuffed animal.\That sounds like her, all right.\I'd never think of giving you a stuffed animal.\I think so, too.\She baked me a cheesecake. response:	It was a cute, round one.
context: I just saw her home.\I got a stuffed animal from her...\Huh, a stuffed animal.\That sounds like her, all right.\I'd never think of giving you a stuffed animal.\I think so, too.\She baked me a cheesecake.\It was a cute, round one. response:	It was a great birthday.
context: I got a stuffed animal from her...\Huh, a stuffed animal.\That sounds like her, all right.\I'd never think of giving you a stuffed animal.\I think so, too.\She baked me a cheesecake.\It was a cute, round one.\It was a great birthday. response:	Congrats, I'm happy for you.
context: Huh, a stuffed animal.\That sounds like her, all right.\I'd never think of giving you a stuffed animal.\I think so, too.\She baked me a cheesecake.\It was a cute, round one.\It was a great birthday.\Congrats, I'm happy for you. response:	She asked me to close my eyes and make a wish, before blowing out the candles.
context: That sounds like her, all right.\I'd never think of giving you a stuffed animal.\I think so, too.\She baked me a cheesecake.\It was a cute, round one.\It was a great birthday.\Congrats, I'm happy for you.\She asked me to close my eyes and make a wish, before blowing out the candles. response:	While my eyes were closed, a bug landed on my mouth.
context: I'd never think of giving you a stuffed animal.\I think so, too.\She baked me a cheesecake.\It was a cute, round one.\It was a great birthday.\Congrats, I'm happy for you.\She asked me to close my eyes and make a wish, before blowing out the candles.\While my eyes were closed, a bug landed on my mouth. response:	I was making a wish, so I almost opened my mouth.
context: I think so, too.\She baked me a cheesecake.\It was a cute, round one.\It was a great birthday.\Congrats, I'm happy for you.\She asked me to close my eyes and make a wish, before blowing out the candles.\While my eyes were closed, a bug landed on my mouth.\I was making a wish, so I almost opened my mouth. response:	A bug?
context: She baked me a cheesecake.\It was a cute, round one.\It was a great birthday.\Congrats, I'm happy for you.\She asked me to close my eyes and make a wish, before blowing out the candles.\While my eyes were closed, a bug landed on my mouth.\I was making a wish, so I almost opened my mouth.\A bug? response:	I didn't hear one flying around, so I didn't notice it at all.
context: It was a cute, round one.\It was a great birthday.\Congrats, I'm happy for you.\She asked me to close my eyes and make a wish, before blowing out the candles.\While my eyes were closed, a bug landed on my mouth.\I was making a wish, so I almost opened my mouth.\A bug?\I didn't hear one flying around, so I didn't notice it at all. response:	It was pretty big.
context: It was a great birthday.\Congrats, I'm happy for you.\She asked me to close my eyes and make a wish, before blowing out the candles.\While my eyes were closed, a bug landed on my mouth.\I was making a wish, so I almost opened my mouth.\A bug?\I didn't hear one flying around, so I didn't notice it at all.\It was pretty big. response:	It was kind of soft.
context: Congrats, I'm happy for you.\She asked me to close my eyes and make a wish, before blowing out the candles.\While my eyes were closed, a bug landed on my mouth.\I was making a wish, so I almost opened my mouth.\A bug?\I didn't hear one flying around, so I didn't notice it at all.\It was pretty big.\It was kind of soft. response:	It stayed for a while...
context: She asked me to close my eyes and make a wish, before blowing out the candles.\While my eyes were closed, a bug landed on my mouth.\I was making a wish, so I almost opened my mouth.\A bug?\I didn't hear one flying around, so I didn't notice it at all.\It was pretty big.\It was kind of soft.\It stayed for a while... response:	I wonder what kind of bug it was.
context: While my eyes were closed, a bug landed on my mouth.\I was making a wish, so I almost opened my mouth.\A bug?\I didn't hear one flying around, so I didn't notice it at all.\It was pretty big.\It was kind of soft.\It stayed for a while...\I wonder what kind of bug it was. response:	Doesn't that mean
context: I was making a wish, so I almost opened my mouth.\A bug?\I didn't hear one flying around, so I didn't notice it at all.\It was pretty big.\It was kind of soft.\It stayed for a while...\I wonder what kind of bug it was.\Doesn't that mean response:	you were kissed?
context: A bug?\I didn't hear one flying around, so I didn't notice it at all.\It was pretty big.\It was kind of soft.\It stayed for a while...\I wonder what kind of bug it was.\Doesn't that mean\you were kissed? response:	A kiss?
context: I didn't hear one flying around, so I didn't notice it at all.\It was pretty big.\It was kind of soft.\It stayed for a while...\I wonder what kind of bug it was.\Doesn't that mean\you were kissed?\A kiss? response:	A kiss...
context: It was pretty big.\It was kind of soft.\It stayed for a while...\I wonder what kind of bug it was.\Doesn't that mean\you were kissed?\A kiss?\A kiss... response:	A kiss!
context: It was kind of soft.\It stayed for a while...\I wonder what kind of bug it was.\Doesn't that mean\you were kissed?\A kiss?\A kiss...\A kiss! response:	A kiss!
context: It stayed for a while...\I wonder what kind of bug it was.\Doesn't that mean\you were kissed?\A kiss?\A kiss...\A kiss!\A kiss! response:	It wasn't a bug!
context: I wonder what kind of bug it was.\Doesn't that mean\you were kissed?\A kiss?\A kiss...\A kiss!\A kiss!\It wasn't a bug! response:	It wasn't a bug?!
context: Doesn't that mean\you were kissed?\A kiss?\A kiss...\A kiss!\A kiss!\It wasn't a bug!\It wasn't a bug?! response:	Yamato!
context: you were kissed?\A kiss?\A kiss...\A kiss!\A kiss!\It wasn't a bug!\It wasn't a bug?!\Yamato! response:	So I'd like to make your birthday something you'll never forget.
context: A kiss?\A kiss...\A kiss!\A kiss!\It wasn't a bug!\It wasn't a bug?!\Yamato!\So I'd like to make your birthday something you'll never forget. response:	Yamato!
context: A kiss...\A kiss!\A kiss!\It wasn't a bug!\It wasn't a bug?!\Yamato!\So I'd like to make your birthday something you'll never forget.\Yamato! response:	Happy Birthday, Takeo-kun.
context: A kiss!\A kiss!\It wasn't a bug!\It wasn't a bug?!\Yamato!\So I'd like to make your birthday something you'll never forget.\Yamato!\Happy Birthday, Takeo-kun. response:	Yamato...
context: A kiss!\It wasn't a bug!\It wasn't a bug?!\Yamato!\So I'd like to make your birthday something you'll never forget.\Yamato!\Happy Birthday, Takeo-kun.\Yamato... response:	I'm glad.
context: It wasn't a bug!\It wasn't a bug?!\Yamato!\So I'd like to make your birthday something you'll never forget.\Yamato!\Happy Birthday, Takeo-kun.\Yamato...\I'm glad. response:	Yamato...
context: It wasn't a bug?!\Yamato!\So I'd like to make your birthday something you'll never forget.\Yamato!\Happy Birthday, Takeo-kun.\Yamato...\I'm glad.\Yamato... response:	Hi, Takeo-kun, what's wrong?
context: Yamato!\So I'd like to make your birthday something you'll never forget.\Yamato!\Happy Birthday, Takeo-kun.\Yamato...\I'm glad.\Yamato...\Hi, Takeo-kun, what's wrong? response:	Yeah, I'm home.
context: So I'd like to make your birthday something you'll never forget.\Yamato!\Happy Birthday, Takeo-kun.\Yamato...\I'm glad.\Yamato...\Hi, Takeo-kun, what's wrong?\Yeah, I'm home. response:	Huh? Look outside?
context: Yamato!\Happy Birthday, Takeo-kun.\Yamato...\I'm glad.\Yamato...\Hi, Takeo-kun, what's wrong?\Yeah, I'm home.\Huh? Look outside? response:	Yamato
context: Happy Birthday, Takeo-kun.\Yamato...\I'm glad.\Yamato...\Hi, Takeo-kun, what's wrong?\Yeah, I'm home.\Huh? Look outside?\Yamato response:	What's wrong, Takeo-kun?
context: Yamato...\I'm glad.\Yamato...\Hi, Takeo-kun, what's wrong?\Yeah, I'm home.\Huh? Look outside?\Yamato\What's wrong, Takeo-kun? response:	Yamato...
context: I'm glad.\Yamato...\Hi, Takeo-kun, what's wrong?\Yeah, I'm home.\Huh? Look outside?\Yamato\What's wrong, Takeo-kun?\Yamato... response:	Did you
context: Yamato...\Hi, Takeo-kun, what's wrong?\Yeah, I'm home.\Huh? Look outside?\Yamato\What's wrong, Takeo-kun?\Yamato...\Did you response:	kiss me?
context: Hi, Takeo-kun, what's wrong?\Yeah, I'm home.\Huh? Look outside?\Yamato\What's wrong, Takeo-kun?\Yamato...\Did you\kiss me? response:	Huh?
context: Yeah, I'm home.\Huh? Look outside?\Yamato\What's wrong, Takeo-kun?\Yamato...\Did you\kiss me?\Huh? response:	Let me do it over!
context: Huh? Look outside?\Yamato\What's wrong, Takeo-kun?\Yamato...\Did you\kiss me?\Huh?\Let me do it over! response:	Eh?
context: Yamato\What's wrong, Takeo-kun?\Yamato...\Did you\kiss me?\Huh?\Let me do it over!\Eh? response:	One more time... Properly, this time...
context: What's wrong, Takeo-kun?\Yamato...\Did you\kiss me?\Huh?\Let me do it over!\Eh?\One more time... Properly, this time... response:	I love you.
context: Yamato...\Did you\kiss me?\Huh?\Let me do it over!\Eh?\One more time... Properly, this time...\I love you. response:	I'll be good to you! I will!
context: Did you\kiss me?\Huh?\Let me do it over!\Eh?\One more time... Properly, this time...\I love you.\I'll be good to you! I will! response:	Yeah! I will, too!
context: kiss me?\Huh?\Let me do it over!\Eh?\One more time... Properly, this time...\I love you.\I'll be good to you! I will!\Yeah! I will, too! response:	Yeah, thanks.
context: Huh?\Let me do it over!\Eh?\One more time... Properly, this time...\I love you.\I'll be good to you! I will!\Yeah! I will, too!\Yeah, thanks. response:	I'll be good to you.
context: Let me do it over!\Eh?\One more time... Properly, this time...\I love you.\I'll be good to you! I will!\Yeah! I will, too!\Yeah, thanks.\I'll be good to you. response:	Thank you, Takeo-kun.
context: Eh?\One more time... Properly, this time...\I love you.\I'll be good to you! I will!\Yeah! I will, too!\Yeah, thanks.\I'll be good to you.\Thank you, Takeo-kun. response:	I'll be good to you, too.
context: One more time... Properly, this time...\I love you.\I'll be good to you! I will!\Yeah! I will, too!\Yeah, thanks.\I'll be good to you.\Thank you, Takeo-kun.\I'll be good to you, too. response:	Yeah, me, too.
context: I love you.\I'll be good to you! I will!\Yeah! I will, too!\Yeah, thanks.\I'll be good to you.\Thank you, Takeo-kun.\I'll be good to you, too.\Yeah, me, too. response:	My sixteenth birthday...
context: I'll be good to you! I will!\Yeah! I will, too!\Yeah, thanks.\I'll be good to you.\Thank you, Takeo-kun.\I'll be good to you, too.\Yeah, me, too.\My sixteenth birthday... response:	I'll remember this day for the rest of my life.
context: Yeah! I will, too!\Yeah, thanks.\I'll be good to you.\Thank you, Takeo-kun.\I'll be good to you, too.\Yeah, me, too.\My sixteenth birthday...\I'll remember this day for the rest of my life. response:	Suna, it's thanks to you!
context: Yeah, thanks.\I'll be good to you.\Thank you, Takeo-kun.\I'll be good to you, too.\Yeah, me, too.\My sixteenth birthday...\I'll remember this day for the rest of my life.\Suna, it's thanks to you! response:	Thank you!
context: I'll be good to you.\Thank you, Takeo-kun.\I'll be good to you, too.\Yeah, me, too.\My sixteenth birthday...\I'll remember this day for the rest of my life.\Suna, it's thanks to you!\Thank you! response:	Don't mention it.
context: Thank you, Takeo-kun.\I'll be good to you, too.\Yeah, me, too.\My sixteenth birthday...\I'll remember this day for the rest of my life.\Suna, it's thanks to you!\Thank you!\Don't mention it. response:	Thank you.
context: I'll be good to you, too.\Yeah, me, too.\My sixteenth birthday...\I'll remember this day for the rest of my life.\Suna, it's thanks to you!\Thank you!\Don't mention it.\Thank you. response:	It's really all thanks to you!
context: Yeah, me, too.\My sixteenth birthday...\I'll remember this day for the rest of my life.\Suna, it's thanks to you!\Thank you!\Don't mention it.\Thank you.\It's really all thanks to you! response:	No, not really.
context: My sixteenth birthday...\I'll remember this day for the rest of my life.\Suna, it's thanks to you!\Thank you!\Don't mention it.\Thank you.\It's really all thanks to you!\No, not really. response:	I don't really want to think about it.
context: I'll remember this day for the rest of my life.\Suna, it's thanks to you!\Thank you!\Don't mention it.\Thank you.\It's really all thanks to you!\No, not really.\I don't really want to think about it. response:	I didn't do anything.
context: Suna, it's thanks to you!\Thank you!\Don't mention it.\Thank you.\It's really all thanks to you!\No, not really.\I don't really want to think about it.\I didn't do anything. response:	It's because you put yourself out there!
context: Thank you!\Don't mention it.\Thank you.\It's really all thanks to you!\No, not really.\I don't really want to think about it.\I didn't do anything.\It's because you put yourself out there! response:	Thank you!
context: Don't mention it.\Thank you.\It's really all thanks to you!\No, not really.\I don't really want to think about it.\I didn't do anything.\It's because you put yourself out there!\Thank you! response:	You're being loud.
context: Thank you.\It's really all thanks to you!\No, not really.\I don't really want to think about it.\I didn't do anything.\It's because you put yourself out there!\Thank you!\You're being loud. response:	Well, I'm glad to see you looking so happy.
context: It's really all thanks to you!\No, not really.\I don't really want to think about it.\I didn't do anything.\It's because you put yourself out there!\Thank you!\You're being loud.\Well, I'm glad to see you looking so happy. response:	By the way...
context: No, not really.\I don't really want to think about it.\I didn't do anything.\It's because you put yourself out there!\Thank you!\You're being loud.\Well, I'm glad to see you looking so happy.\By the way... response:	In this kind of situation,
context: I don't really want to think about it.\I didn't do anything.\It's because you put yourself out there!\Thank you!\You're being loud.\Well, I'm glad to see you looking so happy.\By the way...\In this kind of situation, response:	when does one have a second kiss?
context: I didn't do anything.\It's because you put yourself out there!\Thank you!\You're being loud.\Well, I'm glad to see you looking so happy.\By the way...\In this kind of situation,\when does one have a second kiss? response:	I think whenever you feel like it.
context: It's because you put yourself out there!\Thank you!\You're being loud.\Well, I'm glad to see you looking so happy.\By the way...\In this kind of situation,\when does one have a second kiss?\I think whenever you feel like it. response:	I see!
context: Thank you!\You're being loud.\Well, I'm glad to see you looking so happy.\By the way...\In this kind of situation,\when does one have a second kiss?\I think whenever you feel like it.\I see! response:	But sometimes, Yamato may not feel like it!
context: You're being loud.\Well, I'm glad to see you looking so happy.\By the way...\In this kind of situation,\when does one have a second kiss?\I think whenever you feel like it.\I see!\But sometimes, Yamato may not feel like it! response:	Then you shouldn't do it.
context: Well, I'm glad to see you looking so happy.\By the way...\In this kind of situation,\when does one have a second kiss?\I think whenever you feel like it.\I see!\But sometimes, Yamato may not feel like it!\Then you shouldn't do it. response:	Like I'd know.
