context: It's now August, response:	and Arima has gone to the Interhigh.
context: I was afraid he would take that as an excuse and do it anyway, so...\He gets this weird look in his eyes sometimes!\You're so popular with guys too...\I wonder if this training camp was actually risque?\especially in the locker rooms.\That's it! Don't say anything else!\Don't even imagine it!\Arima's voice. His hair. His expression. response:	The way he talks.
context: He gets this weird look in his eyes sometimes!\You're so popular with guys too...\I wonder if this training camp was actually risque?\especially in the locker rooms.\That's it! Don't say anything else!\Don't even imagine it!\Arima's voice. His hair. His expression.\The way he talks. response:	It's like being immersed in pleasant music.
context: You're so popular with guys too...\I wonder if this training camp was actually risque?\especially in the locker rooms.\That's it! Don't say anything else!\Don't even imagine it!\Arima's voice. His hair. His expression.\The way he talks.\It's like being immersed in pleasant music. response:	Uh-oh.
context: I wonder if this training camp was actually risque?\especially in the locker rooms.\That's it! Don't say anything else!\Don't even imagine it!\Arima's voice. His hair. His expression.\The way he talks.\It's like being immersed in pleasant music.\Uh-oh. response:	I shouldn't have worn a sleeveless dress.
context: especially in the locker rooms.\That's it! Don't say anything else!\Don't even imagine it!\Arima's voice. His hair. His expression.\The way he talks.\It's like being immersed in pleasant music.\Uh-oh.\I shouldn't have worn a sleeveless dress. response:	I get paralyzed just by his gaze.
context: That's it! Don't say anything else!\Don't even imagine it!\Arima's voice. His hair. His expression.\The way he talks.\It's like being immersed in pleasant music.\Uh-oh.\I shouldn't have worn a sleeveless dress.\I get paralyzed just by his gaze. response:	I can't imagine Arima was immature like me.
context: Don't even imagine it!\Arima's voice. His hair. His expression.\The way he talks.\It's like being immersed in pleasant music.\Uh-oh.\I shouldn't have worn a sleeveless dress.\I get paralyzed just by his gaze.\I can't imagine Arima was immature like me. response:	He doesn't force his feelings so it never dawned on me.
context: Arima's voice. His hair. His expression.\The way he talks.\It's like being immersed in pleasant music.\Uh-oh.\I shouldn't have worn a sleeveless dress.\I get paralyzed just by his gaze.\I can't imagine Arima was immature like me.\He doesn't force his feelings so it never dawned on me. response:	But there were hints of that every so often.
context: The way he talks.\It's like being immersed in pleasant music.\Uh-oh.\I shouldn't have worn a sleeveless dress.\I get paralyzed just by his gaze.\I can't imagine Arima was immature like me.\He doesn't force his feelings so it never dawned on me.\But there were hints of that every so often. response:	Now that I think about it,
context: It's like being immersed in pleasant music.\Uh-oh.\I shouldn't have worn a sleeveless dress.\I get paralyzed just by his gaze.\I can't imagine Arima was immature like me.\He doesn't force his feelings so it never dawned on me.\But there were hints of that every so often.\Now that I think about it, response:	he must've been going along at my pace because I'm such a baby.
context: Uh-oh.\I shouldn't have worn a sleeveless dress.\I get paralyzed just by his gaze.\I can't imagine Arima was immature like me.\He doesn't force his feelings so it never dawned on me.\But there were hints of that every so often.\Now that I think about it,\he must've been going along at my pace because I'm such a baby. response:	And I express my feelings like a dog...
context: I shouldn't have worn a sleeveless dress.\I get paralyzed just by his gaze.\I can't imagine Arima was immature like me.\He doesn't force his feelings so it never dawned on me.\But there were hints of that every so often.\Now that I think about it,\he must've been going along at my pace because I'm such a baby.\And I express my feelings like a dog... response:	I have to tell him.
context: I get paralyzed just by his gaze.\I can't imagine Arima was immature like me.\He doesn't force his feelings so it never dawned on me.\But there were hints of that every so often.\Now that I think about it,\he must've been going along at my pace because I'm such a baby.\And I express my feelings like a dog...\I have to tell him. response:	I love you even more than before.
context: I can't imagine Arima was immature like me.\He doesn't force his feelings so it never dawned on me.\But there were hints of that every so often.\Now that I think about it,\he must've been going along at my pace because I'm such a baby.\And I express my feelings like a dog...\I have to tell him.\I love you even more than before. response:	My heart starts pounding just by being with you.
context: He doesn't force his feelings so it never dawned on me.\But there were hints of that every so often.\Now that I think about it,\he must've been going along at my pace because I'm such a baby.\And I express my feelings like a dog...\I have to tell him.\I love you even more than before.\My heart starts pounding just by being with you. response:	Oh god that's embarassing.
context: But there were hints of that every so often.\Now that I think about it,\he must've been going along at my pace because I'm such a baby.\And I express my feelings like a dog...\I have to tell him.\I love you even more than before.\My heart starts pounding just by being with you.\Oh god that's embarassing. response:	No! I have a bad habit of suddenly becoming shy about such things.
context: Now that I think about it,\he must've been going along at my pace because I'm such a baby.\And I express my feelings like a dog...\I have to tell him.\I love you even more than before.\My heart starts pounding just by being with you.\Oh god that's embarassing.\No! I have a bad habit of suddenly becoming shy about such things. response:	I have to express very important feelings.
context: he must've been going along at my pace because I'm such a baby.\And I express my feelings like a dog...\I have to tell him.\I love you even more than before.\My heart starts pounding just by being with you.\Oh god that's embarassing.\No! I have a bad habit of suddenly becoming shy about such things.\I have to express very important feelings. response:	I'm sure he'll be really happy.
context: And I express my feelings like a dog...\I have to tell him.\I love you even more than before.\My heart starts pounding just by being with you.\Oh god that's embarassing.\No! I have a bad habit of suddenly becoming shy about such things.\I have to express very important feelings.\I'm sure he'll be really happy. response:	I'm so glad I can make him happy.
context: I have to tell him.\I love you even more than before.\My heart starts pounding just by being with you.\Oh god that's embarassing.\No! I have a bad habit of suddenly becoming shy about such things.\I have to express very important feelings.\I'm sure he'll be really happy.\I'm so glad I can make him happy. response:	But, if I said that what would happen to us afterwards?
context: I love you even more than before.\My heart starts pounding just by being with you.\Oh god that's embarassing.\No! I have a bad habit of suddenly becoming shy about such things.\I have to express very important feelings.\I'm sure he'll be really happy.\I'm so glad I can make him happy.\But, if I said that what would happen to us afterwards? response:	Want something to drink?
context: My heart starts pounding just by being with you.\Oh god that's embarassing.\No! I have a bad habit of suddenly becoming shy about such things.\I have to express very important feelings.\I'm sure he'll be really happy.\I'm so glad I can make him happy.\But, if I said that what would happen to us afterwards?\Want something to drink? response:	No thanks.
context: Oh god that's embarassing.\No! I have a bad habit of suddenly becoming shy about such things.\I have to express very important feelings.\I'm sure he'll be really happy.\I'm so glad I can make him happy.\But, if I said that what would happen to us afterwards?\Want something to drink?\No thanks. response:	Oh, sorry.
context: No! I have a bad habit of suddenly becoming shy about such things.\I have to express very important feelings.\I'm sure he'll be really happy.\I'm so glad I can make him happy.\But, if I said that what would happen to us afterwards?\Want something to drink?\No thanks.\Oh, sorry. response:	Wow, that was great!
context: I have to express very important feelings.\I'm sure he'll be really happy.\I'm so glad I can make him happy.\But, if I said that what would happen to us afterwards?\Want something to drink?\No thanks.\Oh, sorry.\Wow, that was great! response:	That final confrontation was awesome!
context: I'm sure he'll be really happy.\I'm so glad I can make him happy.\But, if I said that what would happen to us afterwards?\Want something to drink?\No thanks.\Oh, sorry.\Wow, that was great!\That final confrontation was awesome! response:	What should we do now? Is there anywhere you want to go?
context: I'm so glad I can make him happy.\But, if I said that what would happen to us afterwards?\Want something to drink?\No thanks.\Oh, sorry.\Wow, that was great!\That final confrontation was awesome!\What should we do now? Is there anywhere you want to go? response:	You seem depressed today.
context: But, if I said that what would happen to us afterwards?\Want something to drink?\No thanks.\Oh, sorry.\Wow, that was great!\That final confrontation was awesome!\What should we do now? Is there anywhere you want to go?\You seem depressed today. response:	You periodically fall silent?
context: Want something to drink?\No thanks.\Oh, sorry.\Wow, that was great!\That final confrontation was awesome!\What should we do now? Is there anywhere you want to go?\You seem depressed today.\You periodically fall silent? response:	Oh, no! That's not it...
context: No thanks.\Oh, sorry.\Wow, that was great!\That final confrontation was awesome!\What should we do now? Is there anywhere you want to go?\You seem depressed today.\You periodically fall silent?\Oh, no! That's not it... response:	Uhm... er... well...
context: Oh, sorry.\Wow, that was great!\That final confrontation was awesome!\What should we do now? Is there anywhere you want to go?\You seem depressed today.\You periodically fall silent?\Oh, no! That's not it...\Uhm... er... well... response:	Now, gather your courage and tell him,
context: Wow, that was great!\That final confrontation was awesome!\What should we do now? Is there anywhere you want to go?\You seem depressed today.\You periodically fall silent?\Oh, no! That's not it...\Uhm... er... well...\Now, gather your courage and tell him, response:	Uh, not now... I'll tell you later!
context: That final confrontation was awesome!\What should we do now? Is there anywhere you want to go?\You seem depressed today.\You periodically fall silent?\Oh, no! That's not it...\Uhm... er... well...\Now, gather your courage and tell him,\Uh, not now... I'll tell you later! response:	This is bad. I'm sure he thinks something's wrong.
context: What should we do now? Is there anywhere you want to go?\You seem depressed today.\You periodically fall silent?\Oh, no! That's not it...\Uhm... er... well...\Now, gather your courage and tell him,\Uh, not now... I'll tell you later!\This is bad. I'm sure he thinks something's wrong. response:	It's just saying I love you.
context: You seem depressed today.\You periodically fall silent?\Oh, no! That's not it...\Uhm... er... well...\Now, gather your courage and tell him,\Uh, not now... I'll tell you later!\This is bad. I'm sure he thinks something's wrong.\It's just saying I love you. response:	Why am I so clumsy?
context: You periodically fall silent?\Oh, no! That's not it...\Uhm... er... well...\Now, gather your courage and tell him,\Uh, not now... I'll tell you later!\This is bad. I'm sure he thinks something's wrong.\It's just saying I love you.\Why am I so clumsy? response:	I can do everything else so well...
context: Oh, no! That's not it...\Uhm... er... well...\Now, gather your courage and tell him,\Uh, not now... I'll tell you later!\This is bad. I'm sure he thinks something's wrong.\It's just saying I love you.\Why am I so clumsy?\I can do everything else so well... response:	This is awkward.
context: Uhm... er... well...\Now, gather your courage and tell him,\Uh, not now... I'll tell you later!\This is bad. I'm sure he thinks something's wrong.\It's just saying I love you.\Why am I so clumsy?\I can do everything else so well...\This is awkward. response:	But I will tell him.
context: Now, gather your courage and tell him,\Uh, not now... I'll tell you later!\This is bad. I'm sure he thinks something's wrong.\It's just saying I love you.\Why am I so clumsy?\I can do everything else so well...\This is awkward.\But I will tell him. response:	I want to see his face light up.
context: Uh, not now... I'll tell you later!\This is bad. I'm sure he thinks something's wrong.\It's just saying I love you.\Why am I so clumsy?\I can do everything else so well...\This is awkward.\But I will tell him.\I want to see his face light up. response:	Why are you avoiding me?
context: This is bad. I'm sure he thinks something's wrong.\It's just saying I love you.\Why am I so clumsy?\I can do everything else so well...\This is awkward.\But I will tell him.\I want to see his face light up.\Why are you avoiding me? response:	I'm not avoid
context: It's just saying I love you.\Why am I so clumsy?\I can do everything else so well...\This is awkward.\But I will tell him.\I want to see his face light up.\Why are you avoiding me?\I'm not avoid response:	You're lying. You don't say anything, or make eye contact.
context: Why am I so clumsy?\I can do everything else so well...\This is awkward.\But I will tell him.\I want to see his face light up.\Why are you avoiding me?\I'm not avoid\You're lying. You don't say anything, or make eye contact. response:	Have I done something wrong?
context: I can do everything else so well...\This is awkward.\But I will tell him.\I want to see his face light up.\Why are you avoiding me?\I'm not avoid\You're lying. You don't say anything, or make eye contact.\Have I done something wrong? response:	No...
context: This is awkward.\But I will tell him.\I want to see his face light up.\Why are you avoiding me?\I'm not avoid\You're lying. You don't say anything, or make eye contact.\Have I done something wrong?\No... response:	You were so happy yesterday. Why?
context: But I will tell him.\I want to see his face light up.\Why are you avoiding me?\I'm not avoid\You're lying. You don't say anything, or make eye contact.\Have I done something wrong?\No...\You were so happy yesterday. Why? response:	My feelings for Arima are overflowing so much...
context: I want to see his face light up.\Why are you avoiding me?\I'm not avoid\You're lying. You don't say anything, or make eye contact.\Have I done something wrong?\No...\You were so happy yesterday. Why?\My feelings for Arima are overflowing so much... response:	I'm sorry! I'm sorry, I...
context: Why are you avoiding me?\I'm not avoid\You're lying. You don't say anything, or make eye contact.\Have I done something wrong?\No...\You were so happy yesterday. Why?\My feelings for Arima are overflowing so much...\I'm sorry! I'm sorry, I... response:	forgive me
context: I'm not avoid\You're lying. You don't say anything, or make eye contact.\Have I done something wrong?\No...\You were so happy yesterday. Why?\My feelings for Arima are overflowing so much...\I'm sorry! I'm sorry, I...\forgive me response:	IDIOT! Why can't you ever say what's important?
context: You're lying. You don't say anything, or make eye contact.\Have I done something wrong?\No...\You were so happy yesterday. Why?\My feelings for Arima are overflowing so much...\I'm sorry! I'm sorry, I...\forgive me\IDIOT! Why can't you ever say what's important? response:	I am so useless
context: Have I done something wrong?\No...\You were so happy yesterday. Why?\My feelings for Arima are overflowing so much...\I'm sorry! I'm sorry, I...\forgive me\IDIOT! Why can't you ever say what's important?\I am so useless response:	Wimp! Coward! Liar! Showoff!
context: No...\You were so happy yesterday. Why?\My feelings for Arima are overflowing so much...\I'm sorry! I'm sorry, I...\forgive me\IDIOT! Why can't you ever say what's important?\I am so useless\Wimp! Coward! Liar! Showoff! response:	I hate myself!!
context: You were so happy yesterday. Why?\My feelings for Arima are overflowing so much...\I'm sorry! I'm sorry, I...\forgive me\IDIOT! Why can't you ever say what's important?\I am so useless\Wimp! Coward! Liar! Showoff!\I hate myself!! response:	I hurt him! I hurt Arima's feelings!
context: My feelings for Arima are overflowing so much...\I'm sorry! I'm sorry, I...\forgive me\IDIOT! Why can't you ever say what's important?\I am so useless\Wimp! Coward! Liar! Showoff!\I hate myself!!\I hurt him! I hurt Arima's feelings! response:	I know he's afraid of being?
context: I'm sorry! I'm sorry, I...\forgive me\IDIOT! Why can't you ever say what's important?\I am so useless\Wimp! Coward! Liar! Showoff!\I hate myself!!\I hurt him! I hurt Arima's feelings!\I know he's afraid of being? response:	I can't just leave it like this.
context: forgive me\IDIOT! Why can't you ever say what's important?\I am so useless\Wimp! Coward! Liar! Showoff!\I hate myself!!\I hurt him! I hurt Arima's feelings!\I know he's afraid of being?\I can't just leave it like this. response:	I have to apologize. I have to get him to understand.
context: IDIOT! Why can't you ever say what's important?\I am so useless\Wimp! Coward! Liar! Showoff!\I hate myself!!\I hurt him! I hurt Arima's feelings!\I know he's afraid of being?\I can't just leave it like this.\I have to apologize. I have to get him to understand. response:	I'm not letting you go!
context: I am so useless\Wimp! Coward! Liar! Showoff!\I hate myself!!\I hurt him! I hurt Arima's feelings!\I know he's afraid of being?\I can't just leave it like this.\I have to apologize. I have to get him to understand.\I'm not letting you go! response:	I don't care if you avoid me or hate me.
context: Wimp! Coward! Liar! Showoff!\I hate myself!!\I hurt him! I hurt Arima's feelings!\I know he's afraid of being?\I can't just leave it like this.\I have to apologize. I have to get him to understand.\I'm not letting you go!\I don't care if you avoid me or hate me. response:	How long do you think I waited to have you notice me?!
context: I hate myself!!\I hurt him! I hurt Arima's feelings!\I know he's afraid of being?\I can't just leave it like this.\I have to apologize. I have to get him to understand.\I'm not letting you go!\I don't care if you avoid me or hate me.\How long do you think I waited to have you notice me?! response:	I'm not waiting any longer!
context: I hurt him! I hurt Arima's feelings!\I know he's afraid of being?\I can't just leave it like this.\I have to apologize. I have to get him to understand.\I'm not letting you go!\I don't care if you avoid me or hate me.\How long do you think I waited to have you notice me?!\I'm not waiting any longer! response:	I'm never going to let you go!
context: I know he's afraid of being?\I can't just leave it like this.\I have to apologize. I have to get him to understand.\I'm not letting you go!\I don't care if you avoid me or hate me.\How long do you think I waited to have you notice me?!\I'm not waiting any longer!\I'm never going to let you go! response:	I'm sorry I scared you.
context: I can't just leave it like this.\I have to apologize. I have to get him to understand.\I'm not letting you go!\I don't care if you avoid me or hate me.\How long do you think I waited to have you notice me?!\I'm not waiting any longer!\I'm never going to let you go!\I'm sorry I scared you. response:	I wasn't avoiding you.
context: I have to apologize. I have to get him to understand.\I'm not letting you go!\I don't care if you avoid me or hate me.\How long do you think I waited to have you notice me?!\I'm not waiting any longer!\I'm never going to let you go!\I'm sorry I scared you.\I wasn't avoiding you. response:	I didn't touch you because I was embarassed.
context: I'm not letting you go!\I don't care if you avoid me or hate me.\How long do you think I waited to have you notice me?!\I'm not waiting any longer!\I'm never going to let you go!\I'm sorry I scared you.\I wasn't avoiding you.\I didn't touch you because I was embarassed. response:	I didn't meet your gaze because I didn't know what to do.
context: I don't care if you avoid me or hate me.\How long do you think I waited to have you notice me?!\I'm not waiting any longer!\I'm never going to let you go!\I'm sorry I scared you.\I wasn't avoiding you.\I didn't touch you because I was embarassed.\I didn't meet your gaze because I didn't know what to do. response:	When I saw you again yesterday after so long, I realized that
context: How long do you think I waited to have you notice me?!\I'm not waiting any longer!\I'm never going to let you go!\I'm sorry I scared you.\I wasn't avoiding you.\I didn't touch you because I was embarassed.\I didn't meet your gaze because I didn't know what to do.\When I saw you again yesterday after so long, I realized that response:	I loved you even more than before.
context: I'm not waiting any longer!\I'm never going to let you go!\I'm sorry I scared you.\I wasn't avoiding you.\I didn't touch you because I was embarassed.\I didn't meet your gaze because I didn't know what to do.\When I saw you again yesterday after so long, I realized that\I loved you even more than before. response:	I love you even more than before.
context: I'm never going to let you go!\I'm sorry I scared you.\I wasn't avoiding you.\I didn't touch you because I was embarassed.\I didn't meet your gaze because I didn't know what to do.\When I saw you again yesterday after so long, I realized that\I loved you even more than before.\I love you even more than before. response:	My heart starts pounding just being with you.
context: I'm sorry I scared you.\I wasn't avoiding you.\I didn't touch you because I was embarassed.\I didn't meet your gaze because I didn't know what to do.\When I saw you again yesterday after so long, I realized that\I loved you even more than before.\I love you even more than before.\My heart starts pounding just being with you. response:	I'm so happy...
context: I wasn't avoiding you.\I didn't touch you because I was embarassed.\I didn't meet your gaze because I didn't know what to do.\When I saw you again yesterday after so long, I realized that\I loved you even more than before.\I love you even more than before.\My heart starts pounding just being with you.\I'm so happy... response:	I finally got it out. I was able to tell Arima.
context: I didn't touch you because I was embarassed.\I didn't meet your gaze because I didn't know what to do.\When I saw you again yesterday after so long, I realized that\I loved you even more than before.\I love you even more than before.\My heart starts pounding just being with you.\I'm so happy...\I finally got it out. I was able to tell Arima. response:	I'm so happy Arima understood me.
context: I didn't meet your gaze because I didn't know what to do.\When I saw you again yesterday after so long, I realized that\I loved you even more than before.\I love you even more than before.\My heart starts pounding just being with you.\I'm so happy...\I finally got it out. I was able to tell Arima.\I'm so happy Arima understood me. response:	We've been going out a long time,
context: When I saw you again yesterday after so long, I realized that\I loved you even more than before.\I love you even more than before.\My heart starts pounding just being with you.\I'm so happy...\I finally got it out. I was able to tell Arima.\I'm so happy Arima understood me.\We've been going out a long time, response:	but it feels like it's the first time we told each other of our love.
context: I loved you even more than before.\I love you even more than before.\My heart starts pounding just being with you.\I'm so happy...\I finally got it out. I was able to tell Arima.\I'm so happy Arima understood me.\We've been going out a long time,\but it feels like it's the first time we told each other of our love. response:	I get nervous when I'm with you too.
context: I love you even more than before.\My heart starts pounding just being with you.\I'm so happy...\I finally got it out. I was able to tell Arima.\I'm so happy Arima understood me.\We've been going out a long time,\but it feels like it's the first time we told each other of our love.\I get nervous when I'm with you too. response:	It never looks that way...
context: My heart starts pounding just being with you.\I'm so happy...\I finally got it out. I was able to tell Arima.\I'm so happy Arima understood me.\We've been going out a long time,\but it feels like it's the first time we told each other of our love.\I get nervous when I'm with you too.\It never looks that way... response:	Even with a girl like me?
context: I'm so happy...\I finally got it out. I was able to tell Arima.\I'm so happy Arima understood me.\We've been going out a long time,\but it feels like it's the first time we told each other of our love.\I get nervous when I'm with you too.\It never looks that way...\Even with a girl like me? response:	Of course. The person you love is special.
context: I finally got it out. I was able to tell Arima.\I'm so happy Arima understood me.\We've been going out a long time,\but it feels like it's the first time we told each other of our love.\I get nervous when I'm with you too.\It never looks that way...\Even with a girl like me?\Of course. The person you love is special. response:	I feel like such a baby...
context: I'm so happy Arima understood me.\We've been going out a long time,\but it feels like it's the first time we told each other of our love.\I get nervous when I'm with you too.\It never looks that way...\Even with a girl like me?\Of course. The person you love is special.\I feel like such a baby... response:	You must have a tough time.
context: We've been going out a long time,\but it feels like it's the first time we told each other of our love.\I get nervous when I'm with you too.\It never looks that way...\Even with a girl like me?\Of course. The person you love is special.\I feel like such a baby...\You must have a tough time. response:	What?
context: but it feels like it's the first time we told each other of our love.\I get nervous when I'm with you too.\It never looks that way...\Even with a girl like me?\Of course. The person you love is special.\I feel like such a baby...\You must have a tough time.\What? response:	Oh, nothing.
context: I get nervous when I'm with you too.\It never looks that way...\Even with a girl like me?\Of course. The person you love is special.\I feel like such a baby...\You must have a tough time.\What?\Oh, nothing. response:	It's okay. I'm happy every day as long as you're with me.
context: It never looks that way...\Even with a girl like me?\Of course. The person you love is special.\I feel like such a baby...\You must have a tough time.\What?\Oh, nothing.\It's okay. I'm happy every day as long as you're with me. response:	It was so comfortable being next to Arima...
context: Even with a girl like me?\Of course. The person you love is special.\I feel like such a baby...\You must have a tough time.\What?\Oh, nothing.\It's okay. I'm happy every day as long as you're with me.\It was so comfortable being next to Arima... response:	PREVIEW
context: Of course. The person you love is special.\I feel like such a baby...\You must have a tough time.\What?\Oh, nothing.\It's okay. I'm happy every day as long as you're with me.\It was so comfortable being next to Arima...\PREVIEW response:	Arima-kun came back!
context: I feel like such a baby...\You must have a tough time.\What?\Oh, nothing.\It's okay. I'm happy every day as long as you're with me.\It was so comfortable being next to Arima...\PREVIEW\Arima-kun came back! response:	Sis gets really excited.
context: You must have a tough time.\What?\Oh, nothing.\It's okay. I'm happy every day as long as you're with me.\It was so comfortable being next to Arima...\PREVIEW\Arima-kun came back!\Sis gets really excited. response:	But he was beginning to have?
context: What?\Oh, nothing.\It's okay. I'm happy every day as long as you're with me.\It was so comfortable being next to Arima...\PREVIEW\Arima-kun came back!\Sis gets really excited.\But he was beginning to have? response:	And the time has finally come to cross a certain line!
context: Oh, nothing.\It's okay. I'm happy every day as long as you're with me.\It was so comfortable being next to Arima...\PREVIEW\Arima-kun came back!\Sis gets really excited.\But he was beginning to have?\And the time has finally come to cross a certain line! response:	Next time on KareKano: Deepening
context: It's okay. I'm happy every day as long as you're with me.\It was so comfortable being next to Arima...\PREVIEW\Arima-kun came back!\Sis gets really excited.\But he was beginning to have?\And the time has finally come to cross a certain line!\Next time on KareKano: Deepening response:	Well, I just hope it's not a means of escape.
