context: Wendy and Carla joined our guild, response:	and things have gotten lively again!
context: You should thank the special magic power you have as a Dragon Slayer.\I'm glad that at least you two are safe.\Carla...\That ain't gonna cut it.\It's like you don't give a crap about the rest...\Wait... They're really gone?!\Yeah...\Hey, everyone! response:	They're gone. Or, more precisely...
context: I'm glad that at least you two are safe.\Carla...\That ain't gonna cut it.\It's like you don't give a crap about the rest...\Wait... They're really gone?!\Yeah...\Hey, everyone!\They're gone. Or, more precisely... response:	They've been sucked into Anima and wiped out.
context: Carla...\That ain't gonna cut it.\It's like you don't give a crap about the rest...\Wait... They're really gone?!\Yeah...\Hey, everyone!\They're gone. Or, more precisely...\They've been sucked into Anima and wiped out. response:	Anima?
context: That ain't gonna cut it.\It's like you don't give a crap about the rest...\Wait... They're really gone?!\Yeah...\Hey, everyone!\They're gone. Or, more precisely...\They've been sucked into Anima and wiped out.\Anima? response:	Anima?!
context: It's like you don't give a crap about the rest...\Wait... They're really gone?!\Yeah...\Hey, everyone!\They're gone. Or, more precisely...\They've been sucked into Anima and wiped out.\Anima?\Anima?! response:	The hole in the sky from before.
context: Wait... They're really gone?!\Yeah...\Hey, everyone!\They're gone. Or, more precisely...\They've been sucked into Anima and wiped out.\Anima?\Anima?!\The hole in the sky from before. response:	It's the gate to Edolas, the world on the other side.
context: Yeah...\Hey, everyone!\They're gone. Or, more precisely...\They've been sucked into Anima and wiped out.\Anima?\Anima?!\The hole in the sky from before.\It's the gate to Edolas, the world on the other side. response:	Edolas?
context: Hey, everyone!\They're gone. Or, more precisely...\They've been sucked into Anima and wiped out.\Anima?\Anima?!\The hole in the sky from before.\It's the gate to Edolas, the world on the other side.\Edolas? response:	Hey, you! What the hell have you been saying?
context: They're gone. Or, more precisely...\They've been sucked into Anima and wiped out.\Anima?\Anima?!\The hole in the sky from before.\It's the gate to Edolas, the world on the other side.\Edolas?\Hey, you! What the hell have you been saying? response:	Where is everyone?
context: They've been sucked into Anima and wiped out.\Anima?\Anima?!\The hole in the sky from before.\It's the gate to Edolas, the world on the other side.\Edolas?\Hey, you! What the hell have you been saying?\Where is everyone? response:	Natsu-san!
context: Anima?\Anima?!\The hole in the sky from before.\It's the gate to Edolas, the world on the other side.\Edolas?\Hey, you! What the hell have you been saying?\Where is everyone?\Natsu-san! response:	So, Carla... Do you know anything?
context: Anima?!\The hole in the sky from before.\It's the gate to Edolas, the world on the other side.\Edolas?\Hey, you! What the hell have you been saying?\Where is everyone?\Natsu-san!\So, Carla... Do you know anything? response:	And wait, why are you okay, Carla?
context: The hole in the sky from before.\It's the gate to Edolas, the world on the other side.\Edolas?\Hey, you! What the hell have you been saying?\Where is everyone?\Natsu-san!\So, Carla... Do you know anything?\And wait, why are you okay, Carla? response:	Natsu!
context: It's the gate to Edolas, the world on the other side.\Edolas?\Hey, you! What the hell have you been saying?\Where is everyone?\Natsu-san!\So, Carla... Do you know anything?\And wait, why are you okay, Carla?\Natsu! response:	What is this?
context: Edolas?\Hey, you! What the hell have you been saying?\Where is everyone?\Natsu-san!\So, Carla... Do you know anything?\And wait, why are you okay, Carla?\Natsu!\What is this? response:	The city...!
context: Hey, you! What the hell have you been saying?\Where is everyone?\Natsu-san!\So, Carla... Do you know anything?\And wait, why are you okay, Carla?\Natsu!\What is this?\The city...! response:	Happy!
context: Where is everyone?\Natsu-san!\So, Carla... Do you know anything?\And wait, why are you okay, Carla?\Natsu!\What is this?\The city...!\Happy! response:	You're safe, I see.
context: Natsu-san!\So, Carla... Do you know anything?\And wait, why are you okay, Carla?\Natsu!\What is this?\The city...!\Happy!\You're safe, I see. response:	I've come from the other world, Edolas.
context: So, Carla... Do you know anything?\And wait, why are you okay, Carla?\Natsu!\What is this?\The city...!\Happy!\You're safe, I see.\I've come from the other world, Edolas. response:	And so has that he-cat over there.
context: And wait, why are you okay, Carla?\Natsu!\What is this?\The city...!\Happy!\You're safe, I see.\I've come from the other world, Edolas.\And so has that he-cat over there. response:	What does this mean?
context: Natsu!\What is this?\The city...!\Happy!\You're safe, I see.\I've come from the other world, Edolas.\And so has that he-cat over there.\What does this mean? response:	The reason this city disappeared...
context: What is this?\The city...!\Happy!\You're safe, I see.\I've come from the other world, Edolas.\And so has that he-cat over there.\What does this mean?\The reason this city disappeared... response:	Natsu, have you heard there's another world that resembles this one?
context: The city...!\Happy!\You're safe, I see.\I've come from the other world, Edolas.\And so has that he-cat over there.\What does this mean?\The reason this city disappeared...\Natsu, have you heard there's another world that resembles this one? response:	It's one of those things, you know... A parasol world.
context: Happy!\You're safe, I see.\I've come from the other world, Edolas.\And so has that he-cat over there.\What does this mean?\The reason this city disappeared...\Natsu, have you heard there's another world that resembles this one?\It's one of those things, you know... A parasol world. response:	I think you mean parallel world.
context: You're safe, I see.\I've come from the other world, Edolas.\And so has that he-cat over there.\What does this mean?\The reason this city disappeared...\Natsu, have you heard there's another world that resembles this one?\It's one of those things, you know... A parasol world.\I think you mean parallel world. response:	I've heard it's a world that's kind of like ours, but with some differences...
context: I've come from the other world, Edolas.\And so has that he-cat over there.\What does this mean?\The reason this city disappeared...\Natsu, have you heard there's another world that resembles this one?\It's one of those things, you know... A parasol world.\I think you mean parallel world.\I've heard it's a world that's kind of like ours, but with some differences... response:	So, what about this something-or-other world?
context: And so has that he-cat over there.\What does this mean?\The reason this city disappeared...\Natsu, have you heard there's another world that resembles this one?\It's one of those things, you know... A parasol world.\I think you mean parallel world.\I've heard it's a world that's kind of like ours, but with some differences...\So, what about this something-or-other world? response:	Next time: Edolas.
context: What does this mean?\The reason this city disappeared...\Natsu, have you heard there's another world that resembles this one?\It's one of those things, you know... A parasol world.\I think you mean parallel world.\I've heard it's a world that's kind of like ours, but with some differences...\So, what about this something-or-other world?\Next time: Edolas. response:	I was thinking, maybe in that world I'm a king!
context: The reason this city disappeared...\Natsu, have you heard there's another world that resembles this one?\It's one of those things, you know... A parasol world.\I think you mean parallel world.\I've heard it's a world that's kind of like ours, but with some differences...\So, what about this something-or-other world?\Next time: Edolas.\I was thinking, maybe in that world I'm a king! response:	If you're a king, Happy, then I'd be a god!
