context: Back in those days, to travel meant to risk your life. response:	You could get lost or robbed.
context: But the first traveler Lady Bandai ate had a lot of road money on him.\And you couldn't stop.\Seriously? You guys are awful!\Even worse than monsters.\Stop that sound, please!\Is that sound what you wanted us to slay?\It's the sound of the bell that the first traveler carried...\A pilgrim's bell. response:	Sorry for saying that stuff to you when you tried to kill Bandai.
context: And you couldn't stop.\Seriously? You guys are awful!\Even worse than monsters.\Stop that sound, please!\Is that sound what you wanted us to slay?\It's the sound of the bell that the first traveler carried...\A pilgrim's bell.\Sorry for saying that stuff to you when you tried to kill Bandai. response:	I was the one who was blind.
context: Seriously? You guys are awful!\Even worse than monsters.\Stop that sound, please!\Is that sound what you wanted us to slay?\It's the sound of the bell that the first traveler carried...\A pilgrim's bell.\Sorry for saying that stuff to you when you tried to kill Bandai.\I was the one who was blind. response:	You can't hear me.
context: Even worse than monsters.\Stop that sound, please!\Is that sound what you wanted us to slay?\It's the sound of the bell that the first traveler carried...\A pilgrim's bell.\Sorry for saying that stuff to you when you tried to kill Bandai.\I was the one who was blind.\You can't hear me. response:	He knows.
context: Stop that sound, please!\Is that sound what you wanted us to slay?\It's the sound of the bell that the first traveler carried...\A pilgrim's bell.\Sorry for saying that stuff to you when you tried to kill Bandai.\I was the one who was blind.\You can't hear me.\He knows. response:	Don't let it get to you. It's natural for those with sight to be tricked.
context: Is that sound what you wanted us to slay?\It's the sound of the bell that the first traveler carried...\A pilgrim's bell.\Sorry for saying that stuff to you when you tried to kill Bandai.\I was the one who was blind.\You can't hear me.\He knows.\Don't let it get to you. It's natural for those with sight to be tricked. response:	She looked like her.
context: It's the sound of the bell that the first traveler carried...\A pilgrim's bell.\Sorry for saying that stuff to you when you tried to kill Bandai.\I was the one who was blind.\You can't hear me.\He knows.\Don't let it get to you. It's natural for those with sight to be tricked.\She looked like her. response:	Like my dead mama.
context: A pilgrim's bell.\Sorry for saying that stuff to you when you tried to kill Bandai.\I was the one who was blind.\You can't hear me.\He knows.\Don't let it get to you. It's natural for those with sight to be tricked.\She looked like her.\Like my dead mama. response:	I see.
context: Sorry for saying that stuff to you when you tried to kill Bandai.\I was the one who was blind.\You can't hear me.\He knows.\Don't let it get to you. It's natural for those with sight to be tricked.\She looked like her.\Like my dead mama.\I see. response:	Huh, what now?
context: I was the one who was blind.\You can't hear me.\He knows.\Don't let it get to you. It's natural for those with sight to be tricked.\She looked like her.\Like my dead mama.\I see.\Huh, what now? response:	Stop treating me like a kid, you No-name!
context: You can't hear me.\He knows.\Don't let it get to you. It's natural for those with sight to be tricked.\She looked like her.\Like my dead mama.\I see.\Huh, what now?\Stop treating me like a kid, you No-name! response:	You can write?
context: He knows.\Don't let it get to you. It's natural for those with sight to be tricked.\She looked like her.\Like my dead mama.\I see.\Huh, what now?\Stop treating me like a kid, you No-name!\You can write? response:	Hey Priest, what did he write?
context: Don't let it get to you. It's natural for those with sight to be tricked.\She looked like her.\Like my dead mama.\I see.\Huh, what now?\Stop treating me like a kid, you No-name!\You can write?\Hey Priest, what did he write? response:	Let me feel it.
context: She looked like her.\Like my dead mama.\I see.\Huh, what now?\Stop treating me like a kid, you No-name!\You can write?\Hey Priest, what did he write?\Let me feel it. response:	Hya-kki-maru. So that's your name.
context: Like my dead mama.\I see.\Huh, what now?\Stop treating me like a kid, you No-name!\You can write?\Hey Priest, what did he write?\Let me feel it.\Hya-kki-maru. So that's your name. response:	Really? Hyakkimaru.
context: I see.\Huh, what now?\Stop treating me like a kid, you No-name!\You can write?\Hey Priest, what did he write?\Let me feel it.\Hya-kki-maru. So that's your name.\Really? Hyakkimaru. response:	I finally know your name. Hyakkimaru.
context: Huh, what now?\Stop treating me like a kid, you No-name!\You can write?\Hey Priest, what did he write?\Let me feel it.\Hya-kki-maru. So that's your name.\Really? Hyakkimaru.\I finally know your name. Hyakkimaru. response:	I know now, too. No wonder I remember seeing you.
context: Stop treating me like a kid, you No-name!\You can write?\Hey Priest, what did he write?\Let me feel it.\Hya-kki-maru. So that's your name.\Really? Hyakkimaru.\I finally know your name. Hyakkimaru.\I know now, too. No wonder I remember seeing you. response:	It was you on the river.
context: You can write?\Hey Priest, what did he write?\Let me feel it.\Hya-kki-maru. So that's your name.\Really? Hyakkimaru.\I finally know your name. Hyakkimaru.\I know now, too. No wonder I remember seeing you.\It was you on the river. response:	What? Disquiet by the borders?
context: Hey Priest, what did he write?\Let me feel it.\Hya-kki-maru. So that's your name.\Really? Hyakkimaru.\I finally know your name. Hyakkimaru.\I know now, too. No wonder I remember seeing you.\It was you on the river.\What? Disquiet by the borders? response:	Yes, they've increased the number of soldiers on guard.
context: Let me feel it.\Hya-kki-maru. So that's your name.\Really? Hyakkimaru.\I finally know your name. Hyakkimaru.\I know now, too. No wonder I remember seeing you.\It was you on the river.\What? Disquiet by the borders?\Yes, they've increased the number of soldiers on guard. response:	As if readying for war.
context: Hya-kki-maru. So that's your name.\Really? Hyakkimaru.\I finally know your name. Hyakkimaru.\I know now, too. No wonder I remember seeing you.\It was you on the river.\What? Disquiet by the borders?\Yes, they've increased the number of soldiers on guard.\As if readying for war. response:	Impossible. The Sakai Clan are our allies, not just our neighbors.
context: Really? Hyakkimaru.\I finally know your name. Hyakkimaru.\I know now, too. No wonder I remember seeing you.\It was you on the river.\What? Disquiet by the borders?\Yes, they've increased the number of soldiers on guard.\As if readying for war.\Impossible. The Sakai Clan are our allies, not just our neighbors. response:	I need you to investigate something.
context: I finally know your name. Hyakkimaru.\I know now, too. No wonder I remember seeing you.\It was you on the river.\What? Disquiet by the borders?\Yes, they've increased the number of soldiers on guard.\As if readying for war.\Impossible. The Sakai Clan are our allies, not just our neighbors.\I need you to investigate something. response:	What's wrong?
context: I know now, too. No wonder I remember seeing you.\It was you on the river.\What? Disquiet by the borders?\Yes, they've increased the number of soldiers on guard.\As if readying for war.\Impossible. The Sakai Clan are our allies, not just our neighbors.\I need you to investigate something.\What's wrong? response:	Hey, are you in pain? Are you okay?
context: It was you on the river.\What? Disquiet by the borders?\Yes, they've increased the number of soldiers on guard.\As if readying for war.\Impossible. The Sakai Clan are our allies, not just our neighbors.\I need you to investigate something.\What's wrong?\Hey, are you in pain? Are you okay? response:	Hang in there!
context: What? Disquiet by the borders?\Yes, they've increased the number of soldiers on guard.\As if readying for war.\Impossible. The Sakai Clan are our allies, not just our neighbors.\I need you to investigate something.\What's wrong?\Hey, are you in pain? Are you okay?\Hang in there! response:	What's going on?
context: Yes, they've increased the number of soldiers on guard.\As if readying for war.\Impossible. The Sakai Clan are our allies, not just our neighbors.\I need you to investigate something.\What's wrong?\Hey, are you in pain? Are you okay?\Hang in there!\What's going on? response:	Bandai
