context: What is this, my lord? response:	Evans/Person of the Land Pursall/Person of the Land
context: Eight moon rabbits from the old Dougenzaka area.\Moon Rabbit\Average level 91!\Keep pressure on them while heading toward Old Center Street.\Six rabbits from two o'clock, and six from ten o'clock.\This is just so strange.\This happens right when we start thinking about communicating with the moon?\Shiro! response:	From ahead of us, too!
context: Moon Rabbit\Average level 91!\Keep pressure on them while heading toward Old Center Street.\Six rabbits from two o'clock, and six from ten o'clock.\This is just so strange.\This happens right when we start thinking about communicating with the moon?\Shiro!\From ahead of us, too! response:	Nine more!
context: Average level 91!\Keep pressure on them while heading toward Old Center Street.\Six rabbits from two o'clock, and six from ten o'clock.\This is just so strange.\This happens right when we start thinking about communicating with the moon?\Shiro!\From ahead of us, too!\Nine more! response:	Party 2, draw them to the front.
context: Keep pressure on them while heading toward Old Center Street.\Six rabbits from two o'clock, and six from ten o'clock.\This is just so strange.\This happens right when we start thinking about communicating with the moon?\Shiro!\From ahead of us, too!\Nine more!\Party 2, draw them to the front. response:	Party 1, front line, head to the front and...
context: Six rabbits from two o'clock, and six from ten o'clock.\This is just so strange.\This happens right when we start thinking about communicating with the moon?\Shiro!\From ahead of us, too!\Nine more!\Party 2, draw them to the front.\Party 1, front line, head to the front and... response:	No, split the group to the rear!
context: This is just so strange.\This happens right when we start thinking about communicating with the moon?\Shiro!\From ahead of us, too!\Nine more!\Party 2, draw them to the front.\Party 1, front line, head to the front and...\No, split the group to the rear! response:	Richou and Tohya, support group 1!
context: This happens right when we start thinking about communicating with the moon?\Shiro!\From ahead of us, too!\Nine more!\Party 2, draw them to the front.\Party 1, front line, head to the front and...\No, split the group to the rear!\Richou and Tohya, support group 1! response:	Roger!
context: Shiro!\From ahead of us, too!\Nine more!\Party 2, draw them to the front.\Party 1, front line, head to the front and...\No, split the group to the rear!\Richou and Tohya, support group 1!\Roger! response:	Yuzuko, Olive, support each party.
context: From ahead of us, too!\Nine more!\Party 2, draw them to the front.\Party 1, front line, head to the front and...\No, split the group to the rear!\Richou and Tohya, support group 1!\Roger!\Yuzuko, Olive, support each party. response:	Forward, group 4, secure a path!
context: Nine more!\Party 2, draw them to the front.\Party 1, front line, head to the front and...\No, split the group to the rear!\Richou and Tohya, support group 1!\Roger!\Yuzuko, Olive, support each party.\Forward, group 4, secure a path! response:	Understood.
context: Party 2, draw them to the front.\Party 1, front line, head to the front and...\No, split the group to the rear!\Richou and Tohya, support group 1!\Roger!\Yuzuko, Olive, support each party.\Forward, group 4, secure a path!\Understood. response:	Minori, was it?
context: Party 1, front line, head to the front and...\No, split the group to the rear!\Richou and Tohya, support group 1!\Roger!\Yuzuko, Olive, support each party.\Forward, group 4, secure a path!\Understood.\Minori, was it? response:	She's so cute!
context: No, split the group to the rear!\Richou and Tohya, support group 1!\Roger!\Yuzuko, Olive, support each party.\Forward, group 4, secure a path!\Understood.\Minori, was it?\She's so cute! response:	It's called Abbreviated Full-Power Controlled Combat.
context: Richou and Tohya, support group 1!\Roger!\Yuzuko, Olive, support each party.\Forward, group 4, secure a path!\Understood.\Minori, was it?\She's so cute!\It's called Abbreviated Full-Power Controlled Combat. response:	She learned it directly from Shiroe!
context: Roger!\Yuzuko, Olive, support each party.\Forward, group 4, secure a path!\Understood.\Minori, was it?\She's so cute!\It's called Abbreviated Full-Power Controlled Combat.\She learned it directly from Shiroe! response:	There are just too many!
context: Yuzuko, Olive, support each party.\Forward, group 4, secure a path!\Understood.\Minori, was it?\She's so cute!\It's called Abbreviated Full-Power Controlled Combat.\She learned it directly from Shiroe!\There are just too many! response:	Here.
context: Forward, group 4, secure a path!\Understood.\Minori, was it?\She's so cute!\It's called Abbreviated Full-Power Controlled Combat.\She learned it directly from Shiroe!\There are just too many!\Here. response:	I'll heal you, Naotsugu.
context: Understood.\Minori, was it?\She's so cute!\It's called Abbreviated Full-Power Controlled Combat.\She learned it directly from Shiroe!\There are just too many!\Here.\I'll heal you, Naotsugu. response:	Tetra's healing will work better than hers, Naotsugu!
context: Minori, was it?\She's so cute!\It's called Abbreviated Full-Power Controlled Combat.\She learned it directly from Shiroe!\There are just too many!\Here.\I'll heal you, Naotsugu.\Tetra's healing will work better than hers, Naotsugu! response:	If they know what we're doing, this is exactly what they want.
context: She's so cute!\It's called Abbreviated Full-Power Controlled Combat.\She learned it directly from Shiroe!\There are just too many!\Here.\I'll heal you, Naotsugu.\Tetra's healing will work better than hers, Naotsugu!\If they know what we're doing, this is exactly what they want. response:	Olive, get back!
context: It's called Abbreviated Full-Power Controlled Combat.\She learned it directly from Shiroe!\There are just too many!\Here.\I'll heal you, Naotsugu.\Tetra's healing will work better than hers, Naotsugu!\If they know what we're doing, this is exactly what they want.\Olive, get back! response:	No, cover Richou from the right!
context: She learned it directly from Shiroe!\There are just too many!\Here.\I'll heal you, Naotsugu.\Tetra's healing will work better than hers, Naotsugu!\If they know what we're doing, this is exactly what they want.\Olive, get back!\No, cover Richou from the right! response:	Whoops...
context: There are just too many!\Here.\I'll heal you, Naotsugu.\Tetra's healing will work better than hers, Naotsugu!\If they know what we're doing, this is exactly what they want.\Olive, get back!\No, cover Richou from the right!\Whoops... response:	Shiroe?
context: Here.\I'll heal you, Naotsugu.\Tetra's healing will work better than hers, Naotsugu!\If they know what we're doing, this is exactly what they want.\Olive, get back!\No, cover Richou from the right!\Whoops...\Shiroe? response:	Ah, sorry!
context: I'll heal you, Naotsugu.\Tetra's healing will work better than hers, Naotsugu!\If they know what we're doing, this is exactly what they want.\Olive, get back!\No, cover Richou from the right!\Whoops...\Shiroe?\Ah, sorry! response:	Shiroe!
context: Tetra's healing will work better than hers, Naotsugu!\If they know what we're doing, this is exactly what they want.\Olive, get back!\No, cover Richou from the right!\Whoops...\Shiroe?\Ah, sorry!\Shiroe! response:	More enemies!
context: If they know what we're doing, this is exactly what they want.\Olive, get back!\No, cover Richou from the right!\Whoops...\Shiroe?\Ah, sorry!\Shiroe!\More enemies! response:	New enemies incoming from eight o'clock.
context: Olive, get back!\No, cover Richou from the right!\Whoops...\Shiroe?\Ah, sorry!\Shiroe!\More enemies!\New enemies incoming from eight o'clock. response:	Sh-Shiroe!
context: No, cover Richou from the right!\Whoops...\Shiroe?\Ah, sorry!\Shiroe!\More enemies!\New enemies incoming from eight o'clock.\Sh-Shiroe! response:	A minotaur!
context: Whoops...\Shiroe?\Ah, sorry!\Shiroe!\More enemies!\New enemies incoming from eight o'clock.\Sh-Shiroe!\A minotaur! response:	That's a surprise I'm not at all happy about!
context: Shiroe?\Ah, sorry!\Shiroe!\More enemies!\New enemies incoming from eight o'clock.\Sh-Shiroe!\A minotaur!\That's a surprise I'm not at all happy about! response:	This is an ambush!
context: Ah, sorry!\Shiroe!\More enemies!\New enemies incoming from eight o'clock.\Sh-Shiroe!\A minotaur!\That's a surprise I'm not at all happy about!\This is an ambush! response:	You're kidding me!
context: Shiroe!\More enemies!\New enemies incoming from eight o'clock.\Sh-Shiroe!\A minotaur!\That's a surprise I'm not at all happy about!\This is an ambush!\You're kidding me! response:	We may really lose our hope to get home.
context: More enemies!\New enemies incoming from eight o'clock.\Sh-Shiroe!\A minotaur!\That's a surprise I'm not at all happy about!\This is an ambush!\You're kidding me!\We may really lose our hope to get home. response:	Shiroe?
context: New enemies incoming from eight o'clock.\Sh-Shiroe!\A minotaur!\That's a surprise I'm not at all happy about!\This is an ambush!\You're kidding me!\We may really lose our hope to get home.\Shiroe? response:	Two minotaurs!
context: Sh-Shiroe!\A minotaur!\That's a surprise I'm not at all happy about!\This is an ambush!\You're kidding me!\We may really lose our hope to get home.\Shiroe?\Two minotaurs! response:	Your orders!
context: A minotaur!\That's a surprise I'm not at all happy about!\This is an ambush!\You're kidding me!\We may really lose our hope to get home.\Shiroe?\Two minotaurs!\Your orders! response:	Center around parties 2 and 4 and break through Old Spain-zaka!
context: That's a surprise I'm not at all happy about!\This is an ambush!\You're kidding me!\We may really lose our hope to get home.\Shiroe?\Two minotaurs!\Your orders!\Center around parties 2 and 4 and break through Old Spain-zaka! response:	Whoa, there... Take care.
context: This is an ambush!\You're kidding me!\We may really lose our hope to get home.\Shiroe?\Two minotaurs!\Your orders!\Center around parties 2 and 4 and break through Old Spain-zaka!\Whoa, there... Take care. response:	Nyanta...
context: You're kidding me!\We may really lose our hope to get home.\Shiroe?\Two minotaurs!\Your orders!\Center around parties 2 and 4 and break through Old Spain-zaka!\Whoa, there... Take care.\Nyanta... response:	Wow, they're all monsters I've never seen.
context: We may really lose our hope to get home.\Shiroe?\Two minotaurs!\Your orders!\Center around parties 2 and 4 and break through Old Spain-zaka!\Whoa, there... Take care.\Nyanta...\Wow, they're all monsters I've never seen. response:	This is very interesting...
context: Shiroe?\Two minotaurs!\Your orders!\Center around parties 2 and 4 and break through Old Spain-zaka!\Whoa, there... Take care.\Nyanta...\Wow, they're all monsters I've never seen.\This is very interesting... response:	Watch out, old guy!
context: Two minotaurs!\Your orders!\Center around parties 2 and 4 and break through Old Spain-zaka!\Whoa, there... Take care.\Nyanta...\Wow, they're all monsters I've never seen.\This is very interesting...\Watch out, old guy! response:	Party 1, fall back and focus on healing!
context: Your orders!\Center around parties 2 and 4 and break through Old Spain-zaka!\Whoa, there... Take care.\Nyanta...\Wow, they're all monsters I've never seen.\This is very interesting...\Watch out, old guy!\Party 1, fall back and focus on healing! response:	But we can't abandon this world, or the People of the Land, to this state.
context: Center around parties 2 and 4 and break through Old Spain-zaka!\Whoa, there... Take care.\Nyanta...\Wow, they're all monsters I've never seen.\This is very interesting...\Watch out, old guy!\Party 1, fall back and focus on healing!\But we can't abandon this world, or the People of the Land, to this state. response:	Maintain formation and keep going forward.
context: Whoa, there... Take care.\Nyanta...\Wow, they're all monsters I've never seen.\This is very interesting...\Watch out, old guy!\Party 1, fall back and focus on healing!\But we can't abandon this world, or the People of the Land, to this state.\Maintain formation and keep going forward. response:	No, right at the next corner!
context: Nyanta...\Wow, they're all monsters I've never seen.\This is very interesting...\Watch out, old guy!\Party 1, fall back and focus on healing!\But we can't abandon this world, or the People of the Land, to this state.\Maintain formation and keep going forward.\No, right at the next corner! response:	This is a mess.
context: Wow, they're all monsters I've never seen.\This is very interesting...\Watch out, old guy!\Party 1, fall back and focus on healing!\But we can't abandon this world, or the People of the Land, to this state.\Maintain formation and keep going forward.\No, right at the next corner!\This is a mess. response:	This isn't like him...
context: This is very interesting...\Watch out, old guy!\Party 1, fall back and focus on healing!\But we can't abandon this world, or the People of the Land, to this state.\Maintain formation and keep going forward.\No, right at the next corner!\This is a mess.\This isn't like him... response:	We didn't have time to investigate in advance.
context: Watch out, old guy!\Party 1, fall back and focus on healing!\But we can't abandon this world, or the People of the Land, to this state.\Maintain formation and keep going forward.\No, right at the next corner!\This is a mess.\This isn't like him...\We didn't have time to investigate in advance. response:	It can't be helped.
context: Party 1, fall back and focus on healing!\But we can't abandon this world, or the People of the Land, to this state.\Maintain formation and keep going forward.\No, right at the next corner!\This is a mess.\This isn't like him...\We didn't have time to investigate in advance.\It can't be helped. response:	Still...
context: But we can't abandon this world, or the People of the Land, to this state.\Maintain formation and keep going forward.\No, right at the next corner!\This is a mess.\This isn't like him...\We didn't have time to investigate in advance.\It can't be helped.\Still... response:	This is pathetic.
context: Maintain formation and keep going forward.\No, right at the next corner!\This is a mess.\This isn't like him...\We didn't have time to investigate in advance.\It can't be helped.\Still...\This is pathetic. response:	My lord respects him as the Tea Party's famous strategist.
context: No, right at the next corner!\This is a mess.\This isn't like him...\We didn't have time to investigate in advance.\It can't be helped.\Still...\This is pathetic.\My lord respects him as the Tea Party's famous strategist. response:	I wondered how good he was...
context: This is a mess.\This isn't like him...\We didn't have time to investigate in advance.\It can't be helped.\Still...\This is pathetic.\My lord respects him as the Tea Party's famous strategist.\I wondered how good he was... response:	This is the Calling Fortress.
context: This isn't like him...\We didn't have time to investigate in advance.\It can't be helped.\Still...\This is pathetic.\My lord respects him as the Tea Party's famous strategist.\I wondered how good he was...\This is the Calling Fortress. response:	Four hours and seven minutes left.
context: We didn't have time to investigate in advance.\It can't be helped.\Still...\This is pathetic.\My lord respects him as the Tea Party's famous strategist.\I wondered how good he was...\This is the Calling Fortress.\Four hours and seven minutes left. response:	This is a complicated seal...
context: It can't be helped.\Still...\This is pathetic.\My lord respects him as the Tea Party's famous strategist.\I wondered how good he was...\This is the Calling Fortress.\Four hours and seven minutes left.\This is a complicated seal... response:	Okay, here you go.
context: Still...\This is pathetic.\My lord respects him as the Tea Party's famous strategist.\I wondered how good he was...\This is the Calling Fortress.\Four hours and seven minutes left.\This is a complicated seal...\Okay, here you go. response:	Nice panties!
context: This is pathetic.\My lord respects him as the Tea Party's famous strategist.\I wondered how good he was...\This is the Calling Fortress.\Four hours and seven minutes left.\This is a complicated seal...\Okay, here you go.\Nice panties! response:	Way to go, skeleton-guy!
context: My lord respects him as the Tea Party's famous strategist.\I wondered how good he was...\This is the Calling Fortress.\Four hours and seven minutes left.\This is a complicated seal...\Okay, here you go.\Nice panties!\Way to go, skeleton-guy! response:	Oh, I know. I'm awesome.
context: I wondered how good he was...\This is the Calling Fortress.\Four hours and seven minutes left.\This is a complicated seal...\Okay, here you go.\Nice panties!\Way to go, skeleton-guy!\Oh, I know. I'm awesome. response:	Let's go.
context: This is the Calling Fortress.\Four hours and seven minutes left.\This is a complicated seal...\Okay, here you go.\Nice panties!\Way to go, skeleton-guy!\Oh, I know. I'm awesome.\Let's go. response:	Yeah.
context: Four hours and seven minutes left.\This is a complicated seal...\Okay, here you go.\Nice panties!\Way to go, skeleton-guy!\Oh, I know. I'm awesome.\Let's go.\Yeah. response:	Our phantom-beast scouts have given us some information,
context: This is a complicated seal...\Okay, here you go.\Nice panties!\Way to go, skeleton-guy!\Oh, I know. I'm awesome.\Let's go.\Yeah.\Our phantom-beast scouts have given us some information, response:	but as we head for the top, we'll confirm the situation on each floor.
context: Okay, here you go.\Nice panties!\Way to go, skeleton-guy!\Oh, I know. I'm awesome.\Let's go.\Yeah.\Our phantom-beast scouts have given us some information,\but as we head for the top, we'll confirm the situation on each floor. response:	Each party's back ranks will keep their distance, to prepare for the unexpected.
context: Nice panties!\Way to go, skeleton-guy!\Oh, I know. I'm awesome.\Let's go.\Yeah.\Our phantom-beast scouts have given us some information,\but as we head for the top, we'll confirm the situation on each floor.\Each party's back ranks will keep their distance, to prepare for the unexpected. response:	Votive Sword Kogarasumaru!
context: Way to go, skeleton-guy!\Oh, I know. I'm awesome.\Let's go.\Yeah.\Our phantom-beast scouts have given us some information,\but as we head for the top, we'll confirm the situation on each floor.\Each party's back ranks will keep their distance, to prepare for the unexpected.\Votive Sword Kogarasumaru! response:	Man, I can't see Sou...
context: Oh, I know. I'm awesome.\Let's go.\Yeah.\Our phantom-beast scouts have given us some information,\but as we head for the top, we'll confirm the situation on each floor.\Each party's back ranks will keep their distance, to prepare for the unexpected.\Votive Sword Kogarasumaru!\Man, I can't see Sou... response:	More enemies! Six rabbits!
context: Let's go.\Yeah.\Our phantom-beast scouts have given us some information,\but as we head for the top, we'll confirm the situation on each floor.\Each party's back ranks will keep their distance, to prepare for the unexpected.\Votive Sword Kogarasumaru!\Man, I can't see Sou...\More enemies! Six rabbits! response:	I won't let the captain be the only one to fight!
context: Yeah.\Our phantom-beast scouts have given us some information,\but as we head for the top, we'll confirm the situation on each floor.\Each party's back ranks will keep their distance, to prepare for the unexpected.\Votive Sword Kogarasumaru!\Man, I can't see Sou...\More enemies! Six rabbits!\I won't let the captain be the only one to fight! response:	Samurai's Challenge!
context: Our phantom-beast scouts have given us some information,\but as we head for the top, we'll confirm the situation on each floor.\Each party's back ranks will keep their distance, to prepare for the unexpected.\Votive Sword Kogarasumaru!\Man, I can't see Sou...\More enemies! Six rabbits!\I won't let the captain be the only one to fight!\Samurai's Challenge! response:	Fighting girls are so great...
context: but as we head for the top, we'll confirm the situation on each floor.\Each party's back ranks will keep their distance, to prepare for the unexpected.\Votive Sword Kogarasumaru!\Man, I can't see Sou...\More enemies! Six rabbits!\I won't let the captain be the only one to fight!\Samurai's Challenge!\Fighting girls are so great... response:	The shining sweat!
context: Each party's back ranks will keep their distance, to prepare for the unexpected.\Votive Sword Kogarasumaru!\Man, I can't see Sou...\More enemies! Six rabbits!\I won't let the captain be the only one to fight!\Samurai's Challenge!\Fighting girls are so great...\The shining sweat! response:	The West Wind gets along well, don't they?
context: Votive Sword Kogarasumaru!\Man, I can't see Sou...\More enemies! Six rabbits!\I won't let the captain be the only one to fight!\Samurai's Challenge!\Fighting girls are so great...\The shining sweat!\The West Wind gets along well, don't they? response:	We're partners. Of course we do.
context: Man, I can't see Sou...\More enemies! Six rabbits!\I won't let the captain be the only one to fight!\Samurai's Challenge!\Fighting girls are so great...\The shining sweat!\The West Wind gets along well, don't they?\We're partners. Of course we do. response:	I love it!
context: More enemies! Six rabbits!\I won't let the captain be the only one to fight!\Samurai's Challenge!\Fighting girls are so great...\The shining sweat!\The West Wind gets along well, don't they?\We're partners. Of course we do.\I love it! response:	Huh?!
context: I won't let the captain be the only one to fight!\Samurai's Challenge!\Fighting girls are so great...\The shining sweat!\The West Wind gets along well, don't they?\We're partners. Of course we do.\I love it!\Huh?! response:	Are you okay?
context: Samurai's Challenge!\Fighting girls are so great...\The shining sweat!\The West Wind gets along well, don't they?\We're partners. Of course we do.\I love it!\Huh?!\Are you okay? response:	Yes.
context: Fighting girls are so great...\The shining sweat!\The West Wind gets along well, don't they?\We're partners. Of course we do.\I love it!\Huh?!\Are you okay?\Yes. response:	Don't worry about me.
context: The shining sweat!\The West Wind gets along well, don't they?\We're partners. Of course we do.\I love it!\Huh?!\Are you okay?\Yes.\Don't worry about me. response:	All these corridors look the same...
context: The West Wind gets along well, don't they?\We're partners. Of course we do.\I love it!\Huh?!\Are you okay?\Yes.\Don't worry about me.\All these corridors look the same... response:	It's literally a labyrinth!
context: We're partners. Of course we do.\I love it!\Huh?!\Are you okay?\Yes.\Don't worry about me.\All these corridors look the same...\It's literally a labyrinth! response:	A dead end?
context: I love it!\Huh?!\Are you okay?\Yes.\Don't worry about me.\All these corridors look the same...\It's literally a labyrinth!\A dead end? response:	It's sealed with cocoons!
context: Huh?!\Are you okay?\Yes.\Don't worry about me.\All these corridors look the same...\It's literally a labyrinth!\A dead end?\It's sealed with cocoons! response:	Same over here, my lord!
context: Are you okay?\Yes.\Don't worry about me.\All these corridors look the same...\It's literally a labyrinth!\A dead end?\It's sealed with cocoons!\Same over here, my lord! response:	I can't see past it!
context: Yes.\Don't worry about me.\All these corridors look the same...\It's literally a labyrinth!\A dead end?\It's sealed with cocoons!\Same over here, my lord!\I can't see past it! response:	Shiroe!
context: Don't worry about me.\All these corridors look the same...\It's literally a labyrinth!\A dead end?\It's sealed with cocoons!\Same over here, my lord!\I can't see past it!\Shiroe! response:	The west corridor is overflowing with moon rabbits!
context: All these corridors look the same...\It's literally a labyrinth!\A dead end?\It's sealed with cocoons!\Same over here, my lord!\I can't see past it!\Shiroe!\The west corridor is overflowing with moon rabbits! response:	Fragrant Olive Nazuna Kurinon Minori Yuzuko
context: It's literally a labyrinth!\A dead end?\It's sealed with cocoons!\Same over here, my lord!\I can't see past it!\Shiroe!\The west corridor is overflowing with moon rabbits!\Fragrant Olive Nazuna Kurinon Minori Yuzuko response:	The way we're running through MP could prove fatal.
context: A dead end?\It's sealed with cocoons!\Same over here, my lord!\I can't see past it!\Shiroe!\The west corridor is overflowing with moon rabbits!\Fragrant Olive Nazuna Kurinon Minori Yuzuko\The way we're running through MP could prove fatal. response:	But...
context: It's sealed with cocoons!\Same over here, my lord!\I can't see past it!\Shiroe!\The west corridor is overflowing with moon rabbits!\Fragrant Olive Nazuna Kurinon Minori Yuzuko\The way we're running through MP could prove fatal.\But... response:	We'll head back down for now.
context: Same over here, my lord!\I can't see past it!\Shiroe!\The west corridor is overflowing with moon rabbits!\Fragrant Olive Nazuna Kurinon Minori Yuzuko\The way we're running through MP could prove fatal.\But...\We'll head back down for now. response:	After coming this far?
context: I can't see past it!\Shiroe!\The west corridor is overflowing with moon rabbits!\Fragrant Olive Nazuna Kurinon Minori Yuzuko\The way we're running through MP could prove fatal.\But...\We'll head back down for now.\After coming this far? response:	Shiro?
context: Shiroe!\The west corridor is overflowing with moon rabbits!\Fragrant Olive Nazuna Kurinon Minori Yuzuko\The way we're running through MP could prove fatal.\But...\We'll head back down for now.\After coming this far?\Shiro? response:	Head down and into the central courtyard!
context: The west corridor is overflowing with moon rabbits!\Fragrant Olive Nazuna Kurinon Minori Yuzuko\The way we're running through MP could prove fatal.\But...\We'll head back down for now.\After coming this far?\Shiro?\Head down and into the central courtyard! response:	As long as we defend the two exits, we can hold our position here.
context: Fragrant Olive Nazuna Kurinon Minori Yuzuko\The way we're running through MP could prove fatal.\But...\We'll head back down for now.\After coming this far?\Shiro?\Head down and into the central courtyard!\As long as we defend the two exits, we can hold our position here. response:	We'll take turns recovering MP.
context: The way we're running through MP could prove fatal.\But...\We'll head back down for now.\After coming this far?\Shiro?\Head down and into the central courtyard!\As long as we defend the two exits, we can hold our position here.\We'll take turns recovering MP. response:	If we only had a safe zone...
context: But...\We'll head back down for now.\After coming this far?\Shiro?\Head down and into the central courtyard!\As long as we defend the two exits, we can hold our position here.\We'll take turns recovering MP.\If we only had a safe zone... response:	The mob levels are high.
context: We'll head back down for now.\After coming this far?\Shiro?\Head down and into the central courtyard!\As long as we defend the two exits, we can hold our position here.\We'll take turns recovering MP.\If we only had a safe zone...\The mob levels are high. response:	This is tougher than I expected.
context: After coming this far?\Shiro?\Head down and into the central courtyard!\As long as we defend the two exits, we can hold our position here.\We'll take turns recovering MP.\If we only had a safe zone...\The mob levels are high.\This is tougher than I expected. response:	Shiroe!
context: Shiro?\Head down and into the central courtyard!\As long as we defend the two exits, we can hold our position here.\We'll take turns recovering MP.\If we only had a safe zone...\The mob levels are high.\This is tougher than I expected.\Shiroe! response:	A minotaur!
context: Head down and into the central courtyard!\As long as we defend the two exits, we can hold our position here.\We'll take turns recovering MP.\If we only had a safe zone...\The mob levels are high.\This is tougher than I expected.\Shiroe!\A minotaur! response:	Another set of two!
context: As long as we defend the two exits, we can hold our position here.\We'll take turns recovering MP.\If we only had a safe zone...\The mob levels are high.\This is tougher than I expected.\Shiroe!\A minotaur!\Another set of two! response:	Six black ogres from above!
context: We'll take turns recovering MP.\If we only had a safe zone...\The mob levels are high.\This is tougher than I expected.\Shiroe!\A minotaur!\Another set of two!\Six black ogres from above! response:	Twelve moon rabbits from above!
context: If we only had a safe zone...\The mob levels are high.\This is tougher than I expected.\Shiroe!\A minotaur!\Another set of two!\Six black ogres from above!\Twelve moon rabbits from above! response:	Split up and get ready!
context: The mob levels are high.\This is tougher than I expected.\Shiroe!\A minotaur!\Another set of two!\Six black ogres from above!\Twelve moon rabbits from above!\Split up and get ready! response:	No time to rest, huh?
context: This is tougher than I expected.\Shiroe!\A minotaur!\Another set of two!\Six black ogres from above!\Twelve moon rabbits from above!\Split up and get ready!\No time to rest, huh? response:	Raids are always like this.
context: Shiroe!\A minotaur!\Another set of two!\Six black ogres from above!\Twelve moon rabbits from above!\Split up and get ready!\No time to rest, huh?\Raids are always like this. response:	Well, ever since I decided to go with you, I've been ready for this.
context: A minotaur!\Another set of two!\Six black ogres from above!\Twelve moon rabbits from above!\Split up and get ready!\No time to rest, huh?\Raids are always like this.\Well, ever since I decided to go with you, I've been ready for this. response:	You're always the one at the very front.
context: Another set of two!\Six black ogres from above!\Twelve moon rabbits from above!\Split up and get ready!\No time to rest, huh?\Raids are always like this.\Well, ever since I decided to go with you, I've been ready for this.\You're always the one at the very front. response:	You don't think I'm some kind of bad luck charm, do you?
context: Six black ogres from above!\Twelve moon rabbits from above!\Split up and get ready!\No time to rest, huh?\Raids are always like this.\Well, ever since I decided to go with you, I've been ready for this.\You're always the one at the very front.\You don't think I'm some kind of bad luck charm, do you? response:	You'll make me cry.
context: Twelve moon rabbits from above!\Split up and get ready!\No time to rest, huh?\Raids are always like this.\Well, ever since I decided to go with you, I've been ready for this.\You're always the one at the very front.\You don't think I'm some kind of bad luck charm, do you?\You'll make me cry. response:	I'll make you cry later!
context: Split up and get ready!\No time to rest, huh?\Raids are always like this.\Well, ever since I decided to go with you, I've been ready for this.\You're always the one at the very front.\You don't think I'm some kind of bad luck charm, do you?\You'll make me cry.\I'll make you cry later! response:	Serara!
context: No time to rest, huh?\Raids are always like this.\Well, ever since I decided to go with you, I've been ready for this.\You're always the one at the very front.\You don't think I'm some kind of bad luck charm, do you?\You'll make me cry.\I'll make you cry later!\Serara! response:	Chief!
context: Raids are always like this.\Well, ever since I decided to go with you, I've been ready for this.\You're always the one at the very front.\You don't think I'm some kind of bad luck charm, do you?\You'll make me cry.\I'll make you cry later!\Serara!\Chief! response:	I-I'm sorry!
context: Well, ever since I decided to go with you, I've been ready for this.\You're always the one at the very front.\You don't think I'm some kind of bad luck charm, do you?\You'll make me cry.\I'll make you cry later!\Serara!\Chief!\I-I'm sorry! response:	No! Tohya!
context: You're always the one at the very front.\You don't think I'm some kind of bad luck charm, do you?\You'll make me cry.\I'll make you cry later!\Serara!\Chief!\I-I'm sorry!\No! Tohya! response:	I can't keep them delayed...
context: You don't think I'm some kind of bad luck charm, do you?\You'll make me cry.\I'll make you cry later!\Serara!\Chief!\I-I'm sorry!\No! Tohya!\I can't keep them delayed... response:	Okay, I'll use an Aura Heal
context: You'll make me cry.\I'll make you cry later!\Serara!\Chief!\I-I'm sorry!\No! Tohya!\I can't keep them delayed...\Okay, I'll use an Aura Heal response:	Hey!
context: I'll make you cry later!\Serara!\Chief!\I-I'm sorry!\No! Tohya!\I can't keep them delayed...\Okay, I'll use an Aura Heal\Hey! response:	You can't just push an idol away
context: Serara!\Chief!\I-I'm sorry!\No! Tohya!\I can't keep them delayed...\Okay, I'll use an Aura Heal\Hey!\You can't just push an idol away response:	Tetra, heal everyone!
context: Chief!\I-I'm sorry!\No! Tohya!\I can't keep them delayed...\Okay, I'll use an Aura Heal\Hey!\You can't just push an idol away\Tetra, heal everyone! response:	Marielle!
context: I-I'm sorry!\No! Tohya!\I can't keep them delayed...\Okay, I'll use an Aura Heal\Hey!\You can't just push an idol away\Tetra, heal everyone!\Marielle! response:	Marielle!
context: No! Tohya!\I can't keep them delayed...\Okay, I'll use an Aura Heal\Hey!\You can't just push an idol away\Tetra, heal everyone!\Marielle!\Marielle! response:	New enemy.
context: I can't keep them delayed...\Okay, I'll use an Aura Heal\Hey!\You can't just push an idol away\Tetra, heal everyone!\Marielle!\Marielle!\New enemy. response:	Half-moon venom hydrangea.
context: Okay, I'll use an Aura Heal\Hey!\You can't just push an idol away\Tetra, heal everyone!\Marielle!\Marielle!\New enemy.\Half-moon venom hydrangea. response:	Shiroe, we've lost three!
context: Hey!\You can't just push an idol away\Tetra, heal everyone!\Marielle!\Marielle!\New enemy.\Half-moon venom hydrangea.\Shiroe, we've lost three! response:	Our MP won't last.
context: You can't just push an idol away\Tetra, heal everyone!\Marielle!\Marielle!\New enemy.\Half-moon venom hydrangea.\Shiroe, we've lost three!\Our MP won't last. response:	I'm prioritizing Richou's group.
context: Tetra, heal everyone!\Marielle!\Marielle!\New enemy.\Half-moon venom hydrangea.\Shiroe, we've lost three!\Our MP won't last.\I'm prioritizing Richou's group. response:	Hang in there somehow!
context: Marielle!\Marielle!\New enemy.\Half-moon venom hydrangea.\Shiroe, we've lost three!\Our MP won't last.\I'm prioritizing Richou's group.\Hang in there somehow! response:	Roger!
context: Marielle!\New enemy.\Half-moon venom hydrangea.\Shiroe, we've lost three!\Our MP won't last.\I'm prioritizing Richou's group.\Hang in there somehow!\Roger! response:	AoE attack!
