context: Over a hundred years ago, response:	humanity suddenly found itself faced with a new predator.
context: If we destroy them,\we can retake our home!\Armin...\I'm enlisting next year.\I'll gain the power to fight Titans!\Me, too.\Armin?\Me, too! response:	I'll go, as well.
context: we can retake our home!\Armin...\I'm enlisting next year.\I'll gain the power to fight Titans!\Me, too.\Armin?\Me, too!\I'll go, as well. response:	Mikasa, you don't have to...
context: Armin...\I'm enlisting next year.\I'll gain the power to fight Titans!\Me, too.\Armin?\Me, too!\I'll go, as well.\Mikasa, you don't have to... response:	Didn't you say that it's important to survive?
context: I'm enlisting next year.\I'll gain the power to fight Titans!\Me, too.\Armin?\Me, too!\I'll go, as well.\Mikasa, you don't have to...\Didn't you say that it's important to survive? response:	That's right.
context: I'll gain the power to fight Titans!\Me, too.\Armin?\Me, too!\I'll go, as well.\Mikasa, you don't have to...\Didn't you say that it's important to survive?\That's right. response:	So I'll go, to keep you from dying.
context: Me, too.\Armin?\Me, too!\I'll go, as well.\Mikasa, you don't have to...\Didn't you say that it's important to survive?\That's right.\So I'll go, to keep you from dying. response:	All right.
context: Armin?\Me, too!\I'll go, as well.\Mikasa, you don't have to...\Didn't you say that it's important to survive?\That's right.\So I'll go, to keep you from dying.\All right. response:	The three of us.
context: Me, too!\I'll go, as well.\Mikasa, you don't have to...\Didn't you say that it's important to survive?\That's right.\So I'll go, to keep you from dying.\All right.\The three of us. response:	We now begin the enlistment ceremony for the 104th Trainee Corps!
context: I'll go, as well.\Mikasa, you don't have to...\Didn't you say that it's important to survive?\That's right.\So I'll go, to keep you from dying.\All right.\The three of us.\We now begin the enlistment ceremony for the 104th Trainee Corps! response:	I am Keith Shadis, and I had the misfortune to be assigned
context: Mikasa, you don't have to...\Didn't you say that it's important to survive?\That's right.\So I'll go, to keep you from dying.\All right.\The three of us.\We now begin the enlistment ceremony for the 104th Trainee Corps!\I am Keith Shadis, and I had the misfortune to be assigned response:	to train you bastards.
context: Didn't you say that it's important to survive?\That's right.\So I'll go, to keep you from dying.\All right.\The three of us.\We now begin the enlistment ceremony for the 104th Trainee Corps!\I am Keith Shadis, and I had the misfortune to be assigned\to train you bastards. response:	Right now, you're mere cattle, fit for nothing but Titan food!
context: That's right.\So I'll go, to keep you from dying.\All right.\The three of us.\We now begin the enlistment ceremony for the 104th Trainee Corps!\I am Keith Shadis, and I had the misfortune to be assigned\to train you bastards.\Right now, you're mere cattle, fit for nothing but Titan food! response:	No, less than cattle...
context: So I'll go, to keep you from dying.\All right.\The three of us.\We now begin the enlistment ceremony for the 104th Trainee Corps!\I am Keith Shadis, and I had the misfortune to be assigned\to train you bastards.\Right now, you're mere cattle, fit for nothing but Titan food!\No, less than cattle... response:	In three years, we'll take you worthless pieces of crap and train you!
context: All right.\The three of us.\We now begin the enlistment ceremony for the 104th Trainee Corps!\I am Keith Shadis, and I had the misfortune to be assigned\to train you bastards.\Right now, you're mere cattle, fit for nothing but Titan food!\No, less than cattle...\In three years, we'll take you worthless pieces of crap and train you! response:	Give you the means to fight the Titans.
context: The three of us.\We now begin the enlistment ceremony for the 104th Trainee Corps!\I am Keith Shadis, and I had the misfortune to be assigned\to train you bastards.\Right now, you're mere cattle, fit for nothing but Titan food!\No, less than cattle...\In three years, we'll take you worthless pieces of crap and train you!\Give you the means to fight the Titans. response:	In three years, when you stand before a Titan,
context: We now begin the enlistment ceremony for the 104th Trainee Corps!\I am Keith Shadis, and I had the misfortune to be assigned\to train you bastards.\Right now, you're mere cattle, fit for nothing but Titan food!\No, less than cattle...\In three years, we'll take you worthless pieces of crap and train you!\Give you the means to fight the Titans.\In three years, when you stand before a Titan, response:	will you still be food?
context: I am Keith Shadis, and I had the misfortune to be assigned\to train you bastards.\Right now, you're mere cattle, fit for nothing but Titan food!\No, less than cattle...\In three years, we'll take you worthless pieces of crap and train you!\Give you the means to fight the Titans.\In three years, when you stand before a Titan,\will you still be food? response:	Or will you be a noble wall, shielding the King?
context: to train you bastards.\Right now, you're mere cattle, fit for nothing but Titan food!\No, less than cattle...\In three years, we'll take you worthless pieces of crap and train you!\Give you the means to fight the Titans.\In three years, when you stand before a Titan,\will you still be food?\Or will you be a noble wall, shielding the King? response:	Or perhaps, one of humanity's glorious soldiers that slay Titans?
context: Right now, you're mere cattle, fit for nothing but Titan food!\No, less than cattle...\In three years, we'll take you worthless pieces of crap and train you!\Give you the means to fight the Titans.\In three years, when you stand before a Titan,\will you still be food?\Or will you be a noble wall, shielding the King?\Or perhaps, one of humanity's glorious soldiers that slay Titans? response:	You will decide!
context: No, less than cattle...\In three years, we'll take you worthless pieces of crap and train you!\Give you the means to fight the Titans.\In three years, when you stand before a Titan,\will you still be food?\Or will you be a noble wall, shielding the King?\Or perhaps, one of humanity's glorious soldiers that slay Titans?\You will decide! response:	Yes...
context: In three years, we'll take you worthless pieces of crap and train you!\Give you the means to fight the Titans.\In three years, when you stand before a Titan,\will you still be food?\Or will you be a noble wall, shielding the King?\Or perhaps, one of humanity's glorious soldiers that slay Titans?\You will decide!\Yes... response:	That's what I'll be.
context: Give you the means to fight the Titans.\In three years, when you stand before a Titan,\will you still be food?\Or will you be a noble wall, shielding the King?\Or perhaps, one of humanity's glorious soldiers that slay Titans?\You will decide!\Yes...\That's what I'll be. response:	And I will kill every last Titan in existence!
context: In three years, when you stand before a Titan,\will you still be food?\Or will you be a noble wall, shielding the King?\Or perhaps, one of humanity's glorious soldiers that slay Titans?\You will decide!\Yes...\That's what I'll be.\And I will kill every last Titan in existence! response:	A failure as a soldier...
context: will you still be food?\Or will you be a noble wall, shielding the King?\Or perhaps, one of humanity's glorious soldiers that slay Titans?\You will decide!\Yes...\That's what I'll be.\And I will kill every last Titan in existence!\A failure as a soldier... response:	Swearing revenge against the Titans,
context: Or will you be a noble wall, shielding the King?\Or perhaps, one of humanity's glorious soldiers that slay Titans?\You will decide!\Yes...\That's what I'll be.\And I will kill every last Titan in existence!\A failure as a soldier...\Swearing revenge against the Titans, response:	Eren becomes a trainee.
context: Or perhaps, one of humanity's glorious soldiers that slay Titans?\You will decide!\Yes...\That's what I'll be.\And I will kill every last Titan in existence!\A failure as a soldier...\Swearing revenge against the Titans,\Eren becomes a trainee. response:	But when he fails at basic training,
context: You will decide!\Yes...\That's what I'll be.\And I will kill every last Titan in existence!\A failure as a soldier...\Swearing revenge against the Titans,\Eren becomes a trainee.\But when he fails at basic training, response:	he must confront a harsh reality.
context: Yes...\That's what I'll be.\And I will kill every last Titan in existence!\A failure as a soldier...\Swearing revenge against the Titans,\Eren becomes a trainee.\But when he fails at basic training,\he must confront a harsh reality. response:	A Dim Light in the Darkness of Despair Humanity Rises Again (1)
