context: You're kidding... response:	Was this designed to be impossible?
context: Even my studying was for Elder Tale!\Me, too.\If you want to call me a vegetable, go ahead.\I'm a weirdo gamer.\I'm so unsuited for society, I can spend a whole evening\overjoyed over a rare item!\That's how serious I've been about this!\But that means that I can't run from two or three extra raid bosses. response:	Even if I ran, where would I go?
context: Me, too.\If you want to call me a vegetable, go ahead.\I'm a weirdo gamer.\I'm so unsuited for society, I can spend a whole evening\overjoyed over a rare item!\That's how serious I've been about this!\But that means that I can't run from two or three extra raid bosses.\Even if I ran, where would I go? response:	Will I run away and spend the rest of my life making fun of games?
context: If you want to call me a vegetable, go ahead.\I'm a weirdo gamer.\I'm so unsuited for society, I can spend a whole evening\overjoyed over a rare item!\That's how serious I've been about this!\But that means that I can't run from two or three extra raid bosses.\Even if I ran, where would I go?\Will I run away and spend the rest of my life making fun of games? response:	If I stop raiding, can I make friends?
context: I'm a weirdo gamer.\I'm so unsuited for society, I can spend a whole evening\overjoyed over a rare item!\That's how serious I've been about this!\But that means that I can't run from two or three extra raid bosses.\Even if I ran, where would I go?\Will I run away and spend the rest of my life making fun of games?\If I stop raiding, can I make friends? response:	Can I laugh and say, Yeah, that was a waste of time?
context: I'm so unsuited for society, I can spend a whole evening\overjoyed over a rare item!\That's how serious I've been about this!\But that means that I can't run from two or three extra raid bosses.\Even if I ran, where would I go?\Will I run away and spend the rest of my life making fun of games?\If I stop raiding, can I make friends?\Can I laugh and say, Yeah, that was a waste of time? response:	Screw that crap!
context: overjoyed over a rare item!\That's how serious I've been about this!\But that means that I can't run from two or three extra raid bosses.\Even if I ran, where would I go?\Will I run away and spend the rest of my life making fun of games?\If I stop raiding, can I make friends?\Can I laugh and say, Yeah, that was a waste of time?\Screw that crap! response:	That's insane.
context: That's how serious I've been about this!\But that means that I can't run from two or three extra raid bosses.\Even if I ran, where would I go?\Will I run away and spend the rest of my life making fun of games?\If I stop raiding, can I make friends?\Can I laugh and say, Yeah, that was a waste of time?\Screw that crap!\That's insane. response:	Then you're telling us to keep dying instead of running?
context: But that means that I can't run from two or three extra raid bosses.\Even if I ran, where would I go?\Will I run away and spend the rest of my life making fun of games?\If I stop raiding, can I make friends?\Can I laugh and say, Yeah, that was a waste of time?\Screw that crap!\That's insane.\Then you're telling us to keep dying instead of running? response:	How many times do I have to go through that?
context: Even if I ran, where would I go?\Will I run away and spend the rest of my life making fun of games?\If I stop raiding, can I make friends?\Can I laugh and say, Yeah, that was a waste of time?\Screw that crap!\That's insane.\Then you're telling us to keep dying instead of running?\How many times do I have to go through that? response:	Demikas...
context: Will I run away and spend the rest of my life making fun of games?\If I stop raiding, can I make friends?\Can I laugh and say, Yeah, that was a waste of time?\Screw that crap!\That's insane.\Then you're telling us to keep dying instead of running?\How many times do I have to go through that?\Demikas... response:	If we have some way to win, that's fine.
context: If I stop raiding, can I make friends?\Can I laugh and say, Yeah, that was a waste of time?\Screw that crap!\That's insane.\Then you're telling us to keep dying instead of running?\How many times do I have to go through that?\Demikas...\If we have some way to win, that's fine. response:	But we don't. Not anymore.
context: Can I laugh and say, Yeah, that was a waste of time?\Screw that crap!\That's insane.\Then you're telling us to keep dying instead of running?\How many times do I have to go through that?\Demikas...\If we have some way to win, that's fine.\But we don't. Not anymore. response:	We're just playing a game.
context: Screw that crap!\That's insane.\Then you're telling us to keep dying instead of running?\How many times do I have to go through that?\Demikas...\If we have some way to win, that's fine.\But we don't. Not anymore.\We're just playing a game. response:	Even in a different world, that doesn't change.
context: That's insane.\Then you're telling us to keep dying instead of running?\How many times do I have to go through that?\Demikas...\If we have some way to win, that's fine.\But we don't. Not anymore.\We're just playing a game.\Even in a different world, that doesn't change. response:	We're useless mouths to feed.
context: Then you're telling us to keep dying instead of running?\How many times do I have to go through that?\Demikas...\If we have some way to win, that's fine.\But we don't. Not anymore.\We're just playing a game.\Even in a different world, that doesn't change.\We're useless mouths to feed. response:	And we can't even win the game we play.
context: How many times do I have to go through that?\Demikas...\If we have some way to win, that's fine.\But we don't. Not anymore.\We're just playing a game.\Even in a different world, that doesn't change.\We're useless mouths to feed.\And we can't even win the game we play. response:	Will you still tell us not to run?
context: Demikas...\If we have some way to win, that's fine.\But we don't. Not anymore.\We're just playing a game.\Even in a different world, that doesn't change.\We're useless mouths to feed.\And we can't even win the game we play.\Will you still tell us not to run? response:	I ran once...
context: If we have some way to win, that's fine.\But we don't. Not anymore.\We're just playing a game.\Even in a different world, that doesn't change.\We're useless mouths to feed.\And we can't even win the game we play.\Will you still tell us not to run?\I ran once... response:	It was bothering me, but I finally figured it out.
context: But we don't. Not anymore.\We're just playing a game.\Even in a different world, that doesn't change.\We're useless mouths to feed.\And we can't even win the game we play.\Will you still tell us not to run?\I ran once...\It was bothering me, but I finally figured it out. response:	It was the first Round Table conference in Akihabara.
context: We're just playing a game.\Even in a different world, that doesn't change.\We're useless mouths to feed.\And we can't even win the game we play.\Will you still tell us not to run?\I ran once...\It was bothering me, but I finally figured it out.\It was the first Round Table conference in Akihabara. response:	Back then, I wanted to do raids in this new world
context: Even in a different world, that doesn't change.\We're useless mouths to feed.\And we can't even win the game we play.\Will you still tell us not to run?\I ran once...\It was bothering me, but I finally figured it out.\It was the first Round Table conference in Akihabara.\Back then, I wanted to do raids in this new world response:	more than anything.
context: We're useless mouths to feed.\And we can't even win the game we play.\Will you still tell us not to run?\I ran once...\It was bothering me, but I finally figured it out.\It was the first Round Table conference in Akihabara.\Back then, I wanted to do raids in this new world\more than anything. response:	I'm not wasting my time with this.
context: And we can't even win the game we play.\Will you still tell us not to run?\I ran once...\It was bothering me, but I finally figured it out.\It was the first Round Table conference in Akihabara.\Back then, I wanted to do raids in this new world\more than anything.\I'm not wasting my time with this. response:	The safety of the city?
context: Will you still tell us not to run?\I ran once...\It was bothering me, but I finally figured it out.\It was the first Round Table conference in Akihabara.\Back then, I wanted to do raids in this new world\more than anything.\I'm not wasting my time with this.\The safety of the city? response:	That's stupid.
context: I ran once...\It was bothering me, but I finally figured it out.\It was the first Round Table conference in Akihabara.\Back then, I wanted to do raids in this new world\more than anything.\I'm not wasting my time with this.\The safety of the city?\That's stupid. response:	It's a waste of time.
context: It was bothering me, but I finally figured it out.\It was the first Round Table conference in Akihabara.\Back then, I wanted to do raids in this new world\more than anything.\I'm not wasting my time with this.\The safety of the city?\That's stupid.\It's a waste of time. response:	Honestly, I thought they were fools,
context: It was the first Round Table conference in Akihabara.\Back then, I wanted to do raids in this new world\more than anything.\I'm not wasting my time with this.\The safety of the city?\That's stupid.\It's a waste of time.\Honestly, I thought they were fools, response:	wasting their time on an impossible task.
context: Back then, I wanted to do raids in this new world\more than anything.\I'm not wasting my time with this.\The safety of the city?\That's stupid.\It's a waste of time.\Honestly, I thought they were fools,\wasting their time on an impossible task. response:	I did something so horrible that, if someone had done it to me,
context: more than anything.\I'm not wasting my time with this.\The safety of the city?\That's stupid.\It's a waste of time.\Honestly, I thought they were fools,\wasting their time on an impossible task.\I did something so horrible that, if someone had done it to me, response:	I would've wanted to punch them.
context: I'm not wasting my time with this.\The safety of the city?\That's stupid.\It's a waste of time.\Honestly, I thought they were fools,\wasting their time on an impossible task.\I did something so horrible that, if someone had done it to me,\I would've wanted to punch them. response:	It's funny.
context: The safety of the city?\That's stupid.\It's a waste of time.\Honestly, I thought they were fools,\wasting their time on an impossible task.\I did something so horrible that, if someone had done it to me,\I would've wanted to punch them.\It's funny. response:	I know that now.
context: That's stupid.\It's a waste of time.\Honestly, I thought they were fools,\wasting their time on an impossible task.\I did something so horrible that, if someone had done it to me,\I would've wanted to punch them.\It's funny.\I know that now. response:	I ran.
context: It's a waste of time.\Honestly, I thought they were fools,\wasting their time on an impossible task.\I did something so horrible that, if someone had done it to me,\I would've wanted to punch them.\It's funny.\I know that now.\I ran. response:	I ignored them because I didn't think it would work.
context: Honestly, I thought they were fools,\wasting their time on an impossible task.\I did something so horrible that, if someone had done it to me,\I would've wanted to punch them.\It's funny.\I know that now.\I ran.\I ignored them because I didn't think it would work. response:	But there was one player who didn't run.
context: wasting their time on an impossible task.\I did something so horrible that, if someone had done it to me,\I would've wanted to punch them.\It's funny.\I know that now.\I ran.\I ignored them because I didn't think it would work.\But there was one player who didn't run. response:	He was
context: I did something so horrible that, if someone had done it to me,\I would've wanted to punch them.\It's funny.\I know that now.\I ran.\I ignored them because I didn't think it would work.\But there was one player who didn't run.\He was response:	the man I looked up to.
context: I would've wanted to punch them.\It's funny.\I know that now.\I ran.\I ignored them because I didn't think it would work.\But there was one player who didn't run.\He was\the man I looked up to. response:	The legendary party who'd gone toe-to-toe with the best,
context: It's funny.\I know that now.\I ran.\I ignored them because I didn't think it would work.\But there was one player who didn't run.\He was\the man I looked up to.\The legendary party who'd gone toe-to-toe with the best, response:	on the toughest quests, without ever making a guild of their own.
context: I know that now.\I ran.\I ignored them because I didn't think it would work.\But there was one player who didn't run.\He was\the man I looked up to.\The legendary party who'd gone toe-to-toe with the best,\on the toughest quests, without ever making a guild of their own. response:	The Debauchery Tea Party.
context: I ran.\I ignored them because I didn't think it would work.\But there was one player who didn't run.\He was\the man I looked up to.\The legendary party who'd gone toe-to-toe with the best,\on the toughest quests, without ever making a guild of their own.\The Debauchery Tea Party. response:	When I heard the rumors of them,
context: I ignored them because I didn't think it would work.\But there was one player who didn't run.\He was\the man I looked up to.\The legendary party who'd gone toe-to-toe with the best,\on the toughest quests, without ever making a guild of their own.\The Debauchery Tea Party.\When I heard the rumors of them, response:	I used to dream that, someday, they would let me in, too.
context: But there was one player who didn't run.\He was\the man I looked up to.\The legendary party who'd gone toe-to-toe with the best,\on the toughest quests, without ever making a guild of their own.\The Debauchery Tea Party.\When I heard the rumors of them,\I used to dream that, someday, they would let me in, too. response:	But before I hit level 90, they split up.
context: He was\the man I looked up to.\The legendary party who'd gone toe-to-toe with the best,\on the toughest quests, without ever making a guild of their own.\The Debauchery Tea Party.\When I heard the rumors of them,\I used to dream that, someday, they would let me in, too.\But before I hit level 90, they split up. response:	The members went back to being solo,
context: the man I looked up to.\The legendary party who'd gone toe-to-toe with the best,\on the toughest quests, without ever making a guild of their own.\The Debauchery Tea Party.\When I heard the rumors of them,\I used to dream that, someday, they would let me in, too.\But before I hit level 90, they split up.\The members went back to being solo, response:	without forming a guild, and split up.
context: The legendary party who'd gone toe-to-toe with the best,\on the toughest quests, without ever making a guild of their own.\The Debauchery Tea Party.\When I heard the rumors of them,\I used to dream that, someday, they would let me in, too.\But before I hit level 90, they split up.\The members went back to being solo,\without forming a guild, and split up. response:	I didn't understand why they'd left their legend if they were just going to quit.
context: on the toughest quests, without ever making a guild of their own.\The Debauchery Tea Party.\When I heard the rumors of them,\I used to dream that, someday, they would let me in, too.\But before I hit level 90, they split up.\The members went back to being solo,\without forming a guild, and split up.\I didn't understand why they'd left their legend if they were just going to quit. response:	There was a raid that I thought was pointless, impossible, and unwinnable, but he...
context: The Debauchery Tea Party.\When I heard the rumors of them,\I used to dream that, someday, they would let me in, too.\But before I hit level 90, they split up.\The members went back to being solo,\without forming a guild, and split up.\I didn't understand why they'd left their legend if they were just going to quit.\There was a raid that I thought was pointless, impossible, and unwinnable, but he... response:	But Shiroe won it, and made Akihabara.
context: When I heard the rumors of them,\I used to dream that, someday, they would let me in, too.\But before I hit level 90, they split up.\The members went back to being solo,\without forming a guild, and split up.\I didn't understand why they'd left their legend if they were just going to quit.\There was a raid that I thought was pointless, impossible, and unwinnable, but he...\But Shiroe won it, and made Akihabara. response:	A raid that created a city!
context: I used to dream that, someday, they would let me in, too.\But before I hit level 90, they split up.\The members went back to being solo,\without forming a guild, and split up.\I didn't understand why they'd left their legend if they were just going to quit.\There was a raid that I thought was pointless, impossible, and unwinnable, but he...\But Shiroe won it, and made Akihabara.\A raid that created a city! response:	How can you make fun of that?
context: But before I hit level 90, they split up.\The members went back to being solo,\without forming a guild, and split up.\I didn't understand why they'd left their legend if they were just going to quit.\There was a raid that I thought was pointless, impossible, and unwinnable, but he...\But Shiroe won it, and made Akihabara.\A raid that created a city!\How can you make fun of that? response:	I thought he was an incredible leader.
context: The members went back to being solo,\without forming a guild, and split up.\I didn't understand why they'd left their legend if they were just going to quit.\There was a raid that I thought was pointless, impossible, and unwinnable, but he...\But Shiroe won it, and made Akihabara.\A raid that created a city!\How can you make fun of that?\I thought he was an incredible leader. response:	Of course.
context: without forming a guild, and split up.\I didn't understand why they'd left their legend if they were just going to quit.\There was a raid that I thought was pointless, impossible, and unwinnable, but he...\But Shiroe won it, and made Akihabara.\A raid that created a city!\How can you make fun of that?\I thought he was an incredible leader.\Of course. response:	He couldn't just be an ordinary guy.
context: I didn't understand why they'd left their legend if they were just going to quit.\There was a raid that I thought was pointless, impossible, and unwinnable, but he...\But Shiroe won it, and made Akihabara.\A raid that created a city!\How can you make fun of that?\I thought he was an incredible leader.\Of course.\He couldn't just be an ordinary guy. response:	And when he came to me for a favor,
context: There was a raid that I thought was pointless, impossible, and unwinnable, but he...\But Shiroe won it, and made Akihabara.\A raid that created a city!\How can you make fun of that?\I thought he was an incredible leader.\Of course.\He couldn't just be an ordinary guy.\And when he came to me for a favor, response:	I was so happy, I agreed instantly.
context: But Shiroe won it, and made Akihabara.\A raid that created a city!\How can you make fun of that?\I thought he was an incredible leader.\Of course.\He couldn't just be an ordinary guy.\And when he came to me for a favor,\I was so happy, I agreed instantly. response:	Of course it would be impossible.
context: A raid that created a city!\How can you make fun of that?\I thought he was an incredible leader.\Of course.\He couldn't just be an ordinary guy.\And when he came to me for a favor,\I was so happy, I agreed instantly.\Of course it would be impossible. response:	The villain in glasses brought it to me.
context: How can you make fun of that?\I thought he was an incredible leader.\Of course.\He couldn't just be an ordinary guy.\And when he came to me for a favor,\I was so happy, I agreed instantly.\Of course it would be impossible.\The villain in glasses brought it to me. response:	Of course something horrible would happen to all of us.
context: I thought he was an incredible leader.\Of course.\He couldn't just be an ordinary guy.\And when he came to me for a favor,\I was so happy, I agreed instantly.\Of course it would be impossible.\The villain in glasses brought it to me.\Of course something horrible would happen to all of us. response:	He's a nuisance and a sadist. You can see it by looking at him.
context: Of course.\He couldn't just be an ordinary guy.\And when he came to me for a favor,\I was so happy, I agreed instantly.\Of course it would be impossible.\The villain in glasses brought it to me.\Of course something horrible would happen to all of us.\He's a nuisance and a sadist. You can see it by looking at him. response:	But I thought it was fun!
context: He couldn't just be an ordinary guy.\And when he came to me for a favor,\I was so happy, I agreed instantly.\Of course it would be impossible.\The villain in glasses brought it to me.\Of course something horrible would happen to all of us.\He's a nuisance and a sadist. You can see it by looking at him.\But I thought it was fun! response:	I hoped we'd win.
context: And when he came to me for a favor,\I was so happy, I agreed instantly.\Of course it would be impossible.\The villain in glasses brought it to me.\Of course something horrible would happen to all of us.\He's a nuisance and a sadist. You can see it by looking at him.\But I thought it was fun!\I hoped we'd win. response:	The reason was
context: I was so happy, I agreed instantly.\Of course it would be impossible.\The villain in glasses brought it to me.\Of course something horrible would happen to all of us.\He's a nuisance and a sadist. You can see it by looking at him.\But I thought it was fun!\I hoped we'd win.\The reason was response:	because we're gamers, damn it!
context: Of course it would be impossible.\The villain in glasses brought it to me.\Of course something horrible would happen to all of us.\He's a nuisance and a sadist. You can see it by looking at him.\But I thought it was fun!\I hoped we'd win.\The reason was\because we're gamers, damn it! response:	Guess I'll try it.
context: The villain in glasses brought it to me.\Of course something horrible would happen to all of us.\He's a nuisance and a sadist. You can see it by looking at him.\But I thought it was fun!\I hoped we'd win.\The reason was\because we're gamers, damn it!\Guess I'll try it. response:	Yeah, I could give it one more go.
context: Of course something horrible would happen to all of us.\He's a nuisance and a sadist. You can see it by looking at him.\But I thought it was fun!\I hoped we'd win.\The reason was\because we're gamers, damn it!\Guess I'll try it.\Yeah, I could give it one more go. response:	I'm seriously an idiot.
context: He's a nuisance and a sadist. You can see it by looking at him.\But I thought it was fun!\I hoped we'd win.\The reason was\because we're gamers, damn it!\Guess I'll try it.\Yeah, I could give it one more go.\I'm seriously an idiot. response:	But I want to win!
context: But I thought it was fun!\I hoped we'd win.\The reason was\because we're gamers, damn it!\Guess I'll try it.\Yeah, I could give it one more go.\I'm seriously an idiot.\But I want to win! response:	No... I...
context: I hoped we'd win.\The reason was\because we're gamers, damn it!\Guess I'll try it.\Yeah, I could give it one more go.\I'm seriously an idiot.\But I want to win!\No... I... response:	I want to give my friends victory!
context: The reason was\because we're gamers, damn it!\Guess I'll try it.\Yeah, I could give it one more go.\I'm seriously an idiot.\But I want to win!\No... I...\I want to give my friends victory! response:	A guild master, huh?
context: because we're gamers, damn it!\Guess I'll try it.\Yeah, I could give it one more go.\I'm seriously an idiot.\But I want to win!\No... I...\I want to give my friends victory!\A guild master, huh? response:	Hey, Shiro.
context: Guess I'll try it.\Yeah, I could give it one more go.\I'm seriously an idiot.\But I want to win!\No... I...\I want to give my friends victory!\A guild master, huh?\Hey, Shiro. response:	You awake?
context: Yeah, I could give it one more go.\I'm seriously an idiot.\But I want to win!\No... I...\I want to give my friends victory!\A guild master, huh?\Hey, Shiro.\You awake? response:	Yeah.
context: I'm seriously an idiot.\But I want to win!\No... I...\I want to give my friends victory!\A guild master, huh?\Hey, Shiro.\You awake?\Yeah. response:	This is a good guild, isn't it?
context: But I want to win!\No... I...\I want to give my friends victory!\A guild master, huh?\Hey, Shiro.\You awake?\Yeah.\This is a good guild, isn't it? response:	Yeah.
context: No... I...\I want to give my friends victory!\A guild master, huh?\Hey, Shiro.\You awake?\Yeah.\This is a good guild, isn't it?\Yeah. response:	Could I...
context: I want to give my friends victory!\A guild master, huh?\Hey, Shiro.\You awake?\Yeah.\This is a good guild, isn't it?\Yeah.\Could I... response:	Could I do that?
context: A guild master, huh?\Hey, Shiro.\You awake?\Yeah.\This is a good guild, isn't it?\Yeah.\Could I...\Could I do that? response:	If Minori and Tohya were sad...
context: Hey, Shiro.\You awake?\Yeah.\This is a good guild, isn't it?\Yeah.\Could I...\Could I do that?\If Minori and Tohya were sad... response:	If Isuzu and Rudy were crying...
context: You awake?\Yeah.\This is a good guild, isn't it?\Yeah.\Could I...\Could I do that?\If Minori and Tohya were sad...\If Isuzu and Rudy were crying... response:	Could I cheer them up with honest words like that?
context: Yeah.\This is a good guild, isn't it?\Yeah.\Could I...\Could I do that?\If Minori and Tohya were sad...\If Isuzu and Rudy were crying...\Could I cheer them up with honest words like that? response:	If Akatsuki...
context: This is a good guild, isn't it?\Yeah.\Could I...\Could I do that?\If Minori and Tohya were sad...\If Isuzu and Rudy were crying...\Could I cheer them up with honest words like that?\If Akatsuki... response:	Don't worry about anything.
context: Yeah.\Could I...\Could I do that?\If Minori and Tohya were sad...\If Isuzu and Rudy were crying...\Could I cheer them up with honest words like that?\If Akatsuki...\Don't worry about anything. response:	It's my job to protect you.
context: Could I...\Could I do that?\If Minori and Tohya were sad...\If Isuzu and Rudy were crying...\Could I cheer them up with honest words like that?\If Akatsuki...\Don't worry about anything.\It's my job to protect you. response:	I want to help them win.
context: Could I do that?\If Minori and Tohya were sad...\If Isuzu and Rudy were crying...\Could I cheer them up with honest words like that?\If Akatsuki...\Don't worry about anything.\It's my job to protect you.\I want to help them win. response:	Don't you, Shiroe?
context: If Minori and Tohya were sad...\If Isuzu and Rudy were crying...\Could I cheer them up with honest words like that?\If Akatsuki...\Don't worry about anything.\It's my job to protect you.\I want to help them win.\Don't you, Shiroe? response:	You know just what to say, huh?
context: If Isuzu and Rudy were crying...\Could I cheer them up with honest words like that?\If Akatsuki...\Don't worry about anything.\It's my job to protect you.\I want to help them win.\Don't you, Shiroe?\You know just what to say, huh? response:	I'm a top idol, you know.
context: Could I cheer them up with honest words like that?\If Akatsuki...\Don't worry about anything.\It's my job to protect you.\I want to help them win.\Don't you, Shiroe?\You know just what to say, huh?\I'm a top idol, you know. response:	So, do you have an idea, strategist?
context: If Akatsuki...\Don't worry about anything.\It's my job to protect you.\I want to help them win.\Don't you, Shiroe?\You know just what to say, huh?\I'm a top idol, you know.\So, do you have an idea, strategist? response:	I need to tell you something, Naotsugu.
context: Don't worry about anything.\It's my job to protect you.\I want to help them win.\Don't you, Shiroe?\You know just what to say, huh?\I'm a top idol, you know.\So, do you have an idea, strategist?\I need to tell you something, Naotsugu. response:	You, too, Tetra.
context: It's my job to protect you.\I want to help them win.\Don't you, Shiroe?\You know just what to say, huh?\I'm a top idol, you know.\So, do you have an idea, strategist?\I need to tell you something, Naotsugu.\You, too, Tetra. response:	And William. And everyone.
context: I want to help them win.\Don't you, Shiroe?\You know just what to say, huh?\I'm a top idol, you know.\So, do you have an idea, strategist?\I need to tell you something, Naotsugu.\You, too, Tetra.\And William. And everyone. response:	About why we need this raid.
context: Don't you, Shiroe?\You know just what to say, huh?\I'm a top idol, you know.\So, do you have an idea, strategist?\I need to tell you something, Naotsugu.\You, too, Tetra.\And William. And everyone.\About why we need this raid. response:	What waits down there.
context: You know just what to say, huh?\I'm a top idol, you know.\So, do you have an idea, strategist?\I need to tell you something, Naotsugu.\You, too, Tetra.\And William. And everyone.\About why we need this raid.\What waits down there. response:	Why I want the gold.
context: I'm a top idol, you know.\So, do you have an idea, strategist?\I need to tell you something, Naotsugu.\You, too, Tetra.\And William. And everyone.\About why we need this raid.\What waits down there.\Why I want the gold. response:	I should have told you.
context: So, do you have an idea, strategist?\I need to tell you something, Naotsugu.\You, too, Tetra.\And William. And everyone.\About why we need this raid.\What waits down there.\Why I want the gold.\I should have told you. response:	I took advantage of you, and I tried to do it all myself.
context: I need to tell you something, Naotsugu.\You, too, Tetra.\And William. And everyone.\About why we need this raid.\What waits down there.\Why I want the gold.\I should have told you.\I took advantage of you, and I tried to do it all myself. response:	If you'll let me, I have a plan that's a bit better.
context: You, too, Tetra.\And William. And everyone.\About why we need this raid.\What waits down there.\Why I want the gold.\I should have told you.\I took advantage of you, and I tried to do it all myself.\If you'll let me, I have a plan that's a bit better. response:	But only a bit.
context: And William. And everyone.\About why we need this raid.\What waits down there.\Why I want the gold.\I should have told you.\I took advantage of you, and I tried to do it all myself.\If you'll let me, I have a plan that's a bit better.\But only a bit. response:	What are our odds?
context: About why we need this raid.\What waits down there.\Why I want the gold.\I should have told you.\I took advantage of you, and I tried to do it all myself.\If you'll let me, I have a plan that's a bit better.\But only a bit.\What are our odds? response:	Fifteen percent.
context: What waits down there.\Why I want the gold.\I should have told you.\I took advantage of you, and I tried to do it all myself.\If you'll let me, I have a plan that's a bit better.\But only a bit.\What are our odds?\Fifteen percent. response:	Good enough for me!
context: Why I want the gold.\I should have told you.\I took advantage of you, and I tried to do it all myself.\If you'll let me, I have a plan that's a bit better.\But only a bit.\What are our odds?\Fifteen percent.\Good enough for me! response:	Perfect.
context: I should have told you.\I took advantage of you, and I tried to do it all myself.\If you'll let me, I have a plan that's a bit better.\But only a bit.\What are our odds?\Fifteen percent.\Good enough for me!\Perfect. response:	And I need to tell Kinjou and the others, too.
context: I took advantage of you, and I tried to do it all myself.\If you'll let me, I have a plan that's a bit better.\But only a bit.\What are our odds?\Fifteen percent.\Good enough for me!\Perfect.\And I need to tell Kinjou and the others, too. response:	What we want.
context: If you'll let me, I have a plan that's a bit better.\But only a bit.\What are our odds?\Fifteen percent.\Good enough for me!\Perfect.\And I need to tell Kinjou and the others, too.\What we want. response:	About the land of Yamato.
context: But only a bit.\What are our odds?\Fifteen percent.\Good enough for me!\Perfect.\And I need to tell Kinjou and the others, too.\What we want.\About the land of Yamato. response:	This time, I have to look them in the eye and tell them.
context: What are our odds?\Fifteen percent.\Good enough for me!\Perfect.\And I need to tell Kinjou and the others, too.\What we want.\About the land of Yamato.\This time, I have to look them in the eye and tell them. response:	See you.
context: Fifteen percent.\Good enough for me!\Perfect.\And I need to tell Kinjou and the others, too.\What we want.\About the land of Yamato.\This time, I have to look them in the eye and tell them.\See you. response:	We'll be back as soon as we can.
context: Good enough for me!\Perfect.\And I need to tell Kinjou and the others, too.\What we want.\About the land of Yamato.\This time, I have to look them in the eye and tell them.\See you.\We'll be back as soon as we can. response:	Good luck.
context: Perfect.\And I need to tell Kinjou and the others, too.\What we want.\About the land of Yamato.\This time, I have to look them in the eye and tell them.\See you.\We'll be back as soon as we can.\Good luck. response:	I'll have some New Year's soup with chicken waiting.
context: And I need to tell Kinjou and the others, too.\What we want.\About the land of Yamato.\This time, I have to look them in the eye and tell them.\See you.\We'll be back as soon as we can.\Good luck.\I'll have some New Year's soup with chicken waiting. response:	Yeah, it's a promise!
context: What we want.\About the land of Yamato.\This time, I have to look them in the eye and tell them.\See you.\We'll be back as soon as we can.\Good luck.\I'll have some New Year's soup with chicken waiting.\Yeah, it's a promise! response:	It's been a week since then. Everything is ready.
context: About the land of Yamato.\This time, I have to look them in the eye and tell them.\See you.\We'll be back as soon as we can.\Good luck.\I'll have some New Year's soup with chicken waiting.\Yeah, it's a promise!\It's been a week since then. Everything is ready. response:	We're about to go to the last battle.
context: This time, I have to look them in the eye and tell them.\See you.\We'll be back as soon as we can.\Good luck.\I'll have some New Year's soup with chicken waiting.\Yeah, it's a promise!\It's been a week since then. Everything is ready.\We're about to go to the last battle. response:	We'll have to get that New Year's soba another time.
context: See you.\We'll be back as soon as we can.\Good luck.\I'll have some New Year's soup with chicken waiting.\Yeah, it's a promise!\It's been a week since then. Everything is ready.\We're about to go to the last battle.\We'll have to get that New Year's soba another time. response:	Tell the chief we'll be back by January 7th.
context: We'll be back as soon as we can.\Good luck.\I'll have some New Year's soup with chicken waiting.\Yeah, it's a promise!\It's been a week since then. Everything is ready.\We're about to go to the last battle.\We'll have to get that New Year's soba another time.\Tell the chief we'll be back by January 7th. response:	I need to tell you all something.
context: Good luck.\I'll have some New Year's soup with chicken waiting.\Yeah, it's a promise!\It's been a week since then. Everything is ready.\We're about to go to the last battle.\We'll have to get that New Year's soba another time.\Tell the chief we'll be back by January 7th.\I need to tell you all something. response:	Understood.
context: I'll have some New Year's soup with chicken waiting.\Yeah, it's a promise!\It's been a week since then. Everything is ready.\We're about to go to the last battle.\We'll have to get that New Year's soba another time.\Tell the chief we'll be back by January 7th.\I need to tell you all something.\Understood. response:	I'll be waiting, my lord.
context: Yeah, it's a promise!\It's been a week since then. Everything is ready.\We're about to go to the last battle.\We'll have to get that New Year's soba another time.\Tell the chief we'll be back by January 7th.\I need to tell you all something.\Understood.\I'll be waiting, my lord. response:	Yeah.
context: It's been a week since then. Everything is ready.\We're about to go to the last battle.\We'll have to get that New Year's soba another time.\Tell the chief we'll be back by January 7th.\I need to tell you all something.\Understood.\I'll be waiting, my lord.\Yeah. response:	I'll come back to everyone.
context: We're about to go to the last battle.\We'll have to get that New Year's soba another time.\Tell the chief we'll be back by January 7th.\I need to tell you all something.\Understood.\I'll be waiting, my lord.\Yeah.\I'll come back to everyone. response:	Let's do this, people!
context: We'll have to get that New Year's soba another time.\Tell the chief we'll be back by January 7th.\I need to tell you all something.\Understood.\I'll be waiting, my lord.\Yeah.\I'll come back to everyone.\Let's do this, people! response:	Let's go plant our flag!
context: Tell the chief we'll be back by January 7th.\I need to tell you all something.\Understood.\I'll be waiting, my lord.\Yeah.\I'll come back to everyone.\Let's do this, people!\Let's go plant our flag! response:	That's right.
context: I need to tell you all something.\Understood.\I'll be waiting, my lord.\Yeah.\I'll come back to everyone.\Let's do this, people!\Let's go plant our flag!\That's right. response:	I'll return to everyone.
context: Understood.\I'll be waiting, my lord.\Yeah.\I'll come back to everyone.\Let's do this, people!\Let's go plant our flag!\That's right.\I'll return to everyone. response:	And...
context: I'll be waiting, my lord.\Yeah.\I'll come back to everyone.\Let's do this, people!\Let's go plant our flag!\That's right.\I'll return to everyone.\And... response:	One, two, three, four.
context: Yeah.\I'll come back to everyone.\Let's do this, people!\Let's go plant our flag!\That's right.\I'll return to everyone.\And...\One, two, three, four. response:	The count sounds.
