context: (yeah that's worded pretty much like a cliche, edit as you want) response:	I'm sorry.
context: Don't just decide on your own!\You better think of a reason real quick.\What do you mean?\Just now, when you were carrying Noe, she got a good look at you.\That will most likely end up as a misunderstanding.\Why must I find a reason?\Leave first.\Excuse me, can you pass me the ball? response:	Right away!
context: You better think of a reason real quick.\What do you mean?\Just now, when you were carrying Noe, she got a good look at you.\That will most likely end up as a misunderstanding.\Why must I find a reason?\Leave first.\Excuse me, can you pass me the ball?\Right away! response:	Did you see that just now?
context: What do you mean?\Just now, when you were carrying Noe, she got a good look at you.\That will most likely end up as a misunderstanding.\Why must I find a reason?\Leave first.\Excuse me, can you pass me the ball?\Right away!\Did you see that just now? response:	What is that idiot thinking?
context: Just now, when you were carrying Noe, she got a good look at you.\That will most likely end up as a misunderstanding.\Why must I find a reason?\Leave first.\Excuse me, can you pass me the ball?\Right away!\Did you see that just now?\What is that idiot thinking? response:	It's fine with me.
context: That will most likely end up as a misunderstanding.\Why must I find a reason?\Leave first.\Excuse me, can you pass me the ball?\Right away!\Did you see that just now?\What is that idiot thinking?\It's fine with me. response:	Really?
context: Why must I find a reason?\Leave first.\Excuse me, can you pass me the ball?\Right away!\Did you see that just now?\What is that idiot thinking?\It's fine with me.\Really? response:	Hey, is that really fine with you?
context: Leave first.\Excuse me, can you pass me the ball?\Right away!\Did you see that just now?\What is that idiot thinking?\It's fine with me.\Really?\Hey, is that really fine with you? response:	Come on, Hiromi, seriously, don't you like Nakagami-kun?
context: Excuse me, can you pass me the ball?\Right away!\Did you see that just now?\What is that idiot thinking?\It's fine with me.\Really?\Hey, is that really fine with you?\Come on, Hiromi, seriously, don't you like Nakagami-kun? response:	Isurugi Noe's leg is hurt...
context: Right away!\Did you see that just now?\What is that idiot thinking?\It's fine with me.\Really?\Hey, is that really fine with you?\Come on, Hiromi, seriously, don't you like Nakagami-kun?\Isurugi Noe's leg is hurt... response:	Nothing has happened between us...
context: Did you see that just now?\What is that idiot thinking?\It's fine with me.\Really?\Hey, is that really fine with you?\Come on, Hiromi, seriously, don't you like Nakagami-kun?\Isurugi Noe's leg is hurt...\Nothing has happened between us... response:	She suddenly fell down from the tree...
context: What is that idiot thinking?\It's fine with me.\Really?\Hey, is that really fine with you?\Come on, Hiromi, seriously, don't you like Nakagami-kun?\Isurugi Noe's leg is hurt...\Nothing has happened between us...\She suddenly fell down from the tree... response:	What's this? Somehow I'm feeling like I was the one at fault here!
context: It's fine with me.\Really?\Hey, is that really fine with you?\Come on, Hiromi, seriously, don't you like Nakagami-kun?\Isurugi Noe's leg is hurt...\Nothing has happened between us...\She suddenly fell down from the tree...\What's this? Somehow I'm feeling like I was the one at fault here! response:	Screw this!
context: Really?\Hey, is that really fine with you?\Come on, Hiromi, seriously, don't you like Nakagami-kun?\Isurugi Noe's leg is hurt...\Nothing has happened between us...\She suddenly fell down from the tree...\What's this? Somehow I'm feeling like I was the one at fault here!\Screw this! response:	Screw this! Screw this! Screw this! Screw this!
context: Hey, is that really fine with you?\Come on, Hiromi, seriously, don't you like Nakagami-kun?\Isurugi Noe's leg is hurt...\Nothing has happened between us...\She suddenly fell down from the tree...\What's this? Somehow I'm feeling like I was the one at fault here!\Screw this!\Screw this! Screw this! Screw this! Screw this! response:	You liar!
context: Come on, Hiromi, seriously, don't you like Nakagami-kun?\Isurugi Noe's leg is hurt...\Nothing has happened between us...\She suddenly fell down from the tree...\What's this? Somehow I'm feeling like I was the one at fault here!\Screw this!\Screw this! Screw this! Screw this! Screw this!\You liar! response:	It's true.
context: Isurugi Noe's leg is hurt...\Nothing has happened between us...\She suddenly fell down from the tree...\What's this? Somehow I'm feeling like I was the one at fault here!\Screw this!\Screw this! Screw this! Screw this! Screw this!\You liar!\It's true. response:	I wouldn't lie to Tomoyo about that.
context: Nothing has happened between us...\She suddenly fell down from the tree...\What's this? Somehow I'm feeling like I was the one at fault here!\Screw this!\Screw this! Screw this! Screw this! Screw this!\You liar!\It's true.\I wouldn't lie to Tomoyo about that. response:	The person I like is Hotarugawa's No. 4.
context: She suddenly fell down from the tree...\What's this? Somehow I'm feeling like I was the one at fault here!\Screw this!\Screw this! Screw this! Screw this! Screw this!\You liar!\It's true.\I wouldn't lie to Tomoyo about that.\The person I like is Hotarugawa's No. 4. response:	Is that true?
context: What's this? Somehow I'm feeling like I was the one at fault here!\Screw this!\Screw this! Screw this! Screw this! Screw this!\You liar!\It's true.\I wouldn't lie to Tomoyo about that.\The person I like is Hotarugawa's No. 4.\Is that true? response:	I thought...
context: Screw this!\Screw this! Screw this! Screw this! Screw this!\You liar!\It's true.\I wouldn't lie to Tomoyo about that.\The person I like is Hotarugawa's No. 4.\Is that true?\I thought... response:	So, please don't mention Shinichirou-kun's name again.
context: Screw this! Screw this! Screw this! Screw this!\You liar!\It's true.\I wouldn't lie to Tomoyo about that.\The person I like is Hotarugawa's No. 4.\Is that true?\I thought...\So, please don't mention Shinichirou-kun's name again. response:	You like chatting that much...
context: You liar!\It's true.\I wouldn't lie to Tomoyo about that.\The person I like is Hotarugawa's No. 4.\Is that true?\I thought...\So, please don't mention Shinichirou-kun's name again.\You like chatting that much... response:	Um, could it be you're hiding from me?
context: It's true.\I wouldn't lie to Tomoyo about that.\The person I like is Hotarugawa's No. 4.\Is that true?\I thought...\So, please don't mention Shinichirou-kun's name again.\You like chatting that much...\Um, could it be you're hiding from me? response:	Go out with Noe.
context: I wouldn't lie to Tomoyo about that.\The person I like is Hotarugawa's No. 4.\Is that true?\I thought...\So, please don't mention Shinichirou-kun's name again.\You like chatting that much...\Um, could it be you're hiding from me?\Go out with Noe. response:	Hey, blink your eyes.
