context: I felt like such a fool for not noticing until now. response:	For example, the number of piercings they each had, and the way they talked.
context: Do you still love Ren?\You knew.\I'm sorry. Acting as if I didn't know. But...\You brought me here knowing, right?\Thank you.\Nana.\Nana, I wanna buy a pamphlet and stuff. What about you?\I'll have a smoke and then go to my seat. response:	Show me your pamphlet later.
context: You knew.\I'm sorry. Acting as if I didn't know. But...\You brought me here knowing, right?\Thank you.\Nana.\Nana, I wanna buy a pamphlet and stuff. What about you?\I'll have a smoke and then go to my seat.\Show me your pamphlet later. response:	Do you still love Ren?
context: I'm sorry. Acting as if I didn't know. But...\You brought me here knowing, right?\Thank you.\Nana.\Nana, I wanna buy a pamphlet and stuff. What about you?\I'll have a smoke and then go to my seat.\Show me your pamphlet later.\Do you still love Ren? response:	Nana ended up not answering that question.
context: You brought me here knowing, right?\Thank you.\Nana.\Nana, I wanna buy a pamphlet and stuff. What about you?\I'll have a smoke and then go to my seat.\Show me your pamphlet later.\Do you still love Ren?\Nana ended up not answering that question. response:	However, I could tell even without her telling me.
context: Thank you.\Nana.\Nana, I wanna buy a pamphlet and stuff. What about you?\I'll have a smoke and then go to my seat.\Show me your pamphlet later.\Do you still love Ren?\Nana ended up not answering that question.\However, I could tell even without her telling me. response:	The word love...
context: Nana.\Nana, I wanna buy a pamphlet and stuff. What about you?\I'll have a smoke and then go to my seat.\Show me your pamphlet later.\Do you still love Ren?\Nana ended up not answering that question.\However, I could tell even without her telling me.\The word love... response:	If you were able to say that word with ease,
context: Nana, I wanna buy a pamphlet and stuff. What about you?\I'll have a smoke and then go to my seat.\Show me your pamphlet later.\Do you still love Ren?\Nana ended up not answering that question.\However, I could tell even without her telling me.\The word love...\If you were able to say that word with ease, response:	you would've already gone to see him long ago.
context: I'll have a smoke and then go to my seat.\Show me your pamphlet later.\Do you still love Ren?\Nana ended up not answering that question.\However, I could tell even without her telling me.\The word love...\If you were able to say that word with ease,\you would've already gone to see him long ago. response:	We're smack in front of the guitarist.
context: Show me your pamphlet later.\Do you still love Ren?\Nana ended up not answering that question.\However, I could tell even without her telling me.\The word love...\If you were able to say that word with ease,\you would've already gone to see him long ago.\We're smack in front of the guitarist. response:	You have the best seat in the house, Nana!
context: Do you still love Ren?\Nana ended up not answering that question.\However, I could tell even without her telling me.\The word love...\If you were able to say that word with ease,\you would've already gone to see him long ago.\We're smack in front of the guitarist.\You have the best seat in the house, Nana! response:	The stage is much closer to the seats than I expected.
context: Nana ended up not answering that question.\However, I could tell even without her telling me.\The word love...\If you were able to say that word with ease,\you would've already gone to see him long ago.\We're smack in front of the guitarist.\You have the best seat in the house, Nana!\The stage is much closer to the seats than I expected. response:	What'll I do? I'm already on the verge of crying.
context: However, I could tell even without her telling me.\The word love...\If you were able to say that word with ease,\you would've already gone to see him long ago.\We're smack in front of the guitarist.\You have the best seat in the house, Nana!\The stage is much closer to the seats than I expected.\What'll I do? I'm already on the verge of crying. response:	Though there's no reason for me to cry.
context: The word love...\If you were able to say that word with ease,\you would've already gone to see him long ago.\We're smack in front of the guitarist.\You have the best seat in the house, Nana!\The stage is much closer to the seats than I expected.\What'll I do? I'm already on the verge of crying.\Though there's no reason for me to cry. response:	But rather than choose happiness as a woman,
context: If you were able to say that word with ease,\you would've already gone to see him long ago.\We're smack in front of the guitarist.\You have the best seat in the house, Nana!\The stage is much closer to the seats than I expected.\What'll I do? I'm already on the verge of crying.\Though there's no reason for me to cry.\But rather than choose happiness as a woman, response:	she chose to protect her pride.
context: you would've already gone to see him long ago.\We're smack in front of the guitarist.\You have the best seat in the house, Nana!\The stage is much closer to the seats than I expected.\What'll I do? I'm already on the verge of crying.\Though there's no reason for me to cry.\But rather than choose happiness as a woman,\she chose to protect her pride. response:	Nana.
context: We're smack in front of the guitarist.\You have the best seat in the house, Nana!\The stage is much closer to the seats than I expected.\What'll I do? I'm already on the verge of crying.\Though there's no reason for me to cry.\But rather than choose happiness as a woman,\she chose to protect her pride.\Nana. response:	Ladies and gentlemen, the event is about to begin.
context: You have the best seat in the house, Nana!\The stage is much closer to the seats than I expected.\What'll I do? I'm already on the verge of crying.\Though there's no reason for me to cry.\But rather than choose happiness as a woman,\she chose to protect her pride.\Nana.\Ladies and gentlemen, the event is about to begin. response:	If you are yet to be seated,
context: The stage is much closer to the seats than I expected.\What'll I do? I'm already on the verge of crying.\Though there's no reason for me to cry.\But rather than choose happiness as a woman,\she chose to protect her pride.\Nana.\Ladies and gentlemen, the event is about to begin.\If you are yet to be seated, response:	please promptly make your way to your seats.
context: What'll I do? I'm already on the verge of crying.\Though there's no reason for me to cry.\But rather than choose happiness as a woman,\she chose to protect her pride.\Nana.\Ladies and gentlemen, the event is about to begin.\If you are yet to be seated,\please promptly make your way to your seats. response:	Now that we have our band members, all we need is a band name.
context: Though there's no reason for me to cry.\But rather than choose happiness as a woman,\she chose to protect her pride.\Nana.\Ladies and gentlemen, the event is about to begin.\If you are yet to be seated,\please promptly make your way to your seats.\Now that we have our band members, all we need is a band name. response:	What will it be?
context: But rather than choose happiness as a woman,\she chose to protect her pride.\Nana.\Ladies and gentlemen, the event is about to begin.\If you are yet to be seated,\please promptly make your way to your seats.\Now that we have our band members, all we need is a band name.\What will it be? response:	Why don't we keep the band name we had before?
context: she chose to protect her pride.\Nana.\Ladies and gentlemen, the event is about to begin.\If you are yet to be seated,\please promptly make your way to your seats.\Now that we have our band members, all we need is a band name.\What will it be?\Why don't we keep the band name we had before? response:	There's nothing wrong with Brute.
context: Nana.\Ladies and gentlemen, the event is about to begin.\If you are yet to be seated,\please promptly make your way to your seats.\Now that we have our band members, all we need is a band name.\What will it be?\Why don't we keep the band name we had before?\There's nothing wrong with Brute. response:	That's so lame. Sounds too barbaric.
context: Ladies and gentlemen, the event is about to begin.\If you are yet to be seated,\please promptly make your way to your seats.\Now that we have our band members, all we need is a band name.\What will it be?\Why don't we keep the band name we had before?\There's nothing wrong with Brute.\That's so lame. Sounds too barbaric. response:	You're the one who came up with the name.
context: If you are yet to be seated,\please promptly make your way to your seats.\Now that we have our band members, all we need is a band name.\What will it be?\Why don't we keep the band name we had before?\There's nothing wrong with Brute.\That's so lame. Sounds too barbaric.\You're the one who came up with the name. response:	Yes, but I want to start fresh.
context: please promptly make your way to your seats.\Now that we have our band members, all we need is a band name.\What will it be?\Why don't we keep the band name we had before?\There's nothing wrong with Brute.\That's so lame. Sounds too barbaric.\You're the one who came up with the name.\Yes, but I want to start fresh. response:	We finally have a pretty girl on vocals,
context: Now that we have our band members, all we need is a band name.\What will it be?\Why don't we keep the band name we had before?\There's nothing wrong with Brute.\That's so lame. Sounds too barbaric.\You're the one who came up with the name.\Yes, but I want to start fresh.\We finally have a pretty girl on vocals, response:	so we can't have anything barbaric, can we?
context: What will it be?\Why don't we keep the band name we had before?\There's nothing wrong with Brute.\That's so lame. Sounds too barbaric.\You're the one who came up with the name.\Yes, but I want to start fresh.\We finally have a pretty girl on vocals,\so we can't have anything barbaric, can we? response:	Right.
context: Why don't we keep the band name we had before?\There's nothing wrong with Brute.\That's so lame. Sounds too barbaric.\You're the one who came up with the name.\Yes, but I want to start fresh.\We finally have a pretty girl on vocals,\so we can't have anything barbaric, can we?\Right. response:	Then what about Olive? Popeye's girl.
context: There's nothing wrong with Brute.\That's so lame. Sounds too barbaric.\You're the one who came up with the name.\Yes, but I want to start fresh.\We finally have a pretty girl on vocals,\so we can't have anything barbaric, can we?\Right.\Then what about Olive? Popeye's girl. response:	Does Olive match your image? I think not.
context: That's so lame. Sounds too barbaric.\You're the one who came up with the name.\Yes, but I want to start fresh.\We finally have a pretty girl on vocals,\so we can't have anything barbaric, can we?\Right.\Then what about Olive? Popeye's girl.\Does Olive match your image? I think not. response:	Same goes for you. And me.
context: You're the one who came up with the name.\Yes, but I want to start fresh.\We finally have a pretty girl on vocals,\so we can't have anything barbaric, can we?\Right.\Then what about Olive? Popeye's girl.\Does Olive match your image? I think not.\Same goes for you. And me. response:	Nana, stop laughing and help us think.
context: Yes, but I want to start fresh.\We finally have a pretty girl on vocals,\so we can't have anything barbaric, can we?\Right.\Then what about Olive? Popeye's girl.\Does Olive match your image? I think not.\Same goes for you. And me.\Nana, stop laughing and help us think. response:	Anything you come up with is fine with me.
context: We finally have a pretty girl on vocals,\so we can't have anything barbaric, can we?\Right.\Then what about Olive? Popeye's girl.\Does Olive match your image? I think not.\Same goes for you. And me.\Nana, stop laughing and help us think.\Anything you come up with is fine with me. response:	Hey, are you serious about being the vocalist of the band?
context: so we can't have anything barbaric, can we?\Right.\Then what about Olive? Popeye's girl.\Does Olive match your image? I think not.\Same goes for you. And me.\Nana, stop laughing and help us think.\Anything you come up with is fine with me.\Hey, are you serious about being the vocalist of the band? response:	Anything is fine with me.
context: Right.\Then what about Olive? Popeye's girl.\Does Olive match your image? I think not.\Same goes for you. And me.\Nana, stop laughing and help us think.\Anything you come up with is fine with me.\Hey, are you serious about being the vocalist of the band?\Anything is fine with me. response:	Can you say you're enjoying life,
context: Then what about Olive? Popeye's girl.\Does Olive match your image? I think not.\Same goes for you. And me.\Nana, stop laughing and help us think.\Anything you come up with is fine with me.\Hey, are you serious about being the vocalist of the band?\Anything is fine with me.\Can you say you're enjoying life, response:	the way you take on everything with that slanted attitude?
context: Does Olive match your image? I think not.\Same goes for you. And me.\Nana, stop laughing and help us think.\Anything you come up with is fine with me.\Hey, are you serious about being the vocalist of the band?\Anything is fine with me.\Can you say you're enjoying life,\the way you take on everything with that slanted attitude? response:	I never said Anything is fine with me.
context: Same goes for you. And me.\Nana, stop laughing and help us think.\Anything you come up with is fine with me.\Hey, are you serious about being the vocalist of the band?\Anything is fine with me.\Can you say you're enjoying life,\the way you take on everything with that slanted attitude?\I never said Anything is fine with me. response:	Then give it some thought. Give some input into the band.
context: Nana, stop laughing and help us think.\Anything you come up with is fine with me.\Hey, are you serious about being the vocalist of the band?\Anything is fine with me.\Can you say you're enjoying life,\the way you take on everything with that slanted attitude?\I never said Anything is fine with me.\Then give it some thought. Give some input into the band. response:	This coming from the most self-centered member of the band.
context: Anything you come up with is fine with me.\Hey, are you serious about being the vocalist of the band?\Anything is fine with me.\Can you say you're enjoying life,\the way you take on everything with that slanted attitude?\I never said Anything is fine with me.\Then give it some thought. Give some input into the band.\This coming from the most self-centered member of the band. response:	What about this? This is nice. Black Stone.
context: Hey, are you serious about being the vocalist of the band?\Anything is fine with me.\Can you say you're enjoying life,\the way you take on everything with that slanted attitude?\I never said Anything is fine with me.\Then give it some thought. Give some input into the band.\This coming from the most self-centered member of the band.\What about this? This is nice. Black Stone. response:	Don't just pick the first thing you see.
context: Anything is fine with me.\Can you say you're enjoying life,\the way you take on everything with that slanted attitude?\I never said Anything is fine with me.\Then give it some thought. Give some input into the band.\This coming from the most self-centered member of the band.\What about this? This is nice. Black Stone.\Don't just pick the first thing you see. response:	But it's cool. I've never seen anything like it.
context: Can you say you're enjoying life,\the way you take on everything with that slanted attitude?\I never said Anything is fine with me.\Then give it some thought. Give some input into the band.\This coming from the most self-centered member of the band.\What about this? This is nice. Black Stone.\Don't just pick the first thing you see.\But it's cool. I've never seen anything like it. response:	Are those any good? They have a strong scent.
context: the way you take on everything with that slanted attitude?\I never said Anything is fine with me.\Then give it some thought. Give some input into the band.\This coming from the most self-centered member of the band.\What about this? This is nice. Black Stone.\Don't just pick the first thing you see.\But it's cool. I've never seen anything like it.\Are those any good? They have a strong scent. response:	Yeah, they're good. They're actually cigars.
context: I never said Anything is fine with me.\Then give it some thought. Give some input into the band.\This coming from the most self-centered member of the band.\What about this? This is nice. Black Stone.\Don't just pick the first thing you see.\But it's cool. I've never seen anything like it.\Are those any good? They have a strong scent.\Yeah, they're good. They're actually cigars. response:	I made a trade with a tobacco shop owner for them.
context: Then give it some thought. Give some input into the band.\This coming from the most self-centered member of the band.\What about this? This is nice. Black Stone.\Don't just pick the first thing you see.\But it's cool. I've never seen anything like it.\Are those any good? They have a strong scent.\Yeah, they're good. They're actually cigars.\I made a trade with a tobacco shop owner for them. response:	- A trade?! - A trade?!
context: This coming from the most self-centered member of the band.\What about this? This is nice. Black Stone.\Don't just pick the first thing you see.\But it's cool. I've never seen anything like it.\Are those any good? They have a strong scent.\Yeah, they're good. They're actually cigars.\I made a trade with a tobacco shop owner for them.\- A trade?! - A trade?! response:	Yuck! What's this? Such a weird taste!
context: What about this? This is nice. Black Stone.\Don't just pick the first thing you see.\But it's cool. I've never seen anything like it.\Are those any good? They have a strong scent.\Yeah, they're good. They're actually cigars.\I made a trade with a tobacco shop owner for them.\- A trade?! - A trade?!\Yuck! What's this? Such a weird taste! response:	Really?
context: Don't just pick the first thing you see.\But it's cool. I've never seen anything like it.\Are those any good? They have a strong scent.\Yeah, they're good. They're actually cigars.\I made a trade with a tobacco shop owner for them.\- A trade?! - A trade?!\Yuck! What's this? Such a weird taste!\Really? response:	But not bad. Black Stone. BLAST for short. That's easy to say.
context: But it's cool. I've never seen anything like it.\Are those any good? They have a strong scent.\Yeah, they're good. They're actually cigars.\I made a trade with a tobacco shop owner for them.\- A trade?! - A trade?!\Yuck! What's this? Such a weird taste!\Really?\But not bad. Black Stone. BLAST for short. That's easy to say. response:	Yeah, that's nice. BLAST.
context: Are those any good? They have a strong scent.\Yeah, they're good. They're actually cigars.\I made a trade with a tobacco shop owner for them.\- A trade?! - A trade?!\Yuck! What's this? Such a weird taste!\Really?\But not bad. Black Stone. BLAST for short. That's easy to say.\Yeah, that's nice. BLAST. response:	He took my cigarette.
context: Yeah, they're good. They're actually cigars.\I made a trade with a tobacco shop owner for them.\- A trade?! - A trade?!\Yuck! What's this? Such a weird taste!\Really?\But not bad. Black Stone. BLAST for short. That's easy to say.\Yeah, that's nice. BLAST.\He took my cigarette. response:	- Yuck! - What the!
context: I made a trade with a tobacco shop owner for them.\- A trade?! - A trade?!\Yuck! What's this? Such a weird taste!\Really?\But not bad. Black Stone. BLAST for short. That's easy to say.\Yeah, that's nice. BLAST.\He took my cigarette.\- Yuck! - What the! response:	You know, BLAST also means a strong gust of wind.
context: - A trade?! - A trade?!\Yuck! What's this? Such a weird taste!\Really?\But not bad. Black Stone. BLAST for short. That's easy to say.\Yeah, that's nice. BLAST.\He took my cigarette.\- Yuck! - What the!\You know, BLAST also means a strong gust of wind. response:	Really?
context: Yuck! What's this? Such a weird taste!\Really?\But not bad. Black Stone. BLAST for short. That's easy to say.\Yeah, that's nice. BLAST.\He took my cigarette.\- Yuck! - What the!\You know, BLAST also means a strong gust of wind.\Really? response:	That's great! That's kinda cool that we shorten the name
context: Really?\But not bad. Black Stone. BLAST for short. That's easy to say.\Yeah, that's nice. BLAST.\He took my cigarette.\- Yuck! - What the!\You know, BLAST also means a strong gust of wind.\Really?\That's great! That's kinda cool that we shorten the name response:	and it also means something!
context: But not bad. Black Stone. BLAST for short. That's easy to say.\Yeah, that's nice. BLAST.\He took my cigarette.\- Yuck! - What the!\You know, BLAST also means a strong gust of wind.\Really?\That's great! That's kinda cool that we shorten the name\and it also means something! response:	Should we go with that then?
context: Yeah, that's nice. BLAST.\He took my cigarette.\- Yuck! - What the!\You know, BLAST also means a strong gust of wind.\Really?\That's great! That's kinda cool that we shorten the name\and it also means something!\Should we go with that then? response:	We're a band of four, so let's go with Black Stones.
context: He took my cigarette.\- Yuck! - What the!\You know, BLAST also means a strong gust of wind.\Really?\That's great! That's kinda cool that we shorten the name\and it also means something!\Should we go with that then?\We're a band of four, so let's go with Black Stones. response:	It's an odd name, but we're an odd band so it kinda fits.
context: - Yuck! - What the!\You know, BLAST also means a strong gust of wind.\Really?\That's great! That's kinda cool that we shorten the name\and it also means something!\Should we go with that then?\We're a band of four, so let's go with Black Stones.\It's an odd name, but we're an odd band so it kinda fits. response:	Agreed! Hurray for BLAST!
context: You know, BLAST also means a strong gust of wind.\Really?\That's great! That's kinda cool that we shorten the name\and it also means something!\Should we go with that then?\We're a band of four, so let's go with Black Stones.\It's an odd name, but we're an odd band so it kinda fits.\Agreed! Hurray for BLAST! response:	Okay, it's decided. So, leader, how about a celebration speech?
context: Really?\That's great! That's kinda cool that we shorten the name\and it also means something!\Should we go with that then?\We're a band of four, so let's go with Black Stones.\It's an odd name, but we're an odd band so it kinda fits.\Agreed! Hurray for BLAST!\Okay, it's decided. So, leader, how about a celebration speech? response:	They really went with it.
context: That's great! That's kinda cool that we shorten the name\and it also means something!\Should we go with that then?\We're a band of four, so let's go with Black Stones.\It's an odd name, but we're an odd band so it kinda fits.\Agreed! Hurray for BLAST!\Okay, it's decided. So, leader, how about a celebration speech?\They really went with it. response:	Well then, band members, an order from your leader.
context: and it also means something!\Should we go with that then?\We're a band of four, so let's go with Black Stones.\It's an odd name, but we're an odd band so it kinda fits.\Agreed! Hurray for BLAST!\Okay, it's decided. So, leader, how about a celebration speech?\They really went with it.\Well then, band members, an order from your leader. response:	From this day on, we'll all smoke this brand of cigarettes.
context: Should we go with that then?\We're a band of four, so let's go with Black Stones.\It's an odd name, but we're an odd band so it kinda fits.\Agreed! Hurray for BLAST!\Okay, it's decided. So, leader, how about a celebration speech?\They really went with it.\Well then, band members, an order from your leader.\From this day on, we'll all smoke this brand of cigarettes. response:	- Smoke it yourself! - Smoke it yourself!
context: We're a band of four, so let's go with Black Stones.\It's an odd name, but we're an odd band so it kinda fits.\Agreed! Hurray for BLAST!\Okay, it's decided. So, leader, how about a celebration speech?\They really went with it.\Well then, band members, an order from your leader.\From this day on, we'll all smoke this brand of cigarettes.\- Smoke it yourself! - Smoke it yourself! response:	Why... am I crying?
context: It's an odd name, but we're an odd band so it kinda fits.\Agreed! Hurray for BLAST!\Okay, it's decided. So, leader, how about a celebration speech?\They really went with it.\Well then, band members, an order from your leader.\From this day on, we'll all smoke this brand of cigarettes.\- Smoke it yourself! - Smoke it yourself!\Why... am I crying? response:	But my heart's filled with emotion.
context: Agreed! Hurray for BLAST!\Okay, it's decided. So, leader, how about a celebration speech?\They really went with it.\Well then, band members, an order from your leader.\From this day on, we'll all smoke this brand of cigarettes.\- Smoke it yourself! - Smoke it yourself!\Why... am I crying?\But my heart's filled with emotion. response:	Nana...
context: Okay, it's decided. So, leader, how about a celebration speech?\They really went with it.\Well then, band members, an order from your leader.\From this day on, we'll all smoke this brand of cigarettes.\- Smoke it yourself! - Smoke it yourself!\Why... am I crying?\But my heart's filled with emotion.\Nana... response:	That night, I had repeatedly prayed so hard that the destiny waiting
context: They really went with it.\Well then, band members, an order from your leader.\From this day on, we'll all smoke this brand of cigarettes.\- Smoke it yourself! - Smoke it yourself!\Why... am I crying?\But my heart's filled with emotion.\Nana...\That night, I had repeatedly prayed so hard that the destiny waiting response:	for Nana after this would be that of happiness.
context: Well then, band members, an order from your leader.\From this day on, we'll all smoke this brand of cigarettes.\- Smoke it yourself! - Smoke it yourself!\Why... am I crying?\But my heart's filled with emotion.\Nana...\That night, I had repeatedly prayed so hard that the destiny waiting\for Nana after this would be that of happiness. response:	That time, I wanted to continue holding that hand
context: From this day on, we'll all smoke this brand of cigarettes.\- Smoke it yourself! - Smoke it yourself!\Why... am I crying?\But my heart's filled with emotion.\Nana...\That night, I had repeatedly prayed so hard that the destiny waiting\for Nana after this would be that of happiness.\That time, I wanted to continue holding that hand response:	that I unknowingly was holding.
context: - Smoke it yourself! - Smoke it yourself!\Why... am I crying?\But my heart's filled with emotion.\Nana...\That night, I had repeatedly prayed so hard that the destiny waiting\for Nana after this would be that of happiness.\That time, I wanted to continue holding that hand\that I unknowingly was holding. response:	Always, forever.
context: Why... am I crying?\But my heart's filled with emotion.\Nana...\That night, I had repeatedly prayed so hard that the destiny waiting\for Nana after this would be that of happiness.\That time, I wanted to continue holding that hand\that I unknowingly was holding.\Always, forever. response:	I reached into the sky
context: But my heart's filled with emotion.\Nana...\That night, I had repeatedly prayed so hard that the destiny waiting\for Nana after this would be that of happiness.\That time, I wanted to continue holding that hand\that I unknowingly was holding.\Always, forever.\I reached into the sky response:	But I couldn't reach what I wanted
context: Nana...\That night, I had repeatedly prayed so hard that the destiny waiting\for Nana after this would be that of happiness.\That time, I wanted to continue holding that hand\that I unknowingly was holding.\Always, forever.\I reached into the sky\But I couldn't reach what I wanted response:	They grew smaller and disappeared into the sky
context: That night, I had repeatedly prayed so hard that the destiny waiting\for Nana after this would be that of happiness.\That time, I wanted to continue holding that hand\that I unknowingly was holding.\Always, forever.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky response:	Like colorful balloons
context: for Nana after this would be that of happiness.\That time, I wanted to continue holding that hand\that I unknowingly was holding.\Always, forever.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons response:	I'm alone
context: That time, I wanted to continue holding that hand\that I unknowingly was holding.\Always, forever.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone response:	My hand had no place to go
context: that I unknowingly was holding.\Always, forever.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go response:	And gently you took it
context: Always, forever.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it response:	Starless night
context: I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night response:	I won't look back at the shadow of my past
context: But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past response:	I want to feel your warmth
context: They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth response:	Tears are falling down
context: Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down response:	Even if I'm unsure I won't let go
context: I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down\Even if I'm unsure I won't let go response:	Of your hand holding mine
