context: If the heroes are fighting each other response:	instead of the Waves of Catastrophe,
context: It'll be a thorny path.\How much do you know?\There is a lot I have forgotten,\but there is one thing I remember.\Saving the world isn't the same as saving its people.\Past heroes wished for their successors to save the people.\Not that I get it, but it makes sense for heroes of the people to choose them.\You can't do it as you are now. response:	You can't overcome all those hurdles by yourself.
context: How much do you know?\There is a lot I have forgotten,\but there is one thing I remember.\Saving the world isn't the same as saving its people.\Past heroes wished for their successors to save the people.\Not that I get it, but it makes sense for heroes of the people to choose them.\You can't do it as you are now.\You can't overcome all those hurdles by yourself. response:	Why are you telling me all this?
context: There is a lot I have forgotten,\but there is one thing I remember.\Saving the world isn't the same as saving its people.\Past heroes wished for their successors to save the people.\Not that I get it, but it makes sense for heroes of the people to choose them.\You can't do it as you are now.\You can't overcome all those hurdles by yourself.\Why are you telling me all this? response:	Wouldn't it be easier to convince another hero?
context: but there is one thing I remember.\Saving the world isn't the same as saving its people.\Past heroes wished for their successors to save the people.\Not that I get it, but it makes sense for heroes of the people to choose them.\You can't do it as you are now.\You can't overcome all those hurdles by yourself.\Why are you telling me all this?\Wouldn't it be easier to convince another hero? response:	I rate you higher than the other heroes.
context: Saving the world isn't the same as saving its people.\Past heroes wished for their successors to save the people.\Not that I get it, but it makes sense for heroes of the people to choose them.\You can't do it as you are now.\You can't overcome all those hurdles by yourself.\Why are you telling me all this?\Wouldn't it be easier to convince another hero?\I rate you higher than the other heroes. response:	Why?
context: Past heroes wished for their successors to save the people.\Not that I get it, but it makes sense for heroes of the people to choose them.\You can't do it as you are now.\You can't overcome all those hurdles by yourself.\Why are you telling me all this?\Wouldn't it be easier to convince another hero?\I rate you higher than the other heroes.\Why? response:	You raised Filo, the next queen.
context: Not that I get it, but it makes sense for heroes of the people to choose them.\You can't do it as you are now.\You can't overcome all those hurdles by yourself.\Why are you telling me all this?\Wouldn't it be easier to convince another hero?\I rate you higher than the other heroes.\Why?\You raised Filo, the next queen. response:	You couldn't possibly be a bad guy.
context: You can't do it as you are now.\You can't overcome all those hurdles by yourself.\Why are you telling me all this?\Wouldn't it be easier to convince another hero?\I rate you higher than the other heroes.\Why?\You raised Filo, the next queen.\You couldn't possibly be a bad guy. response:	If you say so.
context: You can't overcome all those hurdles by yourself.\Why are you telling me all this?\Wouldn't it be easier to convince another hero?\I rate you higher than the other heroes.\Why?\You raised Filo, the next queen.\You couldn't possibly be a bad guy.\If you say so. response:	I believe you have it in you
context: Why are you telling me all this?\Wouldn't it be easier to convince another hero?\I rate you higher than the other heroes.\Why?\You raised Filo, the next queen.\You couldn't possibly be a bad guy.\If you say so.\I believe you have it in you response:	to talk it out with the other heroes.
context: Wouldn't it be easier to convince another hero?\I rate you higher than the other heroes.\Why?\You raised Filo, the next queen.\You couldn't possibly be a bad guy.\If you say so.\I believe you have it in you\to talk it out with the other heroes. response:	Besides, you four heroes are far too weak.
context: I rate you higher than the other heroes.\Why?\You raised Filo, the next queen.\You couldn't possibly be a bad guy.\If you say so.\I believe you have it in you\to talk it out with the other heroes.\Besides, you four heroes are far too weak. response:	Even if I don't kill you personally, you'll die sooner rather than later.
context: Why?\You raised Filo, the next queen.\You couldn't possibly be a bad guy.\If you say so.\I believe you have it in you\to talk it out with the other heroes.\Besides, you four heroes are far too weak.\Even if I don't kill you personally, you'll die sooner rather than later. response:	Are the upcoming battles going to be that rough?
context: You raised Filo, the next queen.\You couldn't possibly be a bad guy.\If you say so.\I believe you have it in you\to talk it out with the other heroes.\Besides, you four heroes are far too weak.\Even if I don't kill you personally, you'll die sooner rather than later.\Are the upcoming battles going to be that rough? response:	Then I'll need the Rage Shield more than ever.
context: You couldn't possibly be a bad guy.\If you say so.\I believe you have it in you\to talk it out with the other heroes.\Besides, you four heroes are far too weak.\Even if I don't kill you personally, you'll die sooner rather than later.\Are the upcoming battles going to be that rough?\Then I'll need the Rage Shield more than ever. response:	If you absolutely must use that shield...
context: If you say so.\I believe you have it in you\to talk it out with the other heroes.\Besides, you four heroes are far too weak.\Even if I don't kill you personally, you'll die sooner rather than later.\Are the upcoming battles going to be that rough?\Then I'll need the Rage Shield more than ever.\If you absolutely must use that shield... response:	What's happening?
context: I believe you have it in you\to talk it out with the other heroes.\Besides, you four heroes are far too weak.\Even if I don't kill you personally, you'll die sooner rather than later.\Are the upcoming battles going to be that rough?\Then I'll need the Rage Shield more than ever.\If you absolutely must use that shield...\What's happening? response:	Barbarian Armor +1
context: to talk it out with the other heroes.\Besides, you four heroes are far too weak.\Even if I don't kill you personally, you'll die sooner rather than later.\Are the upcoming battles going to be that rough?\Then I'll need the Rage Shield more than ever.\If you absolutely must use that shield...\What's happening?\Barbarian Armor +1 response:	That will slow down the Curse Shield's corrosion.
context: Besides, you four heroes are far too weak.\Even if I don't kill you personally, you'll die sooner rather than later.\Are the upcoming battles going to be that rough?\Then I'll need the Rage Shield more than ever.\If you absolutely must use that shield...\What's happening?\Barbarian Armor +1\That will slow down the Curse Shield's corrosion. response:	But it won't completely stop it,
context: Even if I don't kill you personally, you'll die sooner rather than later.\Are the upcoming battles going to be that rough?\Then I'll need the Rage Shield more than ever.\If you absolutely must use that shield...\What's happening?\Barbarian Armor +1\That will slow down the Curse Shield's corrosion.\But it won't completely stop it, response:	so try to avoid using it as much as you can.
context: Are the upcoming battles going to be that rough?\Then I'll need the Rage Shield more than ever.\If you absolutely must use that shield...\What's happening?\Barbarian Armor +1\That will slow down the Curse Shield's corrosion.\But it won't completely stop it,\so try to avoid using it as much as you can. response:	After all that talk about killing me?
context: Then I'll need the Rage Shield more than ever.\If you absolutely must use that shield...\What's happening?\Barbarian Armor +1\That will slow down the Curse Shield's corrosion.\But it won't completely stop it,\so try to avoid using it as much as you can.\After all that talk about killing me? response:	I guess you're just really nice, Fitoria.
context: If you absolutely must use that shield...\What's happening?\Barbarian Armor +1\That will slow down the Curse Shield's corrosion.\But it won't completely stop it,\so try to avoid using it as much as you can.\After all that talk about killing me?\I guess you're just really nice, Fitoria. response:	You're really nice,
context: What's happening?\Barbarian Armor +1\That will slow down the Curse Shield's corrosion.\But it won't completely stop it,\so try to avoid using it as much as you can.\After all that talk about killing me?\I guess you're just really nice, Fitoria.\You're really nice, response:	Fitoria.
context: Barbarian Armor +1\That will slow down the Curse Shield's corrosion.\But it won't completely stop it,\so try to avoid using it as much as you can.\After all that talk about killing me?\I guess you're just really nice, Fitoria.\You're really nice,\Fitoria. response:	Well, given you're doing all this for me, I guess I'll give it my best shot.
context: That will slow down the Curse Shield's corrosion.\But it won't completely stop it,\so try to avoid using it as much as you can.\After all that talk about killing me?\I guess you're just really nice, Fitoria.\You're really nice,\Fitoria.\Well, given you're doing all this for me, I guess I'll give it my best shot. response:	But don't get your hopes up.
context: But it won't completely stop it,\so try to avoid using it as much as you can.\After all that talk about killing me?\I guess you're just really nice, Fitoria.\You're really nice,\Fitoria.\Well, given you're doing all this for me, I guess I'll give it my best shot.\But don't get your hopes up. response:	Could you get off?
context: so try to avoid using it as much as you can.\After all that talk about killing me?\I guess you're just really nice, Fitoria.\You're really nice,\Fitoria.\Well, given you're doing all this for me, I guess I'll give it my best shot.\But don't get your hopes up.\Could you get off? response:	Please, Shield Hero.
context: After all that talk about killing me?\I guess you're just really nice, Fitoria.\You're really nice,\Fitoria.\Well, given you're doing all this for me, I guess I'll give it my best shot.\But don't get your hopes up.\Could you get off?\Please, Shield Hero. response:	Hey, was it the Shield Hero who raised you?
context: I guess you're just really nice, Fitoria.\You're really nice,\Fitoria.\Well, given you're doing all this for me, I guess I'll give it my best shot.\But don't get your hopes up.\Could you get off?\Please, Shield Hero.\Hey, was it the Shield Hero who raised you? response:	I forgot.
context: You're really nice,\Fitoria.\Well, given you're doing all this for me, I guess I'll give it my best shot.\But don't get your hopes up.\Could you get off?\Please, Shield Hero.\Hey, was it the Shield Hero who raised you?\I forgot. response:	Filolials have short memories.
context: Fitoria.\Well, given you're doing all this for me, I guess I'll give it my best shot.\But don't get your hopes up.\Could you get off?\Please, Shield Hero.\Hey, was it the Shield Hero who raised you?\I forgot.\Filolials have short memories. response:	I see.
context: Well, given you're doing all this for me, I guess I'll give it my best shot.\But don't get your hopes up.\Could you get off?\Please, Shield Hero.\Hey, was it the Shield Hero who raised you?\I forgot.\Filolials have short memories.\I see. response:	But I remember this gentle touch.
context: But don't get your hopes up.\Could you get off?\Please, Shield Hero.\Hey, was it the Shield Hero who raised you?\I forgot.\Filolials have short memories.\I see.\But I remember this gentle touch. response:	This is the place.
context: Could you get off?\Please, Shield Hero.\Hey, was it the Shield Hero who raised you?\I forgot.\Filolials have short memories.\I see.\But I remember this gentle touch.\This is the place. response:	Here's where the Four Cardinal Weapons'...
context: Please, Shield Hero.\Hey, was it the Shield Hero who raised you?\I forgot.\Filolials have short memories.\I see.\But I remember this gentle touch.\This is the place.\Here's where the Four Cardinal Weapons'... response:	Yes. There's no doubt about it.
context: Hey, was it the Shield Hero who raised you?\I forgot.\Filolials have short memories.\I see.\But I remember this gentle touch.\This is the place.\Here's where the Four Cardinal Weapons'...\Yes. There's no doubt about it. response:	Hey, what's the meaning of this?
context: I forgot.\Filolials have short memories.\I see.\But I remember this gentle touch.\This is the place.\Here's where the Four Cardinal Weapons'...\Yes. There's no doubt about it.\Hey, what's the meaning of this? response:	It's empty!
context: Filolials have short memories.\I see.\But I remember this gentle touch.\This is the place.\Here's where the Four Cardinal Weapons'...\Yes. There's no doubt about it.\Hey, what's the meaning of this?\It's empty! response:	It can't be.
context: I see.\But I remember this gentle touch.\This is the place.\Here's where the Four Cardinal Weapons'...\Yes. There's no doubt about it.\Hey, what's the meaning of this?\It's empty!\It can't be. response:	Everyone, run away!
context: But I remember this gentle touch.\This is the place.\Here's where the Four Cardinal Weapons'...\Yes. There's no doubt about it.\Hey, what's the meaning of this?\It's empty!\It can't be.\Everyone, run away! response:	A Conspiracy Linked
