context: Who are you? response:	Do you want to know more about what happened in Vladivostok?
context: Here.\I shot a hole in the hotel's wall and made us stand out.\So...\She's trying to apologize?\How is it?\As long as it's nutritious, it doesn't matter how it tastes.\So it tastes so bad you have to think the taste doesn't matter.\Refill. response:	You've got a mission.
context: I shot a hole in the hotel's wall and made us stand out.\So...\She's trying to apologize?\How is it?\As long as it's nutritious, it doesn't matter how it tastes.\So it tastes so bad you have to think the taste doesn't matter.\Refill.\You've got a mission. response:	I see.
context: So...\She's trying to apologize?\How is it?\As long as it's nutritious, it doesn't matter how it tastes.\So it tastes so bad you have to think the taste doesn't matter.\Refill.\You've got a mission.\I see. response:	Perhaps a bit hard for a first mission.
context: She's trying to apologize?\How is it?\As long as it's nutritious, it doesn't matter how it tastes.\So it tastes so bad you have to think the taste doesn't matter.\Refill.\You've got a mission.\I see.\Perhaps a bit hard for a first mission. response:	If...
context: How is it?\As long as it's nutritious, it doesn't matter how it tastes.\So it tastes so bad you have to think the taste doesn't matter.\Refill.\You've got a mission.\I see.\Perhaps a bit hard for a first mission.\If... response:	If you pay me...
context: As long as it's nutritious, it doesn't matter how it tastes.\So it tastes so bad you have to think the taste doesn't matter.\Refill.\You've got a mission.\I see.\Perhaps a bit hard for a first mission.\If...\If you pay me... response:	A reward?
context: So it tastes so bad you have to think the taste doesn't matter.\Refill.\You've got a mission.\I see.\Perhaps a bit hard for a first mission.\If...\If you pay me...\A reward? response:	Aren't you spoiling your handyman?
context: Refill.\You've got a mission.\I see.\Perhaps a bit hard for a first mission.\If...\If you pay me...\A reward?\Aren't you spoiling your handyman? response:	I'm paying her in advance.
context: You've got a mission.\I see.\Perhaps a bit hard for a first mission.\If...\If you pay me...\A reward?\Aren't you spoiling your handyman?\I'm paying her in advance. response:	As a contractor, you take on missions and get paid.
context: I see.\Perhaps a bit hard for a first mission.\If...\If you pay me...\A reward?\Aren't you spoiling your handyman?\I'm paying her in advance.\As a contractor, you take on missions and get paid. response:	It's very simple.
context: Perhaps a bit hard for a first mission.\If...\If you pay me...\A reward?\Aren't you spoiling your handyman?\I'm paying her in advance.\As a contractor, you take on missions and get paid.\It's very simple. response:	That's why I can definitely do it.
context: If...\If you pay me...\A reward?\Aren't you spoiling your handyman?\I'm paying her in advance.\As a contractor, you take on missions and get paid.\It's very simple.\That's why I can definitely do it. response:	This is a terrible night.
context: If you pay me...\A reward?\Aren't you spoiling your handyman?\I'm paying her in advance.\As a contractor, you take on missions and get paid.\It's very simple.\That's why I can definitely do it.\This is a terrible night. response:	A ship from Section 3 will enter the harbor.
context: A reward?\Aren't you spoiling your handyman?\I'm paying her in advance.\As a contractor, you take on missions and get paid.\It's very simple.\That's why I can definitely do it.\This is a terrible night.\A ship from Section 3 will enter the harbor. response:	If I can destroy the goods before it arrives in the harbor, there won't be a problem.
context: Aren't you spoiling your handyman?\I'm paying her in advance.\As a contractor, you take on missions and get paid.\It's very simple.\That's why I can definitely do it.\This is a terrible night.\A ship from Section 3 will enter the harbor.\If I can destroy the goods before it arrives in the harbor, there won't be a problem. response:	If I fail...
context: I'm paying her in advance.\As a contractor, you take on missions and get paid.\It's very simple.\That's why I can definitely do it.\This is a terrible night.\A ship from Section 3 will enter the harbor.\If I can destroy the goods before it arrives in the harbor, there won't be a problem.\If I fail... response:	you'll shoot when they're unloading the goods from the trucks.
context: As a contractor, you take on missions and get paid.\It's very simple.\That's why I can definitely do it.\This is a terrible night.\A ship from Section 3 will enter the harbor.\If I can destroy the goods before it arrives in the harbor, there won't be a problem.\If I fail...\you'll shoot when they're unloading the goods from the trucks. response:	Kureteku yuubae ni senaka osarete
context: It's very simple.\That's why I can definitely do it.\This is a terrible night.\A ship from Section 3 will enter the harbor.\If I can destroy the goods before it arrives in the harbor, there won't be a problem.\If I fail...\you'll shoot when they're unloading the goods from the trucks.\Kureteku yuubae ni senaka osarete response:	My back is pressed by the darkening glow of dusk
context: That's why I can definitely do it.\This is a terrible night.\A ship from Section 3 will enter the harbor.\If I can destroy the goods before it arrives in the harbor, there won't be a problem.\If I fail...\you'll shoot when they're unloading the goods from the trucks.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk response:	Arukidasu kage ga shimesu hou e
context: This is a terrible night.\A ship from Section 3 will enter the harbor.\If I can destroy the goods before it arrives in the harbor, there won't be a problem.\If I fail...\you'll shoot when they're unloading the goods from the trucks.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e response:	I start walking toward where my shadow points
context: A ship from Section 3 will enter the harbor.\If I can destroy the goods before it arrives in the harbor, there won't be a problem.\If I fail...\you'll shoot when they're unloading the goods from the trucks.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points response:	Taenai ikutsu mo no deai to wakare o
context: If I can destroy the goods before it arrives in the harbor, there won't be a problem.\If I fail...\you'll shoot when they're unloading the goods from the trucks.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o response:	Repeating the many, ceaseless encounters and partings
context: If I fail...\you'll shoot when they're unloading the goods from the trucks.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings response:	Kurikaeshi doko e mukau no ka
context: you'll shoot when they're unloading the goods from the trucks.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka response:	Where do I head to?
context: Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to? response:	Hito wa dare mo mayoinagara
context: My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara response:	For all people, while they are lost,
context: Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost, response:	tsumi to iu na no sadame o seotte
context: I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte response:	they bear the fate known as sin
context: Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin response:	Sore de mo nao ikiru imi o shiru darou
context: Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou response:	Nevertheless, I'll still learn of the meaning to live, right?
context: Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right? response:	Bokura wa sou Day by Day
context: Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day response:	That's right, Day by Day,
context: Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day, response:	ashita e tsuzuku michi no tochuu de
context: For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de response:	we're midway on the road leading to tomorrow
context: tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow response:	Now Say It Again kimi to futari no mama
context: they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama response:	Now Say It Again, though it'd be great if
context: Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if response:	irareta nara ii no ni naa...
context: Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa... response:	I could remain together with you...
context: Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you... response:	I saw a whale, but I didn't take a picture of it.
context: That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\I saw a whale, but I didn't take a picture of it. response:	I thought it was pointless.
context: ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\I saw a whale, but I didn't take a picture of it.\I thought it was pointless. response:	Why, though?
context: we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\I saw a whale, but I didn't take a picture of it.\I thought it was pointless.\Why, though? response:	Now that I think of it, I should have taken a picture.
context: Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\I saw a whale, but I didn't take a picture of it.\I thought it was pointless.\Why, though?\Now that I think of it, I should have taken a picture. response:	Woah! It's so big!
context: Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\I saw a whale, but I didn't take a picture of it.\I thought it was pointless.\Why, though?\Now that I think of it, I should have taken a picture.\Woah! It's so big! response:	Hey, is that a whale?
context: irareta nara ii no ni naa...\I could remain together with you...\I saw a whale, but I didn't take a picture of it.\I thought it was pointless.\Why, though?\Now that I think of it, I should have taken a picture.\Woah! It's so big!\Hey, is that a whale? response:	No! Whales are much bigger!
context: I could remain together with you...\I saw a whale, but I didn't take a picture of it.\I thought it was pointless.\Why, though?\Now that I think of it, I should have taken a picture.\Woah! It's so big!\Hey, is that a whale?\No! Whales are much bigger! response:	And they spurt salt water!
context: I saw a whale, but I didn't take a picture of it.\I thought it was pointless.\Why, though?\Now that I think of it, I should have taken a picture.\Woah! It's so big!\Hey, is that a whale?\No! Whales are much bigger!\And they spurt salt water! response:	Salt water?
context: I thought it was pointless.\Why, though?\Now that I think of it, I should have taken a picture.\Woah! It's so big!\Hey, is that a whale?\No! Whales are much bigger!\And they spurt salt water!\Salt water? response:	Is that salty?
context: Why, though?\Now that I think of it, I should have taken a picture.\Woah! It's so big!\Hey, is that a whale?\No! Whales are much bigger!\And they spurt salt water!\Salt water?\Is that salty? response:	Oh boy, you really don't know anything.
context: Now that I think of it, I should have taken a picture.\Woah! It's so big!\Hey, is that a whale?\No! Whales are much bigger!\And they spurt salt water!\Salt water?\Is that salty?\Oh boy, you really don't know anything. response:	No!
context: Woah! It's so big!\Hey, is that a whale?\No! Whales are much bigger!\And they spurt salt water!\Salt water?\Is that salty?\Oh boy, you really don't know anything.\No! response:	I know that much.
context: Hey, is that a whale?\No! Whales are much bigger!\And they spurt salt water!\Salt water?\Is that salty?\Oh boy, you really don't know anything.\No!\I know that much. response:	Come on, don't fight.
context: No! Whales are much bigger!\And they spurt salt water!\Salt water?\Is that salty?\Oh boy, you really don't know anything.\No!\I know that much.\Come on, don't fight. response:	Look...
context: And they spurt salt water!\Salt water?\Is that salty?\Oh boy, you really don't know anything.\No!\I know that much.\Come on, don't fight.\Look... response:	Everyone's smiling.
context: Salt water?\Is that salty?\Oh boy, you really don't know anything.\No!\I know that much.\Come on, don't fight.\Look...\Everyone's smiling. response:	Yeah.
context: Is that salty?\Oh boy, you really don't know anything.\No!\I know that much.\Come on, don't fight.\Look...\Everyone's smiling.\Yeah. response:	That's right.
context: Oh boy, you really don't know anything.\No!\I know that much.\Come on, don't fight.\Look...\Everyone's smiling.\Yeah.\That's right. response:	No one gets angry when they are in an aquarium.
context: No!\I know that much.\Come on, don't fight.\Look...\Everyone's smiling.\Yeah.\That's right.\No one gets angry when they are in an aquarium. response:	Their hearts melt when they see the fishes swim happily.
context: I know that much.\Come on, don't fight.\Look...\Everyone's smiling.\Yeah.\That's right.\No one gets angry when they are in an aquarium.\Their hearts melt when they see the fishes swim happily. response:	All right, what do you say about some ice cream?
context: Come on, don't fight.\Look...\Everyone's smiling.\Yeah.\That's right.\No one gets angry when they are in an aquarium.\Their hearts melt when they see the fishes swim happily.\All right, what do you say about some ice cream? response:	Yep! I want one with three balls!
context: Look...\Everyone's smiling.\Yeah.\That's right.\No one gets angry when they are in an aquarium.\Their hearts melt when they see the fishes swim happily.\All right, what do you say about some ice cream?\Yep! I want one with three balls! response:	I want one as big as a whale!
context: Everyone's smiling.\Yeah.\That's right.\No one gets angry when they are in an aquarium.\Their hearts melt when they see the fishes swim happily.\All right, what do you say about some ice cream?\Yep! I want one with three balls!\I want one as big as a whale! response:	A whale?
context: Yeah.\That's right.\No one gets angry when they are in an aquarium.\Their hearts melt when they see the fishes swim happily.\All right, what do you say about some ice cream?\Yep! I want one with three balls!\I want one as big as a whale!\A whale? response:	The foamy meringue shines pearl gray.
context: That's right.\No one gets angry when they are in an aquarium.\Their hearts melt when they see the fishes swim happily.\All right, what do you say about some ice cream?\Yep! I want one with three balls!\I want one as big as a whale!\A whale?\The foamy meringue shines pearl gray. response:	Inside the warm oven a golden life is conceived.
context: No one gets angry when they are in an aquarium.\Their hearts melt when they see the fishes swim happily.\All right, what do you say about some ice cream?\Yep! I want one with three balls!\I want one as big as a whale!\A whale?\The foamy meringue shines pearl gray.\Inside the warm oven a golden life is conceived. response:	The warm, sweet taste doesn't bring back memories from childhood.
context: Their hearts melt when they see the fishes swim happily.\All right, what do you say about some ice cream?\Yep! I want one with three balls!\I want one as big as a whale!\A whale?\The foamy meringue shines pearl gray.\Inside the warm oven a golden life is conceived.\The warm, sweet taste doesn't bring back memories from childhood. response:	It's time to set sail.
context: All right, what do you say about some ice cream?\Yep! I want one with three balls!\I want one as big as a whale!\A whale?\The foamy meringue shines pearl gray.\Inside the warm oven a golden life is conceived.\The warm, sweet taste doesn't bring back memories from childhood.\It's time to set sail. response:	It would have been better if we had never met.
context: Yep! I want one with three balls!\I want one as big as a whale!\A whale?\The foamy meringue shines pearl gray.\Inside the warm oven a golden life is conceived.\The warm, sweet taste doesn't bring back memories from childhood.\It's time to set sail.\It would have been better if we had never met. response:	I didn't need any memories at all.
context: I want one as big as a whale!\A whale?\The foamy meringue shines pearl gray.\Inside the warm oven a golden life is conceived.\The warm, sweet taste doesn't bring back memories from childhood.\It's time to set sail.\It would have been better if we had never met.\I didn't need any memories at all. response:	And then... the journey continues.
