context: Mashima-senpai! response:	What's this atmosphere?
context: Learning Center 1st Floor Asahi Room\Said bed was cold...\Bah, a fault!\May the time spent...\A fault!\How many faults have they committed?\This is a mess.\What? response:	Mashima-senpai wasn't like this in the semifinals!
context: Said bed was cold...\Bah, a fault!\May the time spent...\A fault!\How many faults have they committed?\This is a mess.\What?\Mashima-senpai wasn't like this in the semifinals! response:	It's like he's a different person.
context: Bah, a fault!\May the time spent...\A fault!\How many faults have they committed?\This is a mess.\What?\Mashima-senpai wasn't like this in the semifinals!\It's like he's a different person. response:	Actually, this is what always happens when his matches go wrong.
context: May the time spent...\A fault!\How many faults have they committed?\This is a mess.\What?\Mashima-senpai wasn't like this in the semifinals!\It's like he's a different person.\Actually, this is what always happens when his matches go wrong. response:	Damn.
context: A fault!\How many faults have they committed?\This is a mess.\What?\Mashima-senpai wasn't like this in the semifinals!\It's like he's a different person.\Actually, this is what always happens when his matches go wrong.\Damn. response:	I need to win this match quickly,
context: How many faults have they committed?\This is a mess.\What?\Mashima-senpai wasn't like this in the semifinals!\It's like he's a different person.\Actually, this is what always happens when his matches go wrong.\Damn.\I need to win this match quickly, response:	so Chihaya can watch Arata's match!
context: This is a mess.\What?\Mashima-senpai wasn't like this in the semifinals!\It's like he's a different person.\Actually, this is what always happens when his matches go wrong.\Damn.\I need to win this match quickly,\so Chihaya can watch Arata's match! response:	Ta-Taichi...
context: What?\Mashima-senpai wasn't like this in the semifinals!\It's like he's a different person.\Actually, this is what always happens when his matches go wrong.\Damn.\I need to win this match quickly,\so Chihaya can watch Arata's match!\Ta-Taichi... response:	Fortunately, his opponent, Yamashiro-san, is also struggling.
context: Mashima-senpai wasn't like this in the semifinals!\It's like he's a different person.\Actually, this is what always happens when his matches go wrong.\Damn.\I need to win this match quickly,\so Chihaya can watch Arata's match!\Ta-Taichi...\Fortunately, his opponent, Yamashiro-san, is also struggling. response:	The reader isn't very consistent.
context: It's like he's a different person.\Actually, this is what always happens when his matches go wrong.\Damn.\I need to win this match quickly,\so Chihaya can watch Arata's match!\Ta-Taichi...\Fortunately, his opponent, Yamashiro-san, is also struggling.\The reader isn't very consistent. response:	I wonder why.
context: Actually, this is what always happens when his matches go wrong.\Damn.\I need to win this match quickly,\so Chihaya can watch Arata's match!\Ta-Taichi...\Fortunately, his opponent, Yamashiro-san, is also struggling.\The reader isn't very consistent.\I wonder why. response:	Three certified readers!
context: Damn.\I need to win this match quickly,\so Chihaya can watch Arata's match!\Ta-Taichi...\Fortunately, his opponent, Yamashiro-san, is also struggling.\The reader isn't very consistent.\I wonder why.\Three certified readers! response:	Is this the reader's final exam?
context: I need to win this match quickly,\so Chihaya can watch Arata's match!\Ta-Taichi...\Fortunately, his opponent, Yamashiro-san, is also struggling.\The reader isn't very consistent.\I wonder why.\Three certified readers!\Is this the reader's final exam? response:	for there is no one else out here
context: so Chihaya can watch Arata's match!\Ta-Taichi...\Fortunately, his opponent, Yamashiro-san, is also struggling.\The reader isn't very consistent.\I wonder why.\Three certified readers!\Is this the reader's final exam?\for there is no one else out here response:	Excuse me.
context: Ta-Taichi...\Fortunately, his opponent, Yamashiro-san, is also struggling.\The reader isn't very consistent.\I wonder why.\Three certified readers!\Is this the reader's final exam?\for there is no one else out here\Excuse me. response:	H-He's definitely failed.
context: Fortunately, his opponent, Yamashiro-san, is also struggling.\The reader isn't very consistent.\I wonder why.\Three certified readers!\Is this the reader's final exam?\for there is no one else out here\Excuse me.\H-He's definitely failed. response:	Win!
context: The reader isn't very consistent.\I wonder why.\Three certified readers!\Is this the reader's final exam?\for there is no one else out here\Excuse me.\H-He's definitely failed.\Win! response:	Win!
context: I wonder why.\Three certified readers!\Is this the reader's final exam?\for there is no one else out here\Excuse me.\H-He's definitely failed.\Win!\Win! response:	Your victory is a victory for Fujisaki!
context: Three certified readers!\Is this the reader's final exam?\for there is no one else out here\Excuse me.\H-He's definitely failed.\Win!\Win!\Your victory is a victory for Fujisaki! response:	Now that I think about it,
context: Is this the reader's final exam?\for there is no one else out here\Excuse me.\H-He's definitely failed.\Win!\Win!\Your victory is a victory for Fujisaki!\Now that I think about it, response:	I've only ever looked at the reader during a match.
context: for there is no one else out here\Excuse me.\H-He's definitely failed.\Win!\Win!\Your victory is a victory for Fujisaki!\Now that I think about it,\I've only ever looked at the reader during a match. response:	He has no rhythm.
context: Excuse me.\H-He's definitely failed.\Win!\Win!\Your victory is a victory for Fujisaki!\Now that I think about it,\I've only ever looked at the reader during a match.\He has no rhythm. response:	for there is no one else out here
context: H-He's definitely failed.\Win!\Win!\Your victory is a victory for Fujisaki!\Now that I think about it,\I've only ever looked at the reader during a match.\He has no rhythm.\for there is no one else out here response:	His tempo is uneven.
context: Win!\Win!\Your victory is a victory for Fujisaki!\Now that I think about it,\I've only ever looked at the reader during a match.\He has no rhythm.\for there is no one else out here\His tempo is uneven. response:	But each syllable is very clean.
context: Win!\Your victory is a victory for Fujisaki!\Now that I think about it,\I've only ever looked at the reader during a match.\He has no rhythm.\for there is no one else out here\His tempo is uneven.\But each syllable is very clean. response:	the misty bridge...
context: Your victory is a victory for Fujisaki!\Now that I think about it,\I've only ever looked at the reader during a match.\He has no rhythm.\for there is no one else out here\His tempo is uneven.\But each syllable is very clean.\the misty bridge... response:	This is the speed Chihaya barely beat.
context: Now that I think about it,\I've only ever looked at the reader during a match.\He has no rhythm.\for there is no one else out here\His tempo is uneven.\But each syllable is very clean.\the misty bridge...\This is the speed Chihaya barely beat. response:	She was like Master Suo.
context: I've only ever looked at the reader during a match.\He has no rhythm.\for there is no one else out here\His tempo is uneven.\But each syllable is very clean.\the misty bridge...\This is the speed Chihaya barely beat.\She was like Master Suo. response:	Yama-chan's game sense...
context: He has no rhythm.\for there is no one else out here\His tempo is uneven.\But each syllable is very clean.\the misty bridge...\This is the speed Chihaya barely beat.\She was like Master Suo.\Yama-chan's game sense... response:	Taichi...
context: for there is no one else out here\His tempo is uneven.\But each syllable is very clean.\the misty bridge...\This is the speed Chihaya barely beat.\She was like Master Suo.\Yama-chan's game sense...\Taichi... response:	Gust of wind...
context: His tempo is uneven.\But each syllable is very clean.\the misty bridge...\This is the speed Chihaya barely beat.\She was like Master Suo.\Yama-chan's game sense...\Taichi...\Gust of wind... response:	Would this old palace courtyard...
context: But each syllable is very clean.\the misty bridge...\This is the speed Chihaya barely beat.\She was like Master Suo.\Yama-chan's game sense...\Taichi...\Gust of wind...\Would this old palace courtyard... response:	What is it that she's hearing?
context: the misty bridge...\This is the speed Chihaya barely beat.\She was like Master Suo.\Yama-chan's game sense...\Taichi...\Gust of wind...\Would this old palace courtyard...\What is it that she's hearing? response:	There are people who can hear
context: This is the speed Chihaya barely beat.\She was like Master Suo.\Yama-chan's game sense...\Taichi...\Gust of wind...\Would this old palace courtyard...\What is it that she's hearing?\There are people who can hear response:	certain letters before the sound is fully formed.
context: She was like Master Suo.\Yama-chan's game sense...\Taichi...\Gust of wind...\Would this old palace courtyard...\What is it that she's hearing?\There are people who can hear\certain letters before the sound is fully formed. response:	How am I supposed to play against this kind of talent?
context: Yama-chan's game sense...\Taichi...\Gust of wind...\Would this old palace courtyard...\What is it that she's hearing?\There are people who can hear\certain letters before the sound is fully formed.\How am I supposed to play against this kind of talent? response:	You can't let Yama-chan get in a groove, Taichi!
context: Taichi...\Gust of wind...\Would this old palace courtyard...\What is it that she's hearing?\There are people who can hear\certain letters before the sound is fully formed.\How am I supposed to play against this kind of talent?\You can't let Yama-chan get in a groove, Taichi! response:	You'll lose control of the match!
context: Gust of wind...\Would this old palace courtyard...\What is it that she's hearing?\There are people who can hear\certain letters before the sound is fully formed.\How am I supposed to play against this kind of talent?\You can't let Yama-chan get in a groove, Taichi!\You'll lose control of the match! response:	You'll start losing cards you're supposed to win!
context: Would this old palace courtyard...\What is it that she's hearing?\There are people who can hear\certain letters before the sound is fully formed.\How am I supposed to play against this kind of talent?\You can't let Yama-chan get in a groove, Taichi!\You'll lose control of the match!\You'll start losing cards you're supposed to win! response:	What am I doing?
context: What is it that she's hearing?\There are people who can hear\certain letters before the sound is fully formed.\How am I supposed to play against this kind of talent?\You can't let Yama-chan get in a groove, Taichi!\You'll lose control of the match!\You'll start losing cards you're supposed to win!\What am I doing? response:	I have to win quickly... I have to build a lead before the Class A final ends.
context: There are people who can hear\certain letters before the sound is fully formed.\How am I supposed to play against this kind of talent?\You can't let Yama-chan get in a groove, Taichi!\You'll lose control of the match!\You'll start losing cards you're supposed to win!\What am I doing?\I have to win quickly... I have to build a lead before the Class A final ends. response:	How am I supposed to beat someone who has talent
context: certain letters before the sound is fully formed.\How am I supposed to play against this kind of talent?\You can't let Yama-chan get in a groove, Taichi!\You'll lose control of the match!\You'll start losing cards you're supposed to win!\What am I doing?\I have to win quickly... I have to build a lead before the Class A final ends.\How am I supposed to beat someone who has talent response:	rivaling Master Suo?
context: How am I supposed to play against this kind of talent?\You can't let Yama-chan get in a groove, Taichi!\You'll lose control of the match!\You'll start losing cards you're supposed to win!\What am I doing?\I have to win quickly... I have to build a lead before the Class A final ends.\How am I supposed to beat someone who has talent\rivaling Master Suo? response:	Excuse me.
context: You can't let Yama-chan get in a groove, Taichi!\You'll lose control of the match!\You'll start losing cards you're supposed to win!\What am I doing?\I have to win quickly... I have to build a lead before the Class A final ends.\How am I supposed to beat someone who has talent\rivaling Master Suo?\Excuse me. response:	I'm tensing up because I'm comparing her to Master Suo.
context: You'll lose control of the match!\You'll start losing cards you're supposed to win!\What am I doing?\I have to win quickly... I have to build a lead before the Class A final ends.\How am I supposed to beat someone who has talent\rivaling Master Suo?\Excuse me.\I'm tensing up because I'm comparing her to Master Suo. response:	Compare her to Chihaya.
context: You'll start losing cards you're supposed to win!\What am I doing?\I have to win quickly... I have to build a lead before the Class A final ends.\How am I supposed to beat someone who has talent\rivaling Master Suo?\Excuse me.\I'm tensing up because I'm comparing her to Master Suo.\Compare her to Chihaya. response:	Compare her to Chihaya.
context: What am I doing?\I have to win quickly... I have to build a lead before the Class A final ends.\How am I supposed to beat someone who has talent\rivaling Master Suo?\Excuse me.\I'm tensing up because I'm comparing her to Master Suo.\Compare her to Chihaya.\Compare her to Chihaya. response:	Excuse me.
context: I have to win quickly... I have to build a lead before the Class A final ends.\How am I supposed to beat someone who has talent\rivaling Master Suo?\Excuse me.\I'm tensing up because I'm comparing her to Master Suo.\Compare her to Chihaya.\Compare her to Chihaya.\Excuse me. response:	I'm moving my cards.
context: How am I supposed to beat someone who has talent\rivaling Master Suo?\Excuse me.\I'm tensing up because I'm comparing her to Master Suo.\Compare her to Chihaya.\Compare her to Chihaya.\Excuse me.\I'm moving my cards. response:	He split all of the similar cards.
context: rivaling Master Suo?\Excuse me.\I'm tensing up because I'm comparing her to Master Suo.\Compare her to Chihaya.\Compare her to Chihaya.\Excuse me.\I'm moving my cards.\He split all of the similar cards. response:	I've never beaten Chihaya, not even in a practice match.
context: Excuse me.\I'm tensing up because I'm comparing her to Master Suo.\Compare her to Chihaya.\Compare her to Chihaya.\Excuse me.\I'm moving my cards.\He split all of the similar cards.\I've never beaten Chihaya, not even in a practice match. response:	But...
context: I'm tensing up because I'm comparing her to Master Suo.\Compare her to Chihaya.\Compare her to Chihaya.\Excuse me.\I'm moving my cards.\He split all of the similar cards.\I've never beaten Chihaya, not even in a practice match.\But... response:	In order to restore...
context: Compare her to Chihaya.\Compare her to Chihaya.\Excuse me.\I'm moving my cards.\He split all of the similar cards.\I've never beaten Chihaya, not even in a practice match.\But...\In order to restore... response:	But...
context: Compare her to Chihaya.\Excuse me.\I'm moving my cards.\He split all of the similar cards.\I've never beaten Chihaya, not even in a practice match.\But...\In order to restore...\But... response:	After I heard you say...
context: Excuse me.\I'm moving my cards.\He split all of the similar cards.\I've never beaten Chihaya, not even in a practice match.\But...\In order to restore...\But...\After I heard you say... response:	The similar cards he split!
context: I'm moving my cards.\He split all of the similar cards.\I've never beaten Chihaya, not even in a practice match.\But...\In order to restore...\But...\After I heard you say...\The similar cards he split! response:	He's winning three-syllable cards!
context: He split all of the similar cards.\I've never beaten Chihaya, not even in a practice match.\But...\In order to restore...\But...\After I heard you say...\The similar cards he split!\He's winning three-syllable cards! response:	He got it!
context: I've never beaten Chihaya, not even in a practice match.\But...\In order to restore...\But...\After I heard you say...\The similar cards he split!\He's winning three-syllable cards!\He got it! response:	lent waves creep closer...
context: But...\In order to restore...\But...\After I heard you say...\The similar cards he split!\He's winning three-syllable cards!\He got it!\lent waves creep closer... response:	That was fast!
context: In order to restore...\But...\After I heard you say...\The similar cards he split!\He's winning three-syllable cards!\He got it!\lent waves creep closer...\That was fast! response:	The emotions experienced...
context: But...\After I heard you say...\The similar cards he split!\He's winning three-syllable cards!\He got it!\lent waves creep closer...\That was fast!\The emotions experienced... response:	The fall paddy shacks...
context: After I heard you say...\The similar cards he split!\He's winning three-syllable cards!\He got it!\lent waves creep closer...\That was fast!\The emotions experienced...\The fall paddy shacks... response:	There's nothing flashy about his playing style,
context: The similar cards he split!\He's winning three-syllable cards!\He got it!\lent waves creep closer...\That was fast!\The emotions experienced...\The fall paddy shacks...\There's nothing flashy about his playing style, response:	but he's taking cards against an opponent with good game sense!
context: He's winning three-syllable cards!\He got it!\lent waves creep closer...\That was fast!\The emotions experienced...\The fall paddy shacks...\There's nothing flashy about his playing style,\but he's taking cards against an opponent with good game sense! response:	He's refusing to be drawn into a battle of speed
context: He got it!\lent waves creep closer...\That was fast!\The emotions experienced...\The fall paddy shacks...\There's nothing flashy about his playing style,\but he's taking cards against an opponent with good game sense!\He's refusing to be drawn into a battle of speed response:	and taking cards with accuracy.
context: lent waves creep closer...\That was fast!\The emotions experienced...\The fall paddy shacks...\There's nothing flashy about his playing style,\but he's taking cards against an opponent with good game sense!\He's refusing to be drawn into a battle of speed\and taking cards with accuracy. response:	Only one My card and one As card on the field.
context: That was fast!\The emotions experienced...\The fall paddy shacks...\There's nothing flashy about his playing style,\but he's taking cards against an opponent with good game sense!\He's refusing to be drawn into a battle of speed\and taking cards with accuracy.\Only one My card and one As card on the field. response:	Go straight for them.
context: The emotions experienced...\The fall paddy shacks...\There's nothing flashy about his playing style,\but he's taking cards against an opponent with good game sense!\He's refusing to be drawn into a battle of speed\and taking cards with accuracy.\Only one My card and one As card on the field.\Go straight for them. response:	I have five The cards on my side.
context: The fall paddy shacks...\There's nothing flashy about his playing style,\but he's taking cards against an opponent with good game sense!\He's refusing to be drawn into a battle of speed\and taking cards with accuracy.\Only one My card and one As card on the field.\Go straight for them.\I have five The cards on my side. response:	I've split them up.
context: There's nothing flashy about his playing style,\but he's taking cards against an opponent with good game sense!\He's refusing to be drawn into a battle of speed\and taking cards with accuracy.\Only one My card and one As card on the field.\Go straight for them.\I have five The cards on my side.\I've split them up. response:	Stay calm if she attacks on the first syllable.
context: but he's taking cards against an opponent with good game sense!\He's refusing to be drawn into a battle of speed\and taking cards with accuracy.\Only one My card and one As card on the field.\Go straight for them.\I have five The cards on my side.\I've split them up.\Stay calm if she attacks on the first syllable. response:	Use the upper left.
context: He's refusing to be drawn into a battle of speed\and taking cards with accuracy.\Only one My card and one As card on the field.\Go straight for them.\I have five The cards on my side.\I've split them up.\Stay calm if she attacks on the first syllable.\Use the upper left. response:	Draw my opponent's attention here.
context: and taking cards with accuracy.\Only one My card and one As card on the field.\Go straight for them.\I have five The cards on my side.\I've split them up.\Stay calm if she attacks on the first syllable.\Use the upper left.\Draw my opponent's attention here. response:	Keep my hand lower, lower.
context: Only one My card and one As card on the field.\Go straight for them.\I have five The cards on my side.\I've split them up.\Stay calm if she attacks on the first syllable.\Use the upper left.\Draw my opponent's attention here.\Keep my hand lower, lower. response:	If I cover the multi-syllable card at my lower right, she can't take it.
context: Go straight for them.\I have five The cards on my side.\I've split them up.\Stay calm if she attacks on the first syllable.\Use the upper left.\Draw my opponent's attention here.\Keep my hand lower, lower.\If I cover the multi-syllable card at my lower right, she can't take it. response:	When cards are split, go for the opponent's side first.
context: I have five The cards on my side.\I've split them up.\Stay calm if she attacks on the first syllable.\Use the upper left.\Draw my opponent's attention here.\Keep my hand lower, lower.\If I cover the multi-syllable card at my lower right, she can't take it.\When cards are split, go for the opponent's side first. response:	I have a fifty percent chance of taking it.
context: I've split them up.\Stay calm if she attacks on the first syllable.\Use the upper left.\Draw my opponent's attention here.\Keep my hand lower, lower.\If I cover the multi-syllable card at my lower right, she can't take it.\When cards are split, go for the opponent's side first.\I have a fifty percent chance of taking it. response:	Make sure my memorization is fresh.
context: Stay calm if she attacks on the first syllable.\Use the upper left.\Draw my opponent's attention here.\Keep my hand lower, lower.\If I cover the multi-syllable card at my lower right, she can't take it.\When cards are split, go for the opponent's side first.\I have a fifty percent chance of taking it.\Make sure my memorization is fresh. response:	Double check every card that's moved.
context: Use the upper left.\Draw my opponent's attention here.\Keep my hand lower, lower.\If I cover the multi-syllable card at my lower right, she can't take it.\When cards are split, go for the opponent's side first.\I have a fifty percent chance of taking it.\Make sure my memorization is fresh.\Double check every card that's moved. response:	Unique syllables are changing every moment.
context: Draw my opponent's attention here.\Keep my hand lower, lower.\If I cover the multi-syllable card at my lower right, she can't take it.\When cards are split, go for the opponent's side first.\I have a fifty percent chance of taking it.\Make sure my memorization is fresh.\Double check every card that's moved.\Unique syllables are changing every moment. response:	Keep building and confirming my memorization.
context: Keep my hand lower, lower.\If I cover the multi-syllable card at my lower right, she can't take it.\When cards are split, go for the opponent's side first.\I have a fifty percent chance of taking it.\Make sure my memorization is fresh.\Double check every card that's moved.\Unique syllables are changing every moment.\Keep building and confirming my memorization. response:	Give up on all of the one-syllable cards.
context: If I cover the multi-syllable card at my lower right, she can't take it.\When cards are split, go for the opponent's side first.\I have a fifty percent chance of taking it.\Make sure my memorization is fresh.\Double check every card that's moved.\Unique syllables are changing every moment.\Keep building and confirming my memorization.\Give up on all of the one-syllable cards. response:	Doesn't matter if I look lame.
context: When cards are split, go for the opponent's side first.\I have a fifty percent chance of taking it.\Make sure my memorization is fresh.\Double check every card that's moved.\Unique syllables are changing every moment.\Keep building and confirming my memorization.\Give up on all of the one-syllable cards.\Doesn't matter if I look lame. response:	Eyelashes, karuta comes down to talent and game sense.
context: I have a fifty percent chance of taking it.\Make sure my memorization is fresh.\Double check every card that's moved.\Unique syllables are changing every moment.\Keep building and confirming my memorization.\Give up on all of the one-syllable cards.\Doesn't matter if I look lame.\Eyelashes, karuta comes down to talent and game sense. response:	However, at the same time,
context: Make sure my memorization is fresh.\Double check every card that's moved.\Unique syllables are changing every moment.\Keep building and confirming my memorization.\Give up on all of the one-syllable cards.\Doesn't matter if I look lame.\Eyelashes, karuta comes down to talent and game sense.\However, at the same time, response:	karuta is about taking 10 cards from your opponent.
context: Double check every card that's moved.\Unique syllables are changing every moment.\Keep building and confirming my memorization.\Give up on all of the one-syllable cards.\Doesn't matter if I look lame.\Eyelashes, karuta comes down to talent and game sense.\However, at the same time,\karuta is about taking 10 cards from your opponent. response:	And keeping 15 of your own!
context: Unique syllables are changing every moment.\Keep building and confirming my memorization.\Give up on all of the one-syllable cards.\Doesn't matter if I look lame.\Eyelashes, karuta comes down to talent and game sense.\However, at the same time,\karuta is about taking 10 cards from your opponent.\And keeping 15 of your own! response:	Forget winning by a lot. By just one card is fine.
context: Keep building and confirming my memorization.\Give up on all of the one-syllable cards.\Doesn't matter if I look lame.\Eyelashes, karuta comes down to talent and game sense.\However, at the same time,\karuta is about taking 10 cards from your opponent.\And keeping 15 of your own!\Forget winning by a lot. By just one card is fine. response:	That one card is all I need.
context: Give up on all of the one-syllable cards.\Doesn't matter if I look lame.\Eyelashes, karuta comes down to talent and game sense.\However, at the same time,\karuta is about taking 10 cards from your opponent.\And keeping 15 of your own!\Forget winning by a lot. By just one card is fine.\That one card is all I need. response:	I want to beat Chihaya one day.
context: Doesn't matter if I look lame.\Eyelashes, karuta comes down to talent and game sense.\However, at the same time,\karuta is about taking 10 cards from your opponent.\And keeping 15 of your own!\Forget winning by a lot. By just one card is fine.\That one card is all I need.\I want to beat Chihaya one day. response:	Impassionate gods...
context: Eyelashes, karuta comes down to talent and game sense.\However, at the same time,\karuta is about taking 10 cards from your opponent.\And keeping 15 of your own!\Forget winning by a lot. By just one card is fine.\That one card is all I need.\I want to beat Chihaya one day.\Impassionate gods... response:	Thank you very much.
context: However, at the same time,\karuta is about taking 10 cards from your opponent.\And keeping 15 of your own!\Forget winning by a lot. By just one card is fine.\That one card is all I need.\I want to beat Chihaya one day.\Impassionate gods...\Thank you very much. response:	There's too much I'm lacking.
context: karuta is about taking 10 cards from your opponent.\And keeping 15 of your own!\Forget winning by a lot. By just one card is fine.\That one card is all I need.\I want to beat Chihaya one day.\Impassionate gods...\Thank you very much.\There's too much I'm lacking. response:	Rion doesn't have the necessary stamina.
context: And keeping 15 of your own!\Forget winning by a lot. By just one card is fine.\That one card is all I need.\I want to beat Chihaya one day.\Impassionate gods...\Thank you very much.\There's too much I'm lacking.\Rion doesn't have the necessary stamina. response:	She's never won five matches in a row.
context: Forget winning by a lot. By just one card is fine.\That one card is all I need.\I want to beat Chihaya one day.\Impassionate gods...\Thank you very much.\There's too much I'm lacking.\Rion doesn't have the necessary stamina.\She's never won five matches in a row. response:	Mizusawa's leader performed well.
context: That one card is all I need.\I want to beat Chihaya one day.\Impassionate gods...\Thank you very much.\There's too much I'm lacking.\Rion doesn't have the necessary stamina.\She's never won five matches in a row.\Mizusawa's leader performed well. response:	He's trained hard.
context: I want to beat Chihaya one day.\Impassionate gods...\Thank you very much.\There's too much I'm lacking.\Rion doesn't have the necessary stamina.\She's never won five matches in a row.\Mizusawa's leader performed well.\He's trained hard. response:	He's prepared to battle against talent.
context: Impassionate gods...\Thank you very much.\There's too much I'm lacking.\Rion doesn't have the necessary stamina.\She's never won five matches in a row.\Mizusawa's leader performed well.\He's trained hard.\He's prepared to battle against talent. response:	Mashima by 9 cards!
context: Thank you very much.\There's too much I'm lacking.\Rion doesn't have the necessary stamina.\She's never won five matches in a row.\Mizusawa's leader performed well.\He's trained hard.\He's prepared to battle against talent.\Mashima by 9 cards! response:	I won by 9 cards!
context: There's too much I'm lacking.\Rion doesn't have the necessary stamina.\She's never won five matches in a row.\Mizusawa's leader performed well.\He's trained hard.\He's prepared to battle against talent.\Mashima by 9 cards!\I won by 9 cards! response:	Don't just stand there!
context: Rion doesn't have the necessary stamina.\She's never won five matches in a row.\Mizusawa's leader performed well.\He's trained hard.\He's prepared to battle against talent.\Mashima by 9 cards!\I won by 9 cards!\Don't just stand there! response:	We're going to the second floor!
context: She's never won five matches in a row.\Mizusawa's leader performed well.\He's trained hard.\He's prepared to battle against talent.\Mashima by 9 cards!\I won by 9 cards!\Don't just stand there!\We're going to the second floor! response:	The Class A final isn't over yet!
context: Mizusawa's leader performed well.\He's trained hard.\He's prepared to battle against talent.\Mashima by 9 cards!\I won by 9 cards!\Don't just stand there!\We're going to the second floor!\The Class A final isn't over yet! response:	The Queen and Arata are playing!
context: He's trained hard.\He's prepared to battle against talent.\Mashima by 9 cards!\I won by 9 cards!\Don't just stand there!\We're going to the second floor!\The Class A final isn't over yet!\The Queen and Arata are playing! response:	We have to
context: He's prepared to battle against talent.\Mashima by 9 cards!\I won by 9 cards!\Don't just stand there!\We're going to the second floor!\The Class A final isn't over yet!\The Queen and Arata are playing!\We have to response:	You made it to Class A, Taichi.
context: Mashima by 9 cards!\I won by 9 cards!\Don't just stand there!\We're going to the second floor!\The Class A final isn't over yet!\The Queen and Arata are playing!\We have to\You made it to Class A, Taichi. response:	Congratulations.
