context: It seems I slightly underrated you, Elfman. response:	When it comes to tenacity and being able to take punishment,
context: and really get married!\Natsu!\You look good in that!\You too, Natsu!\When did this...?!\Come to think of it, when we were kids, I imagined that we would get...\Lucy, what are you doing?!\I'm sorry! response:	Hurry up and get offa me...
context: Natsu!\You look good in that!\You too, Natsu!\When did this...?!\Come to think of it, when we were kids, I imagined that we would get...\Lucy, what are you doing?!\I'm sorry!\Hurry up and get offa me... response:	The wedding showdown is over!
context: You look good in that!\You too, Natsu!\When did this...?!\Come to think of it, when we were kids, I imagined that we would get...\Lucy, what are you doing?!\I'm sorry!\Hurry up and get offa me...\The wedding showdown is over! response:	Let's go back to the swimsuit showdown!
context: You too, Natsu!\When did this...?!\Come to think of it, when we were kids, I imagined that we would get...\Lucy, what are you doing?!\I'm sorry!\Hurry up and get offa me...\The wedding showdown is over!\Let's go back to the swimsuit showdown! response:	I think it's about time for me to put in an appearance!
context: When did this...?!\Come to think of it, when we were kids, I imagined that we would get...\Lucy, what are you doing?!\I'm sorry!\Hurry up and get offa me...\The wedding showdown is over!\Let's go back to the swimsuit showdown!\I think it's about time for me to put in an appearance! response:	That's...
context: Come to think of it, when we were kids, I imagined that we would get...\Lucy, what are you doing?!\I'm sorry!\Hurry up and get offa me...\The wedding showdown is over!\Let's go back to the swimsuit showdown!\I think it's about time for me to put in an appearance!\That's... response:	Lamia Scale's Oba Babasama
context: Lucy, what are you doing?!\I'm sorry!\Hurry up and get offa me...\The wedding showdown is over!\Let's go back to the swimsuit showdown!\I think it's about time for me to put in an appearance!\That's...\Lamia Scale's Oba Babasama response:	is going to show you
context: I'm sorry!\Hurry up and get offa me...\The wedding showdown is over!\Let's go back to the swimsuit showdown!\I think it's about time for me to put in an appearance!\That's...\Lamia Scale's Oba Babasama\is going to show you response:	what a woman's charm is!
context: Hurry up and get offa me...\The wedding showdown is over!\Let's go back to the swimsuit showdown!\I think it's about time for me to put in an appearance!\That's...\Lamia Scale's Oba Babasama\is going to show you\what a woman's charm is! response:	With that single strike, the excitement in this arena went down the drain.
context: The wedding showdown is over!\Let's go back to the swimsuit showdown!\I think it's about time for me to put in an appearance!\That's...\Lamia Scale's Oba Babasama\is going to show you\what a woman's charm is!\With that single strike, the excitement in this arena went down the drain. response:	The interlopers suddenly lost interest and are returning to their seats.
context: Let's go back to the swimsuit showdown!\I think it's about time for me to put in an appearance!\That's...\Lamia Scale's Oba Babasama\is going to show you\what a woman's charm is!\With that single strike, the excitement in this arena went down the drain.\The interlopers suddenly lost interest and are returning to their seats. response:	Cool down...
context: I think it's about time for me to put in an appearance!\That's...\Lamia Scale's Oba Babasama\is going to show you\what a woman's charm is!\With that single strike, the excitement in this arena went down the drain.\The interlopers suddenly lost interest and are returning to their seats.\Cool down... response:	It looks like playtime is over, huh?
context: That's...\Lamia Scale's Oba Babasama\is going to show you\what a woman's charm is!\With that single strike, the excitement in this arena went down the drain.\The interlopers suddenly lost interest and are returning to their seats.\Cool down...\It looks like playtime is over, huh? response:	I'm a little disappointed. That was fun...
context: Lamia Scale's Oba Babasama\is going to show you\what a woman's charm is!\With that single strike, the excitement in this arena went down the drain.\The interlopers suddenly lost interest and are returning to their seats.\Cool down...\It looks like playtime is over, huh?\I'm a little disappointed. That was fun... response:	This match has gone on much longer than planned, so the next outfit will be the last!
context: is going to show you\what a woman's charm is!\With that single strike, the excitement in this arena went down the drain.\The interlopers suddenly lost interest and are returning to their seats.\Cool down...\It looks like playtime is over, huh?\I'm a little disappointed. That was fun...\This match has gone on much longer than planned, so the next outfit will be the last! response:	Here it is!
context: what a woman's charm is!\With that single strike, the excitement in this arena went down the drain.\The interlopers suddenly lost interest and are returning to their seats.\Cool down...\It looks like playtime is over, huh?\I'm a little disappointed. That was fun...\This match has gone on much longer than planned, so the next outfit will be the last!\Here it is! response:	With apologies to Mira, no matter what the theme is,
context: With that single strike, the excitement in this arena went down the drain.\The interlopers suddenly lost interest and are returning to their seats.\Cool down...\It looks like playtime is over, huh?\I'm a little disappointed. That was fun...\This match has gone on much longer than planned, so the next outfit will be the last!\Here it is!\With apologies to Mira, no matter what the theme is, response:	I've got a trick that guarantees my victory!
context: The interlopers suddenly lost interest and are returning to their seats.\Cool down...\It looks like playtime is over, huh?\I'm a little disappointed. That was fun...\This match has gone on much longer than planned, so the next outfit will be the last!\Here it is!\With apologies to Mira, no matter what the theme is,\I've got a trick that guarantees my victory! response:	Mira, this'll be the last one.
context: Cool down...\It looks like playtime is over, huh?\I'm a little disappointed. That was fun...\This match has gone on much longer than planned, so the next outfit will be the last!\Here it is!\With apologies to Mira, no matter what the theme is,\I've got a trick that guarantees my victory!\Mira, this'll be the last one. response:	Yep. And I'm not gonna lose!
context: It looks like playtime is over, huh?\I'm a little disappointed. That was fun...\This match has gone on much longer than planned, so the next outfit will be the last!\Here it is!\With apologies to Mira, no matter what the theme is,\I've got a trick that guarantees my victory!\Mira, this'll be the last one.\Yep. And I'm not gonna lose! response:	Why don't we go with the flow of the previous matches
context: I'm a little disappointed. That was fun...\This match has gone on much longer than planned, so the next outfit will be the last!\Here it is!\With apologies to Mira, no matter what the theme is,\I've got a trick that guarantees my victory!\Mira, this'll be the last one.\Yep. And I'm not gonna lose!\Why don't we go with the flow of the previous matches response:	and make a bet?
context: This match has gone on much longer than planned, so the next outfit will be the last!\Here it is!\With apologies to Mira, no matter what the theme is,\I've got a trick that guarantees my victory!\Mira, this'll be the last one.\Yep. And I'm not gonna lose!\Why don't we go with the flow of the previous matches\and make a bet? response:	Good idea. What are the stakes?
context: Here it is!\With apologies to Mira, no matter what the theme is,\I've got a trick that guarantees my victory!\Mira, this'll be the last one.\Yep. And I'm not gonna lose!\Why don't we go with the flow of the previous matches\and make a bet?\Good idea. What are the stakes? response:	How about the person who loses
context: With apologies to Mira, no matter what the theme is,\I've got a trick that guarantees my victory!\Mira, this'll be the last one.\Yep. And I'm not gonna lose!\Why don't we go with the flow of the previous matches\and make a bet?\Good idea. What are the stakes?\How about the person who loses response:	has to appear nude in the Weekly Sorcerer?!
context: I've got a trick that guarantees my victory!\Mira, this'll be the last one.\Yep. And I'm not gonna lose!\Why don't we go with the flow of the previous matches\and make a bet?\Good idea. What are the stakes?\How about the person who loses\has to appear nude in the Weekly Sorcerer?! response:	Mira-nee...
context: Mira, this'll be the last one.\Yep. And I'm not gonna lose!\Why don't we go with the flow of the previous matches\and make a bet?\Good idea. What are the stakes?\How about the person who loses\has to appear nude in the Weekly Sorcerer?!\Mira-nee... response:	For a second, I thought it wouldn't be bad if she lost...
context: Yep. And I'm not gonna lose!\Why don't we go with the flow of the previous matches\and make a bet?\Good idea. What are the stakes?\How about the person who loses\has to appear nude in the Weekly Sorcerer?!\Mira-nee...\For a second, I thought it wouldn't be bad if she lost... response:	I'm sorry. Me too...
context: Why don't we go with the flow of the previous matches\and make a bet?\Good idea. What are the stakes?\How about the person who loses\has to appear nude in the Weekly Sorcerer?!\Mira-nee...\For a second, I thought it wouldn't be bad if she lost...\I'm sorry. Me too... response:	Sure, why not?!
context: and make a bet?\Good idea. What are the stakes?\How about the person who loses\has to appear nude in the Weekly Sorcerer?!\Mira-nee...\For a second, I thought it wouldn't be bad if she lost...\I'm sorry. Me too...\Sure, why not?! response:	O-O-Oh my goodness! An unbelievable wager has just been made!
context: Good idea. What are the stakes?\How about the person who loses\has to appear nude in the Weekly Sorcerer?!\Mira-nee...\For a second, I thought it wouldn't be bad if she lost...\I'm sorry. Me too...\Sure, why not?!\O-O-Oh my goodness! An unbelievable wager has just been made! response:	She fell for it.
context: How about the person who loses\has to appear nude in the Weekly Sorcerer?!\Mira-nee...\For a second, I thought it wouldn't be bad if she lost...\I'm sorry. Me too...\Sure, why not?!\O-O-Oh my goodness! An unbelievable wager has just been made!\She fell for it. response:	Between me and Mira,
context: has to appear nude in the Weekly Sorcerer?!\Mira-nee...\For a second, I thought it wouldn't be bad if she lost...\I'm sorry. Me too...\Sure, why not?!\O-O-Oh my goodness! An unbelievable wager has just been made!\She fell for it.\Between me and Mira, response:	I don't know which of us has more fans out of the people in the stands,
context: Mira-nee...\For a second, I thought it wouldn't be bad if she lost...\I'm sorry. Me too...\Sure, why not?!\O-O-Oh my goodness! An unbelievable wager has just been made!\She fell for it.\Between me and Mira,\I don't know which of us has more fans out of the people in the stands, response:	but the key point is those three judges.
context: For a second, I thought it wouldn't be bad if she lost...\I'm sorry. Me too...\Sure, why not?!\O-O-Oh my goodness! An unbelievable wager has just been made!\She fell for it.\Between me and Mira,\I don't know which of us has more fans out of the people in the stands,\but the key point is those three judges. response:	Cool-cool-cool-cool-cool!
context: I'm sorry. Me too...\Sure, why not?!\O-O-Oh my goodness! An unbelievable wager has just been made!\She fell for it.\Between me and Mira,\I don't know which of us has more fans out of the people in the stands,\but the key point is those three judges.\Cool-cool-cool-cool-cool! response:	I coincidentally asked about their type of women during last night's dinner party,
context: Sure, why not?!\O-O-Oh my goodness! An unbelievable wager has just been made!\She fell for it.\Between me and Mira,\I don't know which of us has more fans out of the people in the stands,\but the key point is those three judges.\Cool-cool-cool-cool-cool!\I coincidentally asked about their type of women during last night's dinner party, response:	and it seems their preference is for younger women!
context: O-O-Oh my goodness! An unbelievable wager has just been made!\She fell for it.\Between me and Mira,\I don't know which of us has more fans out of the people in the stands,\but the key point is those three judges.\Cool-cool-cool-cool-cool!\I coincidentally asked about their type of women during last night's dinner party,\and it seems their preference is for younger women! response:	Mira hasn't aged for seven years.
context: She fell for it.\Between me and Mira,\I don't know which of us has more fans out of the people in the stands,\but the key point is those three judges.\Cool-cool-cool-cool-cool!\I coincidentally asked about their type of women during last night's dinner party,\and it seems their preference is for younger women!\Mira hasn't aged for seven years. response:	Which means she's young!
context: Between me and Mira,\I don't know which of us has more fans out of the people in the stands,\but the key point is those three judges.\Cool-cool-cool-cool-cool!\I coincidentally asked about their type of women during last night's dinner party,\and it seems their preference is for younger women!\Mira hasn't aged for seven years.\Which means she's young! response:	And Jason,
context: I don't know which of us has more fans out of the people in the stands,\but the key point is those three judges.\Cool-cool-cool-cool-cool!\I coincidentally asked about their type of women during last night's dinner party,\and it seems their preference is for younger women!\Mira hasn't aged for seven years.\Which means she's young!\And Jason, response:	I'm sure you'll choose Mira to sell more magazines.
context: but the key point is those three judges.\Cool-cool-cool-cool-cool!\I coincidentally asked about their type of women during last night's dinner party,\and it seems their preference is for younger women!\Mira hasn't aged for seven years.\Which means she's young!\And Jason,\I'm sure you'll choose Mira to sell more magazines. response:	After all, a beautiful model comes back after seven years without aging and she's nude!
context: Cool-cool-cool-cool-cool!\I coincidentally asked about their type of women during last night's dinner party,\and it seems their preference is for younger women!\Mira hasn't aged for seven years.\Which means she's young!\And Jason,\I'm sure you'll choose Mira to sell more magazines.\After all, a beautiful model comes back after seven years without aging and she's nude! response:	There's nothing to even think about.
context: I coincidentally asked about their type of women during last night's dinner party,\and it seems their preference is for younger women!\Mira hasn't aged for seven years.\Which means she's young!\And Jason,\I'm sure you'll choose Mira to sell more magazines.\After all, a beautiful model comes back after seven years without aging and she's nude!\There's nothing to even think about. response:	T-The final theme... is battle gear!
context: and it seems their preference is for younger women!\Mira hasn't aged for seven years.\Which means she's young!\And Jason,\I'm sure you'll choose Mira to sell more magazines.\After all, a beautiful model comes back after seven years without aging and she's nude!\There's nothing to even think about.\T-The final theme... is battle gear! response:	I'm sorry, Mira. Whatever the theme, I'll win.
context: Mira hasn't aged for seven years.\Which means she's young!\And Jason,\I'm sure you'll choose Mira to sell more magazines.\After all, a beautiful model comes back after seven years without aging and she's nude!\There's nothing to even think about.\T-The final theme... is battle gear!\I'm sorry, Mira. Whatever the theme, I'll win. response:	Just as I planned...
context: Which means she's young!\And Jason,\I'm sure you'll choose Mira to sell more magazines.\After all, a beautiful model comes back after seven years without aging and she's nude!\There's nothing to even think about.\T-The final theme... is battle gear!\I'm sorry, Mira. Whatever the theme, I'll win.\Just as I planned... response:	This is my battle form.
context: And Jason,\I'm sure you'll choose Mira to sell more magazines.\After all, a beautiful model comes back after seven years without aging and she's nude!\There's nothing to even think about.\T-The final theme... is battle gear!\I'm sorry, Mira. Whatever the theme, I'll win.\Just as I planned...\This is my battle form. response:	Then I'll change into mine.
context: I'm sure you'll choose Mira to sell more magazines.\After all, a beautiful model comes back after seven years without aging and she's nude!\There's nothing to even think about.\T-The final theme... is battle gear!\I'm sorry, Mira. Whatever the theme, I'll win.\Just as I planned...\This is my battle form.\Then I'll change into mine. response:	We went with the flow of previous matches and made a bet
context: After all, a beautiful model comes back after seven years without aging and she's nude!\There's nothing to even think about.\T-The final theme... is battle gear!\I'm sorry, Mira. Whatever the theme, I'll win.\Just as I planned...\This is my battle form.\Then I'll change into mine.\We went with the flow of previous matches and made a bet response:	so maybe it'll be okay
context: There's nothing to even think about.\T-The final theme... is battle gear!\I'm sorry, Mira. Whatever the theme, I'll win.\Just as I planned...\This is my battle form.\Then I'll change into mine.\We went with the flow of previous matches and made a bet\so maybe it'll be okay response:	to keep going with that flow and finish this with a little dust-up?
context: T-The final theme... is battle gear!\I'm sorry, Mira. Whatever the theme, I'll win.\Just as I planned...\This is my battle form.\Then I'll change into mine.\We went with the flow of previous matches and made a bet\so maybe it'll be okay\to keep going with that flow and finish this with a little dust-up? response:	What's that form?!
context: I'm sorry, Mira. Whatever the theme, I'll win.\Just as I planned...\This is my battle form.\Then I'll change into mine.\We went with the flow of previous matches and made a bet\so maybe it'll be okay\to keep going with that flow and finish this with a little dust-up?\What's that form?! response:	Mirajane's demonic Sitri form.
context: Just as I planned...\This is my battle form.\Then I'll change into mine.\We went with the flow of previous matches and made a bet\so maybe it'll be okay\to keep going with that flow and finish this with a little dust-up?\What's that form?!\Mirajane's demonic Sitri form. response:	From what I know, it's her strongest Satan Soul.
context: This is my battle form.\Then I'll change into mine.\We went with the flow of previous matches and made a bet\so maybe it'll be okay\to keep going with that flow and finish this with a little dust-up?\What's that form?!\Mirajane's demonic Sitri form.\From what I know, it's her strongest Satan Soul. response:	I accepted your bet.
context: Then I'll change into mine.\We went with the flow of previous matches and made a bet\so maybe it'll be okay\to keep going with that flow and finish this with a little dust-up?\What's that form?!\Mirajane's demonic Sitri form.\From what I know, it's her strongest Satan Soul.\I accepted your bet. response:	Now I want you to accept my power.
context: We went with the flow of previous matches and made a bet\so maybe it'll be okay\to keep going with that flow and finish this with a little dust-up?\What's that form?!\Mirajane's demonic Sitri form.\From what I know, it's her strongest Satan Soul.\I accepted your bet.\Now I want you to accept my power. response:	What?!
context: so maybe it'll be okay\to keep going with that flow and finish this with a little dust-up?\What's that form?!\Mirajane's demonic Sitri form.\From what I know, it's her strongest Satan Soul.\I accepted your bet.\Now I want you to accept my power.\What?! response:	Okay?
context: to keep going with that flow and finish this with a little dust-up?\What's that form?!\Mirajane's demonic Sitri form.\From what I know, it's her strongest Satan Soul.\I accepted your bet.\Now I want you to accept my power.\What?!\Okay? response:	A complete change! In the end, we got a physical fight!
context: What's that form?!\Mirajane's demonic Sitri form.\From what I know, it's her strongest Satan Soul.\I accepted your bet.\Now I want you to accept my power.\What?!\Okay?\A complete change! In the end, we got a physical fight! response:	Well, that is the original rule...
context: Mirajane's demonic Sitri form.\From what I know, it's her strongest Satan Soul.\I accepted your bet.\Now I want you to accept my power.\What?!\Okay?\A complete change! In the end, we got a physical fight!\Well, that is the original rule... response:	Cool! Cool! Cool!
context: From what I know, it's her strongest Satan Soul.\I accepted your bet.\Now I want you to accept my power.\What?!\Okay?\A complete change! In the end, we got a physical fight!\Well, that is the original rule...\Cool! Cool! Cool! response:	The winner... Mirajane!
context: I accepted your bet.\Now I want you to accept my power.\What?!\Okay?\A complete change! In the end, we got a physical fight!\Well, that is the original rule...\Cool! Cool! Cool!\The winner... Mirajane! response:	She did it!
context: Now I want you to accept my power.\What?!\Okay?\A complete change! In the end, we got a physical fight!\Well, that is the original rule...\Cool! Cool! Cool!\The winner... Mirajane!\She did it! response:	That's my Mira-nee!
context: What?!\Okay?\A complete change! In the end, we got a physical fight!\Well, that is the original rule...\Cool! Cool! Cool!\The winner... Mirajane!\She did it!\That's my Mira-nee! response:	She did it! She did it! She did it! She did it! She did it! She did it!
context: Okay?\A complete change! In the end, we got a physical fight!\Well, that is the original rule...\Cool! Cool! Cool!\The winner... Mirajane!\She did it!\That's my Mira-nee!\She did it! She did it! She did it! She did it! She did it! She did it! response:	No matter which won...
context: A complete change! In the end, we got a physical fight!\Well, that is the original rule...\Cool! Cool! Cool!\The winner... Mirajane!\She did it!\That's my Mira-nee!\She did it! She did it! She did it! She did it! She did it! She did it!\No matter which won... response:	We gotta buy the Sorcerer!
context: Well, that is the original rule...\Cool! Cool! Cool!\The winner... Mirajane!\She did it!\That's my Mira-nee!\She did it! She did it! She did it! She did it! She did it! She did it!\No matter which won...\We gotta buy the Sorcerer! response:	That's like the old Mira! Awesome!
context: Cool! Cool! Cool!\The winner... Mirajane!\She did it!\That's my Mira-nee!\She did it! She did it! She did it! She did it! She did it! She did it!\No matter which won...\We gotta buy the Sorcerer!\That's like the old Mira! Awesome! response:	I thought this was supposed to be a pinup model battle...
context: The winner... Mirajane!\She did it!\That's my Mira-nee!\She did it! She did it! She did it! She did it! She did it! She did it!\No matter which won...\We gotta buy the Sorcerer!\That's like the old Mira! Awesome!\I thought this was supposed to be a pinup model battle... response:	It was a pinup model battle.
context: She did it!\That's my Mira-nee!\She did it! She did it! She did it! She did it! She did it! She did it!\No matter which won...\We gotta buy the Sorcerer!\That's like the old Mira! Awesome!\I thought this was supposed to be a pinup model battle...\It was a pinup model battle. response:	But I don't think there was any no punching rule.
context: That's my Mira-nee!\She did it! She did it! She did it! She did it! She did it! She did it!\No matter which won...\We gotta buy the Sorcerer!\That's like the old Mira! Awesome!\I thought this was supposed to be a pinup model battle...\It was a pinup model battle.\But I don't think there was any no punching rule. response:	I'm trying to wrap my head around that one...
context: She did it! She did it! She did it! She did it! She did it! She did it!\No matter which won...\We gotta buy the Sorcerer!\That's like the old Mira! Awesome!\I thought this was supposed to be a pinup model battle...\It was a pinup model battle.\But I don't think there was any no punching rule.\I'm trying to wrap my head around that one... response:	Isn't that how she always is?
context: No matter which won...\We gotta buy the Sorcerer!\That's like the old Mira! Awesome!\I thought this was supposed to be a pinup model battle...\It was a pinup model battle.\But I don't think there was any no punching rule.\I'm trying to wrap my head around that one...\Isn't that how she always is? response:	Sorry!
context: We gotta buy the Sorcerer!\That's like the old Mira! Awesome!\I thought this was supposed to be a pinup model battle...\It was a pinup model battle.\But I don't think there was any no punching rule.\I'm trying to wrap my head around that one...\Isn't that how she always is?\Sorry! response:	I look forward to seeing you in your birthday suit, Jenny.
context: That's like the old Mira! Awesome!\I thought this was supposed to be a pinup model battle...\It was a pinup model battle.\But I don't think there was any no punching rule.\I'm trying to wrap my head around that one...\Isn't that how she always is?\Sorry!\I look forward to seeing you in your birthday suit, Jenny. response:	No!!
context: I thought this was supposed to be a pinup model battle...\It was a pinup model battle.\But I don't think there was any no punching rule.\I'm trying to wrap my head around that one...\Isn't that how she always is?\Sorry!\I look forward to seeing you in your birthday suit, Jenny.\No!! response:	Fairy Tail B receives ten points!
context: It was a pinup model battle.\But I don't think there was any no punching rule.\I'm trying to wrap my head around that one...\Isn't that how she always is?\Sorry!\I look forward to seeing you in your birthday suit, Jenny.\No!!\Fairy Tail B receives ten points! response:	That was incredible.
context: But I don't think there was any no punching rule.\I'm trying to wrap my head around that one...\Isn't that how she always is?\Sorry!\I look forward to seeing you in your birthday suit, Jenny.\No!!\Fairy Tail B receives ten points!\That was incredible. response:	Get it?
context: I'm trying to wrap my head around that one...\Isn't that how she always is?\Sorry!\I look forward to seeing you in your birthday suit, Jenny.\No!!\Fairy Tail B receives ten points!\That was incredible.\Get it? response:	She's not someone you wanna piss off.
context: Isn't that how she always is?\Sorry!\I look forward to seeing you in your birthday suit, Jenny.\No!!\Fairy Tail B receives ten points!\That was incredible.\Get it?\She's not someone you wanna piss off. response:	Understood.
context: Sorry!\I look forward to seeing you in your birthday suit, Jenny.\No!!\Fairy Tail B receives ten points!\That was incredible.\Get it?\She's not someone you wanna piss off.\Understood. response:	Congratulations, Mira-san.
context: I look forward to seeing you in your birthday suit, Jenny.\No!!\Fairy Tail B receives ten points!\That was incredible.\Get it?\She's not someone you wanna piss off.\Understood.\Congratulations, Mira-san. response:	I feel like I wore a lot of immodest outfits.
context: No!!\Fairy Tail B receives ten points!\That was incredible.\Get it?\She's not someone you wanna piss off.\Understood.\Congratulations, Mira-san.\I feel like I wore a lot of immodest outfits. response:	Although that last one had the most impact...
context: Fairy Tail B receives ten points!\That was incredible.\Get it?\She's not someone you wanna piss off.\Understood.\Congratulations, Mira-san.\I feel like I wore a lot of immodest outfits.\Although that last one had the most impact... response:	So now we have 12 points, the same as Natsu's team.
context: That was incredible.\Get it?\She's not someone you wanna piss off.\Understood.\Congratulations, Mira-san.\I feel like I wore a lot of immodest outfits.\Although that last one had the most impact...\So now we have 12 points, the same as Natsu's team. response:	What's wrong, Mystogan?
context: Get it?\She's not someone you wanna piss off.\Understood.\Congratulations, Mira-san.\I feel like I wore a lot of immodest outfits.\Although that last one had the most impact...\So now we have 12 points, the same as Natsu's team.\What's wrong, Mystogan? response:	Nothing...
context: She's not someone you wanna piss off.\Understood.\Congratulations, Mira-san.\I feel like I wore a lot of immodest outfits.\Although that last one had the most impact...\So now we have 12 points, the same as Natsu's team.\What's wrong, Mystogan?\Nothing... response:	Isn't he supposed to be the silent type?
context: Understood.\Congratulations, Mira-san.\I feel like I wore a lot of immodest outfits.\Although that last one had the most impact...\So now we have 12 points, the same as Natsu's team.\What's wrong, Mystogan?\Nothing...\Isn't he supposed to be the silent type? response:	Oh, that's right...
context: Congratulations, Mira-san.\I feel like I wore a lot of immodest outfits.\Although that last one had the most impact...\So now we have 12 points, the same as Natsu's team.\What's wrong, Mystogan?\Nothing...\Isn't he supposed to be the silent type?\Oh, that's right... response:	Even though the second day is about to be over...
context: I feel like I wore a lot of immodest outfits.\Although that last one had the most impact...\So now we have 12 points, the same as Natsu's team.\What's wrong, Mystogan?\Nothing...\Isn't he supposed to be the silent type?\Oh, that's right...\Even though the second day is about to be over... response:	What does this mean?
context: Although that last one had the most impact...\So now we have 12 points, the same as Natsu's team.\What's wrong, Mystogan?\Nothing...\Isn't he supposed to be the silent type?\Oh, that's right...\Even though the second day is about to be over...\What does this mean? response:	Captain Arcadios!
context: So now we have 12 points, the same as Natsu's team.\What's wrong, Mystogan?\Nothing...\Isn't he supposed to be the silent type?\Oh, that's right...\Even though the second day is about to be over...\What does this mean?\Captain Arcadios! response:	Well, well, Defense Minister Darton...
context: What's wrong, Mystogan?\Nothing...\Isn't he supposed to be the silent type?\Oh, that's right...\Even though the second day is about to be over...\What does this mean?\Captain Arcadios!\Well, well, Defense Minister Darton... response:	What do you think you're doing?!
context: Nothing...\Isn't he supposed to be the silent type?\Oh, that's right...\Even though the second day is about to be over...\What does this mean?\Captain Arcadios!\Well, well, Defense Minister Darton...\What do you think you're doing?! response:	Doing about what?
context: Isn't he supposed to be the silent type?\Oh, that's right...\Even though the second day is about to be over...\What does this mean?\Captain Arcadios!\Well, well, Defense Minister Darton...\What do you think you're doing?!\Doing about what? response:	Don't feign ignorance!
context: Oh, that's right...\Even though the second day is about to be over...\What does this mean?\Captain Arcadios!\Well, well, Defense Minister Darton...\What do you think you're doing?!\Doing about what?\Don't feign ignorance! response:	Why are you trying to get a hold of a Celestial Spirit Wizard now?!
context: Even though the second day is about to be over...\What does this mean?\Captain Arcadios!\Well, well, Defense Minister Darton...\What do you think you're doing?!\Doing about what?\Don't feign ignorance!\Why are you trying to get a hold of a Celestial Spirit Wizard now?! response:	Don't you think it's premature?
context: What does this mean?\Captain Arcadios!\Well, well, Defense Minister Darton...\What do you think you're doing?!\Doing about what?\Don't feign ignorance!\Why are you trying to get a hold of a Celestial Spirit Wizard now?!\Don't you think it's premature? response:	I want to make a trial run as soon as possible.
context: Captain Arcadios!\Well, well, Defense Minister Darton...\What do you think you're doing?!\Doing about what?\Don't feign ignorance!\Why are you trying to get a hold of a Celestial Spirit Wizard now?!\Don't you think it's premature?\I want to make a trial run as soon as possible. response:	It's still too early!
context: Well, well, Defense Minister Darton...\What do you think you're doing?!\Doing about what?\Don't feign ignorance!\Why are you trying to get a hold of a Celestial Spirit Wizard now?!\Don't you think it's premature?\I want to make a trial run as soon as possible.\It's still too early! response:	It isn't ready yet!
context: What do you think you're doing?!\Doing about what?\Don't feign ignorance!\Why are you trying to get a hold of a Celestial Spirit Wizard now?!\Don't you think it's premature?\I want to make a trial run as soon as possible.\It's still too early!\It isn't ready yet! response:	Defense Minister,
context: Doing about what?\Don't feign ignorance!\Why are you trying to get a hold of a Celestial Spirit Wizard now?!\Don't you think it's premature?\I want to make a trial run as soon as possible.\It's still too early!\It isn't ready yet!\Defense Minister, response:	please keep your voice down.
context: Don't feign ignorance!\Why are you trying to get a hold of a Celestial Spirit Wizard now?!\Don't you think it's premature?\I want to make a trial run as soon as possible.\It's still too early!\It isn't ready yet!\Defense Minister,\please keep your voice down. response:	Besides, it is indeed complete.
context: Why are you trying to get a hold of a Celestial Spirit Wizard now?!\Don't you think it's premature?\I want to make a trial run as soon as possible.\It's still too early!\It isn't ready yet!\Defense Minister,\please keep your voice down.\Besides, it is indeed complete. response:	What?!
context: Don't you think it's premature?\I want to make a trial run as soon as possible.\It's still too early!\It isn't ready yet!\Defense Minister,\please keep your voice down.\Besides, it is indeed complete.\What?! response:	Saying it wasn't ready was a lie of convenience, in order to come up with a budget.
context: I want to make a trial run as soon as possible.\It's still too early!\It isn't ready yet!\Defense Minister,\please keep your voice down.\Besides, it is indeed complete.\What?!\Saying it wasn't ready was a lie of convenience, in order to come up with a budget. response:	Now all we need is a Celestial Spirit Wizard
context: It's still too early!\It isn't ready yet!\Defense Minister,\please keep your voice down.\Besides, it is indeed complete.\What?!\Saying it wasn't ready was a lie of convenience, in order to come up with a budget.\Now all we need is a Celestial Spirit Wizard response:	and Eclipse will have reached the practical stage.
context: It isn't ready yet!\Defense Minister,\please keep your voice down.\Besides, it is indeed complete.\What?!\Saying it wasn't ready was a lie of convenience, in order to come up with a budget.\Now all we need is a Celestial Spirit Wizard\and Eclipse will have reached the practical stage. response:	I don't believe it...
context: Defense Minister,\please keep your voice down.\Besides, it is indeed complete.\What?!\Saying it wasn't ready was a lie of convenience, in order to come up with a budget.\Now all we need is a Celestial Spirit Wizard\and Eclipse will have reached the practical stage.\I don't believe it... response:	You're telling me it's been completed in merely seven years?!
context: please keep your voice down.\Besides, it is indeed complete.\What?!\Saying it wasn't ready was a lie of convenience, in order to come up with a budget.\Now all we need is a Celestial Spirit Wizard\and Eclipse will have reached the practical stage.\I don't believe it...\You're telling me it's been completed in merely seven years?! response:	The project shall now proceed to phase 4, plan B.
context: Besides, it is indeed complete.\What?!\Saying it wasn't ready was a lie of convenience, in order to come up with a budget.\Now all we need is a Celestial Spirit Wizard\and Eclipse will have reached the practical stage.\I don't believe it...\You're telling me it's been completed in merely seven years?!\The project shall now proceed to phase 4, plan B. response:	This time we will absolutely acquire a Celestial Spirit Wizard.
context: What?!\Saying it wasn't ready was a lie of convenience, in order to come up with a budget.\Now all we need is a Celestial Spirit Wizard\and Eclipse will have reached the practical stage.\I don't believe it...\You're telling me it's been completed in merely seven years?!\The project shall now proceed to phase 4, plan B.\This time we will absolutely acquire a Celestial Spirit Wizard. response:	It's already common knowledge that you're opposed to the Eclipse Project.
