context: The S Class Wizard Advancement Exam has finally begun! response:	The first test is to choose a battle route,
context: What are you trying to say?\It's a pretty out-there hypothesis, however...\What a pretty place!\Be careful.\Is Mest really a member of the guild?\What's this?!\Hurry, Lucy!\This island is nuts... response:	I might die here.
context: It's a pretty out-there hypothesis, however...\What a pretty place!\Be careful.\Is Mest really a member of the guild?\What's this?!\Hurry, Lucy!\This island is nuts...\I might die here. response:	To become S class, this ain't nothin'!
context: What a pretty place!\Be careful.\Is Mest really a member of the guild?\What's this?!\Hurry, Lucy!\This island is nuts...\I might die here.\To become S class, this ain't nothin'! response:	Way to put on a brave face!
context: Be careful.\Is Mest really a member of the guild?\What's this?!\Hurry, Lucy!\This island is nuts...\I might die here.\To become S class, this ain't nothin'!\Way to put on a brave face! response:	Over here, Evergreen!
context: Is Mest really a member of the guild?\What's this?!\Hurry, Lucy!\This island is nuts...\I might die here.\To become S class, this ain't nothin'!\Way to put on a brave face!\Over here, Evergreen! response:	Shut up! Don't order me around!
context: What's this?!\Hurry, Lucy!\This island is nuts...\I might die here.\To become S class, this ain't nothin'!\Way to put on a brave face!\Over here, Evergreen!\Shut up! Don't order me around! response:	Don't get...
context: Hurry, Lucy!\This island is nuts...\I might die here.\To become S class, this ain't nothin'!\Way to put on a brave face!\Over here, Evergreen!\Shut up! Don't order me around!\Don't get... response:	Bad luck for the ones who showed up in front of Natsu.
context: This island is nuts...\I might die here.\To become S class, this ain't nothin'!\Way to put on a brave face!\Over here, Evergreen!\Shut up! Don't order me around!\Don't get...\Bad luck for the ones who showed up in front of Natsu. response:	Good job as always, Natsu. Let's move on.
context: I might die here.\To become S class, this ain't nothin'!\Way to put on a brave face!\Over here, Evergreen!\Shut up! Don't order me around!\Don't get...\Bad luck for the ones who showed up in front of Natsu.\Good job as always, Natsu. Let's move on. response:	No, wait, Happy.
context: To become S class, this ain't nothin'!\Way to put on a brave face!\Over here, Evergreen!\Shut up! Don't order me around!\Don't get...\Bad luck for the ones who showed up in front of Natsu.\Good job as always, Natsu. Let's move on.\No, wait, Happy. response:	Tell me where the grave of the founding master is!
context: Way to put on a brave face!\Over here, Evergreen!\Shut up! Don't order me around!\Don't get...\Bad luck for the ones who showed up in front of Natsu.\Good job as always, Natsu. Let's move on.\No, wait, Happy.\Tell me where the grave of the founding master is! response:	He's talking to it!
context: Over here, Evergreen!\Shut up! Don't order me around!\Don't get...\Bad luck for the ones who showed up in front of Natsu.\Good job as always, Natsu. Let's move on.\No, wait, Happy.\Tell me where the grave of the founding master is!\He's talking to it! response:	I don't know...
context: Shut up! Don't order me around!\Don't get...\Bad luck for the ones who showed up in front of Natsu.\Good job as always, Natsu. Let's move on.\No, wait, Happy.\Tell me where the grave of the founding master is!\He's talking to it!\I don't know... response:	Oh.
context: Don't get...\Bad luck for the ones who showed up in front of Natsu.\Good job as always, Natsu. Let's move on.\No, wait, Happy.\Tell me where the grave of the founding master is!\He's talking to it!\I don't know...\Oh. response:	It talked!
context: Bad luck for the ones who showed up in front of Natsu.\Good job as always, Natsu. Let's move on.\No, wait, Happy.\Tell me where the grave of the founding master is!\He's talking to it!\I don't know...\Oh.\It talked! response:	But, having us search for a grave without even a hint...
context: Good job as always, Natsu. Let's move on.\No, wait, Happy.\Tell me where the grave of the founding master is!\He's talking to it!\I don't know...\Oh.\It talked!\But, having us search for a grave without even a hint... response:	This second test might be harder than we thought.
context: No, wait, Happy.\Tell me where the grave of the founding master is!\He's talking to it!\I don't know...\Oh.\It talked!\But, having us search for a grave without even a hint...\This second test might be harder than we thought. response:	Oh yeah... Wasn't this island shaped like this?
context: Tell me where the grave of the founding master is!\He's talking to it!\I don't know...\Oh.\It talked!\But, having us search for a grave without even a hint...\This second test might be harder than we thought.\Oh yeah... Wasn't this island shaped like this? response:	Yeah.
context: He's talking to it!\I don't know...\Oh.\It talked!\But, having us search for a grave without even a hint...\This second test might be harder than we thought.\Oh yeah... Wasn't this island shaped like this?\Yeah. response:	That top seem suspicious to you?
context: I don't know...\Oh.\It talked!\But, having us search for a grave without even a hint...\This second test might be harder than we thought.\Oh yeah... Wasn't this island shaped like this?\Yeah.\That top seem suspicious to you? response:	Totally!
context: Oh.\It talked!\But, having us search for a grave without even a hint...\This second test might be harder than we thought.\Oh yeah... Wasn't this island shaped like this?\Yeah.\That top seem suspicious to you?\Totally! response:	Right! I knew partnering with you was the right choice!
context: It talked!\But, having us search for a grave without even a hint...\This second test might be harder than we thought.\Oh yeah... Wasn't this island shaped like this?\Yeah.\That top seem suspicious to you?\Totally!\Right! I knew partnering with you was the right choice! response:	To the top, Happy!
context: But, having us search for a grave without even a hint...\This second test might be harder than we thought.\Oh yeah... Wasn't this island shaped like this?\Yeah.\That top seem suspicious to you?\Totally!\Right! I knew partnering with you was the right choice!\To the top, Happy! response:	Aye, sir!
context: This second test might be harder than we thought.\Oh yeah... Wasn't this island shaped like this?\Yeah.\That top seem suspicious to you?\Totally!\Right! I knew partnering with you was the right choice!\To the top, Happy!\Aye, sir! response:	This is the examiner's base on Tenroujima.
context: Oh yeah... Wasn't this island shaped like this?\Yeah.\That top seem suspicious to you?\Totally!\Right! I knew partnering with you was the right choice!\To the top, Happy!\Aye, sir!\This is the examiner's base on Tenroujima. response:	What?! Elfman and Evergreen are getting married?
context: Yeah.\That top seem suspicious to you?\Totally!\Right! I knew partnering with you was the right choice!\To the top, Happy!\Aye, sir!\This is the examiner's base on Tenroujima.\What?! Elfman and Evergreen are getting married? response:	And while I was still blanked out, they landed some attacks.
context: That top seem suspicious to you?\Totally!\Right! I knew partnering with you was the right choice!\To the top, Happy!\Aye, sir!\This is the examiner's base on Tenroujima.\What?! Elfman and Evergreen are getting married?\And while I was still blanked out, they landed some attacks. response:	Hold it!
context: Totally!\Right! I knew partnering with you was the right choice!\To the top, Happy!\Aye, sir!\This is the examiner's base on Tenroujima.\What?! Elfman and Evergreen are getting married?\And while I was still blanked out, they landed some attacks.\Hold it! response:	When's the wedding? And wait, when did those two start...
context: Right! I knew partnering with you was the right choice!\To the top, Happy!\Aye, sir!\This is the examiner's base on Tenroujima.\What?! Elfman and Evergreen are getting married?\And while I was still blanked out, they landed some attacks.\Hold it!\When's the wedding? And wait, when did those two start... response:	No... I think it was just a plan to throw me off guard.
context: To the top, Happy!\Aye, sir!\This is the examiner's base on Tenroujima.\What?! Elfman and Evergreen are getting married?\And while I was still blanked out, they landed some attacks.\Hold it!\When's the wedding? And wait, when did those two start...\No... I think it was just a plan to throw me off guard. response:	Guess I have a long way to go.
context: Aye, sir!\This is the examiner's base on Tenroujima.\What?! Elfman and Evergreen are getting married?\And while I was still blanked out, they landed some attacks.\Hold it!\When's the wedding? And wait, when did those two start...\No... I think it was just a plan to throw me off guard.\Guess I have a long way to go. response:	Is it really just a plan?
context: This is the examiner's base on Tenroujima.\What?! Elfman and Evergreen are getting married?\And while I was still blanked out, they landed some attacks.\Hold it!\When's the wedding? And wait, when did those two start...\No... I think it was just a plan to throw me off guard.\Guess I have a long way to go.\Is it really just a plan? response:	Those two? I don't really see it.
context: What?! Elfman and Evergreen are getting married?\And while I was still blanked out, they landed some attacks.\Hold it!\When's the wedding? And wait, when did those two start...\No... I think it was just a plan to throw me off guard.\Guess I have a long way to go.\Is it really just a plan?\Those two? I don't really see it. response:	I mean, if they get married and have a kid...
context: And while I was still blanked out, they landed some attacks.\Hold it!\When's the wedding? And wait, when did those two start...\No... I think it was just a plan to throw me off guard.\Guess I have a long way to go.\Is it really just a plan?\Those two? I don't really see it.\I mean, if they get married and have a kid... response:	Don't cry, Mira... It's cute the way you imagined it.
context: Hold it!\When's the wedding? And wait, when did those two start...\No... I think it was just a plan to throw me off guard.\Guess I have a long way to go.\Is it really just a plan?\Those two? I don't really see it.\I mean, if they get married and have a kid...\Don't cry, Mira... It's cute the way you imagined it. response:	Elf-niichan and Evergreen... They're kind of birds of a feather, actually.
context: When's the wedding? And wait, when did those two start...\No... I think it was just a plan to throw me off guard.\Guess I have a long way to go.\Is it really just a plan?\Those two? I don't really see it.\I mean, if they get married and have a kid...\Don't cry, Mira... It's cute the way you imagined it.\Elf-niichan and Evergreen... They're kind of birds of a feather, actually. response:	K-K-Kids...
context: No... I think it was just a plan to throw me off guard.\Guess I have a long way to go.\Is it really just a plan?\Those two? I don't really see it.\I mean, if they get married and have a kid...\Don't cry, Mira... It's cute the way you imagined it.\Elf-niichan and Evergreen... They're kind of birds of a feather, actually.\K-K-Kids... response:	By the way, where's Fried?
context: Guess I have a long way to go.\Is it really just a plan?\Those two? I don't really see it.\I mean, if they get married and have a kid...\Don't cry, Mira... It's cute the way you imagined it.\Elf-niichan and Evergreen... They're kind of birds of a feather, actually.\K-K-Kids...\By the way, where's Fried? response:	They went back to the guild with Gildarts.
context: Is it really just a plan?\Those two? I don't really see it.\I mean, if they get married and have a kid...\Don't cry, Mira... It's cute the way you imagined it.\Elf-niichan and Evergreen... They're kind of birds of a feather, actually.\K-K-Kids...\By the way, where's Fried?\They went back to the guild with Gildarts. response:	That was fast... I wish I could have seen him off.
context: Those two? I don't really see it.\I mean, if they get married and have a kid...\Don't cry, Mira... It's cute the way you imagined it.\Elf-niichan and Evergreen... They're kind of birds of a feather, actually.\K-K-Kids...\By the way, where's Fried?\They went back to the guild with Gildarts.\That was fast... I wish I could have seen him off. response:	Anyway, where did Mest and Wendy go?
context: I mean, if they get married and have a kid...\Don't cry, Mira... It's cute the way you imagined it.\Elf-niichan and Evergreen... They're kind of birds of a feather, actually.\K-K-Kids...\By the way, where's Fried?\They went back to the guild with Gildarts.\That was fast... I wish I could have seen him off.\Anyway, where did Mest and Wendy go? response:	They're late.
context: Don't cry, Mira... It's cute the way you imagined it.\Elf-niichan and Evergreen... They're kind of birds of a feather, actually.\K-K-Kids...\By the way, where's Fried?\They went back to the guild with Gildarts.\That was fast... I wish I could have seen him off.\Anyway, where did Mest and Wendy go?\They're late. response:	Did they forget the meeting place?
context: Elf-niichan and Evergreen... They're kind of birds of a feather, actually.\K-K-Kids...\By the way, where's Fried?\They went back to the guild with Gildarts.\That was fast... I wish I could have seen him off.\Anyway, where did Mest and Wendy go?\They're late.\Did they forget the meeting place? response:	Kids...
context: K-K-Kids...\By the way, where's Fried?\They went back to the guild with Gildarts.\That was fast... I wish I could have seen him off.\Anyway, where did Mest and Wendy go?\They're late.\Did they forget the meeting place?\Kids... response:	Mest, huh?
context: By the way, where's Fried?\They went back to the guild with Gildarts.\That was fast... I wish I could have seen him off.\Anyway, where did Mest and Wendy go?\They're late.\Did they forget the meeting place?\Kids...\Mest, huh? response:	Kids...
context: They went back to the guild with Gildarts.\That was fast... I wish I could have seen him off.\Anyway, where did Mest and Wendy go?\They're late.\Did they forget the meeting place?\Kids...\Mest, huh?\Kids... response:	I didn't meet him in Edolas, so I don't know much.
context: That was fast... I wish I could have seen him off.\Anyway, where did Mest and Wendy go?\They're late.\Did they forget the meeting place?\Kids...\Mest, huh?\Kids...\I didn't meet him in Edolas, so I don't know much. response:	He joined during the two years I was away, right?
context: Anyway, where did Mest and Wendy go?\They're late.\Did they forget the meeting place?\Kids...\Mest, huh?\Kids...\I didn't meet him in Edolas, so I don't know much.\He joined during the two years I was away, right? response:	Did he?
context: They're late.\Did they forget the meeting place?\Kids...\Mest, huh?\Kids...\I didn't meet him in Edolas, so I don't know much.\He joined during the two years I was away, right?\Did he? response:	I feel like he's always been there...
context: Did they forget the meeting place?\Kids...\Mest, huh?\Kids...\I didn't meet him in Edolas, so I don't know much.\He joined during the two years I was away, right?\Did he?\I feel like he's always been there... response:	Not much of a presence, I guess.
context: Kids...\Mest, huh?\Kids...\I didn't meet him in Edolas, so I don't know much.\He joined during the two years I was away, right?\Did he?\I feel like he's always been there...\Not much of a presence, I guess. response:	Juvia will go look for them.
context: Mest, huh?\Kids...\I didn't meet him in Edolas, so I don't know much.\He joined during the two years I was away, right?\Did he?\I feel like he's always been there...\Not much of a presence, I guess.\Juvia will go look for them. response:	It is a little worrying...
context: Kids...\I didn't meet him in Edolas, so I don't know much.\He joined during the two years I was away, right?\Did he?\I feel like he's always been there...\Not much of a presence, I guess.\Juvia will go look for them.\It is a little worrying... response:	Then I'll go as well.
context: I didn't meet him in Edolas, so I don't know much.\He joined during the two years I was away, right?\Did he?\I feel like he's always been there...\Not much of a presence, I guess.\Juvia will go look for them.\It is a little worrying...\Then I'll go as well. response:	Mira, Lisanna, stay here.
context: He joined during the two years I was away, right?\Did he?\I feel like he's always been there...\Not much of a presence, I guess.\Juvia will go look for them.\It is a little worrying...\Then I'll go as well.\Mira, Lisanna, stay here. response:	But Juvia wanted to go cheer on Gray-sama!
context: Did he?\I feel like he's always been there...\Not much of a presence, I guess.\Juvia will go look for them.\It is a little worrying...\Then I'll go as well.\Mira, Lisanna, stay here.\But Juvia wanted to go cheer on Gray-sama! response:	Those who are Men should not run from their enemies!
context: I feel like he's always been there...\Not much of a presence, I guess.\Juvia will go look for them.\It is a little worrying...\Then I'll go as well.\Mira, Lisanna, stay here.\But Juvia wanted to go cheer on Gray-sama!\Those who are Men should not run from their enemies! response:	Shut up! Can't you just be quiet?!
context: Not much of a presence, I guess.\Juvia will go look for them.\It is a little worrying...\Then I'll go as well.\Mira, Lisanna, stay here.\But Juvia wanted to go cheer on Gray-sama!\Those who are Men should not run from their enemies!\Shut up! Can't you just be quiet?! response:	Watch out!
context: Juvia will go look for them.\It is a little worrying...\Then I'll go as well.\Mira, Lisanna, stay here.\But Juvia wanted to go cheer on Gray-sama!\Those who are Men should not run from their enemies!\Shut up! Can't you just be quiet?!\Watch out! response:	Oww...
context: It is a little worrying...\Then I'll go as well.\Mira, Lisanna, stay here.\But Juvia wanted to go cheer on Gray-sama!\Those who are Men should not run from their enemies!\Shut up! Can't you just be quiet?!\Watch out!\Oww... response:	Hey! What do you think you're doing?!
context: Then I'll go as well.\Mira, Lisanna, stay here.\But Juvia wanted to go cheer on Gray-sama!\Those who are Men should not run from their enemies!\Shut up! Can't you just be quiet?!\Watch out!\Oww...\Hey! What do you think you're doing?! response:	That thing from before was a tactic to throw Mira off her guard! An act!
context: Mira, Lisanna, stay here.\But Juvia wanted to go cheer on Gray-sama!\Those who are Men should not run from their enemies!\Shut up! Can't you just be quiet?!\Watch out!\Oww...\Hey! What do you think you're doing?!\That thing from before was a tactic to throw Mira off her guard! An act! response:	I sure hope you didn't start thinking that I had a thing for you!
context: But Juvia wanted to go cheer on Gray-sama!\Those who are Men should not run from their enemies!\Shut up! Can't you just be quiet?!\Watch out!\Oww...\Hey! What do you think you're doing?!\That thing from before was a tactic to throw Mira off her guard! An act!\I sure hope you didn't start thinking that I had a thing for you! response:	Not even for a second.
context: Those who are Men should not run from their enemies!\Shut up! Can't you just be quiet?!\Watch out!\Oww...\Hey! What do you think you're doing?!\That thing from before was a tactic to throw Mira off her guard! An act!\I sure hope you didn't start thinking that I had a thing for you!\Not even for a second. response:	But I am thankful.
context: Shut up! Can't you just be quiet?!\Watch out!\Oww...\Hey! What do you think you're doing?!\That thing from before was a tactic to throw Mira off her guard! An act!\I sure hope you didn't start thinking that I had a thing for you!\Not even for a second.\But I am thankful. response:	That was one excellent under-handed plan you thought up.
context: Watch out!\Oww...\Hey! What do you think you're doing?!\That thing from before was a tactic to throw Mira off her guard! An act!\I sure hope you didn't start thinking that I had a thing for you!\Not even for a second.\But I am thankful.\That was one excellent under-handed plan you thought up. response:	Don't call it under-handed.
context: Oww...\Hey! What do you think you're doing?!\That thing from before was a tactic to throw Mira off her guard! An act!\I sure hope you didn't start thinking that I had a thing for you!\Not even for a second.\But I am thankful.\That was one excellent under-handed plan you thought up.\Don't call it under-handed. response:	People?
context: Hey! What do you think you're doing?!\That thing from before was a tactic to throw Mira off her guard! An act!\I sure hope you didn't start thinking that I had a thing for you!\Not even for a second.\But I am thankful.\That was one excellent under-handed plan you thought up.\Don't call it under-handed.\People? response:	People? On this island, people?
context: That thing from before was a tactic to throw Mira off her guard! An act!\I sure hope you didn't start thinking that I had a thing for you!\Not even for a second.\But I am thankful.\That was one excellent under-handed plan you thought up.\Don't call it under-handed.\People?\People? On this island, people? response:	And I'd thought there wouldn't be anyone at this place.
context: I sure hope you didn't start thinking that I had a thing for you!\Not even for a second.\But I am thankful.\That was one excellent under-handed plan you thought up.\Don't call it under-handed.\People?\People? On this island, people?\And I'd thought there wouldn't be anyone at this place. response:	Who the hell are you?
context: Not even for a second.\But I am thankful.\That was one excellent under-handed plan you thought up.\Don't call it under-handed.\People?\People? On this island, people?\And I'd thought there wouldn't be anyone at this place.\Who the hell are you? response:	Only members of our guild can enter here.
context: But I am thankful.\That was one excellent under-handed plan you thought up.\Don't call it under-handed.\People?\People? On this island, people?\And I'd thought there wouldn't be anyone at this place.\Who the hell are you?\Only members of our guild can enter here. response:	Guild? Oh... So this island was controlled by a guild.
context: That was one excellent under-handed plan you thought up.\Don't call it under-handed.\People?\People? On this island, people?\And I'd thought there wouldn't be anyone at this place.\Who the hell are you?\Only members of our guild can enter here.\Guild? Oh... So this island was controlled by a guild. response:	Hey, you!
context: Don't call it under-handed.\People?\People? On this island, people?\And I'd thought there wouldn't be anyone at this place.\Who the hell are you?\Only members of our guild can enter here.\Guild? Oh... So this island was controlled by a guild.\Hey, you! response:	Don't!
context: People?\People? On this island, people?\And I'd thought there wouldn't be anyone at this place.\Who the hell are you?\Only members of our guild can enter here.\Guild? Oh... So this island was controlled by a guild.\Hey, you!\Don't! response:	You mustn't get close to me...
context: People? On this island, people?\And I'd thought there wouldn't be anyone at this place.\Who the hell are you?\Only members of our guild can enter here.\Guild? Oh... So this island was controlled by a guild.\Hey, you!\Don't!\You mustn't get close to me... response:	What the hell are you saying?
context: And I'd thought there wouldn't be anyone at this place.\Who the hell are you?\Only members of our guild can enter here.\Guild? Oh... So this island was controlled by a guild.\Hey, you!\Don't!\You mustn't get close to me...\What the hell are you saying? response:	I know. I'll leave.
context: Who the hell are you?\Only members of our guild can enter here.\Guild? Oh... So this island was controlled by a guild.\Hey, you!\Don't!\You mustn't get close to me...\What the hell are you saying?\I know. I'll leave. response:	But, please...
context: Only members of our guild can enter here.\Guild? Oh... So this island was controlled by a guild.\Hey, you!\Don't!\You mustn't get close to me...\What the hell are you saying?\I know. I'll leave.\But, please... response:	Don't get close to me.
context: Guild? Oh... So this island was controlled by a guild.\Hey, you!\Don't!\You mustn't get close to me...\What the hell are you saying?\I know. I'll leave.\But, please...\Don't get close to me. response:	What's with this guy?
context: Hey, you!\Don't!\You mustn't get close to me...\What the hell are you saying?\I know. I'll leave.\But, please...\Don't get close to me.\What's with this guy? response:	Can we just leave him alone?
context: Don't!\You mustn't get close to me...\What the hell are you saying?\I know. I'll leave.\But, please...\Don't get close to me.\What's with this guy?\Can we just leave him alone? response:	I-It's no use!
context: You mustn't get close to me...\What the hell are you saying?\I know. I'll leave.\But, please...\Don't get close to me.\What's with this guy?\Can we just leave him alone?\I-It's no use! response:	Here it comes!
context: What the hell are you saying?\I know. I'll leave.\But, please...\Don't get close to me.\What's with this guy?\Can we just leave him alone?\I-It's no use!\Here it comes! response:	The predatory death...
context: I know. I'll leave.\But, please...\Don't get close to me.\What's with this guy?\Can we just leave him alone?\I-It's no use!\Here it comes!\The predatory death... response:	Get down!
context: But, please...\Don't get close to me.\What's with this guy?\Can we just leave him alone?\I-It's no use!\Here it comes!\The predatory death...\Get down! response:	Natsu?
context: Don't get close to me.\What's with this guy?\Can we just leave him alone?\I-It's no use!\Here it comes!\The predatory death...\Get down!\Natsu? response:	Who...
context: What's with this guy?\Can we just leave him alone?\I-It's no use!\Here it comes!\The predatory death...\Get down!\Natsu?\Who... response:	Who are you?!
context: Can we just leave him alone?\I-It's no use!\Here it comes!\The predatory death...\Get down!\Natsu?\Who...\Who are you?! response:	Maybe it's a little late, but why are you blue if you're a cat, Happy?
context: I-It's no use!\Here it comes!\The predatory death...\Get down!\Natsu?\Who...\Who are you?!\Maybe it's a little late, but why are you blue if you're a cat, Happy? response:	More like, 100 episodes too late.
context: Here it comes!\The predatory death...\Get down!\Natsu?\Who...\Who are you?!\Maybe it's a little late, but why are you blue if you're a cat, Happy?\More like, 100 episodes too late. response:	How am I supposed to know that, anyway?
context: The predatory death...\Get down!\Natsu?\Who...\Who are you?!\Maybe it's a little late, but why are you blue if you're a cat, Happy?\More like, 100 episodes too late.\How am I supposed to know that, anyway? response:	But I'm sure there's got to be a reason.
context: Get down!\Natsu?\Who...\Who are you?!\Maybe it's a little late, but why are you blue if you're a cat, Happy?\More like, 100 episodes too late.\How am I supposed to know that, anyway?\But I'm sure there's got to be a reason. response:	An old passerby told me that everything in this world has meaning, you know.
context: Natsu?\Who...\Who are you?!\Maybe it's a little late, but why are you blue if you're a cat, Happy?\More like, 100 episodes too late.\How am I supposed to know that, anyway?\But I'm sure there's got to be a reason.\An old passerby told me that everything in this world has meaning, you know. response:	An old passerby?
context: Who...\Who are you?!\Maybe it's a little late, but why are you blue if you're a cat, Happy?\More like, 100 episodes too late.\How am I supposed to know that, anyway?\But I'm sure there's got to be a reason.\An old passerby told me that everything in this world has meaning, you know.\An old passerby? response:	Not someone important from long ago?
context: Who are you?!\Maybe it's a little late, but why are you blue if you're a cat, Happy?\More like, 100 episodes too late.\How am I supposed to know that, anyway?\But I'm sure there's got to be a reason.\An old passerby told me that everything in this world has meaning, you know.\An old passerby?\Not someone important from long ago? response:	Next time: Black Wizard.
context: Maybe it's a little late, but why are you blue if you're a cat, Happy?\More like, 100 episodes too late.\How am I supposed to know that, anyway?\But I'm sure there's got to be a reason.\An old passerby told me that everything in this world has meaning, you know.\An old passerby?\Not someone important from long ago?\Next time: Black Wizard. response:	Maybe it's because I'm like the bluebird of happiness?
context: More like, 100 episodes too late.\How am I supposed to know that, anyway?\But I'm sure there's got to be a reason.\An old passerby told me that everything in this world has meaning, you know.\An old passerby?\Not someone important from long ago?\Next time: Black Wizard.\Maybe it's because I'm like the bluebird of happiness? response:	My name is Happy, and I have wings and fly!
context: How am I supposed to know that, anyway?\But I'm sure there's got to be a reason.\An old passerby told me that everything in this world has meaning, you know.\An old passerby?\Not someone important from long ago?\Next time: Black Wizard.\Maybe it's because I'm like the bluebird of happiness?\My name is Happy, and I have wings and fly! response:	Yeah, but you're a cat.
