context: Nanami-sama and the chief, response:	and the serious battle between the Princess and Rebecca-sama!
context: Yukikaze back to normal.\Yeah.\Yukki, can you try using the Brave Connect?\I'll try.\Brave Connect On!\I-I'm sorry!\I forgot that thing there.\That little one isn't a monster, but a sprite. response:	I took it there to set it free far from civilization, but...
context: Yeah.\Yukki, can you try using the Brave Connect?\I'll try.\Brave Connect On!\I-I'm sorry!\I forgot that thing there.\That little one isn't a monster, but a sprite.\I took it there to set it free far from civilization, but... response:	But last night you got too excited and forgot, right?
context: Yukki, can you try using the Brave Connect?\I'll try.\Brave Connect On!\I-I'm sorry!\I forgot that thing there.\That little one isn't a monster, but a sprite.\I took it there to set it free far from civilization, but...\But last night you got too excited and forgot, right? response:	How do we get back to normal?
context: I'll try.\Brave Connect On!\I-I'm sorry!\I forgot that thing there.\That little one isn't a monster, but a sprite.\I took it there to set it free far from civilization, but...\But last night you got too excited and forgot, right?\How do we get back to normal? response:	You should return to normal without having to do anything,
context: Brave Connect On!\I-I'm sorry!\I forgot that thing there.\That little one isn't a monster, but a sprite.\I took it there to set it free far from civilization, but...\But last night you got too excited and forgot, right?\How do we get back to normal?\You should return to normal without having to do anything, response:	but we're on our way there now.
context: I-I'm sorry!\I forgot that thing there.\That little one isn't a monster, but a sprite.\I took it there to set it free far from civilization, but...\But last night you got too excited and forgot, right?\How do we get back to normal?\You should return to normal without having to do anything,\but we're on our way there now. response:	We'll go there at supersonic speeds!
context: I forgot that thing there.\That little one isn't a monster, but a sprite.\I took it there to set it free far from civilization, but...\But last night you got too excited and forgot, right?\How do we get back to normal?\You should return to normal without having to do anything,\but we're on our way there now.\We'll go there at supersonic speeds! response:	Hey, Sink!
context: That little one isn't a monster, but a sprite.\I took it there to set it free far from civilization, but...\But last night you got too excited and forgot, right?\How do we get back to normal?\You should return to normal without having to do anything,\but we're on our way there now.\We'll go there at supersonic speeds!\Hey, Sink! response:	We're coming to pick you up!
context: I took it there to set it free far from civilization, but...\But last night you got too excited and forgot, right?\How do we get back to normal?\You should return to normal without having to do anything,\but we're on our way there now.\We'll go there at supersonic speeds!\Hey, Sink!\We're coming to pick you up! response:	We'll arrive at the Fuugetsu Lodge soon!
context: But last night you got too excited and forgot, right?\How do we get back to normal?\You should return to normal without having to do anything,\but we're on our way there now.\We'll go there at supersonic speeds!\Hey, Sink!\We're coming to pick you up!\We'll arrive at the Fuugetsu Lodge soon! response:	We have to explain this, right?
context: How do we get back to normal?\You should return to normal without having to do anything,\but we're on our way there now.\We'll go there at supersonic speeds!\Hey, Sink!\We're coming to pick you up!\We'll arrive at the Fuugetsu Lodge soon!\We have to explain this, right? response:	Yes.
context: You should return to normal without having to do anything,\but we're on our way there now.\We'll go there at supersonic speeds!\Hey, Sink!\We're coming to pick you up!\We'll arrive at the Fuugetsu Lodge soon!\We have to explain this, right?\Yes. response:	Your bodies got switched?
context: but we're on our way there now.\We'll go there at supersonic speeds!\Hey, Sink!\We're coming to pick you up!\We'll arrive at the Fuugetsu Lodge soon!\We have to explain this, right?\Yes.\Your bodies got switched? response:	Yes, right now I am Sink.
context: We'll go there at supersonic speeds!\Hey, Sink!\We're coming to pick you up!\We'll arrive at the Fuugetsu Lodge soon!\We have to explain this, right?\Yes.\Your bodies got switched?\Yes, right now I am Sink. response:	And I am Yukikaze!
context: Hey, Sink!\We're coming to pick you up!\We'll arrive at the Fuugetsu Lodge soon!\We have to explain this, right?\Yes.\Your bodies got switched?\Yes, right now I am Sink.\And I am Yukikaze! response:	A body switching sprite.
context: We're coming to pick you up!\We'll arrive at the Fuugetsu Lodge soon!\We have to explain this, right?\Yes.\Your bodies got switched?\Yes, right now I am Sink.\And I am Yukikaze!\A body switching sprite. response:	That's like a dream come true!
context: We'll arrive at the Fuugetsu Lodge soon!\We have to explain this, right?\Yes.\Your bodies got switched?\Yes, right now I am Sink.\And I am Yukikaze!\A body switching sprite.\That's like a dream come true! response:	With this thing the fun possibilities are nearly endless!
context: We have to explain this, right?\Yes.\Your bodies got switched?\Yes, right now I am Sink.\And I am Yukikaze!\A body switching sprite.\That's like a dream come true!\With this thing the fun possibilities are nearly endless! response:	Cou-sama! This is dangerous!
context: Yes.\Your bodies got switched?\Yes, right now I am Sink.\And I am Yukikaze!\A body switching sprite.\That's like a dream come true!\With this thing the fun possibilities are nearly endless!\Cou-sama! This is dangerous! response:	But... but...
context: Your bodies got switched?\Yes, right now I am Sink.\And I am Yukikaze!\A body switching sprite.\That's like a dream come true!\With this thing the fun possibilities are nearly endless!\Cou-sama! This is dangerous!\But... but... response:	We have to return it to Adel-sama. So no!
context: Yes, right now I am Sink.\And I am Yukikaze!\A body switching sprite.\That's like a dream come true!\With this thing the fun possibilities are nearly endless!\Cou-sama! This is dangerous!\But... but...\We have to return it to Adel-sama. So no! response:	Sink, Yukikaze, I'm sorry.
context: And I am Yukikaze!\A body switching sprite.\That's like a dream come true!\With this thing the fun possibilities are nearly endless!\Cou-sama! This is dangerous!\But... but...\We have to return it to Adel-sama. So no!\Sink, Yukikaze, I'm sorry. response:	This all happened because I found that jewel.
context: A body switching sprite.\That's like a dream come true!\With this thing the fun possibilities are nearly endless!\Cou-sama! This is dangerous!\But... but...\We have to return it to Adel-sama. So no!\Sink, Yukikaze, I'm sorry.\This all happened because I found that jewel. response:	No, no, no, no.
context: That's like a dream come true!\With this thing the fun possibilities are nearly endless!\Cou-sama! This is dangerous!\But... but...\We have to return it to Adel-sama. So no!\Sink, Yukikaze, I'm sorry.\This all happened because I found that jewel.\No, no, no, no. response:	This is nothing for you to worry about.
context: With this thing the fun possibilities are nearly endless!\Cou-sama! This is dangerous!\But... but...\We have to return it to Adel-sama. So no!\Sink, Yukikaze, I'm sorry.\This all happened because I found that jewel.\No, no, no, no.\This is nothing for you to worry about. response:	We were able to resolve it through our teamwork anyway.
context: Cou-sama! This is dangerous!\But... but...\We have to return it to Adel-sama. So no!\Sink, Yukikaze, I'm sorry.\This all happened because I found that jewel.\No, no, no, no.\This is nothing for you to worry about.\We were able to resolve it through our teamwork anyway. response:	This will be just another fun memory from the summer.
context: But... but...\We have to return it to Adel-sama. So no!\Sink, Yukikaze, I'm sorry.\This all happened because I found that jewel.\No, no, no, no.\This is nothing for you to worry about.\We were able to resolve it through our teamwork anyway.\This will be just another fun memory from the summer. response:	Right!
context: We have to return it to Adel-sama. So no!\Sink, Yukikaze, I'm sorry.\This all happened because I found that jewel.\No, no, no, no.\This is nothing for you to worry about.\We were able to resolve it through our teamwork anyway.\This will be just another fun memory from the summer.\Right! response:	Right, then we'll be taking Millihi-nee with us!
context: Sink, Yukikaze, I'm sorry.\This all happened because I found that jewel.\No, no, no, no.\This is nothing for you to worry about.\We were able to resolve it through our teamwork anyway.\This will be just another fun memory from the summer.\Right!\Right, then we'll be taking Millihi-nee with us! response:	See you two later!
context: This all happened because I found that jewel.\No, no, no, no.\This is nothing for you to worry about.\We were able to resolve it through our teamwork anyway.\This will be just another fun memory from the summer.\Right!\Right, then we'll be taking Millihi-nee with us!\See you two later! response:	Call us on the Brave Connect if anything happens.
context: No, no, no, no.\This is nothing for you to worry about.\We were able to resolve it through our teamwork anyway.\This will be just another fun memory from the summer.\Right!\Right, then we'll be taking Millihi-nee with us!\See you two later!\Call us on the Brave Connect if anything happens. response:	Okay!
context: This is nothing for you to worry about.\We were able to resolve it through our teamwork anyway.\This will be just another fun memory from the summer.\Right!\Right, then we'll be taking Millihi-nee with us!\See you two later!\Call us on the Brave Connect if anything happens.\Okay! response:	Have a safe trip!
context: We were able to resolve it through our teamwork anyway.\This will be just another fun memory from the summer.\Right!\Right, then we'll be taking Millihi-nee with us!\See you two later!\Call us on the Brave Connect if anything happens.\Okay!\Have a safe trip! response:	Let's relax a bit until Adel-sama arrives.
context: This will be just another fun memory from the summer.\Right!\Right, then we'll be taking Millihi-nee with us!\See you two later!\Call us on the Brave Connect if anything happens.\Okay!\Have a safe trip!\Let's relax a bit until Adel-sama arrives. response:	Sure.
context: Right!\Right, then we'll be taking Millihi-nee with us!\See you two later!\Call us on the Brave Connect if anything happens.\Okay!\Have a safe trip!\Let's relax a bit until Adel-sama arrives.\Sure. response:	But since we got dirty during the fight,
context: Right, then we'll be taking Millihi-nee with us!\See you two later!\Call us on the Brave Connect if anything happens.\Okay!\Have a safe trip!\Let's relax a bit until Adel-sama arrives.\Sure.\But since we got dirty during the fight, response:	how about a bath?
context: See you two later!\Call us on the Brave Connect if anything happens.\Okay!\Have a safe trip!\Let's relax a bit until Adel-sama arrives.\Sure.\But since we got dirty during the fight,\how about a bath? response:	That sounds good.
context: Call us on the Brave Connect if anything happens.\Okay!\Have a safe trip!\Let's relax a bit until Adel-sama arrives.\Sure.\But since we got dirty during the fight,\how about a bath?\That sounds good. response:	Wait, right now's no good!
context: Okay!\Have a safe trip!\Let's relax a bit until Adel-sama arrives.\Sure.\But since we got dirty during the fight,\how about a bath?\That sounds good.\Wait, right now's no good! response:	Huh? I don't see any problem.
context: Have a safe trip!\Let's relax a bit until Adel-sama arrives.\Sure.\But since we got dirty during the fight,\how about a bath?\That sounds good.\Wait, right now's no good!\Huh? I don't see any problem. response:	Are we back to normal?
context: Let's relax a bit until Adel-sama arrives.\Sure.\But since we got dirty during the fight,\how about a bath?\That sounds good.\Wait, right now's no good!\Huh? I don't see any problem.\Are we back to normal? response:	I'm back! Yay!
context: Sure.\But since we got dirty during the fight,\how about a bath?\That sounds good.\Wait, right now's no good!\Huh? I don't see any problem.\Are we back to normal?\I'm back! Yay! response:	Hooray!
context: But since we got dirty during the fight,\how about a bath?\That sounds good.\Wait, right now's no good!\Huh? I don't see any problem.\Are we back to normal?\I'm back! Yay!\Hooray! response:	My own body fits me the best.
context: how about a bath?\That sounds good.\Wait, right now's no good!\Huh? I don't see any problem.\Are we back to normal?\I'm back! Yay!\Hooray!\My own body fits me the best. response:	Indeed.
context: That sounds good.\Wait, right now's no good!\Huh? I don't see any problem.\Are we back to normal?\I'm back! Yay!\Hooray!\My own body fits me the best.\Indeed. response:	It just feels right.
context: Wait, right now's no good!\Huh? I don't see any problem.\Are we back to normal?\I'm back! Yay!\Hooray!\My own body fits me the best.\Indeed.\It just feels right. response:	Indeed.
context: Huh? I don't see any problem.\Are we back to normal?\I'm back! Yay!\Hooray!\My own body fits me the best.\Indeed.\It just feels right.\Indeed. response:	I really have to thank you
context: Are we back to normal?\I'm back! Yay!\Hooray!\My own body fits me the best.\Indeed.\It just feels right.\Indeed.\I really have to thank you response:	for treating my body with such care
context: I'm back! Yay!\Hooray!\My own body fits me the best.\Indeed.\It just feels right.\Indeed.\I really have to thank you\for treating my body with such care response:	when we were switched.
context: Hooray!\My own body fits me the best.\Indeed.\It just feels right.\Indeed.\I really have to thank you\for treating my body with such care\when we were switched. response:	I'm glad I didn't fall down or something.
context: My own body fits me the best.\Indeed.\It just feels right.\Indeed.\I really have to thank you\for treating my body with such care\when we were switched.\I'm glad I didn't fall down or something. response:	You looked cool in action, too.
context: Indeed.\It just feels right.\Indeed.\I really have to thank you\for treating my body with such care\when we were switched.\I'm glad I didn't fall down or something.\You looked cool in action, too. response:	That's because it's easy to move in your body.
context: It just feels right.\Indeed.\I really have to thank you\for treating my body with such care\when we were switched.\I'm glad I didn't fall down or something.\You looked cool in action, too.\That's because it's easy to move in your body. response:	If I try hard enough,
context: Indeed.\I really have to thank you\for treating my body with such care\when we were switched.\I'm glad I didn't fall down or something.\You looked cool in action, too.\That's because it's easy to move in your body.\If I try hard enough, response:	I think I can reproduce the Body Switching move.
context: I really have to thank you\for treating my body with such care\when we were switched.\I'm glad I didn't fall down or something.\You looked cool in action, too.\That's because it's easy to move in your body.\If I try hard enough,\I think I can reproduce the Body Switching move. response:	How about we try switching bodies and not telling anybody?
context: for treating my body with such care\when we were switched.\I'm glad I didn't fall down or something.\You looked cool in action, too.\That's because it's easy to move in your body.\If I try hard enough,\I think I can reproduce the Body Switching move.\How about we try switching bodies and not telling anybody? response:	Hero Sink is here!
context: when we were switched.\I'm glad I didn't fall down or something.\You looked cool in action, too.\That's because it's easy to move in your body.\If I try hard enough,\I think I can reproduce the Body Switching move.\How about we try switching bodies and not telling anybody?\Hero Sink is here! response:	Sounds like fun!
context: I'm glad I didn't fall down or something.\You looked cool in action, too.\That's because it's easy to move in your body.\If I try hard enough,\I think I can reproduce the Body Switching move.\How about we try switching bodies and not telling anybody?\Hero Sink is here!\Sounds like fun! response:	It's good Sink and Yuki-chan were able to return to normal.
context: You looked cool in action, too.\That's because it's easy to move in your body.\If I try hard enough,\I think I can reproduce the Body Switching move.\How about we try switching bodies and not telling anybody?\Hero Sink is here!\Sounds like fun!\It's good Sink and Yuki-chan were able to return to normal. response:	I'm so glad!
context: That's because it's easy to move in your body.\If I try hard enough,\I think I can reproduce the Body Switching move.\How about we try switching bodies and not telling anybody?\Hero Sink is here!\Sounds like fun!\It's good Sink and Yuki-chan were able to return to normal.\I'm so glad! response:	Since the Heroes have arrived,
context: If I try hard enough,\I think I can reproduce the Body Switching move.\How about we try switching bodies and not telling anybody?\Hero Sink is here!\Sounds like fun!\It's good Sink and Yuki-chan were able to return to normal.\I'm so glad!\Since the Heroes have arrived, response:	we haven't had a shortage of fun events.
context: I think I can reproduce the Body Switching move.\How about we try switching bodies and not telling anybody?\Hero Sink is here!\Sounds like fun!\It's good Sink and Yuki-chan were able to return to normal.\I'm so glad!\Since the Heroes have arrived,\we haven't had a shortage of fun events. response:	And lots of trouble.
context: How about we try switching bodies and not telling anybody?\Hero Sink is here!\Sounds like fun!\It's good Sink and Yuki-chan were able to return to normal.\I'm so glad!\Since the Heroes have arrived,\we haven't had a shortage of fun events.\And lots of trouble. response:	Since it's all fun, it's all good.
context: Hero Sink is here!\Sounds like fun!\It's good Sink and Yuki-chan were able to return to normal.\I'm so glad!\Since the Heroes have arrived,\we haven't had a shortage of fun events.\And lots of trouble.\Since it's all fun, it's all good. response:	For me there've been a lot of firsts...
context: Sounds like fun!\It's good Sink and Yuki-chan were able to return to normal.\I'm so glad!\Since the Heroes have arrived,\we haven't had a shortage of fun events.\And lots of trouble.\Since it's all fun, it's all good.\For me there've been a lot of firsts... response:	It's been a wonderful summer with plenty of great memories.
context: It's good Sink and Yuki-chan were able to return to normal.\I'm so glad!\Since the Heroes have arrived,\we haven't had a shortage of fun events.\And lots of trouble.\Since it's all fun, it's all good.\For me there've been a lot of firsts...\It's been a wonderful summer with plenty of great memories. response:	The Union Fest kind of went by in a blur.
context: I'm so glad!\Since the Heroes have arrived,\we haven't had a shortage of fun events.\And lots of trouble.\Since it's all fun, it's all good.\For me there've been a lot of firsts...\It's been a wonderful summer with plenty of great memories.\The Union Fest kind of went by in a blur. response:	The time for you Heroes to return is drawing closer, too.
context: Since the Heroes have arrived,\we haven't had a shortage of fun events.\And lots of trouble.\Since it's all fun, it's all good.\For me there've been a lot of firsts...\It's been a wonderful summer with plenty of great memories.\The Union Fest kind of went by in a blur.\The time for you Heroes to return is drawing closer, too. response:	I don't want to go home...
context: we haven't had a shortage of fun events.\And lots of trouble.\Since it's all fun, it's all good.\For me there've been a lot of firsts...\It's been a wonderful summer with plenty of great memories.\The Union Fest kind of went by in a blur.\The time for you Heroes to return is drawing closer, too.\I don't want to go home... response:	When you have days off over there,
context: And lots of trouble.\Since it's all fun, it's all good.\For me there've been a lot of firsts...\It's been a wonderful summer with plenty of great memories.\The Union Fest kind of went by in a blur.\The time for you Heroes to return is drawing closer, too.\I don't want to go home...\When you have days off over there, response:	Okay!
context: Since it's all fun, it's all good.\For me there've been a lot of firsts...\It's been a wonderful summer with plenty of great memories.\The Union Fest kind of went by in a blur.\The time for you Heroes to return is drawing closer, too.\I don't want to go home...\When you have days off over there,\Okay! response:	Next time, we'll have to summon you at a more relaxing time,
context: For me there've been a lot of firsts...\It's been a wonderful summer with plenty of great memories.\The Union Fest kind of went by in a blur.\The time for you Heroes to return is drawing closer, too.\I don't want to go home...\When you have days off over there,\Okay!\Next time, we'll have to summon you at a more relaxing time, response:	so you won't have as much work as this time.
context: It's been a wonderful summer with plenty of great memories.\The Union Fest kind of went by in a blur.\The time for you Heroes to return is drawing closer, too.\I don't want to go home...\When you have days off over there,\Okay!\Next time, we'll have to summon you at a more relaxing time,\so you won't have as much work as this time. response:	That's fine! I love the Hero work!
context: The Union Fest kind of went by in a blur.\The time for you Heroes to return is drawing closer, too.\I don't want to go home...\When you have days off over there,\Okay!\Next time, we'll have to summon you at a more relaxing time,\so you won't have as much work as this time.\That's fine! I love the Hero work! response:	Oh, but I'd like to go out with
context: The time for you Heroes to return is drawing closer, too.\I don't want to go home...\When you have days off over there,\Okay!\Next time, we'll have to summon you at a more relaxing time,\so you won't have as much work as this time.\That's fine! I love the Hero work!\Oh, but I'd like to go out with response:	the three rulers and the three Heroes
context: I don't want to go home...\When you have days off over there,\Okay!\Next time, we'll have to summon you at a more relaxing time,\so you won't have as much work as this time.\That's fine! I love the Hero work!\Oh, but I'd like to go out with\the three rulers and the three Heroes response:	before we go home.
context: When you have days off over there,\Okay!\Next time, we'll have to summon you at a more relaxing time,\so you won't have as much work as this time.\That's fine! I love the Hero work!\Oh, but I'd like to go out with\the three rulers and the three Heroes\before we go home. response:	True, at Pastillage that didn't really work out
context: Okay!\Next time, we'll have to summon you at a more relaxing time,\so you won't have as much work as this time.\That's fine! I love the Hero work!\Oh, but I'd like to go out with\the three rulers and the three Heroes\before we go home.\True, at Pastillage that didn't really work out response:	because of the trouble with the demon king.
context: Next time, we'll have to summon you at a more relaxing time,\so you won't have as much work as this time.\That's fine! I love the Hero work!\Oh, but I'd like to go out with\the three rulers and the three Heroes\before we go home.\True, at Pastillage that didn't really work out\because of the trouble with the demon king. response:	Let's have a nice summer memory of just being lazy!
context: so you won't have as much work as this time.\That's fine! I love the Hero work!\Oh, but I'd like to go out with\the three rulers and the three Heroes\before we go home.\True, at Pastillage that didn't really work out\because of the trouble with the demon king.\Let's have a nice summer memory of just being lazy! response:	It looks like I got too excited.
context: That's fine! I love the Hero work!\Oh, but I'd like to go out with\the three rulers and the three Heroes\before we go home.\True, at Pastillage that didn't really work out\because of the trouble with the demon king.\Let's have a nice summer memory of just being lazy!\It looks like I got too excited. response:	I've sealed away that mask.
context: Oh, but I'd like to go out with\the three rulers and the three Heroes\before we go home.\True, at Pastillage that didn't really work out\because of the trouble with the demon king.\Let's have a nice summer memory of just being lazy!\It looks like I got too excited.\I've sealed away that mask. response:	Final Stage
context: the three rulers and the three Heroes\before we go home.\True, at Pastillage that didn't really work out\because of the trouble with the demon king.\Let's have a nice summer memory of just being lazy!\It looks like I got too excited.\I've sealed away that mask.\Final Stage response:	Then let me show you my Ninja Art - Body Switching!
context: before we go home.\True, at Pastillage that didn't really work out\because of the trouble with the demon king.\Let's have a nice summer memory of just being lazy!\It looks like I got too excited.\I've sealed away that mask.\Final Stage\Then let me show you my Ninja Art - Body Switching! response:	We're not doing that!
