context: You're saying, people who drink that liquor become immortally young? response:	Surprised? You see, I'm an immortal.
context: I-I-It's them, all r-r-right!\G-G-Got'em!\I-I-Isaac! I-I-In front of us!\Lua! Get down from there and run, quickly!\No! You can't fight him! You'll be killed! Hurry and run away!\You fool! I told you to stay put!\Come back, Ladd!\Now then... response:	I'm going to get you to jump off of this train.
context: G-G-Got'em!\I-I-Isaac! I-I-In front of us!\Lua! Get down from there and run, quickly!\No! You can't fight him! You'll be killed! Hurry and run away!\You fool! I told you to stay put!\Come back, Ladd!\Now then...\I'm going to get you to jump off of this train. response:	What?!
context: I-I-Isaac! I-I-In front of us!\Lua! Get down from there and run, quickly!\No! You can't fight him! You'll be killed! Hurry and run away!\You fool! I told you to stay put!\Come back, Ladd!\Now then...\I'm going to get you to jump off of this train.\What?! response:	Why, you rotten scumbag!
context: Lua! Get down from there and run, quickly!\No! You can't fight him! You'll be killed! Hurry and run away!\You fool! I told you to stay put!\Come back, Ladd!\Now then...\I'm going to get you to jump off of this train.\What?!\Why, you rotten scumbag! response:	What will it be?
context: No! You can't fight him! You'll be killed! Hurry and run away!\You fool! I told you to stay put!\Come back, Ladd!\Now then...\I'm going to get you to jump off of this train.\What?!\Why, you rotten scumbag!\What will it be? response:	I thought you were going to be the one who kills this woman.
context: You fool! I told you to stay put!\Come back, Ladd!\Now then...\I'm going to get you to jump off of this train.\What?!\Why, you rotten scumbag!\What will it be?\I thought you were going to be the one who kills this woman. response:	What?!
context: Come back, Ladd!\Now then...\I'm going to get you to jump off of this train.\What?!\Why, you rotten scumbag!\What will it be?\I thought you were going to be the one who kills this woman.\What?! response:	That bastard!
context: Now then...\I'm going to get you to jump off of this train.\What?!\Why, you rotten scumbag!\What will it be?\I thought you were going to be the one who kills this woman.\What?!\That bastard! response:	Don't go doing things that don't make any sense.
context: I'm going to get you to jump off of this train.\What?!\Why, you rotten scumbag!\What will it be?\I thought you were going to be the one who kills this woman.\What?!\That bastard!\Don't go doing things that don't make any sense. response:	Ladd...
context: What?!\Why, you rotten scumbag!\What will it be?\I thought you were going to be the one who kills this woman.\What?!\That bastard!\Don't go doing things that don't make any sense.\Ladd... response:	I wish I could kill you, right now.
context: Why, you rotten scumbag!\What will it be?\I thought you were going to be the one who kills this woman.\What?!\That bastard!\Don't go doing things that don't make any sense.\Ladd...\I wish I could kill you, right now. response:	Donny is in the freight hold right now. Nice, you guys join up with him.
context: What will it be?\I thought you were going to be the one who kills this woman.\What?!\That bastard!\Don't go doing things that don't make any sense.\Ladd...\I wish I could kill you, right now.\Donny is in the freight hold right now. Nice, you guys join up with him. response:	It's safe to let Youn and Juan cover the dining car.
context: I thought you were going to be the one who kills this woman.\What?!\That bastard!\Don't go doing things that don't make any sense.\Ladd...\I wish I could kill you, right now.\Donny is in the freight hold right now. Nice, you guys join up with him.\It's safe to let Youn and Juan cover the dining car. response:	What about you, Jacuzzi?
context: What?!\That bastard!\Don't go doing things that don't make any sense.\Ladd...\I wish I could kill you, right now.\Donny is in the freight hold right now. Nice, you guys join up with him.\It's safe to let Youn and Juan cover the dining car.\What about you, Jacuzzi? response:	I'm going to draw them in.
context: That bastard!\Don't go doing things that don't make any sense.\Ladd...\I wish I could kill you, right now.\Donny is in the freight hold right now. Nice, you guys join up with him.\It's safe to let Youn and Juan cover the dining car.\What about you, Jacuzzi?\I'm going to draw them in. response:	Wait.
context: Don't go doing things that don't make any sense.\Ladd...\I wish I could kill you, right now.\Donny is in the freight hold right now. Nice, you guys join up with him.\It's safe to let Youn and Juan cover the dining car.\What about you, Jacuzzi?\I'm going to draw them in.\Wait. response:	This is the last cherry bomb I have. It doesn't have all that much force.
context: Ladd...\I wish I could kill you, right now.\Donny is in the freight hold right now. Nice, you guys join up with him.\It's safe to let Youn and Juan cover the dining car.\What about you, Jacuzzi?\I'm going to draw them in.\Wait.\This is the last cherry bomb I have. It doesn't have all that much force. response:	Thanks. I'll hold it in your place, Nice, and set it off with care.
context: I wish I could kill you, right now.\Donny is in the freight hold right now. Nice, you guys join up with him.\It's safe to let Youn and Juan cover the dining car.\What about you, Jacuzzi?\I'm going to draw them in.\Wait.\This is the last cherry bomb I have. It doesn't have all that much force.\Thanks. I'll hold it in your place, Nice, and set it off with care. response:	Don't go saying such ghastly things.
context: Donny is in the freight hold right now. Nice, you guys join up with him.\It's safe to let Youn and Juan cover the dining car.\What about you, Jacuzzi?\I'm going to draw them in.\Wait.\This is the last cherry bomb I have. It doesn't have all that much force.\Thanks. I'll hold it in your place, Nice, and set it off with care.\Don't go saying such ghastly things. response:	I'm going after him. You guys go through below, and come around.
context: It's safe to let Youn and Juan cover the dining car.\What about you, Jacuzzi?\I'm going to draw them in.\Wait.\This is the last cherry bomb I have. It doesn't have all that much force.\Thanks. I'll hold it in your place, Nice, and set it off with care.\Don't go saying such ghastly things.\I'm going after him. You guys go through below, and come around. response:	Yes, sir!
context: What about you, Jacuzzi?\I'm going to draw them in.\Wait.\This is the last cherry bomb I have. It doesn't have all that much force.\Thanks. I'll hold it in your place, Nice, and set it off with care.\Don't go saying such ghastly things.\I'm going after him. You guys go through below, and come around.\Yes, sir! response:	Hey, you...
context: I'm going to draw them in.\Wait.\This is the last cherry bomb I have. It doesn't have all that much force.\Thanks. I'll hold it in your place, Nice, and set it off with care.\Don't go saying such ghastly things.\I'm going after him. You guys go through below, and come around.\Yes, sir!\Hey, you... response:	Go and get it.
context: Wait.\This is the last cherry bomb I have. It doesn't have all that much force.\Thanks. I'll hold it in your place, Nice, and set it off with care.\Don't go saying such ghastly things.\I'm going after him. You guys go through below, and come around.\Yes, sir!\Hey, you...\Go and get it. response:	Come on up, and fight me!
context: This is the last cherry bomb I have. It doesn't have all that much force.\Thanks. I'll hold it in your place, Nice, and set it off with care.\Don't go saying such ghastly things.\I'm going after him. You guys go through below, and come around.\Yes, sir!\Hey, you...\Go and get it.\Come on up, and fight me! response:	That's some pluck you've got, boy.
context: Thanks. I'll hold it in your place, Nice, and set it off with care.\Don't go saying such ghastly things.\I'm going after him. You guys go through below, and come around.\Yes, sir!\Hey, you...\Go and get it.\Come on up, and fight me!\That's some pluck you've got, boy. response:	I'd like to have you in my ranks.
context: Don't go saying such ghastly things.\I'm going after him. You guys go through below, and come around.\Yes, sir!\Hey, you...\Go and get it.\Come on up, and fight me!\That's some pluck you've got, boy.\I'd like to have you in my ranks. response:	Damn!
context: I'm going after him. You guys go through below, and come around.\Yes, sir!\Hey, you...\Go and get it.\Come on up, and fight me!\That's some pluck you've got, boy.\I'd like to have you in my ranks.\Damn! response:	Where are my men below?!
context: Yes, sir!\Hey, you...\Go and get it.\Come on up, and fight me!\That's some pluck you've got, boy.\I'd like to have you in my ranks.\Damn!\Where are my men below?! response:	What's wrong?
context: Hey, you...\Go and get it.\Come on up, and fight me!\That's some pluck you've got, boy.\I'd like to have you in my ranks.\Damn!\Where are my men below?!\What's wrong? response:	The door is stuck.
context: Go and get it.\Come on up, and fight me!\That's some pluck you've got, boy.\I'd like to have you in my ranks.\Damn!\Where are my men below?!\What's wrong?\The door is stuck. response:	There were a whole bunch of guns that you all brought aboard in the freight hold.
context: Come on up, and fight me!\That's some pluck you've got, boy.\I'd like to have you in my ranks.\Damn!\Where are my men below?!\What's wrong?\The door is stuck.\There were a whole bunch of guns that you all brought aboard in the freight hold. response:	For shame. You've got to watch your hostages until it's all over.
context: That's some pluck you've got, boy.\I'd like to have you in my ranks.\Damn!\Where are my men below?!\What's wrong?\The door is stuck.\There were a whole bunch of guns that you all brought aboard in the freight hold.\For shame. You've got to watch your hostages until it's all over. response:	I've got nothing to light it with!
context: I'd like to have you in my ranks.\Damn!\Where are my men below?!\What's wrong?\The door is stuck.\There were a whole bunch of guns that you all brought aboard in the freight hold.\For shame. You've got to watch your hostages until it's all over.\I've got nothing to light it with! response:	Fool. You've given up, have you?
context: Damn!\Where are my men below?!\What's wrong?\The door is stuck.\There were a whole bunch of guns that you all brought aboard in the freight hold.\For shame. You've got to watch your hostages until it's all over.\I've got nothing to light it with!\Fool. You've given up, have you? response:	Are you... the Rail Tracer?
context: Where are my men below?!\What's wrong?\The door is stuck.\There were a whole bunch of guns that you all brought aboard in the freight hold.\For shame. You've got to watch your hostages until it's all over.\I've got nothing to light it with!\Fool. You've given up, have you?\Are you... the Rail Tracer? response:	Never mind, just take this, and pull it in as hard as you can.
context: What's wrong?\The door is stuck.\There were a whole bunch of guns that you all brought aboard in the freight hold.\For shame. You've got to watch your hostages until it's all over.\I've got nothing to light it with!\Fool. You've given up, have you?\Are you... the Rail Tracer?\Never mind, just take this, and pull it in as hard as you can. response:	W-What for?
context: The door is stuck.\There were a whole bunch of guns that you all brought aboard in the freight hold.\For shame. You've got to watch your hostages until it's all over.\I've got nothing to light it with!\Fool. You've given up, have you?\Are you... the Rail Tracer?\Never mind, just take this, and pull it in as hard as you can.\W-What for? response:	The kid notwithstanding, those other two have been fine passengers.
context: There were a whole bunch of guns that you all brought aboard in the freight hold.\For shame. You've got to watch your hostages until it's all over.\I've got nothing to light it with!\Fool. You've given up, have you?\Are you... the Rail Tracer?\Never mind, just take this, and pull it in as hard as you can.\W-What for?\The kid notwithstanding, those other two have been fine passengers. response:	This is bad!
context: For shame. You've got to watch your hostages until it's all over.\I've got nothing to light it with!\Fool. You've given up, have you?\Are you... the Rail Tracer?\Never mind, just take this, and pull it in as hard as you can.\W-What for?\The kid notwithstanding, those other two have been fine passengers.\This is bad! response:	What?
context: I've got nothing to light it with!\Fool. You've given up, have you?\Are you... the Rail Tracer?\Never mind, just take this, and pull it in as hard as you can.\W-What for?\The kid notwithstanding, those other two have been fine passengers.\This is bad!\What? response:	I-Isaac- san? Why are you...
context: Fool. You've given up, have you?\Are you... the Rail Tracer?\Never mind, just take this, and pull it in as hard as you can.\W-What for?\The kid notwithstanding, those other two have been fine passengers.\This is bad!\What?\I-Isaac- san? Why are you... response:	What just happened?
context: Are you... the Rail Tracer?\Never mind, just take this, and pull it in as hard as you can.\W-What for?\The kid notwithstanding, those other two have been fine passengers.\This is bad!\What?\I-Isaac- san? Why are you...\What just happened? response:	Ennis!
context: Never mind, just take this, and pull it in as hard as you can.\W-What for?\The kid notwithstanding, those other two have been fine passengers.\This is bad!\What?\I-Isaac- san? Why are you...\What just happened?\Ennis! response:	Ennis! Help Isaac!
context: W-What for?\The kid notwithstanding, those other two have been fine passengers.\This is bad!\What?\I-Isaac- san? Why are you...\What just happened?\Ennis!\Ennis! Help Isaac! response:	What's going on here?
context: The kid notwithstanding, those other two have been fine passengers.\This is bad!\What?\I-Isaac- san? Why are you...\What just happened?\Ennis!\Ennis! Help Isaac!\What's going on here? response:	Why do these two know your name? Why are they in my car?
context: This is bad!\What?\I-Isaac- san? Why are you...\What just happened?\Ennis!\Ennis! Help Isaac!\What's going on here?\Why do these two know your name? Why are they in my car? response:	I'll find out the reason later.
context: What?\I-Isaac- san? Why are you...\What just happened?\Ennis!\Ennis! Help Isaac!\What's going on here?\Why do these two know your name? Why are they in my car?\I'll find out the reason later. response:	Trade me places.
context: I-Isaac- san? Why are you...\What just happened?\Ennis!\Ennis! Help Isaac!\What's going on here?\Why do these two know your name? Why are they in my car?\I'll find out the reason later.\Trade me places. response:	If they resist, kill them.
context: What just happened?\Ennis!\Ennis! Help Isaac!\What's going on here?\Why do these two know your name? Why are they in my car?\I'll find out the reason later.\Trade me places.\If they resist, kill them. response:	To think that you would value their lives.
context: Ennis!\Ennis! Help Isaac!\What's going on here?\Why do these two know your name? Why are they in my car?\I'll find out the reason later.\Trade me places.\If they resist, kill them.\To think that you would value their lives. response:	You are a complete and utter fool.
context: Ennis! Help Isaac!\What's going on here?\Why do these two know your name? Why are they in my car?\I'll find out the reason later.\Trade me places.\If they resist, kill them.\To think that you would value their lives.\You are a complete and utter fool. response:	Ennis, you're kidding, right?
context: What's going on here?\Why do these two know your name? Why are they in my car?\I'll find out the reason later.\Trade me places.\If they resist, kill them.\To think that you would value their lives.\You are a complete and utter fool.\Ennis, you're kidding, right? response:	E-Ennis!
context: Why do these two know your name? Why are they in my car?\I'll find out the reason later.\Trade me places.\If they resist, kill them.\To think that you would value their lives.\You are a complete and utter fool.\Ennis, you're kidding, right?\E-Ennis! response:	That is the homunculus that I created.
context: I'll find out the reason later.\Trade me places.\If they resist, kill them.\To think that you would value their lives.\You are a complete and utter fool.\Ennis, you're kidding, right?\E-Ennis!\That is the homunculus that I created. response:	It is an ineffectual waste, which has no inborn knowledge,
context: Trade me places.\If they resist, kill them.\To think that you would value their lives.\You are a complete and utter fool.\Ennis, you're kidding, right?\E-Ennis!\That is the homunculus that I created.\It is an ineffectual waste, which has no inborn knowledge, response:	and no way of experiencing human feelings.
context: If they resist, kill them.\To think that you would value their lives.\You are a complete and utter fool.\Ennis, you're kidding, right?\E-Ennis!\That is the homunculus that I created.\It is an ineffectual waste, which has no inborn knowledge,\and no way of experiencing human feelings. response:	But right now, you're even lower than that good-for-nothing!
context: To think that you would value their lives.\You are a complete and utter fool.\Ennis, you're kidding, right?\E-Ennis!\That is the homunculus that I created.\It is an ineffectual waste, which has no inborn knowledge,\and no way of experiencing human feelings.\But right now, you're even lower than that good-for-nothing! response:	Looking up at the starry sky that goes on forever, we sing
context: You are a complete and utter fool.\Ennis, you're kidding, right?\E-Ennis!\That is the homunculus that I created.\It is an ineffectual waste, which has no inborn knowledge,\and no way of experiencing human feelings.\But right now, you're even lower than that good-for-nothing!\Looking up at the starry sky that goes on forever, we sing response:	a melody of a dream we have of our limited eternity
context: Ennis, you're kidding, right?\E-Ennis!\That is the homunculus that I created.\It is an ineffectual waste, which has no inborn knowledge,\and no way of experiencing human feelings.\But right now, you're even lower than that good-for-nothing!\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity response:	The water of adoration, overflowing in our hearts
context: E-Ennis!\That is the homunculus that I created.\It is an ineffectual waste, which has no inborn knowledge,\and no way of experiencing human feelings.\But right now, you're even lower than that good-for-nothing!\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts response:	will reach someone in the distant future
context: That is the homunculus that I created.\It is an ineffectual waste, which has no inborn knowledge,\and no way of experiencing human feelings.\But right now, you're even lower than that good-for-nothing!\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future response:	I believe so
context: It is an ineffectual waste, which has no inborn knowledge,\and no way of experiencing human feelings.\But right now, you're even lower than that good-for-nothing!\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so response:	Running through time prolonged,
context: and no way of experiencing human feelings.\But right now, you're even lower than that good-for-nothing!\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged, response:	our voices calling out will someday become a great song
context: But right now, you're even lower than that good-for-nothing!\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song response:	We can go on spinning our love
context: Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love response:	though it may still be such a tiny light now
context: a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now response:	Both loose people...
context: The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Both loose people... response:	Both mysterious people...
context: will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Both loose people...\Both mysterious people... response:	Both equal people...
context: I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Both loose people...\Both mysterious people...\Both equal people... response:	-Sing! -Sing
