context: It completely dried up. response:	It was a pretty dry season this year.
context: I love kind people!\I love warm people, too!\That's why I love people!\Natsume-sama...\Thank you, thank you!\I'm going now, Natsume-sama!\I'm going now!\And just as Tsubame said, it rained late in the night. response:	I wonder if Tsubame returned to her village.
context: I love warm people, too!\That's why I love people!\Natsume-sama...\Thank you, thank you!\I'm going now, Natsume-sama!\I'm going now!\And just as Tsubame said, it rained late in the night.\I wonder if Tsubame returned to her village. response:	It's easy for those who are tied to the land to return to it.
context: That's why I love people!\Natsume-sama...\Thank you, thank you!\I'm going now, Natsume-sama!\I'm going now!\And just as Tsubame said, it rained late in the night.\I wonder if Tsubame returned to her village.\It's easy for those who are tied to the land to return to it. response:	She might even have gone to heaven.
context: Natsume-sama...\Thank you, thank you!\I'm going now, Natsume-sama!\I'm going now!\And just as Tsubame said, it rained late in the night.\I wonder if Tsubame returned to her village.\It's easy for those who are tied to the land to return to it.\She might even have gone to heaven. response:	I hope so.
context: Thank you, thank you!\I'm going now, Natsume-sama!\I'm going now!\And just as Tsubame said, it rained late in the night.\I wonder if Tsubame returned to her village.\It's easy for those who are tied to the land to return to it.\She might even have gone to heaven.\I hope so. response:	Did you meet him?
context: I'm going now, Natsume-sama!\I'm going now!\And just as Tsubame said, it rained late in the night.\I wonder if Tsubame returned to her village.\It's easy for those who are tied to the land to return to it.\She might even have gone to heaven.\I hope so.\Did you meet him? response:	Good night, Tsubame.
context: I'm going now!\And just as Tsubame said, it rained late in the night.\I wonder if Tsubame returned to her village.\It's easy for those who are tied to the land to return to it.\She might even have gone to heaven.\I hope so.\Did you meet him?\Good night, Tsubame. response:	Sweet dreams.
context: And just as Tsubame said, it rained late in the night.\I wonder if Tsubame returned to her village.\It's easy for those who are tied to the land to return to it.\She might even have gone to heaven.\I hope so.\Did you meet him?\Good night, Tsubame.\Sweet dreams. response:	Geez! I just can't keep up with you, Natsume.
context: I wonder if Tsubame returned to her village.\It's easy for those who are tied to the land to return to it.\She might even have gone to heaven.\I hope so.\Did you meet him?\Good night, Tsubame.\Sweet dreams.\Geez! I just can't keep up with you, Natsume. response:	But you'll stay with me until the end, right?
context: It's easy for those who are tied to the land to return to it.\She might even have gone to heaven.\I hope so.\Did you meet him?\Good night, Tsubame.\Sweet dreams.\Geez! I just can't keep up with you, Natsume.\But you'll stay with me until the end, right? response:	Does that mean I can eat you?
context: She might even have gone to heaven.\I hope so.\Did you meet him?\Good night, Tsubame.\Sweet dreams.\Geez! I just can't keep up with you, Natsume.\But you'll stay with me until the end, right?\Does that mean I can eat you? response:	I wonder if you'll become attached to me one day.
context: I hope so.\Did you meet him?\Good night, Tsubame.\Sweet dreams.\Geez! I just can't keep up with you, Natsume.\But you'll stay with me until the end, right?\Does that mean I can eat you?\I wonder if you'll become attached to me one day. response:	What about you?
context: Did you meet him?\Good night, Tsubame.\Sweet dreams.\Geez! I just can't keep up with you, Natsume.\But you'll stay with me until the end, right?\Does that mean I can eat you?\I wonder if you'll become attached to me one day.\What about you? response:	Who knows?
context: Good night, Tsubame.\Sweet dreams.\Geez! I just can't keep up with you, Natsume.\But you'll stay with me until the end, right?\Does that mean I can eat you?\I wonder if you'll become attached to me one day.\What about you?\Who knows? response:	A girl wearing a flower-patterned yukata?
context: Sweet dreams.\Geez! I just can't keep up with you, Natsume.\But you'll stay with me until the end, right?\Does that mean I can eat you?\I wonder if you'll become attached to me one day.\What about you?\Who knows?\A girl wearing a flower-patterned yukata? response:	Yes.
context: Geez! I just can't keep up with you, Natsume.\But you'll stay with me until the end, right?\Does that mean I can eat you?\I wonder if you'll become attached to me one day.\What about you?\Who knows?\A girl wearing a flower-patterned yukata?\Yes. response:	At the neighborhood festival the other day.
context: But you'll stay with me until the end, right?\Does that mean I can eat you?\I wonder if you'll become attached to me one day.\What about you?\Who knows?\A girl wearing a flower-patterned yukata?\Yes.\At the neighborhood festival the other day. response:	Oh, that girl.
context: Does that mean I can eat you?\I wonder if you'll become attached to me one day.\What about you?\Who knows?\A girl wearing a flower-patterned yukata?\Yes.\At the neighborhood festival the other day.\Oh, that girl. response:	I met her, a quiet girl in a blue yukata.
context: I wonder if you'll become attached to me one day.\What about you?\Who knows?\A girl wearing a flower-patterned yukata?\Yes.\At the neighborhood festival the other day.\Oh, that girl.\I met her, a quiet girl in a blue yukata. response:	I see, that's great.
context: What about you?\Who knows?\A girl wearing a flower-patterned yukata?\Yes.\At the neighborhood festival the other day.\Oh, that girl.\I met her, a quiet girl in a blue yukata.\I see, that's great. response:	I know, want to have a look?
context: Who knows?\A girl wearing a flower-patterned yukata?\Yes.\At the neighborhood festival the other day.\Oh, that girl.\I met her, a quiet girl in a blue yukata.\I see, that's great.\I know, want to have a look? response:	I just got the photos from back then developed.
context: A girl wearing a flower-patterned yukata?\Yes.\At the neighborhood festival the other day.\Oh, that girl.\I met her, a quiet girl in a blue yukata.\I see, that's great.\I know, want to have a look?\I just got the photos from back then developed. response:	Here.
context: Yes.\At the neighborhood festival the other day.\Oh, that girl.\I met her, a quiet girl in a blue yukata.\I see, that's great.\I know, want to have a look?\I just got the photos from back then developed.\Here. response:	Yeah,
context: At the neighborhood festival the other day.\Oh, that girl.\I met her, a quiet girl in a blue yukata.\I see, that's great.\I know, want to have a look?\I just got the photos from back then developed.\Here.\Yeah, response:	I love them too.
context: Oh, that girl.\I met her, a quiet girl in a blue yukata.\I see, that's great.\I know, want to have a look?\I just got the photos from back then developed.\Here.\Yeah,\I love them too. response:	Kind people.
context: I met her, a quiet girl in a blue yukata.\I see, that's great.\I know, want to have a look?\I just got the photos from back then developed.\Here.\Yeah,\I love them too.\Kind people. response:	Warm people.
context: I see, that's great.\I know, want to have a look?\I just got the photos from back then developed.\Here.\Yeah,\I love them too.\Kind people.\Warm people. response:	I love people who pursue things they're attracted to and want to live earnestly.
context: I know, want to have a look?\I just got the photos from back then developed.\Here.\Yeah,\I love them too.\Kind people.\Warm people.\I love people who pursue things they're attracted to and want to live earnestly. response:	Mom, I met someone really strong and cool today!
context: I just got the photos from back then developed.\Here.\Yeah,\I love them too.\Kind people.\Warm people.\I love people who pursue things they're attracted to and want to live earnestly.\Mom, I met someone really strong and cool today! response:	I wonder if he's alone as well?
context: Here.\Yeah,\I love them too.\Kind people.\Warm people.\I love people who pursue things they're attracted to and want to live earnestly.\Mom, I met someone really strong and cool today!\I wonder if he's alone as well? response:	If he is, I wish he could live in the forest with me.
context: Yeah,\I love them too.\Kind people.\Warm people.\I love people who pursue things they're attracted to and want to live earnestly.\Mom, I met someone really strong and cool today!\I wonder if he's alone as well?\If he is, I wish he could live in the forest with me. response:	All right, let's go to the city!
context: I love them too.\Kind people.\Warm people.\I love people who pursue things they're attracted to and want to live earnestly.\Mom, I met someone really strong and cool today!\I wonder if he's alone as well?\If he is, I wish he could live in the forest with me.\All right, let's go to the city! response:	Let's go see, Natsume!
