context: Once upon a time, there was a princess raised by loving parents. response:	One day, the princess snuck past the guard at the gate and slipped out of the castle for the very first time.
context: But we're unable to realize that.\Because no matter how strange something is, we're made to believe that's how it was to begin with.\There's no one but me who can solve this mystery!\So I'm also the one qualified to change the world.\That's right, you can change the world.\Yes, you think so too, don't you?\Because you'll become the blood and flesh of the one who will change the world.\What a magnificent lady you are... response:	This way.
context: Because no matter how strange something is, we're made to believe that's how it was to begin with.\There's no one but me who can solve this mystery!\So I'm also the one qualified to change the world.\That's right, you can change the world.\Yes, you think so too, don't you?\Because you'll become the blood and flesh of the one who will change the world.\What a magnificent lady you are...\This way. response:	Wait up, Rue!
context: There's no one but me who can solve this mystery!\So I'm also the one qualified to change the world.\That's right, you can change the world.\Yes, you think so too, don't you?\Because you'll become the blood and flesh of the one who will change the world.\What a magnificent lady you are...\This way.\Wait up, Rue! response:	Where are you taking me?
context: So I'm also the one qualified to change the world.\That's right, you can change the world.\Yes, you think so too, don't you?\Because you'll become the blood and flesh of the one who will change the world.\What a magnificent lady you are...\This way.\Wait up, Rue!\Where are you taking me? response:	Somewhere... There's got to be another exit somewhere!
context: That's right, you can change the world.\Yes, you think so too, don't you?\Because you'll become the blood and flesh of the one who will change the world.\What a magnificent lady you are...\This way.\Wait up, Rue!\Where are you taking me?\Somewhere... There's got to be another exit somewhere! response:	It's no use.
context: Yes, you think so too, don't you?\Because you'll become the blood and flesh of the one who will change the world.\What a magnificent lady you are...\This way.\Wait up, Rue!\Where are you taking me?\Somewhere... There's got to be another exit somewhere!\It's no use. response:	What? Again?
context: Because you'll become the blood and flesh of the one who will change the world.\What a magnificent lady you are...\This way.\Wait up, Rue!\Where are you taking me?\Somewhere... There's got to be another exit somewhere!\It's no use.\What? Again? response:	What does this mean?
context: What a magnificent lady you are...\This way.\Wait up, Rue!\Where are you taking me?\Somewhere... There's got to be another exit somewhere!\It's no use.\What? Again?\What does this mean? response:	What's on the other side of this gate?
context: This way.\Wait up, Rue!\Where are you taking me?\Somewhere... There's got to be another exit somewhere!\It's no use.\What? Again?\What does this mean?\What's on the other side of this gate? response:	It glowed at this one too, just like I thought.
context: Wait up, Rue!\Where are you taking me?\Somewhere... There's got to be another exit somewhere!\It's no use.\What? Again?\What does this mean?\What's on the other side of this gate?\It glowed at this one too, just like I thought. response:	And again!
context: Where are you taking me?\Somewhere... There's got to be another exit somewhere!\It's no use.\What? Again?\What does this mean?\What's on the other side of this gate?\It glowed at this one too, just like I thought.\And again! response:	There must be heart shards outside the gates!
context: Somewhere... There's got to be another exit somewhere!\It's no use.\What? Again?\What does this mean?\What's on the other side of this gate?\It glowed at this one too, just like I thought.\And again!\There must be heart shards outside the gates! response:	O heart shards, where are you?
context: It's no use.\What? Again?\What does this mean?\What's on the other side of this gate?\It glowed at this one too, just like I thought.\And again!\There must be heart shards outside the gates!\O heart shards, where are you? response:	What?
context: What? Again?\What does this mean?\What's on the other side of this gate?\It glowed at this one too, just like I thought.\And again!\There must be heart shards outside the gates!\O heart shards, where are you?\What? response:	A wall?
context: What does this mean?\What's on the other side of this gate?\It glowed at this one too, just like I thought.\And again!\There must be heart shards outside the gates!\O heart shards, where are you?\What?\A wall? response:	What is this?
context: What's on the other side of this gate?\It glowed at this one too, just like I thought.\And again!\There must be heart shards outside the gates!\O heart shards, where are you?\What?\A wall?\What is this? response:	The grave of the man who toyed with stories at will,
context: It glowed at this one too, just like I thought.\And again!\There must be heart shards outside the gates!\O heart shards, where are you?\What?\A wall?\What is this?\The grave of the man who toyed with stories at will, response:	who broke down the wall between reality and story,
context: And again!\There must be heart shards outside the gates!\O heart shards, where are you?\What?\A wall?\What is this?\The grave of the man who toyed with stories at will,\who broke down the wall between reality and story, response:	and toyed with the fates of living people.
context: There must be heart shards outside the gates!\O heart shards, where are you?\What?\A wall?\What is this?\The grave of the man who toyed with stories at will,\who broke down the wall between reality and story,\and toyed with the fates of living people. response:	This is Drosselmeyer's grave...
context: O heart shards, where are you?\What?\A wall?\What is this?\The grave of the man who toyed with stories at will,\who broke down the wall between reality and story,\and toyed with the fates of living people.\This is Drosselmeyer's grave... response:	We'll cut off both your hands and seal them here.
context: What?\A wall?\What is this?\The grave of the man who toyed with stories at will,\who broke down the wall between reality and story,\and toyed with the fates of living people.\This is Drosselmeyer's grave...\We'll cut off both your hands and seal them here. response:	The outside of Gold Crown Town is all walls?
context: A wall?\What is this?\The grave of the man who toyed with stories at will,\who broke down the wall between reality and story,\and toyed with the fates of living people.\This is Drosselmeyer's grave...\We'll cut off both your hands and seal them here.\The outside of Gold Crown Town is all walls? response:	Stop it!
context: What is this?\The grave of the man who toyed with stories at will,\who broke down the wall between reality and story,\and toyed with the fates of living people.\This is Drosselmeyer's grave...\We'll cut off both your hands and seal them here.\The outside of Gold Crown Town is all walls?\Stop it! response:	I have to write!
context: The grave of the man who toyed with stories at will,\who broke down the wall between reality and story,\and toyed with the fates of living people.\This is Drosselmeyer's grave...\We'll cut off both your hands and seal them here.\The outside of Gold Crown Town is all walls?\Stop it!\I have to write! response:	Stop!
context: who broke down the wall between reality and story,\and toyed with the fates of living people.\This is Drosselmeyer's grave...\We'll cut off both your hands and seal them here.\The outside of Gold Crown Town is all walls?\Stop it!\I have to write!\Stop! response:	Princess Tutu!
context: and toyed with the fates of living people.\This is Drosselmeyer's grave...\We'll cut off both your hands and seal them here.\The outside of Gold Crown Town is all walls?\Stop it!\I have to write!\Stop!\Princess Tutu! response:	This is...
context: This is Drosselmeyer's grave...\We'll cut off both your hands and seal them here.\The outside of Gold Crown Town is all walls?\Stop it!\I have to write!\Stop!\Princess Tutu!\This is... response:	Thank you.
context: We'll cut off both your hands and seal them here.\The outside of Gold Crown Town is all walls?\Stop it!\I have to write!\Stop!\Princess Tutu!\This is...\Thank you. response:	I'm so glad.
context: The outside of Gold Crown Town is all walls?\Stop it!\I have to write!\Stop!\Princess Tutu!\This is...\Thank you.\I'm so glad. response:	Huh? What's this?
context: Stop it!\I have to write!\Stop!\Princess Tutu!\This is...\Thank you.\I'm so glad.\Huh? What's this? response:	What is this? What's going on here?!
context: I have to write!\Stop!\Princess Tutu!\This is...\Thank you.\I'm so glad.\Huh? What's this?\What is this? What's going on here?! response:	It's dangerous to show yourself before those repugnant people, Princess Tutu!
context: Stop!\Princess Tutu!\This is...\Thank you.\I'm so glad.\Huh? What's this?\What is this? What's going on here?!\It's dangerous to show yourself before those repugnant people, Princess Tutu! response:	Drosselmeyer did that?
context: Princess Tutu!\This is...\Thank you.\I'm so glad.\Huh? What's this?\What is this? What's going on here?!\It's dangerous to show yourself before those repugnant people, Princess Tutu!\Drosselmeyer did that? response:	In the end, everyone's a marionette.
context: This is...\Thank you.\I'm so glad.\Huh? What's this?\What is this? What's going on here?!\It's dangerous to show yourself before those repugnant people, Princess Tutu!\Drosselmeyer did that?\In the end, everyone's a marionette. response:	Right now, I feel at a loss.
context: Thank you.\I'm so glad.\Huh? What's this?\What is this? What's going on here?!\It's dangerous to show yourself before those repugnant people, Princess Tutu!\Drosselmeyer did that?\In the end, everyone's a marionette.\Right now, I feel at a loss. response:	It appears I've...
context: I'm so glad.\Huh? What's this?\What is this? What's going on here?!\It's dangerous to show yourself before those repugnant people, Princess Tutu!\Drosselmeyer did that?\In the end, everyone's a marionette.\Right now, I feel at a loss.\It appears I've... response:	Is this something the story has decided as well?
context: Huh? What's this?\What is this? What's going on here?!\It's dangerous to show yourself before those repugnant people, Princess Tutu!\Drosselmeyer did that?\In the end, everyone's a marionette.\Right now, I feel at a loss.\It appears I've...\Is this something the story has decided as well? response:	It appears I've fallen in love with you.
context: What is this? What's going on here?!\It's dangerous to show yourself before those repugnant people, Princess Tutu!\Drosselmeyer did that?\In the end, everyone's a marionette.\Right now, I feel at a loss.\It appears I've...\Is this something the story has decided as well?\It appears I've fallen in love with you. response:	With me?
context: It's dangerous to show yourself before those repugnant people, Princess Tutu!\Drosselmeyer did that?\In the end, everyone's a marionette.\Right now, I feel at a loss.\It appears I've...\Is this something the story has decided as well?\It appears I've fallen in love with you.\With me? response:	Yes.
context: Drosselmeyer did that?\In the end, everyone's a marionette.\Right now, I feel at a loss.\It appears I've...\Is this something the story has decided as well?\It appears I've fallen in love with you.\With me?\Yes. response:	Enough to give your life?
context: In the end, everyone's a marionette.\Right now, I feel at a loss.\It appears I've...\Is this something the story has decided as well?\It appears I've fallen in love with you.\With me?\Yes.\Enough to give your life? response:	Yes, if it's for your sake.
context: Right now, I feel at a loss.\It appears I've...\Is this something the story has decided as well?\It appears I've fallen in love with you.\With me?\Yes.\Enough to give your life?\Yes, if it's for your sake. response:	There's no way that could be true.
context: It appears I've...\Is this something the story has decided as well?\It appears I've fallen in love with you.\With me?\Yes.\Enough to give your life?\Yes, if it's for your sake.\There's no way that could be true. response:	I'm not lying! I...
context: Is this something the story has decided as well?\It appears I've fallen in love with you.\With me?\Yes.\Enough to give your life?\Yes, if it's for your sake.\There's no way that could be true.\I'm not lying! I... response:	Stop!
context: It appears I've fallen in love with you.\With me?\Yes.\Enough to give your life?\Yes, if it's for your sake.\There's no way that could be true.\I'm not lying! I...\Stop! response:	I can't not love you anymore.
context: With me?\Yes.\Enough to give your life?\Yes, if it's for your sake.\There's no way that could be true.\I'm not lying! I...\Stop!\I can't not love you anymore. response:	Go home.
context: Yes.\Enough to give your life?\Yes, if it's for your sake.\There's no way that could be true.\I'm not lying! I...\Stop!\I can't not love you anymore.\Go home. response:	This emotion isn't fake.
context: Enough to give your life?\Yes, if it's for your sake.\There's no way that could be true.\I'm not lying! I...\Stop!\I can't not love you anymore.\Go home.\This emotion isn't fake. response:	I'm sorry, Father. I'm a bad daughter...
context: Yes, if it's for your sake.\There's no way that could be true.\I'm not lying! I...\Stop!\I can't not love you anymore.\Go home.\This emotion isn't fake.\I'm sorry, Father. I'm a bad daughter... response:	But I couldn't do it.
context: There's no way that could be true.\I'm not lying! I...\Stop!\I can't not love you anymore.\Go home.\This emotion isn't fake.\I'm sorry, Father. I'm a bad daughter...\But I couldn't do it. response:	You're that man from the used book store...
context: I'm not lying! I...\Stop!\I can't not love you anymore.\Go home.\This emotion isn't fake.\I'm sorry, Father. I'm a bad daughter...\But I couldn't do it.\You're that man from the used book store... response:	Before Drosselmeyer lost his hands,
context: Stop!\I can't not love you anymore.\Go home.\This emotion isn't fake.\I'm sorry, Father. I'm a bad daughter...\But I couldn't do it.\You're that man from the used book store...\Before Drosselmeyer lost his hands, response:	he'd already made a device that would enable him
context: I can't not love you anymore.\Go home.\This emotion isn't fake.\I'm sorry, Father. I'm a bad daughter...\But I couldn't do it.\You're that man from the used book store...\Before Drosselmeyer lost his hands,\he'd already made a device that would enable him response:	to continue weaving stories even if he lost his body.
context: Go home.\This emotion isn't fake.\I'm sorry, Father. I'm a bad daughter...\But I couldn't do it.\You're that man from the used book store...\Before Drosselmeyer lost his hands,\he'd already made a device that would enable him\to continue weaving stories even if he lost his body. response:	The town is being controlled by stories because of that device,
context: This emotion isn't fake.\I'm sorry, Father. I'm a bad daughter...\But I couldn't do it.\You're that man from the used book store...\Before Drosselmeyer lost his hands,\he'd already made a device that would enable him\to continue weaving stories even if he lost his body.\The town is being controlled by stories because of that device, response:	but even we cannot tell which parts are real and which are fiction.
context: I'm sorry, Father. I'm a bad daughter...\But I couldn't do it.\You're that man from the used book store...\Before Drosselmeyer lost his hands,\he'd already made a device that would enable him\to continue weaving stories even if he lost his body.\The town is being controlled by stories because of that device,\but even we cannot tell which parts are real and which are fiction. response:	However!
context: But I couldn't do it.\You're that man from the used book store...\Before Drosselmeyer lost his hands,\he'd already made a device that would enable him\to continue weaving stories even if he lost his body.\The town is being controlled by stories because of that device,\but even we cannot tell which parts are real and which are fiction.\However! response:	No one inside Drosselmeyer's stories was expected to become Princess Tutu, and yet she appeared and tried to protect you.
context: You're that man from the used book store...\Before Drosselmeyer lost his hands,\he'd already made a device that would enable him\to continue weaving stories even if he lost his body.\The town is being controlled by stories because of that device,\but even we cannot tell which parts are real and which are fiction.\However!\No one inside Drosselmeyer's stories was expected to become Princess Tutu, and yet she appeared and tried to protect you. response:	And Princess Tutu was taken captive by Drosselmeyer.
context: Before Drosselmeyer lost his hands,\he'd already made a device that would enable him\to continue weaving stories even if he lost his body.\The town is being controlled by stories because of that device,\but even we cannot tell which parts are real and which are fiction.\However!\No one inside Drosselmeyer's stories was expected to become Princess Tutu, and yet she appeared and tried to protect you.\And Princess Tutu was taken captive by Drosselmeyer. response:	This story may have already progressed to a point where there is nothing we can do.
context: he'd already made a device that would enable him\to continue weaving stories even if he lost his body.\The town is being controlled by stories because of that device,\but even we cannot tell which parts are real and which are fiction.\However!\No one inside Drosselmeyer's stories was expected to become Princess Tutu, and yet she appeared and tried to protect you.\And Princess Tutu was taken captive by Drosselmeyer.\This story may have already progressed to a point where there is nothing we can do. response:	In that case, the only one who can fight is the one who carries the same blood.
context: to continue weaving stories even if he lost his body.\The town is being controlled by stories because of that device,\but even we cannot tell which parts are real and which are fiction.\However!\No one inside Drosselmeyer's stories was expected to become Princess Tutu, and yet she appeared and tried to protect you.\And Princess Tutu was taken captive by Drosselmeyer.\This story may have already progressed to a point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood. response:	So the one I'm up against isn't the raven, but Drosselmeyer's story itself?
context: The town is being controlled by stories because of that device,\but even we cannot tell which parts are real and which are fiction.\However!\No one inside Drosselmeyer's stories was expected to become Princess Tutu, and yet she appeared and tried to protect you.\And Princess Tutu was taken captive by Drosselmeyer.\This story may have already progressed to a point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood.\So the one I'm up against isn't the raven, but Drosselmeyer's story itself? response:	May we believe that you are not someone who toys around with stories?
context: but even we cannot tell which parts are real and which are fiction.\However!\No one inside Drosselmeyer's stories was expected to become Princess Tutu, and yet she appeared and tried to protect you.\And Princess Tutu was taken captive by Drosselmeyer.\This story may have already progressed to a point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood.\So the one I'm up against isn't the raven, but Drosselmeyer's story itself?\May we believe that you are not someone who toys around with stories? response:	But there's still something I'm lacking.
context: However!\No one inside Drosselmeyer's stories was expected to become Princess Tutu, and yet she appeared and tried to protect you.\And Princess Tutu was taken captive by Drosselmeyer.\This story may have already progressed to a point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood.\So the one I'm up against isn't the raven, but Drosselmeyer's story itself?\May we believe that you are not someone who toys around with stories?\But there's still something I'm lacking. response:	I don't even know what it is I'm lacking, so I can't even start writing.
context: No one inside Drosselmeyer's stories was expected to become Princess Tutu, and yet she appeared and tried to protect you.\And Princess Tutu was taken captive by Drosselmeyer.\This story may have already progressed to a point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood.\So the one I'm up against isn't the raven, but Drosselmeyer's story itself?\May we believe that you are not someone who toys around with stories?\But there's still something I'm lacking.\I don't even know what it is I'm lacking, so I can't even start writing. response:	We can't do anything about that. It's the wall you must surmount.
context: And Princess Tutu was taken captive by Drosselmeyer.\This story may have already progressed to a point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood.\So the one I'm up against isn't the raven, but Drosselmeyer's story itself?\May we believe that you are not someone who toys around with stories?\But there's still something I'm lacking.\I don't even know what it is I'm lacking, so I can't even start writing.\We can't do anything about that. It's the wall you must surmount. response:	If you attempt to lead the story down an abominable path, we will have to carry out our duty once more.
context: This story may have already progressed to a point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood.\So the one I'm up against isn't the raven, but Drosselmeyer's story itself?\May we believe that you are not someone who toys around with stories?\But there's still something I'm lacking.\I don't even know what it is I'm lacking, so I can't even start writing.\We can't do anything about that. It's the wall you must surmount.\If you attempt to lead the story down an abominable path, we will have to carry out our duty once more. response:	You would do well to remember that.
context: In that case, the only one who can fight is the one who carries the same blood.\So the one I'm up against isn't the raven, but Drosselmeyer's story itself?\May we believe that you are not someone who toys around with stories?\But there's still something I'm lacking.\I don't even know what it is I'm lacking, so I can't even start writing.\We can't do anything about that. It's the wall you must surmount.\If you attempt to lead the story down an abominable path, we will have to carry out our duty once more.\You would do well to remember that. response:	Drosselmeyer...
context: So the one I'm up against isn't the raven, but Drosselmeyer's story itself?\May we believe that you are not someone who toys around with stories?\But there's still something I'm lacking.\I don't even know what it is I'm lacking, so I can't even start writing.\We can't do anything about that. It's the wall you must surmount.\If you attempt to lead the story down an abominable path, we will have to carry out our duty once more.\You would do well to remember that.\Drosselmeyer... response:	The man who toys with the fates of Mytho and everyone else.
context: May we believe that you are not someone who toys around with stories?\But there's still something I'm lacking.\I don't even know what it is I'm lacking, so I can't even start writing.\We can't do anything about that. It's the wall you must surmount.\If you attempt to lead the story down an abominable path, we will have to carry out our duty once more.\You would do well to remember that.\Drosselmeyer...\The man who toys with the fates of Mytho and everyone else. response:	But do I really have enough power to fight him?
context: But there's still something I'm lacking.\I don't even know what it is I'm lacking, so I can't even start writing.\We can't do anything about that. It's the wall you must surmount.\If you attempt to lead the story down an abominable path, we will have to carry out our duty once more.\You would do well to remember that.\Drosselmeyer...\The man who toys with the fates of Mytho and everyone else.\But do I really have enough power to fight him? response:	Can I save Mytho?
context: I don't even know what it is I'm lacking, so I can't even start writing.\We can't do anything about that. It's the wall you must surmount.\If you attempt to lead the story down an abominable path, we will have to carry out our duty once more.\You would do well to remember that.\Drosselmeyer...\The man who toys with the fates of Mytho and everyone else.\But do I really have enough power to fight him?\Can I save Mytho? response:	Can I bring Tutu back?
context: We can't do anything about that. It's the wall you must surmount.\If you attempt to lead the story down an abominable path, we will have to carry out our duty once more.\You would do well to remember that.\Drosselmeyer...\The man who toys with the fates of Mytho and everyone else.\But do I really have enough power to fight him?\Can I save Mytho?\Can I bring Tutu back? response:	You'll fight with me, you say? You, who are inside the story?
context: If you attempt to lead the story down an abominable path, we will have to carry out our duty once more.\You would do well to remember that.\Drosselmeyer...\The man who toys with the fates of Mytho and everyone else.\But do I really have enough power to fight him?\Can I save Mytho?\Can I bring Tutu back?\You'll fight with me, you say? You, who are inside the story? response:	It would've been best if you'd been torn in two right away.
context: You would do well to remember that.\Drosselmeyer...\The man who toys with the fates of Mytho and everyone else.\But do I really have enough power to fight him?\Can I save Mytho?\Can I bring Tutu back?\You'll fight with me, you say? You, who are inside the story?\It would've been best if you'd been torn in two right away. response:	Oh, dear! It's ground to a halt after all this time.
context: Drosselmeyer...\The man who toys with the fates of Mytho and everyone else.\But do I really have enough power to fight him?\Can I save Mytho?\Can I bring Tutu back?\You'll fight with me, you say? You, who are inside the story?\It would've been best if you'd been torn in two right away.\Oh, dear! It's ground to a halt after all this time. response:	Princess Tutu isn't inside the story, so I suppose there's no help for it...
context: The man who toys with the fates of Mytho and everyone else.\But do I really have enough power to fight him?\Can I save Mytho?\Can I bring Tutu back?\You'll fight with me, you say? You, who are inside the story?\It would've been best if you'd been torn in two right away.\Oh, dear! It's ground to a halt after all this time.\Princess Tutu isn't inside the story, so I suppose there's no help for it... response:	Oh, I have to continue it quickly...
context: But do I really have enough power to fight him?\Can I save Mytho?\Can I bring Tutu back?\You'll fight with me, you say? You, who are inside the story?\It would've been best if you'd been torn in two right away.\Oh, dear! It's ground to a halt after all this time.\Princess Tutu isn't inside the story, so I suppose there's no help for it...\Oh, I have to continue it quickly... response:	Oh, dear, this is no good, no good at all.
context: Can I save Mytho?\Can I bring Tutu back?\You'll fight with me, you say? You, who are inside the story?\It would've been best if you'd been torn in two right away.\Oh, dear! It's ground to a halt after all this time.\Princess Tutu isn't inside the story, so I suppose there's no help for it...\Oh, I have to continue it quickly...\Oh, dear, this is no good, no good at all. response:	Where...
context: Can I bring Tutu back?\You'll fight with me, you say? You, who are inside the story?\It would've been best if you'd been torn in two right away.\Oh, dear! It's ground to a halt after all this time.\Princess Tutu isn't inside the story, so I suppose there's no help for it...\Oh, I have to continue it quickly...\Oh, dear, this is no good, no good at all.\Where... response:	Is anybody here?
context: You'll fight with me, you say? You, who are inside the story?\It would've been best if you'd been torn in two right away.\Oh, dear! It's ground to a halt after all this time.\Princess Tutu isn't inside the story, so I suppose there's no help for it...\Oh, I have to continue it quickly...\Oh, dear, this is no good, no good at all.\Where...\Is anybody here? response:	Where am I?
context: It would've been best if you'd been torn in two right away.\Oh, dear! It's ground to a halt after all this time.\Princess Tutu isn't inside the story, so I suppose there's no help for it...\Oh, I have to continue it quickly...\Oh, dear, this is no good, no good at all.\Where...\Is anybody here?\Where am I? response:	If I thrust this sword into the prince, he might die.
context: Oh, dear! It's ground to a halt after all this time.\Princess Tutu isn't inside the story, so I suppose there's no help for it...\Oh, I have to continue it quickly...\Oh, dear, this is no good, no good at all.\Where...\Is anybody here?\Where am I?\If I thrust this sword into the prince, he might die. response:	That's fine. If that happens, I too will...
context: Princess Tutu isn't inside the story, so I suppose there's no help for it...\Oh, I have to continue it quickly...\Oh, dear, this is no good, no good at all.\Where...\Is anybody here?\Where am I?\If I thrust this sword into the prince, he might die.\That's fine. If that happens, I too will... response:	Is this the world where Drosselmeyer-san is?
context: Oh, I have to continue it quickly...\Oh, dear, this is no good, no good at all.\Where...\Is anybody here?\Where am I?\If I thrust this sword into the prince, he might die.\That's fine. If that happens, I too will...\Is this the world where Drosselmeyer-san is? response:	That's the prince back when I first met him.
context: Oh, dear, this is no good, no good at all.\Where...\Is anybody here?\Where am I?\If I thrust this sword into the prince, he might die.\That's fine. If that happens, I too will...\Is this the world where Drosselmeyer-san is?\That's the prince back when I first met him. response:	You don't have to worry anymore.
context: Where...\Is anybody here?\Where am I?\If I thrust this sword into the prince, he might die.\That's fine. If that happens, I too will...\Is this the world where Drosselmeyer-san is?\That's the prince back when I first met him.\You don't have to worry anymore. response:	I'm not a crow! I'm a person!
context: Is anybody here?\Where am I?\If I thrust this sword into the prince, he might die.\That's fine. If that happens, I too will...\Is this the world where Drosselmeyer-san is?\That's the prince back when I first met him.\You don't have to worry anymore.\I'm not a crow! I'm a person! response:	I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!
context: Where am I?\If I thrust this sword into the prince, he might die.\That's fine. If that happens, I too will...\Is this the world where Drosselmeyer-san is?\That's the prince back when I first met him.\You don't have to worry anymore.\I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue! response:	I can write. I can write a story about her!
context: If I thrust this sword into the prince, he might die.\That's fine. If that happens, I too will...\Is this the world where Drosselmeyer-san is?\That's the prince back when I first met him.\You don't have to worry anymore.\I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\I can write. I can write a story about her! response:	I am a puppet who could not have a heart.
context: That's fine. If that happens, I too will...\Is this the world where Drosselmeyer-san is?\That's the prince back when I first met him.\You don't have to worry anymore.\I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\I can write. I can write a story about her!\I am a puppet who could not have a heart. response:	Marionette
context: Is this the world where Drosselmeyer-san is?\That's the prince back when I first met him.\You don't have to worry anymore.\I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\I can write. I can write a story about her!\I am a puppet who could not have a heart.\Marionette response:	All you children who love stories, come gather around.
context: That's the prince back when I first met him.\You don't have to worry anymore.\I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\I can write. I can write a story about her!\I am a puppet who could not have a heart.\Marionette\All you children who love stories, come gather around. response:	The voice calling, come now, wake up
context: You don't have to worry anymore.\I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\I can write. I can write a story about her!\I am a puppet who could not have a heart.\Marionette\All you children who love stories, come gather around.\The voice calling, come now, wake up response:	Wiping a tearstained face
context: I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\I can write. I can write a story about her!\I am a puppet who could not have a heart.\Marionette\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face response:	The brilliant light and the dew on trees are born
context: I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\I can write. I can write a story about her!\I am a puppet who could not have a heart.\Marionette\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born response:	By the secret water's edge that no one knows of
context: I can write. I can write a story about her!\I am a puppet who could not have a heart.\Marionette\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of response:	Dance the pas de deux of life
context: I am a puppet who could not have a heart.\Marionette\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life response:	Dreaming again today
context: Marionette\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today response:	It is a gentle, yet fierce current
context: All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current response:	How far does the labyrinth stretch?
context: The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch? response:	I shall go
context: Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go response:	The dream I hold tight
context: The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight response:	I loved like I was dreaming
context: By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming response:	It swells... My heart swells
context: Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells response:	I thought how wonderful it was to be alive
context: Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive response:	I can't wait for tomorrow
context: It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow response:	I want to be there for you
context: How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you response:	At all times
context: I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times response:	Wait, it won't wait
context: The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait response:	Running, running along
context: I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along response:	Passing by even the wind and the rain clouds
context: It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along\Passing by even the wind and the rain clouds response:	Just beating my own wings
