context: Yeah, she got angry at me after all. response:	It was like she was possessed by a demon.
context: He goes to sleep right away at night.\I'm off!\Be careful!\He leaves right away in the morning.\Time for today's Puppy Corner.\If the puppy is a girl, it means Jintan is doing something weird.\Wow, this pumpkin is perfect!\Today's puppy is Oscar, a girl. She's 7 years old. response:	Pugs are cute.
context: I'm off!\Be careful!\He leaves right away in the morning.\Time for today's Puppy Corner.\If the puppy is a girl, it means Jintan is doing something weird.\Wow, this pumpkin is perfect!\Today's puppy is Oscar, a girl. She's 7 years old.\Pugs are cute. response:	Wrinkles are cute.
context: Be careful!\He leaves right away in the morning.\Time for today's Puppy Corner.\If the puppy is a girl, it means Jintan is doing something weird.\Wow, this pumpkin is perfect!\Today's puppy is Oscar, a girl. She's 7 years old.\Pugs are cute.\Wrinkles are cute. response:	It's a girl.
context: He leaves right away in the morning.\Time for today's Puppy Corner.\If the puppy is a girl, it means Jintan is doing something weird.\Wow, this pumpkin is perfect!\Today's puppy is Oscar, a girl. She's 7 years old.\Pugs are cute.\Wrinkles are cute.\It's a girl. response:	Coming.
context: Time for today's Puppy Corner.\If the puppy is a girl, it means Jintan is doing something weird.\Wow, this pumpkin is perfect!\Today's puppy is Oscar, a girl. She's 7 years old.\Pugs are cute.\Wrinkles are cute.\It's a girl.\Coming. response:	Good morning.
context: If the puppy is a girl, it means Jintan is doing something weird.\Wow, this pumpkin is perfect!\Today's puppy is Oscar, a girl. She's 7 years old.\Pugs are cute.\Wrinkles are cute.\It's a girl.\Coming.\Good morning. response:	Good morning.
context: Wow, this pumpkin is perfect!\Today's puppy is Oscar, a girl. She's 7 years old.\Pugs are cute.\Wrinkles are cute.\It's a girl.\Coming.\Good morning.\Good morning. response:	If you could sign here...
context: Today's puppy is Oscar, a girl. She's 7 years old.\Pugs are cute.\Wrinkles are cute.\It's a girl.\Coming.\Good morning.\Good morning.\If you could sign here... response:	Oh, right. Let's see...
context: Pugs are cute.\Wrinkles are cute.\It's a girl.\Coming.\Good morning.\Good morning.\If you could sign here...\Oh, right. Let's see... response:	By the way, did Jinta quit school?
context: Wrinkles are cute.\It's a girl.\Coming.\Good morning.\Good morning.\If you could sign here...\Oh, right. Let's see...\By the way, did Jinta quit school? response:	No. But why do you ask?
context: It's a girl.\Coming.\Good morning.\Good morning.\If you could sign here...\Oh, right. Let's see...\By the way, did Jinta quit school?\No. But why do you ask? response:	Sorry for bringing it up.
context: Coming.\Good morning.\Good morning.\If you could sign here...\Oh, right. Let's see...\By the way, did Jinta quit school?\No. But why do you ask?\Sorry for bringing it up. response:	But a little while ago I saw him... I guess he was working a part-time job?
context: Good morning.\Good morning.\If you could sign here...\Oh, right. Let's see...\By the way, did Jinta quit school?\No. But why do you ask?\Sorry for bringing it up.\But a little while ago I saw him... I guess he was working a part-time job? response:	Has he told you about that?
context: Good morning.\If you could sign here...\Oh, right. Let's see...\By the way, did Jinta quit school?\No. But why do you ask?\Sorry for bringing it up.\But a little while ago I saw him... I guess he was working a part-time job?\Has he told you about that? response:	Oh, yes. But you could say I'm a proponent of free will.
context: If you could sign here...\Oh, right. Let's see...\By the way, did Jinta quit school?\No. But why do you ask?\Sorry for bringing it up.\But a little while ago I saw him... I guess he was working a part-time job?\Has he told you about that?\Oh, yes. But you could say I'm a proponent of free will. response:	I let Jintan decide on his own. It's fine.
context: Oh, right. Let's see...\By the way, did Jinta quit school?\No. But why do you ask?\Sorry for bringing it up.\But a little while ago I saw him... I guess he was working a part-time job?\Has he told you about that?\Oh, yes. But you could say I'm a proponent of free will.\I let Jintan decide on his own. It's fine. response:	No it's not! It's not fine! It's not fine!
context: By the way, did Jinta quit school?\No. But why do you ask?\Sorry for bringing it up.\But a little while ago I saw him... I guess he was working a part-time job?\Has he told you about that?\Oh, yes. But you could say I'm a proponent of free will.\I let Jintan decide on his own. It's fine.\No it's not! It's not fine! It's not fine! response:	It's not fine!
context: No. But why do you ask?\Sorry for bringing it up.\But a little while ago I saw him... I guess he was working a part-time job?\Has he told you about that?\Oh, yes. But you could say I'm a proponent of free will.\I let Jintan decide on his own. It's fine.\No it's not! It's not fine! It's not fine!\It's not fine! response:	It's not fine!
context: Sorry for bringing it up.\But a little while ago I saw him... I guess he was working a part-time job?\Has he told you about that?\Oh, yes. But you could say I'm a proponent of free will.\I let Jintan decide on his own. It's fine.\No it's not! It's not fine! It's not fine!\It's not fine!\It's not fine! response:	Anaru.
context: But a little while ago I saw him... I guess he was working a part-time job?\Has he told you about that?\Oh, yes. But you could say I'm a proponent of free will.\I let Jintan decide on his own. It's fine.\No it's not! It's not fine! It's not fine!\It's not fine!\It's not fine!\Anaru. response:	Hey Poppo.
context: Has he told you about that?\Oh, yes. But you could say I'm a proponent of free will.\I let Jintan decide on his own. It's fine.\No it's not! It's not fine! It's not fine!\It's not fine!\It's not fine!\Anaru.\Hey Poppo. response:	Yeah. I'm not scheduled today, but apparently the manager took a liking to him.
context: Oh, yes. But you could say I'm a proponent of free will.\I let Jintan decide on his own. It's fine.\No it's not! It's not fine! It's not fine!\It's not fine!\It's not fine!\Anaru.\Hey Poppo.\Yeah. I'm not scheduled today, but apparently the manager took a liking to him. response:	You're working with him tonight though, right?
context: I let Jintan decide on his own. It's fine.\No it's not! It's not fine! It's not fine!\It's not fine!\It's not fine!\Anaru.\Hey Poppo.\Yeah. I'm not scheduled today, but apparently the manager took a liking to him.\You're working with him tonight though, right? response:	What? The Hitsujiyama construction site?
context: No it's not! It's not fine! It's not fine!\It's not fine!\It's not fine!\Anaru.\Hey Poppo.\Yeah. I'm not scheduled today, but apparently the manager took a liking to him.\You're working with him tonight though, right?\What? The Hitsujiyama construction site? response:	Isn't that going a little overboard?
context: It's not fine!\It's not fine!\Anaru.\Hey Poppo.\Yeah. I'm not scheduled today, but apparently the manager took a liking to him.\You're working with him tonight though, right?\What? The Hitsujiyama construction site?\Isn't that going a little overboard? response:	Yeah, you're right. Skilled labor pays the best.
context: It's not fine!\Anaru.\Hey Poppo.\Yeah. I'm not scheduled today, but apparently the manager took a liking to him.\You're working with him tonight though, right?\What? The Hitsujiyama construction site?\Isn't that going a little overboard?\Yeah, you're right. Skilled labor pays the best. response:	Rocket fireworks are fueled by money.
context: Anaru.\Hey Poppo.\Yeah. I'm not scheduled today, but apparently the manager took a liking to him.\You're working with him tonight though, right?\What? The Hitsujiyama construction site?\Isn't that going a little overboard?\Yeah, you're right. Skilled labor pays the best.\Rocket fireworks are fueled by money. response:	Fireworks.
context: Hey Poppo.\Yeah. I'm not scheduled today, but apparently the manager took a liking to him.\You're working with him tonight though, right?\What? The Hitsujiyama construction site?\Isn't that going a little overboard?\Yeah, you're right. Skilled labor pays the best.\Rocket fireworks are fueled by money.\Fireworks. response:	My...
context: Yeah. I'm not scheduled today, but apparently the manager took a liking to him.\You're working with him tonight though, right?\What? The Hitsujiyama construction site?\Isn't that going a little overboard?\Yeah, you're right. Skilled labor pays the best.\Rocket fireworks are fueled by money.\Fireworks.\My... response:	Think about yourself a little more!
context: You're working with him tonight though, right?\What? The Hitsujiyama construction site?\Isn't that going a little overboard?\Yeah, you're right. Skilled labor pays the best.\Rocket fireworks are fueled by money.\Fireworks.\My...\Think about yourself a little more! response:	Your attitude pisses me off!
context: What? The Hitsujiyama construction site?\Isn't that going a little overboard?\Yeah, you're right. Skilled labor pays the best.\Rocket fireworks are fueled by money.\Fireworks.\My...\Think about yourself a little more!\Your attitude pisses me off! response:	Oh, yeah, I guess.
context: Isn't that going a little overboard?\Yeah, you're right. Skilled labor pays the best.\Rocket fireworks are fueled by money.\Fireworks.\My...\Think about yourself a little more!\Your attitude pisses me off!\Oh, yeah, I guess. response:	By the way, did Yukiatsu get in touch with you?
context: Yeah, you're right. Skilled labor pays the best.\Rocket fireworks are fueled by money.\Fireworks.\My...\Think about yourself a little more!\Your attitude pisses me off!\Oh, yeah, I guess.\By the way, did Yukiatsu get in touch with you? response:	Yeah you know, we talk every once in a while.
context: Rocket fireworks are fueled by money.\Fireworks.\My...\Think about yourself a little more!\Your attitude pisses me off!\Oh, yeah, I guess.\By the way, did Yukiatsu get in touch with you?\Yeah you know, we talk every once in a while. response:	It would be nice if they came by too.
context: Fireworks.\My...\Think about yourself a little more!\Your attitude pisses me off!\Oh, yeah, I guess.\By the way, did Yukiatsu get in touch with you?\Yeah you know, we talk every once in a while.\It would be nice if they came by too. response:	It's obvious they're worried about Jintan.
context: My...\Think about yourself a little more!\Your attitude pisses me off!\Oh, yeah, I guess.\By the way, did Yukiatsu get in touch with you?\Yeah you know, we talk every once in a while.\It would be nice if they came by too.\It's obvious they're worried about Jintan. response:	Huh? Jintan?
context: Think about yourself a little more!\Your attitude pisses me off!\Oh, yeah, I guess.\By the way, did Yukiatsu get in touch with you?\Yeah you know, we talk every once in a while.\It would be nice if they came by too.\It's obvious they're worried about Jintan.\Huh? Jintan? response:	What? Jintan's Jintan. That's what you call him.
context: Your attitude pisses me off!\Oh, yeah, I guess.\By the way, did Yukiatsu get in touch with you?\Yeah you know, we talk every once in a while.\It would be nice if they came by too.\It's obvious they're worried about Jintan.\Huh? Jintan?\What? Jintan's Jintan. That's what you call him. response:	What's wrong with me calling him Jintan?
context: Oh, yeah, I guess.\By the way, did Yukiatsu get in touch with you?\Yeah you know, we talk every once in a while.\It would be nice if they came by too.\It's obvious they're worried about Jintan.\Huh? Jintan?\What? Jintan's Jintan. That's what you call him.\What's wrong with me calling him Jintan? response:	Jintan.
context: By the way, did Yukiatsu get in touch with you?\Yeah you know, we talk every once in a while.\It would be nice if they came by too.\It's obvious they're worried about Jintan.\Huh? Jintan?\What? Jintan's Jintan. That's what you call him.\What's wrong with me calling him Jintan?\Jintan. response:	Jintan.
context: Yeah you know, we talk every once in a while.\It would be nice if they came by too.\It's obvious they're worried about Jintan.\Huh? Jintan?\What? Jintan's Jintan. That's what you call him.\What's wrong with me calling him Jintan?\Jintan.\Jintan. response:	Over here, new guy!
context: It would be nice if they came by too.\It's obvious they're worried about Jintan.\Huh? Jintan?\What? Jintan's Jintan. That's what you call him.\What's wrong with me calling him Jintan?\Jintan.\Jintan.\Over here, new guy! response:	Coming!
context: It's obvious they're worried about Jintan.\Huh? Jintan?\What? Jintan's Jintan. That's what you call him.\What's wrong with me calling him Jintan?\Jintan.\Jintan.\Over here, new guy!\Coming! response:	Come over here next.
context: Huh? Jintan?\What? Jintan's Jintan. That's what you call him.\What's wrong with me calling him Jintan?\Jintan.\Jintan.\Over here, new guy!\Coming!\Come over here next. response:	Sure!
context: What? Jintan's Jintan. That's what you call him.\What's wrong with me calling him Jintan?\Jintan.\Jintan.\Over here, new guy!\Coming!\Come over here next.\Sure! response:	He's giving it his all.
context: What's wrong with me calling him Jintan?\Jintan.\Jintan.\Over here, new guy!\Coming!\Come over here next.\Sure!\He's giving it his all. response:	That's right. He's really cool.
context: Jintan.\Jintan.\Over here, new guy!\Coming!\Come over here next.\Sure!\He's giving it his all.\That's right. He's really cool. response:	Jintan.
context: Jintan.\Over here, new guy!\Coming!\Come over here next.\Sure!\He's giving it his all.\That's right. He's really cool.\Jintan. response:	While I haven't been thinking about myself...
context: Over here, new guy!\Coming!\Come over here next.\Sure!\He's giving it his all.\That's right. He's really cool.\Jintan.\While I haven't been thinking about myself... response:	Jintan has always been thinking about me.
context: Coming!\Come over here next.\Sure!\He's giving it his all.\That's right. He's really cool.\Jintan.\While I haven't been thinking about myself...\Jintan has always been thinking about me. response:	Hey, watch your step.
context: Come over here next.\Sure!\He's giving it his all.\That's right. He's really cool.\Jintan.\While I haven't been thinking about myself...\Jintan has always been thinking about me.\Hey, watch your step. response:	Alright.
context: Sure!\He's giving it his all.\That's right. He's really cool.\Jintan.\While I haven't been thinking about myself...\Jintan has always been thinking about me.\Hey, watch your step.\Alright. response:	What was that? Don't change the angle of the light on your own!
context: He's giving it his all.\That's right. He's really cool.\Jintan.\While I haven't been thinking about myself...\Jintan has always been thinking about me.\Hey, watch your step.\Alright.\What was that? Don't change the angle of the light on your own! response:	What was that?
context: That's right. He's really cool.\Jintan.\While I haven't been thinking about myself...\Jintan has always been thinking about me.\Hey, watch your step.\Alright.\What was that? Don't change the angle of the light on your own!\What was that? response:	Maybe the wind?
context: Jintan.\While I haven't been thinking about myself...\Jintan has always been thinking about me.\Hey, watch your step.\Alright.\What was that? Don't change the angle of the light on your own!\What was that?\Maybe the wind? response:	You think the wind could move that light?
context: While I haven't been thinking about myself...\Jintan has always been thinking about me.\Hey, watch your step.\Alright.\What was that? Don't change the angle of the light on your own!\What was that?\Maybe the wind?\You think the wind could move that light? response:	You're so cool. You're glowing, Jintan.
context: Jintan has always been thinking about me.\Hey, watch your step.\Alright.\What was that? Don't change the angle of the light on your own!\What was that?\Maybe the wind?\You think the wind could move that light?\You're so cool. You're glowing, Jintan. response:	You're cool.
context: Hey, watch your step.\Alright.\What was that? Don't change the angle of the light on your own!\What was that?\Maybe the wind?\You think the wind could move that light?\You're so cool. You're glowing, Jintan.\You're cool. response:	All this?
context: Alright.\What was that? Don't change the angle of the light on your own!\What was that?\Maybe the wind?\You think the wind could move that light?\You're so cool. You're glowing, Jintan.\You're cool.\All this? response:	I made plenty!
context: What was that? Don't change the angle of the light on your own!\What was that?\Maybe the wind?\You think the wind could move that light?\You're so cool. You're glowing, Jintan.\You're cool.\All this?\I made plenty! response:	You need to learn some moderation.
context: What was that?\Maybe the wind?\You think the wind could move that light?\You're so cool. You're glowing, Jintan.\You're cool.\All this?\I made plenty!\You need to learn some moderation. response:	It's tasty!
context: Maybe the wind?\You think the wind could move that light?\You're so cool. You're glowing, Jintan.\You're cool.\All this?\I made plenty!\You need to learn some moderation.\It's tasty! response:	Really?
context: You think the wind could move that light?\You're so cool. You're glowing, Jintan.\You're cool.\All this?\I made plenty!\You need to learn some moderation.\It's tasty!\Really? response:	It tastes a lot like the ones my mom made.
context: You're so cool. You're glowing, Jintan.\You're cool.\All this?\I made plenty!\You need to learn some moderation.\It's tasty!\Really?\It tastes a lot like the ones my mom made. response:	So Jintan, is school tough?
context: You're cool.\All this?\I made plenty!\You need to learn some moderation.\It's tasty!\Really?\It tastes a lot like the ones my mom made.\So Jintan, is school tough? response:	Yeah, but it's also fun.
context: All this?\I made plenty!\You need to learn some moderation.\It's tasty!\Really?\It tastes a lot like the ones my mom made.\So Jintan, is school tough?\Yeah, but it's also fun. response:	It's fun?
context: I made plenty!\You need to learn some moderation.\It's tasty!\Really?\It tastes a lot like the ones my mom made.\So Jintan, is school tough?\Yeah, but it's also fun.\It's fun? response:	Yeah, how can I put it...
context: You need to learn some moderation.\It's tasty!\Really?\It tastes a lot like the ones my mom made.\So Jintan, is school tough?\Yeah, but it's also fun.\It's fun?\Yeah, how can I put it... response:	I guess it unexpectedly feels better than always staying at home.
context: It's tasty!\Really?\It tastes a lot like the ones my mom made.\So Jintan, is school tough?\Yeah, but it's also fun.\It's fun?\Yeah, how can I put it...\I guess it unexpectedly feels better than always staying at home. response:	I feel alive while I'm there.
context: Really?\It tastes a lot like the ones my mom made.\So Jintan, is school tough?\Yeah, but it's also fun.\It's fun?\Yeah, how can I put it...\I guess it unexpectedly feels better than always staying at home.\I feel alive while I'm there. response:	Alive...
context: It tastes a lot like the ones my mom made.\So Jintan, is school tough?\Yeah, but it's also fun.\It's fun?\Yeah, how can I put it...\I guess it unexpectedly feels better than always staying at home.\I feel alive while I'm there.\Alive... response:	Oh, no, I didn't mean that literally...
context: So Jintan, is school tough?\Yeah, but it's also fun.\It's fun?\Yeah, how can I put it...\I guess it unexpectedly feels better than always staying at home.\I feel alive while I'm there.\Alive...\Oh, no, I didn't mean that literally... response:	I mean, up until now I've been...
context: Yeah, but it's also fun.\It's fun?\Yeah, how can I put it...\I guess it unexpectedly feels better than always staying at home.\I feel alive while I'm there.\Alive...\Oh, no, I didn't mean that literally...\I mean, up until now I've been... response:	Me too. I also feel alive when I look at you while you feel alive!
context: It's fun?\Yeah, how can I put it...\I guess it unexpectedly feels better than always staying at home.\I feel alive while I'm there.\Alive...\Oh, no, I didn't mean that literally...\I mean, up until now I've been...\Me too. I also feel alive when I look at you while you feel alive! response:	Menma.
context: Yeah, how can I put it...\I guess it unexpectedly feels better than always staying at home.\I feel alive while I'm there.\Alive...\Oh, no, I didn't mean that literally...\I mean, up until now I've been...\Me too. I also feel alive when I look at you while you feel alive!\Menma. response:	I've brought a deposit.
context: I guess it unexpectedly feels better than always staying at home.\I feel alive while I'm there.\Alive...\Oh, no, I didn't mean that literally...\I mean, up until now I've been...\Me too. I also feel alive when I look at you while you feel alive!\Menma.\I've brought a deposit. response:	I know it's not nearly enough, but could I get started on it now?
context: I feel alive while I'm there.\Alive...\Oh, no, I didn't mean that literally...\I mean, up until now I've been...\Me too. I also feel alive when I look at you while you feel alive!\Menma.\I've brought a deposit.\I know it's not nearly enough, but could I get started on it now? response:	Please.
context: Alive...\Oh, no, I didn't mean that literally...\I mean, up until now I've been...\Me too. I also feel alive when I look at you while you feel alive!\Menma.\I've brought a deposit.\I know it's not nearly enough, but could I get started on it now?\Please. response:	Yeah, about that. I'm sorry, but I can't help you out.
context: Oh, no, I didn't mean that literally...\I mean, up until now I've been...\Me too. I also feel alive when I look at you while you feel alive!\Menma.\I've brought a deposit.\I know it's not nearly enough, but could I get started on it now?\Please.\Yeah, about that. I'm sorry, but I can't help you out. response:	I accidentally let it slip to the director of the festival...
context: I mean, up until now I've been...\Me too. I also feel alive when I look at you while you feel alive!\Menma.\I've brought a deposit.\I know it's not nearly enough, but could I get started on it now?\Please.\Yeah, about that. I'm sorry, but I can't help you out.\I accidentally let it slip to the director of the festival... response:	I got scolded for offering to teach high-schoolers this stuff.
context: Me too. I also feel alive when I look at you while you feel alive!\Menma.\I've brought a deposit.\I know it's not nearly enough, but could I get started on it now?\Please.\Yeah, about that. I'm sorry, but I can't help you out.\I accidentally let it slip to the director of the festival...\I got scolded for offering to teach high-schoolers this stuff. response:	I'm really sorry.
context: Menma.\I've brought a deposit.\I know it's not nearly enough, but could I get started on it now?\Please.\Yeah, about that. I'm sorry, but I can't help you out.\I accidentally let it slip to the director of the festival...\I got scolded for offering to teach high-schoolers this stuff.\I'm really sorry. response:	That can't be...
context: I've brought a deposit.\I know it's not nearly enough, but could I get started on it now?\Please.\Yeah, about that. I'm sorry, but I can't help you out.\I accidentally let it slip to the director of the festival...\I got scolded for offering to teach high-schoolers this stuff.\I'm really sorry.\That can't be... response:	We worked so hard!
context: I know it's not nearly enough, but could I get started on it now?\Please.\Yeah, about that. I'm sorry, but I can't help you out.\I accidentally let it slip to the director of the festival...\I got scolded for offering to teach high-schoolers this stuff.\I'm really sorry.\That can't be...\We worked so hard! response:	Who's this festival director?
context: Please.\Yeah, about that. I'm sorry, but I can't help you out.\I accidentally let it slip to the director of the festival...\I got scolded for offering to teach high-schoolers this stuff.\I'm really sorry.\That can't be...\We worked so hard!\Who's this festival director? response:	I'll talk directly to them!
context: Yeah, about that. I'm sorry, but I can't help you out.\I accidentally let it slip to the director of the festival...\I got scolded for offering to teach high-schoolers this stuff.\I'm really sorry.\That can't be...\We worked so hard!\Who's this festival director?\I'll talk directly to them! response:	It's one of the Honmas.
context: I accidentally let it slip to the director of the festival...\I got scolded for offering to teach high-schoolers this stuff.\I'm really sorry.\That can't be...\We worked so hard!\Who's this festival director?\I'll talk directly to them!\It's one of the Honmas. response:	Someone from Menma's family?
context: I got scolded for offering to teach high-schoolers this stuff.\I'm really sorry.\That can't be...\We worked so hard!\Who's this festival director?\I'll talk directly to them!\It's one of the Honmas.\Someone from Menma's family? response:	It looks like Jinta and the others are trying their best for you.
context: I'm really sorry.\That can't be...\We worked so hard!\Who's this festival director?\I'll talk directly to them!\It's one of the Honmas.\Someone from Menma's family?\It looks like Jinta and the others are trying their best for you. response:	They're all messing around.
context: That can't be...\We worked so hard!\Who's this festival director?\I'll talk directly to them!\It's one of the Honmas.\Someone from Menma's family?\It looks like Jinta and the others are trying their best for you.\They're all messing around. response:	Meat and Produce
context: We worked so hard!\Who's this festival director?\I'll talk directly to them!\It's one of the Honmas.\Someone from Menma's family?\It looks like Jinta and the others are trying their best for you.\They're all messing around.\Meat and Produce response:	February 12, Cloudy
context: Who's this festival director?\I'll talk directly to them!\It's one of the Honmas.\Someone from Menma's family?\It looks like Jinta and the others are trying their best for you.\They're all messing around.\Meat and Produce\February 12, Cloudy response:	Today I played with everyone. I had fun.
context: I'll talk directly to them!\It's one of the Honmas.\Someone from Menma's family?\It looks like Jinta and the others are trying their best for you.\They're all messing around.\Meat and Produce\February 12, Cloudy\Today I played with everyone. I had fun. response:	February 14, Sunny
context: It's one of the Honmas.\Someone from Menma's family?\It looks like Jinta and the others are trying their best for you.\They're all messing around.\Meat and Produce\February 12, Cloudy\Today I played with everyone. I had fun.\February 14, Sunny response:	Today I played with everyone. I had a blast.
context: Someone from Menma's family?\It looks like Jinta and the others are trying their best for you.\They're all messing around.\Meat and Produce\February 12, Cloudy\Today I played with everyone. I had fun.\February 14, Sunny\Today I played with everyone. I had a blast. response:	Shooting Star
context: It looks like Jinta and the others are trying their best for you.\They're all messing around.\Meat and Produce\February 12, Cloudy\Today I played with everyone. I had fun.\February 14, Sunny\Today I played with everyone. I had a blast.\Shooting Star response:	Episode 7 The Real Wish
context: They're all messing around.\Meat and Produce\February 12, Cloudy\Today I played with everyone. I had fun.\February 14, Sunny\Today I played with everyone. I had a blast.\Shooting Star\Episode 7 The Real Wish response:	We still don't know the name of the flower we saw that day.
context: Meat and Produce\February 12, Cloudy\Today I played with everyone. I had fun.\February 14, Sunny\Today I played with everyone. I had a blast.\Shooting Star\Episode 7 The Real Wish\We still don't know the name of the flower we saw that day. response:	nanpeeji mo tsuiyashite
context: February 12, Cloudy\Today I played with everyone. I had fun.\February 14, Sunny\Today I played with everyone. I had a blast.\Shooting Star\Episode 7 The Real Wish\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite response:	tuzurareta bokura no kibun
context: Today I played with everyone. I had fun.\February 14, Sunny\Today I played with everyone. I had a blast.\Shooting Star\Episode 7 The Real Wish\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun response:	doushiteka ichigyou no
context: February 14, Sunny\Today I played with everyone. I had a blast.\Shooting Star\Episode 7 The Real Wish\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no response:	kuuhaku wo umerarenai
context: Today I played with everyone. I had a blast.\Shooting Star\Episode 7 The Real Wish\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai response:	oshibana no shiori hasande
context: Shooting Star\Episode 7 The Real Wish\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande response:	kimi to korogasu tsukaisute no jitensha
context: Episode 7 The Real Wish\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha response:	wasurekake no renga wo
context: We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo response:	tsumiageta basho ni yukou
context: nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou response:	umi wo miwatasu saka wo kakenobotte
context: tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte response:	kowaikurai ni aoi sora to
context: doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to response:	migite ni saidaa hidarite wa
context: kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa response:	zutto kimi wo sagashiteiru
context: oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru response:	souyatte ima wa boku no hou e
context: kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e response:	toitsumeru koto mo nakute
context: wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute response:	mada futari wa sugu soko ni irunoni
context: tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni response:	douka mata aemasuyouni nante
context: umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante response:	douka shiteru mitai
context: kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai response:	nanpeeji mo tsuiyashite
context: migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\nanpeeji mo tsuiyashite response:	tuzurareta bokura no kibun
context: zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun response:	doushiteka ichigyou no
context: souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no response:	kuuhaku wo umerarenai
context: toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai response:	oshibana no shiori hasande
context: mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande response:	kimi to korogasu tsukaisute no jitensha
