context: I had caught a terrible cold response:	and returned to the present-day world to get better.
context: I hope it works.\Still... what an indecisive kid.\I know.\I'm so disappointed in my youngerbrother.\Mulling overthe problem like that isn'tgonna solve anything.\I'll say. If he loves her, he should just say so!\Yeah! Right!\Sota... response:	So you came back with your tail between yourlegs?
context: Still... what an indecisive kid.\I know.\I'm so disappointed in my youngerbrother.\Mulling overthe problem like that isn'tgonna solve anything.\I'll say. If he loves her, he should just say so!\Yeah! Right!\Sota...\So you came back with your tail between yourlegs? response:	It's impossible.
context: I know.\I'm so disappointed in my youngerbrother.\Mulling overthe problem like that isn'tgonna solve anything.\I'll say. If he loves her, he should just say so!\Yeah! Right!\Sota...\So you came back with your tail between yourlegs?\It's impossible. response:	Afterthinking about it,
context: I'm so disappointed in my youngerbrother.\Mulling overthe problem like that isn'tgonna solve anything.\I'll say. If he loves her, he should just say so!\Yeah! Right!\Sota...\So you came back with your tail between yourlegs?\It's impossible.\Afterthinking about it, response:	I realized that just a little training isn'tgoing to make me strong.
context: Mulling overthe problem like that isn'tgonna solve anything.\I'll say. If he loves her, he should just say so!\Yeah! Right!\Sota...\So you came back with your tail between yourlegs?\It's impossible.\Afterthinking about it,\I realized that just a little training isn'tgoing to make me strong. response:	I can't change my character thateasily!
context: I'll say. If he loves her, he should just say so!\Yeah! Right!\Sota...\So you came back with your tail between yourlegs?\It's impossible.\Afterthinking about it,\I realized that just a little training isn'tgoing to make me strong.\I can't change my character thateasily! response:	Oops... He figured it out.
context: Yeah! Right!\Sota...\So you came back with your tail between yourlegs?\It's impossible.\Afterthinking about it,\I realized that just a little training isn'tgoing to make me strong.\I can't change my character thateasily!\Oops... He figured it out. response:	Damn it all! Will you cut this out?!
context: Sota...\So you came back with your tail between yourlegs?\It's impossible.\Afterthinking about it,\I realized that just a little training isn'tgoing to make me strong.\I can't change my character thateasily!\Oops... He figured it out.\Damn it all! Will you cut this out?! response:	Stop dawdling like this! Go and settle it now!
context: So you came back with your tail between yourlegs?\It's impossible.\Afterthinking about it,\I realized that just a little training isn'tgoing to make me strong.\I can't change my character thateasily!\Oops... He figured it out.\Damn it all! Will you cut this out?!\Stop dawdling like this! Go and settle it now! response:	You say that, but...
context: It's impossible.\Afterthinking about it,\I realized that just a little training isn'tgoing to make me strong.\I can't change my character thateasily!\Oops... He figured it out.\Damn it all! Will you cut this out?!\Stop dawdling like this! Go and settle it now!\You say that, but... response:	Quit making excuses! C'mere!
context: Afterthinking about it,\I realized that just a little training isn'tgoing to make me strong.\I can't change my character thateasily!\Oops... He figured it out.\Damn it all! Will you cut this out?!\Stop dawdling like this! Go and settle it now!\You say that, but...\Quit making excuses! C'mere! response:	Hey! Stop!
context: I realized that just a little training isn'tgoing to make me strong.\I can't change my character thateasily!\Oops... He figured it out.\Damn it all! Will you cut this out?!\Stop dawdling like this! Go and settle it now!\You say that, but...\Quit making excuses! C'mere!\Hey! Stop! response:	Hey Inuyasha!
context: I can't change my character thateasily!\Oops... He figured it out.\Damn it all! Will you cut this out?!\Stop dawdling like this! Go and settle it now!\You say that, but...\Quit making excuses! C'mere!\Hey! Stop!\Hey Inuyasha! response:	Now listen up, Sota.
context: Oops... He figured it out.\Damn it all! Will you cut this out?!\Stop dawdling like this! Go and settle it now!\You say that, but...\Quit making excuses! C'mere!\Hey! Stop!\Hey Inuyasha!\Now listen up, Sota. response:	Until you tell her, don't come back!
context: Damn it all! Will you cut this out?!\Stop dawdling like this! Go and settle it now!\You say that, but...\Quit making excuses! C'mere!\Hey! Stop!\Hey Inuyasha!\Now listen up, Sota.\Until you tell her, don't come back! response:	But!
context: Stop dawdling like this! Go and settle it now!\You say that, but...\Quit making excuses! C'mere!\Hey! Stop!\Hey Inuyasha!\Now listen up, Sota.\Until you tell her, don't come back!\But! response:	If you come back without telling her,
context: You say that, but...\Quit making excuses! C'mere!\Hey! Stop!\Hey Inuyasha!\Now listen up, Sota.\Until you tell her, don't come back!\But!\If you come back without telling her, response:	you won't be allowed inside!
context: Quit making excuses! C'mere!\Hey! Stop!\Hey Inuyasha!\Now listen up, Sota.\Until you tell her, don't come back!\But!\If you come back without telling her,\you won't be allowed inside! response:	This is my house!
context: Hey! Stop!\Hey Inuyasha!\Now listen up, Sota.\Until you tell her, don't come back!\But!\If you come back without telling her,\you won't be allowed inside!\This is my house! response:	Spirit! It's all in the spirit!
context: Hey Inuyasha!\Now listen up, Sota.\Until you tell her, don't come back!\But!\If you come back without telling her,\you won't be allowed inside!\This is my house!\Spirit! It's all in the spirit! response:	Make up your mind! That's all it takes!
context: Now listen up, Sota.\Until you tell her, don't come back!\But!\If you come back without telling her,\you won't be allowed inside!\This is my house!\Spirit! It's all in the spirit!\Make up your mind! That's all it takes! response:	But...
context: Until you tell her, don't come back!\But!\If you come back without telling her,\you won't be allowed inside!\This is my house!\Spirit! It's all in the spirit!\Make up your mind! That's all it takes!\But... response:	Damn, what a weakling!
context: But!\If you come back without telling her,\you won't be allowed inside!\This is my house!\Spirit! It's all in the spirit!\Make up your mind! That's all it takes!\But...\Damn, what a weakling! response:	Sota! Didn't you say you love her?!
context: If you come back without telling her,\you won't be allowed inside!\This is my house!\Spirit! It's all in the spirit!\Make up your mind! That's all it takes!\But...\Damn, what a weakling!\Sota! Didn't you say you love her?! response:	Aren't you a man?
context: you won't be allowed inside!\This is my house!\Spirit! It's all in the spirit!\Make up your mind! That's all it takes!\But...\Damn, what a weakling!\Sota! Didn't you say you love her?!\Aren't you a man? response:	Pluck up your courage and go forit!
context: This is my house!\Spirit! It's all in the spirit!\Make up your mind! That's all it takes!\But...\Damn, what a weakling!\Sota! Didn't you say you love her?!\Aren't you a man?\Pluck up your courage and go forit! response:	I'm going.
context: Spirit! It's all in the spirit!\Make up your mind! That's all it takes!\But...\Damn, what a weakling!\Sota! Didn't you say you love her?!\Aren't you a man?\Pluck up your courage and go forit!\I'm going. response:	Awright!
context: Make up your mind! That's all it takes!\But...\Damn, what a weakling!\Sota! Didn't you say you love her?!\Aren't you a man?\Pluck up your courage and go forit!\I'm going.\Awright! response:	Do yourbest.
context: But...\Damn, what a weakling!\Sota! Didn't you say you love her?!\Aren't you a man?\Pluck up your courage and go forit!\I'm going.\Awright!\Do yourbest. response:	Let's go, Inuyasha.
context: Damn, what a weakling!\Sota! Didn't you say you love her?!\Aren't you a man?\Pluck up your courage and go forit!\I'm going.\Awright!\Do yourbest.\Let's go, Inuyasha. response:	Huh?
context: Sota! Didn't you say you love her?!\Aren't you a man?\Pluck up your courage and go forit!\I'm going.\Awright!\Do yourbest.\Let's go, Inuyasha.\Huh? response:	I have to watch over him. As his big sister.
context: Aren't you a man?\Pluck up your courage and go forit!\I'm going.\Awright!\Do yourbest.\Let's go, Inuyasha.\Huh?\I have to watch over him. As his big sister. response:	You sure about that?
context: Pluck up your courage and go forit!\I'm going.\Awright!\Do yourbest.\Let's go, Inuyasha.\Huh?\I have to watch over him. As his big sister.\You sure about that? response:	Let's go!
context: I'm going.\Awright!\Do yourbest.\Let's go, Inuyasha.\Huh?\I have to watch over him. As his big sister.\You sure about that?\Let's go! response:	Hey Kagome!
context: Awright!\Do yourbest.\Let's go, Inuyasha.\Huh?\I have to watch over him. As his big sister.\You sure about that?\Let's go!\Hey Kagome! response:	What's the matter? You seem sorta different today, Sota.
context: Do yourbest.\Let's go, Inuyasha.\Huh?\I have to watch over him. As his big sister.\You sure about that?\Let's go!\Hey Kagome!\What's the matter? You seem sorta different today, Sota. response:	Hitomi...
context: Let's go, Inuyasha.\Huh?\I have to watch over him. As his big sister.\You sure about that?\Let's go!\Hey Kagome!\What's the matter? You seem sorta different today, Sota.\Hitomi... response:	I have something important to tell you.
context: Huh?\I have to watch over him. As his big sister.\You sure about that?\Let's go!\Hey Kagome!\What's the matter? You seem sorta different today, Sota.\Hitomi...\I have something important to tell you. response:	Sota...
context: I have to watch over him. As his big sister.\You sure about that?\Let's go!\Hey Kagome!\What's the matter? You seem sorta different today, Sota.\Hitomi...\I have something important to tell you.\Sota... response:	Aren't you a man?
context: You sure about that?\Let's go!\Hey Kagome!\What's the matter? You seem sorta different today, Sota.\Hitomi...\I have something important to tell you.\Sota...\Aren't you a man? response:	Pluck up yourcourage and go forit!
context: Let's go!\Hey Kagome!\What's the matter? You seem sorta different today, Sota.\Hitomi...\I have something important to tell you.\Sota...\Aren't you a man?\Pluck up yourcourage and go forit! response:	Inuyasha...
context: Hey Kagome!\What's the matter? You seem sorta different today, Sota.\Hitomi...\I have something important to tell you.\Sota...\Aren't you a man?\Pluck up yourcourage and go forit!\Inuyasha... response:	Hitomi, I'm not strong.
context: What's the matter? You seem sorta different today, Sota.\Hitomi...\I have something important to tell you.\Sota...\Aren't you a man?\Pluck up yourcourage and go forit!\Inuyasha...\Hitomi, I'm not strong. response:	And I'm an indecisive person who can't speak up.
context: Hitomi...\I have something important to tell you.\Sota...\Aren't you a man?\Pluck up yourcourage and go forit!\Inuyasha...\Hitomi, I'm not strong.\And I'm an indecisive person who can't speak up. response:	But... But...
context: I have something important to tell you.\Sota...\Aren't you a man?\Pluck up yourcourage and go forit!\Inuyasha...\Hitomi, I'm not strong.\And I'm an indecisive person who can't speak up.\But... But... response:	I really like you!
context: Sota...\Aren't you a man?\Pluck up yourcourage and go forit!\Inuyasha...\Hitomi, I'm not strong.\And I'm an indecisive person who can't speak up.\But... But...\I really like you! response:	Sota!
context: Aren't you a man?\Pluck up yourcourage and go forit!\Inuyasha...\Hitomi, I'm not strong.\And I'm an indecisive person who can't speak up.\But... But...\I really like you!\Sota! response:	Will you be my girlfriend?
context: Pluck up yourcourage and go forit!\Inuyasha...\Hitomi, I'm not strong.\And I'm an indecisive person who can't speak up.\But... But...\I really like you!\Sota!\Will you be my girlfriend? response:	Okay.
context: Inuyasha...\Hitomi, I'm not strong.\And I'm an indecisive person who can't speak up.\But... But...\I really like you!\Sota!\Will you be my girlfriend?\Okay. response:	Hitomi...
context: Hitomi, I'm not strong.\And I'm an indecisive person who can't speak up.\But... But...\I really like you!\Sota!\Will you be my girlfriend?\Okay.\Hitomi... response:	Sota!
context: And I'm an indecisive person who can't speak up.\But... But...\I really like you!\Sota!\Will you be my girlfriend?\Okay.\Hitomi...\Sota! response:	T-They're only in the third grade!
context: But... But...\I really like you!\Sota!\Will you be my girlfriend?\Okay.\Hitomi...\Sota!\T-They're only in the third grade! response:	P-Pretty good, kid!
context: I really like you!\Sota!\Will you be my girlfriend?\Okay.\Hitomi...\Sota!\T-They're only in the third grade!\P-Pretty good, kid! response:	One... two... three...
context: Sota!\Will you be my girlfriend?\Okay.\Hitomi...\Sota!\T-They're only in the third grade!\P-Pretty good, kid!\One... two... three... response:	Nothing forgotten, right?
context: Will you be my girlfriend?\Okay.\Hitomi...\Sota!\T-They're only in the third grade!\P-Pretty good, kid!\One... two... three...\Nothing forgotten, right? response:	'Kay, let's go.
context: Okay.\Hitomi...\Sota!\T-They're only in the third grade!\P-Pretty good, kid!\One... two... three...\Nothing forgotten, right?\'Kay, let's go. response:	Yes.
context: Hitomi...\Sota!\T-They're only in the third grade!\P-Pretty good, kid!\One... two... three...\Nothing forgotten, right?\'Kay, let's go.\Yes. response:	See ya, Sota.
context: Sota!\T-They're only in the third grade!\P-Pretty good, kid!\One... two... three...\Nothing forgotten, right?\'Kay, let's go.\Yes.\See ya, Sota. response:	Okay, take care.
context: T-They're only in the third grade!\P-Pretty good, kid!\One... two... three...\Nothing forgotten, right?\'Kay, let's go.\Yes.\See ya, Sota.\Okay, take care. response:	'Bye.
context: P-Pretty good, kid!\One... two... three...\Nothing forgotten, right?\'Kay, let's go.\Yes.\See ya, Sota.\Okay, take care.\'Bye. response:	Say Inuyasha...
context: One... two... three...\Nothing forgotten, right?\'Kay, let's go.\Yes.\See ya, Sota.\Okay, take care.\'Bye.\Say Inuyasha... response:	Yeah?
context: Nothing forgotten, right?\'Kay, let's go.\Yes.\See ya, Sota.\Okay, take care.\'Bye.\Say Inuyasha...\Yeah? response:	Thank you.
context: 'Kay, let's go.\Yes.\See ya, Sota.\Okay, take care.\'Bye.\Say Inuyasha...\Yeah?\Thank you. response:	Yeah...
context: Yes.\See ya, Sota.\Okay, take care.\'Bye.\Say Inuyasha...\Yeah?\Thank you.\Yeah... response:	Let's go, Kagome!
context: See ya, Sota.\Okay, take care.\'Bye.\Say Inuyasha...\Yeah?\Thank you.\Yeah...\Let's go, Kagome! response:	Uh-huh!
context: Okay, take care.\'Bye.\Say Inuyasha...\Yeah?\Thank you.\Yeah...\Let's go, Kagome!\Uh-huh! response:	What? What're you looking for, Shippo?
context: 'Bye.\Say Inuyasha...\Yeah?\Thank you.\Yeah...\Let's go, Kagome!\Uh-huh!\What? What're you looking for, Shippo? response:	Kuroro, who lived in Koume's village.
context: Say Inuyasha...\Yeah?\Thank you.\Yeah...\Let's go, Kagome!\Uh-huh!\What? What're you looking for, Shippo?\Kuroro, who lived in Koume's village. response:	A strange faith healerhad her banned from the village
context: Yeah?\Thank you.\Yeah...\Let's go, Kagome!\Uh-huh!\What? What're you looking for, Shippo?\Kuroro, who lived in Koume's village.\A strange faith healerhad her banned from the village response:	saying she brought bad luck.
context: Thank you.\Yeah...\Let's go, Kagome!\Uh-huh!\What? What're you looking for, Shippo?\Kuroro, who lived in Koume's village.\A strange faith healerhad her banned from the village\saying she brought bad luck. response:	Kuroro resembles Kirara and she's very smart.
context: Yeah...\Let's go, Kagome!\Uh-huh!\What? What're you looking for, Shippo?\Kuroro, who lived in Koume's village.\A strange faith healerhad her banned from the village\saying she brought bad luck.\Kuroro resembles Kirara and she's very smart. response:	Cats are natural enemies of rats.
context: Let's go, Kagome!\Uh-huh!\What? What're you looking for, Shippo?\Kuroro, who lived in Koume's village.\A strange faith healerhad her banned from the village\saying she brought bad luck.\Kuroro resembles Kirara and she's very smart.\Cats are natural enemies of rats. response:	Maybe this is connected to the village being overrun by a huge pack of rats!
context: Uh-huh!\What? What're you looking for, Shippo?\Kuroro, who lived in Koume's village.\A strange faith healerhad her banned from the village\saying she brought bad luck.\Kuroro resembles Kirara and she's very smart.\Cats are natural enemies of rats.\Maybe this is connected to the village being overrun by a huge pack of rats! response:	The Suspicious Faith Healer and the Black Kirara
context: What? What're you looking for, Shippo?\Kuroro, who lived in Koume's village.\A strange faith healerhad her banned from the village\saying she brought bad luck.\Kuroro resembles Kirara and she's very smart.\Cats are natural enemies of rats.\Maybe this is connected to the village being overrun by a huge pack of rats!\The Suspicious Faith Healer and the Black Kirara response:	I'll take care of things here!
