context: What are you saying? What's wrong, Norman? response:	You already know by now, right?
context: I swear. I'll never do it again.\Let's all escape from here together.\They're talking on their own again, huh?\Damn it, how long are they going to be discussing things?\We need to go save Conny!\I wonder if there's a reason.\Like what?\I don't know. response:	It's not just about being dangerous because we're dealing with bad people.
context: Let's all escape from here together.\They're talking on their own again, huh?\Damn it, how long are they going to be discussing things?\We need to go save Conny!\I wonder if there's a reason.\Like what?\I don't know.\It's not just about being dangerous because we're dealing with bad people. response:	But something even more...
context: They're talking on their own again, huh?\Damn it, how long are they going to be discussing things?\We need to go save Conny!\I wonder if there's a reason.\Like what?\I don't know.\It's not just about being dangerous because we're dealing with bad people.\But something even more... response:	Emma sure was mad.
context: Damn it, how long are they going to be discussing things?\We need to go save Conny!\I wonder if there's a reason.\Like what?\I don't know.\It's not just about being dangerous because we're dealing with bad people.\But something even more...\Emma sure was mad. response:	Hey, Ray.
context: We need to go save Conny!\I wonder if there's a reason.\Like what?\I don't know.\It's not just about being dangerous because we're dealing with bad people.\But something even more...\Emma sure was mad.\Hey, Ray. response:	I want to ask you something.
context: I wonder if there's a reason.\Like what?\I don't know.\It's not just about being dangerous because we're dealing with bad people.\But something even more...\Emma sure was mad.\Hey, Ray.\I want to ask you something. response:	What?
context: Like what?\I don't know.\It's not just about being dangerous because we're dealing with bad people.\But something even more...\Emma sure was mad.\Hey, Ray.\I want to ask you something.\What? response:	You said you did it so that both of us don't get killed.
context: I don't know.\It's not just about being dangerous because we're dealing with bad people.\But something even more...\Emma sure was mad.\Hey, Ray.\I want to ask you something.\What?\You said you did it so that both of us don't get killed. response:	But are you actually...
context: It's not just about being dangerous because we're dealing with bad people.\But something even more...\Emma sure was mad.\Hey, Ray.\I want to ask you something.\What?\You said you did it so that both of us don't get killed.\But are you actually... response:	Oh yeah!
context: But something even more...\Emma sure was mad.\Hey, Ray.\I want to ask you something.\What?\You said you did it so that both of us don't get killed.\But are you actually...\Oh yeah! response:	I have something to report.
context: Emma sure was mad.\Hey, Ray.\I want to ask you something.\What?\You said you did it so that both of us don't get killed.\But are you actually...\Oh yeah!\I have something to report. response:	Gilda and I decided to properly observe Mom once again.
context: Hey, Ray.\I want to ask you something.\What?\You said you did it so that both of us don't get killed.\But are you actually...\Oh yeah!\I have something to report.\Gilda and I decided to properly observe Mom once again. response:	Mom disappears right before eight o'clock every night.
context: I want to ask you something.\What?\You said you did it so that both of us don't get killed.\But are you actually...\Oh yeah!\I have something to report.\Gilda and I decided to properly observe Mom once again.\Mom disappears right before eight o'clock every night. response:	Disappears?
context: What?\You said you did it so that both of us don't get killed.\But are you actually...\Oh yeah!\I have something to report.\Gilda and I decided to properly observe Mom once again.\Mom disappears right before eight o'clock every night.\Disappears? response:	Yeah. She's nowhere to be found in the House.
context: You said you did it so that both of us don't get killed.\But are you actually...\Oh yeah!\I have something to report.\Gilda and I decided to properly observe Mom once again.\Mom disappears right before eight o'clock every night.\Disappears?\Yeah. She's nowhere to be found in the House. response:	This House has a secret room.
context: But are you actually...\Oh yeah!\I have something to report.\Gilda and I decided to properly observe Mom once again.\Mom disappears right before eight o'clock every night.\Disappears?\Yeah. She's nowhere to be found in the House.\This House has a secret room. response:	A secret room?
context: Oh yeah!\I have something to report.\Gilda and I decided to properly observe Mom once again.\Mom disappears right before eight o'clock every night.\Disappears?\Yeah. She's nowhere to be found in the House.\This House has a secret room.\A secret room? response:	Yeah.
context: I have something to report.\Gilda and I decided to properly observe Mom once again.\Mom disappears right before eight o'clock every night.\Disappears?\Yeah. She's nowhere to be found in the House.\This House has a secret room.\A secret room?\Yeah. response:	Located here.
context: Gilda and I decided to properly observe Mom once again.\Mom disappears right before eight o'clock every night.\Disappears?\Yeah. She's nowhere to be found in the House.\This House has a secret room.\A secret room?\Yeah.\Located here. response:	Next to Mom's bedroom.
context: Mom disappears right before eight o'clock every night.\Disappears?\Yeah. She's nowhere to be found in the House.\This House has a secret room.\A secret room?\Yeah.\Located here.\Next to Mom's bedroom. response:	Mom's bedroom has the bathroom and washroom next to it.
context: Disappears?\Yeah. She's nowhere to be found in the House.\This House has a secret room.\A secret room?\Yeah.\Located here.\Next to Mom's bedroom.\Mom's bedroom has the bathroom and washroom next to it. response:	Past that, continuing beyond the wall is Mom's office.
context: Yeah. She's nowhere to be found in the House.\This House has a secret room.\A secret room?\Yeah.\Located here.\Next to Mom's bedroom.\Mom's bedroom has the bathroom and washroom next to it.\Past that, continuing beyond the wall is Mom's office. response:	But this probably isn't a wall.
context: This House has a secret room.\A secret room?\Yeah.\Located here.\Next to Mom's bedroom.\Mom's bedroom has the bathroom and washroom next to it.\Past that, continuing beyond the wall is Mom's office.\But this probably isn't a wall. response:	I noticed that every time Mom disappears, she always goes into her office or the washroom.
context: A secret room?\Yeah.\Located here.\Next to Mom's bedroom.\Mom's bedroom has the bathroom and washroom next to it.\Past that, continuing beyond the wall is Mom's office.\But this probably isn't a wall.\I noticed that every time Mom disappears, she always goes into her office or the washroom. response:	So I measured the distance inside the room, and the distance in the hallway.
context: Yeah.\Located here.\Next to Mom's bedroom.\Mom's bedroom has the bathroom and washroom next to it.\Past that, continuing beyond the wall is Mom's office.\But this probably isn't a wall.\I noticed that every time Mom disappears, she always goes into her office or the washroom.\So I measured the distance inside the room, and the distance in the hallway. response:	Oh. That's what you were doing then.
context: Located here.\Next to Mom's bedroom.\Mom's bedroom has the bathroom and washroom next to it.\Past that, continuing beyond the wall is Mom's office.\But this probably isn't a wall.\I noticed that every time Mom disappears, she always goes into her office or the washroom.\So I measured the distance inside the room, and the distance in the hallway.\Oh. That's what you were doing then. response:	Yeah.
context: Next to Mom's bedroom.\Mom's bedroom has the bathroom and washroom next to it.\Past that, continuing beyond the wall is Mom's office.\But this probably isn't a wall.\I noticed that every time Mom disappears, she always goes into her office or the washroom.\So I measured the distance inside the room, and the distance in the hallway.\Oh. That's what you were doing then.\Yeah. response:	And the result?
context: Mom's bedroom has the bathroom and washroom next to it.\Past that, continuing beyond the wall is Mom's office.\But this probably isn't a wall.\I noticed that every time Mom disappears, she always goes into her office or the washroom.\So I measured the distance inside the room, and the distance in the hallway.\Oh. That's what you were doing then.\Yeah.\And the result? response:	They didn't match.
context: Past that, continuing beyond the wall is Mom's office.\But this probably isn't a wall.\I noticed that every time Mom disappears, she always goes into her office or the washroom.\So I measured the distance inside the room, and the distance in the hallway.\Oh. That's what you were doing then.\Yeah.\And the result?\They didn't match. response:	There are about ten of my footsteps' worth of space.
context: But this probably isn't a wall.\I noticed that every time Mom disappears, she always goes into her office or the washroom.\So I measured the distance inside the room, and the distance in the hallway.\Oh. That's what you were doing then.\Yeah.\And the result?\They didn't match.\There are about ten of my footsteps' worth of space. response:	One side is a wall, and the other side is a bookshelf.
context: I noticed that every time Mom disappears, she always goes into her office or the washroom.\So I measured the distance inside the room, and the distance in the hallway.\Oh. That's what you were doing then.\Yeah.\And the result?\They didn't match.\There are about ten of my footsteps' worth of space.\One side is a wall, and the other side is a bookshelf. response:	But I think there are hidden doors on both sides.
context: So I measured the distance inside the room, and the distance in the hallway.\Oh. That's what you were doing then.\Yeah.\And the result?\They didn't match.\There are about ten of my footsteps' worth of space.\One side is a wall, and the other side is a bookshelf.\But I think there are hidden doors on both sides. response:	And beyond that, there's a secret room.
context: Oh. That's what you were doing then.\Yeah.\And the result?\They didn't match.\There are about ten of my footsteps' worth of space.\One side is a wall, and the other side is a bookshelf.\But I think there are hidden doors on both sides.\And beyond that, there's a secret room. response:	But what is that for?
context: Yeah.\And the result?\They didn't match.\There are about ten of my footsteps' worth of space.\One side is a wall, and the other side is a bookshelf.\But I think there are hidden doors on both sides.\And beyond that, there's a secret room.\But what is that for? response:	Probably
context: And the result?\They didn't match.\There are about ten of my footsteps' worth of space.\One side is a wall, and the other side is a bookshelf.\But I think there are hidden doors on both sides.\And beyond that, there's a secret room.\But what is that for?\Probably response:	Scheduled check-ins.
context: They didn't match.\There are about ten of my footsteps' worth of space.\One side is a wall, and the other side is a bookshelf.\But I think there are hidden doors on both sides.\And beyond that, there's a secret room.\But what is that for?\Probably\Scheduled check-ins. response:	Mom does scheduled check-ins to the headquarters every day.
context: There are about ten of my footsteps' worth of space.\One side is a wall, and the other side is a bookshelf.\But I think there are hidden doors on both sides.\And beyond that, there's a secret room.\But what is that for?\Probably\Scheduled check-ins.\Mom does scheduled check-ins to the headquarters every day. response:	The room is likely for that.
context: One side is a wall, and the other side is a bookshelf.\But I think there are hidden doors on both sides.\And beyond that, there's a secret room.\But what is that for?\Probably\Scheduled check-ins.\Mom does scheduled check-ins to the headquarters every day.\The room is likely for that. response:	Headquarters?
context: But I think there are hidden doors on both sides.\And beyond that, there's a secret room.\But what is that for?\Probably\Scheduled check-ins.\Mom does scheduled check-ins to the headquarters every day.\The room is likely for that.\Headquarters? response:	The base that supplies babies and sisters to this House.
context: And beyond that, there's a secret room.\But what is that for?\Probably\Scheduled check-ins.\Mom does scheduled check-ins to the headquarters every day.\The room is likely for that.\Headquarters?\The base that supplies babies and sisters to this House. response:	Ray, did you know that there was a room here?
context: But what is that for?\Probably\Scheduled check-ins.\Mom does scheduled check-ins to the headquarters every day.\The room is likely for that.\Headquarters?\The base that supplies babies and sisters to this House.\Ray, did you know that there was a room here? response:	No. Although I suspected the existence
context: Probably\Scheduled check-ins.\Mom does scheduled check-ins to the headquarters every day.\The room is likely for that.\Headquarters?\The base that supplies babies and sisters to this House.\Ray, did you know that there was a room here?\No. Although I suspected the existence response:	Let's try to get in.
context: Scheduled check-ins.\Mom does scheduled check-ins to the headquarters every day.\The room is likely for that.\Headquarters?\The base that supplies babies and sisters to this House.\Ray, did you know that there was a room here?\No. Although I suspected the existence\Let's try to get in. response:	It's a way to communicate with the outside, and find Conny and the others' whereabouts.
context: Mom does scheduled check-ins to the headquarters every day.\The room is likely for that.\Headquarters?\The base that supplies babies and sisters to this House.\Ray, did you know that there was a room here?\No. Although I suspected the existence\Let's try to get in.\It's a way to communicate with the outside, and find Conny and the others' whereabouts. response:	We might be able to find some clues!
context: The room is likely for that.\Headquarters?\The base that supplies babies and sisters to this House.\Ray, did you know that there was a room here?\No. Although I suspected the existence\Let's try to get in.\It's a way to communicate with the outside, and find Conny and the others' whereabouts.\We might be able to find some clues! response:	But could we get in there so easily?
context: Headquarters?\The base that supplies babies and sisters to this House.\Ray, did you know that there was a room here?\No. Although I suspected the existence\Let's try to get in.\It's a way to communicate with the outside, and find Conny and the others' whereabouts.\We might be able to find some clues!\But could we get in there so easily? response:	Even if it's difficult, we have to do it!
context: The base that supplies babies and sisters to this House.\Ray, did you know that there was a room here?\No. Although I suspected the existence\Let's try to get in.\It's a way to communicate with the outside, and find Conny and the others' whereabouts.\We might be able to find some clues!\But could we get in there so easily?\Even if it's difficult, we have to do it! response:	Hold on. There's no merit in going that far.
context: Ray, did you know that there was a room here?\No. Although I suspected the existence\Let's try to get in.\It's a way to communicate with the outside, and find Conny and the others' whereabouts.\We might be able to find some clues!\But could we get in there so easily?\Even if it's difficult, we have to do it!\Hold on. There's no merit in going that far. response:	Even if it's a communication method, it's most likely only connected to headquarters.
context: No. Although I suspected the existence\Let's try to get in.\It's a way to communicate with the outside, and find Conny and the others' whereabouts.\We might be able to find some clues!\But could we get in there so easily?\Even if it's difficult, we have to do it!\Hold on. There's no merit in going that far.\Even if it's a communication method, it's most likely only connected to headquarters. response:	And Mom doesn't know where our siblings were sent.
context: Let's try to get in.\It's a way to communicate with the outside, and find Conny and the others' whereabouts.\We might be able to find some clues!\But could we get in there so easily?\Even if it's difficult, we have to do it!\Hold on. There's no merit in going that far.\Even if it's a communication method, it's most likely only connected to headquarters.\And Mom doesn't know where our siblings were sent. response:	It's not even an issue of finding clues.
context: It's a way to communicate with the outside, and find Conny and the others' whereabouts.\We might be able to find some clues!\But could we get in there so easily?\Even if it's difficult, we have to do it!\Hold on. There's no merit in going that far.\Even if it's a communication method, it's most likely only connected to headquarters.\And Mom doesn't know where our siblings were sent.\It's not even an issue of finding clues. response:	And if we're careless, our tracking devices could give away our position.
context: We might be able to find some clues!\But could we get in there so easily?\Even if it's difficult, we have to do it!\Hold on. There's no merit in going that far.\Even if it's a communication method, it's most likely only connected to headquarters.\And Mom doesn't know where our siblings were sent.\It's not even an issue of finding clues.\And if we're careless, our tracking devices could give away our position. response:	We don't know what kind of security that room has.
context: But could we get in there so easily?\Even if it's difficult, we have to do it!\Hold on. There's no merit in going that far.\Even if it's a communication method, it's most likely only connected to headquarters.\And Mom doesn't know where our siblings were sent.\It's not even an issue of finding clues.\And if we're careless, our tracking devices could give away our position.\We don't know what kind of security that room has. response:	It's too dangerous.
context: Even if it's difficult, we have to do it!\Hold on. There's no merit in going that far.\Even if it's a communication method, it's most likely only connected to headquarters.\And Mom doesn't know where our siblings were sent.\It's not even an issue of finding clues.\And if we're careless, our tracking devices could give away our position.\We don't know what kind of security that room has.\It's too dangerous. response:	But...
context: Hold on. There's no merit in going that far.\Even if it's a communication method, it's most likely only connected to headquarters.\And Mom doesn't know where our siblings were sent.\It's not even an issue of finding clues.\And if we're careless, our tracking devices could give away our position.\We don't know what kind of security that room has.\It's too dangerous.\But... response:	I'm saying that the risk overwhelmingly outweighs the merit.
context: Even if it's a communication method, it's most likely only connected to headquarters.\And Mom doesn't know where our siblings were sent.\It's not even an issue of finding clues.\And if we're careless, our tracking devices could give away our position.\We don't know what kind of security that room has.\It's too dangerous.\But...\I'm saying that the risk overwhelmingly outweighs the merit. response:	You're right.
context: And Mom doesn't know where our siblings were sent.\It's not even an issue of finding clues.\And if we're careless, our tracking devices could give away our position.\We don't know what kind of security that room has.\It's too dangerous.\But...\I'm saying that the risk overwhelmingly outweighs the merit.\You're right. response:	For now, be careful of the Sister. Don't dig your grave with a foolish move.
context: It's not even an issue of finding clues.\And if we're careless, our tracking devices could give away our position.\We don't know what kind of security that room has.\It's too dangerous.\But...\I'm saying that the risk overwhelmingly outweighs the merit.\You're right.\For now, be careful of the Sister. Don't dig your grave with a foolish move. response:	Exactly.
context: And if we're careless, our tracking devices could give away our position.\We don't know what kind of security that room has.\It's too dangerous.\But...\I'm saying that the risk overwhelmingly outweighs the merit.\You're right.\For now, be careful of the Sister. Don't dig your grave with a foolish move.\Exactly. response:	I have Mom under control, but we're doomed if the Sister finds out.
context: We don't know what kind of security that room has.\It's too dangerous.\But...\I'm saying that the risk overwhelmingly outweighs the merit.\You're right.\For now, be careful of the Sister. Don't dig your grave with a foolish move.\Exactly.\I have Mom under control, but we're doomed if the Sister finds out. response:	Keep that in mind when you act.
context: It's too dangerous.\But...\I'm saying that the risk overwhelmingly outweighs the merit.\You're right.\For now, be careful of the Sister. Don't dig your grave with a foolish move.\Exactly.\I have Mom under control, but we're doomed if the Sister finds out.\Keep that in mind when you act. response:	Don, can you go ahead to prepare for dinner?
context: But...\I'm saying that the risk overwhelmingly outweighs the merit.\You're right.\For now, be careful of the Sister. Don't dig your grave with a foolish move.\Exactly.\I have Mom under control, but we're doomed if the Sister finds out.\Keep that in mind when you act.\Don, can you go ahead to prepare for dinner? response:	- If someone doesn't go, Mom will - I know.
context: I'm saying that the risk overwhelmingly outweighs the merit.\You're right.\For now, be careful of the Sister. Don't dig your grave with a foolish move.\Exactly.\I have Mom under control, but we're doomed if the Sister finds out.\Keep that in mind when you act.\Don, can you go ahead to prepare for dinner?\- If someone doesn't go, Mom will - I know. response:	Huh? Don, that way is...
context: You're right.\For now, be careful of the Sister. Don't dig your grave with a foolish move.\Exactly.\I have Mom under control, but we're doomed if the Sister finds out.\Keep that in mind when you act.\Don, can you go ahead to prepare for dinner?\- If someone doesn't go, Mom will - I know.\Huh? Don, that way is... response:	Do you really intend to go in?
context: For now, be careful of the Sister. Don't dig your grave with a foolish move.\Exactly.\I have Mom under control, but we're doomed if the Sister finds out.\Keep that in mind when you act.\Don, can you go ahead to prepare for dinner?\- If someone doesn't go, Mom will - I know.\Huh? Don, that way is...\Do you really intend to go in? response:	I can't stay calm like them.
context: Exactly.\I have Mom under control, but we're doomed if the Sister finds out.\Keep that in mind when you act.\Don, can you go ahead to prepare for dinner?\- If someone doesn't go, Mom will - I know.\Huh? Don, that way is...\Do you really intend to go in?\I can't stay calm like them. response:	And I want to know the real Mom.
context: I have Mom under control, but we're doomed if the Sister finds out.\Keep that in mind when you act.\Don, can you go ahead to prepare for dinner?\- If someone doesn't go, Mom will - I know.\Huh? Don, that way is...\Do you really intend to go in?\I can't stay calm like them.\And I want to know the real Mom. response:	There's a hidden door behind here.
context: Keep that in mind when you act.\Don, can you go ahead to prepare for dinner?\- If someone doesn't go, Mom will - I know.\Huh? Don, that way is...\Do you really intend to go in?\I can't stay calm like them.\And I want to know the real Mom.\There's a hidden door behind here. response:	How is this set up?
context: Don, can you go ahead to prepare for dinner?\- If someone doesn't go, Mom will - I know.\Huh? Don, that way is...\Do you really intend to go in?\I can't stay calm like them.\And I want to know the real Mom.\There's a hidden door behind here.\How is this set up? response:	Is there even one here?
context: - If someone doesn't go, Mom will - I know.\Huh? Don, that way is...\Do you really intend to go in?\I can't stay calm like them.\And I want to know the real Mom.\There's a hidden door behind here.\How is this set up?\Is there even one here? response:	Damn it! I need to hurry and go save her as soon as possible!
context: Huh? Don, that way is...\Do you really intend to go in?\I can't stay calm like them.\And I want to know the real Mom.\There's a hidden door behind here.\How is this set up?\Is there even one here?\Damn it! I need to hurry and go save her as soon as possible! response:	Maybe...
context: Do you really intend to go in?\I can't stay calm like them.\And I want to know the real Mom.\There's a hidden door behind here.\How is this set up?\Is there even one here?\Damn it! I need to hurry and go save her as soon as possible!\Maybe... response:	Look closely at the shapes.
context: I can't stay calm like them.\And I want to know the real Mom.\There's a hidden door behind here.\How is this set up?\Is there even one here?\Damn it! I need to hurry and go save her as soon as possible!\Maybe...\Look closely at the shapes. response:	Let's go.
context: And I want to know the real Mom.\There's a hidden door behind here.\How is this set up?\Is there even one here?\Damn it! I need to hurry and go save her as soon as possible!\Maybe...\Look closely at the shapes.\Let's go. response:	It's locked.
