context: All of Kosaku Kawajiri's shoes are a bit big for my own feet. response:	I need to switch them with
context: That was the happiest morning of my life.\Well? Is it good?\That Hayato...\He left without saying goodbye again.\Was that brat observing me?\Oh, darling!\That's my plate.\You don't like shiitake mushrooms, so I took them out of yours... response:	When did you start liking them?
context: Well? Is it good?\That Hayato...\He left without saying goodbye again.\Was that brat observing me?\Oh, darling!\That's my plate.\You don't like shiitake mushrooms, so I took them out of yours...\When did you start liking them? response:	You've already eaten more than half of it.
context: That Hayato...\He left without saying goodbye again.\Was that brat observing me?\Oh, darling!\That's my plate.\You don't like shiitake mushrooms, so I took them out of yours...\When did you start liking them?\You've already eaten more than half of it. response:	But I'm happy to see you gobbling down my cooking.
context: He left without saying goodbye again.\Was that brat observing me?\Oh, darling!\That's my plate.\You don't like shiitake mushrooms, so I took them out of yours...\When did you start liking them?\You've already eaten more than half of it.\But I'm happy to see you gobbling down my cooking. response:	I guess you realized that you only thought you didn't like them, huh?
context: Was that brat observing me?\Oh, darling!\That's my plate.\You don't like shiitake mushrooms, so I took them out of yours...\When did you start liking them?\You've already eaten more than half of it.\But I'm happy to see you gobbling down my cooking.\I guess you realized that you only thought you didn't like them, huh? response:	Yes.
context: Oh, darling!\That's my plate.\You don't like shiitake mushrooms, so I took them out of yours...\When did you start liking them?\You've already eaten more than half of it.\But I'm happy to see you gobbling down my cooking.\I guess you realized that you only thought you didn't like them, huh?\Yes. response:	All right, I'm going.
context: That's my plate.\You don't like shiitake mushrooms, so I took them out of yours...\When did you start liking them?\You've already eaten more than half of it.\But I'm happy to see you gobbling down my cooking.\I guess you realized that you only thought you didn't like them, huh?\Yes.\All right, I'm going. response:	Have a good day, darling.
context: You don't like shiitake mushrooms, so I took them out of yours...\When did you start liking them?\You've already eaten more than half of it.\But I'm happy to see you gobbling down my cooking.\I guess you realized that you only thought you didn't like them, huh?\Yes.\All right, I'm going.\Have a good day, darling. response:	Jeez... I wanted him to give me a goodbye kiss.
context: When did you start liking them?\You've already eaten more than half of it.\But I'm happy to see you gobbling down my cooking.\I guess you realized that you only thought you didn't like them, huh?\Yes.\All right, I'm going.\Have a good day, darling.\Jeez... I wanted him to give me a goodbye kiss. response:	But we're understanding each other's feelings.
context: You've already eaten more than half of it.\But I'm happy to see you gobbling down my cooking.\I guess you realized that you only thought you didn't like them, huh?\Yes.\All right, I'm going.\Have a good day, darling.\Jeez... I wanted him to give me a goodbye kiss.\But we're understanding each other's feelings. response:	I'll seduce him soon enough.
context: But I'm happy to see you gobbling down my cooking.\I guess you realized that you only thought you didn't like them, huh?\Yes.\All right, I'm going.\Have a good day, darling.\Jeez... I wanted him to give me a goodbye kiss.\But we're understanding each other's feelings.\I'll seduce him soon enough. response:	He was using a shoehorn to put on his shoes.
context: I guess you realized that you only thought you didn't like them, huh?\Yes.\All right, I'm going.\Have a good day, darling.\Jeez... I wanted him to give me a goodbye kiss.\But we're understanding each other's feelings.\I'll seduce him soon enough.\He was using a shoehorn to put on his shoes. response:	I'm sure he put on the 25.5cm sized shoes.
context: Yes.\All right, I'm going.\Have a good day, darling.\Jeez... I wanted him to give me a goodbye kiss.\But we're understanding each other's feelings.\I'll seduce him soon enough.\He was using a shoehorn to put on his shoes.\I'm sure he put on the 25.5cm sized shoes. response:	Having two different sizes of shoes is weird.
context: All right, I'm going.\Have a good day, darling.\Jeez... I wanted him to give me a goodbye kiss.\But we're understanding each other's feelings.\I'll seduce him soon enough.\He was using a shoehorn to put on his shoes.\I'm sure he put on the 25.5cm sized shoes.\Having two different sizes of shoes is weird. response:	It's also weird that Mom and Dad are getting along lately.
context: Have a good day, darling.\Jeez... I wanted him to give me a goodbye kiss.\But we're understanding each other's feelings.\I'll seduce him soon enough.\He was using a shoehorn to put on his shoes.\I'm sure he put on the 25.5cm sized shoes.\Having two different sizes of shoes is weird.\It's also weird that Mom and Dad are getting along lately. response:	He was even gobbling up the shiitake mushrooms that he hates.
context: Jeez... I wanted him to give me a goodbye kiss.\But we're understanding each other's feelings.\I'll seduce him soon enough.\He was using a shoehorn to put on his shoes.\I'm sure he put on the 25.5cm sized shoes.\Having two different sizes of shoes is weird.\It's also weird that Mom and Dad are getting along lately.\He was even gobbling up the shiitake mushrooms that he hates. response:	This is weird, too.
context: But we're understanding each other's feelings.\I'll seduce him soon enough.\He was using a shoehorn to put on his shoes.\I'm sure he put on the 25.5cm sized shoes.\Having two different sizes of shoes is weird.\It's also weird that Mom and Dad are getting along lately.\He was even gobbling up the shiitake mushrooms that he hates.\This is weird, too. response:	Why was he writing his own name over and over?
context: I'll seduce him soon enough.\He was using a shoehorn to put on his shoes.\I'm sure he put on the 25.5cm sized shoes.\Having two different sizes of shoes is weird.\It's also weird that Mom and Dad are getting along lately.\He was even gobbling up the shiitake mushrooms that he hates.\This is weird, too.\Why was he writing his own name over and over? response:	And last night...
context: He was using a shoehorn to put on his shoes.\I'm sure he put on the 25.5cm sized shoes.\Having two different sizes of shoes is weird.\It's also weird that Mom and Dad are getting along lately.\He was even gobbling up the shiitake mushrooms that he hates.\This is weird, too.\Why was he writing his own name over and over?\And last night... response:	No matter how many times I see it, that's potting soil.
context: I'm sure he put on the 25.5cm sized shoes.\Having two different sizes of shoes is weird.\It's also weird that Mom and Dad are getting along lately.\He was even gobbling up the shiitake mushrooms that he hates.\This is weird, too.\Why was he writing his own name over and over?\And last night...\No matter how many times I see it, that's potting soil. response:	And I think the other thing he has is a bag of cat food.
context: Having two different sizes of shoes is weird.\It's also weird that Mom and Dad are getting along lately.\He was even gobbling up the shiitake mushrooms that he hates.\This is weird, too.\Why was he writing his own name over and over?\And last night...\No matter how many times I see it, that's potting soil.\And I think the other thing he has is a bag of cat food. response:	And then he goes inside his closet...
context: It's also weird that Mom and Dad are getting along lately.\He was even gobbling up the shiitake mushrooms that he hates.\This is weird, too.\Why was he writing his own name over and over?\And last night...\No matter how many times I see it, that's potting soil.\And I think the other thing he has is a bag of cat food.\And then he goes inside his closet... response:	They're all wearing hats.
context: He was even gobbling up the shiitake mushrooms that he hates.\This is weird, too.\Why was he writing his own name over and over?\And last night...\No matter how many times I see it, that's potting soil.\And I think the other thing he has is a bag of cat food.\And then he goes inside his closet...\They're all wearing hats. response:	Do they have to wear those for school?
context: This is weird, too.\Why was he writing his own name over and over?\And last night...\No matter how many times I see it, that's potting soil.\And I think the other thing he has is a bag of cat food.\And then he goes inside his closet...\They're all wearing hats.\Do they have to wear those for school? response:	Something doesn't feel right...
context: Why was he writing his own name over and over?\And last night...\No matter how many times I see it, that's potting soil.\And I think the other thing he has is a bag of cat food.\And then he goes inside his closet...\They're all wearing hats.\Do they have to wear those for school?\Something doesn't feel right... response:	The attic?
context: And last night...\No matter how many times I see it, that's potting soil.\And I think the other thing he has is a bag of cat food.\And then he goes inside his closet...\They're all wearing hats.\Do they have to wear those for school?\Something doesn't feel right...\The attic? response:	Wh-What is that bizarrely shaped thing?
context: No matter how many times I see it, that's potting soil.\And I think the other thing he has is a bag of cat food.\And then he goes inside his closet...\They're all wearing hats.\Do they have to wear those for school?\Something doesn't feel right...\The attic?\Wh-What is that bizarrely shaped thing? response:	It's too dark for me to see it clearly.
context: And I think the other thing he has is a bag of cat food.\And then he goes inside his closet...\They're all wearing hats.\Do they have to wear those for school?\Something doesn't feel right...\The attic?\Wh-What is that bizarrely shaped thing?\It's too dark for me to see it clearly. response:	There it is. It's that bag.
context: And then he goes inside his closet...\They're all wearing hats.\Do they have to wear those for school?\Something doesn't feel right...\The attic?\Wh-What is that bizarrely shaped thing?\It's too dark for me to see it clearly.\There it is. It's that bag. response:	Huh?
context: They're all wearing hats.\Do they have to wear those for school?\Something doesn't feel right...\The attic?\Wh-What is that bizarrely shaped thing?\It's too dark for me to see it clearly.\There it is. It's that bag.\Huh? response:	Wha
context: Do they have to wear those for school?\Something doesn't feel right...\The attic?\Wh-What is that bizarrely shaped thing?\It's too dark for me to see it clearly.\There it is. It's that bag.\Huh?\Wha response:	I-It's moving!
context: Something doesn't feel right...\The attic?\Wh-What is that bizarrely shaped thing?\It's too dark for me to see it clearly.\There it is. It's that bag.\Huh?\Wha\I-It's moving! response:	It's not a plant... Those are eyes!
context: The attic?\Wh-What is that bizarrely shaped thing?\It's too dark for me to see it clearly.\There it is. It's that bag.\Huh?\Wha\I-It's moving!\It's not a plant... Those are eyes! response:	It has eyeballs, and it's looking this way!
context: Wh-What is that bizarrely shaped thing?\It's too dark for me to see it clearly.\There it is. It's that bag.\Huh?\Wha\I-It's moving!\It's not a plant... Those are eyes!\It has eyeballs, and it's looking this way! response:	Could that cat food be for this thing?
context: It's too dark for me to see it clearly.\There it is. It's that bag.\Huh?\Wha\I-It's moving!\It's not a plant... Those are eyes!\It has eyeballs, and it's looking this way!\Could that cat food be for this thing? response:	Oh, darling.
context: There it is. It's that bag.\Huh?\Wha\I-It's moving!\It's not a plant... Those are eyes!\It has eyeballs, and it's looking this way!\Could that cat food be for this thing?\Oh, darling. response:	What's the matter?
context: Huh?\Wha\I-It's moving!\It's not a plant... Those are eyes!\It has eyeballs, and it's looking this way!\Could that cat food be for this thing?\Oh, darling.\What's the matter? response:	Did you forget something? Oh, is the thing you forgot
context: Wha\I-It's moving!\It's not a plant... Those are eyes!\It has eyeballs, and it's looking this way!\Could that cat food be for this thing?\Oh, darling.\What's the matter?\Did you forget something? Oh, is the thing you forgot response:	my goodbye kiss?
context: I-It's moving!\It's not a plant... Those are eyes!\It has eyeballs, and it's looking this way!\Could that cat food be for this thing?\Oh, darling.\What's the matter?\Did you forget something? Oh, is the thing you forgot\my goodbye kiss? response:	No...
context: It's not a plant... Those are eyes!\It has eyeballs, and it's looking this way!\Could that cat food be for this thing?\Oh, darling.\What's the matter?\Did you forget something? Oh, is the thing you forgot\my goodbye kiss?\No... response:	Aww...
context: It has eyeballs, and it's looking this way!\Could that cat food be for this thing?\Oh, darling.\What's the matter?\Did you forget something? Oh, is the thing you forgot\my goodbye kiss?\No...\Aww... response:	Then what is it? Shall I get it for you?
context: Could that cat food be for this thing?\Oh, darling.\What's the matter?\Did you forget something? Oh, is the thing you forgot\my goodbye kiss?\No...\Aww...\Then what is it? Shall I get it for you? response:	No, I'll get it.
context: Oh, darling.\What's the matter?\Did you forget something? Oh, is the thing you forgot\my goodbye kiss?\No...\Aww...\Then what is it? Shall I get it for you?\No, I'll get it. response:	Why is he back?
context: What's the matter?\Did you forget something? Oh, is the thing you forgot\my goodbye kiss?\No...\Aww...\Then what is it? Shall I get it for you?\No, I'll get it.\Why is he back? response:	Crap!
context: Did you forget something? Oh, is the thing you forgot\my goodbye kiss?\No...\Aww...\Then what is it? Shall I get it for you?\No, I'll get it.\Why is he back?\Crap! response:	Huh?!
context: my goodbye kiss?\No...\Aww...\Then what is it? Shall I get it for you?\No, I'll get it.\Why is he back?\Crap!\Huh?! response:	What?! Th-This thing...
context: No...\Aww...\Then what is it? Shall I get it for you?\No, I'll get it.\Why is he back?\Crap!\Huh?!\What?! Th-This thing... response:	Something I can't see that's inflated,
context: Aww...\Then what is it? Shall I get it for you?\No, I'll get it.\Why is he back?\Crap!\Huh?!\What?! Th-This thing...\Something I can't see that's inflated, response:	like some kind of air bubble, has my arms and neck pinned down!
context: Then what is it? Shall I get it for you?\No, I'll get it.\Why is he back?\Crap!\Huh?!\What?! Th-This thing...\Something I can't see that's inflated,\like some kind of air bubble, has my arms and neck pinned down! response:	He's coming up! C-Crap!
context: No, I'll get it.\Why is he back?\Crap!\Huh?!\What?! Th-This thing...\Something I can't see that's inflated,\like some kind of air bubble, has my arms and neck pinned down!\He's coming up! C-Crap! response:	The attic! I knew it! That brat...
context: Why is he back?\Crap!\Huh?!\What?! Th-This thing...\Something I can't see that's inflated,\like some kind of air bubble, has my arms and neck pinned down!\He's coming up! C-Crap!\The attic! I knew it! That brat... response:	I-It attacked me when I tried to shut the window?
context: Crap!\Huh?!\What?! Th-This thing...\Something I can't see that's inflated,\like some kind of air bubble, has my arms and neck pinned down!\He's coming up! C-Crap!\The attic! I knew it! That brat...\I-It attacked me when I tried to shut the window? response:	Does this thing need sunlight to move?
context: Huh?!\What?! Th-This thing...\Something I can't see that's inflated,\like some kind of air bubble, has my arms and neck pinned down!\He's coming up! C-Crap!\The attic! I knew it! That brat...\I-It attacked me when I tried to shut the window?\Does this thing need sunlight to move? response:	I-I know! If they're air bubbles...
context: What?! Th-This thing...\Something I can't see that's inflated,\like some kind of air bubble, has my arms and neck pinned down!\He's coming up! C-Crap!\The attic! I knew it! That brat...\I-It attacked me when I tried to shut the window?\Does this thing need sunlight to move?\I-I know! If they're air bubbles... response:	Yes! So it was the sunlight.
context: Something I can't see that's inflated,\like some kind of air bubble, has my arms and neck pinned down!\He's coming up! C-Crap!\The attic! I knew it! That brat...\I-It attacked me when I tried to shut the window?\Does this thing need sunlight to move?\I-I know! If they're air bubbles...\Yes! So it was the sunlight. response:	That noise...
context: like some kind of air bubble, has my arms and neck pinned down!\He's coming up! C-Crap!\The attic! I knew it! That brat...\I-It attacked me when I tried to shut the window?\Does this thing need sunlight to move?\I-I know! If they're air bubbles...\Yes! So it was the sunlight.\That noise... response:	Did Stray Cat wear itself out trying to
context: He's coming up! C-Crap!\The attic! I knew it! That brat...\I-It attacked me when I tried to shut the window?\Does this thing need sunlight to move?\I-I know! If they're air bubbles...\Yes! So it was the sunlight.\That noise...\Did Stray Cat wear itself out trying to response:	get the cat food from the shelf using air?
context: The attic! I knew it! That brat...\I-It attacked me when I tried to shut the window?\Does this thing need sunlight to move?\I-I know! If they're air bubbles...\Yes! So it was the sunlight.\That noise...\Did Stray Cat wear itself out trying to\get the cat food from the shelf using air? response:	I thought it would stay calm if there was no sunlight hitting it,
context: I-It attacked me when I tried to shut the window?\Does this thing need sunlight to move?\I-I know! If they're air bubbles...\Yes! So it was the sunlight.\That noise...\Did Stray Cat wear itself out trying to\get the cat food from the shelf using air?\I thought it would stay calm if there was no sunlight hitting it, response:	but I guess a tiny bit of light was coming in.
context: Does this thing need sunlight to move?\I-I know! If they're air bubbles...\Yes! So it was the sunlight.\That noise...\Did Stray Cat wear itself out trying to\get the cat food from the shelf using air?\I thought it would stay calm if there was no sunlight hitting it,\but I guess a tiny bit of light was coming in. response:	Still...
context: I-I know! If they're air bubbles...\Yes! So it was the sunlight.\That noise...\Did Stray Cat wear itself out trying to\get the cat food from the shelf using air?\I thought it would stay calm if there was no sunlight hitting it,\but I guess a tiny bit of light was coming in.\Still... response:	I thought that maybe Hayato had gotten in here,
context: Yes! So it was the sunlight.\That noise...\Did Stray Cat wear itself out trying to\get the cat food from the shelf using air?\I thought it would stay calm if there was no sunlight hitting it,\but I guess a tiny bit of light was coming in.\Still...\I thought that maybe Hayato had gotten in here, response:	but it appears that it was, thankfully, just my imagination.
context: That noise...\Did Stray Cat wear itself out trying to\get the cat food from the shelf using air?\I thought it would stay calm if there was no sunlight hitting it,\but I guess a tiny bit of light was coming in.\Still...\I thought that maybe Hayato had gotten in here,\but it appears that it was, thankfully, just my imagination. response:	If that brat knew the truth about me,
context: Did Stray Cat wear itself out trying to\get the cat food from the shelf using air?\I thought it would stay calm if there was no sunlight hitting it,\but I guess a tiny bit of light was coming in.\Still...\I thought that maybe Hayato had gotten in here,\but it appears that it was, thankfully, just my imagination.\If that brat knew the truth about me, response:	I would have had to kill him.
context: get the cat food from the shelf using air?\I thought it would stay calm if there was no sunlight hitting it,\but I guess a tiny bit of light was coming in.\Still...\I thought that maybe Hayato had gotten in here,\but it appears that it was, thankfully, just my imagination.\If that brat knew the truth about me,\I would have had to kill him. response:	He has Dad's face, but that's not my dad. Who...
context: I thought it would stay calm if there was no sunlight hitting it,\but I guess a tiny bit of light was coming in.\Still...\I thought that maybe Hayato had gotten in here,\but it appears that it was, thankfully, just my imagination.\If that brat knew the truth about me,\I would have had to kill him.\He has Dad's face, but that's not my dad. Who... response:	Wh-Who the hell is he?!
context: but I guess a tiny bit of light was coming in.\Still...\I thought that maybe Hayato had gotten in here,\but it appears that it was, thankfully, just my imagination.\If that brat knew the truth about me,\I would have had to kill him.\He has Dad's face, but that's not my dad. Who...\Wh-Who the hell is he?! response:	Episode 31 July 15th (Thurs), Part 1
context: Still...\I thought that maybe Hayato had gotten in here,\but it appears that it was, thankfully, just my imagination.\If that brat knew the truth about me,\I would have had to kill him.\He has Dad's face, but that's not my dad. Who...\Wh-Who the hell is he?!\Episode 31 July 15th (Thurs), Part 1 response:	Episode 31 July 15th ( Thurs ), Part 1
