context: I figured if they could not become pro after this, response:	there's something seriously wrong with this world.
context: We've been invited to have dinner with the guy from Gaia.\I imagine we'll be pretty late.\Did you by chance already make preparations for our post-live party?\No, not yet! We just got home!\I'm really sorry.\Not to worry.\It's okay, don't worry about us. Go.\This waste of time happens often. response:	I'm working tomorrow evening, but I'll stop by during the day.
context: I imagine we'll be pretty late.\Did you by chance already make preparations for our post-live party?\No, not yet! We just got home!\I'm really sorry.\Not to worry.\It's okay, don't worry about us. Go.\This waste of time happens often.\I'm working tomorrow evening, but I'll stop by during the day. response:	Oh, but I have work from the morning tomorrow.
context: Did you by chance already make preparations for our post-live party?\No, not yet! We just got home!\I'm really sorry.\Not to worry.\It's okay, don't worry about us. Go.\This waste of time happens often.\I'm working tomorrow evening, but I'll stop by during the day.\Oh, but I have work from the morning tomorrow. response:	What about Misato? Let me talk to her for a bit.
context: No, not yet! We just got home!\I'm really sorry.\Not to worry.\It's okay, don't worry about us. Go.\This waste of time happens often.\I'm working tomorrow evening, but I'll stop by during the day.\Oh, but I have work from the morning tomorrow.\What about Misato? Let me talk to her for a bit. response:	It's Nana.
context: I'm really sorry.\Not to worry.\It's okay, don't worry about us. Go.\This waste of time happens often.\I'm working tomorrow evening, but I'll stop by during the day.\Oh, but I have work from the morning tomorrow.\What about Misato? Let me talk to her for a bit.\It's Nana. response:	Hello?
context: Not to worry.\It's okay, don't worry about us. Go.\This waste of time happens often.\I'm working tomorrow evening, but I'll stop by during the day.\Oh, but I have work from the morning tomorrow.\What about Misato? Let me talk to her for a bit.\It's Nana.\Hello? response:	Yes. Nana, it was an awesome performance.
context: It's okay, don't worry about us. Go.\This waste of time happens often.\I'm working tomorrow evening, but I'll stop by during the day.\Oh, but I have work from the morning tomorrow.\What about Misato? Let me talk to her for a bit.\It's Nana.\Hello?\Yes. Nana, it was an awesome performance. response:	Huh?
context: This waste of time happens often.\I'm working tomorrow evening, but I'll stop by during the day.\Oh, but I have work from the morning tomorrow.\What about Misato? Let me talk to her for a bit.\It's Nana.\Hello?\Yes. Nana, it was an awesome performance.\Huh? response:	Oh? Is that so?
context: I'm working tomorrow evening, but I'll stop by during the day.\Oh, but I have work from the morning tomorrow.\What about Misato? Let me talk to her for a bit.\It's Nana.\Hello?\Yes. Nana, it was an awesome performance.\Huh?\Oh? Is that so? response:	No, let's hope they bring up the subject of a contract.
context: Oh, but I have work from the morning tomorrow.\What about Misato? Let me talk to her for a bit.\It's Nana.\Hello?\Yes. Nana, it was an awesome performance.\Huh?\Oh? Is that so?\No, let's hope they bring up the subject of a contract. response:	Huh? Tomorrow?
context: What about Misato? Let me talk to her for a bit.\It's Nana.\Hello?\Yes. Nana, it was an awesome performance.\Huh?\Oh? Is that so?\No, let's hope they bring up the subject of a contract.\Huh? Tomorrow? response:	What about me?
context: It's Nana.\Hello?\Yes. Nana, it was an awesome performance.\Huh?\Oh? Is that so?\No, let's hope they bring up the subject of a contract.\Huh? Tomorrow?\What about me? response:	Yes, I'll be waiting for you at home.
context: Hello?\Yes. Nana, it was an awesome performance.\Huh?\Oh? Is that so?\No, let's hope they bring up the subject of a contract.\Huh? Tomorrow?\What about me?\Yes, I'll be waiting for you at home. response:	Hey, Nana, what about me?
context: Yes. Nana, it was an awesome performance.\Huh?\Oh? Is that so?\No, let's hope they bring up the subject of a contract.\Huh? Tomorrow?\What about me?\Yes, I'll be waiting for you at home.\Hey, Nana, what about me? response:	Nana, Mr. Kawano's called for a taxi. Let's go.
context: Huh?\Oh? Is that so?\No, let's hope they bring up the subject of a contract.\Huh? Tomorrow?\What about me?\Yes, I'll be waiting for you at home.\Hey, Nana, what about me?\Nana, Mr. Kawano's called for a taxi. Let's go. response:	They're waiting in the street...
context: Oh? Is that so?\No, let's hope they bring up the subject of a contract.\Huh? Tomorrow?\What about me?\Yes, I'll be waiting for you at home.\Hey, Nana, what about me?\Nana, Mr. Kawano's called for a taxi. Let's go.\They're waiting in the street... response:	Oops. Sorry, you're on the phone.
context: No, let's hope they bring up the subject of a contract.\Huh? Tomorrow?\What about me?\Yes, I'll be waiting for you at home.\Hey, Nana, what about me?\Nana, Mr. Kawano's called for a taxi. Let's go.\They're waiting in the street...\Oops. Sorry, you're on the phone. response:	Sorry, Misato, I have to go now.
context: Huh? Tomorrow?\What about me?\Yes, I'll be waiting for you at home.\Hey, Nana, what about me?\Nana, Mr. Kawano's called for a taxi. Let's go.\They're waiting in the street...\Oops. Sorry, you're on the phone.\Sorry, Misato, I have to go now. response:	Say bye to Hachiko for me, okay?
context: What about me?\Yes, I'll be waiting for you at home.\Hey, Nana, what about me?\Nana, Mr. Kawano's called for a taxi. Let's go.\They're waiting in the street...\Oops. Sorry, you're on the phone.\Sorry, Misato, I have to go now.\Say bye to Hachiko for me, okay? response:	Huh? Oh, go ahead.
context: Yes, I'll be waiting for you at home.\Hey, Nana, what about me?\Nana, Mr. Kawano's called for a taxi. Let's go.\They're waiting in the street...\Oops. Sorry, you're on the phone.\Sorry, Misato, I have to go now.\Say bye to Hachiko for me, okay?\Huh? Oh, go ahead. response:	Feel free to stay in my room. The room's not locked.
context: Hey, Nana, what about me?\Nana, Mr. Kawano's called for a taxi. Let's go.\They're waiting in the street...\Oops. Sorry, you're on the phone.\Sorry, Misato, I have to go now.\Say bye to Hachiko for me, okay?\Huh? Oh, go ahead.\Feel free to stay in my room. The room's not locked. response:	Mhm. Bye.
context: Nana, Mr. Kawano's called for a taxi. Let's go.\They're waiting in the street...\Oops. Sorry, you're on the phone.\Sorry, Misato, I have to go now.\Say bye to Hachiko for me, okay?\Huh? Oh, go ahead.\Feel free to stay in my room. The room's not locked.\Mhm. Bye. response:	Was that Misato? What about Hachi?
context: They're waiting in the street...\Oops. Sorry, you're on the phone.\Sorry, Misato, I have to go now.\Say bye to Hachiko for me, okay?\Huh? Oh, go ahead.\Feel free to stay in my room. The room's not locked.\Mhm. Bye.\Was that Misato? What about Hachi? response:	She said not to worry and go.
context: Oops. Sorry, you're on the phone.\Sorry, Misato, I have to go now.\Say bye to Hachiko for me, okay?\Huh? Oh, go ahead.\Feel free to stay in my room. The room's not locked.\Mhm. Bye.\Was that Misato? What about Hachi?\She said not to worry and go. response:	Misato and Hachiko should come and join us for sushi.
context: Sorry, Misato, I have to go now.\Say bye to Hachiko for me, okay?\Huh? Oh, go ahead.\Feel free to stay in my room. The room's not locked.\Mhm. Bye.\Was that Misato? What about Hachi?\She said not to worry and go.\Misato and Hachiko should come and join us for sushi. response:	You idiot. Let's go.
context: Say bye to Hachiko for me, okay?\Huh? Oh, go ahead.\Feel free to stay in my room. The room's not locked.\Mhm. Bye.\Was that Misato? What about Hachi?\She said not to worry and go.\Misato and Hachiko should come and join us for sushi.\You idiot. Let's go. response:	Idiot?
context: Huh? Oh, go ahead.\Feel free to stay in my room. The room's not locked.\Mhm. Bye.\Was that Misato? What about Hachi?\She said not to worry and go.\Misato and Hachiko should come and join us for sushi.\You idiot. Let's go.\Idiot? response:	Good job.
context: Feel free to stay in my room. The room's not locked.\Mhm. Bye.\Was that Misato? What about Hachi?\She said not to worry and go.\Misato and Hachiko should come and join us for sushi.\You idiot. Let's go.\Idiot?\Good job. response:	Oh!
context: Mhm. Bye.\Was that Misato? What about Hachi?\She said not to worry and go.\Misato and Hachiko should come and join us for sushi.\You idiot. Let's go.\Idiot?\Good job.\Oh! response:	Nana!
context: Was that Misato? What about Hachi?\She said not to worry and go.\Misato and Hachiko should come and join us for sushi.\You idiot. Let's go.\Idiot?\Good job.\Oh!\Nana! response:	I live, encouraged by the songs you sing.
context: She said not to worry and go.\Misato and Hachiko should come and join us for sushi.\You idiot. Let's go.\Idiot?\Good job.\Oh!\Nana!\I live, encouraged by the songs you sing. response:	DEAR NANA, I BOUGHT THE CD YOU RELEASED YOURSELVES. IT'S THE GREATEST! I LIVE, ENCOURAGED BY THE SONGS YOU SING. I live, encouraged by the songs you sing.
context: Misato and Hachiko should come and join us for sushi.\You idiot. Let's go.\Idiot?\Good job.\Oh!\Nana!\I live, encouraged by the songs you sing.\DEAR NANA, I BOUGHT THE CD YOU RELEASED YOURSELVES. IT'S THE GREATEST! I LIVE, ENCOURAGED BY THE SONGS YOU SING. I live, encouraged by the songs you sing. response:	YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR... I live, encouraged by the songs you sing.
context: You idiot. Let's go.\Idiot?\Good job.\Oh!\Nana!\I live, encouraged by the songs you sing.\DEAR NANA, I BOUGHT THE CD YOU RELEASED YOURSELVES. IT'S THE GREATEST! I LIVE, ENCOURAGED BY THE SONGS YOU SING. I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR... I live, encouraged by the songs you sing. response:	YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR...
context: Idiot?\Good job.\Oh!\Nana!\I live, encouraged by the songs you sing.\DEAR NANA, I BOUGHT THE CD YOU RELEASED YOURSELVES. IT'S THE GREATEST! I LIVE, ENCOURAGED BY THE SONGS YOU SING. I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR... I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR... response:	It's only natural for Nana to treat Misato,
context: Good job.\Oh!\Nana!\I live, encouraged by the songs you sing.\DEAR NANA, I BOUGHT THE CD YOU RELEASED YOURSELVES. IT'S THE GREATEST! I LIVE, ENCOURAGED BY THE SONGS YOU SING. I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR... I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR...\It's only natural for Nana to treat Misato, response:	who pursues Nana with passion and
context: Oh!\Nana!\I live, encouraged by the songs you sing.\DEAR NANA, I BOUGHT THE CD YOU RELEASED YOURSELVES. IT'S THE GREATEST! I LIVE, ENCOURAGED BY THE SONGS YOU SING. I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR... I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR...\It's only natural for Nana to treat Misato,\who pursues Nana with passion and response:	makes the effort to come all the way to Tokyo for every concert,
context: Nana!\I live, encouraged by the songs you sing.\DEAR NANA, I BOUGHT THE CD YOU RELEASED YOURSELVES. IT'S THE GREATEST! I LIVE, ENCOURAGED BY THE SONGS YOU SING. I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR... I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR...\It's only natural for Nana to treat Misato,\who pursues Nana with passion and\makes the effort to come all the way to Tokyo for every concert, response:	more importantly than she treats me.
context: I live, encouraged by the songs you sing.\DEAR NANA, I BOUGHT THE CD YOU RELEASED YOURSELVES. IT'S THE GREATEST! I LIVE, ENCOURAGED BY THE SONGS YOU SING. I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR... I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR...\It's only natural for Nana to treat Misato,\who pursues Nana with passion and\makes the effort to come all the way to Tokyo for every concert,\more importantly than she treats me. response:	It's only natural for Nana to place a higher priority on talks
context: DEAR NANA, I BOUGHT THE CD YOU RELEASED YOURSELVES. IT'S THE GREATEST! I LIVE, ENCOURAGED BY THE SONGS YOU SING. I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR... I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR...\It's only natural for Nana to treat Misato,\who pursues Nana with passion and\makes the effort to come all the way to Tokyo for every concert,\more importantly than she treats me.\It's only natural for Nana to place a higher priority on talks response:	with a record label than any promise she made with me.
context: YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR... I live, encouraged by the songs you sing.\YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR...\It's only natural for Nana to treat Misato,\who pursues Nana with passion and\makes the effort to come all the way to Tokyo for every concert,\more importantly than she treats me.\It's only natural for Nana to place a higher priority on talks\with a record label than any promise she made with me. response:	And it's also only natural that
context: YOUR LYRICS REALLY HIT HOME. I'D LIKE FOR MORE PEOPLE TO HAVE THE CHANCE TO LISTEN TO YOU. BUT I MAY GET LONELY IF YOU BECOME FAMOUS. YOU KNOW HOW REN'S ALREADY BECOME REALLY POPULAR...\It's only natural for Nana to treat Misato,\who pursues Nana with passion and\makes the effort to come all the way to Tokyo for every concert,\more importantly than she treats me.\It's only natural for Nana to place a higher priority on talks\with a record label than any promise she made with me.\And it's also only natural that response:	she would choose to be with Ren than live with me.
context: It's only natural for Nana to treat Misato,\who pursues Nana with passion and\makes the effort to come all the way to Tokyo for every concert,\more importantly than she treats me.\It's only natural for Nana to place a higher priority on talks\with a record label than any promise she made with me.\And it's also only natural that\she would choose to be with Ren than live with me. response:	It all makes sense.
context: who pursues Nana with passion and\makes the effort to come all the way to Tokyo for every concert,\more importantly than she treats me.\It's only natural for Nana to place a higher priority on talks\with a record label than any promise she made with me.\And it's also only natural that\she would choose to be with Ren than live with me.\It all makes sense. response:	But if that's the case... she no longer needs me.
context: makes the effort to come all the way to Tokyo for every concert,\more importantly than she treats me.\It's only natural for Nana to place a higher priority on talks\with a record label than any promise she made with me.\And it's also only natural that\she would choose to be with Ren than live with me.\It all makes sense.\But if that's the case... she no longer needs me. response:	It's such a shame, Miss Hachiko. After making all this food.
context: more importantly than she treats me.\It's only natural for Nana to place a higher priority on talks\with a record label than any promise she made with me.\And it's also only natural that\she would choose to be with Ren than live with me.\It all makes sense.\But if that's the case... she no longer needs me.\It's such a shame, Miss Hachiko. After making all this food. response:	Huh?
context: It's only natural for Nana to place a higher priority on talks\with a record label than any promise she made with me.\And it's also only natural that\she would choose to be with Ren than live with me.\It all makes sense.\But if that's the case... she no longer needs me.\It's such a shame, Miss Hachiko. After making all this food.\Huh? response:	Oh, right!
context: with a record label than any promise she made with me.\And it's also only natural that\she would choose to be with Ren than live with me.\It all makes sense.\But if that's the case... she no longer needs me.\It's such a shame, Miss Hachiko. After making all this food.\Huh?\Oh, right! response:	It can't be helped, given the circumstances.
context: And it's also only natural that\she would choose to be with Ren than live with me.\It all makes sense.\But if that's the case... she no longer needs me.\It's such a shame, Miss Hachiko. After making all this food.\Huh?\Oh, right!\It can't be helped, given the circumstances. response:	Don't feel pressured into eating more than you want, Misato.
context: she would choose to be with Ren than live with me.\It all makes sense.\But if that's the case... she no longer needs me.\It's such a shame, Miss Hachiko. After making all this food.\Huh?\Oh, right!\It can't be helped, given the circumstances.\Don't feel pressured into eating more than you want, Misato. response:	But everything's so delicious. It would be hard not to overeat.
context: It all makes sense.\But if that's the case... she no longer needs me.\It's such a shame, Miss Hachiko. After making all this food.\Huh?\Oh, right!\It can't be helped, given the circumstances.\Don't feel pressured into eating more than you want, Misato.\But everything's so delicious. It would be hard not to overeat. response:	You're a very good cook, Miss Hachiko. I'm impressed.
context: But if that's the case... she no longer needs me.\It's such a shame, Miss Hachiko. After making all this food.\Huh?\Oh, right!\It can't be helped, given the circumstances.\Don't feel pressured into eating more than you want, Misato.\But everything's so delicious. It would be hard not to overeat.\You're a very good cook, Miss Hachiko. I'm impressed. response:	Misato is such a nice girl.
context: It's such a shame, Miss Hachiko. After making all this food.\Huh?\Oh, right!\It can't be helped, given the circumstances.\Don't feel pressured into eating more than you want, Misato.\But everything's so delicious. It would be hard not to overeat.\You're a very good cook, Miss Hachiko. I'm impressed.\Misato is such a nice girl. response:	She is so much in love with Nana,
context: Huh?\Oh, right!\It can't be helped, given the circumstances.\Don't feel pressured into eating more than you want, Misato.\But everything's so delicious. It would be hard not to overeat.\You're a very good cook, Miss Hachiko. I'm impressed.\Misato is such a nice girl.\She is so much in love with Nana, response:	yet will never show hostile sentiments to those around her.
context: Oh, right!\It can't be helped, given the circumstances.\Don't feel pressured into eating more than you want, Misato.\But everything's so delicious. It would be hard not to overeat.\You're a very good cook, Miss Hachiko. I'm impressed.\Misato is such a nice girl.\She is so much in love with Nana,\yet will never show hostile sentiments to those around her. response:	And she was honestly happy about Nana and Ren.
context: It can't be helped, given the circumstances.\Don't feel pressured into eating more than you want, Misato.\But everything's so delicious. It would be hard not to overeat.\You're a very good cook, Miss Hachiko. I'm impressed.\Misato is such a nice girl.\She is so much in love with Nana,\yet will never show hostile sentiments to those around her.\And she was honestly happy about Nana and Ren. response:	She's a really cute, good girl.
context: Don't feel pressured into eating more than you want, Misato.\But everything's so delicious. It would be hard not to overeat.\You're a very good cook, Miss Hachiko. I'm impressed.\Misato is such a nice girl.\She is so much in love with Nana,\yet will never show hostile sentiments to those around her.\And she was honestly happy about Nana and Ren.\She's a really cute, good girl. response:	Which exhausts me all the more with my tendency to be cynical.
context: But everything's so delicious. It would be hard not to overeat.\You're a very good cook, Miss Hachiko. I'm impressed.\Misato is such a nice girl.\She is so much in love with Nana,\yet will never show hostile sentiments to those around her.\And she was honestly happy about Nana and Ren.\She's a really cute, good girl.\Which exhausts me all the more with my tendency to be cynical. response:	I wonder if we can get along for a full month.
context: You're a very good cook, Miss Hachiko. I'm impressed.\Misato is such a nice girl.\She is so much in love with Nana,\yet will never show hostile sentiments to those around her.\And she was honestly happy about Nana and Ren.\She's a really cute, good girl.\Which exhausts me all the more with my tendency to be cynical.\I wonder if we can get along for a full month. response:	INBOX OUTBOX DRAFTS SIGNATURE
context: Misato is such a nice girl.\She is so much in love with Nana,\yet will never show hostile sentiments to those around her.\And she was honestly happy about Nana and Ren.\She's a really cute, good girl.\Which exhausts me all the more with my tendency to be cynical.\I wonder if we can get along for a full month.\INBOX OUTBOX DRAFTS SIGNATURE response:	TAKUMI
context: She is so much in love with Nana,\yet will never show hostile sentiments to those around her.\And she was honestly happy about Nana and Ren.\She's a really cute, good girl.\Which exhausts me all the more with my tendency to be cynical.\I wonder if we can get along for a full month.\INBOX OUTBOX DRAFTS SIGNATURE\TAKUMI response:	A FRIEND WILL BE STAYING WITH ME DURING SUMMER VACATION, SO DON'T COME BY MY PLACE, OKAY? NANA
context: yet will never show hostile sentiments to those around her.\And she was honestly happy about Nana and Ren.\She's a really cute, good girl.\Which exhausts me all the more with my tendency to be cynical.\I wonder if we can get along for a full month.\INBOX OUTBOX DRAFTS SIGNATURE\TAKUMI\A FRIEND WILL BE STAYING WITH ME DURING SUMMER VACATION, SO DON'T COME BY MY PLACE, OKAY? NANA response:	This is like telling him that I can't see him until summer vacation is over.
context: And she was honestly happy about Nana and Ren.\She's a really cute, good girl.\Which exhausts me all the more with my tendency to be cynical.\I wonder if we can get along for a full month.\INBOX OUTBOX DRAFTS SIGNATURE\TAKUMI\A FRIEND WILL BE STAYING WITH ME DURING SUMMER VACATION, SO DON'T COME BY MY PLACE, OKAY? NANA\This is like telling him that I can't see him until summer vacation is over. response:	Well, I guess that's fine.
context: She's a really cute, good girl.\Which exhausts me all the more with my tendency to be cynical.\I wonder if we can get along for a full month.\INBOX OUTBOX DRAFTS SIGNATURE\TAKUMI\A FRIEND WILL BE STAYING WITH ME DURING SUMMER VACATION, SO DON'T COME BY MY PLACE, OKAY? NANA\This is like telling him that I can't see him until summer vacation is over.\Well, I guess that's fine. response:	Since with him, I'm never sure whether or not I'll ever see him again anyway.
context: Which exhausts me all the more with my tendency to be cynical.\I wonder if we can get along for a full month.\INBOX OUTBOX DRAFTS SIGNATURE\TAKUMI\A FRIEND WILL BE STAYING WITH ME DURING SUMMER VACATION, SO DON'T COME BY MY PLACE, OKAY? NANA\This is like telling him that I can't see him until summer vacation is over.\Well, I guess that's fine.\Since with him, I'm never sure whether or not I'll ever see him again anyway. response:	I ended up never seeing Nobu again as well.
context: I wonder if we can get along for a full month.\INBOX OUTBOX DRAFTS SIGNATURE\TAKUMI\A FRIEND WILL BE STAYING WITH ME DURING SUMMER VACATION, SO DON'T COME BY MY PLACE, OKAY? NANA\This is like telling him that I can't see him until summer vacation is over.\Well, I guess that's fine.\Since with him, I'm never sure whether or not I'll ever see him again anyway.\I ended up never seeing Nobu again as well. response:	And while he was on stage,
context: INBOX OUTBOX DRAFTS SIGNATURE\TAKUMI\A FRIEND WILL BE STAYING WITH ME DURING SUMMER VACATION, SO DON'T COME BY MY PLACE, OKAY? NANA\This is like telling him that I can't see him until summer vacation is over.\Well, I guess that's fine.\Since with him, I'm never sure whether or not I'll ever see him again anyway.\I ended up never seeing Nobu again as well.\And while he was on stage, response:	I purposely tried not to look over to him.
context: TAKUMI\A FRIEND WILL BE STAYING WITH ME DURING SUMMER VACATION, SO DON'T COME BY MY PLACE, OKAY? NANA\This is like telling him that I can't see him until summer vacation is over.\Well, I guess that's fine.\Since with him, I'm never sure whether or not I'll ever see him again anyway.\I ended up never seeing Nobu again as well.\And while he was on stage,\I purposely tried not to look over to him. response:	Nana...
context: A FRIEND WILL BE STAYING WITH ME DURING SUMMER VACATION, SO DON'T COME BY MY PLACE, OKAY? NANA\This is like telling him that I can't see him until summer vacation is over.\Well, I guess that's fine.\Since with him, I'm never sure whether or not I'll ever see him again anyway.\I ended up never seeing Nobu again as well.\And while he was on stage,\I purposely tried not to look over to him.\Nana... response:	This isn't good. What should I do?
context: This is like telling him that I can't see him until summer vacation is over.\Well, I guess that's fine.\Since with him, I'm never sure whether or not I'll ever see him again anyway.\I ended up never seeing Nobu again as well.\And while he was on stage,\I purposely tried not to look over to him.\Nana...\This isn't good. What should I do? response:	I'm feeling so lonely.
context: Well, I guess that's fine.\Since with him, I'm never sure whether or not I'll ever see him again anyway.\I ended up never seeing Nobu again as well.\And while he was on stage,\I purposely tried not to look over to him.\Nana...\This isn't good. What should I do?\I'm feeling so lonely. response:	Is your friend a woman?
context: Since with him, I'm never sure whether or not I'll ever see him again anyway.\I ended up never seeing Nobu again as well.\And while he was on stage,\I purposely tried not to look over to him.\Nana...\This isn't good. What should I do?\I'm feeling so lonely.\Is your friend a woman? response:	Of course!
context: I ended up never seeing Nobu again as well.\And while he was on stage,\I purposely tried not to look over to him.\Nana...\This isn't good. What should I do?\I'm feeling so lonely.\Is your friend a woman?\Of course! response:	Really? Then that's fine.
context: And while he was on stage,\I purposely tried not to look over to him.\Nana...\This isn't good. What should I do?\I'm feeling so lonely.\Is your friend a woman?\Of course!\Really? Then that's fine. response:	Good night.
context: I purposely tried not to look over to him.\Nana...\This isn't good. What should I do?\I'm feeling so lonely.\Is your friend a woman?\Of course!\Really? Then that's fine.\Good night. response:	Yes.
context: Nana...\This isn't good. What should I do?\I'm feeling so lonely.\Is your friend a woman?\Of course!\Really? Then that's fine.\Good night.\Yes. response:	Takumi,.,
context: This isn't good. What should I do?\I'm feeling so lonely.\Is your friend a woman?\Of course!\Really? Then that's fine.\Good night.\Yes.\Takumi,., response:	I wanna see you.
context: I'm feeling so lonely.\Is your friend a woman?\Of course!\Really? Then that's fine.\Good night.\Yes.\Takumi,.,\I wanna see you. response:	Oh, Miss Hachiko, thank you for letting me take a bath.
context: Is your friend a woman?\Of course!\Really? Then that's fine.\Good night.\Yes.\Takumi,.,\I wanna see you.\Oh, Miss Hachiko, thank you for letting me take a bath. response:	I'm sorry, Misato. I'm going out for a bit.
context: Of course!\Really? Then that's fine.\Good night.\Yes.\Takumi,.,\I wanna see you.\Oh, Miss Hachiko, thank you for letting me take a bath.\I'm sorry, Misato. I'm going out for a bit. response:	Huh? At this hour? Did something happen?
context: Really? Then that's fine.\Good night.\Yes.\Takumi,.,\I wanna see you.\Oh, Miss Hachiko, thank you for letting me take a bath.\I'm sorry, Misato. I'm going out for a bit.\Huh? At this hour? Did something happen? response:	No. It's nothing important, but I won't be coming home tonight.
context: Good night.\Yes.\Takumi,.,\I wanna see you.\Oh, Miss Hachiko, thank you for letting me take a bath.\I'm sorry, Misato. I'm going out for a bit.\Huh? At this hour? Did something happen?\No. It's nothing important, but I won't be coming home tonight. response:	I'll be going straight to work from there tomorrow.
context: Yes.\Takumi,.,\I wanna see you.\Oh, Miss Hachiko, thank you for letting me take a bath.\I'm sorry, Misato. I'm going out for a bit.\Huh? At this hour? Did something happen?\No. It's nothing important, but I won't be coming home tonight.\I'll be going straight to work from there tomorrow. response:	I'll leave my keys with you,
context: Takumi,.,\I wanna see you.\Oh, Miss Hachiko, thank you for letting me take a bath.\I'm sorry, Misato. I'm going out for a bit.\Huh? At this hour? Did something happen?\No. It's nothing important, but I won't be coming home tonight.\I'll be going straight to work from there tomorrow.\I'll leave my keys with you, response:	so leave it in the mailbox downstairs when you go out.
