context: Good evening! response:	We come to you from the Order of the Crest! I'm Priestess Priscilla Farnese!
context: but they didn't offer any troops.\The fact we were allowed to pass shows they have affinity for us.\So now, as long as even one makes a move...\Please, somebody come.\That's...\Is that you, Boss? What are you doing here?\It was Lord Theo and you, Lady Siluca, who saved our town.\I can't just look away during your own crisis. response:	I'm glad you all feel that way.
context: The fact we were allowed to pass shows they have affinity for us.\So now, as long as even one makes a move...\Please, somebody come.\That's...\Is that you, Boss? What are you doing here?\It was Lord Theo and you, Lady Siluca, who saved our town.\I can't just look away during your own crisis.\I'm glad you all feel that way. response:	But this battle's going to be very intense.
context: So now, as long as even one makes a move...\Please, somebody come.\That's...\Is that you, Boss? What are you doing here?\It was Lord Theo and you, Lady Siluca, who saved our town.\I can't just look away during your own crisis.\I'm glad you all feel that way.\But this battle's going to be very intense. response:	Of course, we're ready to lay down our lives!
context: Please, somebody come.\That's...\Is that you, Boss? What are you doing here?\It was Lord Theo and you, Lady Siluca, who saved our town.\I can't just look away during your own crisis.\I'm glad you all feel that way.\But this battle's going to be very intense.\Of course, we're ready to lay down our lives! response:	But it's my duty as a Lord to protect my people's lives.
context: That's...\Is that you, Boss? What are you doing here?\It was Lord Theo and you, Lady Siluca, who saved our town.\I can't just look away during your own crisis.\I'm glad you all feel that way.\But this battle's going to be very intense.\Of course, we're ready to lay down our lives!\But it's my duty as a Lord to protect my people's lives. response:	Not make you lay them down!
context: Is that you, Boss? What are you doing here?\It was Lord Theo and you, Lady Siluca, who saved our town.\I can't just look away during your own crisis.\I'm glad you all feel that way.\But this battle's going to be very intense.\Of course, we're ready to lay down our lives!\But it's my duty as a Lord to protect my people's lives.\Not make you lay them down! response:	Excuse me, my Lord,
context: It was Lord Theo and you, Lady Siluca, who saved our town.\I can't just look away during your own crisis.\I'm glad you all feel that way.\But this battle's going to be very intense.\Of course, we're ready to lay down our lives!\But it's my duty as a Lord to protect my people's lives.\Not make you lay them down!\Excuse me, my Lord, response:	but I believe it's also your duty as a Lord to fulfill your people's wishes.
context: I can't just look away during your own crisis.\I'm glad you all feel that way.\But this battle's going to be very intense.\Of course, we're ready to lay down our lives!\But it's my duty as a Lord to protect my people's lives.\Not make you lay them down!\Excuse me, my Lord,\but I believe it's also your duty as a Lord to fulfill your people's wishes. response:	Fulfill their wishes...
context: I'm glad you all feel that way.\But this battle's going to be very intense.\Of course, we're ready to lay down our lives!\But it's my duty as a Lord to protect my people's lives.\Not make you lay them down!\Excuse me, my Lord,\but I believe it's also your duty as a Lord to fulfill your people's wishes.\Fulfill their wishes... response:	Please, raise your flag, Lord Theo, and grant your people its divine blessing.
context: But this battle's going to be very intense.\Of course, we're ready to lay down our lives!\But it's my duty as a Lord to protect my people's lives.\Not make you lay them down!\Excuse me, my Lord,\but I believe it's also your duty as a Lord to fulfill your people's wishes.\Fulfill their wishes...\Please, raise your flag, Lord Theo, and grant your people its divine blessing. response:	So you won't lose what you truly wish to protect.
context: Of course, we're ready to lay down our lives!\But it's my duty as a Lord to protect my people's lives.\Not make you lay them down!\Excuse me, my Lord,\but I believe it's also your duty as a Lord to fulfill your people's wishes.\Fulfill their wishes...\Please, raise your flag, Lord Theo, and grant your people its divine blessing.\So you won't lose what you truly wish to protect. response:	What I truly wish to protect...
context: But it's my duty as a Lord to protect my people's lives.\Not make you lay them down!\Excuse me, my Lord,\but I believe it's also your duty as a Lord to fulfill your people's wishes.\Fulfill their wishes...\Please, raise your flag, Lord Theo, and grant your people its divine blessing.\So you won't lose what you truly wish to protect.\What I truly wish to protect... response:	Homeland. Family.
context: Not make you lay them down!\Excuse me, my Lord,\but I believe it's also your duty as a Lord to fulfill your people's wishes.\Fulfill their wishes...\Please, raise your flag, Lord Theo, and grant your people its divine blessing.\So you won't lose what you truly wish to protect.\What I truly wish to protect...\Homeland. Family. response:	Unflinching courage against formidable foes, when fighting for those very things.
context: Excuse me, my Lord,\but I believe it's also your duty as a Lord to fulfill your people's wishes.\Fulfill their wishes...\Please, raise your flag, Lord Theo, and grant your people its divine blessing.\So you won't lose what you truly wish to protect.\What I truly wish to protect...\Homeland. Family.\Unflinching courage against formidable foes, when fighting for those very things. response:	Trust that breeds unswerving solidarity.
context: but I believe it's also your duty as a Lord to fulfill your people's wishes.\Fulfill their wishes...\Please, raise your flag, Lord Theo, and grant your people its divine blessing.\So you won't lose what you truly wish to protect.\What I truly wish to protect...\Homeland. Family.\Unflinching courage against formidable foes, when fighting for those very things.\Trust that breeds unswerving solidarity. response:	Patience to not give up until the bitter end.
context: Fulfill their wishes...\Please, raise your flag, Lord Theo, and grant your people its divine blessing.\So you won't lose what you truly wish to protect.\What I truly wish to protect...\Homeland. Family.\Unflinching courage against formidable foes, when fighting for those very things.\Trust that breeds unswerving solidarity.\Patience to not give up until the bitter end. response:	This is the Patriot's Flag!
context: Please, raise your flag, Lord Theo, and grant your people its divine blessing.\So you won't lose what you truly wish to protect.\What I truly wish to protect...\Homeland. Family.\Unflinching courage against formidable foes, when fighting for those very things.\Trust that breeds unswerving solidarity.\Patience to not give up until the bitter end.\This is the Patriot's Flag! response:	I'll be responsible for all your lives!
context: So you won't lose what you truly wish to protect.\What I truly wish to protect...\Homeland. Family.\Unflinching courage against formidable foes, when fighting for those very things.\Trust that breeds unswerving solidarity.\Patience to not give up until the bitter end.\This is the Patriot's Flag!\I'll be responsible for all your lives! response:	Let's fight together!
context: What I truly wish to protect...\Homeland. Family.\Unflinching courage against formidable foes, when fighting for those very things.\Trust that breeds unswerving solidarity.\Patience to not give up until the bitter end.\This is the Patriot's Flag!\I'll be responsible for all your lives!\Let's fight together! response:	So this is Lord Theo's flag, huh?
context: Homeland. Family.\Unflinching courage against formidable foes, when fighting for those very things.\Trust that breeds unswerving solidarity.\Patience to not give up until the bitter end.\This is the Patriot's Flag!\I'll be responsible for all your lives!\Let's fight together!\So this is Lord Theo's flag, huh? response:	Our allies are sure to come.
context: Unflinching courage against formidable foes, when fighting for those very things.\Trust that breeds unswerving solidarity.\Patience to not give up until the bitter end.\This is the Patriot's Flag!\I'll be responsible for all your lives!\Let's fight together!\So this is Lord Theo's flag, huh?\Our allies are sure to come. response:	Since these people have come, it is certain to create a massive wave.
context: Trust that breeds unswerving solidarity.\Patience to not give up until the bitter end.\This is the Patriot's Flag!\I'll be responsible for all your lives!\Let's fight together!\So this is Lord Theo's flag, huh?\Our allies are sure to come.\Since these people have come, it is certain to create a massive wave. response:	I feel the same way.
context: Patience to not give up until the bitter end.\This is the Patriot's Flag!\I'll be responsible for all your lives!\Let's fight together!\So this is Lord Theo's flag, huh?\Our allies are sure to come.\Since these people have come, it is certain to create a massive wave.\I feel the same way. response:	I'll show you all!
context: This is the Patriot's Flag!\I'll be responsible for all your lives!\Let's fight together!\So this is Lord Theo's flag, huh?\Our allies are sure to come.\Since these people have come, it is certain to create a massive wave.\I feel the same way.\I'll show you all! response:	All forces, charge!
context: I'll be responsible for all your lives!\Let's fight together!\So this is Lord Theo's flag, huh?\Our allies are sure to come.\Since these people have come, it is certain to create a massive wave.\I feel the same way.\I'll show you all!\All forces, charge! response:	Do not fear! Follow me!
context: Let's fight together!\So this is Lord Theo's flag, huh?\Our allies are sure to come.\Since these people have come, it is certain to create a massive wave.\I feel the same way.\I'll show you all!\All forces, charge!\Do not fear! Follow me! response:	Peter's squad, spreading out!
context: So this is Lord Theo's flag, huh?\Our allies are sure to come.\Since these people have come, it is certain to create a massive wave.\I feel the same way.\I'll show you all!\All forces, charge!\Do not fear! Follow me!\Peter's squad, spreading out! response:	Allow me to guide you...
context: Our allies are sure to come.\Since these people have come, it is certain to create a massive wave.\I feel the same way.\I'll show you all!\All forces, charge!\Do not fear! Follow me!\Peter's squad, spreading out!\Allow me to guide you... response:	to the afterlife!
context: Since these people have come, it is certain to create a massive wave.\I feel the same way.\I'll show you all!\All forces, charge!\Do not fear! Follow me!\Peter's squad, spreading out!\Allow me to guide you...\to the afterlife! response:	Flash of Light!
context: I feel the same way.\I'll show you all!\All forces, charge!\Do not fear! Follow me!\Peter's squad, spreading out!\Allow me to guide you...\to the afterlife!\Flash of Light! response:	We'll pulverize their flank!
context: I'll show you all!\All forces, charge!\Do not fear! Follow me!\Peter's squad, spreading out!\Allow me to guide you...\to the afterlife!\Flash of Light!\We'll pulverize their flank! response:	Now! Cut into them!
context: All forces, charge!\Do not fear! Follow me!\Peter's squad, spreading out!\Allow me to guide you...\to the afterlife!\Flash of Light!\We'll pulverize their flank!\Now! Cut into them! response:	Let's go!
context: Do not fear! Follow me!\Peter's squad, spreading out!\Allow me to guide you...\to the afterlife!\Flash of Light!\We'll pulverize their flank!\Now! Cut into them!\Let's go! response:	Surge forth!
context: Peter's squad, spreading out!\Allow me to guide you...\to the afterlife!\Flash of Light!\We'll pulverize their flank!\Now! Cut into them!\Let's go!\Surge forth! response:	Stand your ground! Head for the main unit!
context: Allow me to guide you...\to the afterlife!\Flash of Light!\We'll pulverize their flank!\Now! Cut into them!\Let's go!\Surge forth!\Stand your ground! Head for the main unit! response:	They're so pesky.
context: to the afterlife!\Flash of Light!\We'll pulverize their flank!\Now! Cut into them!\Let's go!\Surge forth!\Stand your ground! Head for the main unit!\They're so pesky. response:	You men head out! Get them in one fell swoop!
context: Flash of Light!\We'll pulverize their flank!\Now! Cut into them!\Let's go!\Surge forth!\Stand your ground! Head for the main unit!\They're so pesky.\You men head out! Get them in one fell swoop! response:	Yes, sir! Count on us!
context: We'll pulverize their flank!\Now! Cut into them!\Let's go!\Surge forth!\Stand your ground! Head for the main unit!\They're so pesky.\You men head out! Get them in one fell swoop!\Yes, sir! Count on us! response:	Reinforcements?
context: Now! Cut into them!\Let's go!\Surge forth!\Stand your ground! Head for the main unit!\They're so pesky.\You men head out! Get them in one fell swoop!\Yes, sir! Count on us!\Reinforcements? response:	The free Lords have allied with Lord Theo!
context: Let's go!\Surge forth!\Stand your ground! Head for the main unit!\They're so pesky.\You men head out! Get them in one fell swoop!\Yes, sir! Count on us!\Reinforcements?\The free Lords have allied with Lord Theo! response:	What?
context: Surge forth!\Stand your ground! Head for the main unit!\They're so pesky.\You men head out! Get them in one fell swoop!\Yes, sir! Count on us!\Reinforcements?\The free Lords have allied with Lord Theo!\What? response:	King of Savis!
context: Stand your ground! Head for the main unit!\They're so pesky.\You men head out! Get them in one fell swoop!\Yes, sir! Count on us!\Reinforcements?\The free Lords have allied with Lord Theo!\What?\King of Savis! response:	We've heard all about your ulterior motives!
context: They're so pesky.\You men head out! Get them in one fell swoop!\Yes, sir! Count on us!\Reinforcements?\The free Lords have allied with Lord Theo!\What?\King of Savis!\We've heard all about your ulterior motives! response:	If you think you can subjugate our Crests, let's see you try!
context: You men head out! Get them in one fell swoop!\Yes, sir! Count on us!\Reinforcements?\The free Lords have allied with Lord Theo!\What?\King of Savis!\We've heard all about your ulterior motives!\If you think you can subjugate our Crests, let's see you try! response:	Lord Naville!
context: Yes, sir! Count on us!\Reinforcements?\The free Lords have allied with Lord Theo!\What?\King of Savis!\We've heard all about your ulterior motives!\If you think you can subjugate our Crests, let's see you try!\Lord Naville! response:	It's futile. Please withdraw for now.
context: Reinforcements?\The free Lords have allied with Lord Theo!\What?\King of Savis!\We've heard all about your ulterior motives!\If you think you can subjugate our Crests, let's see you try!\Lord Naville!\It's futile. Please withdraw for now. response:	Elude!
context: The free Lords have allied with Lord Theo!\What?\King of Savis!\We've heard all about your ulterior motives!\If you think you can subjugate our Crests, let's see you try!\Lord Naville!\It's futile. Please withdraw for now.\Elude! response:	Lord Theo!
context: What?\King of Savis!\We've heard all about your ulterior motives!\If you think you can subjugate our Crests, let's see you try!\Lord Naville!\It's futile. Please withdraw for now.\Elude!\Lord Theo! response:	The backup forces from the free Lords have arrived!
context: King of Savis!\We've heard all about your ulterior motives!\If you think you can subjugate our Crests, let's see you try!\Lord Naville!\It's futile. Please withdraw for now.\Elude!\Lord Theo!\The backup forces from the free Lords have arrived! response:	Now! All forces, charge!
context: We've heard all about your ulterior motives!\If you think you can subjugate our Crests, let's see you try!\Lord Naville!\It's futile. Please withdraw for now.\Elude!\Lord Theo!\The backup forces from the free Lords have arrived!\Now! All forces, charge! response:	Follow me!
context: If you think you can subjugate our Crests, let's see you try!\Lord Naville!\It's futile. Please withdraw for now.\Elude!\Lord Theo!\The backup forces from the free Lords have arrived!\Now! All forces, charge!\Follow me! response:	You bastard! I swear I'll get you for this humiliation!
context: Lord Naville!\It's futile. Please withdraw for now.\Elude!\Lord Theo!\The backup forces from the free Lords have arrived!\Now! All forces, charge!\Follow me!\You bastard! I swear I'll get you for this humiliation! response:	Did we... win?
context: It's futile. Please withdraw for now.\Elude!\Lord Theo!\The backup forces from the free Lords have arrived!\Now! All forces, charge!\Follow me!\You bastard! I swear I'll get you for this humiliation!\Did we... win? response:	Yes, it's a victory.
context: Elude!\Lord Theo!\The backup forces from the free Lords have arrived!\Now! All forces, charge!\Follow me!\You bastard! I swear I'll get you for this humiliation!\Did we... win?\Yes, it's a victory. response:	Lord Theo, you've defeated the King of Savis.
context: Lord Theo!\The backup forces from the free Lords have arrived!\Now! All forces, charge!\Follow me!\You bastard! I swear I'll get you for this humiliation!\Did we... win?\Yes, it's a victory.\Lord Theo, you've defeated the King of Savis. response:	So magnificent!
context: The backup forces from the free Lords have arrived!\Now! All forces, charge!\Follow me!\You bastard! I swear I'll get you for this humiliation!\Did we... win?\Yes, it's a victory.\Lord Theo, you've defeated the King of Savis.\So magnificent! response:	Lord Theo must join the Order of the Crest, no matter what it takes!
context: Now! All forces, charge!\Follow me!\You bastard! I swear I'll get you for this humiliation!\Did we... win?\Yes, it's a victory.\Lord Theo, you've defeated the King of Savis.\So magnificent!\Lord Theo must join the Order of the Crest, no matter what it takes! response:	Now, if only I can see eye to eye with Valdrind...
context: Follow me!\You bastard! I swear I'll get you for this humiliation!\Did we... win?\Yes, it's a victory.\Lord Theo, you've defeated the King of Savis.\So magnificent!\Lord Theo must join the Order of the Crest, no matter what it takes!\Now, if only I can see eye to eye with Valdrind... response:	It's been a long time, Siluca Meletes.
context: You bastard! I swear I'll get you for this humiliation!\Did we... win?\Yes, it's a victory.\Lord Theo, you've defeated the King of Savis.\So magnificent!\Lord Theo must join the Order of the Crest, no matter what it takes!\Now, if only I can see eye to eye with Valdrind...\It's been a long time, Siluca Meletes. response:	I had a narrow escape in Aram, thanks to you.
context: Did we... win?\Yes, it's a victory.\Lord Theo, you've defeated the King of Savis.\So magnificent!\Lord Theo must join the Order of the Crest, no matter what it takes!\Now, if only I can see eye to eye with Valdrind...\It's been a long time, Siluca Meletes.\I had a narrow escape in Aram, thanks to you. response:	I am truly sorry that I wasn't able to save both archdukes, Lady Marrine.
context: Yes, it's a victory.\Lord Theo, you've defeated the King of Savis.\So magnificent!\Lord Theo must join the Order of the Crest, no matter what it takes!\Now, if only I can see eye to eye with Valdrind...\It's been a long time, Siluca Meletes.\I had a narrow escape in Aram, thanks to you.\I am truly sorry that I wasn't able to save both archdukes, Lady Marrine. response:	I know you only had an instant, but surely there was a better method?
context: Lord Theo, you've defeated the King of Savis.\So magnificent!\Lord Theo must join the Order of the Crest, no matter what it takes!\Now, if only I can see eye to eye with Valdrind...\It's been a long time, Siluca Meletes.\I had a narrow escape in Aram, thanks to you.\I am truly sorry that I wasn't able to save both archdukes, Lady Marrine.\I know you only had an instant, but surely there was a better method? response:	It's been a long time, Father.
context: So magnificent!\Lord Theo must join the Order of the Crest, no matter what it takes!\Now, if only I can see eye to eye with Valdrind...\It's been a long time, Siluca Meletes.\I had a narrow escape in Aram, thanks to you.\I am truly sorry that I wasn't able to save both archdukes, Lady Marrine.\I know you only had an instant, but surely there was a better method?\It's been a long time, Father. response:	I will remind you that I am now the Mage Leader of Valdrind's Margrave.
context: Lord Theo must join the Order of the Crest, no matter what it takes!\Now, if only I can see eye to eye with Valdrind...\It's been a long time, Siluca Meletes.\I had a narrow escape in Aram, thanks to you.\I am truly sorry that I wasn't able to save both archdukes, Lady Marrine.\I know you only had an instant, but surely there was a better method?\It's been a long time, Father.\I will remind you that I am now the Mage Leader of Valdrind's Margrave. response:	My apologies, sir.
context: Now, if only I can see eye to eye with Valdrind...\It's been a long time, Siluca Meletes.\I had a narrow escape in Aram, thanks to you.\I am truly sorry that I wasn't able to save both archdukes, Lady Marrine.\I know you only had an instant, but surely there was a better method?\It's been a long time, Father.\I will remind you that I am now the Mage Leader of Valdrind's Margrave.\My apologies, sir. response:	I've already explained my purpose here in the letter I sent in advance.
context: It's been a long time, Siluca Meletes.\I had a narrow escape in Aram, thanks to you.\I am truly sorry that I wasn't able to save both archdukes, Lady Marrine.\I know you only had an instant, but surely there was a better method?\It's been a long time, Father.\I will remind you that I am now the Mage Leader of Valdrind's Margrave.\My apologies, sir.\I've already explained my purpose here in the letter I sent in advance. response:	My Lord, Viscount Theo Cornaro, has conquered the entire Savis region.
context: I had a narrow escape in Aram, thanks to you.\I am truly sorry that I wasn't able to save both archdukes, Lady Marrine.\I know you only had an instant, but surely there was a better method?\It's been a long time, Father.\I will remind you that I am now the Mage Leader of Valdrind's Margrave.\My apologies, sir.\I've already explained my purpose here in the letter I sent in advance.\My Lord, Viscount Theo Cornaro, has conquered the entire Savis region. response:	Therefore, he wishes to join the Factory Alliance.
context: I am truly sorry that I wasn't able to save both archdukes, Lady Marrine.\I know you only had an instant, but surely there was a better method?\It's been a long time, Father.\I will remind you that I am now the Mage Leader of Valdrind's Margrave.\My apologies, sir.\I've already explained my purpose here in the letter I sent in advance.\My Lord, Viscount Theo Cornaro, has conquered the entire Savis region.\Therefore, he wishes to join the Factory Alliance. response:	And pledge allegiance to me?
context: I know you only had an instant, but surely there was a better method?\It's been a long time, Father.\I will remind you that I am now the Mage Leader of Valdrind's Margrave.\My apologies, sir.\I've already explained my purpose here in the letter I sent in advance.\My Lord, Viscount Theo Cornaro, has conquered the entire Savis region.\Therefore, he wishes to join the Factory Alliance.\And pledge allegiance to me? response:	Yes.
context: It's been a long time, Father.\I will remind you that I am now the Mage Leader of Valdrind's Margrave.\My apologies, sir.\I've already explained my purpose here in the letter I sent in advance.\My Lord, Viscount Theo Cornaro, has conquered the entire Savis region.\Therefore, he wishes to join the Factory Alliance.\And pledge allegiance to me?\Yes. response:	My Lord intends to do everything in his power to aid you, Lady Marrine Kreische,
context: I will remind you that I am now the Mage Leader of Valdrind's Margrave.\My apologies, sir.\I've already explained my purpose here in the letter I sent in advance.\My Lord, Viscount Theo Cornaro, has conquered the entire Savis region.\Therefore, he wishes to join the Factory Alliance.\And pledge allegiance to me?\Yes.\My Lord intends to do everything in his power to aid you, Lady Marrine Kreische, response:	in your conquest of the continent.
context: My apologies, sir.\I've already explained my purpose here in the letter I sent in advance.\My Lord, Viscount Theo Cornaro, has conquered the entire Savis region.\Therefore, he wishes to join the Factory Alliance.\And pledge allegiance to me?\Yes.\My Lord intends to do everything in his power to aid you, Lady Marrine Kreische,\in your conquest of the continent. response:	I understand what it is you're proposing.
context: I've already explained my purpose here in the letter I sent in advance.\My Lord, Viscount Theo Cornaro, has conquered the entire Savis region.\Therefore, he wishes to join the Factory Alliance.\And pledge allegiance to me?\Yes.\My Lord intends to do everything in his power to aid you, Lady Marrine Kreische,\in your conquest of the continent.\I understand what it is you're proposing. response:	Please allow me some time to consider it.
context: My Lord, Viscount Theo Cornaro, has conquered the entire Savis region.\Therefore, he wishes to join the Factory Alliance.\And pledge allegiance to me?\Yes.\My Lord intends to do everything in his power to aid you, Lady Marrine Kreische,\in your conquest of the continent.\I understand what it is you're proposing.\Please allow me some time to consider it. response:	Understood, my Lady.
context: Therefore, he wishes to join the Factory Alliance.\And pledge allegiance to me?\Yes.\My Lord intends to do everything in his power to aid you, Lady Marrine Kreische,\in your conquest of the continent.\I understand what it is you're proposing.\Please allow me some time to consider it.\Understood, my Lady. response:	BATTLE FLAG
context: And pledge allegiance to me?\Yes.\My Lord intends to do everything in his power to aid you, Lady Marrine Kreische,\in your conquest of the continent.\I understand what it is you're proposing.\Please allow me some time to consider it.\Understood, my Lady.\BATTLE FLAG response:	EPISODE 4: DECISION
