context: To us of the demon clan, twins are taboo. response:	Please wait, Chief!
context: If you hadn't been around, those dogs would've chewed me to death.\I was saved because you were there.\And as you can see, I'm alive!\Not only because of your sister, but because of you.\My true Sister could have done much more.\Maybe so.\But you were the one who was there for me.\I'm glad you were there... response:	Thank you.
context: I was saved because you were there.\And as you can see, I'm alive!\Not only because of your sister, but because of you.\My true Sister could have done much more.\Maybe so.\But you were the one who was there for me.\I'm glad you were there...\Thank you. response:	Don't define yourself that way. It's too sad.
context: And as you can see, I'm alive!\Not only because of your sister, but because of you.\My true Sister could have done much more.\Maybe so.\But you were the one who was there for me.\I'm glad you were there...\Thank you.\Don't define yourself that way. It's too sad. response:	Of course, I haven't heard the details of how she lost her horn.
context: Not only because of your sister, but because of you.\My true Sister could have done much more.\Maybe so.\But you were the one who was there for me.\I'm glad you were there...\Thank you.\Don't define yourself that way. It's too sad.\Of course, I haven't heard the details of how she lost her horn. response:	I won't ask, so I'll never know.
context: My true Sister could have done much more.\Maybe so.\But you were the one who was there for me.\I'm glad you were there...\Thank you.\Don't define yourself that way. It's too sad.\Of course, I haven't heard the details of how she lost her horn.\I won't ask, so I'll never know. response:	And since I don't know, I get to talk as if I know all about it.
context: Maybe so.\But you were the one who was there for me.\I'm glad you were there...\Thank you.\Don't define yourself that way. It's too sad.\Of course, I haven't heard the details of how she lost her horn.\I won't ask, so I'll never know.\And since I don't know, I get to talk as if I know all about it. response:	All you have to do is be the horn Ram doesn't have.
context: But you were the one who was there for me.\I'm glad you were there...\Thank you.\Don't define yourself that way. It's too sad.\Of course, I haven't heard the details of how she lost her horn.\I won't ask, so I'll never know.\And since I don't know, I get to talk as if I know all about it.\All you have to do is be the horn Ram doesn't have. response:	You two can be a demon together.
context: I'm glad you were there...\Thank you.\Don't define yourself that way. It's too sad.\Of course, I haven't heard the details of how she lost her horn.\I won't ask, so I'll never know.\And since I don't know, I get to talk as if I know all about it.\All you have to do is be the horn Ram doesn't have.\You two can be a demon together. response:	Also, you call yourself a replacement,
context: Thank you.\Don't define yourself that way. It's too sad.\Of course, I haven't heard the details of how she lost her horn.\I won't ask, so I'll never know.\And since I don't know, I get to talk as if I know all about it.\All you have to do is be the horn Ram doesn't have.\You two can be a demon together.\Also, you call yourself a replacement, response:	but no one could replace you.
context: Don't define yourself that way. It's too sad.\Of course, I haven't heard the details of how she lost her horn.\I won't ask, so I'll never know.\And since I don't know, I get to talk as if I know all about it.\All you have to do is be the horn Ram doesn't have.\You two can be a demon together.\Also, you call yourself a replacement,\but no one could replace you. response:	But...
context: Of course, I haven't heard the details of how she lost her horn.\I won't ask, so I'll never know.\And since I don't know, I get to talk as if I know all about it.\All you have to do is be the horn Ram doesn't have.\You two can be a demon together.\Also, you call yourself a replacement,\but no one could replace you.\But... response:	Where I come from, there's a saying,
context: I won't ask, so I'll never know.\And since I don't know, I get to talk as if I know all about it.\All you have to do is be the horn Ram doesn't have.\You two can be a demon together.\Also, you call yourself a replacement,\but no one could replace you.\But...\Where I come from, there's a saying, response:	Demons laugh when you talk about next year.
context: And since I don't know, I get to talk as if I know all about it.\All you have to do is be the horn Ram doesn't have.\You two can be a demon together.\Also, you call yourself a replacement,\but no one could replace you.\But...\Where I come from, there's a saying,\Demons laugh when you talk about next year. response:	So...
context: All you have to do is be the horn Ram doesn't have.\You two can be a demon together.\Also, you call yourself a replacement,\but no one could replace you.\But...\Where I come from, there's a saying,\Demons laugh when you talk about next year.\So... response:	Laugh, Rem.
context: You two can be a demon together.\Also, you call yourself a replacement,\but no one could replace you.\But...\Where I come from, there's a saying,\Demons laugh when you talk about next year.\So...\Laugh, Rem. response:	Take off that sad face, and laugh.
context: Also, you call yourself a replacement,\but no one could replace you.\But...\Where I come from, there's a saying,\Demons laugh when you talk about next year.\So...\Laugh, Rem.\Take off that sad face, and laugh. response:	Laugh while we talk about the future!
context: but no one could replace you.\But...\Where I come from, there's a saying,\Demons laugh when you talk about next year.\So...\Laugh, Rem.\Take off that sad face, and laugh.\Laugh while we talk about the future! response:	While we talk, look forward to making up for
context: But...\Where I come from, there's a saying,\Demons laugh when you talk about next year.\So...\Laugh, Rem.\Take off that sad face, and laugh.\Laugh while we talk about the future!\While we talk, look forward to making up for response:	all the time you've wasted looking back!
context: Where I come from, there's a saying,\Demons laugh when you talk about next year.\So...\Laugh, Rem.\Take off that sad face, and laugh.\Laugh while we talk about the future!\While we talk, look forward to making up for\all the time you've wasted looking back! response:	We can start by talking about tomorrow.
context: Demons laugh when you talk about next year.\So...\Laugh, Rem.\Take off that sad face, and laugh.\Laugh while we talk about the future!\While we talk, look forward to making up for\all the time you've wasted looking back!\We can start by talking about tomorrow. response:	Tomorrow?
context: So...\Laugh, Rem.\Take off that sad face, and laugh.\Laugh while we talk about the future!\While we talk, look forward to making up for\all the time you've wasted looking back!\We can start by talking about tomorrow.\Tomorrow? response:	Yep, tomorrow.
context: Laugh, Rem.\Take off that sad face, and laugh.\Laugh while we talk about the future!\While we talk, look forward to making up for\all the time you've wasted looking back!\We can start by talking about tomorrow.\Tomorrow?\Yep, tomorrow. response:	You can say anything, like...
context: Take off that sad face, and laugh.\Laugh while we talk about the future!\While we talk, look forward to making up for\all the time you've wasted looking back!\We can start by talking about tomorrow.\Tomorrow?\Yep, tomorrow.\You can say anything, like... response:	Whether you'll make a Japanese- or Western-style breakfast tomorrow,
context: Laugh while we talk about the future!\While we talk, look forward to making up for\all the time you've wasted looking back!\We can start by talking about tomorrow.\Tomorrow?\Yep, tomorrow.\You can say anything, like...\Whether you'll make a Japanese- or Western-style breakfast tomorrow, response:	or whether you'll put on your right or left shoe first.
context: While we talk, look forward to making up for\all the time you've wasted looking back!\We can start by talking about tomorrow.\Tomorrow?\Yep, tomorrow.\You can say anything, like...\Whether you'll make a Japanese- or Western-style breakfast tomorrow,\or whether you'll put on your right or left shoe first. response:	It can be something silly like that.
context: all the time you've wasted looking back!\We can start by talking about tomorrow.\Tomorrow?\Yep, tomorrow.\You can say anything, like...\Whether you'll make a Japanese- or Western-style breakfast tomorrow,\or whether you'll put on your right or left shoe first.\It can be something silly like that. response:	No matter how silly it is,
context: We can start by talking about tomorrow.\Tomorrow?\Yep, tomorrow.\You can say anything, like...\Whether you'll make a Japanese- or Western-style breakfast tomorrow,\or whether you'll put on your right or left shoe first.\It can be something silly like that.\No matter how silly it is, response:	you can talk about tomorrow because you have a tomorrow.
context: Tomorrow?\Yep, tomorrow.\You can say anything, like...\Whether you'll make a Japanese- or Western-style breakfast tomorrow,\or whether you'll put on your right or left shoe first.\It can be something silly like that.\No matter how silly it is,\you can talk about tomorrow because you have a tomorrow. response:	How about it?
context: Yep, tomorrow.\You can say anything, like...\Whether you'll make a Japanese- or Western-style breakfast tomorrow,\or whether you'll put on your right or left shoe first.\It can be something silly like that.\No matter how silly it is,\you can talk about tomorrow because you have a tomorrow.\How about it? response:	I am... very weak.
context: You can say anything, like...\Whether you'll make a Japanese- or Western-style breakfast tomorrow,\or whether you'll put on your right or left shoe first.\It can be something silly like that.\No matter how silly it is,\you can talk about tomorrow because you have a tomorrow.\How about it?\I am... very weak. response:	So I'm sure I will end up leaning on you.
context: Whether you'll make a Japanese- or Western-style breakfast tomorrow,\or whether you'll put on your right or left shoe first.\It can be something silly like that.\No matter how silly it is,\you can talk about tomorrow because you have a tomorrow.\How about it?\I am... very weak.\So I'm sure I will end up leaning on you. response:	What's wrong with that?
context: or whether you'll put on your right or left shoe first.\It can be something silly like that.\No matter how silly it is,\you can talk about tomorrow because you have a tomorrow.\How about it?\I am... very weak.\So I'm sure I will end up leaning on you.\What's wrong with that? response:	I'm weak, stupid, scary-looking, and dense.
context: It can be something silly like that.\No matter how silly it is,\you can talk about tomorrow because you have a tomorrow.\How about it?\I am... very weak.\So I'm sure I will end up leaning on you.\What's wrong with that?\I'm weak, stupid, scary-looking, and dense. response:	But I still live my life, expecting others to take care of things for me...
context: No matter how silly it is,\you can talk about tomorrow because you have a tomorrow.\How about it?\I am... very weak.\So I'm sure I will end up leaning on you.\What's wrong with that?\I'm weak, stupid, scary-looking, and dense.\But I still live my life, expecting others to take care of things for me... response:	As we move forward, we can lean on each other.
context: you can talk about tomorrow because you have a tomorrow.\How about it?\I am... very weak.\So I'm sure I will end up leaning on you.\What's wrong with that?\I'm weak, stupid, scary-looking, and dense.\But I still live my life, expecting others to take care of things for me...\As we move forward, we can lean on each other. response:	Let's laugh and talk about tomorrow, arms around each other's shoulders.
context: How about it?\I am... very weak.\So I'm sure I will end up leaning on you.\What's wrong with that?\I'm weak, stupid, scary-looking, and dense.\But I still live my life, expecting others to take care of things for me...\As we move forward, we can lean on each other.\Let's laugh and talk about tomorrow, arms around each other's shoulders. response:	It's always been my dream to talk about next year with a demon
context: I am... very weak.\So I'm sure I will end up leaning on you.\What's wrong with that?\I'm weak, stupid, scary-looking, and dense.\But I still live my life, expecting others to take care of things for me...\As we move forward, we can lean on each other.\Let's laugh and talk about tomorrow, arms around each other's shoulders.\It's always been my dream to talk about next year with a demon response:	while we both laugh!
context: So I'm sure I will end up leaning on you.\What's wrong with that?\I'm weak, stupid, scary-looking, and dense.\But I still live my life, expecting others to take care of things for me...\As we move forward, we can lean on each other.\Let's laugh and talk about tomorrow, arms around each other's shoulders.\It's always been my dream to talk about next year with a demon\while we both laugh! response:	You are fanatical like a demon.
context: What's wrong with that?\I'm weak, stupid, scary-looking, and dense.\But I still live my life, expecting others to take care of things for me...\As we move forward, we can lean on each other.\Let's laugh and talk about tomorrow, arms around each other's shoulders.\It's always been my dream to talk about next year with a demon\while we both laugh!\You are fanatical like a demon. response:	Right?
context: I'm weak, stupid, scary-looking, and dense.\But I still live my life, expecting others to take care of things for me...\As we move forward, we can lean on each other.\Let's laugh and talk about tomorrow, arms around each other's shoulders.\It's always been my dream to talk about next year with a demon\while we both laugh!\You are fanatical like a demon.\Right? response:	Re m
context: But I still live my life, expecting others to take care of things for me...\As we move forward, we can lean on each other.\Let's laugh and talk about tomorrow, arms around each other's shoulders.\It's always been my dream to talk about next year with a demon\while we both laugh!\You are fanatical like a demon.\Right?\Re m response:	By the way, Ram,
context: As we move forward, we can lean on each other.\Let's laugh and talk about tomorrow, arms around each other's shoulders.\It's always been my dream to talk about next year with a demon\while we both laugh!\You are fanatical like a demon.\Right?\Re m\By the way, Ram, response:	did you find the one who was controlling the mabeasts?
context: Let's laugh and talk about tomorrow, arms around each other's shoulders.\It's always been my dream to talk about next year with a demon\while we both laugh!\You are fanatical like a demon.\Right?\Re m\By the way, Ram,\did you find the one who was controlling the mabeasts? response:	Yes, but the trail has already vanished.
context: It's always been my dream to talk about next year with a demon\while we both laugh!\You are fanatical like a demon.\Right?\Re m\By the way, Ram,\did you find the one who was controlling the mabeasts?\Yes, but the trail has already vanished. response:	It seems one of the children that Barusu and Rem brought back
context: while we both laugh!\You are fanatical like a demon.\Right?\Re m\By the way, Ram,\did you find the one who was controlling the mabeasts?\Yes, but the trail has already vanished.\It seems one of the children that Barusu and Rem brought back response:	from the forest disappeared the next day.
context: You are fanatical like a demon.\Right?\Re m\By the way, Ram,\did you find the one who was controlling the mabeasts?\Yes, but the trail has already vanished.\It seems one of the children that Barusu and Rem brought back\from the forest disappeared the next day. response:	Is this going to be another battle for the throne?
context: Right?\Re m\By the way, Ram,\did you find the one who was controlling the mabeasts?\Yes, but the trail has already vanished.\It seems one of the children that Barusu and Rem brought back\from the forest disappeared the next day.\Is this going to be another battle for the throne? response:	The Bowel Hunter, mabeast masters...
context: Re m\By the way, Ram,\did you find the one who was controlling the mabeasts?\Yes, but the trail has already vanished.\It seems one of the children that Barusu and Rem brought back\from the forest disappeared the next day.\Is this going to be another battle for the throne?\The Bowel Hunter, mabeast masters... response:	We have involved ourselves with some bizarre characters.
context: By the way, Ram,\did you find the one who was controlling the mabeasts?\Yes, but the trail has already vanished.\It seems one of the children that Barusu and Rem brought back\from the forest disappeared the next day.\Is this going to be another battle for the throne?\The Bowel Hunter, mabeast masters...\We have involved ourselves with some bizarre characters. response:	No matter how many strange characters you face,
context: did you find the one who was controlling the mabeasts?\Yes, but the trail has already vanished.\It seems one of the children that Barusu and Rem brought back\from the forest disappeared the next day.\Is this going to be another battle for the throne?\The Bowel Hunter, mabeast masters...\We have involved ourselves with some bizarre characters.\No matter how many strange characters you face, response:	you aren't the sort to lose heart, are you?
context: Yes, but the trail has already vanished.\It seems one of the children that Barusu and Rem brought back\from the forest disappeared the next day.\Is this going to be another battle for the throne?\The Bowel Hunter, mabeast masters...\We have involved ourselves with some bizarre characters.\No matter how many strange characters you face,\you aren't the sort to lose heart, are you? response:	My, how audacious you have become.
context: It seems one of the children that Barusu and Rem brought back\from the forest disappeared the next day.\Is this going to be another battle for the throne?\The Bowel Hunter, mabeast masters...\We have involved ourselves with some bizarre characters.\No matter how many strange characters you face,\you aren't the sort to lose heart, are you?\My, how audacious you have become. response:	Come here.
context: from the forest disappeared the next day.\Is this going to be another battle for the throne?\The Bowel Hunter, mabeast masters...\We have involved ourselves with some bizarre characters.\No matter how many strange characters you face,\you aren't the sort to lose heart, are you?\My, how audacious you have become.\Come here. response:	Now, shall we begin?
context: Is this going to be another battle for the throne?\The Bowel Hunter, mabeast masters...\We have involved ourselves with some bizarre characters.\No matter how many strange characters you face,\you aren't the sort to lose heart, are you?\My, how audacious you have become.\Come here.\Now, shall we begin? response:	I was unable to attend to you for a whole night, after all.
context: The Bowel Hunter, mabeast masters...\We have involved ourselves with some bizarre characters.\No matter how many strange characters you face,\you aren't the sort to lose heart, are you?\My, how audacious you have become.\Come here.\Now, shall we begin?\I was unable to attend to you for a whole night, after all. response:	I'm sorry. Please do.
context: We have involved ourselves with some bizarre characters.\No matter how many strange characters you face,\you aren't the sort to lose heart, are you?\My, how audacious you have become.\Come here.\Now, shall we begin?\I was unable to attend to you for a whole night, after all.\I'm sorry. Please do. response:	You have used quite a lot of mana.
context: No matter how many strange characters you face,\you aren't the sort to lose heart, are you?\My, how audacious you have become.\Come here.\Now, shall we begin?\I was unable to attend to you for a whole night, after all.\I'm sorry. Please do.\You have used quite a lot of mana. response:	May the stars protect you.
context: you aren't the sort to lose heart, are you?\My, how audacious you have become.\Come here.\Now, shall we begin?\I was unable to attend to you for a whole night, after all.\I'm sorry. Please do.\You have used quite a lot of mana.\May the stars protect you. response:	I shall be busy again for a time.
context: My, how audacious you have become.\Come here.\Now, shall we begin?\I was unable to attend to you for a whole night, after all.\I'm sorry. Please do.\You have used quite a lot of mana.\May the stars protect you.\I shall be busy again for a time. response:	I know it will be hard on you, but look after yourself and Rem...
context: Come here.\Now, shall we begin?\I was unable to attend to you for a whole night, after all.\I'm sorry. Please do.\You have used quite a lot of mana.\May the stars protect you.\I shall be busy again for a time.\I know it will be hard on you, but look after yourself and Rem... response:	As you wish.
context: Now, shall we begin?\I was unable to attend to you for a whole night, after all.\I'm sorry. Please do.\You have used quite a lot of mana.\May the stars protect you.\I shall be busy again for a time.\I know it will be hard on you, but look after yourself and Rem...\As you wish. response:	Since that fiery night,
context: I was unable to attend to you for a whole night, after all.\I'm sorry. Please do.\You have used quite a lot of mana.\May the stars protect you.\I shall be busy again for a time.\I know it will be hard on you, but look after yourself and Rem...\As you wish.\Since that fiery night, response:	my body has belonged to you, Roswaal-sama.
context: I'm sorry. Please do.\You have used quite a lot of mana.\May the stars protect you.\I shall be busy again for a time.\I know it will be hard on you, but look after yourself and Rem...\As you wish.\Since that fiery night,\my body has belonged to you, Roswaal-sama. response:	I must win this battle for the throne, no matter what it takes.
context: You have used quite a lot of mana.\May the stars protect you.\I shall be busy again for a time.\I know it will be hard on you, but look after yourself and Rem...\As you wish.\Since that fiery night,\my body has belonged to you, Roswaal-sama.\I must win this battle for the throne, no matter what it takes. response:	For the sake of my goal.
context: May the stars protect you.\I shall be busy again for a time.\I know it will be hard on you, but look after yourself and Rem...\As you wish.\Since that fiery night,\my body has belonged to you, Roswaal-sama.\I must win this battle for the throne, no matter what it takes.\For the sake of my goal. response:	For the coming day when I kill the dragon...
context: I shall be busy again for a time.\I know it will be hard on you, but look after yourself and Rem...\As you wish.\Since that fiery night,\my body has belonged to you, Roswaal-sama.\I must win this battle for the throne, no matter what it takes.\For the sake of my goal.\For the coming day when I kill the dragon... response:	You're constantly getting hurt, aren't you, Subaru?
context: I know it will be hard on you, but look after yourself and Rem...\As you wish.\Since that fiery night,\my body has belonged to you, Roswaal-sama.\I must win this battle for the throne, no matter what it takes.\For the sake of my goal.\For the coming day when I kill the dragon...\You're constantly getting hurt, aren't you, Subaru? response:	You came to this mansion in the first place because you were injured.
context: As you wish.\Since that fiery night,\my body has belonged to you, Roswaal-sama.\I must win this battle for the throne, no matter what it takes.\For the sake of my goal.\For the coming day when I kill the dragon...\You're constantly getting hurt, aren't you, Subaru?\You came to this mansion in the first place because you were injured. response:	Since then, it's only been four days.
context: Since that fiery night,\my body has belonged to you, Roswaal-sama.\I must win this battle for the throne, no matter what it takes.\For the sake of my goal.\For the coming day when I kill the dragon...\You're constantly getting hurt, aren't you, Subaru?\You came to this mansion in the first place because you were injured.\Since then, it's only been four days. response:	It's not like I get hurt because I want to.
context: my body has belonged to you, Roswaal-sama.\I must win this battle for the throne, no matter what it takes.\For the sake of my goal.\For the coming day when I kill the dragon...\You're constantly getting hurt, aren't you, Subaru?\You came to this mansion in the first place because you were injured.\Since then, it's only been four days.\It's not like I get hurt because I want to. response:	The world's just a little harsh on me...
context: I must win this battle for the throne, no matter what it takes.\For the sake of my goal.\For the coming day when I kill the dragon...\You're constantly getting hurt, aren't you, Subaru?\You came to this mansion in the first place because you were injured.\Since then, it's only been four days.\It's not like I get hurt because I want to.\The world's just a little harsh on me... response:	Don't joke around.
context: For the sake of my goal.\For the coming day when I kill the dragon...\You're constantly getting hurt, aren't you, Subaru?\You came to this mansion in the first place because you were injured.\Since then, it's only been four days.\It's not like I get hurt because I want to.\The world's just a little harsh on me...\Don't joke around. response:	Puck kept trying to get me to go after you guys, too.
context: For the coming day when I kill the dragon...\You're constantly getting hurt, aren't you, Subaru?\You came to this mansion in the first place because you were injured.\Since then, it's only been four days.\It's not like I get hurt because I want to.\The world's just a little harsh on me...\Don't joke around.\Puck kept trying to get me to go after you guys, too. response:	Who knows what would've happened if Roswaal hadn't made it back?
context: You're constantly getting hurt, aren't you, Subaru?\You came to this mansion in the first place because you were injured.\Since then, it's only been four days.\It's not like I get hurt because I want to.\The world's just a little harsh on me...\Don't joke around.\Puck kept trying to get me to go after you guys, too.\Who knows what would've happened if Roswaal hadn't made it back? response:	Do you get it?
context: You came to this mansion in the first place because you were injured.\Since then, it's only been four days.\It's not like I get hurt because I want to.\The world's just a little harsh on me...\Don't joke around.\Puck kept trying to get me to go after you guys, too.\Who knows what would've happened if Roswaal hadn't made it back?\Do you get it? response:	Still, I suppose you saved me again.
context: Since then, it's only been four days.\It's not like I get hurt because I want to.\The world's just a little harsh on me...\Don't joke around.\Puck kept trying to get me to go after you guys, too.\Who knows what would've happened if Roswaal hadn't made it back?\Do you get it?\Still, I suppose you saved me again. response:	Huh?
context: It's not like I get hurt because I want to.\The world's just a little harsh on me...\Don't joke around.\Puck kept trying to get me to go after you guys, too.\Who knows what would've happened if Roswaal hadn't made it back?\Do you get it?\Still, I suppose you saved me again.\Huh? response:	As thanks for saving me, I brought you to the mansion,
context: The world's just a little harsh on me...\Don't joke around.\Puck kept trying to get me to go after you guys, too.\Who knows what would've happened if Roswaal hadn't made it back?\Do you get it?\Still, I suppose you saved me again.\Huh?\As thanks for saving me, I brought you to the mansion, response:	and now...
context: Don't joke around.\Puck kept trying to get me to go after you guys, too.\Who knows what would've happened if Roswaal hadn't made it back?\Do you get it?\Still, I suppose you saved me again.\Huh?\As thanks for saving me, I brought you to the mansion,\and now... response:	Still, thank you so much!
context: Puck kept trying to get me to go after you guys, too.\Who knows what would've happened if Roswaal hadn't made it back?\Do you get it?\Still, I suppose you saved me again.\Huh?\As thanks for saving me, I brought you to the mansion,\and now...\Still, thank you so much! response:	Hey! It's fine, it's fine!
context: Who knows what would've happened if Roswaal hadn't made it back?\Do you get it?\Still, I suppose you saved me again.\Huh?\As thanks for saving me, I brought you to the mansion,\and now...\Still, thank you so much!\Hey! It's fine, it's fine! response:	I only did it because I wanted to...
context: Do you get it?\Still, I suppose you saved me again.\Huh?\As thanks for saving me, I brought you to the mansion,\and now...\Still, thank you so much!\Hey! It's fine, it's fine!\I only did it because I wanted to... response:	I thought you'd say that,
context: Still, I suppose you saved me again.\Huh?\As thanks for saving me, I brought you to the mansion,\and now...\Still, thank you so much!\Hey! It's fine, it's fine!\I only did it because I wanted to...\I thought you'd say that, response:	but it doesn't make me feel any better.
context: Huh?\As thanks for saving me, I brought you to the mansion,\and now...\Still, thank you so much!\Hey! It's fine, it's fine!\I only did it because I wanted to...\I thought you'd say that,\but it doesn't make me feel any better. response:	I must do something to thank you...
context: As thanks for saving me, I brought you to the mansion,\and now...\Still, thank you so much!\Hey! It's fine, it's fine!\I only did it because I wanted to...\I thought you'd say that,\but it doesn't make me feel any better.\I must do something to thank you... response:	Okay. Then, I'll take you up on that.
context: and now...\Still, thank you so much!\Hey! It's fine, it's fine!\I only did it because I wanted to...\I thought you'd say that,\but it doesn't make me feel any better.\I must do something to thank you...\Okay. Then, I'll take you up on that. response:	Go on a date with me, Emilia-tan!
context: Still, thank you so much!\Hey! It's fine, it's fine!\I only did it because I wanted to...\I thought you'd say that,\but it doesn't make me feel any better.\I must do something to thank you...\Okay. Then, I'll take you up on that.\Go on a date with me, Emilia-tan! response:	A date?
context: Hey! It's fine, it's fine!\I only did it because I wanted to...\I thought you'd say that,\but it doesn't make me feel any better.\I must do something to thank you...\Okay. Then, I'll take you up on that.\Go on a date with me, Emilia-tan!\A date? response:	We'll go out together, see the same things,
context: I only did it because I wanted to...\I thought you'd say that,\but it doesn't make me feel any better.\I must do something to thank you...\Okay. Then, I'll take you up on that.\Go on a date with me, Emilia-tan!\A date?\We'll go out together, see the same things, response:	eat the same things, do the same things,
context: I thought you'd say that,\but it doesn't make me feel any better.\I must do something to thank you...\Okay. Then, I'll take you up on that.\Go on a date with me, Emilia-tan!\A date?\We'll go out together, see the same things,\eat the same things, do the same things, response:	and share the same memories.
context: but it doesn't make me feel any better.\I must do something to thank you...\Okay. Then, I'll take you up on that.\Go on a date with me, Emilia-tan!\A date?\We'll go out together, see the same things,\eat the same things, do the same things,\and share the same memories. response:	And that's all you want?
context: I must do something to thank you...\Okay. Then, I'll take you up on that.\Go on a date with me, Emilia-tan!\A date?\We'll go out together, see the same things,\eat the same things, do the same things,\and share the same memories.\And that's all you want? response:	That's exactly what I want.
context: Okay. Then, I'll take you up on that.\Go on a date with me, Emilia-tan!\A date?\We'll go out together, see the same things,\eat the same things, do the same things,\and share the same memories.\And that's all you want?\That's exactly what I want. response:	I want to show you off to the village kids,
context: Go on a date with me, Emilia-tan!\A date?\We'll go out together, see the same things,\eat the same things, do the same things,\and share the same memories.\And that's all you want?\That's exactly what I want.\I want to show you off to the village kids, response:	and there's this awesome flower field!
context: A date?\We'll go out together, see the same things,\eat the same things, do the same things,\and share the same memories.\And that's all you want?\That's exactly what I want.\I want to show you off to the village kids,\and there's this awesome flower field! response:	Even if all we do is stroll around, it'd be a special occasion to me!
context: We'll go out together, see the same things,\eat the same things, do the same things,\and share the same memories.\And that's all you want?\That's exactly what I want.\I want to show you off to the village kids,\and there's this awesome flower field!\Even if all we do is stroll around, it'd be a special occasion to me! response:	All right. I'll go on a date with you!
context: eat the same things, do the same things,\and share the same memories.\And that's all you want?\That's exactly what I want.\I want to show you off to the village kids,\and there's this awesome flower field!\Even if all we do is stroll around, it'd be a special occasion to me!\All right. I'll go on a date with you! response:	Yes! That's why you're my EMF!
context: and share the same memories.\And that's all you want?\That's exactly what I want.\I want to show you off to the village kids,\and there's this awesome flower field!\Even if all we do is stroll around, it'd be a special occasion to me!\All right. I'll go on a date with you!\Yes! That's why you're my EMF! response:	Oh, EMF stands for Emilia-tan, major fairy!
