context: If you're listening to this, then you're somehow related to Hei. response:	If the past hasn't changed, that is.
context: But now...\How many kilometers do you think we need to walk to find it?\You got a plan?\Hold your horses, now.\That's it!\There's no mistake.\She took the picture from here.\Her mother will come back here for sure. response:	But the photo album is out already.
context: How many kilometers do you think we need to walk to find it?\You got a plan?\Hold your horses, now.\That's it!\There's no mistake.\She took the picture from here.\Her mother will come back here for sure.\But the photo album is out already. response:	You've still got a lot to learn, Kiko.
context: You got a plan?\Hold your horses, now.\That's it!\There's no mistake.\She took the picture from here.\Her mother will come back here for sure.\But the photo album is out already.\You've still got a lot to learn, Kiko. response:	She already started with this theme.
context: Hold your horses, now.\That's it!\There's no mistake.\She took the picture from here.\Her mother will come back here for sure.\But the photo album is out already.\You've still got a lot to learn, Kiko.\She already started with this theme. response:	She won't be done until the construction is finished.
context: That's it!\There's no mistake.\She took the picture from here.\Her mother will come back here for sure.\But the photo album is out already.\You've still got a lot to learn, Kiko.\She already started with this theme.\She won't be done until the construction is finished. response:	Both photographers and detectives are the same.
context: There's no mistake.\She took the picture from here.\Her mother will come back here for sure.\But the photo album is out already.\You've still got a lot to learn, Kiko.\She already started with this theme.\She won't be done until the construction is finished.\Both photographers and detectives are the same. response:	That's what makes a professional different.
context: She took the picture from here.\Her mother will come back here for sure.\But the photo album is out already.\You've still got a lot to learn, Kiko.\She already started with this theme.\She won't be done until the construction is finished.\Both photographers and detectives are the same.\That's what makes a professional different. response:	So when will she come back? How long do I need to wait?
context: Her mother will come back here for sure.\But the photo album is out already.\You've still got a lot to learn, Kiko.\She already started with this theme.\She won't be done until the construction is finished.\Both photographers and detectives are the same.\That's what makes a professional different.\So when will she come back? How long do I need to wait? response:	Overseas?
context: But the photo album is out already.\You've still got a lot to learn, Kiko.\She already started with this theme.\She won't be done until the construction is finished.\Both photographers and detectives are the same.\That's what makes a professional different.\So when will she come back? How long do I need to wait?\Overseas? response:	Like another country?
context: You've still got a lot to learn, Kiko.\She already started with this theme.\She won't be done until the construction is finished.\Both photographers and detectives are the same.\That's what makes a professional different.\So when will she come back? How long do I need to wait?\Overseas?\Like another country? response:	Tough luck, huh?
context: She already started with this theme.\She won't be done until the construction is finished.\Both photographers and detectives are the same.\That's what makes a professional different.\So when will she come back? How long do I need to wait?\Overseas?\Like another country?\Tough luck, huh? response:	She usually reserves a room a week before her shooting.
context: She won't be done until the construction is finished.\Both photographers and detectives are the same.\That's what makes a professional different.\So when will she come back? How long do I need to wait?\Overseas?\Like another country?\Tough luck, huh?\She usually reserves a room a week before her shooting. response:	Do you know when she'll be back?
context: Both photographers and detectives are the same.\That's what makes a professional different.\So when will she come back? How long do I need to wait?\Overseas?\Like another country?\Tough luck, huh?\She usually reserves a room a week before her shooting.\Do you know when she'll be back? response:	I'm afraid I don't know that.
context: That's what makes a professional different.\So when will she come back? How long do I need to wait?\Overseas?\Like another country?\Tough luck, huh?\She usually reserves a room a week before her shooting.\Do you know when she'll be back?\I'm afraid I don't know that. response:	She isn't really a resident here.
context: So when will she come back? How long do I need to wait?\Overseas?\Like another country?\Tough luck, huh?\She usually reserves a room a week before her shooting.\Do you know when she'll be back?\I'm afraid I don't know that.\She isn't really a resident here. response:	Oh, there is a room that's freed up, though. What do you say?
context: Overseas?\Like another country?\Tough luck, huh?\She usually reserves a room a week before her shooting.\Do you know when she'll be back?\I'm afraid I don't know that.\She isn't really a resident here.\Oh, there is a room that's freed up, though. What do you say? response:	Mom stood here and took the photo.
context: Like another country?\Tough luck, huh?\She usually reserves a room a week before her shooting.\Do you know when she'll be back?\I'm afraid I don't know that.\She isn't really a resident here.\Oh, there is a room that's freed up, though. What do you say?\Mom stood here and took the photo. response:	She was...
context: Tough luck, huh?\She usually reserves a room a week before her shooting.\Do you know when she'll be back?\I'm afraid I don't know that.\She isn't really a resident here.\Oh, there is a room that's freed up, though. What do you say?\Mom stood here and took the photo.\She was... response:	Suou.
context: She usually reserves a room a week before her shooting.\Do you know when she'll be back?\I'm afraid I don't know that.\She isn't really a resident here.\Oh, there is a room that's freed up, though. What do you say?\Mom stood here and took the photo.\She was...\Suou. response:	So you're Suou-chan?
context: Do you know when she'll be back?\I'm afraid I don't know that.\She isn't really a resident here.\Oh, there is a room that's freed up, though. What do you say?\Mom stood here and took the photo.\She was...\Suou.\So you're Suou-chan? response:	Um... who are you?
context: I'm afraid I don't know that.\She isn't really a resident here.\Oh, there is a room that's freed up, though. What do you say?\Mom stood here and took the photo.\She was...\Suou.\So you're Suou-chan?\Um... who are you? response:	You want to meet your mother?
context: She isn't really a resident here.\Oh, there is a room that's freed up, though. What do you say?\Mom stood here and took the photo.\She was...\Suou.\So you're Suou-chan?\Um... who are you?\You want to meet your mother? response:	A good woman can read other people's hearts after a certain age.
context: Oh, there is a room that's freed up, though. What do you say?\Mom stood here and took the photo.\She was...\Suou.\So you're Suou-chan?\Um... who are you?\You want to meet your mother?\A good woman can read other people's hearts after a certain age. response:	You've got to be kidding. That's absurd.
context: Mom stood here and took the photo.\She was...\Suou.\So you're Suou-chan?\Um... who are you?\You want to meet your mother?\A good woman can read other people's hearts after a certain age.\You've got to be kidding. That's absurd. response:	Your mother will be returning to Japan tonight at eight o'clock, at Haneda airport.
context: She was...\Suou.\So you're Suou-chan?\Um... who are you?\You want to meet your mother?\A good woman can read other people's hearts after a certain age.\You've got to be kidding. That's absurd.\Your mother will be returning to Japan tonight at eight o'clock, at Haneda airport. response:	How do you know that?
context: Suou.\So you're Suou-chan?\Um... who are you?\You want to meet your mother?\A good woman can read other people's hearts after a certain age.\You've got to be kidding. That's absurd.\Your mother will be returning to Japan tonight at eight o'clock, at Haneda airport.\How do you know that? response:	It's good to have someone you want to see again.
context: So you're Suou-chan?\Um... who are you?\You want to meet your mother?\A good woman can read other people's hearts after a certain age.\You've got to be kidding. That's absurd.\Your mother will be returning to Japan tonight at eight o'clock, at Haneda airport.\How do you know that?\It's good to have someone you want to see again. response:	I just wanted to meet you. That's it.
context: Um... who are you?\You want to meet your mother?\A good woman can read other people's hearts after a certain age.\You've got to be kidding. That's absurd.\Your mother will be returning to Japan tonight at eight o'clock, at Haneda airport.\How do you know that?\It's good to have someone you want to see again.\I just wanted to meet you. That's it. response:	Who do you really want to meet now?
context: You want to meet your mother?\A good woman can read other people's hearts after a certain age.\You've got to be kidding. That's absurd.\Your mother will be returning to Japan tonight at eight o'clock, at Haneda airport.\How do you know that?\It's good to have someone you want to see again.\I just wanted to meet you. That's it.\Who do you really want to meet now? response:	I want to meet...
context: A good woman can read other people's hearts after a certain age.\You've got to be kidding. That's absurd.\Your mother will be returning to Japan tonight at eight o'clock, at Haneda airport.\How do you know that?\It's good to have someone you want to see again.\I just wanted to meet you. That's it.\Who do you really want to meet now?\I want to meet... response:	Things don't look good.
context: You've got to be kidding. That's absurd.\Your mother will be returning to Japan tonight at eight o'clock, at Haneda airport.\How do you know that?\It's good to have someone you want to see again.\I just wanted to meet you. That's it.\Who do you really want to meet now?\I want to meet...\Things don't look good. response:	Your mom's gone overseas.
context: Your mother will be returning to Japan tonight at eight o'clock, at Haneda airport.\How do you know that?\It's good to have someone you want to see again.\I just wanted to meet you. That's it.\Who do you really want to meet now?\I want to meet...\Things don't look good.\Your mom's gone overseas. response:	She's coming back.
context: How do you know that?\It's good to have someone you want to see again.\I just wanted to meet you. That's it.\Who do you really want to meet now?\I want to meet...\Things don't look good.\Your mom's gone overseas.\She's coming back. response:	On a plane that lands at eight o'clock tonight.
context: It's good to have someone you want to see again.\I just wanted to meet you. That's it.\Who do you really want to meet now?\I want to meet...\Things don't look good.\Your mom's gone overseas.\She's coming back.\On a plane that lands at eight o'clock tonight. response:	Who said that?
context: I just wanted to meet you. That's it.\Who do you really want to meet now?\I want to meet...\Things don't look good.\Your mom's gone overseas.\She's coming back.\On a plane that lands at eight o'clock tonight.\Who said that? response:	A woman.
context: Who do you really want to meet now?\I want to meet...\Things don't look good.\Your mom's gone overseas.\She's coming back.\On a plane that lands at eight o'clock tonight.\Who said that?\A woman. response:	Didn't you run into her?
context: I want to meet...\Things don't look good.\Your mom's gone overseas.\She's coming back.\On a plane that lands at eight o'clock tonight.\Who said that?\A woman.\Didn't you run into her? response:	We didn't see anyone.
context: Things don't look good.\Your mom's gone overseas.\She's coming back.\On a plane that lands at eight o'clock tonight.\Who said that?\A woman.\Didn't you run into her?\We didn't see anyone. response:	Hopefully we'll find something here, right?
context: Your mom's gone overseas.\She's coming back.\On a plane that lands at eight o'clock tonight.\Who said that?\A woman.\Didn't you run into her?\We didn't see anyone.\Hopefully we'll find something here, right? response:	Hold on!
context: She's coming back.\On a plane that lands at eight o'clock tonight.\Who said that?\A woman.\Didn't you run into her?\We didn't see anyone.\Hopefully we'll find something here, right?\Hold on! response:	What?
context: On a plane that lands at eight o'clock tonight.\Who said that?\A woman.\Didn't you run into her?\We didn't see anyone.\Hopefully we'll find something here, right?\Hold on!\What? response:	Hazuki and Youko are supposed to go to Haneda, right?
context: Who said that?\A woman.\Didn't you run into her?\We didn't see anyone.\Hopefully we'll find something here, right?\Hold on!\What?\Hazuki and Youko are supposed to go to Haneda, right? response:	Yeah, I heard it was to pick up some goods.
context: A woman.\Didn't you run into her?\We didn't see anyone.\Hopefully we'll find something here, right?\Hold on!\What?\Hazuki and Youko are supposed to go to Haneda, right?\Yeah, I heard it was to pick up some goods. response:	That information has been leaked!
context: Didn't you run into her?\We didn't see anyone.\Hopefully we'll find something here, right?\Hold on!\What?\Hazuki and Youko are supposed to go to Haneda, right?\Yeah, I heard it was to pick up some goods.\That information has been leaked! response:	Over here! Come on!
context: We didn't see anyone.\Hopefully we'll find something here, right?\Hold on!\What?\Hazuki and Youko are supposed to go to Haneda, right?\Yeah, I heard it was to pick up some goods.\That information has been leaked!\Over here! Come on! response:	Wait!
context: Hopefully we'll find something here, right?\Hold on!\What?\Hazuki and Youko are supposed to go to Haneda, right?\Yeah, I heard it was to pick up some goods.\That information has been leaked!\Over here! Come on!\Wait! response:	You don't have to rush! She won't be here before eight!
context: Hold on!\What?\Hazuki and Youko are supposed to go to Haneda, right?\Yeah, I heard it was to pick up some goods.\That information has been leaked!\Over here! Come on!\Wait!\You don't have to rush! She won't be here before eight! response:	Besides, can you really trust that woman you supposedly met on the roof?
context: What?\Hazuki and Youko are supposed to go to Haneda, right?\Yeah, I heard it was to pick up some goods.\That information has been leaked!\Over here! Come on!\Wait!\You don't have to rush! She won't be here before eight!\Besides, can you really trust that woman you supposedly met on the roof? response:	As long as it's not coming from your mouth, it's safe to assume that it isn't wrong.
context: Hazuki and Youko are supposed to go to Haneda, right?\Yeah, I heard it was to pick up some goods.\That information has been leaked!\Over here! Come on!\Wait!\You don't have to rush! She won't be here before eight!\Besides, can you really trust that woman you supposedly met on the roof?\As long as it's not coming from your mouth, it's safe to assume that it isn't wrong. response:	You little bitch...
context: Yeah, I heard it was to pick up some goods.\That information has been leaked!\Over here! Come on!\Wait!\You don't have to rush! She won't be here before eight!\Besides, can you really trust that woman you supposedly met on the roof?\As long as it's not coming from your mouth, it's safe to assume that it isn't wrong.\You little bitch... response:	Very well. Please wait here for a moment.
context: That information has been leaked!\Over here! Come on!\Wait!\You don't have to rush! She won't be here before eight!\Besides, can you really trust that woman you supposedly met on the roof?\As long as it's not coming from your mouth, it's safe to assume that it isn't wrong.\You little bitch...\Very well. Please wait here for a moment. response:	We'll call you when it's ready.
context: Over here! Come on!\Wait!\You don't have to rush! She won't be here before eight!\Besides, can you really trust that woman you supposedly met on the roof?\As long as it's not coming from your mouth, it's safe to assume that it isn't wrong.\You little bitch...\Very well. Please wait here for a moment.\We'll call you when it's ready. response:	Thank you.
context: Wait!\You don't have to rush! She won't be here before eight!\Besides, can you really trust that woman you supposedly met on the roof?\As long as it's not coming from your mouth, it's safe to assume that it isn't wrong.\You little bitch...\Very well. Please wait here for a moment.\We'll call you when it's ready.\Thank you. response:	Did you forget about your grandfather?
context: You don't have to rush! She won't be here before eight!\Besides, can you really trust that woman you supposedly met on the roof?\As long as it's not coming from your mouth, it's safe to assume that it isn't wrong.\You little bitch...\Very well. Please wait here for a moment.\We'll call you when it's ready.\Thank you.\Did you forget about your grandfather? response:	Well, I can't blame you.
context: Besides, can you really trust that woman you supposedly met on the roof?\As long as it's not coming from your mouth, it's safe to assume that it isn't wrong.\You little bitch...\Very well. Please wait here for a moment.\We'll call you when it's ready.\Thank you.\Did you forget about your grandfather?\Well, I can't blame you. response:	After all, I kicked you out of the house.
context: As long as it's not coming from your mouth, it's safe to assume that it isn't wrong.\You little bitch...\Very well. Please wait here for a moment.\We'll call you when it's ready.\Thank you.\Did you forget about your grandfather?\Well, I can't blame you.\After all, I kicked you out of the house. response:	I'll wait outside.
context: You little bitch...\Very well. Please wait here for a moment.\We'll call you when it's ready.\Thank you.\Did you forget about your grandfather?\Well, I can't blame you.\After all, I kicked you out of the house.\I'll wait outside. response:	Wait.
context: Very well. Please wait here for a moment.\We'll call you when it's ready.\Thank you.\Did you forget about your grandfather?\Well, I can't blame you.\After all, I kicked you out of the house.\I'll wait outside.\Wait. response:	Take this.
context: We'll call you when it's ready.\Thank you.\Did you forget about your grandfather?\Well, I can't blame you.\After all, I kicked you out of the house.\I'll wait outside.\Wait.\Take this. response:	Your mother Mizue doesn't have much time.
context: Thank you.\Did you forget about your grandfather?\Well, I can't blame you.\After all, I kicked you out of the house.\I'll wait outside.\Wait.\Take this.\Your mother Mizue doesn't have much time. response:	Won't you go and see her?
context: Did you forget about your grandfather?\Well, I can't blame you.\After all, I kicked you out of the house.\I'll wait outside.\Wait.\Take this.\Your mother Mizue doesn't have much time.\Won't you go and see her? response:	It has to be that flight.
context: Well, I can't blame you.\After all, I kicked you out of the house.\I'll wait outside.\Wait.\Take this.\Your mother Mizue doesn't have much time.\Won't you go and see her?\It has to be that flight. response:	You'll get to see her when that plane lands!
context: After all, I kicked you out of the house.\I'll wait outside.\Wait.\Take this.\Your mother Mizue doesn't have much time.\Won't you go and see her?\It has to be that flight.\You'll get to see her when that plane lands! response:	Oh, your heart is racing already!
context: I'll wait outside.\Wait.\Take this.\Your mother Mizue doesn't have much time.\Won't you go and see her?\It has to be that flight.\You'll get to see her when that plane lands!\Oh, your heart is racing already! response:	Racing?
context: Wait.\Take this.\Your mother Mizue doesn't have much time.\Won't you go and see her?\It has to be that flight.\You'll get to see her when that plane lands!\Oh, your heart is racing already!\Racing? response:	Thanks for pointing out the obvious.
context: Take this.\Your mother Mizue doesn't have much time.\Won't you go and see her?\It has to be that flight.\You'll get to see her when that plane lands!\Oh, your heart is racing already!\Racing?\Thanks for pointing out the obvious. response:	After that much sprinting!
context: Your mother Mizue doesn't have much time.\Won't you go and see her?\It has to be that flight.\You'll get to see her when that plane lands!\Oh, your heart is racing already!\Racing?\Thanks for pointing out the obvious.\After that much sprinting! response:	That's not what I meant! Right?
context: Won't you go and see her?\It has to be that flight.\You'll get to see her when that plane lands!\Oh, your heart is racing already!\Racing?\Thanks for pointing out the obvious.\After that much sprinting!\That's not what I meant! Right? response:	I know that too, but...
context: It has to be that flight.\You'll get to see her when that plane lands!\Oh, your heart is racing already!\Racing?\Thanks for pointing out the obvious.\After that much sprinting!\That's not what I meant! Right?\I know that too, but... response:	You should know that contractors don't feel anything toward their relatives.
context: You'll get to see her when that plane lands!\Oh, your heart is racing already!\Racing?\Thanks for pointing out the obvious.\After that much sprinting!\That's not what I meant! Right?\I know that too, but...\You should know that contractors don't feel anything toward their relatives. response:	If you had hated me for that and kicked me out, I would have forgiven you.
context: Oh, your heart is racing already!\Racing?\Thanks for pointing out the obvious.\After that much sprinting!\That's not what I meant! Right?\I know that too, but...\You should know that contractors don't feel anything toward their relatives.\If you had hated me for that and kicked me out, I would have forgiven you. response:	I am your...
context: Racing?\Thanks for pointing out the obvious.\After that much sprinting!\That's not what I meant! Right?\I know that too, but...\You should know that contractors don't feel anything toward their relatives.\If you had hated me for that and kicked me out, I would have forgiven you.\I am your... response:	No... I was destined to walk the path of the underworld as a mere servant of a silly lineage.
context: Thanks for pointing out the obvious.\After that much sprinting!\That's not what I meant! Right?\I know that too, but...\You should know that contractors don't feel anything toward their relatives.\If you had hated me for that and kicked me out, I would have forgiven you.\I am your...\No... I was destined to walk the path of the underworld as a mere servant of a silly lineage. response:	After becoming a contractor, I've realized for the first time how stupid it was to put my life in jeopardy.
context: After that much sprinting!\That's not what I meant! Right?\I know that too, but...\You should know that contractors don't feel anything toward their relatives.\If you had hated me for that and kicked me out, I would have forgiven you.\I am your...\No... I was destined to walk the path of the underworld as a mere servant of a silly lineage.\After becoming a contractor, I've realized for the first time how stupid it was to put my life in jeopardy. response:	I hated you because of that.
context: That's not what I meant! Right?\I know that too, but...\You should know that contractors don't feel anything toward their relatives.\If you had hated me for that and kicked me out, I would have forgiven you.\I am your...\No... I was destined to walk the path of the underworld as a mere servant of a silly lineage.\After becoming a contractor, I've realized for the first time how stupid it was to put my life in jeopardy.\I hated you because of that. response:	I'm no longer your puppet. Simple as that.
context: I know that too, but...\You should know that contractors don't feel anything toward their relatives.\If you had hated me for that and kicked me out, I would have forgiven you.\I am your...\No... I was destined to walk the path of the underworld as a mere servant of a silly lineage.\After becoming a contractor, I've realized for the first time how stupid it was to put my life in jeopardy.\I hated you because of that.\I'm no longer your puppet. Simple as that. response:	You're Sawasaki-sama from the Ministry of Internal Affairs and Communications, right?
context: You should know that contractors don't feel anything toward their relatives.\If you had hated me for that and kicked me out, I would have forgiven you.\I am your...\No... I was destined to walk the path of the underworld as a mere servant of a silly lineage.\After becoming a contractor, I've realized for the first time how stupid it was to put my life in jeopardy.\I hated you because of that.\I'm no longer your puppet. Simple as that.\You're Sawasaki-sama from the Ministry of Internal Affairs and Communications, right? response:	Yes.
context: If you had hated me for that and kicked me out, I would have forgiven you.\I am your...\No... I was destined to walk the path of the underworld as a mere servant of a silly lineage.\After becoming a contractor, I've realized for the first time how stupid it was to put my life in jeopardy.\I hated you because of that.\I'm no longer your puppet. Simple as that.\You're Sawasaki-sama from the Ministry of Internal Affairs and Communications, right?\Yes. response:	It's ready. Please come this way.
context: I am your...\No... I was destined to walk the path of the underworld as a mere servant of a silly lineage.\After becoming a contractor, I've realized for the first time how stupid it was to put my life in jeopardy.\I hated you because of that.\I'm no longer your puppet. Simple as that.\You're Sawasaki-sama from the Ministry of Internal Affairs and Communications, right?\Yes.\It's ready. Please come this way. response:	So you're not going to forgive me.
context: No... I was destined to walk the path of the underworld as a mere servant of a silly lineage.\After becoming a contractor, I've realized for the first time how stupid it was to put my life in jeopardy.\I hated you because of that.\I'm no longer your puppet. Simple as that.\You're Sawasaki-sama from the Ministry of Internal Affairs and Communications, right?\Yes.\It's ready. Please come this way.\So you're not going to forgive me. response:	When I heard that I could see you again, I had some hopes for you, but...
context: After becoming a contractor, I've realized for the first time how stupid it was to put my life in jeopardy.\I hated you because of that.\I'm no longer your puppet. Simple as that.\You're Sawasaki-sama from the Ministry of Internal Affairs and Communications, right?\Yes.\It's ready. Please come this way.\So you're not going to forgive me.\When I heard that I could see you again, I had some hopes for you, but... response:	You heard?
context: I hated you because of that.\I'm no longer your puppet. Simple as that.\You're Sawasaki-sama from the Ministry of Internal Affairs and Communications, right?\Yes.\It's ready. Please come this way.\So you're not going to forgive me.\When I heard that I could see you again, I had some hopes for you, but...\You heard? response:	Youko!
context: I'm no longer your puppet. Simple as that.\You're Sawasaki-sama from the Ministry of Internal Affairs and Communications, right?\Yes.\It's ready. Please come this way.\So you're not going to forgive me.\When I heard that I could see you again, I had some hopes for you, but...\You heard?\Youko! response:	Did she just leave? Aren't you with her?
context: You're Sawasaki-sama from the Ministry of Internal Affairs and Communications, right?\Yes.\It's ready. Please come this way.\So you're not going to forgive me.\When I heard that I could see you again, I had some hopes for you, but...\You heard?\Youko!\Did she just leave? Aren't you with her? response:	Um... are we in the right building?
context: Yes.\It's ready. Please come this way.\So you're not going to forgive me.\When I heard that I could see you again, I had some hopes for you, but...\You heard?\Youko!\Did she just leave? Aren't you with her?\Um... are we in the right building? response:	Excuse me.
context: It's ready. Please come this way.\So you're not going to forgive me.\When I heard that I could see you again, I had some hopes for you, but...\You heard?\Youko!\Did she just leave? Aren't you with her?\Um... are we in the right building?\Excuse me. response:	No way!
context: So you're not going to forgive me.\When I heard that I could see you again, I had some hopes for you, but...\You heard?\Youko!\Did she just leave? Aren't you with her?\Um... are we in the right building?\Excuse me.\No way! response:	Stop!
context: When I heard that I could see you again, I had some hopes for you, but...\You heard?\Youko!\Did she just leave? Aren't you with her?\Um... are we in the right building?\Excuse me.\No way!\Stop! response:	Li-kun!
context: You heard?\Youko!\Did she just leave? Aren't you with her?\Um... are we in the right building?\Excuse me.\No way!\Stop!\Li-kun! response:	Put Youko down.
context: Youko!\Did she just leave? Aren't you with her?\Um... are we in the right building?\Excuse me.\No way!\Stop!\Li-kun!\Put Youko down. response:	Neither of us will have the advantage if you're carrying the hostage.
context: Did she just leave? Aren't you with her?\Um... are we in the right building?\Excuse me.\No way!\Stop!\Li-kun!\Put Youko down.\Neither of us will have the advantage if you're carrying the hostage. response:	Let her go.
context: Um... are we in the right building?\Excuse me.\No way!\Stop!\Li-kun!\Put Youko down.\Neither of us will have the advantage if you're carrying the hostage.\Let her go. response:	Wait!
context: Excuse me.\No way!\Stop!\Li-kun!\Put Youko down.\Neither of us will have the advantage if you're carrying the hostage.\Let her go.\Wait! response:	Why...
context: No way!\Stop!\Li-kun!\Put Youko down.\Neither of us will have the advantage if you're carrying the hostage.\Let her go.\Wait!\Why... response:	How could he see through me that easily?!
context: Stop!\Li-kun!\Put Youko down.\Neither of us will have the advantage if you're carrying the hostage.\Let her go.\Wait!\Why...\How could he see through me that easily?! response:	Did I drop my guard...
context: Li-kun!\Put Youko down.\Neither of us will have the advantage if you're carrying the hostage.\Let her go.\Wait!\Why...\How could he see through me that easily?!\Did I drop my guard... response:	No... was I distracted?
context: Put Youko down.\Neither of us will have the advantage if you're carrying the hostage.\Let her go.\Wait!\Why...\How could he see through me that easily?!\Did I drop my guard...\No... was I distracted? response:	No way!
context: Neither of us will have the advantage if you're carrying the hostage.\Let her go.\Wait!\Why...\How could he see through me that easily?!\Did I drop my guard...\No... was I distracted?\No way! response:	They said there's some trouble on the runway.
context: Let her go.\Wait!\Why...\How could he see through me that easily?!\Did I drop my guard...\No... was I distracted?\No way!\They said there's some trouble on the runway. response:	I don't care anymore.
context: Wait!\Why...\How could he see through me that easily?!\Did I drop my guard...\No... was I distracted?\No way!\They said there's some trouble on the runway.\I don't care anymore. response:	I don't care if I don't meet her.
context: Why...\How could he see through me that easily?!\Did I drop my guard...\No... was I distracted?\No way!\They said there's some trouble on the runway.\I don't care anymore.\I don't care if I don't meet her. response:	No way!
context: How could he see through me that easily?!\Did I drop my guard...\No... was I distracted?\No way!\They said there's some trouble on the runway.\I don't care anymore.\I don't care if I don't meet her.\No way! response:	Weren't you so excited a moment ago?
context: Did I drop my guard...\No... was I distracted?\No way!\They said there's some trouble on the runway.\I don't care anymore.\I don't care if I don't meet her.\No way!\Weren't you so excited a moment ago? response:	Mommy!
context: No... was I distracted?\No way!\They said there's some trouble on the runway.\I don't care anymore.\I don't care if I don't meet her.\No way!\Weren't you so excited a moment ago?\Mommy! response:	There is... there is no God!
context: No way!\They said there's some trouble on the runway.\I don't care anymore.\I don't care if I don't meet her.\No way!\Weren't you so excited a moment ago?\Mommy!\There is... there is no God! response:	Look! Even this old fart with terrible body odor dreams of his mother!
context: They said there's some trouble on the runway.\I don't care anymore.\I don't care if I don't meet her.\No way!\Weren't you so excited a moment ago?\Mommy!\There is... there is no God!\Look! Even this old fart with terrible body odor dreams of his mother! response:	There isn't anyone who wouldn't be happy to see their mom!
context: I don't care anymore.\I don't care if I don't meet her.\No way!\Weren't you so excited a moment ago?\Mommy!\There is... there is no God!\Look! Even this old fart with terrible body odor dreams of his mother!\There isn't anyone who wouldn't be happy to see their mom! response:	Mama...
context: I don't care if I don't meet her.\No way!\Weren't you so excited a moment ago?\Mommy!\There is... there is no God!\Look! Even this old fart with terrible body odor dreams of his mother!\There isn't anyone who wouldn't be happy to see their mom!\Mama... response:	How...
context: No way!\Weren't you so excited a moment ago?\Mommy!\There is... there is no God!\Look! Even this old fart with terrible body odor dreams of his mother!\There isn't anyone who wouldn't be happy to see their mom!\Mama...\How... response:	Mama!
context: Weren't you so excited a moment ago?\Mommy!\There is... there is no God!\Look! Even this old fart with terrible body odor dreams of his mother!\There isn't anyone who wouldn't be happy to see their mom!\Mama...\How...\Mama! response:	I missed you!
context: Mommy!\There is... there is no God!\Look! Even this old fart with terrible body odor dreams of his mother!\There isn't anyone who wouldn't be happy to see their mom!\Mama...\How...\Mama!\I missed you! response:	Let's go, Kiko.
context: There is... there is no God!\Look! Even this old fart with terrible body odor dreams of his mother!\There isn't anyone who wouldn't be happy to see their mom!\Mama...\How...\Mama!\I missed you!\Let's go, Kiko. response:	Come on, it's the tear-jerking scene!
context: Look! Even this old fart with terrible body odor dreams of his mother!\There isn't anyone who wouldn't be happy to see their mom!\Mama...\How...\Mama!\I missed you!\Let's go, Kiko.\Come on, it's the tear-jerking scene! response:	It would be uncomfortable to stay any longer.
context: There isn't anyone who wouldn't be happy to see their mom!\Mama...\How...\Mama!\I missed you!\Let's go, Kiko.\Come on, it's the tear-jerking scene!\It would be uncomfortable to stay any longer. response:	Their affection isn't some kind of reality show.
context: Mama...\How...\Mama!\I missed you!\Let's go, Kiko.\Come on, it's the tear-jerking scene!\It would be uncomfortable to stay any longer.\Their affection isn't some kind of reality show. response:	It's something everyone holds dear to them, deep inside.
context: How...\Mama!\I missed you!\Let's go, Kiko.\Come on, it's the tear-jerking scene!\It would be uncomfortable to stay any longer.\Their affection isn't some kind of reality show.\It's something everyone holds dear to them, deep inside. response:	Oh my, you've become a splendid adult to say that, Matsukichi.
context: Mama!\I missed you!\Let's go, Kiko.\Come on, it's the tear-jerking scene!\It would be uncomfortable to stay any longer.\Their affection isn't some kind of reality show.\It's something everyone holds dear to them, deep inside.\Oh my, you've become a splendid adult to say that, Matsukichi. response:	Thanks, mom!
context: I missed you!\Let's go, Kiko.\Come on, it's the tear-jerking scene!\It would be uncomfortable to stay any longer.\Their affection isn't some kind of reality show.\It's something everyone holds dear to them, deep inside.\Oh my, you've become a splendid adult to say that, Matsukichi.\Thanks, mom! response:	Gah! How do you know my real name?!
context: Let's go, Kiko.\Come on, it's the tear-jerking scene!\It would be uncomfortable to stay any longer.\Their affection isn't some kind of reality show.\It's something everyone holds dear to them, deep inside.\Oh my, you've become a splendid adult to say that, Matsukichi.\Thanks, mom!\Gah! How do you know my real name?! response:	Hey! Wait!
context: Come on, it's the tear-jerking scene!\It would be uncomfortable to stay any longer.\Their affection isn't some kind of reality show.\It's something everyone holds dear to them, deep inside.\Oh my, you've become a splendid adult to say that, Matsukichi.\Thanks, mom!\Gah! How do you know my real name?!\Hey! Wait! response:	I'm so happy, Shion!
context: It would be uncomfortable to stay any longer.\Their affection isn't some kind of reality show.\It's something everyone holds dear to them, deep inside.\Oh my, you've become a splendid adult to say that, Matsukichi.\Thanks, mom!\Gah! How do you know my real name?!\Hey! Wait!\I'm so happy, Shion! response:	Kureteku yuubae ni senaka osarete
context: Their affection isn't some kind of reality show.\It's something everyone holds dear to them, deep inside.\Oh my, you've become a splendid adult to say that, Matsukichi.\Thanks, mom!\Gah! How do you know my real name?!\Hey! Wait!\I'm so happy, Shion!\Kureteku yuubae ni senaka osarete response:	My back is pressed by the darkening glow of dusk
